shipment_id,customer_id,ship_date,weight_kg,carrier
MS-184,MC-883,2026-06-24,5495,顺丰重货
MS-185,MC-1009,2025-08-02,4831,自提
MS-186,MC-558,01/03/2025,6116,德邦
MS-187,MC-585,07/24/2025,18488,专线物流
MS-188,MC-295,06-06-2024,5464,顺丰重货
MS-189,MC-1272,2026-08-28,6591,顺丰重货
MS-190,MC-1039,22-07-2025,18633,顺丰重货
MS-191,MC-758,2024-12-13,3938,专线物流
MS-192,MC-689,2024-07-04,16368,顺丰重货
MS-193,MC-603,02/05/2025,19999,专线物流
MS-194,MC-866,01/19/2024,1604,专线物流
MS-195,MC-807,01/28/2024,1804,顺丰重货
MS-196,MC-1013,2025-04-02,7678,专线物流
MS-197,MC-1099,05/18/2026,19055,专线物流
MS-198,MC-127,07/05/2025,6773,专线物流
MS-199,MC-760,2024-03-07,2149,专线物流
MS-200,MC-1106,27-12-2024,17391,顺丰重货
MS-201,MC-1276,2024-09-22,10143,德邦
MS-202,MC-1036,07/09/2025,12033,德邦
MS-203,MC-999,07/16/2024,5947,德邦
MS-204,MC-601,15-04-2026,19318,德邦
MS-205,MC-1045,2024-09-25,3113,专线物流
MS-206,MC-314,2026-05-11,10890,专线物流
MS-207,MC-1108,2025-08-04,9346,专线物流
MS-208,MC-1119,09-02-2026,19004,专线物流
MS-209,MC-579,2025-09-07,13519,自提
MS-210,MC-1304,2024-05-05,18178,自提
MS-211,MC-449,2024-07-24,9185,自提
MS-212,MC-1304,11/04/2025,9743,专线物流
MS-213,MC-1087,2024-06-08,13168,德邦
MS-214,MC-34,2024-05-13,15920,自提
MS-215,MC-1034,2025-12-05,1104,顺丰重货
MS-216,MC-795,2024-04-03,1144,德邦
MS-217,MC-610,2025-10-16,9243,自提
MS-218,MC-775,2025-07-09,7073,德邦
MS-219,MC-842,07/27/2025,15882,自提
MS-220,MC-898,2026-02-28,8544,德邦
MS-221,MC-897,2024-12-20,8885,自提
MS-222,MC-1097,2026-04-22,15706,顺丰重货
MS-223,MC-314,08-07-2025,10053,顺丰重货
MS-224,MC-1026,02-05-2026,3137,自提
MS-225,MC-129,2025-07-28,4360,自提
MS-226,MC-1335,06/12/2025,14264,顺丰重货
MS-227,MC-8,2025-05-26,3840,专线物流
MS-228,MC-473,2025-04-24,2655,自提
MS-229,MC-1281,2024-05-06,774,德邦
MS-230,MC-1392,2026-08-12,5820,德邦
MS-231,MC-335,01-02-2026,5372,德邦
MS-232,MC-643,2024-11-26,17714,德邦
MS-233,MC-1097,2026-08-02,2237,自提
MS-234,MC-1341,2025-07-11,3075,专线物流
MS-235,MC-303,2024-05-12,3433,自提
MS-236,MC-877,2024-01-13,13341,顺丰重货
MS-237,MC-458,04/26/2025,10713,顺丰重货
MS-238,MC-445,20-07-2024,13693,德邦
MS-239,MC-376,2024-12-12,12251,专线物流
MS-240,MC-1005,2026-01-24,7174,专线物流
MS-241,MC-406,20-08-2026,8022,顺丰重货
MS-242,MC-1014,2025-02-24,19794,顺丰重货
MS-243,MC-515,2024-05-12,18139,自提
MS-244,MC-385,07/09/2025,7805,顺丰重货
MS-245,MC-595,2026-12-01,9755,德邦
MS-246,MC-846,2026-02-27,2103,自提
MS-247,MC-677,02-12-2026,11665,自提
MS-248,MC-981,2025-02-28,9050,自提
MS-249,MC-723,03/10/2025,9999,自提
MS-250,MC-1139,2026-02-23,3681,自提
MS-251,MC-821,09/04/2026,15165,顺丰重货
MS-252,MC-1,04/13/2025,19123,顺丰重货
MS-253,MC-1351,2025-07-02,3187,自提
MS-254,MC-552,2026-11-17,17467,顺丰重货
MS-255,MC-1367,2026-08-23,10984,顺丰重货
MS-256,MC-452,2026-04-23,10440,自提
MS-257,MC-707,2024-04-11,10364,专线物流
MS-258,MC-730,27-06-2025,3979,顺丰重货
MS-259,MC-23,08/20/2026,14567,自提
MS-260,MC-292,06-05-2026,13338,专线物流
MS-261,MC-927,07/10/2025,18967,顺丰重货
MS-262,MC-949,2024-06-22,18615,顺丰重货
MS-263,MC-1393,2025-01-12,7542,专线物流
MS-264,MC-1131,09/13/2026,8498,自提
MS-265,MC-1367,05/06/2024,13039,自提
MS-266,MC-329,2024-06-11,11564,顺丰重货
MS-267,MC-636,06/18/2024,3924,专线物流
MS-268,MC-983,15-05-2025,5775,德邦
MS-269,MC-587,03/03/2026,6918,德邦
MS-270,MC-1353,2024-12-14,12154,德邦
MS-271,MC-389,2025-04-08,19113,顺丰重货
MS-272,MC-413,06-10-2025,1952,顺丰重货
MS-273,MC-1259,2025-06-18,8458,顺丰重货
MS-274,MC-534,06/20/2025,14168,德邦
MS-275,MC-1047,2024-05-18,19350,德邦
MS-276,MC-1340,2025-11-07,7660,德邦
MS-277,MC-934,2024-01-11,859,德邦
MS-278,MC-1361,2026-09-16,13459,专线物流
MS-279,MC-541,12-11-2026,10207,专线物流
MS-280,MC-392,02/08/2026,9726,德邦
MS-281,MC-327,2026-01-03,5080,自提
MS-282,MC-2,03/13/2026,5142,德邦
MS-283,MC-1169,2026-08-17,8071,自提
MS-284,MC-1299,2024-10-19,3966,自提
MS-285,MC-32,02/15/2026,17634,自提
MS-286,MC-1151,20-09-2026,15747,专线物流
MS-287,MC-729,2026-10-22,12192,自提
MS-288,MC-790,09/15/2024,136,顺丰重货
MS-289,MC-1135,06/23/2025,17989,自提
MS-290,MC-524,2026-04-28,7953,德邦
MS-291,MC-927,2025-05-12,18846,专线物流
MS-292,MC-428,05/20/2024,16456,顺丰重货
MS-293,MC-1186,2025-03-03,8088,顺丰重货
MS-294,MC-507,2026-04-17,3615,专线物流
MS-295,MC-578,2026-12-04,6140,专线物流
MS-296,MC-535,07/21/2024,3452,自提
MS-297,MC-408,10/12/2025,17973,专线物流
MS-298,MC-523,2026-01-18,10916,专线物流
MS-299,MC-834,11-09-2024,3641,德邦
MS-300,MC-557,28-05-2025,12822,顺丰重货
MS-301,MC-3,2026-03-18,18399,顺丰重货
MS-302,MC-526,2025-03-17,6130,德邦
MS-303,MC-1099,03/01/2026,19592,顺丰重货
MS-304,MC-470,2026-10-03,2016,德邦
MS-305,MC-1341,06-04-2025,13410,顺丰重货
MS-306,MC-1076,08/22/2024,6267,德邦
MS-307,MC-887,2024-09-26,13197,顺丰重货
MS-308,MC-1337,2026-12-18,15716,德邦
MS-309,MC-813,10/12/2026,2192,自提
MS-310,MC-959,2026-03-11,6674,顺丰重货
MS-311,MC-581,11/21/2025,8192,专线物流
MS-312,MC-992,11/01/2026,1896,自提
MS-313,MC-1231,03/17/2024,6086,德邦
MS-314,MC-1071,2026-09-12,11609,自提
MS-315,MC-917,2025-07-06,14552,自提
MS-316,MC-1352,09/12/2024,3935,自提
MS-317,MC-819,2025-03-11,6972,德邦
MS-318,MC-1024,04/23/2025,9128,自提
MS-319,MC-804,05/04/2024,13541,顺丰重货
MS-320,MC-358,2026-09-13,8095,德邦
MS-321,MC-1065,2025-07-22,16541,自提
MS-322,MC-1387,2026-01-09,9965,专线物流
MS-323,MC-1370,2026-02-14,19875,顺丰重货
MS-324,MC-1355,2024-06-12,14500,德邦
MS-325,MC-134,23-11-2025,12619,自提
MS-326,MC-1101,13-04-2026,9020,德邦
MS-327,MC-929,2025-08-20,3648,自提
MS-328,MC-586,2024-05-28,11892,德邦
MS-329,MC-991,2025-02-14,13736,自提
MS-330,MC-377,2026-05-23,16898,自提
MS-331,MC-1240,2026-07-17,5599,顺丰重货
MS-332,MC-116,21-08-2024,12898,专线物流
MS-333,MC-1264,2025-12-26,18818,专线物流
MS-334,MC-552,09/05/2026,6019,专线物流
MS-335,MC-655,2026-11-27,10680,德邦
MS-336,MC-1282,09/27/2024,12734,顺丰重货
MS-337,MC-1321,06/11/2025,6033,德邦
MS-338,MC-1395,2025-05-23,10076,顺丰重货
MS-339,MC-354,2024-11-04,19317,顺丰重货
MS-340,MC-649,05/10/2026,12400,德邦
MS-341,MC-1247,2026-03-01,13718,专线物流
MS-342,MC-891,06-01-2026,11092,专线物流
MS-343,MC-507,2025-06-01,15991,专线物流
MS-344,MC-368,18-10-2024,18659,专线物流
MS-345,MC-769,27-03-2025,1907,德邦
MS-346,MC-707,2024-06-19,13734,专线物流
MS-347,MC-537,12/04/2024,5909,专线物流
MS-348,MC-615,2025-08-04,6703,德邦
MS-349,MC-1323,2026-06-20,12395,专线物流
MS-350,MC-1216,03-12-2026,18067,自提
MS-351,MC-431,14-04-2026,12470,顺丰重货
MS-352,MC-308,01-02-2024,2429,德邦
MS-353,MC-817,05-12-2026,3421,专线物流
MS-354,MC-714,2025-01-15,13793,自提
MS-355,MC-298,2024-03-28,3241,专线物流
MS-356,MC-367,06-10-2024,8670,专线物流
MS-357,MC-1329,2024-04-23,8183,顺丰重货
MS-358,MC-792,10/28/2026,14669,自提
MS-359,MC-302,18-02-2026,16978,顺丰重货
MS-360,MC-1266,2026-09-01,11824,顺丰重货
MS-361,MC-587,2026-04-24,764,德邦
MS-362,MC-1379,2024-08-07,14267,德邦
MS-363,MC-1099,2026-02-17,11081,顺丰重货
MS-364,MC-1336,2025-07-20,4452,德邦
MS-365,MC-34,2024-09-21,18373,德邦
MS-366,MC-1039,2026-05-07,9707,专线物流
MS-367,MC-386,02/02/2024,5657,专线物流
MS-368,MC-935,2026-01-17,18181,德邦
MS-369,MC-1396,17-07-2025,5029,自提
MS-370,MC-811,2024-12-22,10801,自提
MS-371,MC-1391,22-10-2026,2447,顺丰重货
MS-372,MC-521,2024-12-28,18827,自提
MS-373,MC-1335,2024-09-25,10188,专线物流
MS-374,MC-510,07/28/2024,10329,德邦
MS-375,MC-832,2026-08-06,14659,自提
MS-376,MC-885,2024-02-19,1692,德邦
MS-377,MC-1055,02/23/2026,1523,德邦
MS-378,MC-376,08/21/2026,4490,德邦
MS-379,MC-1159,01-06-2025,3566,自提
MS-380,MC-333,2024-11-12,10055,自提
MS-381,MC-717,2024-04-12,176,德邦
MS-382,MC-295,28-11-2026,5585,德邦
MS-383,MC-502,2024-05-02,16301,专线物流
MS-384,MC-353,07/12/2026,13627,自提
MS-385,MC-330,02/24/2024,18764,德邦
MS-386,MC-1158,2026-05-01,5171,顺丰重货
MS-387,MC-921,06/10/2024,14481,自提
MS-388,MC-813,2026-08-25,1689,专线物流
MS-389,MC-1224,2026-04-25,15748,德邦
MS-390,MC-487,16-02-2025,19120,自提
MS-391,MC-29,2025-08-12,10508,专线物流
MS-392,MC-615,10/21/2026,5430,自提
MS-393,MC-301,11/10/2024,6847,自提
MS-394,MC-362,01-06-2024,12052,自提
MS-395,MC-1115,02/22/2025,2031,专线物流
MS-396,MC-957,2025-02-25,1229,顺丰重货
MS-397,MC-947,21-12-2026,17815,自提
MS-398,MC-821,2025-05-05,19679,专线物流
MS-399,MC-464,2025-04-07,537,自提
MS-400,MC-296,20-04-2024,13420,专线物流
MS-401,MC-430,23-02-2024,2951,专线物流
MS-402,MC-10,01/25/2026,15375,专线物流
MS-403,MC-1013,20-08-2026,17349,德邦
MS-404,MC-735,2025-02-18,10263,德邦
MS-405,MC-838,11/12/2024,19815,专线物流
MS-406,MC-624,05/13/2026,19247,专线物流
MS-407,MC-965,23-10-2024,252,顺丰重货
MS-408,MC-769,09/01/2025,2850,德邦
MS-409,MC-38,2025-02-01,6906,德邦
MS-410,MC-1333,04-04-2025,4721,专线物流
MS-411,MC-871,08/21/2026,19292,专线物流
MS-412,MC-318,2024-05-06,10250,自提
MS-413,MC-706,02/21/2026,7751,顺丰重货
MS-414,MC-1277,02-09-2024,15668,德邦
MS-415,MC-847,2024-03-17,16295,自提
MS-416,MC-524,10/22/2025,12733,顺丰重货
MS-417,MC-705,23-11-2025,12095,专线物流
MS-418,MC-366,2024-12-13,2226,德邦
MS-419,MC-803,09/05/2025,18135,专线物流
MS-420,MC-289,04-05-2024,14320,专线物流
MS-421,MC-1201,02/21/2026,9525,专线物流
MS-422,MC-1118,01/07/2024,16547,顺丰重货
MS-423,MC-1235,2025-07-05,1011,自提
MS-424,MC-696,01/20/2026,14981,德邦
MS-425,MC-997,16-09-2025,8381,德邦
MS-426,MC-386,2026-02-13,14107,顺丰重货
MS-427,MC-601,12/15/2024,5965,顺丰重货
MS-428,MC-1157,2024-03-28,9104,德邦
MS-429,MC-1108,07-04-2025,7467,自提
MS-430,MC-686,2026-05-23,16242,顺丰重货
MS-431,MC-1345,2025-07-19,11103,顺丰重货
MS-432,MC-1048,2024-04-28,7355,德邦
MS-433,MC-1261,02-11-2024,199,德邦
MS-434,MC-380,2025-07-24,11856,自提
MS-435,MC-333,2026-03-10,12019,专线物流
MS-436,MC-1174,03-08-2026,902,自提
MS-437,MC-932,01/08/2025,10812,专线物流
MS-438,MC-293,25-10-2025,1314,顺丰重货
MS-439,MC-379,09/09/2026,11873,德邦
MS-440,MC-1104,2026-10-14,857,自提
MS-441,MC-1370,04/07/2024,9260,自提
MS-442,MC-1112,13-11-2026,19774,顺丰重货
MS-443,MC-1230,28-05-2025,14565,德邦
MS-444,MC-1026,09/26/2026,217,德邦
MS-445,MC-761,2025-03-28,10604,德邦
MS-446,MC-1365,09/20/2026,2936,顺丰重货
MS-447,MC-885,2025-09-02,977,自提
MS-448,MC-293,11-06-2025,3556,自提
MS-449,MC-608,12/05/2026,953,专线物流
MS-450,MC-693,11-04-2025,16110,顺丰重货
MS-451,MC-589,2025-03-13,17401,顺丰重货
MS-452,MC-1244,23-07-2024,11557,专线物流
MS-453,MC-798,2024-01-20,7043,自提
MS-454,MC-310,2024-09-15,11298,自提
MS-455,MC-1066,2025-07-11,13706,德邦
MS-456,MC-667,2025-03-12,14440,顺丰重货
MS-457,MC-458,09/14/2025,11448,自提
MS-458,MC-323,2026-11-14,3028,自提
MS-459,MC-382,08/26/2026,8526,专线物流
MS-460,MC-327,2024-09-01,8951,专线物流
MS-461,MC-381,2025-04-16,6289,自提
MS-462,MC-286,17-07-2026,18090,顺丰重货
MS-463,MC-717,10-11-2026,16538,专线物流
MS-464,MC-769,05/26/2026,11822,德邦
MS-465,MC-1143,2024-12-11,7429,专线物流
MS-466,MC-138,2026-02-02,13721,德邦
MS-467,MC-889,2025-03-13,16944,德邦
MS-468,MC-680,2024-02-27,7603,顺丰重货
MS-469,MC-1123,2024-09-28,14318,顺丰重货
MS-470,MC-1040,01/10/2026,16987,专线物流
MS-471,MC-1144,2025-03-05,5308,专线物流
MS-472,MC-1316,25-07-2026,16418,自提
MS-473,MC-966,02/19/2026,11476,自提
MS-474,MC-1044,10-04-2025,13900,自提
MS-475,MC-1085,11/11/2026,12889,德邦
MS-476,MC-866,2026-08-04,11864,专线物流
MS-477,MC-1394,2025-04-11,14253,自提
MS-478,MC-1212,23-05-2026,4758,德邦
MS-479,MC-1157,05/02/2025,5487,德邦
MS-480,MC-418,2026-09-15,12188,专线物流
MS-481,MC-1171,2026-10-16,18126,顺丰重货
MS-482,MC-643,20-01-2025,3233,自提
MS-483,MC-346,2025-10-22,11705,自提
MS-484,MC-130,2025-03-08,5631,专线物流
MS-485,MC-861,26-10-2024,17771,德邦
MS-486,MC-863,2026-06-23,1275,自提
MS-487,MC-1174,2024-05-21,16535,专线物流
MS-488,MC-1326,11/23/2024,6591,专线物流
MS-489,MC-320,2026-09-23,7886,专线物流
MS-490,MC-317,17-01-2024,12327,德邦
MS-491,MC-1231,01-11-2025,8228,自提
MS-492,MC-1163,04/03/2026,1148,德邦
MS-493,MC-1080,28-03-2025,4456,自提
MS-494,MC-1275,10/01/2025,830,专线物流
MS-495,MC-411,04/12/2026,16469,顺丰重货
MS-496,MC-359,2024-02-05,15505,专线物流
MS-497,MC-451,2025-05-13,5891,德邦
MS-498,MC-610,26-05-2025,18344,德邦
MS-499,MC-368,2026-08-10,13707,专线物流
MS-500,MC-1257,02-10-2025,14666,专线物流
MS-501,MC-297,01/11/2025,6728,专线物流
MS-502,MC-1284,2025-10-03,3703,德邦
MS-503,MC-1390,03/10/2025,2416,德邦
MS-504,MC-1252,06/18/2025,6778,德邦
MS-505,MC-1380,19-11-2024,14207,自提
MS-506,MC-888,12-05-2025,1342,专线物流
MS-507,MC-610,04/22/2026,5239,德邦
MS-508,MC-1043,2024-10-01,17668,德邦
MS-509,MC-354,2026-02-19,16968,专线物流
MS-510,MC-542,2025-06-13,19491,专线物流
MS-511,MC-991,24-07-2024,9815,德邦
MS-512,MC-815,2025-06-17,11425,自提
MS-513,MC-824,2026-03-27,2145,德邦
MS-514,MC-943,06/13/2026,13936,德邦
MS-515,MC-371,2026-10-03,2842,顺丰重货
MS-516,MC-348,07/02/2026,13003,专线物流
MS-517,MC-1163,02/26/2026,7791,德邦
MS-518,MC-975,2024-07-17,10709,自提
MS-519,MC-1133,2024-04-19,13843,专线物流
MS-520,MC-685,11/01/2026,6327,专线物流
MS-521,MC-1115,18-11-2024,9803,专线物流
MS-522,MC-455,04/23/2024,16735,顺丰重货
MS-523,MC-853,05/18/2024,2116,专线物流
MS-524,MC-896,2026-07-04,6854,德邦
MS-525,MC-330,2025-10-12,7177,顺丰重货
MS-526,MC-141,2026-03-14,9213,顺丰重货
MS-527,MC-1307,19-06-2024,6100,顺丰重货
MS-528,MC-493,2025-11-09,1703,顺丰重货
MS-529,MC-519,03/27/2025,3762,专线物流
MS-530,MC-1119,07/14/2024,6165,顺丰重货
MS-531,MC-452,2024-05-08,942,专线物流
MS-532,MC-1337,2025-11-12,12337,自提
MS-533,MC-351,2024-08-21,8430,自提
MS-534,MC-1266,2026-03-01,14789,专线物流
MS-535,MC-1334,2025-01-25,11174,专线物流
MS-536,MC-1388,27-09-2026,1622,德邦
MS-537,MC-500,2026-07-14,15625,专线物流
MS-538,MC-423,05-10-2025,8676,专线物流
MS-539,MC-941,08-09-2025,19388,顺丰重货
MS-540,MC-922,2025-03-13,15075,自提
MS-541,MC-1080,2026-06-08,16118,德邦
MS-542,MC-1218,07-10-2025,4202,专线物流
MS-543,MC-573,2026-10-13,2939,顺丰重货
MS-544,MC-508,2025-07-03,4257,自提
MS-545,MC-935,12/22/2025,7025,自提
MS-546,MC-19,2026-11-03,16169,德邦
MS-547,MC-1387,2025-12-28,3491,专线物流
MS-548,MC-1254,2026-04-12,7566,顺丰重货
MS-549,MC-146,11/07/2026,10641,自提
MS-550,MC-1362,07/18/2025,19356,顺丰重货
MS-551,MC-1051,2024-07-12,16631,德邦
MS-552,MC-441,2025-02-27,6202,顺丰重货
MS-553,MC-1,02/12/2024,9355,自提
MS-554,MC-868,05/23/2024,10109,德邦
MS-555,MC-1166,2024-12-25,15911,顺丰重货
MS-556,MC-22,10/07/2025,7046,专线物流
MS-557,MC-332,26-04-2026,9430,顺丰重货
MS-558,MC-720,07-05-2024,10721,自提
