batch_id,order_id,material_id,start_date,output_qty
BATCH-149,MO-7416,RM-116,21-05-2024,897
BATCH-150,MO-884,RM-43,2026-06-03,287
BATCH-151,MO-1202,RM-19,07/26/2024,783
BATCH-152,MO-5533,RM-36,2026-11-09,3013
BATCH-153,MO-1880,RM-109,2025-08-14,3105
BATCH-154,MO-3064,RM-31,2026-03-26,1757
BATCH-155,MO-2371,RM-30,2026-03-28,168
BATCH-156,MO-7242,RM-71,07/18/2024,2033
BATCH-157,MO-5732,RM-5,12-11-2025,3430
BATCH-158,MO-1950,RM-22,11/16/2024,3842
BATCH-159,MO-6924,RM-5,10/08/2026,2449
BATCH-160,MO-2799,RM-67,2025-12-07,3194
BATCH-161,MO-1499,RM-7,02/22/2025,1078
BATCH-162,MO-191,RM-34,07-10-2025,3293
BATCH-163,MO-164,RM-54,2024-08-17,2919
BATCH-164,MO-5417,RM-46,2024-01-11,3451
BATCH-165,MO-4918,RM-92,01/27/2026,679
BATCH-166,MO-7344,RM-110,2024-05-14,683
BATCH-167,MO-2314,RM-86,2024-12-17,4019
BATCH-168,MO-5389,RM-64,04/19/2026,71
BATCH-169,MO-7390,RM-41,12/06/2025,1186
BATCH-170,MO-7007,RM-56,2025-12-22,2253
BATCH-171,MO-405,RM-100,2024-08-20,3757
BATCH-172,MO-2464,RM-83,10/24/2026,2956
BATCH-173,MO-220,RM-15,09-12-2026,994
BATCH-174,MO-7074,RM-80,2024-02-16,427
BATCH-175,MO-6190,RM-100,2025-11-19,4224
BATCH-176,MO-3567,RM-9,14-08-2024,3092
BATCH-177,MO-3145,RM-107,2024-11-12,2285
BATCH-178,MO-7975,RM-48,01/02/2026,3471
BATCH-179,MO-5269,RM-117,2026-02-06,3218
BATCH-180,MO-2407,RM-1,21-11-2024,1237
BATCH-181,MO-6753,RM-63,12-08-2026,1131
BATCH-182,MO-2654,RM-112,2025-02-24,4055
BATCH-183,MO-6754,RM-91,2025-05-17,2896
BATCH-184,MO-2165,RM-108,2025-03-14,1399
BATCH-185,MO-4457,RM-108,2025-11-14,2079
BATCH-186,MO-937,RM-65,04/05/2025,32
BATCH-187,MO-7373,RM-14,2025-03-08,2711
BATCH-188,MO-3829,RM-46,05/09/2024,1759
BATCH-189,MO-6273,RM-70,2024-12-06,3121
BATCH-190,MO-5835,RM-104,2024-01-06,2454
BATCH-191,MO-1026,RM-37,15-03-2026,4514
BATCH-192,MO-7630,RM-69,24-01-2024,3581
BATCH-193,MO-1493,RM-107,2026-05-08,998
BATCH-194,MO-6161,RM-119,12/02/2026,1769
BATCH-195,MO-6284,RM-45,07/27/2025,4591
BATCH-196,MO-4546,RM-92,2024-08-10,27
BATCH-197,MO-7609,RM-102,2026-07-11,161
BATCH-198,MO-5377,RM-107,2025-01-07,1870
BATCH-199,MO-4407,RM-88,2025-02-04,1123
BATCH-200,MO-2189,RM-19,23-11-2026,2692
BATCH-201,MO-409,RM-105,04/13/2025,4246
BATCH-202,MO-3326,RM-77,03/01/2025,521
BATCH-203,MO-2630,RM-103,2025-02-05,192
BATCH-204,MO-5427,RM-28,12/10/2026,4516
BATCH-205,MO-2514,RM-108,2024-07-22,4121
BATCH-206,MO-1773,RM-81,2026-03-09,1201
BATCH-207,MO-4264,RM-19,2026-12-22,196
BATCH-208,MO-3947,RM-79,2025-10-03,3588
BATCH-209,MO-3788,RM-57,16-10-2024,1745
BATCH-210,MO-1105,RM-116,2026-01-07,1606
BATCH-211,MO-1827,RM-114,2024-10-22,3199
BATCH-212,MO-7755,RM-9,28-12-2024,86
BATCH-213,MO-5631,RM-113,2025-10-12,3563
BATCH-214,MO-921,RM-44,2025-01-24,3285
BATCH-215,MO-1271,RM-101,04/10/2024,4439
BATCH-216,MO-5562,RM-109,2024-10-13,469
BATCH-217,MO-1463,RM-4,10/08/2025,2256
BATCH-218,MO-995,RM-89,2024-11-05,3389
BATCH-219,MO-516,RM-16,2025-02-06,4416
BATCH-220,MO-6423,RM-120,2024-01-13,4133
BATCH-221,MO-7254,RM-11,24-06-2025,4096
BATCH-222,MO-580,RM-67,2025-09-25,1614
BATCH-223,MO-1815,RM-25,2025-06-22,3749
BATCH-224,MO-733,RM-60,2026-06-28,3106
BATCH-225,MO-3021,RM-44,24-06-2024,954
BATCH-226,MO-5423,RM-111,03/13/2025,3200
BATCH-227,MO-1360,RM-68,2025-06-03,857
BATCH-228,MO-5346,RM-83,2024-01-03,43
BATCH-229,MO-7009,RM-20,2024-12-05,4201
BATCH-230,MO-3365,RM-104,2026-08-12,1135
BATCH-231,MO-2773,RM-90,06/23/2024,1678
BATCH-232,MO-4322,RM-63,01/05/2026,4137
BATCH-233,MO-780,RM-50,2026-06-07,997
BATCH-234,MO-4949,RM-101,2026-02-09,3213
BATCH-235,MO-1311,RM-46,13-01-2024,1001
BATCH-236,MO-1003,RM-38,26-02-2025,2309
BATCH-237,MO-4929,RM-120,2026-11-02,740
BATCH-238,MO-5312,RM-34,17-03-2025,4582
BATCH-239,MO-7211,RM-38,08-12-2024,4461
BATCH-240,MO-6216,RM-30,07/25/2024,2174
BATCH-241,MO-662,RM-54,01/18/2024,1733
BATCH-242,MO-6123,RM-101,2024-10-09,4707
BATCH-243,MO-1486,RM-8,2024-01-23,4758
BATCH-244,MO-5767,RM-3,2026-03-27,2941
BATCH-245,MO-5190,RM-51,07/28/2026,2571
BATCH-246,MO-1689,RM-101,2025-03-28,935
BATCH-247,MO-7456,RM-69,2025-07-01,1811
BATCH-248,MO-5367,RM-1,2025-06-14,1367
BATCH-249,MO-7660,RM-82,17-08-2025,4421
BATCH-250,MO-3172,RM-119,10/28/2025,4327
BATCH-251,MO-2625,RM-80,2026-09-03,3484
BATCH-252,MO-19,RM-35,2025-01-20,1059
BATCH-253,MO-3390,RM-118,2024-08-07,3870
BATCH-254,MO-6835,RM-65,07-10-2025,2231
BATCH-255,MO-2124,RM-116,2026-12-20,3592
BATCH-256,MO-7894,RM-107,05/23/2025,475
BATCH-257,MO-2671,RM-51,2025-04-25,1455
BATCH-258,MO-1368,RM-117,2026-05-11,3899
BATCH-259,MO-4673,RM-33,2025-03-01,4537
BATCH-260,MO-2606,RM-36,2025-01-14,2784
BATCH-261,MO-7843,RM-5,2026-12-03,1636
BATCH-262,MO-3486,RM-94,2026-06-02,4163
BATCH-263,MO-1718,RM-82,2025-11-22,2368
BATCH-264,MO-3744,RM-102,24-12-2026,833
BATCH-265,MO-6361,RM-30,2024-11-28,3743
BATCH-266,MO-2710,RM-35,03-09-2026,3684
BATCH-267,MO-3155,RM-101,02-04-2026,1243
BATCH-268,MO-5811,RM-20,02-09-2025,1528
BATCH-269,MO-6242,RM-73,08/15/2025,2725
BATCH-270,MO-7457,RM-66,04-12-2024,4110
BATCH-271,MO-7185,RM-79,07/06/2025,1919
BATCH-272,MO-7327,RM-102,2024-02-27,81
BATCH-273,MO-618,RM-71,2025-11-12,1142
BATCH-274,MO-7043,RM-55,2024-03-22,2018
BATCH-275,MO-5772,RM-86,2025-02-27,3392
BATCH-276,MO-566,RM-70,2026-08-22,3522
BATCH-277,MO-3360,RM-93,2025-01-20,2776
BATCH-278,MO-5013,RM-14,2024-01-04,1099
BATCH-279,MO-4199,RM-62,10/18/2026,2517
BATCH-280,MO-5026,RM-80,10/21/2025,4546
BATCH-281,MO-6881,RM-22,05/10/2024,3406
BATCH-282,MO-3330,RM-99,05/10/2024,2648
BATCH-283,MO-5154,RM-51,2024-04-04,3300
BATCH-284,MO-4204,RM-70,2026-10-26,3432
BATCH-285,MO-5522,RM-115,2024-04-18,682
BATCH-286,MO-1027,RM-41,07/17/2026,3101
BATCH-287,MO-1660,RM-101,2026-03-16,3563
BATCH-288,MO-4578,RM-63,08-07-2025,2028
BATCH-289,MO-3217,RM-84,2025-01-27,1019
BATCH-290,MO-2427,RM-53,2024-06-01,991
BATCH-291,MO-4145,RM-119,2026-10-08,3266
BATCH-292,MO-1709,RM-62,06-02-2026,1648
BATCH-293,MO-7132,RM-71,15-05-2025,4452
BATCH-294,MO-4129,RM-74,07/28/2024,4357
BATCH-295,MO-5611,RM-39,2024-09-28,2297
BATCH-296,MO-248,RM-105,2026-07-27,96
BATCH-297,MO-2444,RM-117,07/17/2024,4003
BATCH-298,MO-4189,RM-104,2026-03-27,1773
BATCH-299,MO-4971,RM-42,02/06/2024,2609
BATCH-300,MO-6966,RM-73,01/01/2024,810
BATCH-301,MO-242,RM-26,07-11-2025,415
BATCH-302,MO-7480,RM-79,2025-12-25,1823
BATCH-303,MO-6599,RM-34,2026-12-28,3409
BATCH-304,MO-6390,RM-29,07/27/2024,3698
BATCH-305,MO-6289,RM-22,2024-11-07,4215
BATCH-306,MO-1538,RM-119,11/13/2024,3161
BATCH-307,MO-4311,RM-19,2024-09-09,4467
BATCH-308,MO-4527,RM-67,07-10-2025,4002
BATCH-309,MO-2177,RM-10,28-07-2025,2011
BATCH-310,MO-264,RM-109,2025-08-23,827
BATCH-311,MO-6328,RM-79,2025-03-05,4314
BATCH-312,MO-7649,RM-47,12/11/2026,4756
BATCH-313,MO-2745,RM-81,06/15/2026,2204
BATCH-314,MO-6393,RM-111,2025-08-10,428
BATCH-315,MO-3675,RM-31,03-06-2025,3201
BATCH-316,MO-3033,RM-90,2024-05-12,2698
BATCH-317,MO-2639,RM-46,01/24/2025,2068
BATCH-318,MO-5814,RM-73,2026-10-23,3625
BATCH-319,MO-5664,RM-72,2025-07-06,2137
BATCH-320,MO-7260,RM-94,20-07-2025,4485
BATCH-321,MO-4038,RM-96,2025-03-24,1395
BATCH-322,MO-3995,RM-28,17-03-2025,578
BATCH-323,MO-3024,RM-49,02-03-2024,4486
BATCH-324,MO-1426,RM-70,2026-02-28,196
BATCH-325,MO-536,RM-33,24-04-2025,46
BATCH-326,MO-1337,RM-65,2026-03-13,2396
BATCH-327,MO-6735,RM-68,2026-06-15,3047
BATCH-328,MO-2958,RM-78,02-08-2024,1190
BATCH-329,MO-6131,RM-2,2025-02-19,4093
BATCH-330,MO-1040,RM-66,05-08-2025,398
BATCH-331,MO-806,RM-92,2024-02-10,4269
BATCH-332,MO-5977,RM-52,08-06-2025,1421
BATCH-333,MO-6332,RM-73,10/06/2024,516
BATCH-334,MO-2917,RM-53,2026-09-24,1691
BATCH-335,MO-3431,RM-32,2025-01-12,621
BATCH-336,MO-3820,RM-73,2025-10-04,4755
BATCH-337,MO-2361,RM-37,11/07/2025,195
BATCH-338,MO-7525,RM-65,03-03-2026,3299
BATCH-339,MO-7975,RM-106,2024-07-12,3682
BATCH-340,MO-1296,RM-113,04-02-2026,1604
BATCH-341,MO-2976,RM-27,2026-07-12,1252
BATCH-342,MO-5696,RM-115,2026-02-18,1748
BATCH-343,MO-196,RM-109,09-11-2024,3083
BATCH-344,MO-42,RM-24,12/11/2024,2119
BATCH-345,MO-6952,RM-26,12/10/2024,1062
BATCH-346,MO-7672,RM-91,2026-05-16,2043
BATCH-347,MO-1202,RM-53,2024-06-05,1556
BATCH-348,MO-3917,RM-86,08/01/2024,1101
BATCH-349,MO-602,RM-10,2025-07-11,3149
BATCH-350,MO-613,RM-35,08/21/2026,640
BATCH-351,MO-4751,RM-119,2024-10-08,3978
BATCH-352,MO-4624,RM-83,14-05-2026,4045
BATCH-353,MO-541,RM-39,04/02/2025,3469
BATCH-354,MO-7616,RM-86,01/26/2025,4570
BATCH-355,MO-1825,RM-12,2025-11-24,428
BATCH-356,MO-2661,RM-29,2025-07-08,297
BATCH-357,MO-1006,RM-112,2026-12-02,576
BATCH-358,MO-6510,RM-46,2024-11-17,3736
BATCH-359,MO-6464,RM-14,2026-12-04,117
BATCH-360,MO-4033,RM-68,2026-07-01,4708
BATCH-361,MO-3263,RM-20,10-04-2025,3910
BATCH-362,MO-4358,RM-67,06-08-2026,2146
BATCH-363,MO-1752,RM-87,2026-12-25,1141
BATCH-364,MO-4286,RM-92,04/10/2025,646
BATCH-365,MO-4467,RM-43,2026-08-02,3632
BATCH-366,MO-6718,RM-66,2025-02-19,3287
BATCH-367,MO-419,RM-4,2024-01-09,3207
BATCH-368,MO-6845,RM-101,2026-03-24,2730
BATCH-369,MO-7770,RM-6,12/26/2025,4569
BATCH-370,MO-3075,RM-2,2025-08-01,4061
BATCH-371,MO-6156,RM-19,2024-01-18,3912
BATCH-372,MO-2896,RM-40,2024-08-16,2639
BATCH-373,MO-4673,RM-111,2025-05-23,632
BATCH-374,MO-5261,RM-85,11/05/2024,466
BATCH-375,MO-697,RM-82,2025-06-16,3718
BATCH-376,MO-1585,RM-98,2025-04-13,3144
BATCH-377,MO-3307,RM-63,23-07-2026,2433
BATCH-378,MO-329,RM-108,2024-11-16,1914
BATCH-379,MO-5682,RM-92,08/07/2024,3003
BATCH-380,MO-278,RM-48,03/19/2025,1454
BATCH-381,MO-1691,RM-35,2026-07-15,3243
BATCH-382,MO-5799,RM-52,2024-02-24,4174
BATCH-383,MO-529,RM-116,2024-04-23,2137
BATCH-384,MO-2748,RM-37,2025-04-14,2675
BATCH-385,MO-7932,RM-116,02-01-2024,1758
BATCH-386,MO-6352,RM-48,05/18/2025,4554
BATCH-387,MO-3740,RM-65,2025-05-11,1997
BATCH-388,MO-2484,RM-66,2026-05-25,1604
BATCH-389,MO-5164,RM-80,2025-03-17,1530
BATCH-390,MO-5889,RM-32,01/14/2026,667
BATCH-391,MO-121,RM-3,10/23/2026,4424
BATCH-392,MO-2536,RM-53,08/09/2024,3626
BATCH-393,MO-3126,RM-56,2026-03-15,3796
BATCH-394,MO-4207,RM-114,07/19/2024,3415
BATCH-395,MO-2981,RM-77,2026-02-15,2843
BATCH-396,MO-5793,RM-79,2025-11-19,4110
BATCH-397,MO-1566,RM-114,08/27/2026,569
BATCH-398,MO-754,RM-62,27-08-2025,3029
BATCH-399,MO-5548,RM-15,2024-03-02,4786
BATCH-400,MO-1296,RM-33,2026-07-19,1970
BATCH-401,MO-6321,RM-108,2026-06-09,3374
BATCH-402,MO-6552,RM-47,10/08/2026,2088
BATCH-403,MO-5855,RM-87,07-03-2025,3120
BATCH-404,MO-7205,RM-35,20-05-2024,382
BATCH-405,MO-3786,RM-109,11/13/2024,3559
BATCH-406,MO-1030,RM-120,12/11/2026,613
BATCH-407,MO-5006,RM-15,2024-09-04,2060
BATCH-408,MO-4963,RM-82,2024-02-04,3089
BATCH-409,MO-1832,RM-115,2026-04-17,2009
BATCH-410,MO-4559,RM-110,27-05-2024,1435
BATCH-411,MO-2820,RM-119,09-10-2024,1305
BATCH-412,MO-2237,RM-110,2026-12-28,2080
BATCH-413,MO-6279,RM-12,04/09/2024,2826
BATCH-414,MO-6832,RM-22,2026-09-13,1639
BATCH-415,MO-5352,RM-110,12/23/2024,4732
BATCH-416,MO-110,RM-35,04-03-2024,4267
BATCH-417,MO-2759,RM-28,03/06/2025,122
BATCH-418,MO-7319,RM-54,04/03/2024,3430
BATCH-419,MO-1454,RM-5,2025-01-26,3979
BATCH-420,MO-7828,RM-78,2025-12-19,1838
BATCH-421,MO-5711,RM-106,2025-10-24,3953
BATCH-422,MO-2338,RM-62,2025-11-19,2103
BATCH-423,MO-6468,RM-91,12/01/2024,382
BATCH-424,MO-4501,RM-3,01-05-2025,2870
BATCH-425,MO-7747,RM-79,2024-01-21,2213
BATCH-426,MO-492,RM-54,16-06-2026,742
BATCH-427,MO-2493,RM-17,2026-10-17,2267
BATCH-428,MO-2972,RM-77,2025-03-19,1353
BATCH-429,MO-427,RM-102,2025-05-12,1516
BATCH-430,MO-2487,RM-15,11/08/2026,824
BATCH-431,MO-7274,RM-84,12/28/2025,2958
BATCH-432,MO-7507,RM-50,2024-04-08,3664
BATCH-433,MO-6664,RM-46,2026-07-28,4629
BATCH-434,MO-7865,RM-82,2026-06-12,1753
BATCH-435,MO-3774,RM-41,2026-03-08,3953
BATCH-436,MO-6076,RM-111,2025-03-10,4054
BATCH-437,MO-1816,RM-68,04/06/2024,2809
BATCH-438,MO-7697,RM-7,02/28/2026,3386
BATCH-439,MO-2861,RM-49,2024-09-19,4717
BATCH-440,MO-2179,RM-60,2026-11-13,1554
BATCH-441,MO-2219,RM-60,06/25/2024,2209
BATCH-442,MO-5363,RM-63,2025-11-16,787
BATCH-443,MO-6135,RM-87,2024-07-27,641
BATCH-444,MO-3516,RM-71,12/06/2024,4277
BATCH-445,MO-5693,RM-75,2026-06-11,1983
BATCH-446,MO-6521,RM-77,04/12/2026,1216
BATCH-447,MO-5382,RM-66,2026-11-09,1532
BATCH-448,MO-7341,RM-107,07/24/2024,3221
BATCH-449,MO-1197,RM-63,14-06-2025,2123
BATCH-450,MO-5847,RM-91,05/26/2024,3208
BATCH-451,MO-1063,RM-12,01/13/2024,619
BATCH-452,MO-1131,RM-96,12/25/2024,4247
BATCH-453,MO-2687,RM-40,2026-01-17,115
BATCH-454,MO-3627,RM-30,09/26/2024,2795
BATCH-455,MO-6318,RM-83,07-07-2025,1042
BATCH-456,MO-2394,RM-71,2024-09-05,94
BATCH-457,MO-7604,RM-87,2025-06-18,1028
BATCH-458,MO-5198,RM-34,2026-06-06,4212
BATCH-459,MO-3626,RM-12,23-09-2025,2776
BATCH-460,MO-6187,RM-81,11/05/2026,1553
BATCH-461,MO-4708,RM-18,03/20/2026,2879
BATCH-462,MO-5924,RM-34,09/19/2024,4176
BATCH-463,MO-4400,RM-78,2024-01-19,3049
BATCH-464,MO-7805,RM-87,2026-05-11,2656
BATCH-465,MO-2333,RM-100,2024-02-09,2171
BATCH-466,MO-5760,RM-77,2024-09-23,3376
BATCH-467,MO-3193,RM-50,2024-07-21,1954
BATCH-468,MO-2155,RM-1,2024-04-13,903
BATCH-469,MO-2803,RM-35,25-08-2024,850
BATCH-470,MO-7481,RM-64,2025-06-23,2712
BATCH-471,MO-4315,RM-16,2026-04-20,2043
BATCH-472,MO-5823,RM-54,2026-11-07,4593
BATCH-473,MO-7663,RM-28,03/20/2024,1704
BATCH-474,MO-5575,RM-102,2025-06-20,2280
BATCH-475,MO-7601,RM-47,05/14/2025,1151
BATCH-476,MO-4837,RM-118,2024-07-23,1185
BATCH-477,MO-7781,RM-62,2025-02-03,1350
BATCH-478,MO-5470,RM-34,01-05-2026,3891
BATCH-479,MO-7425,RM-24,2026-12-13,1044
BATCH-480,MO-7930,RM-40,09/15/2024,2675
BATCH-481,MO-7773,RM-63,2026-03-17,3255
BATCH-482,MO-5716,RM-114,16-12-2025,785
BATCH-483,MO-7939,RM-30,2026-01-23,1099
BATCH-484,MO-852,RM-23,2026-12-25,984
BATCH-485,MO-4535,RM-36,13-10-2026,3896
BATCH-486,MO-3668,RM-22,03/11/2026,3190
BATCH-487,MO-4658,RM-65,11/07/2025,530
BATCH-488,MO-1139,RM-1,27-01-2024,3656
BATCH-489,MO-7512,RM-28,2026-02-19,1271
BATCH-490,MO-3247,RM-77,09/05/2025,4188
BATCH-491,MO-1704,RM-1,10/12/2025,1075
BATCH-492,MO-1004,RM-97,2024-03-19,3351
BATCH-493,MO-7895,RM-77,2026-02-25,1931
BATCH-494,MO-5333,RM-98,06/20/2026,1130
BATCH-495,MO-7291,RM-112,2024-08-24,2452
BATCH-496,MO-5650,RM-84,2024-05-23,1137
BATCH-497,MO-2896,RM-109,2025-12-03,3765
BATCH-498,MO-30,RM-37,2025-09-01,2049
BATCH-499,MO-3082,RM-118,2026-02-16,821
BATCH-500,MO-4253,RM-36,2026-08-09,2532
BATCH-501,MO-7310,RM-69,22-11-2024,1516
BATCH-502,MO-6471,RM-70,2026-08-20,3813
BATCH-503,MO-2789,RM-32,12/07/2024,4773
BATCH-504,MO-7411,RM-12,19-03-2026,2305
