po_item_id,po_id,material_id,quantity,unit_cost
PM-349,PO-1312,RM-47,8963,"3 607,00"
PM-350,PO-736,RM-28,4836,"$3,050.00"
PM-351,PO-1591,RM-68,4105,3653
PM-352,PO-897,RM-18,5523,$142.00
PM-353,PO-1231,RM-78,6861,"$1,342.00"
PM-354,PO-826,RM-72,4640,"$3,231.00"
PM-355,PO-1824,RM-110,4286,347
PM-356,PO-1831,RM-111,4624,$353.00
PM-357,PO-1861,RM-92,4996,"3 062,00"
PM-358,PO-1570,RM-40,1938,"$1,393.00"
PM-359,PO-1234,RM-71,5211,3881
PM-360,PO-1654,RM-97,3402,"$2,564.00"
PM-361,PO-459,RM-103,8329,253
PM-362,PO-869,RM-109,8407,"$3,455.00"
PM-363,PO-1776,RM-5,4173,426
PM-364,PO-1056,RM-39,9364,3317
PM-365,PO-79,RM-87,6894,1865
PM-366,PO-1606,RM-43,580,"$2,039.00"
PM-367,PO-1244,RM-32,3517,"$2,626.00"
PM-368,PO-1514,RM-33,3595,690
PM-369,PO-1539,RM-98,4667,2722
PM-370,PO-801,RM-109,4405,2190
PM-371,PO-1265,RM-65,2549,"$2,281.00"
PM-372,PO-1031,RM-12,3362,2156
PM-373,PO-1708,RM-53,3648,"2 452,00"
PM-374,PO-355,RM-72,2627,$165.00
PM-375,PO-241,RM-22,6869,2342
PM-376,PO-96,RM-43,6499,584
PM-377,PO-1182,RM-73,1368,1 192
PM-378,PO-644,RM-64,565,1816
PM-379,PO-17,RM-110,8992,1939
PM-380,PO-1740,RM-35,4493,3803
PM-381,PO-1066,RM-15,7549,$824.00
PM-382,PO-737,RM-77,4938,3817
PM-383,PO-1582,RM-100,3127,$767.00
PM-384,PO-754,RM-102,8922,3222
PM-385,PO-1087,RM-112,9232,3362
PM-386,PO-574,RM-12,2449,"$2,643.00"
PM-387,PO-1378,RM-43,8308,1314
PM-388,PO-678,RM-77,2252,2904
PM-389,PO-1779,RM-109,8645,"1 669,00"
PM-390,PO-1076,RM-60,8521,2481
PM-391,PO-246,RM-13,6923,"2 438,00"
PM-392,PO-872,RM-112,6309,"1 865,00"
PM-393,PO-1761,RM-10,8363,1317
PM-394,PO-996,RM-8,9821,"$3,747.00"
PM-395,PO-1171,RM-12,5551,2257
PM-396,PO-1254,RM-104,123,2 909
PM-397,PO-1601,RM-91,5865,3542
PM-398,PO-1630,RM-25,5948,"$1,393.00"
PM-399,PO-765,RM-97,3087,3 553
PM-400,PO-141,RM-5,1531,"$1,447.00"
PM-401,PO-761,RM-81,1524,"$3,714.00"
PM-402,PO-1449,RM-64,3507,"$3,355.00"
PM-403,PO-897,RM-49,4496,1 260
PM-404,PO-173,RM-94,1911,3539
PM-405,PO-1162,RM-4,7225,"$1,665.00"
PM-406,PO-340,RM-19,5860,"795,00"
PM-407,PO-1533,RM-60,3306,493
PM-408,PO-1281,RM-99,3559,$177.00
PM-409,PO-875,RM-61,8008,"2 098,00"
PM-410,PO-1013,RM-100,7624,"2 704,00"
PM-411,PO-1564,RM-9,6378,2532
PM-412,PO-774,RM-92,2622,"1 628,00"
PM-413,PO-1427,RM-42,8437,3 478
PM-414,PO-1503,RM-46,1853,$680.00
PM-415,PO-1779,RM-109,8228,2491
PM-416,PO-11,RM-87,7607,"$3,166.00"
PM-417,PO-1365,RM-99,1984,2784
PM-418,PO-1603,RM-83,3422,"2 164,00"
PM-419,PO-1892,RM-12,6432,1106
PM-420,PO-1733,RM-69,9847,"$3,337.00"
PM-421,PO-856,RM-27,5541,"1 610,00"
PM-422,PO-1178,RM-80,6715,2105
PM-423,PO-1233,RM-58,3806,638
PM-424,PO-700,RM-82,933,989
PM-425,PO-931,RM-7,6296,958
PM-426,PO-1735,RM-59,4325,"$1,257.00"
PM-427,PO-1962,RM-63,4879,2 179
PM-428,PO-1750,RM-48,5796,2 876
PM-429,PO-141,RM-17,5562,"3 046,00"
PM-430,PO-1608,RM-8,2081,"$2,888.00"
PM-431,PO-103,RM-50,6822,3013
PM-432,PO-199,RM-98,6478,703
PM-433,PO-871,RM-101,5639,341
PM-434,PO-1181,RM-108,2305,"$1,553.00"
PM-435,PO-619,RM-111,6273,"$3,685.00"
PM-436,PO-1652,RM-112,1445,3 865
PM-437,PO-533,RM-120,6392,247
PM-438,PO-914,RM-110,3182,"3 149,00"
PM-439,PO-1519,RM-18,7408,3187
PM-440,PO-777,RM-105,7961,574
PM-441,PO-1379,RM-35,3643,"3 716,00"
PM-442,PO-960,RM-80,9262,2 084
PM-443,PO-560,RM-35,1207,$841.00
PM-444,PO-13,RM-20,120,3308
PM-445,PO-671,RM-22,1304,2672
PM-446,PO-1946,RM-61,4834,3 478
PM-447,PO-364,RM-111,7672,650
PM-448,PO-1712,RM-70,5374,"$2,516.00"
PM-449,PO-1681,RM-41,1603,"1 158,00"
PM-450,PO-798,RM-49,7639,3468
PM-451,PO-1052,RM-83,7857,2 029
PM-452,PO-356,RM-62,7513,"3 785,00"
PM-453,PO-1607,RM-23,363,2027
PM-454,PO-1549,RM-65,8534,2372
PM-455,PO-1507,RM-41,4491,1245
PM-456,PO-1829,RM-48,2540,"$1,270.00"
PM-457,PO-1313,RM-56,1731,"1 784,00"
PM-458,PO-798,RM-118,8452,163
PM-459,PO-532,RM-43,8668,1145
PM-460,PO-125,RM-101,8331,1832
PM-461,PO-1688,RM-12,9953,2608
PM-462,PO-202,RM-38,4258,"1 909,00"
PM-463,PO-818,RM-77,4177,2507
PM-464,PO-1185,RM-75,4397,1682
PM-465,PO-920,RM-83,95,1604
PM-466,PO-40,RM-10,2733,910
PM-467,PO-1902,RM-69,2780,2501
PM-468,PO-1336,RM-90,1777,"$2,727.00"
PM-469,PO-407,RM-43,8811,2106
PM-470,PO-316,RM-56,5855,3689
PM-471,PO-28,RM-1,3239,"$1,285.00"
PM-472,PO-1819,RM-56,9485,3341
PM-473,PO-974,RM-28,3654,"3 438,00"
PM-474,PO-575,RM-113,7409,2 013
PM-475,PO-1426,RM-16,3529,3 668
PM-476,PO-1138,RM-53,2214,$372.00
PM-477,PO-1842,RM-35,9133,"$1,044.00"
PM-478,PO-203,RM-42,8165,"$3,141.00"
PM-479,PO-1001,RM-11,3492,"$3,772.00"
PM-480,PO-1030,RM-114,6398,"3 841,00"
PM-481,PO-1007,RM-18,6474,2989
PM-482,PO-181,RM-100,3113,684
PM-483,PO-1901,RM-73,9481,"$2,333.00"
PM-484,PO-1569,RM-2,8214,"1 623,00"
PM-485,PO-372,RM-97,6338,"1 292,00"
PM-486,PO-1102,RM-96,9495,"2 877,00"
PM-487,PO-194,RM-55,9201,"1 784,00"
PM-488,PO-734,RM-37,7945,"2 477,00"
PM-489,PO-1645,RM-116,4705,2577
PM-490,PO-1736,RM-32,1222,"$1,107.00"
PM-491,PO-1708,RM-46,4586,1618
PM-492,PO-751,RM-79,2936,"$3,577.00"
PM-493,PO-1070,RM-63,1506,"$1,237.00"
PM-494,PO-1276,RM-115,548,"3 345,00"
PM-495,PO-46,RM-66,2049,"$3,047.00"
PM-496,PO-450,RM-51,327,2587
PM-497,PO-1385,RM-44,4126,"1 949,00"
PM-498,PO-1162,RM-54,5540,2864
PM-499,PO-1848,RM-71,5875,"$3,606.00"
PM-500,PO-128,RM-41,7622,745
PM-501,PO-1581,RM-74,9484,1259
PM-502,PO-254,RM-55,9022,"3 721,00"
PM-503,PO-1451,RM-64,9703,3744
PM-504,PO-1953,RM-25,5756,"$3,158.00"
PM-505,PO-694,RM-81,3459,650
PM-506,PO-526,RM-71,6514,"$1,635.00"
PM-507,PO-1645,RM-112,975,3 422
PM-508,PO-1552,RM-3,877,3937
PM-509,PO-1601,RM-17,9773,3830
PM-510,PO-1592,RM-37,6781,3724
PM-511,PO-88,RM-6,4072,3 582
PM-512,PO-325,RM-11,5430,721
PM-513,PO-1807,RM-41,1510,"3 206,00"
PM-514,PO-1124,RM-62,7993,2821
PM-515,PO-1266,RM-30,6370,"$3,003.00"
PM-516,PO-564,RM-27,8617,3 531
PM-517,PO-1725,RM-87,7325,"$1,814.00"
PM-518,PO-1358,RM-6,4144,"$3,034.00"
PM-519,PO-1246,RM-14,165,3759
PM-520,PO-1193,RM-29,2472,$991.00
PM-521,PO-595,RM-79,7755,1 166
PM-522,PO-1232,RM-57,1893,"$1,506.00"
PM-523,PO-136,RM-28,1925,"2 597,00"
PM-524,PO-1112,RM-27,687,1974
PM-525,PO-161,RM-19,8340,"662,00"
PM-526,PO-1361,RM-62,3571,1001
PM-527,PO-938,RM-11,5333,3855
PM-528,PO-1289,RM-97,3840,2581
PM-529,PO-1229,RM-102,2059,"$2,303.00"
PM-530,PO-831,RM-96,6412,2 553
PM-531,PO-1732,RM-41,526,1 108
PM-532,PO-1910,RM-80,936,786
PM-533,PO-1247,RM-86,941,309
PM-534,PO-1141,RM-37,1886,"1 473,00"
PM-535,PO-1796,RM-71,4777,"$3,313.00"
PM-536,PO-1612,RM-62,4729,3 425
PM-537,PO-149,RM-21,3766,"$1,056.00"
PM-538,PO-1735,RM-46,8072,444
PM-539,PO-842,RM-86,5171,3553
PM-540,PO-1727,RM-103,2919,981
PM-541,PO-1550,RM-102,3732,$242.00
PM-542,PO-320,RM-24,2900,827
PM-543,PO-1514,RM-86,2290,3473
PM-544,PO-413,RM-98,1190,"$1,708.00"
PM-545,PO-1918,RM-49,4727,372
PM-546,PO-1932,RM-66,6866,"$1,255.00"
PM-547,PO-1796,RM-105,6779,"$2,428.00"
PM-548,PO-663,RM-66,199,"$2,563.00"
PM-549,PO-898,RM-57,611,3 176
PM-550,PO-1888,RM-80,1363,2727
PM-551,PO-63,RM-46,1829,2369
PM-552,PO-489,RM-33,3430,486
PM-553,PO-1413,RM-30,9742,3453
PM-554,PO-698,RM-87,997,984
PM-555,PO-121,RM-2,592,"$3,527.00"
PM-556,PO-1746,RM-98,7806,3719
PM-557,PO-227,RM-49,6596,"2 280,00"
PM-558,PO-1576,RM-77,6702,763
PM-559,PO-567,RM-104,4612,899
PM-560,PO-1710,RM-47,966,1 452
PM-561,PO-636,RM-23,9262,1 278
PM-562,PO-1807,RM-109,4694,"$1,863.00"
PM-563,PO-463,RM-40,5334,"$2,952.00"
PM-564,PO-345,RM-34,6680,$662.00
PM-565,PO-108,RM-77,4314,$586.00
PM-566,PO-202,RM-58,868,2262
PM-567,PO-1369,RM-52,7423,1172
PM-568,PO-163,RM-110,4966,1 023
PM-569,PO-1349,RM-11,584,3997
PM-570,PO-651,RM-63,9222,$325.00
PM-571,PO-662,RM-24,9662,1365
PM-572,PO-1361,RM-63,9080,2859
PM-573,PO-526,RM-101,2171,"143,00"
PM-574,PO-123,RM-50,3063,2413
PM-575,PO-1164,RM-91,7107,146
PM-576,PO-423,RM-68,1514,"$2,383.00"
PM-577,PO-1072,RM-37,8236,2 052
PM-578,PO-1850,RM-14,9937,"$1,612.00"
PM-579,PO-1580,RM-119,9074,$108.00
PM-580,PO-452,RM-47,3280,1139
PM-581,PO-1014,RM-115,6209,1043
PM-582,PO-1637,RM-94,222,"$2,018.00"
PM-583,PO-68,RM-6,3382,1074
PM-584,PO-1227,RM-105,4594,"2 711,00"
PM-585,PO-1221,RM-57,2285,1556
PM-586,PO-3,RM-110,4599,1402
PM-587,PO-1190,RM-12,5155,"$3,886.00"
PM-588,PO-19,RM-38,7247,1993
PM-589,PO-1169,RM-98,9650,181
PM-590,PO-1143,RM-73,7911,3886
PM-591,PO-1330,RM-61,3699,"$2,923.00"
PM-592,PO-223,RM-78,2843,"$3,184.00"
PM-593,PO-1134,RM-10,5374,1293
PM-594,PO-1478,RM-56,6730,311
PM-595,PO-649,RM-55,5630,"$2,911.00"
PM-596,PO-811,RM-31,1727,"708,00"
