defect_id,check_id,batch_id,defect_code,quantity
DF-66,QC-184,BATCH-7360,COLOR-MISMATCH,19
DF-67,QC-6572,BATCH-5972,未定义,39
DF-68,QC-4120,BATCH-583,DENT,22
DF-69,QC-6949,BATCH-4116,未定义,43
DF-70,QC-4821,BATCH-1044,COLOR-MISMATCH,49
DF-71,QC-3333,BATCH-650,SCRATCH,29
DF-72,QC-1196,BATCH-4894,THREAD-BAD,8
DF-73,QC-686,BATCH-2986,SCRATCH,48
DF-74,QC-4173,BATCH-6682,COLOR-MISMATCH,12
DF-75,QC-5294,BATCH-4198,DENT,34
DF-76,QC-2442,BATCH-7253,DIM-ERR,34
DF-77,QC-4332,BATCH-5319,SCRATCH,22
DF-78,QC-297,BATCH-4439,COLOR-MISMATCH,48
DF-79,QC-4849,BATCH-3919,SCRATCH,1
DF-80,QC-6941,BATCH-6234,未定义,27
DF-81,QC-1072,BATCH-5039,SCRATCH,42
DF-82,QC-7936,BATCH-3970,SCRATCH,50
DF-83,QC-1307,BATCH-4302,THREAD-BAD,21
DF-84,QC-4325,BATCH-4127,DIM-ERR,42
DF-85,QC-2845,BATCH-6418,DENT,39
DF-86,QC-7984,BATCH-568,DIM-ERR,25
DF-87,QC-537,BATCH-3078,COLOR-MISMATCH,8
DF-88,QC-6091,BATCH-3898,DENT,46
DF-89,QC-6282,BATCH-1158,COLOR-MISMATCH,26
DF-90,QC-4325,BATCH-6862,DIM-ERR,21
DF-91,QC-6547,BATCH-1974,未定义,30
DF-92,QC-741,BATCH-5100,未定义,7
DF-93,QC-674,BATCH-6861,SCRATCH,34
DF-94,QC-284,BATCH-2015,COLOR-MISMATCH,32
DF-95,QC-2995,BATCH-2766,未定义,40
DF-96,QC-5115,BATCH-940,未定义,1
DF-97,QC-6137,BATCH-1501,DIM-ERR,23
DF-98,QC-7984,BATCH-1802,COLOR-MISMATCH,39
DF-99,QC-6147,BATCH-7681,SCRATCH,36
DF-100,QC-2424,BATCH-6069,THREAD-BAD,17
DF-101,QC-4486,BATCH-3013,DENT,41
DF-102,QC-3431,BATCH-6286,SCRATCH,25
DF-103,QC-7782,BATCH-1272,DENT,21
DF-104,QC-484,BATCH-1997,THREAD-BAD,43
DF-105,QC-7675,BATCH-1412,DENT,18
DF-106,QC-686,BATCH-2090,SCRATCH,36
DF-107,QC-2731,BATCH-4152,THREAD-BAD,15
DF-108,QC-5723,BATCH-6840,THREAD-BAD,45
DF-109,QC-869,BATCH-1414,DENT,17
DF-110,QC-1752,BATCH-2358,DIM-ERR,50
DF-111,QC-6496,BATCH-7997,DIM-ERR,47
DF-112,QC-5294,BATCH-1087,DIM-ERR,20
DF-113,QC-4147,BATCH-5265,DIM-ERR,22
DF-114,QC-7555,BATCH-2556,未定义,48
DF-115,QC-1838,BATCH-140,COLOR-MISMATCH,31
DF-116,QC-5205,BATCH-600,COLOR-MISMATCH,5
DF-117,QC-6634,BATCH-5035,DIM-ERR,1
DF-118,QC-5633,BATCH-6531,DENT,31
DF-119,QC-4917,BATCH-3594,COLOR-MISMATCH,38
DF-120,QC-7364,BATCH-6090,SCRATCH,32
DF-121,QC-3719,BATCH-6594,DIM-ERR,7
DF-122,QC-7364,BATCH-340,SCRATCH,47
DF-123,QC-7066,BATCH-5664,SCRATCH,26
DF-124,QC-537,BATCH-16,未定义,19
DF-125,QC-2905,BATCH-5223,DENT,17
DF-126,QC-7741,BATCH-7254,DIM-ERR,4
DF-127,QC-995,BATCH-3609,未定义,1
DF-128,QC-6634,BATCH-2420,THREAD-BAD,24
DF-129,QC-4173,BATCH-7675,COLOR-MISMATCH,23
DF-130,QC-7535,BATCH-1552,COLOR-MISMATCH,41
DF-131,QC-7933,BATCH-5110,SCRATCH,35
DF-132,QC-6036,BATCH-2172,SCRATCH,22
DF-133,QC-4770,BATCH-5833,DENT,12
DF-134,QC-7884,BATCH-512,SCRATCH,23
DF-135,QC-7732,BATCH-717,COLOR-MISMATCH,43
DF-136,QC-2879,BATCH-2568,SCRATCH,35
DF-137,QC-537,BATCH-6496,DIM-ERR,39
DF-138,QC-841,BATCH-1691,THREAD-BAD,44
DF-139,QC-1029,BATCH-6526,DENT,23
DF-140,QC-7988,BATCH-1970,DIM-ERR,16
DF-141,QC-4486,BATCH-7490,COLOR-MISMATCH,45
DF-142,QC-7459,BATCH-2264,COLOR-MISMATCH,20
DF-143,QC-1838,BATCH-7930,THREAD-BAD,18
DF-144,QC-6380,BATCH-6771,未定义,48
DF-145,QC-5765,BATCH-6392,THREAD-BAD,50
DF-146,QC-5741,BATCH-3427,THREAD-BAD,8
DF-147,QC-5688,BATCH-5095,DENT,2
DF-148,QC-5332,BATCH-4073,THREAD-BAD,7
DF-149,QC-1988,BATCH-6194,THREAD-BAD,13
DF-150,QC-7009,BATCH-2676,SCRATCH,2
DF-151,QC-5294,BATCH-7879,SCRATCH,21
DF-152,QC-291,BATCH-2247,SCRATCH,45
DF-153,QC-5745,BATCH-172,SCRATCH,10
DF-154,QC-3155,BATCH-2319,THREAD-BAD,14
DF-155,QC-6223,BATCH-7281,DIM-ERR,39
DF-156,QC-3862,BATCH-5579,未定义,44
DF-157,QC-5672,BATCH-3500,THREAD-BAD,1
DF-158,QC-5294,BATCH-7077,DENT,20
DF-159,QC-2483,BATCH-6397,SCRATCH,49
DF-160,QC-5242,BATCH-7192,DIM-ERR,36
DF-161,QC-7535,BATCH-1143,DIM-ERR,3
DF-162,QC-7364,BATCH-5311,DIM-ERR,21
DF-163,QC-4686,BATCH-1219,SCRATCH,12
DF-164,QC-5641,BATCH-5641,DENT,11
DF-165,QC-6732,BATCH-109,SCRATCH,29
DF-166,QC-5672,BATCH-4122,未定义,17
DF-167,QC-4391,BATCH-6916,DENT,1
DF-168,QC-7732,BATCH-5939,DIM-ERR,36
DF-169,QC-6282,BATCH-5072,DENT,16
DF-170,QC-3263,BATCH-4414,COLOR-MISMATCH,27
DF-171,QC-68,BATCH-1819,DENT,35
DF-172,QC-5796,BATCH-3257,SCRATCH,38
DF-173,QC-272,BATCH-4982,THREAD-BAD,47
DF-174,QC-5688,BATCH-2392,COLOR-MISMATCH,7
DF-175,QC-301,BATCH-4793,COLOR-MISMATCH,49
DF-176,QC-5445,BATCH-1447,DENT,15
DF-177,QC-5633,BATCH-3877,THREAD-BAD,47
DF-178,QC-2083,BATCH-6379,DENT,16
DF-179,QC-1932,BATCH-1657,DENT,41
DF-180,QC-7654,BATCH-2553,未定义,6
DF-181,QC-3420,BATCH-5780,DENT,9
DF-182,QC-686,BATCH-7766,THREAD-BAD,6
DF-183,QC-4128,BATCH-3249,未定义,13
DF-184,QC-1137,BATCH-6809,DENT,32
DF-185,QC-652,BATCH-3326,THREAD-BAD,32
DF-186,QC-7413,BATCH-7732,未定义,20
DF-187,QC-271,BATCH-3839,COLOR-MISMATCH,16
DF-188,QC-6171,BATCH-7654,COLOR-MISMATCH,20
DF-189,QC-7095,BATCH-7547,未定义,34
DF-190,QC-5835,BATCH-4434,SCRATCH,32
DF-191,QC-6732,BATCH-1106,COLOR-MISMATCH,4
DF-192,QC-5049,BATCH-5749,DIM-ERR,2
DF-193,QC-6496,BATCH-972,DIM-ERR,24
DF-194,QC-1196,BATCH-3619,未定义,38
DF-195,QC-7288,BATCH-7688,THREAD-BAD,27
DF-196,QC-279,BATCH-2194,未定义,39
DF-197,QC-2321,BATCH-1379,未定义,18
DF-198,QC-6833,BATCH-5906,未定义,27
DF-199,QC-5647,BATCH-1252,未定义,2
DF-200,QC-5001,BATCH-2026,SCRATCH,19
DF-201,QC-7800,BATCH-5354,COLOR-MISMATCH,44
DF-202,QC-3972,BATCH-5947,DENT,9
DF-203,QC-2081,BATCH-3466,SCRATCH,31
DF-204,QC-176,BATCH-7843,未定义,15
DF-205,QC-1480,BATCH-6009,COLOR-MISMATCH,25
DF-206,QC-6050,BATCH-3588,DENT,36
DF-207,QC-7413,BATCH-5370,SCRATCH,32
DF-208,QC-4018,BATCH-4095,DIM-ERR,2
DF-209,QC-1713,BATCH-6333,未定义,41
DF-210,QC-7688,BATCH-2682,THREAD-BAD,2
DF-211,QC-5940,BATCH-3765,THREAD-BAD,14
DF-212,QC-4849,BATCH-7303,THREAD-BAD,1
DF-213,QC-6035,BATCH-4941,未定义,29
DF-214,QC-3420,BATCH-3124,未定义,49
DF-215,QC-6840,BATCH-3042,SCRATCH,8
DF-216,QC-4653,BATCH-6114,DENT,17
DF-217,QC-271,BATCH-5503,未定义,50
DF-218,QC-4037,BATCH-337,SCRATCH,2
DF-219,QC-5120,BATCH-1217,DENT,18
DF-220,QC-2011,BATCH-2393,未定义,47
DF-221,QC-6,BATCH-5476,DIM-ERR,5
DF-222,QC-6673,BATCH-1675,THREAD-BAD,47
DF-223,QC-6177,BATCH-4793,COLOR-MISMATCH,31
DF-224,QC-6997,BATCH-3701,DENT,40
DF-225,QC-674,BATCH-443,未定义,50
DF-226,QC-6165,BATCH-7008,DIM-ERR,21
DF-227,QC-6267,BATCH-734,COLOR-MISMATCH,29
DF-228,QC-5760,BATCH-3505,THREAD-BAD,17
DF-229,QC-2772,BATCH-7104,DENT,37
DF-230,QC-2828,BATCH-6159,未定义,12
DF-231,QC-4128,BATCH-4271,COLOR-MISMATCH,17
DF-232,QC-6668,BATCH-6426,COLOR-MISMATCH,8
DF-233,QC-963,BATCH-3376,DIM-ERR,37
DF-234,QC-6263,BATCH-7972,THREAD-BAD,29
DF-235,QC-3001,BATCH-3519,DENT,9
DF-236,QC-1391,BATCH-1772,DIM-ERR,21
DF-237,QC-4958,BATCH-6971,THREAD-BAD,26
DF-238,QC-6949,BATCH-1973,THREAD-BAD,1
DF-239,QC-7933,BATCH-5089,DENT,32
DF-240,QC-1907,BATCH-3790,SCRATCH,16
DF-241,QC-7933,BATCH-5591,DIM-ERR,32
DF-242,QC-2592,BATCH-428,THREAD-BAD,17
DF-243,QC-3333,BATCH-3276,未定义,16
DF-244,QC-3263,BATCH-3644,COLOR-MISMATCH,32
DF-245,QC-7334,BATCH-7615,COLOR-MISMATCH,13
DF-246,QC-5760,BATCH-3668,THREAD-BAD,13
DF-247,QC-3334,BATCH-1641,DENT,13
DF-248,QC-7364,BATCH-5015,SCRATCH,44
DF-249,QC-4612,BATCH-3775,DENT,20
DF-250,QC-6035,BATCH-5530,DIM-ERR,25
DF-251,QC-4018,BATCH-6515,DENT,42
DF-252,QC-537,BATCH-4724,DENT,33
DF-253,QC-995,BATCH-749,DIM-ERR,44
DF-254,QC-5526,BATCH-1796,COLOR-MISMATCH,31
DF-255,QC-4147,BATCH-871,COLOR-MISMATCH,39
DF-256,QC-4825,BATCH-3494,未定义,31
DF-257,QC-5527,BATCH-1377,SCRATCH,38
DF-258,QC-6727,BATCH-4657,未定义,29
DF-259,QC-3826,BATCH-7260,SCRATCH,40
DF-260,QC-6380,BATCH-6711,未定义,39
DF-261,QC-5520,BATCH-4394,SCRATCH,27
DF-262,QC-4929,BATCH-4980,DIM-ERR,23
DF-263,QC-6001,BATCH-7781,DENT,43
DF-264,QC-2193,BATCH-2547,COLOR-MISMATCH,41
DF-265,QC-6409,BATCH-2077,THREAD-BAD,29
DF-266,QC-2932,BATCH-5874,未定义,38
DF-267,QC-5318,BATCH-6346,COLOR-MISMATCH,27
DF-268,QC-271,BATCH-7841,DENT,49
DF-269,QC-4821,BATCH-1565,DIM-ERR,28
DF-270,QC-362,BATCH-4518,未定义,2
DF-271,QC-7669,BATCH-7088,DIM-ERR,1
DF-272,QC-4391,BATCH-1560,未定义,24
DF-273,QC-6263,BATCH-4303,THREAD-BAD,46
DF-274,QC-993,BATCH-3735,未定义,31
DF-275,QC-5783,BATCH-5455,SCRATCH,43
DF-276,QC-3786,BATCH-1866,COLOR-MISMATCH,20
DF-277,QC-2828,BATCH-1731,DIM-ERR,8
DF-278,QC-5056,BATCH-1868,DIM-ERR,39
DF-279,QC-3061,BATCH-7739,未定义,8
DF-280,QC-7213,BATCH-5965,SCRATCH,36
DF-281,QC-2957,BATCH-2034,未定义,6
DF-282,QC-299,BATCH-5474,DIM-ERR,18
DF-283,QC-7675,BATCH-7870,DENT,3
DF-284,QC-7791,BATCH-1265,DENT,13
DF-285,QC-7020,BATCH-2261,DIM-ERR,26
DF-286,QC-2442,BATCH-6476,COLOR-MISMATCH,32
DF-287,QC-4396,BATCH-5491,THREAD-BAD,41
DF-288,QC-7969,BATCH-5528,COLOR-MISMATCH,44
DF-289,QC-297,BATCH-6336,COLOR-MISMATCH,16
DF-290,QC-4446,BATCH-4628,未定义,42
DF-291,QC-3461,BATCH-4994,COLOR-MISMATCH,19
DF-292,QC-6504,BATCH-2237,SCRATCH,50
DF-293,QC-6547,BATCH-4525,未定义,7
DF-294,QC-5003,BATCH-3191,THREAD-BAD,34
DF-295,QC-3382,BATCH-1296,THREAD-BAD,45
DF-296,QC-1009,BATCH-7900,未定义,49
DF-297,QC-1391,BATCH-4734,SCRATCH,6
DF-298,QC-1480,BATCH-161,未定义,43
DF-299,QC-2081,BATCH-1291,DIM-ERR,8
DF-300,QC-6513,BATCH-4241,DENT,43
DF-301,QC-7782,BATCH-1013,DENT,17
DF-302,QC-2264,BATCH-6225,未定义,7
DF-303,QC-7102,BATCH-7128,DIM-ERR,43
DF-304,QC-7308,BATCH-979,DENT,42
DF-305,QC-4782,BATCH-5447,COLOR-MISMATCH,40
DF-306,QC-6833,BATCH-1242,THREAD-BAD,38
DF-307,QC-7741,BATCH-75,未定义,5
DF-308,QC-5765,BATCH-887,未定义,40
DF-309,QC-7393,BATCH-5781,DIM-ERR,43
DF-310,QC-2483,BATCH-5173,SCRATCH,46
DF-311,QC-2687,BATCH-5292,SCRATCH,40
DF-312,QC-2483,BATCH-2693,THREAD-BAD,18
DF-313,QC-1471,BATCH-181,DIM-ERR,45
DF-314,QC-1251,BATCH-822,DENT,38
DF-315,QC-7188,BATCH-5457,DENT,45
DF-316,QC-6819,BATCH-1396,COLOR-MISMATCH,43
DF-317,QC-931,BATCH-1876,COLOR-MISMATCH,50
DF-318,QC-3420,BATCH-3835,DENT,3
DF-319,QC-2845,BATCH-4112,THREAD-BAD,11
DF-320,QC-7213,BATCH-7447,SCRATCH,20
DF-321,QC-220,BATCH-4404,DENT,27
DF-322,QC-3719,BATCH-5524,DENT,31
DF-323,QC-7308,BATCH-6427,DIM-ERR,45
DF-324,QC-7413,BATCH-5950,THREAD-BAD,40
DF-325,QC-740,BATCH-1493,DENT,1
DF-326,QC-4271,BATCH-4302,DIM-ERR,44
DF-327,QC-4125,BATCH-6825,DENT,3
DF-328,QC-7243,BATCH-4834,未定义,3
DF-329,QC-3041,BATCH-4162,DENT,33
DF-330,QC-971,BATCH-7163,未定义,3
DF-331,QC-1552,BATCH-6531,SCRATCH,7
DF-332,QC-2483,BATCH-3848,DENT,41
DF-333,QC-6378,BATCH-6479,DIM-ERR,10
DF-334,QC-1251,BATCH-5385,未定义,27
DF-335,QC-3575,BATCH-7739,COLOR-MISMATCH,36
DF-336,QC-3786,BATCH-6319,DENT,24
DF-337,QC-4825,BATCH-2928,DENT,18
DF-338,QC-3001,BATCH-2435,THREAD-BAD,39
DF-339,QC-4943,BATCH-3794,未定义,34
DF-340,QC-7503,BATCH-402,THREAD-BAD,49
DF-341,QC-284,BATCH-2310,未定义,6
DF-342,QC-6467,BATCH-1556,SCRATCH,36
DF-343,QC-1738,BATCH-4185,DENT,34
DF-344,QC-6263,BATCH-5566,未定义,9
DF-345,QC-3962,BATCH-5952,SCRATCH,6
DF-346,QC-1009,BATCH-6911,THREAD-BAD,15
DF-347,QC-6496,BATCH-4907,COLOR-MISMATCH,27
DF-348,QC-4536,BATCH-4004,DENT,3
DF-349,QC-2361,BATCH-862,THREAD-BAD,1
DF-350,QC-7800,BATCH-2340,DIM-ERR,38
DF-351,QC-5120,BATCH-2951,COLOR-MISMATCH,44
DF-352,QC-5003,BATCH-203,DIM-ERR,17
DF-353,QC-3382,BATCH-3321,未定义,30
DF-354,QC-1932,BATCH-4601,THREAD-BAD,43
DF-355,QC-6655,BATCH-6454,THREAD-BAD,44
DF-356,QC-7459,BATCH-4484,DENT,22
DF-357,QC-1150,BATCH-3446,SCRATCH,26
DF-358,QC-7405,BATCH-5237,未定义,44
DF-359,QC-2731,BATCH-177,DIM-ERR,14
DF-360,QC-2295,BATCH-3686,COLOR-MISMATCH,31
DF-361,QC-4415,BATCH-654,COLOR-MISMATCH,49
DF-362,QC-5672,BATCH-1876,COLOR-MISMATCH,41
DF-363,QC-6570,BATCH-1947,THREAD-BAD,33
DF-364,QC-3962,BATCH-5872,THREAD-BAD,39
DF-365,QC-5242,BATCH-5584,COLOR-MISMATCH,3
DF-366,QC-3719,BATCH-1672,DIM-ERR,18
DF-367,QC-6833,BATCH-2391,SCRATCH,3
DF-368,QC-4847,BATCH-4831,THREAD-BAD,36
DF-369,QC-5115,BATCH-7581,SCRATCH,11
DF-370,QC-3759,BATCH-62,THREAD-BAD,21
DF-371,QC-5798,BATCH-3187,COLOR-MISMATCH,16
DF-372,QC-263,BATCH-2008,DENT,41
DF-373,QC-5294,BATCH-2039,DENT,35
DF-374,QC-2845,BATCH-6706,DIM-ERR,37
DF-375,QC-754,BATCH-1154,未定义,41
DF-376,QC-3111,BATCH-2289,DENT,35
DF-377,QC-4415,BATCH-4518,DENT,39
DF-378,QC-2592,BATCH-7008,DENT,8
DF-379,QC-1196,BATCH-3652,THREAD-BAD,23
DF-380,QC-4523,BATCH-5286,DIM-ERR,31
DF-381,QC-220,BATCH-3531,COLOR-MISMATCH,43
DF-382,QC-1509,BATCH-6954,THREAD-BAD,2
DF-383,QC-971,BATCH-6283,THREAD-BAD,42
DF-384,QC-176,BATCH-5037,SCRATCH,23
DF-385,QC-184,BATCH-2696,未定义,32
DF-386,QC-362,BATCH-7335,THREAD-BAD,29
DF-387,QC-7503,BATCH-4328,DENT,16
DF-388,QC-6165,BATCH-5408,未定义,44
DF-389,QC-68,BATCH-1821,DENT,18
DF-390,QC-6548,BATCH-5209,THREAD-BAD,39
DF-391,QC-7081,BATCH-7891,THREAD-BAD,47
DF-392,QC-374,BATCH-7172,DIM-ERR,36
DF-393,QC-69,BATCH-2890,THREAD-BAD,33
DF-394,QC-5424,BATCH-7469,THREAD-BAD,1
DF-395,QC-4686,BATCH-5145,COLOR-MISMATCH,4
DF-396,QC-6835,BATCH-6423,COLOR-MISMATCH,26
DF-397,QC-4597,BATCH-3494,DIM-ERR,33
DF-398,QC-4482,BATCH-1148,SCRATCH,44
DF-399,QC-4131,BATCH-6455,未定义,9
DF-400,QC-7810,BATCH-5225,COLOR-MISMATCH,8
DF-401,QC-5004,BATCH-4573,SCRATCH,49
DF-402,QC-5520,BATCH-5635,THREAD-BAD,42
DF-403,QC-5139,BATCH-6782,DENT,1
DF-404,QC-4413,BATCH-4814,THREAD-BAD,29
DF-405,QC-5798,BATCH-6697,未定义,32
DF-406,QC-6270,BATCH-836,DENT,40
DF-407,QC-2037,BATCH-1334,SCRATCH,5
DF-408,QC-3962,BATCH-2147,THREAD-BAD,30
DF-409,QC-6270,BATCH-6715,COLOR-MISMATCH,49
DF-410,QC-5760,BATCH-5455,SCRATCH,3
DF-411,QC-297,BATCH-4960,DENT,21
DF-412,QC-4653,BATCH-1004,DENT,40
DF-413,QC-5520,BATCH-2720,THREAD-BAD,20
DF-414,QC-7555,BATCH-3470,未定义,44
DF-415,QC-7810,BATCH-1845,DENT,33
DF-416,QC-7988,BATCH-4254,THREAD-BAD,45
DF-417,QC-869,BATCH-2038,DENT,21
DF-418,QC-7020,BATCH-4815,DIM-ERR,21
DF-419,QC-963,BATCH-6215,COLOR-MISMATCH,37
DF-420,QC-184,BATCH-7740,COLOR-MISMATCH,21
DF-421,QC-5072,BATCH-7414,THREAD-BAD,29
DF-422,QC-7095,BATCH-6601,SCRATCH,2
DF-423,QC-4413,BATCH-5377,COLOR-MISMATCH,23
DF-424,QC-1559,BATCH-2211,THREAD-BAD,9
DF-425,QC-2273,BATCH-4804,DIM-ERR,22
DF-426,QC-7405,BATCH-6626,COLOR-MISMATCH,43
DF-427,QC-1154,BATCH-4381,SCRATCH,29
DF-428,QC-2935,BATCH-3693,DIM-ERR,41
DF-429,QC-2226,BATCH-6999,COLOR-MISMATCH,44
DF-430,QC-6237,BATCH-3862,未定义,45
DF-431,QC-5305,BATCH-511,SCRATCH,7
DF-432,QC-4125,BATCH-231,SCRATCH,32
DF-433,QC-3791,BATCH-254,SCRATCH,45
DF-434,QC-1391,BATCH-7545,DIM-ERR,35
DF-435,QC-2981,BATCH-2187,COLOR-MISMATCH,48
DF-436,QC-1815,BATCH-2258,DENT,40
DF-437,QC-3934,BATCH-1341,DIM-ERR,18
DF-438,QC-7393,BATCH-4179,未定义,6
DF-439,QC-284,BATCH-1998,未定义,22
DF-440,QC-100,BATCH-1821,未定义,19
DF-441,QC-7164,BATCH-6568,未定义,39
DF-442,QC-4137,BATCH-15,THREAD-BAD,22
DF-443,QC-1395,BATCH-1790,DENT,35
DF-444,QC-5242,BATCH-2126,THREAD-BAD,44
DF-445,QC-7509,BATCH-1964,COLOR-MISMATCH,4
DF-446,QC-1454,BATCH-360,DENT,6
DF-447,QC-6816,BATCH-7131,SCRATCH,31
DF-448,QC-6621,BATCH-6755,THREAD-BAD,22
DF-449,QC-694,BATCH-4589,DENT,1
DF-450,QC-2072,BATCH-198,DIM-ERR,11
DF-451,QC-1196,BATCH-3391,未定义,45
DF-452,QC-6001,BATCH-1435,DENT,12
DF-453,QC-7884,BATCH-659,COLOR-MISMATCH,35
DF-454,QC-1239,BATCH-3612,DENT,5
DF-455,QC-6278,BATCH-2275,SCRATCH,1
DF-456,QC-7231,BATCH-7506,COLOR-MISMATCH,34
DF-457,QC-694,BATCH-4464,THREAD-BAD,43
DF-458,QC-7800,BATCH-5285,SCRATCH,44
DF-459,QC-963,BATCH-2770,未定义,23
DF-460,QC-3111,BATCH-5006,SCRATCH,12
DF-461,QC-93,BATCH-4373,未定义,33
DF-462,QC-5003,BATCH-7528,DIM-ERR,10
DF-463,QC-3425,BATCH-6763,DENT,11
DF-464,QC-6307,BATCH-5239,SCRATCH,33
DF-465,QC-2462,BATCH-2197,SCRATCH,33
DF-466,QC-6655,BATCH-6132,SCRATCH,29
DF-467,QC-100,BATCH-7191,DIM-ERR,40
DF-468,QC-856,BATCH-4120,COLOR-MISMATCH,18
DF-469,QC-5760,BATCH-2211,COLOR-MISMATCH,2
DF-470,QC-2177,BATCH-6867,DIM-ERR,35
DF-471,QC-1226,BATCH-5100,SCRATCH,12
DF-472,QC-2981,BATCH-7792,SCRATCH,25
DF-473,QC-5623,BATCH-7449,DENT,35
DF-474,QC-6496,BATCH-1407,SCRATCH,14
DF-475,QC-3935,BATCH-686,未定义,20
DF-476,QC-3489,BATCH-6774,THREAD-BAD,20
DF-477,QC-3590,BATCH-7321,DENT,50
DF-478,QC-4917,BATCH-117,DENT,37
DF-479,QC-4103,BATCH-1657,COLOR-MISMATCH,17
DF-480,QC-5596,BATCH-3667,DIM-ERR,3
DF-481,QC-2592,BATCH-5237,DENT,1
DF-482,QC-290,BATCH-946,DENT,41
DF-483,QC-6625,BATCH-81,DENT,27
DF-484,QC-7364,BATCH-7588,COLOR-MISMATCH,45
DF-485,QC-1150,BATCH-6591,SCRATCH,28
DF-486,QC-1740,BATCH-4311,未定义,25
DF-487,QC-4391,BATCH-4061,未定义,46
DF-488,QC-2177,BATCH-7028,未定义,14
DF-489,QC-7383,BATCH-3173,SCRATCH,6
DF-490,QC-7404,BATCH-5141,DENT,31
DF-491,QC-963,BATCH-91,DENT,27
DF-492,QC-297,BATCH-6385,DENT,20
DF-493,QC-4744,BATCH-7624,DIM-ERR,33
DF-494,QC-2361,BATCH-6356,SCRATCH,40
DF-495,QC-2731,BATCH-3815,THREAD-BAD,43
DF-496,QC-5267,BATCH-171,COLOR-MISMATCH,31
DF-497,QC-5633,BATCH-2004,未定义,42
DF-498,QC-4536,BATCH-5698,THREAD-BAD,44
DF-499,QC-5940,BATCH-6634,DENT,41
DF-500,QC-2264,BATCH-2304,DENT,50
