check_id,batch_id,check_date,result,defect_count
QC-221,BATCH-7230,06/05/2026,pass,0
QC-222,BATCH-6110,08/13/2026,PASS,0
QC-223,BATCH-5939,15-09-2024,pass,0
QC-224,BATCH-6230,08/07/2024,pass,0
QC-225,BATCH-5514,2024-03-26,Pass,0
QC-226,BATCH-6713,2026-11-11,pass,0
QC-227,BATCH-5415,01/10/2026,pass,0
QC-228,BATCH-6373,12/26/2024,pass,0
QC-229,BATCH-6229,2025-10-03,pass,0
QC-230,BATCH-1110,2026-09-28,Pass,18
QC-231,BATCH-5813,08/01/2025,PASS,0
QC-232,BATCH-2734,09/03/2026,PASS,0
QC-233,BATCH-3801,2025-07-06,PASS,17
QC-234,BATCH-1255,09/07/2024,PASS,0
QC-235,BATCH-1319,03/15/2024,pass,0
QC-236,BATCH-3830,07/08/2025,Pass,0
QC-237,BATCH-774,2024-02-16,Pass,0
QC-238,BATCH-6244,2026-03-01,pass,0
QC-239,BATCH-6933,2024-09-18,pass,0
QC-240,BATCH-946,07/27/2025,pass,0
QC-241,BATCH-7938,2024-10-05,PASS,0
QC-242,BATCH-2357,04/10/2026,PASS,0
QC-243,BATCH-1263,2024-11-07,Pass,0
QC-244,BATCH-417,2024-11-09,Pass,0
QC-245,BATCH-4250,2026-09-16,pass,0
QC-246,BATCH-679,2025-07-13,Pass,0
QC-247,BATCH-7637,2025-07-15,Pass,0
QC-248,BATCH-4245,26-02-2024,Pass,0
QC-249,BATCH-1085,08-04-2025,Pass,0
QC-250,BATCH-6372,08/03/2024,PASS,0
QC-251,BATCH-329,2026-12-16,pass,0
QC-252,BATCH-3034,09/12/2024,pass,0
QC-253,BATCH-5926,10/22/2026,Pass,0
QC-254,BATCH-7299,03-11-2024,PASS,0
QC-255,BATCH-738,2026-06-08,fail,0
QC-256,BATCH-2329,04-09-2026,Pass,0
QC-257,BATCH-7283,2026-07-22,pass,3
QC-258,BATCH-2364,2026-05-17,PASS,1
QC-259,BATCH-3368,11/17/2026,pass,0
QC-260,BATCH-3161,07/01/2026,PASS,0
QC-261,BATCH-4496,2024-09-15,Pass,0
QC-262,BATCH-6041,2025-02-27,pass,0
QC-263,BATCH-4962,2025-10-08,PASS,0
QC-264,BATCH-1378,13-12-2026,pass,0
QC-265,BATCH-6561,2025-04-02,PASS,0
QC-266,BATCH-4411,2026-12-05,pass,0
QC-267,BATCH-84,09-07-2025,Pass,0
QC-268,BATCH-776,2025-07-05,Pass,0
QC-269,BATCH-7321,2026-11-04,pass,0
QC-270,BATCH-423,05/13/2026,Pass,0
QC-271,BATCH-1654,08/21/2024,PASS,0
QC-272,BATCH-3844,2025-08-01,pass,0
QC-273,BATCH-549,04/17/2025,fail,0
QC-274,BATCH-1595,2024-02-25,fail,0
QC-275,BATCH-6003,23-03-2025,PASS,0
QC-276,BATCH-1170,2024-03-11,pass,0
QC-277,BATCH-3003,12/28/2025,PASS,17
QC-278,BATCH-4410,05/19/2024,pass,0
QC-279,BATCH-4331,2024-09-02,fail,0
QC-280,BATCH-5464,2025-10-25,pass,17
QC-281,BATCH-7711,2024-11-24,pass,0
QC-282,BATCH-1544,2024-04-23,pass,0
QC-283,BATCH-1233,2025-01-23,PASS,18
QC-284,BATCH-1718,2026-04-10,PASS,0
QC-285,BATCH-6466,01-04-2024,PASS,0
QC-286,BATCH-1478,25-07-2024,fail,0
QC-287,BATCH-6517,06/11/2024,PASS,0
QC-288,BATCH-7403,2026-09-10,PASS,0
QC-289,BATCH-5966,05/05/2025,PASS,0
QC-290,BATCH-3173,04/04/2024,pass,0
QC-291,BATCH-7448,2025-09-25,PASS,0
QC-292,BATCH-1877,10/25/2024,Pass,0
QC-293,BATCH-416,09/27/2026,Pass,0
QC-294,BATCH-5723,07/03/2025,PASS,0
QC-295,BATCH-786,2024-01-07,PASS,0
QC-296,BATCH-2259,25-09-2024,Pass,0
QC-297,BATCH-5820,03/01/2025,pass,0
QC-298,BATCH-7595,06-05-2026,pass,0
QC-299,BATCH-273,07/11/2026,PASS,0
QC-300,BATCH-2894,2026-07-18,Pass,0
QC-301,BATCH-4558,2026-05-24,Pass,0
QC-302,BATCH-2535,05/11/2024,PASS,0
QC-303,BATCH-6941,2024-10-10,PASS,0
QC-304,BATCH-7073,2025-10-08,Pass,0
QC-305,BATCH-265,07/19/2026,Pass,0
QC-306,BATCH-5696,2026-04-21,Pass,0
QC-307,BATCH-6914,2025-07-19,Pass,0
QC-308,BATCH-1365,04-07-2026,Pass,0
QC-309,BATCH-3977,2024-05-27,Pass,0
QC-310,BATCH-4210,12/28/2026,PASS,0
QC-311,BATCH-4876,2024-06-13,Pass,0
QC-312,BATCH-4007,01/20/2026,pass,0
QC-313,BATCH-3422,26-09-2024,Pass,0
QC-314,BATCH-4973,2026-07-13,pass,9
QC-315,BATCH-7250,04/18/2026,Pass,0
QC-316,BATCH-3243,15-01-2026,Pass,0
QC-317,BATCH-7514,21-07-2024,pass,0
QC-318,BATCH-6511,02/27/2025,fail,0
QC-319,BATCH-3775,2025-12-07,Pass,0
QC-320,BATCH-1548,19-02-2024,Pass,0
QC-321,BATCH-2906,2025-03-05,PASS,0
QC-322,BATCH-5115,24-01-2024,Pass,0
QC-323,BATCH-1205,2025-06-26,Pass,0
QC-324,BATCH-2205,15-02-2024,PASS,0
QC-325,BATCH-7069,2025-05-08,pass,0
QC-326,BATCH-4196,24-07-2026,Pass,0
QC-327,BATCH-2663,21-10-2026,pass,0
QC-328,BATCH-5481,05/24/2025,Pass,0
QC-329,BATCH-4220,21-08-2024,Pass,0
QC-330,BATCH-117,2025-02-13,PASS,0
QC-331,BATCH-7623,2025-01-28,pass,0
QC-332,BATCH-1182,05/14/2025,pass,0
QC-333,BATCH-1061,01/05/2024,pass,0
QC-334,BATCH-7640,2025-07-26,pass,0
QC-335,BATCH-5864,2025-12-01,pass,0
QC-336,BATCH-4477,2026-04-24,Pass,0
QC-337,BATCH-3132,2024-10-22,PASS,0
QC-338,BATCH-751,2024-02-26,pass,0
QC-339,BATCH-3655,03/05/2025,pass,0
QC-340,BATCH-7544,05/22/2024,fail,14
QC-341,BATCH-6272,2024-10-09,PASS,0
QC-342,BATCH-3234,12/09/2026,pass,0
QC-343,BATCH-3897,2025-03-16,PASS,0
QC-344,BATCH-1061,2025-01-06,Pass,0
QC-345,BATCH-1511,04/08/2026,PASS,0
QC-346,BATCH-2088,21-05-2024,Pass,0
QC-347,BATCH-7814,2025-03-04,PASS,0
QC-348,BATCH-5092,2026-05-16,PASS,0
QC-349,BATCH-1896,2025-06-20,pass,0
QC-350,BATCH-1205,09-08-2026,pass,0
QC-351,BATCH-434,2025-07-11,Pass,0
QC-352,BATCH-4359,06/12/2026,pass,0
QC-353,BATCH-6453,25-11-2026,Pass,0
QC-354,BATCH-4690,05/21/2024,PASS,0
QC-355,BATCH-6561,2025-05-12,pass,0
QC-356,BATCH-1547,2026-11-21,pass,0
QC-357,BATCH-3321,2024-06-26,fail,3
QC-358,BATCH-3099,04/09/2025,Pass,0
QC-359,BATCH-2355,06/24/2025,Pass,0
QC-360,BATCH-2491,07/04/2026,PASS,0
QC-361,BATCH-5269,10/04/2026,Pass,0
QC-362,BATCH-6730,2026-03-10,fail,0
QC-363,BATCH-3161,2024-02-23,PASS,0
QC-364,BATCH-6583,07-08-2025,pass,0
QC-365,BATCH-3002,25-10-2024,fail,0
QC-366,BATCH-4111,28-08-2025,Pass,0
QC-367,BATCH-5540,11/17/2025,PASS,0
QC-368,BATCH-1772,27-02-2025,fail,0
QC-369,BATCH-6867,2026-08-22,pass,0
QC-370,BATCH-1598,2025-04-19,Pass,0
QC-371,BATCH-1615,2025-12-01,PASS,1
QC-372,BATCH-390,2024-11-28,pass,0
QC-373,BATCH-3696,2024-04-12,PASS,0
QC-374,BATCH-1191,2026-05-02,fail,0
QC-375,BATCH-1007,15-10-2025,PASS,0
QC-376,BATCH-2187,2026-05-20,PASS,0
QC-377,BATCH-4202,2026-09-04,Pass,0
QC-378,BATCH-4264,2025-12-26,pass,0
QC-379,BATCH-3729,08-05-2026,pass,0
QC-380,BATCH-2139,13-04-2025,Pass,0
QC-381,BATCH-3840,09-03-2024,fail,0
QC-382,BATCH-5842,2025-07-15,pass,0
QC-383,BATCH-1390,09/21/2025,PASS,0
QC-384,BATCH-3937,09-03-2026,fail,0
QC-385,BATCH-3380,11/09/2025,PASS,11
QC-386,BATCH-6813,2025-11-20,PASS,0
QC-387,BATCH-5461,2024-10-07,pass,0
QC-388,BATCH-5117,2024-08-27,Pass,15
QC-389,BATCH-5128,2025-05-23,pass,0
QC-390,BATCH-4562,2025-01-03,Pass,0
QC-391,BATCH-8,07/07/2025,pass,0
QC-392,BATCH-6412,10/18/2025,Pass,1
QC-393,BATCH-3337,2025-04-13,PASS,0
QC-394,BATCH-598,04/15/2025,pass,0
QC-395,BATCH-544,02/20/2025,PASS,0
QC-396,BATCH-1632,08/12/2024,Pass,0
QC-397,BATCH-5793,09-08-2026,Pass,0
QC-398,BATCH-2816,28-08-2025,PASS,0
QC-399,BATCH-3721,06/17/2024,pass,6
QC-400,BATCH-760,10/11/2024,Pass,0
QC-401,BATCH-7712,2024-12-13,pass,0
QC-402,BATCH-3422,2025-03-01,Pass,0
QC-403,BATCH-428,01/10/2025,PASS,0
QC-404,BATCH-3488,28-05-2024,PASS,0
QC-405,BATCH-3761,04/14/2024,PASS,0
QC-406,BATCH-2465,2024-10-21,pass,0
QC-407,BATCH-2840,11-08-2025,Pass,0
QC-408,BATCH-3148,07/12/2025,pass,0
QC-409,BATCH-5874,01/10/2024,Pass,0
QC-410,BATCH-2925,2024-02-24,fail,0
QC-411,BATCH-5902,2026-03-07,PASS,0
QC-412,BATCH-7573,11/26/2024,pass,20
QC-413,BATCH-7426,10/26/2025,PASS,0
QC-414,BATCH-3107,2026-03-10,pass,0
QC-415,BATCH-5616,15-05-2024,Pass,0
QC-416,BATCH-5886,01/05/2025,Pass,0
QC-417,BATCH-1504,11/19/2025,PASS,0
QC-418,BATCH-1254,2024-09-03,pass,0
QC-419,BATCH-1695,12/09/2026,pass,0
QC-420,BATCH-5193,18-12-2026,PASS,0
QC-421,BATCH-6838,10/03/2025,fail,0
QC-422,BATCH-6973,2024-05-10,PASS,0
QC-423,BATCH-3601,08/27/2024,PASS,0
QC-424,BATCH-5071,2026-06-01,PASS,0
QC-425,BATCH-6304,2024-12-11,pass,0
QC-426,BATCH-5287,2026-01-24,PASS,0
QC-427,BATCH-6971,04/09/2025,pass,0
QC-428,BATCH-2875,01/05/2024,pass,0
QC-429,BATCH-2513,05/27/2024,Pass,0
QC-430,BATCH-1693,2025-03-15,PASS,0
QC-431,BATCH-6883,02/07/2025,pass,0
QC-432,BATCH-1450,07/10/2025,Pass,0
QC-433,BATCH-5408,07/14/2024,PASS,7
QC-434,BATCH-3239,12/12/2024,Pass,0
QC-435,BATCH-1463,2026-10-17,Pass,0
QC-436,BATCH-6344,02/07/2026,PASS,0
QC-437,BATCH-3836,17-07-2025,Pass,20
QC-438,BATCH-1593,2025-05-26,Pass,0
QC-439,BATCH-779,11/05/2026,pass,0
QC-440,BATCH-1561,08/14/2026,Pass,0
QC-441,BATCH-3222,09/20/2025,Pass,0
QC-442,BATCH-4051,03/05/2024,Pass,0
QC-443,BATCH-6307,2024-01-27,pass,0
QC-444,BATCH-1782,2024-09-12,Pass,0
QC-445,BATCH-7825,09/20/2025,PASS,0
QC-446,BATCH-4070,19-07-2025,pass,0
QC-447,BATCH-3314,2025-05-07,Pass,0
QC-448,BATCH-3231,2025-01-10,Pass,0
QC-449,BATCH-5449,10/25/2024,Pass,0
QC-450,BATCH-5084,2025-04-19,pass,0
QC-451,BATCH-6256,2024-03-25,Pass,0
QC-452,BATCH-5327,06/25/2025,pass,17
QC-453,BATCH-2502,2024-02-03,pass,0
QC-454,BATCH-1930,2025-06-14,PASS,0
QC-455,BATCH-6154,2026-08-24,PASS,0
QC-456,BATCH-6171,2024-03-26,pass,0
QC-457,BATCH-6083,08/16/2024,PASS,0
QC-458,BATCH-4529,2025-06-27,PASS,0
QC-459,BATCH-4922,20-06-2025,pass,0
QC-460,BATCH-1444,2026-06-18,PASS,0
QC-461,BATCH-3214,2024-02-14,PASS,0
QC-462,BATCH-3198,2024-07-08,PASS,0
QC-463,BATCH-7860,2024-04-01,Pass,0
QC-464,BATCH-1503,02-03-2024,pass,0
QC-465,BATCH-171,2026-04-02,Pass,0
QC-466,BATCH-3391,2026-08-11,Pass,0
QC-467,BATCH-3233,02/21/2025,PASS,9
QC-468,BATCH-2397,06/13/2025,Pass,0
QC-469,BATCH-408,2024-05-02,PASS,0
QC-470,BATCH-6780,12/20/2025,Pass,0
QC-471,BATCH-7972,02/06/2024,PASS,0
QC-472,BATCH-6284,2025-08-26,PASS,0
QC-473,BATCH-4013,08/28/2026,Pass,0
QC-474,BATCH-5045,11/27/2024,Pass,0
QC-475,BATCH-4229,27-12-2024,pass,0
QC-476,BATCH-199,2025-10-24,pass,10
QC-477,BATCH-7235,2025-09-08,pass,0
QC-478,BATCH-1089,24-02-2026,Pass,0
QC-479,BATCH-3736,01-03-2025,Pass,0
QC-480,BATCH-5224,2024-04-09,PASS,0
QC-481,BATCH-7241,04/13/2024,PASS,0
QC-482,BATCH-6243,05-04-2026,Pass,0
QC-483,BATCH-4858,2024-01-21,Pass,0
QC-484,BATCH-656,2026-03-22,pass,0
QC-485,BATCH-3791,10/14/2026,Pass,0
QC-486,BATCH-3154,2026-06-28,PASS,0
QC-487,BATCH-5474,2026-01-18,Pass,0
QC-488,BATCH-562,18-09-2026,Pass,0
QC-489,BATCH-2249,2024-12-01,PASS,0
QC-490,BATCH-7587,10/25/2024,PASS,0
QC-491,BATCH-4176,17-09-2026,PASS,0
QC-492,BATCH-6067,10-04-2026,Pass,0
QC-493,BATCH-7578,2025-11-08,pass,0
QC-494,BATCH-1747,2026-08-09,pass,0
QC-495,BATCH-7637,06/09/2026,Pass,0
QC-496,BATCH-2111,2026-08-05,Pass,0
QC-497,BATCH-5561,2025-12-13,Pass,0
QC-498,BATCH-7904,2024-02-15,Pass,0
QC-499,BATCH-3664,01/28/2024,Pass,0
QC-500,BATCH-6673,2025-09-15,PASS,0
QC-501,BATCH-3774,08/14/2026,pass,0
QC-502,BATCH-6501,2024-08-25,PASS,0
QC-503,BATCH-1958,12/28/2026,Pass,0
QC-504,BATCH-1201,02/11/2026,PASS,0
QC-505,BATCH-4098,2024-11-25,Pass,0
QC-506,BATCH-498,2025-09-19,PASS,0
QC-507,BATCH-6711,2024-09-07,PASS,0
QC-508,BATCH-5049,2024-03-12,fail,0
QC-509,BATCH-782,06/26/2024,Pass,0
QC-510,BATCH-947,2026-04-04,Pass,0
QC-511,BATCH-466,03/22/2025,Pass,0
QC-512,BATCH-3995,2025-06-01,Pass,0
QC-513,BATCH-3192,2024-01-18,pass,0
QC-514,BATCH-6977,02/26/2024,pass,0
QC-515,BATCH-2427,2026-01-08,pass,0
QC-516,BATCH-1677,2024-02-28,Pass,0
QC-517,BATCH-4204,07/06/2024,pass,0
QC-518,BATCH-4660,2026-01-28,pass,0
QC-519,BATCH-6006,09/17/2025,pass,0
QC-520,BATCH-6789,04/11/2024,pass,0
QC-521,BATCH-6917,2025-10-22,pass,0
QC-522,BATCH-6085,07/13/2026,Pass,0
QC-523,BATCH-4172,2025-08-14,PASS,0
QC-524,BATCH-2081,08/08/2026,pass,0
QC-525,BATCH-4914,2025-01-09,PASS,15
QC-526,BATCH-3336,07/12/2026,PASS,0
QC-527,BATCH-1725,01/16/2026,Pass,0
QC-528,BATCH-4045,2026-07-27,PASS,0
QC-529,BATCH-5192,12/19/2024,pass,0
QC-530,BATCH-2106,2024-07-06,PASS,0
QC-531,BATCH-7032,02-07-2025,PASS,0
QC-532,BATCH-1797,2026-06-27,Pass,0
QC-533,BATCH-5095,13-09-2026,PASS,0
QC-534,BATCH-6405,05-03-2026,Pass,0
QC-535,BATCH-7531,08-01-2025,Pass,0
QC-536,BATCH-7805,2026-02-17,pass,0
QC-537,BATCH-4512,2024-11-27,Pass,0
QC-538,BATCH-6786,15-05-2026,pass,0
QC-539,BATCH-5143,2024-08-15,PASS,5
QC-540,BATCH-3753,06/22/2026,Pass,0
QC-541,BATCH-5195,05/05/2025,Pass,0
QC-542,BATCH-4471,13-12-2024,Pass,0
QC-543,BATCH-1982,24-02-2026,Pass,0
QC-544,BATCH-7,09/18/2025,PASS,0
QC-545,BATCH-1018,2026-01-20,Pass,0
QC-546,BATCH-7390,2026-02-07,PASS,0
