invoice_id,customer_id,quotation_id,invoice_date,due_date,amount,status
MI-160,MC-1367,Q-662,10/12/2024,2027-10-18,"$1,743,139.00",overdue
MI-161,MC-1078,Q-873,10/21/2025,2024-11-06,1068971,pending
MI-162,MC-307,Q-373,2024-10-25,2027-04-08,1662942,overdue
MI-163,MC-751,Q-749,05-04-2025,2024-05-06,"1 518 333,00",OVERDUE
MI-164,MC-590,Q-1028,2026-02-16,2027-10-26,1925327,overdue
MI-165,MC-993,Q-700,13-10-2025,01/06/2024,88243,overdue
MI-166,MC-439,Q-923,14-11-2024,2027-04-16,"$740,605.00",overdue
MI-167,MC-605,Q-1239,2024-06-08,2025-12-05,840980,PAID
MI-168,MC-737,Q-1196,04-01-2025,07/17/2026,"961 823,00",PAID
MI-169,MC-15,Q-536,2025-08-14,2025-09-04,"$836,150.00",pending
MI-170,MC-1131,Q-331,12/04/2025,2026-03-07,1866673,OVERDUE
MI-171,MC-928,Q-219,2024-06-05,2027-11-19,1 298 690,overdue
MI-172,MC-1097,Q-109,2024-10-24,05-06-2025,"$428,090.00",pending
MI-173,MC-486,Q-101,2024-01-13,2027-05-09,358125,overdue
MI-174,MC-409,Q-401,2025-04-12,2025-12-05,160716,PAID
MI-175,MC-1042,Q-1308,12/22/2026,2027-11-27,205999,overdue
MI-176,MC-1115,Q-911,2025-01-05,04/15/2026,1288881,OVERDUE
MI-177,MC-1291,Q-707,2025-10-05,2027-05-17,498518,overdue
MI-178,MC-124,Q-1391,2024-08-07,24-08-2025,1811813,PAID
MI-179,MC-313,Q-328,09/16/2026,05/12/2025,1688430,paid
MI-180,MC-587,Q-1025,11/24/2024,05/20/2026,"$840,558.00",paid
MI-181,MC-388,Q-607,25-09-2026,2025-08-11,554 094,PAID
MI-182,MC-905,Q-76,09-05-2026,2027-12-20,15245,overdue
MI-183,MC-1361,Q-1385,06-03-2024,2025-07-12,"$1,657,061.00",pending
MI-184,MC-1081,Q-760,07/20/2025,2027-06-10,"$1,387,586.00",overdue
MI-185,MC-955,Q-932,2025-12-03,16-05-2024,111048,paid
MI-186,MC-630,Q-795,08/22/2026,2027-12-28,139602,overdue
MI-187,MC-127,Q-535,2025-10-16,02/10/2025,1451525,PAID
MI-188,MC-1268,Q-1081,12-08-2025,2027-06-18,"$420,679.00",overdue
MI-189,MC-1327,Q-968,2026-09-14,04/15/2026,1217317,OVERDUE
MI-190,MC-468,Q-284,15-04-2026,08/04/2026,"$340,935.00",paid
MI-191,MC-1244,Q-1070,2024-05-14,02/16/2026,"$1,710,864.00",PAID
MI-192,MC-1001,Q-665,04/04/2024,03/23/2025,960 296,OVERDUE
MI-193,MC-916,Q-750,03-09-2025,2027-01-21,770 797,overdue
MI-194,MC-826,Q-770,2025-07-21,2026-06-13,"$560,851.00",overdue
MI-195,MC-1167,Q-295,2025-09-26,2027-07-11,255434,overdue
MI-196,MC-907,Q-12,08-08-2025,2026-09-09,"$890,259.00",paid
MI-197,MC-1228,Q-647,06/11/2026,2027-01-01,"981 577,00",overdue
MI-198,MC-782,Q-455,10-07-2026,06/11/2026,1627258,OVERDUE
MI-199,MC-1269,Q-789,15-03-2024,2027-07-19,1 266 946,overdue
MI-200,MC-1093,Q-372,09/14/2026,02/11/2026,382 095,PAID
MI-201,MC-634,Q-1212,12-02-2025,09/24/2024,"$1,948,998.00",overdue
MI-202,MC-1196,Q-1109,11/01/2025,01-11-2025,629 580,PAID
MI-203,MC-1231,Q-961,2024-10-11,06/07/2025,"$1,002,502.00",pending
MI-204,MC-1239,Q-274,2025-11-07,2027-02-22,302305,overdue
MI-205,MC-833,Q-744,2024-10-03,04/25/2026,729 344,OVERDUE
MI-206,MC-1162,Q-120,04/02/2024,2027-08-12,1719252,overdue
MI-207,MC-1086,Q-1130,2025-09-27,2025-11-24,"$204,060.00",PAID
MI-208,MC-529,Q-702,02/06/2025,2027-02-02,"$86,373.00",overdue
MI-209,MC-653,Q-484,05-02-2025,04/14/2025,1 061 021,pending
MI-210,MC-878,Q-1378,2026-05-19,2027-08-20,"$556,639.00",overdue
MI-211,MC-779,Q-928,03/01/2024,2025-04-22,"373 575,00",overdue
MI-212,MC-1135,Q-1488,2026-11-07,2025-03-01,1 757 436,paid
MI-213,MC-292,Q-844,2024-12-25,15-03-2026,"$1,537,059.00",OVERDUE
MI-214,MC-1322,Q-32,2024-12-11,2024-03-20,846224,pending
MI-215,MC-304,Q-636,2024-09-08,2027-03-23,1707052,overdue
MI-216,MC-962,Q-344,12-07-2024,2024-12-05,1595482,OVERDUE
MI-217,MC-1113,Q-1448,2025-05-20,2027-09-13,"1 573 728,00",overdue
MI-218,MC-853,Q-542,2026-01-13,2026-03-07,1164786,paid
MI-219,MC-407,Q-1408,2025-06-28,2027-03-03,"$540,319.00",overdue
MI-220,MC-1038,Q-562,2025-05-06,05/12/2024,"$198,819.00",paid
MI-221,MC-3,Q-514,02/09/2026,2027-09-21,"$1,448,641.00",overdue
MI-222,MC-298,Q-444,2024-04-08,2025-01-08,673341,overdue
MI-223,MC-1054,Q-33,02-06-2024,10/08/2026,"$1,949,016.00",paid
MI-224,MC-1118,Q-296,03-08-2026,2025-07-07,"$709,635.00",paid
MI-225,MC-299,Q-558,04/26/2026,2024-04-09,"$121,670.00",OVERDUE
MI-226,MC-660,Q-12,26-05-2026,2027-04-24,1492712,overdue
MI-227,MC-731,Q-1356,2025-03-27,2025-09-24,"$247,517.00",paid
MI-228,MC-1174,Q-871,09/11/2026,2027-10-14,387629,overdue
MI-229,MC-918,Q-1179,12/27/2026,2026-04-06,"$1,486,775.00",OVERDUE
MI-230,MC-1146,Q-195,01/15/2024,2027-04-04,"$765,200.00",overdue
MI-231,MC-679,Q-438,2025-04-18,2024-05-07,512 385,paid
MI-232,MC-962,Q-616,2025-03-08,2027-10-22,1419742,overdue
MI-233,MC-1106,Q-265,2024-08-17,22-02-2024,81 493,OVERDUE
MI-234,MC-888,Q-180,03-11-2026,01/13/2024,"$614,039.00",paid
MI-235,MC-928,Q-1153,2024-01-03,2026-07-25,1885487,paid
MI-236,MC-1295,Q-363,10/05/2026,2026-06-26,1429243,PAID
MI-237,MC-1189,Q-1345,07-09-2024,2027-05-25,"$1,608,117.00",overdue
MI-238,MC-833,Q-598,07/25/2024,2026-01-03,"999 437,00",overdue
MI-239,MC-766,Q-1283,14-07-2025,2027-11-15,508944,overdue
MI-240,MC-550,Q-737,06-06-2025,2024-10-18,1603196,paid
MI-241,MC-395,Q-1361,15-12-2025,2027-05-05,807722,overdue
MI-242,MC-675,Q-1082,2025-01-23,2024-04-09,289304,OVERDUE
MI-243,MC-382,Q-729,2024-02-25,2027-11-23,1276976,overdue
MI-244,MC-935,Q-200,2024-07-22,01/23/2025,186118,pending
MI-245,MC-953,Q-1149,10/27/2025,2026-12-11,532249,PAID
MI-246,MC-1124,Q-1127,2025-04-17,10/01/2024,1873708,pending
MI-247,MC-733,Q-31,2024-07-22,02/17/2025,"$490,664.00",paid
MI-248,MC-942,Q-1309,05/03/2026,2027-06-26,240055,overdue
MI-249,MC-1398,Q-302,2025-02-19,08/23/2025,1 275 034,pending
MI-250,MC-704,Q-808,12-05-2026,2027-12-16,"$1,791,759.00",overdue
MI-251,MC-1258,Q-1444,01/19/2026,16-07-2025,1347152,PAID
MI-252,MC-1393,Q-1187,2024-12-07,2027-06-06,"$18,948.00",overdue
MI-253,MC-149,Q-589,2026-03-01,02/28/2025,"$228,060.00",overdue
MI-254,MC-145,Q-633,01/09/2025,2027-12-24,1391249,overdue
MI-255,MC-370,Q-796,2025-12-09,11-12-2024,1389815,pending
MI-256,MC-517,Q-684,03/19/2025,07-09-2025,"1 983 375,00",pending
MI-257,MC-1091,Q-637,01/10/2026,2026-10-09,"$938,187.00",overdue
MI-258,MC-378,Q-359,2025-01-15,08/15/2024,1767305,pending
MI-259,MC-1164,Q-1116,2025-01-20,2027-07-27,"$1,060,087.00",overdue
MI-260,MC-640,Q-407,2024-10-01,12/12/2026,"$1,144,308.00",pending
MI-261,MC-1078,Q-414,05/04/2025,2027-01-17,"$436,560.00",overdue
MI-262,MC-485,Q-789,2026-08-09,18-12-2026,"1 776 455,00",paid
MI-263,MC-922,Q-330,07/17/2026,2027-07-07,1 808 199,overdue
MI-264,MC-973,Q-621,01-10-2026,2025-07-02,"$1,576,334.00",PAID
MI-265,MC-977,Q-1320,2025-02-27,2027-01-25,1289811,overdue
MI-266,MC-485,Q-1054,01/21/2025,08/28/2026,"$458,962.00",PAID
MI-267,MC-915,Q-1285,2024-12-26,2024-09-11,"$587,761.00",paid
MI-268,MC-773,Q-361,2024-01-25,2024-03-05,"$1,328,481.00",overdue
MI-269,MC-1333,Q-404,2026-01-05,17-09-2026,"$903,110.00",OVERDUE
MI-270,MC-1086,Q-1367,20-06-2024,2027-08-28,1573440,overdue
MI-271,MC-994,Q-1274,2025-02-28,2025-08-12,"$1,598,302.00",pending
MI-272,MC-447,Q-1252,01/27/2024,2027-02-18,978536,overdue
MI-273,MC-1051,Q-999,2026-02-22,11-10-2026,917267,PAID
MI-274,MC-1345,Q-1454,10/26/2026,2027-08-08,"$1,499,364.00",overdue
MI-275,MC-1385,Q-773,2024-04-05,11/06/2025,"$1,389,838.00",OVERDUE
MI-276,MC-1322,Q-312,06/02/2025,2027-02-26,1706452,overdue
MI-277,MC-437,Q-1481,03/24/2024,2024-02-13,"1 378 074,00",OVERDUE
MI-278,MC-604,Q-513,2025-01-14,2025-05-26,586597,pending
MI-279,MC-749,Q-113,12/02/2025,05/12/2025,29609,PAID
MI-280,MC-1189,Q-951,23-10-2024,01/04/2025,1938736,PAID
MI-281,MC-416,Q-234,2026-02-13,2027-09-01,"$1,161,283.00",overdue
MI-282,MC-1292,Q-125,2025-02-27,2025-06-10,"$400,564.00",pending
MI-283,MC-729,Q-987,2024-02-03,2027-03-19,"$354,299.00",overdue
MI-284,MC-1092,Q-540,2026-06-16,24-11-2026,"$748,501.00",PAID
MI-285,MC-1078,Q-953,2025-10-12,2027-09-09,"1 529 260,00",overdue
MI-286,MC-1138,Q-1033,03/15/2025,12-08-2025,"1 776 887,00",overdue
MI-287,MC-929,Q-663,2026-09-05,2027-03-27,"$34,569.00",overdue
MI-288,MC-631,Q-1164,2025-06-26,12/14/2025,1062410,overdue
MI-289,MC-1097,Q-676,10-09-2024,02-09-2025,740 907,pending
MI-290,MC-1131,Q-899,2024-05-25,2026-05-28,"$835,052.00",overdue
MI-291,MC-935,Q-285,2026-08-16,2024-06-23,"1 238 949,00",PAID
MI-292,MC-2,Q-1,28-08-2025,2027-10-02,"$583,687.00",overdue
MI-293,MC-622,Q-600,26-02-2025,2026-10-25,1150454,overdue
MI-294,MC-865,Q-249,02/14/2025,2027-04-20,1099524,overdue
MI-295,MC-434,Q-1438,08/24/2026,25-06-2024,"$1,766,872.00",paid
MI-296,MC-1074,Q-1055,2026-01-19,2027-10-10,633175,overdue
MI-297,MC-536,Q-1497,2026-12-05,01/12/2025,"691 731,00",paid
MI-298,MC-338,Q-664,2026-04-17,2027-04-28,696478,overdue
MI-299,MC-306,Q-1091,07-10-2026,02/04/2026,"$412,525.00",pending
MI-300,MC-35,Q-719,07/02/2025,03/11/2024,"$458,150.00",OVERDUE
MI-301,MC-410,Q-567,26-12-2025,2026-04-20,"$1,863,978.00",overdue
MI-302,MC-804,Q-309,2026-04-08,2026-08-28,155055,paid
MI-303,MC-877,Q-1028,15-08-2025,2027-11-03,876721,overdue
MI-304,MC-1176,Q-1105,2025-01-06,01/17/2024,"$1,601,782.00",OVERDUE
MI-305,MC-785,Q-798,01/06/2025,2027-05-21,978986,overdue
MI-306,MC-607,Q-514,10/09/2026,04-11-2025,144266,pending
MI-307,MC-1179,Q-1342,2024-07-03,2027-11-11,"1 118 142,00",overdue
MI-308,MC-781,Q-999,11/14/2026,07/27/2025,636145,OVERDUE
MI-309,MC-1312,Q-1107,2024-01-23,2027-05-01,1567920,overdue
MI-310,MC-1285,Q-1333,02/26/2026,02/02/2026,109450,pending
MI-311,MC-669,Q-109,01/16/2026,18-01-2024,"$1,799,257.00",overdue
MI-312,MC-829,Q-1046,28-03-2024,2026-04-04,"1 348 505,00",paid
MI-313,MC-729,Q-1424,03/17/2025,11/12/2024,316929,pending
MI-314,MC-409,Q-573,03/13/2026,2027-12-04,"1 567 065,00",overdue
MI-315,MC-903,Q-451,2026-11-02,2025-01-25,"$529,768.00",paid
MI-316,MC-801,Q-806,07/24/2025,2027-06-22,1373426,overdue
MI-317,MC-546,Q-184,14-08-2025,2025-01-06,"1 847 694,00",pending
MI-318,MC-1069,Q-1329,08/20/2025,2027-12-12,"$800,440.00",overdue
MI-319,MC-989,Q-1203,01/12/2024,25-10-2026,"$714,570.00",paid
MI-320,MC-1368,Q-281,2025-09-02,2027-06-02,"$111,151.00",overdue
MI-321,MC-1152,Q-379,09/03/2026,2025-03-13,1859925,OVERDUE
MI-322,MC-945,Q-1218,11/05/2024,24-08-2024,"$859,946.00",pending
MI-323,MC-1108,Q-1003,2025-04-12,01/08/2024,"$720,339.00",PAID
MI-324,MC-1062,Q-1441,02/16/2025,2026-11-25,1865723,PAID
MI-325,MC-11,Q-420,16-02-2026,2027-01-05,964330,overdue
MI-326,MC-1380,Q-1094,09/17/2026,2025-04-15,"$1,723,964.00",OVERDUE
MI-327,MC-749,Q-706,2026-03-18,2027-07-23,"$1,724,151.00",overdue
MI-328,MC-814,Q-183,10-07-2024,11-11-2025,140646,PAID
MI-329,MC-970,Q-1311,2024-11-12,2027-01-13,1 066 298,overdue
MI-330,MC-890,Q-1269,2025-12-28,2025-07-09,799530,paid
MI-331,MC-852,Q-746,2025-02-17,2027-07-03,"$1,588,014.00",overdue
MI-332,MC-427,Q-100,2025-06-21,11/17/2025,930332,paid
MI-333,MC-1350,Q-767,11/04/2025,2025-06-14,1 925 872,PAID
MI-334,MC-131,Q-952,2025-06-11,12/17/2025,"$1,358,115.00",PAID
MI-335,MC-727,Q-238,2026-02-16,08-03-2025,12402,OVERDUE
MI-336,MC-29,Q-64,25-11-2025,2027-02-06,"$1,764,054.00",overdue
MI-337,MC-659,Q-53,2026-11-11,2025-05-20,825794,overdue
MI-338,MC-355,Q-880,06/18/2025,2027-08-24,640 346,overdue
MI-339,MC-1110,Q-327,08/11/2026,11-02-2025,1302045,OVERDUE
MI-340,MC-1134,Q-1061,2025-10-13,2027-02-14,186555,overdue
MI-341,MC-337,Q-474,2026-12-11,2025-06-13,"$1,560,067.00",pending
MI-342,MC-1343,Q-1184,2024-07-22,2027-08-04,"$1,616,310.00",overdue
MI-343,MC-765,Q-1115,2024-07-26,05-02-2025,"$116,487.00",pending
MI-344,MC-348,Q-272,2026-07-07,02/01/2025,"$1,963,844.00",pending
MI-345,MC-654,Q-615,2024-05-28,05/14/2026,552297,PAID
MI-346,MC-978,Q-944,2026-11-15,16-01-2025,"$300,351.00",pending
MI-347,MC-1326,Q-976,2024-04-02,2027-03-07,"$267,368.00",overdue
MI-348,MC-525,Q-107,2026-07-27,2024-12-19,"$1,954,536.00",PAID
MI-349,MC-1053,Q-1077,08-04-2026,2027-09-25,1 040 923,overdue
MI-350,MC-1278,Q-663,04-02-2026,2025-01-11,"$1,510,834.00",paid
