quotation_id,customer_id,quote_date,valid_until,amount,status
Q-49,MC-1351,20-12-2024,2024-05-12,1843750,CONVERTED
Q-50,MC-1238,12-02-2024,2025-11-10,1039509,pending
Q-51,MC-893,25-04-2026,08/07/2025,213093,expired
Q-52,MC-1294,18-01-2026,28-05-2026,989312,rejected
Q-53,MC-1093,2024-05-10,12/15/2026,469876,CONVERTED
Q-54,MC-467,12/05/2026,09/25/2026,"1 944 033,00",CONVERTED
Q-55,MC-295,2026-01-11,01/23/2024,412 673,pending
Q-56,MC-841,2025-12-27,2024-07-02,1767502,CONVERTED
Q-57,MC-1314,2024-12-26,01/03/2026,1811407,pending
Q-58,MC-921,06/17/2026,2025-04-26,"$1,814,865.00",CONVERTED
Q-59,MC-414,11-02-2025,01-09-2024,1671993,converted
Q-60,MC-595,2024-06-06,09-03-2025,"$1,122,669.00",expired
Q-61,MC-795,2025-10-20,2026-08-01,"$1,687,960.00",rejected
Q-62,MC-518,16-01-2024,19-11-2024,826457,expired
Q-63,MC-1184,01-11-2026,2026-10-09,1067717,pending
Q-64,MC-1147,2025-07-25,11/04/2025,1030521,expired
Q-65,MC-674,2026-01-26,2025-02-15,"1 770 815,00",pending
Q-66,MC-1360,19-05-2024,2026-01-01,864496,pending
Q-67,MC-1195,2026-09-15,2024-07-26,1827720,expired
Q-68,MC-605,2024-01-07,2024-11-10,"$703,603.00",expired
Q-69,MC-292,2024-12-10,2026-01-07,1878194,converted
Q-70,MC-145,2024-03-06,08/06/2024,385647,rejected
Q-71,MC-383,12-07-2024,2024-02-08,308539,converted
Q-72,MC-1128,2024-04-23,2025-05-19,972981,expired
Q-73,MC-9,2025-12-18,2026-10-28,1350862,CONVERTED
Q-74,MC-412,2024-04-22,2024-12-13,"$361,173.00",expired
Q-75,MC-339,2025-04-03,11/04/2026,1 054 596,converted
Q-76,MC-1092,2025-07-12,06-02-2025,1928305,converted
Q-77,MC-1128,2026-12-03,2025-02-02,429436,CONVERTED
Q-78,MC-627,2026-11-10,07/18/2024,"$1,686,151.00",converted
Q-79,MC-833,2026-11-01,2025-12-06,1037106,pending
Q-80,MC-327,2025-01-01,2024-03-25,"82 588,00",expired
Q-81,MC-1069,11/06/2024,2025-12-02,1086844,CONVERTED
Q-82,MC-628,04/27/2024,2025-04-08,"676 734,00",expired
Q-83,MC-746,2024-08-27,2025-02-21,1 123 409,expired
Q-84,MC-1067,25-10-2025,2025-09-18,807 485,CONVERTED
Q-85,MC-495,2024-05-05,06/16/2025,"$721,842.00",rejected
Q-86,MC-352,12/04/2025,06/14/2026,"$1,540,056.00",pending
Q-87,MC-927,2024-06-21,08/19/2025,"993 561,00",expired
Q-88,MC-813,03/27/2025,2026-12-18,"$778,546.00",converted
Q-89,MC-321,10/08/2026,2025-07-20,"1 843 809,00",expired
Q-90,MC-1118,08/05/2026,2025-02-12,50765,converted
Q-91,MC-811,12-01-2024,09/14/2024,369469,pending
Q-92,MC-513,2024-08-13,2025-03-21,1021125,converted
Q-93,MC-856,02/26/2024,02/04/2026,1101376,converted
Q-94,MC-653,2025-09-08,2024-10-06,"$432,737.00",CONVERTED
Q-95,MC-872,2026-11-21,2025-03-11,"$356,752.00",rejected
Q-96,MC-702,05/04/2025,2026-09-13,877334,expired
Q-97,MC-445,03-01-2025,2025-09-10,1 302 733,converted
Q-98,MC-1220,2025-03-28,12/07/2026,65 552,rejected
Q-99,MC-1157,02/20/2026,2024-11-03,1331788,rejected
Q-100,MC-549,2026-03-20,2025-04-03,1458846,CONVERTED
Q-101,MC-1318,2024-01-28,2024-06-08,1 201 876,expired
Q-102,MC-566,2025-04-01,2025-07-04,"$1,210,175.00",expired
Q-103,MC-1091,2025-11-26,08/28/2026,1557475,rejected
Q-104,MC-1304,14-10-2026,18-08-2025,1707858,pending
Q-105,MC-636,2026-10-21,25-04-2026,260742,pending
Q-106,MC-1188,2024-01-10,2024-01-24,1900352,converted
Q-107,MC-1359,2024-12-02,06/08/2026,704858,CONVERTED
Q-108,MC-909,2025-04-08,2024-03-16,"$665,193.00",CONVERTED
Q-109,MC-978,12/10/2026,2026-03-11,1128464,CONVERTED
Q-110,MC-429,19-07-2026,08/22/2026,811678,expired
Q-111,MC-923,04/17/2026,2026-04-26,"$1,333,618.00",converted
Q-112,MC-339,10/08/2025,05/09/2024,1969938,pending
Q-113,MC-763,2025-06-04,2026-12-24,1681814,pending
Q-114,MC-1375,2026-09-28,2026-01-24,1181014,rejected
Q-115,MC-1168,2025-11-04,03/24/2025,"1 747 954,00",CONVERTED
Q-116,MC-1026,07/14/2024,2026-12-18,1829321,rejected
Q-117,MC-670,2025-01-07,17-07-2025,253215,CONVERTED
Q-118,MC-1129,23-09-2024,01/13/2025,1239253,expired
Q-119,MC-677,2025-05-19,2026-01-25,"430 784,00",expired
Q-120,MC-138,25-03-2026,08/24/2024,482125,converted
Q-121,MC-326,08/13/2025,2024-12-09,1536179,rejected
Q-122,MC-705,2026-06-24,2024-12-09,"$688,901.00",converted
Q-123,MC-497,2025-06-14,2025-01-14,"$1,434,642.00",converted
Q-124,MC-287,07/10/2025,09/15/2025,369228,expired
Q-125,MC-918,2024-09-28,2024-03-03,227776,pending
Q-126,MC-118,21-06-2026,2024-04-11,"$1,327,604.00",rejected
Q-127,MC-370,2026-02-21,2025-02-27,"$1,705,136.00",expired
Q-128,MC-654,2025-02-03,2024-01-07,870722,rejected
Q-129,MC-579,15-01-2025,2026-11-21,"$854,310.00",pending
Q-130,MC-702,10/14/2024,09/18/2024,"1 828 683,00",pending
Q-131,MC-467,2026-08-25,01/11/2025,"$392,854.00",converted
Q-132,MC-1097,2024-05-19,2024-04-05,"$486,787.00",rejected
Q-133,MC-780,12/05/2026,09-03-2025,87924,converted
Q-134,MC-30,06-12-2026,22-08-2024,"$730,044.00",CONVERTED
Q-135,MC-711,12/18/2026,16-12-2026,"1 665 285,00",converted
Q-136,MC-733,11-07-2024,02/12/2026,"$1,718,820.00",CONVERTED
Q-137,MC-1399,2024-07-04,06/01/2025,1526465,pending
Q-138,MC-895,12/24/2024,2026-04-17,172809,CONVERTED
Q-139,MC-325,2025-04-19,04/09/2024,1725098,pending
Q-140,MC-601,2025-08-10,2026-08-15,"1 464 838,00",pending
Q-141,MC-890,10/02/2026,03-06-2025,109444,CONVERTED
Q-142,MC-980,11/17/2025,06/16/2025,1987980,expired
Q-143,MC-470,05/22/2026,24-02-2024,907556,rejected
Q-144,MC-844,2025-02-15,13-03-2024,927100,expired
Q-145,MC-714,2025-11-05,2024-10-05,374927,rejected
Q-146,MC-332,02-01-2025,02-09-2025,396 916,expired
Q-147,MC-1400,23-10-2025,10/28/2024,1513733,expired
Q-148,MC-343,2025-03-07,2024-05-12,"$576,077.00",rejected
Q-149,MC-1191,11/06/2024,2024-03-16,"$1,127,933.00",pending
Q-150,MC-990,2024-08-16,2024-09-06,"$603,373.00",converted
Q-151,MC-868,2025-01-15,15-02-2026,116211,CONVERTED
Q-152,MC-990,2026-05-17,06/01/2024,1 419 395,expired
Q-153,MC-1265,09/10/2025,2024-04-28,"$1,728,279.00",CONVERTED
Q-154,MC-1215,02/14/2024,2025-09-03,1696143,CONVERTED
Q-155,MC-39,03/27/2025,21-03-2025,"$373,346.00",expired
Q-156,MC-5,2026-05-04,24-10-2024,47229,expired
Q-157,MC-1101,2025-06-04,04/05/2024,"1 383 543,00",pending
Q-158,MC-1163,2026-10-20,2026-07-27,"$1,672,615.00",expired
Q-159,MC-631,2026-05-21,2025-07-19,212508,pending
Q-160,MC-571,10/12/2026,07/24/2024,1400256,expired
Q-161,MC-374,03/21/2025,06-12-2026,1 724 265,expired
Q-162,MC-473,01/01/2024,2025-04-08,1642316,converted
Q-163,MC-973,2026-02-08,14-11-2024,"884 543,00",CONVERTED
Q-164,MC-600,02/21/2026,18-04-2024,1317864,converted
Q-165,MC-1307,2025-11-09,01/22/2026,1 888 901,pending
Q-166,MC-1033,2026-12-06,2024-03-06,1637224,pending
Q-167,MC-999,2026-12-04,2026-09-28,861277,CONVERTED
Q-168,MC-591,2025-05-23,2026-02-03,734760,rejected
Q-169,MC-1027,2026-02-03,2026-10-10,414678,rejected
Q-170,MC-414,04/06/2026,2025-02-27,863749,CONVERTED
Q-171,MC-492,2024-07-24,09/20/2025,1958677,rejected
Q-172,MC-736,05/05/2025,2024-01-10,"$792,077.00",converted
Q-173,MC-1026,2024-05-18,03/18/2025,1415160,CONVERTED
Q-174,MC-475,05-03-2025,2025-12-13,1410486,pending
Q-175,MC-733,14-09-2026,2024-10-07,558238,rejected
Q-176,MC-798,23-04-2024,07/02/2024,1641323,rejected
Q-177,MC-1322,2026-04-28,07/20/2026,"$481,883.00",expired
Q-178,MC-1028,2025-10-12,2025-03-02,545 274,converted
Q-179,MC-632,11/21/2026,2025-09-02,452697,expired
Q-180,MC-788,07/19/2024,2024-11-27,"451 238,00",CONVERTED
Q-181,MC-24,2026-08-03,26-05-2024,"$1,831,829.00",expired
Q-182,MC-678,25-03-2026,2026-07-08,"$265,259.00",expired
Q-183,MC-1219,2024-07-10,10/05/2024,"$1,575,763.00",converted
Q-184,MC-297,2026-04-16,17-09-2024,1197735,pending
Q-185,MC-520,2026-03-06,2026-09-27,181639,CONVERTED
Q-186,MC-635,21-10-2024,2026-11-18,464154,converted
Q-187,MC-475,2026-07-28,01-01-2026,740038,pending
Q-188,MC-487,2025-10-04,2026-09-19,1732110,expired
Q-189,MC-803,07/01/2025,2024-08-16,"$620,414.00",pending
Q-190,MC-133,02/09/2025,14-05-2026,"$1,787,051.00",expired
Q-191,MC-357,2024-08-13,08/05/2025,"$121,089.00",expired
Q-192,MC-1202,02/13/2024,2026-08-11,858192,expired
Q-193,MC-385,25-04-2026,2025-03-19,"$1,187,743.00",rejected
Q-194,MC-776,02/15/2026,2024-02-02,1 586 322,pending
Q-195,MC-1216,2025-06-09,2026-09-04,"$226,855.00",pending
Q-196,MC-1363,02/03/2025,2024-01-27,"$1,994,134.00",converted
Q-197,MC-1385,2024-10-05,2024-02-26,"$619,240.00",CONVERTED
Q-198,MC-703,2025-11-13,2024-06-25,1162376,rejected
Q-199,MC-1070,2025-02-08,08-05-2025,"1 186 136,00",CONVERTED
Q-200,MC-1191,2026-01-09,01/05/2024,"$1,676,283.00",pending
Q-201,MC-1170,02/20/2025,12/26/2025,"$1,775,680.00",expired
Q-202,MC-427,09/25/2025,2025-12-10,720 914,expired
Q-203,MC-377,2026-12-16,2026-06-27,"$1,685,565.00",pending
Q-204,MC-864,2025-06-24,2026-02-08,1834476,CONVERTED
Q-205,MC-494,11/03/2025,17-04-2025,871049,rejected
Q-206,MC-1051,2026-12-07,2024-10-19,"$105,562.00",CONVERTED
Q-207,MC-510,2024-10-05,17-08-2025,"$444,716.00",expired
Q-208,MC-1026,06/09/2024,2024-11-26,789588,expired
Q-209,MC-505,2026-05-15,2025-08-24,1081171,converted
Q-210,MC-1343,2024-10-15,2025-01-27,481734,converted
Q-211,MC-1309,2026-11-25,2024-10-09,"$817,360.00",pending
Q-212,MC-857,05/02/2026,2026-07-11,"$1,912,582.00",rejected
Q-213,MC-818,2026-09-17,2026-12-13,"$828,967.00",converted
Q-214,MC-1032,02/15/2024,12/05/2026,1452897,pending
Q-215,MC-301,09/21/2024,2025-08-27,1603540,rejected
Q-216,MC-808,2026-11-24,2024-07-01,"749 029,00",expired
Q-217,MC-654,07/13/2026,26-02-2024,957122,rejected
Q-218,MC-341,2025-04-13,06/11/2025,1060255,rejected
Q-219,MC-1214,2026-07-28,18-04-2024,1305985,pending
Q-220,MC-689,26-04-2025,05/13/2025,1772793,pending
Q-221,MC-419,2026-05-21,08-07-2025,615697,converted
Q-222,MC-121,05-03-2026,13-03-2026,"$486,081.00",expired
Q-223,MC-726,2025-08-17,2025-09-18,1174905,converted
Q-224,MC-401,14-07-2026,09/06/2025,535073,converted
Q-225,MC-781,07/05/2026,11/14/2025,"579 713,00",converted
Q-226,MC-452,06/28/2026,2026-08-28,"$1,658,529.00",expired
Q-227,MC-792,2024-05-18,2024-10-18,"$1,293,885.00",rejected
Q-228,MC-839,2026-05-09,10/02/2026,929581,rejected
Q-229,MC-551,2026-10-21,2026-01-13,875864,expired
Q-230,MC-365,2026-11-14,2026-12-04,1 849 691,expired
Q-231,MC-350,2026-06-27,11-09-2026,1200917,expired
Q-232,MC-448,02/04/2024,2025-11-28,"$708,844.00",expired
Q-233,MC-977,2024-02-08,02/28/2026,916432,expired
Q-234,MC-1257,10/08/2025,25-04-2024,"$1,979,208.00",pending
Q-235,MC-1332,2026-03-16,2026-09-10,236479,CONVERTED
Q-236,MC-414,09/22/2025,2025-10-16,"$1,747,600.00",expired
Q-237,MC-569,2025-01-07,23-12-2026,"$1,370,365.00",CONVERTED
Q-238,MC-311,07/15/2024,2026-01-20,597 513,pending
Q-239,MC-571,15-07-2026,2026-07-22,163314,pending
Q-240,MC-967,09/12/2026,12/08/2025,621497,expired
Q-241,MC-802,19-03-2025,2026-08-18,1541384,CONVERTED
Q-242,MC-457,2025-02-04,16-01-2025,549406,expired
Q-243,MC-943,2024-12-21,2026-05-15,1847112,CONVERTED
Q-244,MC-459,2026-06-10,01-04-2026,1 985 392,pending
Q-245,MC-437,07/23/2024,07-01-2026,410495,pending
Q-246,MC-952,05/05/2025,2024-06-19,225481,rejected
Q-247,MC-978,10/01/2025,05/13/2025,"$1,204,869.00",rejected
Q-248,MC-1292,17-05-2025,08-01-2025,1 773 877,pending
Q-249,MC-885,03/18/2024,14-01-2026,"$491,181.00",rejected
Q-250,MC-22,2024-08-28,05/17/2025,"$432,839.00",CONVERTED
Q-251,MC-382,06-06-2025,2024-09-18,1025466,expired
Q-252,MC-606,15-12-2024,2024-02-15,358859,CONVERTED
Q-253,MC-649,2024-02-22,2024-07-15,"$715,962.00",rejected
Q-254,MC-951,2024-02-14,04/07/2025,596812,converted
Q-255,MC-641,2024-10-12,06-01-2026,1252925,converted
Q-256,MC-1005,2026-04-01,03/19/2024,497006,expired
Q-257,MC-793,08/17/2026,02/18/2025,851387,expired
Q-258,MC-1095,12/28/2026,16-01-2024,110408,expired
Q-259,MC-1139,08/05/2024,2026-07-17,323906,expired
Q-260,MC-1058,22-08-2024,2024-11-24,1228078,rejected
Q-261,MC-785,12/12/2024,2025-05-02,422040,rejected
Q-262,MC-1220,14-02-2024,2024-09-12,51671,CONVERTED
Q-263,MC-859,2024-04-28,2024-08-04,"1 435 528,00",converted
Q-264,MC-772,04/20/2026,19-09-2026,"$374,091.00",expired
Q-265,MC-779,2025-09-21,14-03-2025,"797 554,00",expired
Q-266,MC-403,2025-07-04,2025-10-08,866 337,pending
Q-267,MC-1220,2025-08-13,09/25/2025,"$1,611,079.00",rejected
Q-268,MC-364,20-07-2025,2024-06-19,"$1,377,243.00",CONVERTED
Q-269,MC-839,07/21/2024,2025-09-15,"1 986 857,00",converted
Q-270,MC-13,2024-03-12,2025-01-07,"1 168 571,00",CONVERTED
Q-271,MC-447,2026-10-19,2024-09-18,141930,expired
Q-272,MC-985,06/03/2026,10/01/2026,615268,expired
Q-273,MC-531,2026-07-02,02/23/2026,"$720,359.00",rejected
Q-274,MC-1201,14-04-2026,2025-02-23,"290 379,00",pending
Q-275,MC-1003,2026-12-05,2025-03-20,"$175,114.00",expired
Q-276,MC-941,2026-04-19,01/08/2026,1765277,expired
Q-277,MC-717,2024-08-03,2026-11-08,1988575,expired
Q-278,MC-1020,2024-11-27,03/12/2026,"$455,168.00",expired
Q-279,MC-1117,2026-03-14,06/28/2024,1900407,converted
Q-280,MC-875,06/17/2024,28-11-2026,1464819,expired
Q-281,MC-1307,2024-01-17,01/06/2025,"1 742 886,00",converted
Q-282,MC-19,2025-03-17,2026-03-20,801750,CONVERTED
Q-283,MC-26,2026-08-21,24-11-2024,1702226,CONVERTED
Q-284,MC-1344,10-02-2024,2026-01-16,"$1,541,864.00",CONVERTED
Q-285,MC-140,02/02/2026,26-04-2026,1 985 699,converted
Q-286,MC-449,2024-06-23,2025-10-27,638 246,pending
Q-287,MC-1044,23-01-2026,03/23/2025,"1 622 178,00",pending
Q-288,MC-1359,05/27/2026,10/13/2026,313665,converted
Q-289,MC-1198,2025-05-06,2024-05-19,"$465,866.00",converted
Q-290,MC-449,10/23/2026,07/06/2024,"597 346,00",CONVERTED
Q-291,MC-930,02/13/2025,2024-10-17,467704,converted
Q-292,MC-1234,2026-10-05,01/03/2025,"$551,211.00",pending
Q-293,MC-930,04/25/2025,25-03-2024,1822398,rejected
Q-294,MC-621,04/28/2024,04-05-2025,1 914 041,expired
Q-295,MC-507,2025-01-23,07/20/2024,"$1,615,362.00",CONVERTED
Q-296,MC-121,02-06-2024,10/06/2025,1023409,pending
Q-297,MC-592,2025-08-22,24-10-2026,687588,pending
Q-298,MC-613,05/13/2024,04-01-2024,"$335,898.00",pending
Q-299,MC-1216,2024-09-13,2024-08-11,"$1,666,390.00",rejected
Q-300,MC-1151,08/17/2025,11/26/2026,1243475,CONVERTED
Q-301,MC-1136,2026-09-09,03/21/2024,57725,expired
Q-302,MC-871,2024-08-22,01/04/2026,"1 026 656,00",converted
Q-303,MC-766,24-08-2025,2026-11-23,"$1,147,596.00",pending
Q-304,MC-283,2024-10-01,06/26/2025,652390,expired
Q-305,MC-124,2026-10-02,03/19/2025,"$421,846.00",pending
Q-306,MC-1070,2024-11-24,2024-10-01,"$1,992,832.00",rejected
Q-307,MC-1321,2024-01-13,2025-04-08,271533,rejected
Q-308,MC-134,2026-08-28,01-10-2026,1811552,rejected
Q-309,MC-641,2025-05-15,2025-09-18,675245,expired
Q-310,MC-490,14-10-2025,2025-12-26,"1 740 425,00",converted
Q-311,MC-832,2025-06-18,2024-08-23,246354,CONVERTED
Q-312,MC-934,2024-10-01,04/06/2024,1538564,converted
Q-313,MC-834,2024-02-26,2025-05-21,221690,rejected
Q-314,MC-1125,2025-12-23,17-10-2024,1424096,converted
Q-315,MC-547,2024-09-15,27-09-2024,1400791,expired
Q-316,MC-741,2024-03-03,01/06/2026,"$1,552,834.00",expired
Q-317,MC-1271,2025-03-02,11/18/2026,"367 750,00",CONVERTED
Q-318,MC-691,08-06-2024,23-09-2025,1139260,CONVERTED
Q-319,MC-959,2025-03-26,03/11/2024,"$1,748,859.00",converted
Q-320,MC-420,2025-06-24,09/18/2025,"$1,633,132.00",expired
Q-321,MC-952,28-09-2025,2025-01-02,1683891,CONVERTED
Q-322,MC-1001,12/14/2024,03-12-2026,"$812,608.00",expired
Q-323,MC-710,16-03-2026,2025-02-24,"$273,793.00",rejected
Q-324,MC-787,01/03/2025,03/11/2024,493209,expired
Q-325,MC-1142,17-09-2025,2024-07-16,"$795,381.00",CONVERTED
Q-326,MC-1127,11/18/2024,2026-04-26,522450,expired
Q-327,MC-384,2026-06-28,2025-11-20,898424,CONVERTED
Q-328,MC-1208,2025-04-16,2024-07-07,187457,rejected
Q-329,MC-32,08/07/2025,2024-10-25,1174737,pending
Q-330,MC-395,2024-06-23,2026-03-05,"1 735 126,00",expired
Q-331,MC-787,2026-07-19,14-01-2025,"$111,557.00",pending
Q-332,MC-1240,03/06/2025,08-10-2025,"339 277,00",rejected
Q-333,MC-414,2026-09-27,2024-08-23,1376548,pending
Q-334,MC-397,27-04-2024,05/12/2024,1667625,pending
Q-335,MC-953,05/27/2025,2024-04-04,"$1,553,663.00",expired
Q-336,MC-441,06/02/2025,09/21/2025,1677803,rejected
Q-337,MC-1011,03/10/2024,09/14/2025,430870,pending
Q-338,MC-1109,2024-08-05,2026-07-16,"$1,917,661.00",converted
Q-339,MC-1200,2025-11-27,2025-03-11,301946,converted
Q-340,MC-481,07-01-2026,02/15/2026,1851241,pending
Q-341,MC-663,2025-05-02,2025-03-12,810441,converted
Q-342,MC-300,2024-01-02,2025-10-08,1582457,rejected
Q-343,MC-122,2025-11-17,03-01-2026,723709,pending
Q-344,MC-1397,09-09-2025,09/10/2024,208212,pending
Q-345,MC-898,2026-05-07,2024-12-18,537170,expired
Q-346,MC-795,04/24/2025,25-06-2024,171000,CONVERTED
Q-347,MC-801,06/19/2024,06-10-2026,1295076,CONVERTED
Q-348,MC-1280,2025-12-21,05/28/2024,686800,CONVERTED
Q-349,MC-856,2026-04-11,01/10/2025,1 335 912,rejected
Q-350,MC-1045,12-03-2024,2026-07-14,"$1,935,657.00",converted
Q-351,MC-1339,03/08/2024,2024-05-16,"$1,803,364.00",expired
Q-352,MC-491,2024-12-24,2025-04-23,"1 603 190,00",pending
Q-353,MC-475,10/13/2026,10/21/2025,"81 281,00",expired
Q-354,MC-1265,02/15/2026,2024-09-12,28606,converted
Q-355,MC-1187,01/23/2026,10/14/2026,"797 870,00",expired
Q-356,MC-556,2026-01-07,2026-07-16,1406509,CONVERTED
Q-357,MC-389,11/12/2024,2026-07-09,"$460,570.00",expired
Q-358,MC-1171,2024-02-01,09/08/2026,1582521,converted
Q-359,MC-667,24-08-2024,2026-05-28,"81 519,00",rejected
Q-360,MC-1034,28-06-2024,06/13/2025,821501,rejected
Q-361,MC-996,01/07/2026,2025-10-07,437930,rejected
Q-362,MC-1294,10/27/2026,2024-01-20,"$567,768.00",expired
Q-363,MC-898,05/26/2024,2026-08-23,1524538,converted
Q-364,MC-720,2026-08-08,2024-11-26,487285,CONVERTED
Q-365,MC-386,13-04-2025,2026-09-02,998 936,converted
Q-366,MC-1249,2026-10-05,06/15/2024,574790,rejected
Q-367,MC-1384,2025-07-18,11/19/2024,855085,rejected
Q-368,MC-1215,2026-12-08,05/26/2024,"$1,462,632.00",converted
Q-369,MC-1152,2024-07-25,07/06/2026,"$403,305.00",converted
Q-370,MC-680,2026-06-25,2024-04-03,1515047,rejected
Q-371,MC-788,09-03-2026,18-06-2025,1152646,expired
Q-372,MC-1025,14-08-2025,2025-07-02,1959649,pending
Q-373,MC-779,2026-07-07,06/27/2025,202963,pending
Q-374,MC-909,02/03/2025,05/02/2026,74246,pending
Q-375,MC-915,2025-10-01,2024-06-03,"$1,969,285.00",pending
Q-376,MC-1265,10-09-2024,2025-01-13,196646,expired
Q-377,MC-148,2026-10-21,01/27/2025,1350549,rejected
Q-378,MC-1140,2024-07-21,2026-12-25,1113854,converted
Q-379,MC-1252,2026-03-04,2025-06-20,55637,rejected
Q-380,MC-915,2024-02-05,2025-05-04,"434 557,00",expired
Q-381,MC-1098,10/01/2025,09/02/2026,"$1,171,286.00",expired
Q-382,MC-396,04/10/2024,2024-07-09,1190195,pending
Q-383,MC-841,2025-08-01,02/02/2025,"$752,070.00",expired
Q-384,MC-1267,25-03-2026,09/15/2025,1500797,pending
Q-385,MC-1331,2026-11-09,24-03-2025,159280,converted
Q-386,MC-398,05/19/2025,2025-07-17,"393 039,00",converted
Q-387,MC-1174,2025-11-20,2026-03-04,1509097,expired
Q-388,MC-287,2025-01-17,11-04-2024,1680927,expired
Q-389,MC-114,2026-09-14,05/04/2025,"$330,059.00",converted
Q-390,MC-1283,02/27/2025,2025-04-13,"$598,818.00",CONVERTED
Q-391,MC-28,2026-10-12,18-02-2025,"$933,175.00",CONVERTED
Q-392,MC-632,08/27/2025,2026-11-28,"696 135,00",expired
Q-393,MC-1399,2024-10-07,2025-01-03,123439,CONVERTED
Q-394,MC-369,2025-05-21,05/07/2024,1775299,CONVERTED
Q-395,MC-556,2025-12-06,2025-07-17,"1 515 342,00",expired
Q-396,MC-522,2025-01-02,06-12-2026,"1 154 812,00",pending
Q-397,MC-454,2026-11-20,04-02-2024,819 824,rejected
Q-398,MC-344,01/13/2025,04-08-2024,1330465,CONVERTED
Q-399,MC-401,2026-05-14,2024-03-18,984177,expired
Q-400,MC-669,12-01-2025,19-12-2026,670695,expired
Q-401,MC-126,2025-01-25,2026-01-27,"1 080 284,00",pending
Q-402,MC-1367,05/13/2026,13-06-2024,"$360,280.00",rejected
Q-403,MC-525,19-11-2024,2026-07-15,"$400,144.00",converted
Q-404,MC-1189,2025-04-12,2024-01-12,"$995,753.00",expired
Q-405,MC-23,2025-09-23,2025-06-15,"$410,614.00",CONVERTED
Q-406,MC-868,07/15/2024,02-08-2026,523593,rejected
Q-407,MC-470,2025-01-23,2025-02-09,1458228,expired
Q-408,MC-1354,2026-02-23,2024-05-22,827260,expired
Q-409,MC-962,2025-02-17,2026-12-28,819036,CONVERTED
Q-410,MC-795,03/11/2024,03/02/2025,956819,expired
Q-411,MC-929,09/10/2025,02/24/2026,734322,expired
Q-412,MC-347,17-03-2025,2026-12-13,1805743,expired
Q-413,MC-1205,11/17/2025,2025-06-17,1890858,rejected
