bom_id,product_id,material_id,quantity_per_unit
BOM-223,M-1066,RM-11,2 件
BOM-224,M-1065,RM-51,1.2
BOM-225,M-1287,RM-86,0.5
BOM-226,M-1209,RM-37,1.2 m
BOM-227,M-1276,RM-81,2 件
BOM-228,M-1053,RM-102,1.2
BOM-229,M-1162,RM-19,500 g
BOM-230,M-1175,RM-11,2 件
BOM-231,M-1204,RM-91,500 g
BOM-232,M-1080,RM-70,0.5 kg
BOM-233,M-1111,RM-120,2 件
BOM-234,M-1202,RM-92,1.2
BOM-235,M-1054,RM-98,500 g
BOM-236,M-1190,RM-32,1.2
BOM-237,M-1189,RM-18,2 件
BOM-238,M-1222,RM-17,2 件
BOM-239,M-1227,RM-97,0.5 kg
BOM-240,M-1232,RM-98,2 件
BOM-241,M-1042,RM-75,2 件
BOM-242,M-1168,RM-20,1.2
BOM-243,M-1125,RM-28,500 g
BOM-244,M-1282,RM-3,0.5
BOM-245,M-1043,RM-95,2 件
BOM-246,M-1092,RM-114,0.5
BOM-247,M-1115,RM-68,0.5
BOM-248,M-1137,RM-3,2 件
BOM-249,M-1095,RM-114,1.2
BOM-250,M-1238,RM-56,0.5
BOM-251,M-1152,RM-114,0.5 kg
BOM-252,M-1087,RM-80,0.5 kg
BOM-253,M-1068,RM-107,500 g
BOM-254,M-1132,RM-32,1.2 m
BOM-255,M-1024,RM-120,1.2
BOM-256,M-1078,RM-7,2 件
BOM-257,M-1078,RM-114,500 g
BOM-258,M-1194,RM-100,2 件
BOM-259,M-1106,RM-43,500 g
BOM-260,M-1089,RM-22,2 件
BOM-261,M-1208,RM-25,0.5
BOM-262,M-1019,RM-51,1.2
BOM-263,M-1271,RM-107,1.2
BOM-264,M-1243,RM-91,1.2 m
BOM-265,M-1093,RM-112,2 件
BOM-266,M-1128,RM-84,0.5
BOM-267,M-1016,RM-59,500 g
BOM-268,M-1105,RM-120,1.2
BOM-269,M-1297,RM-29,1.2 m
BOM-270,M-1240,RM-93,0.5
BOM-271,M-1113,RM-94,2 件
BOM-272,M-1159,RM-28,500 g
BOM-273,M-1248,RM-102,0.5 kg
BOM-274,M-1280,RM-43,2 件
BOM-275,M-1048,RM-21,2 件
BOM-276,M-1122,RM-77,0.5
BOM-277,M-1246,RM-120,1.2
BOM-278,M-1030,RM-8,0.5
BOM-279,M-1224,RM-61,2 件
BOM-280,M-1018,RM-94,500 g
BOM-281,M-1201,RM-9,1.2
BOM-282,M-1197,RM-30,0.5 kg
BOM-283,M-1153,RM-33,0.5 kg
BOM-284,M-1114,RM-50,0.5
BOM-285,M-1042,RM-15,1.2
BOM-286,M-1257,RM-117,1.2 m
BOM-287,M-1292,RM-79,0.5 kg
BOM-288,M-1024,RM-42,0.5
BOM-289,M-1024,RM-28,1.2
BOM-290,M-1295,RM-47,0.5
BOM-291,M-1147,RM-116,500 g
BOM-292,M-1148,RM-33,2 件
BOM-293,M-1252,RM-19,500 g
BOM-294,M-1291,RM-106,0.5 kg
BOM-295,M-1016,RM-61,1.2 m
BOM-296,M-1189,RM-103,1.2 m
BOM-297,M-1299,RM-26,1.2 m
BOM-298,M-1205,RM-34,0.5
BOM-299,M-1026,RM-88,2 件
BOM-300,M-1210,RM-87,0.5
BOM-301,M-1014,RM-2,0.5
BOM-302,M-1258,RM-93,1.2 m
BOM-303,M-1205,RM-20,1.2
BOM-304,M-1063,RM-112,1.2
BOM-305,M-1097,RM-107,1.2 m
BOM-306,M-1015,RM-51,1.2
BOM-307,M-1226,RM-21,500 g
BOM-308,M-1255,RM-113,2 件
BOM-309,M-1004,RM-3,0.5 kg
BOM-310,M-1051,RM-83,500 g
BOM-311,M-1218,RM-120,500 g
BOM-312,M-1172,RM-77,500 g
BOM-313,M-1129,RM-118,0.5 kg
BOM-314,M-1200,RM-56,500 g
BOM-315,M-1209,RM-37,0.5
BOM-316,M-1046,RM-59,1.2
BOM-317,M-1088,RM-119,1.2 m
BOM-318,M-1002,RM-111,1.2 m
BOM-319,M-1079,RM-1,1.2 m
BOM-320,M-1072,RM-71,0.5
BOM-321,M-1142,RM-55,0.5 kg
BOM-322,M-1173,RM-19,500 g
BOM-323,M-1173,RM-40,0.5
BOM-324,M-1191,RM-57,0.5 kg
BOM-325,M-1120,RM-44,500 g
BOM-326,M-1093,RM-97,1.2
BOM-327,M-1159,RM-40,0.5
BOM-328,M-1125,RM-97,2 件
BOM-329,M-1297,RM-18,1.2
BOM-330,M-1298,RM-21,1.2
BOM-331,M-1090,RM-17,500 g
BOM-332,M-1159,RM-73,2 件
BOM-333,M-1088,RM-38,0.5 kg
BOM-334,M-1287,RM-96,0.5 kg
BOM-335,M-1226,RM-118,2 件
BOM-336,M-1135,RM-57,1.2
BOM-337,M-1106,RM-104,0.5
BOM-338,M-1044,RM-117,1.2 m
BOM-339,M-1282,RM-82,500 g
BOM-340,M-1256,RM-32,2 件
BOM-341,M-1187,RM-58,500 g
BOM-342,M-1038,RM-117,500 g
BOM-343,M-1024,RM-45,2 件
BOM-344,M-1106,RM-21,0.5 kg
BOM-345,M-1116,RM-69,2 件
BOM-346,M-1015,RM-83,0.5
BOM-347,M-1098,RM-56,2 件
BOM-348,M-1202,RM-41,2 件
BOM-349,M-1193,RM-88,500 g
BOM-350,M-1296,RM-84,1.2 m
BOM-351,M-1144,RM-43,1.2 m
BOM-352,M-1047,RM-77,2 件
BOM-353,M-1070,RM-51,1.2 m
BOM-354,M-1017,RM-17,1.2 m
BOM-355,M-1200,RM-81,0.5 kg
BOM-356,M-1069,RM-88,500 g
BOM-357,M-1023,RM-12,500 g
BOM-358,M-1060,RM-89,1.2 m
BOM-359,M-1243,RM-56,0.5 kg
BOM-360,M-1002,RM-85,2 件
BOM-361,M-1166,RM-56,2 件
BOM-362,M-1149,RM-92,1.2 m
BOM-363,M-1138,RM-51,500 g
BOM-364,M-1295,RM-63,500 g
BOM-365,M-1045,RM-69,2 件
BOM-366,M-1268,RM-52,2 件
BOM-367,M-1293,RM-9,1.2
BOM-368,M-1126,RM-69,500 g
BOM-369,M-1246,RM-63,1.2 m
BOM-370,M-1074,RM-2,2 件
BOM-371,M-1012,RM-33,2 件
BOM-372,M-1277,RM-83,0.5 kg
BOM-373,M-1240,RM-60,0.5
BOM-374,M-1068,RM-2,1.2
BOM-375,M-1189,RM-19,1.2 m
BOM-376,M-1010,RM-54,2 件
BOM-377,M-1123,RM-90,0.5 kg
BOM-378,M-1212,RM-5,0.5
BOM-379,M-1117,RM-105,1.2 m
BOM-380,M-1123,RM-95,1.2 m
BOM-381,M-1144,RM-19,1.2
BOM-382,M-1265,RM-34,0.5
BOM-383,M-1232,RM-81,0.5 kg
BOM-384,M-1022,RM-2,1.2
BOM-385,M-1224,RM-84,0.5
BOM-386,M-1077,RM-20,2 件
BOM-387,M-1042,RM-16,1.2 m
BOM-388,M-1238,RM-67,500 g
BOM-389,M-1121,RM-53,2 件
BOM-390,M-1142,RM-109,0.5 kg
BOM-391,M-1161,RM-56,1.2 m
BOM-392,M-1182,RM-36,1.2
BOM-393,M-1175,RM-32,2 件
BOM-394,M-1108,RM-33,1.2
BOM-395,M-1099,RM-35,2 件
BOM-396,M-1148,RM-70,0.5
BOM-397,M-1298,RM-25,0.5 kg
BOM-398,M-1111,RM-16,1.2 m
BOM-399,M-1248,RM-89,0.5
BOM-400,M-1187,RM-87,500 g
BOM-401,M-1296,RM-63,0.5 kg
BOM-402,M-1155,RM-57,1.2 m
BOM-403,M-1065,RM-8,0.5
BOM-404,M-1260,RM-6,500 g
BOM-405,M-1059,RM-5,0.5
BOM-406,M-1034,RM-40,2 件
BOM-407,M-1059,RM-39,0.5
BOM-408,M-1147,RM-58,1.2 m
BOM-409,M-1132,RM-7,1.2
BOM-410,M-1252,RM-40,1.2 m
BOM-411,M-1128,RM-57,1.2
BOM-412,M-1019,RM-90,500 g
BOM-413,M-1202,RM-51,1.2
BOM-414,M-1014,RM-28,2 件
BOM-415,M-1294,RM-79,1.2
BOM-416,M-1189,RM-41,1.2
BOM-417,M-1066,RM-78,0.5
BOM-418,M-1114,RM-59,2 件
BOM-419,M-1228,RM-20,0.5
BOM-420,M-1049,RM-44,1.2
BOM-421,M-1066,RM-59,500 g
BOM-422,M-1010,RM-40,1.2 m
BOM-423,M-1106,RM-29,2 件
BOM-424,M-1136,RM-14,1.2
BOM-425,M-1083,RM-92,500 g
BOM-426,M-1195,RM-29,1.2 m
BOM-427,M-1022,RM-118,1.2 m
BOM-428,M-1236,RM-40,1.2
BOM-429,M-1033,RM-5,2 件
BOM-430,M-1026,RM-77,0.5
BOM-431,M-1184,RM-24,2 件
BOM-432,M-1119,RM-109,0.5 kg
BOM-433,M-1294,RM-62,1.2
BOM-434,M-1284,RM-41,1.2
BOM-435,M-1187,RM-91,1.2
BOM-436,M-1171,RM-80,0.5
BOM-437,M-1012,RM-97,500 g
BOM-438,M-1053,RM-117,1.2
BOM-439,M-1206,RM-93,0.5
BOM-440,M-1008,RM-63,1.2
BOM-441,M-1105,RM-40,1.2 m
BOM-442,M-1027,RM-7,500 g
BOM-443,M-1091,RM-81,500 g
BOM-444,M-1150,RM-84,2 件
BOM-445,M-1043,RM-8,2 件
BOM-446,M-1061,RM-33,1.2 m
BOM-447,M-1251,RM-89,0.5
BOM-448,M-1161,RM-6,0.5 kg
BOM-449,M-1069,RM-112,2 件
BOM-450,M-1112,RM-33,0.5
BOM-451,M-1113,RM-52,1.2 m
BOM-452,M-1182,RM-73,500 g
BOM-453,M-1204,RM-5,2 件
BOM-454,M-1108,RM-116,0.5
BOM-455,M-1272,RM-6,0.5
BOM-456,M-1033,RM-63,2 件
BOM-457,M-1050,RM-44,1.2
BOM-458,M-1065,RM-95,500 g
BOM-459,M-1168,RM-2,500 g
BOM-460,M-1269,RM-39,1.2
BOM-461,M-1107,RM-40,1.2
BOM-462,M-1149,RM-91,1.2 m
BOM-463,M-1252,RM-81,1.2
BOM-464,M-1053,RM-35,1.2
BOM-465,M-1089,RM-21,1.2
BOM-466,M-1066,RM-49,0.5
BOM-467,M-1134,RM-120,500 g
BOM-468,M-1095,RM-59,500 g
BOM-469,M-1245,RM-28,500 g
BOM-470,M-1226,RM-21,0.5 kg
BOM-471,M-1073,RM-67,0.5
BOM-472,M-1259,RM-47,0.5 kg
BOM-473,M-1040,RM-25,1.2 m
BOM-474,M-1240,RM-27,1.2 m
BOM-475,M-1122,RM-75,500 g
BOM-476,M-1071,RM-10,500 g
BOM-477,M-1293,RM-76,0.5 kg
BOM-478,M-1067,RM-40,2 件
BOM-479,M-1159,RM-119,0.5 kg
BOM-480,M-1167,RM-21,1.2 m
BOM-481,M-1266,RM-107,1.2 m
BOM-482,M-1209,RM-116,2 件
BOM-483,M-1092,RM-13,0.5 kg
BOM-484,M-1269,RM-99,2 件
BOM-485,M-1223,RM-27,2 件
BOM-486,M-1146,RM-104,1.2 m
BOM-487,M-1289,RM-110,500 g
BOM-488,M-1031,RM-84,500 g
BOM-489,M-1273,RM-94,1.2
BOM-490,M-1285,RM-2,1.2
BOM-491,M-1226,RM-96,0.5
BOM-492,M-1112,RM-49,0.5 kg
BOM-493,M-1289,RM-73,500 g
BOM-494,M-1011,RM-99,0.5
BOM-495,M-1138,RM-1,500 g
BOM-496,M-1211,RM-70,500 g
BOM-497,M-1223,RM-119,0.5
BOM-498,M-1165,RM-88,1.2
BOM-499,M-1279,RM-8,500 g
BOM-500,M-1175,RM-63,2 件
BOM-501,M-1271,RM-56,0.5 kg
BOM-502,M-1022,RM-118,1.2
BOM-503,M-1263,RM-18,500 g
BOM-504,M-1063,RM-2,500 g
BOM-505,M-1215,RM-61,1.2 m
BOM-506,M-1240,RM-45,500 g
BOM-507,M-1077,RM-17,1.2
BOM-508,M-1070,RM-107,1.2 m
BOM-509,M-1281,RM-4,0.5 kg
BOM-510,M-1244,RM-23,0.5 kg
BOM-511,M-1294,RM-37,2 件
BOM-512,M-1032,RM-106,0.5
BOM-513,M-1129,RM-66,0.5
BOM-514,M-1088,RM-86,1.2
BOM-515,M-1219,RM-43,0.5
BOM-516,M-1176,RM-119,1.2
BOM-517,M-1054,RM-104,1.2 m
BOM-518,M-1122,RM-2,2 件
BOM-519,M-1144,RM-106,1.2 m
BOM-520,M-1128,RM-35,0.5
BOM-521,M-1222,RM-82,0.5 kg
BOM-522,M-1297,RM-98,0.5
BOM-523,M-1254,RM-32,1.2
BOM-524,M-1119,RM-72,1.2
BOM-525,M-1159,RM-35,0.5 kg
BOM-526,M-1270,RM-67,0.5
BOM-527,M-1080,RM-72,1.2
BOM-528,M-1290,RM-102,500 g
BOM-529,M-1279,RM-102,1.2
BOM-530,M-1171,RM-18,1.2 m
BOM-531,M-1161,RM-117,2 件
BOM-532,M-1198,RM-55,2 件
BOM-533,M-1256,RM-36,1.2 m
BOM-534,M-1207,RM-84,2 件
BOM-535,M-1174,RM-14,2 件
BOM-536,M-1257,RM-17,1.2
BOM-537,M-1080,RM-18,500 g
BOM-538,M-1097,RM-80,500 g
BOM-539,M-1215,RM-95,500 g
BOM-540,M-1198,RM-17,0.5
BOM-541,M-1185,RM-64,1.2 m
BOM-542,M-1026,RM-83,1.2 m
BOM-543,M-1259,RM-68,1.2
BOM-544,M-1188,RM-1,1.2
BOM-545,M-1247,RM-87,1.2
BOM-546,M-1049,RM-88,500 g
BOM-547,M-1183,RM-79,1.2
BOM-548,M-1019,RM-100,500 g
BOM-549,M-1112,RM-33,1.2
BOM-550,M-1179,RM-40,1.2
BOM-551,M-1237,RM-94,500 g
BOM-552,M-1237,RM-62,0.5 kg
BOM-553,M-1236,RM-18,0.5 kg
BOM-554,M-1080,RM-80,1.2
BOM-555,M-1042,RM-28,2 件
BOM-556,M-1078,RM-64,1.2
BOM-557,M-1196,RM-80,500 g
BOM-558,M-1022,RM-7,500 g
BOM-559,M-1121,RM-46,1.2 m
BOM-560,M-1007,RM-50,500 g
BOM-561,M-1199,RM-13,1.2 m
BOM-562,M-1138,RM-113,0.5
BOM-563,M-1102,RM-82,0.5
BOM-564,M-1227,RM-55,1.2 m
BOM-565,M-1045,RM-65,0.5 kg
BOM-566,M-1166,RM-1,500 g
BOM-567,M-1107,RM-98,1.2
BOM-568,M-1162,RM-2,1.2 m
BOM-569,M-1000,RM-46,500 g
BOM-570,M-1046,RM-18,1.2 m
BOM-571,M-1288,RM-28,2 件
BOM-572,M-1213,RM-57,2 件
BOM-573,M-1189,RM-108,1.2
BOM-574,M-1066,RM-77,500 g
BOM-575,M-1159,RM-60,0.5 kg
BOM-576,M-1094,RM-89,1.2 m
BOM-577,M-1295,RM-94,0.5
BOM-578,M-1052,RM-67,1.2 m
BOM-579,M-1147,RM-35,1.2
BOM-580,M-1067,RM-111,500 g
BOM-581,M-1278,RM-46,0.5 kg
BOM-582,M-1047,RM-117,0.5
BOM-583,M-1032,RM-66,0.5
BOM-584,M-1103,RM-3,0.5
BOM-585,M-1085,RM-40,1.2 m
BOM-586,M-1229,RM-101,500 g
BOM-587,M-1034,RM-23,0.5 kg
BOM-588,M-1155,RM-16,500 g
BOM-589,M-1258,RM-68,0.5
BOM-590,M-1234,RM-92,500 g
BOM-591,M-1125,RM-88,2 件
BOM-592,M-1177,RM-82,0.5 kg
BOM-593,M-1186,RM-92,1.2 m
BOM-594,M-1287,RM-82,500 g
BOM-595,M-1114,RM-63,500 g
BOM-596,M-1241,RM-50,2 件
BOM-597,M-1067,RM-94,2 件
BOM-598,M-1267,RM-59,1.2
BOM-599,M-1177,RM-7,500 g
BOM-600,M-1231,RM-50,1.2 m
BOM-601,M-1101,RM-110,0.5 kg
BOM-602,M-1216,RM-55,1.2 m
BOM-603,M-1012,RM-107,0.5
BOM-604,M-1022,RM-75,0.5
BOM-605,M-1252,RM-72,2 件
BOM-606,M-1136,RM-70,0.5 kg
BOM-607,M-1128,RM-63,1.2
BOM-608,M-1142,RM-22,1.2 m
BOM-609,M-1294,RM-60,500 g
BOM-610,M-1284,RM-5,0.5 kg
BOM-611,M-1073,RM-32,2 件
BOM-612,M-1235,RM-7,1.2
BOM-613,M-1103,RM-44,500 g
BOM-614,M-1224,RM-91,2 件
BOM-615,M-1001,RM-109,0.5
BOM-616,M-1077,RM-2,1.2
BOM-617,M-1050,RM-68,500 g
BOM-618,M-1003,RM-99,0.5 kg
BOM-619,M-1140,RM-9,1.2
BOM-620,M-1279,RM-65,0.5 kg
BOM-621,M-1174,RM-49,1.2 m
BOM-622,M-1100,RM-108,0.5
BOM-623,M-1261,RM-58,2 件
BOM-624,M-1269,RM-3,0.5
BOM-625,M-1295,RM-113,0.5 kg
BOM-626,M-1172,RM-84,2 件
BOM-627,M-1206,RM-8,1.2
BOM-628,M-1089,RM-69,0.5
BOM-629,M-1131,RM-4,500 g
BOM-630,M-1090,RM-76,500 g
BOM-631,M-1147,RM-15,1.2 m
BOM-632,M-1270,RM-96,500 g
BOM-633,M-1268,RM-71,0.5
BOM-634,M-1125,RM-7,0.5 kg
BOM-635,M-1164,RM-35,0.5 kg
BOM-636,M-1044,RM-93,0.5 kg
BOM-637,M-1117,RM-99,0.5
BOM-638,M-1159,RM-73,1.2
BOM-639,M-1118,RM-10,2 件
BOM-640,M-1268,RM-26,0.5 kg
BOM-641,M-1232,RM-34,0.5 kg
BOM-642,M-1275,RM-14,1.2 m
BOM-643,M-1105,RM-49,2 件
BOM-644,M-1152,RM-53,1.2 m
BOM-645,M-1231,RM-43,0.5 kg
BOM-646,M-1128,RM-4,2 件
BOM-647,M-1188,RM-19,500 g
BOM-648,M-1021,RM-42,1.2 m
BOM-649,M-1201,RM-57,0.5 kg
BOM-650,M-1184,RM-86,0.5 kg
BOM-651,M-1009,RM-21,2 件
BOM-652,M-1148,RM-3,0.5 kg
BOM-653,M-1265,RM-101,500 g
BOM-654,M-1203,RM-107,2 件
BOM-655,M-1246,RM-106,0.5 kg
BOM-656,M-1074,RM-9,1.2
BOM-657,M-1292,RM-4,1.2
BOM-658,M-1074,RM-36,0.5
BOM-659,M-1107,RM-60,0.5
BOM-660,M-1061,RM-35,0.5 kg
BOM-661,M-1216,RM-30,0.5 kg
BOM-662,M-1013,RM-69,0.5 kg
BOM-663,M-1158,RM-37,1.2 m
BOM-664,M-1193,RM-72,2 件
BOM-665,M-1107,RM-16,0.5
BOM-666,M-1059,RM-65,500 g
BOM-667,M-1249,RM-77,1.2 m
BOM-668,M-1279,RM-60,2 件
BOM-669,M-1218,RM-4,1.2
BOM-670,M-1210,RM-100,500 g
BOM-671,M-1114,RM-43,2 件
BOM-672,M-1296,RM-45,2 件
