po_id,supplier_id,order_date,expected_date,status
PO-353,SM-39,10/18/2024,2024-07-23,PARTIAL
PO-354,SM-3,2024-02-28,10/12/2026,OPEN
PO-355,SM-28,09/24/2025,21-03-2024,PARTIAL
PO-356,SM-23,2024-05-23,02/06/2026,partial
PO-357,SM-40,2025-11-22,2024-07-17,open
PO-358,SM-28,2026-03-07,2025-09-02,PARTIAL
PO-359,SM-4,02/07/2025,2025-08-25,PARTIAL
PO-360,SM-36,05/24/2026,02/28/2024,partial
PO-361,SM-8,25-10-2026,10-03-2026,open
PO-362,SM-30,2026-04-05,2026-04-21,OPEN
PO-363,SM-26,2025-02-23,2025-11-18,partial
PO-364,SM-38,03-05-2024,2025-01-05,OPEN
PO-365,SM-38,01-12-2026,2024-05-07,PARTIAL
PO-366,SM-15,2025-03-06,04/04/2024,OPEN
PO-367,SM-32,10-11-2026,10/01/2024,PARTIAL
PO-368,SM-35,22-07-2026,2025-05-28,OPEN
PO-369,SM-39,2024-03-06,2026-08-12,OPEN
PO-370,SM-11,12/19/2024,2025-01-06,OPEN
PO-371,SM-21,02/01/2024,2026-02-19,PARTIAL
PO-372,SM-18,2024-08-11,2025-11-18,closed
PO-373,SM-10,2025-06-09,08-04-2026,closed
PO-374,SM-29,2024-04-01,2026-08-12,PARTIAL
PO-375,SM-37,2024-06-02,01/22/2026,OPEN
PO-376,SM-5,10/14/2025,01/18/2024,PARTIAL
PO-377,SM-13,01/06/2024,2025-10-07,closed
PO-378,SM-32,2025-04-15,2024-05-13,partial
PO-379,SM-27,2025-05-15,15-10-2026,open
PO-380,SM-39,01/18/2024,2026-12-01,OPEN
PO-381,SM-22,15-08-2024,2026-06-02,closed
PO-382,SM-8,03-01-2024,10-05-2026,OPEN
PO-383,SM-35,2026-10-18,2026-03-06,OPEN
PO-384,SM-6,11/02/2025,2025-03-24,partial
PO-385,SM-10,2026-07-23,2026-02-24,OPEN
PO-386,SM-35,11/17/2025,2025-09-11,PARTIAL
PO-387,SM-36,03/27/2024,2026-06-11,PARTIAL
PO-388,SM-2,09/17/2026,21-01-2025,OPEN
PO-389,SM-5,12/05/2024,01/05/2026,PARTIAL
PO-390,SM-39,2026-06-02,2024-01-28,closed
PO-391,SM-11,2024-12-16,2025-06-16,OPEN
PO-392,SM-34,20-02-2026,01/17/2025,partial
PO-393,SM-12,01/16/2025,10/05/2026,OPEN
PO-394,SM-25,08-01-2025,06/27/2025,partial
PO-395,SM-6,2026-09-03,08/22/2026,partial
PO-396,SM-32,2025-11-04,02/07/2024,partial
PO-397,SM-32,01/07/2026,2024-09-13,PARTIAL
PO-398,SM-33,03/03/2026,2024-05-28,PARTIAL
PO-399,SM-5,11/02/2025,06-06-2024,partial
PO-400,SM-2,2025-06-15,2024-03-09,partial
PO-401,SM-36,07-04-2025,10/27/2024,OPEN
PO-402,SM-14,2025-02-07,05/21/2024,closed
PO-403,SM-22,22-09-2025,15-08-2024,OPEN
PO-404,SM-33,12-07-2025,28-04-2025,PARTIAL
PO-405,SM-16,2025-10-18,2024-07-09,partial
PO-406,SM-36,2026-10-11,2026-06-03,OPEN
PO-407,SM-40,2026-02-06,2026-01-19,closed
PO-408,SM-7,03/25/2024,04/18/2025,open
PO-409,SM-26,06/12/2025,02/18/2026,PARTIAL
PO-410,SM-40,28-12-2026,2026-03-26,PARTIAL
PO-411,SM-6,02-03-2026,08/01/2025,open
PO-412,SM-2,2026-07-22,26-07-2024,OPEN
PO-413,SM-37,06/02/2024,2025-02-12,open
PO-414,SM-1,2026-08-12,2026-10-11,open
PO-415,SM-2,02/21/2026,2024-06-23,PARTIAL
PO-416,SM-35,10/03/2025,2026-07-28,closed
PO-417,SM-29,2026-09-07,12/23/2025,closed
PO-418,SM-15,2026-03-02,06-03-2026,open
PO-419,SM-4,08-03-2026,07-08-2024,closed
PO-420,SM-16,10/23/2025,2025-07-01,closed
PO-421,SM-5,2025-07-10,01/23/2024,closed
PO-422,SM-2,07/24/2024,12-11-2024,open
PO-423,SM-39,2026-08-21,06/05/2026,closed
PO-424,SM-27,2025-12-12,2025-09-17,closed
PO-425,SM-6,09/03/2025,11-03-2024,partial
PO-426,SM-21,2025-09-10,2025-05-08,open
PO-427,SM-40,03/03/2024,16-02-2024,PARTIAL
PO-428,SM-1,11/26/2026,04/20/2026,PARTIAL
PO-429,SM-13,2026-02-08,12/01/2024,closed
PO-430,SM-33,01-05-2024,10/21/2025,partial
PO-431,SM-27,03/04/2026,18-07-2024,closed
PO-432,SM-40,2024-10-25,09-03-2024,PARTIAL
PO-433,SM-30,2025-10-21,2024-10-28,closed
PO-434,SM-2,05/21/2026,2026-06-22,closed
PO-435,SM-33,14-05-2026,27-02-2024,PARTIAL
PO-436,SM-31,2024-06-13,08/23/2024,PARTIAL
PO-437,SM-5,2024-12-09,09-11-2024,PARTIAL
PO-438,SM-31,01/26/2024,07/20/2024,partial
PO-439,SM-4,23-04-2026,2024-06-16,PARTIAL
PO-440,SM-23,12/08/2026,16-11-2026,open
PO-441,SM-21,10/24/2025,2025-10-15,open
PO-442,SM-27,2025-08-06,2026-09-18,open
PO-443,SM-24,2024-07-26,2024-07-24,OPEN
PO-444,SM-21,10-08-2025,2025-01-14,PARTIAL
PO-445,SM-1,2025-05-20,2024-12-21,open
PO-446,SM-16,2025-05-03,05-05-2026,OPEN
PO-447,SM-6,23-06-2026,11/28/2026,PARTIAL
PO-448,SM-35,2026-05-08,28-06-2025,open
PO-449,SM-40,2024-09-01,2025-10-02,closed
PO-450,SM-28,25-04-2026,12/09/2025,partial
PO-451,SM-30,10/06/2025,15-03-2025,closed
PO-452,SM-31,2024-10-21,2026-01-13,closed
PO-453,SM-10,2026-08-20,24-06-2025,open
PO-454,SM-13,10-12-2026,2026-02-20,PARTIAL
PO-455,SM-1,14-01-2026,27-05-2024,closed
PO-456,SM-30,2025-09-27,2026-10-01,PARTIAL
PO-457,SM-8,23-02-2026,11-07-2026,OPEN
PO-458,SM-15,22-07-2025,2026-02-27,OPEN
PO-459,SM-24,2025-09-05,08-09-2026,OPEN
PO-460,SM-4,04-10-2025,2026-09-17,open
PO-461,SM-13,08/21/2024,07/21/2025,open
PO-462,SM-23,2026-10-05,10-12-2026,PARTIAL
PO-463,SM-40,2026-01-15,05/21/2025,partial
PO-464,SM-15,2024-10-24,06/10/2026,PARTIAL
PO-465,SM-22,09-12-2024,10/01/2024,PARTIAL
PO-466,SM-7,2025-06-04,2026-08-25,OPEN
PO-467,SM-35,2024-01-13,03/18/2025,PARTIAL
PO-468,SM-33,2026-12-21,01/27/2024,OPEN
PO-469,SM-1,2025-02-22,2025-07-20,closed
PO-470,SM-23,2026-07-21,02/26/2026,PARTIAL
PO-471,SM-16,03/23/2025,07/22/2024,OPEN
PO-472,SM-9,2026-01-14,03/27/2025,partial
PO-473,SM-4,2024-11-05,27-06-2024,OPEN
PO-474,SM-1,02-10-2025,2026-01-27,open
PO-475,SM-12,25-03-2024,05/17/2026,PARTIAL
PO-476,SM-22,2026-05-18,2026-04-08,partial
PO-477,SM-26,21-01-2024,04/03/2026,open
PO-478,SM-9,18-12-2025,2025-01-28,OPEN
PO-479,SM-40,2026-12-09,2026-01-22,open
PO-480,SM-37,2024-06-20,2024-02-17,partial
PO-481,SM-24,2026-07-07,2025-09-06,PARTIAL
PO-482,SM-6,2024-11-11,16-04-2026,closed
PO-483,SM-8,2026-07-25,2024-10-27,PARTIAL
PO-484,SM-12,2024-06-22,01/26/2025,PARTIAL
PO-485,SM-1,26-01-2024,2025-08-10,PARTIAL
PO-486,SM-15,19-09-2025,2025-01-17,PARTIAL
PO-487,SM-30,02-05-2024,04/14/2026,open
PO-488,SM-6,2025-07-24,2024-08-07,OPEN
PO-489,SM-4,05/26/2025,19-06-2025,OPEN
PO-490,SM-40,2026-06-26,11/15/2025,partial
PO-491,SM-39,07/05/2026,2025-06-26,open
PO-492,SM-7,05/11/2024,09-07-2024,closed
PO-493,SM-29,06/25/2024,05/06/2025,OPEN
PO-494,SM-5,03/25/2025,09/25/2026,OPEN
PO-495,SM-20,06/05/2024,2026-01-02,open
PO-496,SM-9,09/08/2025,2024-08-21,open
PO-497,SM-22,12/13/2024,16-08-2026,closed
PO-498,SM-40,11/02/2025,03-09-2024,PARTIAL
