employee_id,month,base_salary,bonus,deductions
E-3085,2025-08,19224,0,"1 792,00"
E-1874,2026-12,22169,0,0
E-2626,2026-03,14559,0,0
E-2679,2025-03,"$37,547.00",0,0
E-1345,2025-09,36649,"$7,918.00",0
E-3261,2024-12,7015,"$7,782.00",0
E-1892,12/2026,13633,0,0
E-3297,2025-04,22720,0,0
E-3143,2025-04,44 475,0,1058
E-1256,11/2024,"$58,734.00",0,0
E-2317,2026-09,14914,2891,0
E-1227,2024-12,"$19,651.00",0,0
E-2760,2024-09,"$28,843.00",13059,286
E-3447,2026-08,"$20,872.00",15535,1190
E-3559,2024-12,"$56,258.00",21367,0
E-2817,03/2025,39816,0,0
E-1654,2026-05,16536,0,0
E-2662,2026-09,31105,0,0
E-2273,2025-10,44276,17258,0
E-2948,2024-09,33 905,0,0
E-1657,2025-09,27587,14065,0
E-1224,2024-07,23922,9997,0
E-1111,2026-02,29281,0,0
E-3220,2026-10,"$5,000.00",0,0
E-2386,2024-12,"$56,188.00","6 171,00",0
E-3535,2026-07,"$57,742.00",0,"1 616,00"
E-2103,08/2025,14290,0,0
E-3450,2025-06,28880,26674,0
E-3547,01/2024,19 068,0,1884
E-3469,01/2025,44817,0,0
E-3400,2025-03,"$12,853.00",0,0
E-1474,2026-05,59368,0,0
E-3269,2024-12,24 988,0,0
E-3073,08/2024,"$25,043.00",0,0
E-2801,2026-05,29 651,0,0
E-3068,08/2026,8257,0,0
E-2466,2026-05,"$20,649.00",0,0
E-1184,2024-03,"$28,510.00",0,0
E-1208,2024-02,"$38,338.00","15 064,00",0
E-1786,2025-07,36844,0,0
E-3098,2026-09,6206,22 640,0
E-1508,2026-12,"$20,149.00",16233,0
E-3307,2026-11,"$13,647.00",0,0
E-2655,2024-02,39204,0,"$1,981.00"
E-1237,2024-06,33899,0,0
E-2608,2025-09,"$53,467.00",0,0
E-1866,2026-08,"$51,080.00","$18,201.00",1861
E-1609,03/2025,"$30,795.00",0,0
E-2078,05/2025,54627,0,0
E-1395,2024-03,8184,17810,0
E-2828,2025-08,29221,0,0
E-2918,2024-05,"54 168,00",21348,0
E-2500,07/2024,"$13,674.00",0,0
E-3279,2024-11,49 216,"$20,946.00",0
E-2866,2026-10,20318,0,0
E-1292,2024-12,"$35,317.00",0,0
E-2867,2024-01,41144,17505,$956.00
E-3041,2026-01,30996,0,0
E-2478,03/2026,13509,0,0
E-2487,2024-12,"$51,720.00",0,0
E-1200,2026-03,44715,0,0
E-3115,2025-11,"$26,154.00",0,0
E-2404,2024-04,57135,0,0
E-3146,2024-03,"$22,392.00","$6,651.00",0
E-1596,2026-11,37 141,0,0
E-1335,2025-06,7007,0,0
E-1103,2025-02,"$37,834.00",0,0
E-1606,06/2026,38901,0,0
E-1202,2026-09,38607,16427,0
E-2384,2025-01,58551,0,0
E-1076,2026-01,19564,0,0
E-3158,2026-08,"$36,491.00",0,0
E-1703,08/2025,52 368,0,449
E-1292,2026-02,10506,0,0
E-2828,09/2026,8000,0,0
E-2427,2024-12,15888,0,0
E-2458,2026-06,17934,0,0
E-3326,09/2026,48897,0,0
E-3459,2024-11,41588,0,0
E-2534,2024-05,36825,0,1653
E-1909,2026-06,8493,0,0
E-3351,2024-09,"$49,497.00",0,0
E-1874,2025-02,9442,0,0
E-2215,2024-01,48866,0,0
E-1889,2024-10,15567,15 652,0
E-2118,03/2025,37 458,0,0
E-1863,2026-02,"26 068,00",0,0
E-1816,2024-02,39845,7045,0
E-2236,06/2024,12862,0,$633.00
E-1430,2025-11,33269,0,$579.00
E-3460,2025-09,"$36,996.00",0,0
E-1422,2025-04,"$21,107.00",28026,0
E-3357,2025-07,"$25,854.00",0,0
E-2514,2026-12,"6 342,00",0,0
E-1248,2025-06,51 152,"$21,885.00",0
E-1887,2026-08,"$52,164.00","$4,590.00","1 643,00"
E-1304,2024-12,31124,0,0
E-2221,2025-05,9602,"$25,061.00",801
E-3050,2026-10,40228,0,0
E-1523,06/2026,23700,0,0
E-2059,03/2026,"$5,883.00",4 246,0
E-3093,01/2026,37582,0,0
E-2092,2024-07,"19 596,00",5572,0
E-2852,2025-07,"$11,087.00",0,0
E-2606,2026-04,19541,0,0
E-1248,03/2025,"43 461,00","$6,804.00","$1,433.00"
E-2731,2025-09,33862,0,0
E-2512,2025-10,25999,0,0
E-2251,2025-07,9199,0,0
E-1945,2025-09,36 141,0,754
E-3584,2026-04,53822,"$2,663.00",0
E-3543,04/2026,20420,"$26,042.00",0
E-3204,2024-12,49 602,24019,"$1,237.00"
E-3075,2025-11,58145,"$10,479.00",1082
E-2098,08/2025,"$31,623.00",0,0
E-3397,2024-08,"$11,599.00",0,0
E-1126,2024-07,54058,0,491
E-3072,2024-08,43673,0,0
E-3444,2026-03,14532,0,0
E-2416,2025-05,12210,0,0
E-3237,03/2026,31661,0,0
E-3106,2025-07,"$39,871.00",0,0
E-1394,07/2025,"$55,603.00",21022,0
E-1665,2026-10,53624,0,0
E-1368,2026-05,16379,0,0
E-1640,2026-10,23923,0,0
E-3292,2026-05,49568,0,0
E-1754,2025-05,10515,0,0
E-2371,2024-10,40811,25 754,0
E-1686,2025-12,45378,"$9,389.00",690
E-1446,2024-07,17 878,0,0
E-1597,2026-09,13887,0,0
E-2787,2025-06,25214,0,"$1,567.00"
E-2047,2026-05,8607,0,0
E-3304,2026-01,"$38,954.00",22320,0
E-1243,2024-12,49554,20597,0
E-2308,2026-12,32139,0,0
E-2360,2024-05,26680,0,0
E-1240,08/2025,"53 499,00",0,0
E-2962,2025-02,31300,0,0
E-3430,2024-08,15069,0,0
E-2913,2024-02,"43 823,00",0,0
E-3479,2026-04,55617,0,0
E-3598,2025-06,"50 248,00","$29,931.00",0
E-3112,2026-03,14115,0,0
E-1887,2025-06,36678,0,0
E-3449,2026-12,6 921,0,0
E-3047,2025-08,"58 364,00",0,0
E-2930,2024-03,22 566,0,0
E-2552,2025-12,44 077,0,0
E-2206,2024-11,"$28,173.00",0,1902
E-2391,2025-03,29824,0,471
E-2042,2025-07,"$16,633.00",0,0
E-2788,2026-07,33489,0,0
E-1256,2025-06,"$38,614.00",0,0
E-2611,2025-01,34268,"$26,987.00",0
E-1380,2024-10,6 621,0,0
E-1211,2024-04,14578,0,0
E-3105,2026-04,"$23,609.00",0,0
E-1254,2024-04,30 374,0,0
E-3303,2025-08,59159,"25 362,00",0
E-2696,2025-12,"44 130,00",0,0
E-3446,2024-08,53543,0,0
E-2431,2026-06,32 151,0,0
E-3075,2026-01,42 829,0,0
E-2020,07/2024,"35 389,00",0,0
E-2970,2026-03,"$33,580.00",0,0
E-2376,2024-02,"5 109,00",0,0
E-2171,2025-01,28268,0,0
E-3592,09/2025,10900,0,0
E-1514,10/2025,"39 741,00",0,0
E-3325,11/2024,5591,0,0
E-2573,2026-02,58 669,0,0
E-3469,2024-01,35 639,0,0
E-1060,2025-03,"$21,728.00",19262,0
E-1119,2024-10,16513,0,0
E-2149,03/2025,52985,29033,0
E-2072,2024-08,24247,11 045,0
E-2766,2026-11,43 191,7089,1 515
E-1291,2026-01,"$43,786.00","$7,932.00","$1,682.00"
E-2948,2024-06,"56 800,00",21 016,0
E-2597,2024-08,30 176,7 783,0
E-1565,2024-08,"$26,170.00",0,0
E-2677,2024-05,"$31,386.00",0,0
E-2441,10/2024,"$58,091.00",0,0
E-2429,2026-03,43 432,0,"412,00"
E-3523,2026-06,"31 082,00",0,0
E-3078,02/2026,"$41,694.00",0,0
E-1306,2025-08,54573,0,0
E-1036,2025-08,34341,0,0
E-1170,2024-12,49490,3066,0
E-2803,08/2024,56795,0,"$1,745.00"
E-1613,2026-03,21328,0,0
E-2408,2025-12,38823,0,0
E-3408,02/2024,"$8,370.00",0,0
E-2947,2024-03,27909,"$22,153.00",0
E-1260,2024-05,15455,24494,"$1,198.00"
E-2296,2026-07,"$40,468.00",0,"$1,096.00"
E-1075,2024-06,57500,0,0
E-1331,2026-09,27130,6021,0
E-1108,10/2025,21647,18 169,0
E-3120,2026-03,"$19,496.00","$8,821.00",1372
E-3381,2025-12,58384,0,0
E-2882,01/2025,"40 692,00",6 281,0
E-1542,2024-10,8 195,13542,$832.00
E-1231,2025-10,30066,0,0
E-1189,2025-10,13700,0,$736.00
E-1057,2026-07,43933,0,0
E-1821,2024-05,"9 568,00",0,0
E-2826,2024-07,9731,0,0
E-2685,04/2025,"$21,574.00",0,0
E-2321,08/2025,"$49,701.00",0,0
E-2376,2024-05,"$12,088.00",18141,0
E-2454,2025-05,26221,0,0
E-1558,2024-09,47629,0,0
E-1667,08/2025,"$47,248.00",0,0
E-3128,2024-11,11263,0,518
E-2909,12/2025,5364,0,0
E-2454,09/2026,32085,0,0
E-3547,2024-06,38 420,0,0
E-2919,09/2025,51143,0,0
E-2281,10/2024,6099,27985,0
E-3301,2024-04,"13 845,00",0,1 208
E-1782,2024-11,"20 212,00",0,0
E-2952,2025-04,38424,29124,"$1,134.00"
E-1240,02/2026,53 781,0,0
E-1772,2025-08,10 692,20541,0
E-2071,2025-03,"$19,372.00",0,0
E-2669,2026-03,5143,"4 732,00",0
E-1949,2024-06,"$25,915.00",0,0
E-2201,06/2024,32403,0,0
E-2881,2026-04,"36 395,00","$5,388.00",0
E-3131,2026-06,"$48,953.00",0,0
E-3075,2025-07,"$29,076.00",0,0
E-2238,2025-02,27574,"$21,562.00",0
E-3508,2025-03,17233,0,0
E-2392,2024-04,"$31,844.00",0,0
E-1337,08/2026,7178,0,0
E-2587,08/2024,"8 678,00",0,0
E-3096,2025-07,"$57,082.00",0,0
E-1588,2024-05,33179,0,0
E-2302,05/2026,30 433,"$3,548.00",$335.00
E-2506,2025-10,20160,0,0
E-3314,01/2026,53 585,0,0
E-3143,2026-02,57843,0,0
E-1281,2026-05,29924,0,0
E-1223,2024-12,42 834,"$26,930.00",0
E-2419,10/2026,30 691,0,0
E-2593,2026-08,"$50,178.00","$24,357.00",406
E-1061,2026-04,"50 885,00",0,0
E-2182,2024-11,16486,0,0
E-1230,08/2026,"58 956,00",0,0
E-1228,12/2024,34798,0,0
E-1903,2026-11,"43 740,00",0,0
E-2227,2026-02,"$23,030.00",0,0
E-2731,11/2026,11736,0,1 934
E-2202,2025-11,50803,0,0
E-3368,12/2024,57048,0,909
E-2811,2026-12,5035,0,0
E-2822,2026-03,7305,"$4,467.00",0
E-2254,05/2026,"47 711,00",0,0
E-3483,2026-03,26665,26215,350
E-3539,2024-03,"20 685,00",21631,0
E-2759,2024-07,"$41,233.00",16914,0
E-2331,05/2024,"$32,717.00",0,0
E-1452,05/2026,10295,0,0
E-1666,03/2024,41662,0,"1 714,00"
E-1608,2025-01,"10 625,00",0,0
E-1909,2026-02,26618,0,0
E-2457,2024-05,45983,28100,0
E-1472,2025-01,"$25,940.00",29477,0
E-1157,2024-12,47448,0,0
E-3005,2026-08,51755,0,0
E-2410,2024-06,11931,0,0
E-2853,06/2024,44 189,0,0
E-1636,2025-07,"$42,410.00",0,0
E-1739,2026-11,33 012,0,0
E-1006,2026-04,24 079,0,0
E-2464,2024-11,24508,0,0
E-1319,2024-06,11210,0,0
E-2880,2026-02,9159,4363,554
E-2120,2026-11,40233,0,0
E-3133,03/2026,"$18,642.00",0,1994
E-2269,2024-11,"$48,552.00",0,0
E-2894,2024-11,"58 237,00",22523,0
E-1236,02/2024,48036,0,0
E-3313,2026-06,28224,0,0
E-2383,2025-11,7283,0,606
E-3297,2024-08,9065,0,0
E-2142,2025-01,41 542,18397,0
E-2144,2024-02,31529,0,0
E-3217,2025-09,23972,0,0
E-1053,2025-09,18 641,0,0
E-2222,12/2026,14964,0,0
E-3185,04/2024,"$19,920.00",0,0
E-1891,2025-04,52197,0,0
E-3263,04/2024,55381,"$15,402.00",0
E-2732,2024-08,37558,0,0
E-3388,2024-03,20824,0,0
E-3577,2024-03,18 310,0,0
E-2503,08/2026,"$34,761.00","$16,606.00",0
E-1886,2026-05,47961,0,0
E-1889,03/2024,"$20,198.00",0,0
E-2605,2024-07,46578,0,0
E-3314,2024-08,58664,0,0
E-3599,2024-10,15382,"$21,920.00",0
E-2616,2024-05,21674,0,0
E-3041,03/2026,22554,0,0
E-1896,2024-02,19483,0,0
E-1641,07/2024,11054,0,0
E-2921,2026-05,6515,0,0
E-3016,2025-03,"32 716,00",0,0
E-2783,2024-08,"$23,748.00",0,0
E-3376,2026-05,"54 169,00",3201,0
E-3494,2026-11,11194,15 626,0
E-3076,2024-11,52 354,0,0
E-2607,2025-04,10361,"$4,160.00",0
E-2555,2026-09,48254,0,0
E-2873,2025-10,"$58,074.00",0,569
E-1773,11/2024,14736,0,0
E-3258,2024-09,7299,0,0
E-3510,2024-09,"$29,695.00",0,0
E-3232,2026-12,23884,0,0
E-3071,2025-04,9 073,21118,0
E-1183,2024-06,48313,24661,0
E-2478,2025-09,51706,0,0
E-2327,2025-02,"$30,145.00",0,0
E-2027,2025-05,40491,0,0
E-2082,09/2024,15675,0,0
E-1228,2024-11,"15 763,00",26054,0
E-3416,2024-11,8177,0,0
E-2898,2024-03,"$22,432.00",0,0
E-2519,2025-09,"$25,238.00",4 203,0
E-3200,2025-05,"56 719,00",0,0
E-3102,2025-07,43769,0,0
E-1549,2025-10,49751,0,0
E-1627,2025-10,"28 912,00",0,0
E-1713,2026-09,39646,"$13,340.00",0
E-2378,2026-04,"$41,717.00",25182,0
E-3048,2026-10,"34 407,00",5159,0
E-1354,2024-09,12 664,0,0
E-1983,09/2025,23956,0,0
E-1094,2026-12,42098,23888,0
E-1293,2026-11,"$46,233.00",26272,495
E-1139,07/2025,41430,20 480,0
E-1066,2024-08,52467,25643,0
E-1069,2026-06,29431,15998,0
E-2143,2026-07,26762,0,0
E-1824,2024-07,"$41,985.00",0,0
E-3087,2024-08,56580,0,0
E-1738,2026-01,43342,0,0
E-1233,08/2026,28329,20 464,$301.00
E-3151,2026-09,49004,0,0
E-1878,04/2026,20810,"$18,835.00",0
E-1453,2024-09,46171,20767,1 581
E-3122,01/2024,32540,0,0
E-2777,2024-04,21113,0,0
E-3500,2026-04,"37 934,00",0,0
E-2256,2024-04,20745,"$11,963.00",0
E-1245,2024-07,"49 124,00",0,$842.00
E-3399,2024-03,5 571,0,0
E-1005,2024-11,"52 374,00",0,0
E-1675,2025-04,21746,0,0
E-2390,2026-07,"$18,039.00",0,0
E-2535,03/2024,"$18,026.00",21 134,1094
E-3201,2026-06,"$17,400.00",0,0
E-2251,2025-08,25 373,0,"244,00"
E-1385,2025-07,48701,2 594,0
E-2438,2026-03,"$51,498.00",22556,0
E-1525,2026-06,"$20,248.00",7443,0
E-3116,2025-10,11796,0,0
E-2774,12/2025,"$43,040.00",0,0
E-1008,2026-08,53 015,10981,0
E-2413,2026-12,58701,0,0
E-2191,2026-02,24358,28614,0
E-2969,2026-01,25759,0,0
E-2750,2026-11,"14 692,00","$24,442.00",0
E-2249,2025-05,26008,0,0
E-3329,2026-04,24851,0,0
E-1036,2024-12,10999,0,0
E-2923,2024-06,39755,0,0
E-2875,2025-06,27750,25879,0
E-3575,2026-11,13134,0,0
E-2292,2026-07,44 442,0,0
E-1102,2025-08,"$42,588.00",0,0
E-3332,2024-08,"$55,104.00",7774,0
E-3598,2025-10,43539,13637,0
E-3038,2025-10,52774,0,0
E-1934,2026-06,15213,0,435
E-1033,2026-07,48009,0,0
E-2497,04/2025,26326,0,0
E-2994,04/2025,"$46,145.00",0,0
E-1912,2024-07,38050,0,0
E-1742,2024-02,56929,0,0
E-1125,2026-12,20035,0,0
E-3427,2024-05,"$42,743.00",0,0
E-1077,2024-01,"$43,805.00",0,0
E-3592,02/2025,58431,0,0
E-2779,01/2026,21437,0,0
E-3479,10/2025,"21 119,00",0,0
E-1032,2024-03,13479,0,0
E-1472,08/2026,21 274,0,0
E-3385,2024-09,36343,0,0
E-1846,2025-02,43014,0,0
E-1221,11/2026,47599,"$25,214.00",0
E-1248,06/2025,44229,0,0
E-3527,2025-02,6685,14699,0
E-3121,2026-06,6177,0,"1 212,00"
E-2713,2025-02,12935,0,0
E-1703,2026-09,26173,0,0
E-2070,2026-05,9 174,0,0
E-3595,2026-03,22961,0,0
E-1393,01/2024,43808,28955,0
E-2559,2024-10,12954,0,0
E-2968,2025-04,56476,"$11,738.00",0
E-3339,2024-06,38848,0,0
E-3144,03/2025,"$41,117.00",0,0
E-3125,2026-02,7772,0,0
E-2487,2024-01,55 788,0,0
E-2401,03/2026,"$17,958.00",0,0
E-2384,06/2026,53 676,0,0
E-3090,2024-03,9753,"$14,915.00",0
E-1252,2024-08,51563,0,0
E-1394,2024-04,17262,0,0
E-3020,2025-11,"10 231,00",0,0
E-1133,08/2026,55071,0,0
E-2193,2024-08,14276,0,1714
E-2244,2025-08,42152,0,0
E-2880,2025-12,28567,19586,0
E-1841,2026-12,51 318,0,0
E-3230,2024-01,23865,0,0
E-2042,12/2024,7144,0,$214.00
E-1137,2024-01,30330,0,$569.00
E-1562,2024-09,5722,"$26,381.00",0
E-1525,2025-08,39 579,18463,0
E-1847,2025-04,"$26,840.00",0,0
E-2762,10/2025,"$16,938.00",0,0
E-2528,2026-03,13393,0,0
E-2362,2026-12,"$44,534.00",0,0
E-2385,2024-02,8936,0,0
E-2863,04/2025,"$47,580.00","$6,932.00","161,00"
E-3291,2025-12,53030,0,0
E-1667,2025-12,22961,0,"$1,587.00"
E-2129,10/2026,"23 986,00",0,0
E-2374,2024-09,5405,0,0
E-2637,2026-04,"$18,893.00",0,0
E-2391,2024-12,"$20,016.00","29 858,00",0
E-1335,2026-05,49 717,0,0
E-3511,2025-11,"$47,062.00",0,0
E-2071,11/2025,34845,0,0
E-3095,2025-10,7184,0,0
E-3514,2024-10,44829,0,0
E-3296,2025-07,"58 046,00",0,0
E-2903,2025-04,27583,0,0
E-3067,2025-05,"$27,192.00",0,0
E-1599,2025-01,40579,0,0
E-2194,2026-05,"38 044,00",0,0
E-1501,2026-12,11 483,0,0
E-2774,2026-05,55947,"$17,405.00",0
E-2945,2026-04,"16 619,00",0,0
E-1607,2024-06,"$26,354.00",0,0
E-2487,2026-10,34127,0,0
E-2013,02/2026,15869,0,0
E-1439,2026-07,55205,0,0
E-1115,2025-12,"$21,695.00",0,0
E-2661,2026-06,48997,0,0
E-2751,2025-07,"$9,642.00",27844,0
E-1488,2025-12,"$34,026.00","$5,523.00",0
E-1009,01/2024,29449,0,0
E-1552,2025-07,"$32,144.00",0,0
E-2270,2025-12,"$19,365.00",0,0
E-3381,2024-12,20914,0,1048
E-2300,2026-02,42214,0,0
E-1516,2026-02,33588,0,0
E-3431,2026-08,17719,0,0
E-1548,08/2025,"$15,577.00",0,0
E-1801,2025-03,"$33,624.00",12717,0
E-2357,2026-03,51384,19532,0
E-2588,2026-06,48114,0,0
E-1601,2025-11,"$54,016.00",10160,$272.00
E-2773,2025-03,21132,3004,0
E-1070,01/2024,20002,0,"1 612,00"
E-1748,11/2026,"52 913,00",0,0
E-2575,2026-07,18 788,"2 906,00",0
E-3003,2025-02,"$54,423.00","1 975,00",0
E-1687,2024-06,47061,13895,0
E-1669,05/2024,"$47,854.00",0,0
E-1154,2025-11,6 521,10 240,0
E-1048,2025-04,29513,23234,0
E-2719,12/2024,"$28,552.00",0,1672
E-1937,2026-07,45404,0,0
E-2835,2024-06,"15 182,00",0,0
E-2160,2026-10,"$5,066.00",0,0
E-2542,01/2026,38982,0,0
E-1314,2024-12,"37 693,00",0,0
E-1323,2026-09,40657,0,0
E-3570,2026-11,55 904,"$20,041.00",0
E-1095,2024-05,34 587,0,0
E-1896,2024-02,"$53,955.00",0,0
E-2734,2025-01,52229,"4 386,00",0
E-2918,2026-06,12898,4234,0
E-1978,2026-07,32741,"26 104,00",0
E-2332,2026-05,"25 528,00","25 169,00",0
E-1734,2025-04,"54 327,00",0,0
E-1175,2025-08,"6 922,00",0,0
E-2187,2025-02,"$26,029.00",23744,"946,00"
E-1252,2025-07,32 128,0,0
E-3094,2025-11,"$9,758.00","$15,511.00",341
E-1606,2025-08,"$54,020.00",0,0
E-1377,09/2024,18659,0,0
E-2279,2024-02,40400,0,848
E-3016,2026-02,53801,"$24,787.00",1082
E-2485,12/2025,43 389,0,0
E-1665,2026-04,28137,0,0
E-1027,2026-01,55 743,0,0
E-1323,2026-09,"15 754,00",0,0
E-2666,2026-04,28637,0,0
E-2289,2026-08,38 214,0,815
E-3091,2025-10,"$42,902.00","$10,814.00",0
E-3062,2024-06,46 530,25 190,0
E-2183,05/2025,43396,0,0
E-1765,2026-01,58132,"$8,876.00",0
E-1219,2025-03,19918,"5 728,00",1 660
E-2165,2025-10,"25 115,00",13379,0
E-3467,2024-07,28858,0,0
E-1797,2025-06,59814,0,569
E-3355,2026-10,"$55,145.00",25 759,0
E-2377,2025-08,39 994,0,1496
E-2518,2025-11,"$58,386.00","$14,205.00",0
E-1666,2025-03,"$14,123.00",0,0
E-1294,01/2026,58349,0,0
E-1087,2026-03,20999,0,0
E-2114,2025-03,53029,0,0
E-2528,2025-09,"$12,785.00",0,0
E-3057,2025-07,43244,0,0
E-2085,2025-08,"$34,241.00",6796,0
E-1769,03/2024,9574,0,0
E-1897,2025-03,27170,0,0
E-3408,2024-10,"$52,483.00",0,0
E-1617,05/2024,47104,0,0
E-2421,2026-02,37959,0,0
E-3132,2026-10,"$16,294.00",0,0
E-2739,2025-08,38461,0,0
E-1560,2025-05,"37 029,00",26736,0
E-1982,2024-08,28857,0,0
E-2543,2024-06,42678,0,0
E-3024,2026-11,59 169,0,0
E-1990,2024-05,36044,0,0
E-2179,2026-07,"$24,444.00",0,0
E-2441,2026-02,57 870,23943,$682.00
E-1837,06/2026,"$39,539.00","$29,935.00",0
E-2522,2024-10,17792,0,0
E-1503,2026-09,"$37,433.00",0,0
E-1392,2024-01,39494,0,0
E-2529,09/2025,20077,0,0
E-1241,2026-02,"$52,587.00",0,0
E-1401,2025-08,"33 976,00",0,0
E-1087,2024-11,32134,0,0
E-1750,2024-12,"36 029,00","$7,040.00","1 521,00"
E-1968,06/2025,"46 474,00",0,0
E-1522,2025-03,38974,0,0
E-1676,2024-04,11 023,0,0
E-3309,01/2026,"26 731,00","$20,833.00",0
E-3105,2024-10,"21 510,00","$22,411.00",0
E-1595,2024-10,14921,0,0
E-1915,06/2026,"$51,181.00",0,0
E-2607,2024-03,41 960,0,0
E-1623,2024-03,46021,0,0
E-1664,2026-06,"$39,225.00",4922,0
E-1762,2025-05,59339,0,0
E-2125,04/2025,"$29,377.00",0,0
E-3456,2025-01,49476,7302,0
E-1786,2026-06,12597,0,642
E-1292,2024-10,24822,0,0
E-3018,2026-03,16091,0,0
E-1041,2024-09,19878,0,0
E-2705,2025-01,"55 555,00",0,0
E-1502,2025-08,"$26,444.00",10205,0
E-1896,2025-04,"$49,597.00","23 212,00",0
E-2947,2024-01,44450,"$19,404.00",0
E-3571,2024-05,23484,0,0
E-1979,07/2026,9325,"$11,809.00",0
E-2003,05/2024,"43 940,00","1 356,00",1098
E-1450,2025-06,"$12,471.00",0,0
E-1715,2025-06,9543,0,0
