txn_id,from_subsidiary,to_subsidiary,amount,date,description
IT-76,saas,saas,"871,360.00",2026-07-05,IT 支持费
IT-77,retail,mfg,"1,346,843.00",2025-04-02,服务费分摊
IT-78,saas,retail,1700719,2026-07-25,内部采购
IT-79,saas,retail,1156271,2026-07-14,服务费分摊
IT-80,retail,saas,1928398,25-02-2026,物流费
IT-81,saas,mfg,1579368,2026-01-16,内部采购
IT-82,saas,retail,"$1,339,862.00",13-01-2026,服务费分摊
IT-83,saas,retail,1762276,09/10/2026,物流费
IT-84,retail,retail,"535,286.00",2025-08-18,内部采购
IT-85,mfg,mfg,"$312,422.00",07/12/2026,物流费
IT-86,mfg,saas,1449861,01/22/2025,IT 支持费
IT-87,mfg,mfg,1432503,2026-02-20,服务费分摊
IT-88,retail,saas,701020,08/16/2025,物流费
IT-89,retail,retail,19795,2025-04-01,IT 支持费
IT-90,retail,mfg,"1,019,549.00",2026-06-13,租金结算
IT-91,mfg,retail,448745,28-08-2025,内部采购
IT-92,saas,mfg,"1,158,549.00",07-06-2026,内部采购
IT-93,retail,mfg,"$486,760.00",13-02-2025,IT 支持费
IT-94,retail,mfg,516820,09-07-2026,物流费
IT-95,retail,saas,1167727,2026-09-12,服务费分摊
IT-96,mfg,retail,"$858,486.00",2026-11-01,服务费分摊
IT-97,saas,mfg,1427333,10/20/2026,IT 支持费
IT-98,mfg,retail,"$743,311.00",08/20/2026,IT 支持费
IT-99,saas,saas,"$1,634,671.00",2026-03-18,IT 支持费
IT-100,saas,saas,"$1,797,144.00",12-08-2025,IT 支持费
IT-101,retail,saas,1065949,03-11-2026,内部采购
IT-102,saas,saas,1725667,2026-10-06,物流费
IT-103,saas,retail,951429,2025-02-28,物流费
IT-104,saas,retail,613296,10/19/2026,IT 支持费
IT-105,mfg,mfg,1493626,11/10/2025,服务费分摊
IT-106,saas,retail,1721136,12/15/2025,租金结算
IT-107,retail,retail,"878,986.00",14-06-2025,服务费分摊
IT-108,saas,saas,922570,22-04-2025,物流费
IT-109,saas,mfg,1665978,23-06-2025,服务费分摊
IT-110,mfg,mfg,1263727,05/03/2026,IT 支持费
IT-111,mfg,retail,624880,2026-09-06,物流费
IT-112,saas,mfg,"$1,698,204.00",2026-05-24,内部采购
IT-113,retail,saas,499227,2025-05-05,IT 支持费
IT-114,saas,saas,1253146,06/01/2025,服务费分摊
IT-115,mfg,mfg,1641899,2025-01-27,物流费
IT-116,mfg,saas,"$458,922.00",24-10-2025,租金结算
IT-117,mfg,saas,"721,585.00",24-06-2026,IT 支持费
IT-118,saas,retail,1818547,2026-08-18,IT 支持费
IT-119,mfg,mfg,"941,044.00",2025-10-19,内部采购
IT-120,retail,mfg,297746,2026-07-19,内部采购
IT-121,retail,saas,686823,03-09-2025,内部采购
IT-122,retail,retail,1511016,02-02-2025,IT 支持费
IT-123,retail,saas,"1,644,007.00",01/10/2026,内部采购
IT-124,mfg,saas,1345220,07/12/2026,物流费
IT-125,saas,saas,493361,08/03/2026,IT 支持费
IT-126,retail,mfg,"946,766.00",03/13/2025,租金结算
IT-127,saas,mfg,"1,828,419.00",03-07-2025,服务费分摊
IT-128,mfg,mfg,"298,917.00",12-08-2026,内部采购
IT-129,saas,saas,"$93,246.00",13-04-2026,服务费分摊
IT-130,retail,saas,1843694,2026-11-02,内部采购
IT-131,retail,mfg,"$1,351,240.00",2025-06-28,IT 支持费
IT-132,mfg,mfg,1350912,2025-07-02,IT 支持费
IT-133,mfg,retail,"$1,000,669.00",2025-05-17,租金结算
IT-134,saas,saas,329961,2026-03-16,内部采购
IT-135,saas,retail,144099,2026-08-09,服务费分摊
IT-136,saas,retail,"$1,101,152.00",2026-08-04,内部采购
IT-137,mfg,saas,886717,2025-05-28,内部采购
IT-138,mfg,retail,"$1,077,828.00",08/02/2025,服务费分摊
IT-139,saas,mfg,"490,897.00",2025-06-27,IT 支持费
IT-140,mfg,saas,"$76,870.00",02/08/2026,内部采购
IT-141,saas,saas,1049304,2025-09-08,物流费
IT-142,mfg,retail,"1,455,608.00",07-11-2026,物流费
IT-143,saas,retail,1356148,2025-09-08,服务费分摊
IT-144,mfg,saas,1979381,07-05-2025,物流费
IT-145,saas,saas,"$830,034.00",2025-03-11,内部采购
IT-146,mfg,mfg,1465308,11/10/2026,物流费
IT-147,mfg,saas,"$1,615,393.00",08/08/2025,物流费
IT-148,mfg,saas,367151,2025-09-04,物流费
IT-149,mfg,mfg,1152444,11/18/2026,物流费
IT-150,retail,retail,1297393,2025-06-23,租金结算
IT-151,mfg,mfg,631615,06/23/2026,服务费分摊
IT-152,retail,retail,"$1,496,897.00",12/21/2025,租金结算
IT-153,mfg,saas,"$899,088.00",2025-07-15,租金结算
IT-154,retail,mfg,88353,01/13/2025,IT 支持费
IT-155,saas,mfg,889772,2025-04-06,IT 支持费
IT-156,retail,mfg,"$1,340,829.00",01/28/2025,服务费分摊
IT-157,retail,saas,50323,2025-01-02,内部采购
IT-158,mfg,saas,540592,2026-01-08,物流费
IT-159,saas,mfg,1553052,2026-08-28,物流费
IT-160,retail,mfg,1605198,07-10-2025,物流费
IT-161,saas,retail,"$1,781,323.00",26-10-2025,租金结算
IT-162,retail,retail,1629891,2026-01-13,服务费分摊
IT-163,saas,retail,"1,482,781.00",12/26/2026,物流费
IT-164,saas,saas,"$362,451.00",2025-05-04,IT 支持费
IT-165,saas,saas,"1,090,449.00",2026-02-08,内部采购
IT-166,saas,mfg,625571,20-03-2025,内部采购
IT-167,retail,mfg,927541,2025-03-03,物流费
IT-168,saas,retail,"$1,244,259.00",17-01-2026,IT 支持费
IT-169,mfg,mfg,1193047,07/18/2025,租金结算
IT-170,retail,saas,"$510,051.00",2025-03-17,物流费
IT-171,retail,mfg,1259519,2025-07-09,内部采购
IT-172,retail,retail,1932009,2026-12-01,IT 支持费
IT-173,saas,retail,1070278,04-02-2026,服务费分摊
IT-174,retail,saas,1752905,2026-01-25,内部采购
IT-175,saas,mfg,304142,02/26/2025,IT 支持费
IT-176,saas,saas,"1,954,466.00",01/03/2025,IT 支持费
IT-177,saas,saas,"$1,654,748.00",2026-08-03,物流费
IT-178,saas,saas,"$1,103,779.00",13-01-2026,租金结算
IT-179,saas,retail,"1,924,634.00",2026-06-03,IT 支持费
IT-180,retail,saas,"$105,717.00",2026-04-16,IT 支持费
IT-181,saas,saas,"845,042.00",2025-11-06,租金结算
IT-182,saas,mfg,"$1,655,823.00",08/09/2025,内部采购
IT-183,retail,mfg,"1,163,587.00",2025-10-28,内部采购
IT-184,saas,saas,"$628,702.00",11/11/2026,租金结算
IT-185,retail,saas,811543,06/08/2026,内部采购
IT-186,mfg,saas,82083,2026-06-20,租金结算
IT-187,saas,retail,1007522,2025-01-28,物流费
IT-188,mfg,mfg,"$691,337.00",24-12-2026,租金结算
IT-189,saas,retail,"$439,678.00",2025-01-06,内部采购
IT-190,saas,retail,902384,2025-02-25,物流费
IT-191,retail,retail,"581,105.00",02-10-2025,租金结算
IT-192,saas,saas,"$1,732,912.00",05/10/2025,物流费
IT-193,mfg,retail,791055,12/19/2026,物流费
IT-194,retail,mfg,"$935,297.00",22-12-2025,内部采购
IT-195,retail,saas,700039,2025-09-26,服务费分摊
IT-196,retail,mfg,"$1,853,264.00",06/20/2026,租金结算
IT-197,saas,retail,404078,2025-10-12,IT 支持费
IT-198,saas,saas,677480,2025-03-23,物流费
IT-199,mfg,retail,"$792,813.00",2025-07-16,服务费分摊
IT-200,saas,mfg,"$309,429.00",05/11/2025,IT 支持费
