employee_id,exit_date,reason,department_id
E-1251,12/16/2025,合同到期,D-15
E-3530,27-04-2025,健康原因,D-2
E-3496,10-05-2026,主动离职,D-20
E-3308,2024-01-07,主动离职,D-9
E-3535,14-03-2026,主动离职,D-25
E-1993,12/22/2025,主动离职,D-7
E-1789,2026-08-27,被动优化,D-4
E-2290,04/19/2026,退休,D-35
E-1789,04/01/2026,健康原因,D-39
E-3251,02/16/2025,退休,D-40
E-1616,2025-09-13,合同到期,D-24
E-2752,04-01-2026,合同到期,D-17
E-1047,2026-06-03,合同到期,D-5
E-1153,2025-03-08,健康原因,D-16
E-2327,2024-04-01,退休,D-35
E-2255,2024-08-15,合同到期,D-39
E-3288,2025-01-20,合同到期,D-30
E-1678,2026-10-27,裁员,D-15
E-2435,11/04/2026,健康原因,D-8
E-3254,2024-12-15,健康原因,D-21
E-1740,2024-01-20,裁员,D-27
E-1153,05/17/2025,退休,D-15
E-1015,08/03/2024,主动离职,D-31
E-3528,11/06/2024,裁员,D-4
E-2188,11/19/2025,退休,D-16
E-1019,2025-09-25,合同到期,D-6
E-1222,10/22/2024,被动优化,D-14
E-3098,25-10-2025,退休,D-35
E-3268,18-09-2024,合同到期,D-5
E-3354,2025-05-26,健康原因,D-17
E-1224,2026-09-17,被动优化,D-15
E-3313,12-01-2025,健康原因,D-19
E-1875,2026-08-15,健康原因,D-36
E-3308,2026-04-04,主动离职,D-29
E-3241,04/26/2024,合同到期,D-14
E-2091,2024-03-14,主动离职,D-13
E-2436,27-11-2024,裁员,D-22
E-1167,28-10-2024,合同到期,D-34
E-1784,04/02/2026,退休,D-32
E-2903,2025-08-02,合同到期,D-32
E-1899,2026-08-20,健康原因,D-26
E-1459,28-12-2024,裁员,D-20
E-2759,2024-01-14,主动离职,D-17
E-2290,2026-07-10,合同到期,D-38
E-2436,2026-09-26,主动离职,D-30
E-1225,2026-12-28,退休,D-28
E-1756,2025-12-05,合同到期,D-33
E-2540,06/26/2026,合同到期,D-27
E-3091,2024-09-28,裁员,D-33
E-1428,2025-11-14,健康原因,D-34
E-1167,25-08-2024,裁员,D-1
E-3244,2024-03-17,退休,D-5
E-1188,04/03/2024,被动优化,D-19
E-1856,12/11/2024,退休,D-16
E-3566,09-08-2025,被动优化,D-29
E-2898,03/01/2026,健康原因,D-39
E-2235,2024-06-19,被动优化,D-25
E-2669,2025-06-25,合同到期,D-25
E-1175,2024-08-13,被动优化,D-35
E-3554,2024-07-05,裁员,D-39
E-3251,10/21/2026,被动优化,D-16
E-3013,10/11/2025,退休,D-5
E-2916,2026-08-17,主动离职,D-5
E-3244,2024-04-12,健康原因,D-12
E-1255,07/22/2026,健康原因,D-25
E-2164,2024-02-28,裁员,D-22
E-2947,2026-03-27,退休,D-7
E-1262,04/10/2026,退休,D-34
E-1265,2024-03-27,主动离职,D-19
E-1993,16-04-2024,被动优化,D-20
E-2021,2026-04-02,裁员,D-38
E-2232,03/17/2026,健康原因,D-18
E-1796,14-10-2024,退休,D-13
E-2081,01/23/2024,合同到期,D-35
E-3542,2026-10-15,被动优化,D-40
E-2218,07-02-2024,被动优化,D-11
E-2931,06/17/2025,裁员,D-29
E-1273,2026-12-08,合同到期,D-21
E-3467,2026-07-05,合同到期,D-25
E-2221,2026-05-24,健康原因,D-4
E-1681,04/08/2025,退休,D-18
E-2474,2026-01-10,被动优化,D-40
E-2707,11-11-2026,退休,D-21
E-2707,2026-02-25,合同到期,D-32
E-1678,2025-09-11,被动优化,D-1
E-1826,2024-03-11,被动优化,D-15
E-2255,28-09-2026,退休,D-1
E-1986,2025-11-26,健康原因,D-24
E-1897,2024-05-07,裁员,D-15
E-1605,2024-10-19,合同到期,D-20
E-2825,02-09-2024,健康原因,D-27
E-2586,2024-06-01,主动离职,D-12
E-1247,19-04-2024,健康原因,D-12
E-1712,21-03-2026,健康原因,D-17
E-1753,2025-10-12,裁员,D-23
E-2463,2025-12-04,合同到期,D-29
E-2128,11/14/2025,被动优化,D-17
E-3223,23-10-2025,裁员,D-24
E-2862,2024-06-02,被动优化,D-12
E-1207,05/18/2026,合同到期,D-4
E-1540,11/13/2024,主动离职,D-30
E-1941,2024-01-09,裁员,D-15
E-1124,05/13/2025,被动优化,D-9
E-1698,06/16/2026,退休,D-22
E-2902,08-06-2026,被动优化,D-32
E-2105,2024-01-27,退休,D-16
E-2322,21-12-2025,裁员,D-18
E-1734,2026-06-01,主动离职,D-27
E-1811,08/23/2024,健康原因,D-11
E-1462,2025-03-10,被动优化,D-40
E-3388,2026-03-07,合同到期,D-15
E-1465,2024-03-09,合同到期,D-1
E-1660,03/21/2025,主动离职,D-9
E-3535,11/16/2026,退休,D-33
E-3016,2024-04-11,被动优化,D-35
E-2832,12/03/2024,健康原因,D-40
E-1698,06/01/2026,主动离职,D-31
E-2660,2025-04-18,被动优化,D-35
E-1024,2025-05-24,主动离职,D-2
E-3481,2025-10-06,被动优化,D-7
E-2232,2026-07-10,退休,D-21
E-1167,03/08/2025,退休,D-3
E-1786,2025-01-08,被动优化,D-9
E-2657,05/18/2026,主动离职,D-17
E-1265,2024-01-01,合同到期,D-32
E-1428,2024-09-04,主动离职,D-31
E-2703,06-07-2025,主动离职,D-36
E-2023,2025-04-05,裁员,D-18
E-2585,12/06/2024,裁员,D-39
E-3223,2024-01-13,主动离职,D-23
E-1465,2026-05-08,合同到期,D-2
E-1207,2025-06-02,健康原因,D-36
E-3143,09/25/2025,被动优化,D-30
E-1461,2026-05-15,合同到期,D-5
E-3262,2026-10-28,被动优化,D-39
E-1912,09/26/2024,健康原因,D-33
E-2395,2024-03-09,合同到期,D-2
E-1809,07/11/2024,裁员,D-24
E-2572,2026-02-01,主动离职,D-30
E-1964,2026-09-12,被动优化,D-6
E-3530,09/03/2026,主动离职,D-13
E-2675,2026-05-02,退休,D-9
E-2057,2024-07-24,主动离职,D-24
E-2302,08/05/2025,合同到期,D-9
E-2302,2026-01-10,合同到期,D-15
E-2194,2025-04-16,健康原因,D-27
E-2501,2025-04-11,被动优化,D-36
E-2209,2025-07-07,裁员,D-27
E-3268,2024-04-23,合同到期,D-17
E-1082,2024-08-19,退休,D-13
E-2703,01-06-2024,裁员,D-15
E-1715,12/12/2026,裁员,D-4
E-2834,06/13/2024,合同到期,D-32
E-1404,2024-02-01,裁员,D-35
E-3292,2025-07-13,主动离职,D-31
E-1586,2026-02-13,健康原因,D-23
E-2138,10-03-2026,被动优化,D-22
E-3091,04/24/2025,被动优化,D-26
E-1300,09-05-2025,被动优化,D-38
E-2379,08-02-2024,健康原因,D-30
E-2395,04/19/2025,裁员,D-29
E-2969,2025-12-04,健康原因,D-21
E-2815,10-10-2026,裁员,D-15
E-2096,2025-08-14,主动离职,D-8
E-1428,11/06/2026,健康原因,D-39
E-1187,04-03-2025,裁员,D-15
E-1529,2024-08-19,被动优化,D-14
E-2194,2026-12-23,被动优化,D-24
E-2779,2026-01-23,裁员,D-20
E-1576,11-09-2024,主动离职,D-4
E-1622,23-06-2024,合同到期,D-39
E-2417,2024-08-05,合同到期,D-23
E-2849,2025-10-23,退休,D-11
E-3091,04/21/2026,被动优化,D-21
E-1728,2024-04-19,健康原因,D-15
E-1945,2026-04-17,合同到期,D-27
E-1753,04-09-2024,合同到期,D-2
E-2105,05/06/2025,合同到期,D-18
E-2832,01/01/2024,裁员,D-39
E-1101,2026-04-02,被动优化,D-30
E-3557,26-07-2024,裁员,D-22
E-3354,2024-10-02,合同到期,D-31
E-2241,09/11/2024,主动离职,D-8
E-3566,2026-11-02,健康原因,D-29
E-1428,19-02-2024,被动优化,D-18
E-2558,12-04-2026,裁员,D-20
E-1043,05/01/2026,被动优化,D-37
E-1378,2026-03-09,合同到期,D-22
E-2141,06/25/2026,被动优化,D-31
E-2714,03/09/2024,主动离职,D-3
E-2710,13-10-2025,主动离职,D-13
E-2183,2025-06-02,裁员,D-8
E-1238,2025-02-20,被动优化,D-21
E-2931,04/10/2025,合同到期,D-18
E-2188,2026-06-24,被动优化,D-10
E-1070,2026-03-14,健康原因,D-8
E-3008,11/14/2025,主动离职,D-17
E-1697,11/24/2025,合同到期,D-34
E-1461,2026-12-17,被动优化,D-37
E-1153,2026-09-25,主动离职,D-23
E-3561,2026-09-22,被动优化,D-18
E-1395,2026-06-24,裁员,D-39
E-1311,18-12-2025,退休,D-24
E-1766,2026-12-06,主动离职,D-12
E-3193,04-01-2026,主动离职,D-32
E-3278,09/18/2024,健康原因,D-5
E-1255,09/24/2026,退休,D-12
E-1822,2024-05-14,被动优化,D-23
E-2124,04/06/2026,退休,D-27
E-2631,08/21/2025,主动离职,D-2
E-1899,19-04-2024,合同到期,D-22
E-1753,2026-05-23,主动离职,D-2
E-1826,2026-02-02,主动离职,D-21
E-3283,07/03/2026,退休,D-7
E-2105,2025-12-21,裁员,D-4
E-1015,22-09-2026,被动优化,D-38
E-1257,07/04/2024,健康原因,D-36
E-1062,08/22/2025,主动离职,D-12
E-1439,2024-09-23,退休,D-7
E-1201,2024-06-08,退休,D-33
E-2138,2024-01-05,被动优化,D-25
E-2435,2026-06-23,主动离职,D-35
E-3137,2024-05-12,裁员,D-4
E-2673,02/13/2025,裁员,D-29
E-2322,2025-03-25,健康原因,D-31
E-1331,02/20/2025,被动优化,D-13
E-2066,03/18/2025,合同到期,D-28
E-2740,12/12/2024,被动优化,D-32
E-1124,2024-02-17,健康原因,D-3
E-1981,01/27/2025,裁员,D-38
E-1809,10/21/2026,退休,D-40
E-3167,09/19/2024,健康原因,D-29
E-3145,05-11-2024,退休,D-32
E-1875,01-05-2025,被动优化,D-20
E-2669,2025-04-23,被动优化,D-13
E-3428,2025-06-02,被动优化,D-32
E-2091,07/06/2024,被动优化,D-3
E-2218,11-02-2024,裁员,D-24
E-2586,12/04/2024,合同到期,D-28
E-1079,05/26/2026,合同到期,D-15
E-1856,2024-06-15,健康原因,D-28
E-1050,12/01/2024,健康原因,D-12
E-3577,2026-07-06,健康原因,D-6
E-1207,07/02/2026,裁员,D-24
E-3448,03/20/2025,健康原因,D-20
E-3193,10/03/2024,主动离职,D-26
E-3475,2026-02-09,主动离职,D-15
E-2290,19-07-2026,被动优化,D-25
E-1462,10-07-2025,裁员,D-6
E-2886,2024-10-06,被动优化,D-34
E-1640,06/22/2026,被动优化,D-31
E-1582,2024-05-03,健康原因,D-19
E-2194,07/05/2025,退休,D-17
E-2128,2025-03-26,主动离职,D-3
E-1796,2024-12-03,退休,D-18
E-3251,2024-03-10,退休,D-26
E-3254,2025-09-21,健康原因,D-22
E-3388,12/18/2024,合同到期,D-26
E-1348,03/15/2024,健康原因,D-17
E-3138,08/26/2026,健康原因,D-29
E-1728,2024-07-17,裁员,D-27
E-3496,06/02/2024,主动离职,D-10
E-2096,2026-06-03,退休,D-19
E-2105,05/13/2025,主动离职,D-8
E-2864,2026-06-14,被动优化,D-16
E-3428,2024-08-27,退休,D-2
E-2457,03/02/2025,被动优化,D-23
E-3302,06/20/2024,退休,D-28
E-1070,08/17/2025,被动优化,D-13
E-2081,2024-06-15,主动离职,D-17
E-2019,2024-10-21,被动优化,D-1
E-3098,01/28/2025,裁员,D-9
E-2379,2026-10-08,主动离职,D-18
E-1681,2026-06-23,健康原因,D-18
E-3545,2024-04-03,健康原因,D-11
E-1878,2026-11-10,退休,D-5
E-1983,2025-06-10,健康原因,D-5
E-1175,2026-06-09,主动离职,D-9
E-1608,02/05/2025,主动离职,D-40
E-2091,2026-12-04,合同到期,D-2
E-2501,19-12-2026,主动离职,D-17
E-1922,12-03-2026,健康原因,D-29
E-1688,2026-07-01,健康原因,D-26
E-2068,2024-11-01,裁员,D-29
E-1985,16-08-2024,健康原因,D-14
E-1827,02/11/2025,退休,D-12
E-2895,2025-04-11,合同到期,D-16
E-1827,2024-01-27,裁员,D-28
E-1041,10/02/2026,被动优化,D-25
E-2638,2024-12-23,裁员,D-12
E-3144,20-09-2024,被动优化,D-18
E-2947,10/05/2024,合同到期,D-5
E-2828,19-03-2024,退休,D-11
E-3251,12/08/2025,主动离职,D-21
E-3578,06-09-2026,主动离职,D-38
E-1870,01/13/2024,被动优化,D-25
E-2321,20-11-2026,裁员,D-18
E-2849,2026-09-09,裁员,D-39
E-1525,2026-06-04,被动优化,D-14
E-2844,2024-08-13,退休,D-33
E-2743,2025-02-02,健康原因,D-31
E-1786,2025-09-28,合同到期,D-3
E-1976,07/24/2025,合同到期,D-38
E-1351,2026-06-11,合同到期,D-39
E-2025,2026-09-13,合同到期,D-4
E-2903,2025-01-19,健康原因,D-11
E-3244,14-09-2024,主动离职,D-2
E-2290,01/11/2024,裁员,D-36
E-2714,2024-11-07,裁员,D-37
E-2141,2025-10-04,主动离职,D-21
E-1897,2024-04-21,退休,D-26
E-1459,11/09/2024,健康原因,D-2
E-1494,2024-12-28,健康原因,D-33
E-1265,02/14/2024,被动优化,D-27
E-2812,2024-10-07,健康原因,D-40
E-2859,07/08/2024,裁员,D-9
E-2782,01-09-2026,健康原因,D-32
E-2073,2025-06-12,被动优化,D-3
E-2660,2024-02-11,主动离职,D-4
E-2135,03/26/2026,裁员,D-3
E-1912,2025-07-20,健康原因,D-14
E-3292,2024-11-10,退休,D-7
E-1179,2026-06-05,合同到期,D-22
E-2864,2024-07-08,健康原因,D-32
E-1167,06/16/2024,健康原因,D-4
E-3016,11/23/2024,主动离职,D-40
E-3241,2026-10-01,主动离职,D-39
E-1697,2024-05-26,退休,D-25
E-3166,25-08-2026,健康原因,D-33
E-2903,2025-01-27,主动离职,D-1
E-2266,01/28/2026,被动优化,D-9
E-2710,2026-07-23,退休,D-4
E-2898,2025-03-27,主动离职,D-30
E-2018,01/27/2024,被动优化,D-24
E-1668,2025-04-07,退休,D-17
E-1409,12/02/2025,退休,D-21
E-1262,03/01/2025,被动优化,D-20
E-3225,2025-04-02,裁员,D-18
E-2105,2026-01-10,裁员,D-17
E-1082,2026-01-24,裁员,D-14
E-1720,06/25/2026,被动优化,D-25
E-1238,12-01-2024,健康原因,D-16
E-1378,03/17/2025,健康原因,D-18
E-2018,21-08-2026,裁员,D-10
E-3329,06/07/2026,裁员,D-23
E-3190,21-09-2025,健康原因,D-2
E-1789,02/08/2025,主动离职,D-6
E-2021,2026-02-15,被动优化,D-13
E-1459,2026-08-17,裁员,D-37
E-2188,2025-06-18,退休,D-1
E-3542,05/19/2025,裁员,D-1
