employee_id,date,hours,overtime,status
E-3478,2026-12-04,5,0,closed
E-3427,2025-01-01,5,0,pending
E-2794,07/17/2026,8,0,ACTIVE
E-1252,2025-10-20,4,0,pending
E-2544,2026-06-14,6,0,active
E-1556,25-09-2025,6,0,closed
E-3105,2026-05-07,7,0, Active 
E-2904,11/05/2025,6,0,pending
E-3569,2025-10-12,9,0,active
E-2962,28-02-2026,9,0,CLOSED
E-1761,2026-07-05,9,0, Active 
E-2734,2025-06-14,7,0,CLOSED
E-2975,2025-09-22,12,0,PENDING
E-1841,2025-09-04,4,4,ACTIVE
E-3567,2026-06-01,9,0,pending
E-2630,10/28/2026,6,0,active
E-1233,2025-08-21,11,0,PENDING
E-1410,2026-05-21,6,0,PENDING
E-2208,03-01-2025,7,0,active
E-3149,10/10/2026,4,0,CLOSED
E-3149,10-11-2025,6,0,pending
E-2407,2026-02-02,12,4,active
E-1964,03/25/2026,8,2,ACTIVE
E-3463,2025-12-18,12,0,closed
E-1994,05/24/2026,5,2,active
E-2024,2025-08-08,6,0,PENDING
E-2115,2025-06-02,7,0,active
E-2658,14-06-2026,7,3,pending
E-2614,03/09/2025,8,0,ACTIVE
E-1052,20-04-2026,8,1,pending
E-2195,11/21/2026,5,0,PENDING
E-1690,06/17/2026,8,3,PENDING
E-3588,05/19/2026,6,0, Active 
E-2625,03/17/2026,10,1,closed
E-2876,2025-07-16,11,0,active
E-2026,10/09/2026,4,4,closed
E-3197,10/28/2025,6,0, Active 
E-1337,12/08/2026,9,0,CLOSED
E-3246,2025-01-18,12,0,ACTIVE
E-2899,2025-04-19,4,1,closed
E-1881,2026-06-15,4,2,CLOSED
E-1710,2026-10-02,8,0,ACTIVE
E-2048,07/11/2025,5,0,pending
E-2828,23-03-2026,9,2,ACTIVE
E-2060,2026-05-26,12,0,PENDING
E-2101,08-03-2025,5,3,PENDING
E-3478,2025-10-25,5,0,active
E-3522,03/27/2026,7,0,ACTIVE
E-1470,2026-02-17,8,0,ACTIVE
E-2665,09/04/2025,9,3,active
E-1710,2026-11-26,10,0,pending
E-2378,2025-06-12,4,0,PENDING
E-3361,2025-02-10,12,0,ACTIVE
E-1889,2026-04-03,5,2,CLOSED
E-2864,2025-02-22,10,2,closed
E-1446,2025-12-16,10,0, Active 
E-2063,13-06-2026,4,0, Active 
E-1242,24-12-2026,5,2,PENDING
E-1519,2026-02-09,10,0, Active 
E-3283,2025-03-23,9,0,PENDING
E-1862,16-01-2025,7,0,PENDING
E-2648,03/11/2026,10,0,CLOSED
E-3573,02/15/2025,8,0,CLOSED
E-2490,2025-10-18,7,0,CLOSED
E-1082,2026-09-17,11,3,ACTIVE
E-1693,06/20/2025,7,0,ACTIVE
E-1542,06/26/2026,7,0,PENDING
E-1036,12/11/2025,7,0,closed
E-2214,2026-07-02,7,4, Active 
E-3511,2026-01-15,8,3,closed
E-3288,07/23/2026,8,0,closed
E-1396,03/09/2026,8,0, Active 
E-2493,2026-02-17,5,4,CLOSED
E-2116,2026-08-26,5,0,PENDING
E-2646,2025-02-25,9,0,PENDING
E-3402,2025-03-20,11,0, Active 
E-3460,04/12/2025,10,0, Active 
E-1014,2026-02-24,5,0,CLOSED
E-1071,17-09-2025,11,1,active
E-2096,02/05/2025,10,0,PENDING
E-2648,09-04-2025,8,1,CLOSED
E-2233,2026-08-22,4,0,pending
E-2317,2026-12-24,10,0, Active 
E-2857,2026-11-03,10,2,PENDING
E-3027,02/05/2026,9,0,ACTIVE
E-3032,05/03/2026,7,0,PENDING
E-1926,2025-08-05,11,0,ACTIVE
E-2173,2025-02-22,5,0,CLOSED
E-1857,19-04-2026,10,3,CLOSED
E-3359,2025-11-25,4,0,closed
E-3459,2026-10-14,7,0,pending
E-3441,13-07-2025,4,0,active
E-2241,03/25/2025,10,4, Active 
E-1553,2025-10-24,8,0,PENDING
E-3037,2025-05-22,5,0,closed
E-1641,11/24/2025,8,0,closed
E-3155,19-12-2025,7,0,pending
E-1714,2025-01-09,7,3,PENDING
E-3429,2026-09-21,4,1,PENDING
E-1787,2025-03-28,11,0,PENDING
E-2361,2025-02-15,7,0,active
E-2137,27-12-2026,6,0,ACTIVE
E-3291,01-12-2025,11,1,pending
E-1828,2026-08-15,4,0,CLOSED
E-3415,2025-05-13,10,0,CLOSED
E-2249,08/23/2026,11,2,ACTIVE
E-2648,06/07/2025,11,2,closed
E-2977,2025-04-16,9,0, Active 
E-2155,2025-11-05,10,0, Active 
E-2773,2025-06-11,9,2,CLOSED
E-2776,04-05-2026,10,0,ACTIVE
E-2019,09/08/2026,6,0,CLOSED
E-1152,24-01-2025,8,0,PENDING
E-3201,03/23/2026,9,0, Active 
E-1502,2026-07-27,6,0,active
E-1233,2025-03-25,6,0, Active 
E-2497,2025-11-04,4,0,closed
E-3261,06-03-2026,7,2,pending
E-3334,2026-03-09,10,3,pending
E-2366,2026-03-21,12,1,PENDING
E-2318,2026-02-10,11,0, Active 
E-2149,07/15/2025,9,0,CLOSED
E-2805,13-10-2025,8,0,pending
E-1925,2026-11-03,9,0,pending
E-1699,12/22/2025,9,0,PENDING
E-2377,08-05-2025,9,0,CLOSED
E-2892,2026-05-08,9,0,ACTIVE
E-2498,02/15/2025,11,0,ACTIVE
E-3555,2026-10-05,10,0,active
E-2813,2026-01-05,6,0, Active 
E-1128,04/22/2025,6,4,active
E-1854,01/09/2025,7,0,active
E-3019,03/15/2025,12,0, Active 
E-2351,03/27/2025,8,0,CLOSED
E-2034,2026-05-04,7,4, Active 
E-1298,10/08/2025,12,2,pending
E-1015,11/15/2025,8,4,PENDING
E-3008,11/20/2025,8,0,ACTIVE
E-2214,09/27/2026,11,0,closed
E-1709,2026-09-08,6,4,closed
E-1717,2025-08-23,11,0,active
E-2004,01/25/2025,4,0,active
E-1738,12-06-2025,8,2,closed
E-2379,02/16/2025,8,0,PENDING
E-1535,06/23/2025,8,0, Active 
E-3038,2025-01-16,9,0,ACTIVE
E-1256,10/03/2025,11,0,PENDING
E-3196,11/18/2026,6,0,CLOSED
E-1768,2026-09-04,9,0,PENDING
E-1351,2025-08-18,6,0,pending
E-1327,2025-05-13,11,0,CLOSED
E-2308,15-11-2025,10,1,ACTIVE
E-2930,2026-05-23,11,0,PENDING
E-2454,2026-01-07,5,0,ACTIVE
E-1463,09-06-2025,5,3,closed
E-2502,05/19/2025,9,0,active
E-3130,09-05-2025,11,0,PENDING
E-2163,01/18/2025,4,0,closed
E-2486,2026-08-16,7,0,CLOSED
E-3509,2025-07-24,4,2, Active 
E-3381,2025-03-27,12,0,ACTIVE
E-3118,03-11-2026,12,1,active
E-1016,2025-03-25,10,0, Active 
E-1583,2026-08-18,10,0,PENDING
E-3032,01/04/2026,5,0,active
E-2550,2026-07-21,11,0,pending
E-2184,2026-04-25,10,0,closed
E-3022,2026-06-17,6,0,CLOSED
E-3545,05-12-2026,8,0,closed
E-2193,03/05/2026,7,0,ACTIVE
E-2097,28-03-2026,4,0,ACTIVE
E-3244,03/28/2025,4,0,pending
E-1240,2026-10-22,6,0,active
E-1703,07/15/2026,6,0,ACTIVE
E-1138,06/13/2026,10,0,pending
E-3427,10/08/2025,10,0,pending
E-1592,2026-03-01,9,0,CLOSED
E-2205,01/03/2026,6,0,closed
E-1930,2025-04-09,11,0,pending
E-2957,2025-01-03,7,0,closed
E-2254,2025-02-18,9,0,pending
E-3023,2026-01-14,4,0,ACTIVE
E-2363,03/15/2025,7,0,PENDING
E-2718,2026-05-27,8,0, Active 
E-1542,11/16/2026,12,0,closed
E-3499,05-04-2026,10,4,ACTIVE
E-2633,2025-02-25,6,0,ACTIVE
E-2338,2026-10-07,6,0,CLOSED
E-2771,2025-12-26,11,2, Active 
E-2773,2026-12-01,10,0,PENDING
E-1886,09-11-2026,7,3, Active 
E-2215,2025-09-26,7,0, Active 
E-1699,05-10-2025,4,4,closed
E-2549,2026-05-12,8,0,active
E-2104,2025-04-01,4,0,active
E-1834,09/17/2025,5,0,PENDING
E-3464,2025-12-06,7,0,pending
E-2605,17-11-2026,8,0,PENDING
E-1612,03/27/2025,10,0, Active 
E-1932,07/05/2025,11,0,closed
E-2471,2026-02-11,11,0, Active 
E-1860,2025-08-21,11,0,CLOSED
E-2941,11-03-2026,8,0, Active 
E-1847,2026-11-22,11,0,pending
E-1500,2025-04-21,7,0,ACTIVE
E-2564,2025-12-08,10,0,ACTIVE
E-2095,10/28/2025,10,2,active
E-3513,2025-08-20,4,0,PENDING
E-3443,2025-04-09,12,1,PENDING
E-1689,21-10-2025,7,0, Active 
E-2999,10/20/2026,6,4,PENDING
E-1775,11/03/2025,5,0,pending
E-2921,2026-05-28,6,0,closed
E-2262,2026-03-25,4,3,closed
E-2537,2026-05-01,6,0,CLOSED
E-1274,2026-05-12,8,0,PENDING
E-1012,2026-04-15,5,0,CLOSED
E-2199,2026-12-26,10,0,PENDING
E-3523,09/18/2025,6,3,active
E-2065,2026-10-27,8,0,pending
E-1522,2026-09-24,6,4, Active 
E-2219,2025-12-09,7,1,active
E-1817,25-01-2025,6,0,PENDING
E-1213,2025-08-21,9,0,pending
E-2565,2025-03-07,5,0,CLOSED
E-2987,2025-04-01,12,0, Active 
E-2969,09/22/2025,7,2,PENDING
E-2597,2025-07-26,10,0,closed
E-2722,2026-12-09,4,4,ACTIVE
E-3193,06-03-2026,11,0,CLOSED
E-2798,2026-01-08,5,0,ACTIVE
E-1899,03/01/2026,5,0,pending
E-3469,2026-05-23,4,0, Active 
E-1883,2025-01-15,7,1,CLOSED
E-2880,20-10-2026,12,0,pending
E-1218,2025-07-15,5,0,ACTIVE
E-3169,2025-07-05,10,3, Active 
E-1093,26-02-2025,6,0,ACTIVE
E-3019,2025-09-19,5,0,active
E-1542,2025-12-23,10,0,pending
E-3549,09/18/2025,11,0,pending
E-3013,25-02-2025,10,0,PENDING
E-2758,2025-10-15,4,0,closed
E-2922,2026-07-11,4,0,closed
E-1945,10-02-2026,4,0,pending
E-2850,12/11/2025,7,0,pending
E-2771,01-07-2026,10,0,closed
E-1844,2026-03-03,12,0,pending
E-2037,2026-05-26,12,3,active
E-1361,11/15/2026,7,0,active
E-2186,2026-09-13,10,0, Active 
E-1174,2025-04-19,9,2,pending
E-3331,2025-03-05,4,0,active
E-1911,20-06-2026,5,0,pending
E-3207,06/04/2026,6,0,ACTIVE
E-1789,2025-06-27,8,0,closed
E-1047,12/05/2026,9,1,active
E-3483,2025-06-27,11,0,active
E-3183,03/04/2025,11,1,pending
E-3476,03/08/2025,10,0,pending
E-1422,2026-03-01,11,0,PENDING
E-3248,08/15/2026,10,0, Active 
E-2362,2025-04-21,12,0,PENDING
E-3231,07-07-2025,9,3,CLOSED
E-1133,2025-01-18,7,0,ACTIVE
E-2201,2026-02-09,10,0,ACTIVE
E-1900,02/23/2025,12,0,CLOSED
E-3559,05/28/2026,11,0,pending
E-2633,11/07/2025,8,0,ACTIVE
E-3358,2026-05-01,10,0,closed
E-3166,2025-01-26,11,0,PENDING
E-1005,09/27/2025,10,0,PENDING
E-2473,12/24/2025,11,0,closed
E-1405,2026-11-26,6,3, Active 
E-3445,17-11-2025,10,0,active
E-2121,2026-05-22,12,0, Active 
E-3530,14-02-2025,12,0,CLOSED
E-1553,03-06-2026,12,0,CLOSED
E-2197,2026-05-14,11,0,pending
E-2946,09/08/2026,10,1,PENDING
E-1679,05/17/2026,7,0,active
E-1068,02/24/2025,9,0,CLOSED
E-1039,2025-09-21,11,0,PENDING
E-1344,2025-03-25,7,0,closed
E-3340,2025-10-24,12,0,CLOSED
E-2782,09-10-2026,7,3,closed
E-3595,25-01-2026,7,0,pending
E-2496,2025-08-08,7,0,ACTIVE
E-1105,2025-11-04,11,0,closed
E-2766,2025-10-02,10,2,ACTIVE
E-2620,12-12-2025,6,4,PENDING
E-2690,07/15/2025,4,4,PENDING
E-3274,23-01-2025,4,0,CLOSED
E-1059,08/16/2025,9,0,closed
E-1024,2026-03-28,6,0,pending
E-1278,25-09-2026,6,0,pending
E-1077,2026-11-06,9,0,CLOSED
E-1156,2026-11-03,9,0,pending
E-3249,11/19/2025,4,0,pending
E-1372,2026-05-22,7,0,pending
E-1109,2025-12-09,12,0,active
E-1345,2026-02-06,5,4,ACTIVE
E-2164,01-12-2025,11,2, Active 
E-3203,26-02-2026,5,0,CLOSED
E-3330,2025-04-16,5,4,active
E-2610,2025-04-04,12,0,pending
E-3230,2025-07-03,9,0,CLOSED
E-1306,16-12-2026,7,0,pending
E-1926,2025-01-09,8,0,closed
E-2801,11-09-2025,4,0,PENDING
E-2447,03/25/2025,10,0,ACTIVE
E-1586,05/03/2026,8,0,pending
E-2775,06-06-2025,11,3,ACTIVE
E-3295,2025-03-17,7,0,pending
E-2732,2025-02-23,4,4,active
E-2875,2026-11-28,11,0,ACTIVE
E-3482,11/09/2026,6,0,CLOSED
E-3357,10-07-2026,9,0,CLOSED
E-2034,2025-01-28,11,0, Active 
E-1949,2026-03-15,10,0, Active 
E-2609,12/20/2025,12,0,pending
E-2188,09-04-2026,8,0,active
E-3270,2026-06-09,12,0,pending
E-2633,2025-09-28,9,0,active
E-2913,2026-01-04,4,0,ACTIVE
E-3186,2026-08-07,10,0,pending
E-2506,2025-01-25,11,2,closed
E-2491,07-05-2025,8,1,ACTIVE
E-3400,2026-05-03,5,0,active
E-3584,06/03/2026,9,0,PENDING
E-1626,12-03-2026,7,0, Active 
E-2771,2026-03-11,4,0,active
E-2917,2025-10-18,5,2,CLOSED
E-2482,12-10-2026,7,4,ACTIVE
E-1294,2025-12-09,8,0,CLOSED
E-1802,01/19/2026,9,0,PENDING
E-1647,06/01/2026,5,2, Active 
E-1388,01/23/2026,6,0,ACTIVE
E-1803,2025-12-23,12,2,ACTIVE
E-2112,2025-10-08,12,4,ACTIVE
E-3082,2026-11-04,4,0, Active 
E-2819,01/24/2025,9,0,PENDING
E-2838,2026-02-20,10,0, Active 
E-1989,2025-08-25,9,3,active
E-1948,19-03-2026,11,0,active
E-3464,2026-02-09,10,0,pending
E-2777,02-10-2025,9,0, Active 
E-1092,11-06-2026,12,0,pending
E-1853,2025-12-11,8,1,ACTIVE
E-1154,07/03/2026,8,0,pending
E-2798,12-11-2026,6,0,PENDING
E-2122,07/20/2026,4,0,pending
E-1969,04/09/2025,4,1,pending
E-1174,07-06-2025,12,0,PENDING
E-1336,2025-05-18,11,0, Active 
E-1378,11-07-2026,5,0,ACTIVE
E-2505,2026-09-17,12,0,pending
E-3101,12/15/2025,4,0,active
E-2979,2026-11-28,12,0,PENDING
E-2030,2026-01-17,12,0, Active 
E-2062,2026-06-28,10,0,CLOSED
E-3165,2026-10-12,6,0,active
E-1329,04-12-2025,4,0,closed
E-1181,2026-10-10,8,0,active
E-3038,16-04-2025,12,0,closed
E-1923,09/14/2025,12,0,ACTIVE
E-1037,2025-08-06,6,3,closed
E-2019,2025-01-05,7,0,CLOSED
E-2545,06-04-2026,12,3,pending
E-2885,2026-01-21,8,2,PENDING
E-1036,02-02-2025,7,0,pending
E-3528,03/18/2025,12,0,active
E-3173,01/24/2025,5,0,active
E-1644,2026-06-28,12,0,ACTIVE
E-2677,2026-03-01,6,0,CLOSED
E-3220,2026-11-21,8,2,closed
E-2016,2025-10-21,8,0,PENDING
E-3539,17-12-2026,9,0,active
E-3033,07/05/2025,11,0,CLOSED
E-3245,07/11/2026,10,3,pending
E-2751,2026-03-13,8,3,pending
E-1735,09/23/2026,4,0,active
E-1505,15-04-2025,4,0, Active 
E-2510,25-03-2026,12,0,pending
E-2694,26-02-2025,9,0,ACTIVE
E-1523,27-04-2025,9,0,pending
E-2267,2025-02-13,7,1,CLOSED
E-2810,18-06-2026,9,0,closed
E-1863,09/16/2025,5,0,active
E-1360,05/23/2025,12,0,PENDING
E-3500,2025-03-26,9,0,PENDING
E-3175,12/27/2026,10,0,ACTIVE
E-1171,11/12/2025,4,0,active
E-2182,08/27/2025,7,0,PENDING
E-1082,2026-12-21,6,3,active
E-1604,17-08-2026,4,0,PENDING
E-2422,2026-01-24,9,0,PENDING
E-2075,01/11/2026,6,0,pending
E-1453,2026-04-28,5,1,active
E-2818,2025-08-23,11,0,CLOSED
E-2915,07/25/2026,11,0,closed
E-1385,11/24/2026,10,2,active
E-2365,2025-04-17,10,0,active
E-2198,2025-10-05,4,0,CLOSED
E-1007,2026-09-24,9,0, Active 
E-3551,11/21/2026,9,0,pending
E-3529,25-04-2026,4,0,active
E-2587,2026-06-19,9,0,CLOSED
E-3041,2026-03-23,8,0,CLOSED
E-2349,2025-01-03,10,0,active
E-3417,04/21/2026,10,0,PENDING
E-2596,2025-04-15,4,0,ACTIVE
E-3161,02/06/2026,7,0,CLOSED
E-2726,03/14/2026,10,0,active
E-2856,01/14/2026,10,3,closed
E-1574,12/28/2026,8,0,PENDING
E-1881,06/09/2026,11,4, Active 
E-2841,10-02-2025,12,3,CLOSED
E-1625,01/23/2025,10,0,pending
E-3297,2025-09-22,8,0, Active 
E-1518,18-09-2026,10,0,PENDING
E-1796,2026-03-26,5,0,ACTIVE
E-2635,05/19/2025,4,0,ACTIVE
E-2267,17-04-2025,9,0,pending
E-2808,05/18/2025,11,0, Active 
E-1288,2026-10-03,7,0,closed
E-1871,15-12-2025,8,0,closed
E-3013,2026-12-14,4,0,PENDING
E-1773,2025-08-04,11,0,ACTIVE
E-3155,2026-11-28,10,0,closed
E-3194,2026-03-08,8,0,PENDING
E-2724,2026-03-01,5,0,active
E-1056,2025-03-18,6,3,pending
E-2831,12/14/2025,9,0,PENDING
E-3209,2025-04-10,10,3,PENDING
E-2491,2026-11-25,9,0,active
E-2713,2025-06-28,9,0,ACTIVE
E-1363,04/18/2026,5,2,closed
E-1210,01/19/2025,11,0, Active 
E-3418,12/23/2026,11,2, Active 
E-2736,07/11/2026,9,3,pending
E-2070,12-07-2026,10,3,CLOSED
E-3290,07-02-2025,8,0,CLOSED
E-3177,2026-04-28,5,0,closed
E-3331,2025-09-12,11,0,ACTIVE
E-1747,2025-02-21,5,0, Active 
E-2000,01/26/2025,7,0,PENDING
E-2680,2025-11-20,8,0, Active 
E-2861,2025-12-16,9,0,closed
E-2436,2025-05-02,9,0,pending
E-3360,2026-07-09,7,2,PENDING
E-2545,2026-09-12,11,0, Active 
E-1890,2025-11-09,11,2, Active 
E-1383,2025-10-12,6,0,pending
E-1303,2025-11-15,11,4,CLOSED
E-3218,11/10/2026,7,0,ACTIVE
E-2955,2026-01-18,10,0,active
E-3191,11/04/2026,8,4,pending
E-1946,13-09-2025,12,0,active
E-3489,04/25/2026,5,0, Active 
E-1202,2025-12-03,6,0,pending
E-1760,2025-11-12,9,0,pending
E-1661,2025-09-21,9,0,active
E-1346,04-10-2025,6,4,CLOSED
E-2334,11-02-2026,4,0,active
E-3175,2026-07-06,8,2,PENDING
E-2716,08/13/2026,10,0, Active 
E-3284,2026-10-21,7,0, Active 
E-2004,2026-12-03,12,0, Active 
E-2332,05/17/2025,10,0,pending
E-1419,12-12-2026,9,0,PENDING
E-1580,2026-11-23,10,0,active
E-1586,02/03/2025,12,0,pending
E-3056,18-01-2025,11,0,CLOSED
E-1794,2026-11-23,12,0,active
E-2971,05-10-2025,6,0, Active 
E-1407,2026-12-09,5,4,closed
E-2124,2026-11-11,7,0,active
E-2788,2025-03-03,11,2,PENDING
E-1281,07/02/2025,12,0, Active 
E-2656,2026-10-20,5,0,PENDING
E-2897,2025-04-21,4,0,CLOSED
E-1307,2025-07-01,12,0, Active 
E-1011,2025-11-08,5,3,closed
E-1394,2026-07-27,8,0,pending
E-2870,05/20/2026,5,0,closed
E-1392,2026-10-21,5,0,PENDING
E-2851,05-12-2025,6,0,ACTIVE
E-2106,24-09-2026,12,0,CLOSED
E-3478,2025-08-26,4,0,PENDING
E-3412,09/21/2025,10,0,pending
E-2725,2026-07-09,4,0,ACTIVE
E-3072,05/02/2026,6,0,PENDING
E-2801,01/04/2025,8,0,pending
E-3323,01/09/2026,12,0, Active 
E-1870,06/23/2025,6,0,CLOSED
E-1680,2026-02-09,9,0,active
E-2023,2026-03-02,12,0,pending
E-2693,08-09-2025,7,1,closed
E-3246,11/15/2025,8,0,ACTIVE
E-3013,14-03-2025,11,0,active
E-1606,2026-06-15,6,0,pending
E-1889,08/11/2026,10,0,active
E-1554,2025-07-22,6,0,CLOSED
E-3339,2025-08-19,9,0,pending
E-1479,27-05-2026,7,0,closed
E-2825,01/21/2026,11,0,CLOSED
E-1418,2025-09-17,7,0,pending
E-2051,2026-07-24,8,0,PENDING
E-3574,11/11/2025,4,2,active
E-2875,10/28/2025,12,3,active
E-3102,2025-05-24,11,0,PENDING
E-2543,25-08-2025,11,0,ACTIVE
E-3509,2025-04-17,8,0,CLOSED
E-3417,2026-11-24,11,0, Active 
E-1512,12/04/2025,12,0,pending
E-1427,28-11-2025,4,0,closed
E-2522,2026-06-20,8,0, Active 
E-3596,2025-11-04,12,3,active
E-2695,11/06/2025,11,0,PENDING
E-2554,11-09-2026,8,3,CLOSED
E-3056,02-08-2025,5,3,CLOSED
E-1462,2026-01-12,7,0,ACTIVE
E-2228,19-11-2025,6,0,CLOSED
E-1719,03/03/2025,11,0,closed
E-1880,2025-05-22,7,0,PENDING
E-2128,2025-08-03,12,0,closed
E-1794,2025-12-14,6,0, Active 
E-2538,11/16/2025,10,0,closed
E-1217,08/18/2026,9,0,active
E-3212,2025-12-17,4,0, Active 
E-2548,2025-11-12,4,0, Active 
E-2858,07/26/2026,5,0,closed
E-2257,2025-08-15,4,0, Active 
E-1469,2025-03-12,12,4,closed
E-3368,04/21/2026,12,0,pending
E-2531,2026-09-27,8,0, Active 
E-1169,02/15/2026,10,4, Active 
E-3010,23-01-2026,7,0,active
E-1803,03/21/2025,6,0,pending
E-1247,03-03-2025,6,0, Active 
E-2901,2026-03-10,8,3,ACTIVE
E-2905,2025-01-06,4,0,pending
E-2458,06/22/2026,8,0,CLOSED
E-3422,10/03/2025,10,0,active
E-1573,2025-10-27,10,0,active
E-2467,09/08/2025,9,0,ACTIVE
E-3489,05/27/2026,10,0,closed
E-2699,2026-06-26,9,0,CLOSED
E-1989,26-09-2025,5,1,PENDING
E-2883,11/13/2026,12,0,closed
E-1816,06/26/2026,8,0,CLOSED
E-3061,2026-12-27,9,0,closed
E-2956,2025-06-08,11,3,closed
E-3324,2025-02-16,4,0,pending
E-1785,20-12-2025,9,0,PENDING
E-2797,2026-10-04,4,0,ACTIVE
E-3071,11/02/2025,8,0,ACTIVE
E-2532,2025-07-05,10,0,closed
E-2442,02-08-2025,4,0,closed
E-2739,2025-08-19,9,3,closed
E-1143,2025-07-19,4,0,closed
E-2602,02-09-2026,12,0,active
E-3327,06/14/2025,9,0, Active 
E-2399,10-10-2026,5,0, Active 
E-1894,10-07-2026,7,0,pending
E-3343,2026-12-02,4,0, Active 
E-1920,2025-04-13,7,0,ACTIVE
E-3326,08/01/2025,6,3, Active 
E-2464,02-04-2026,8,1,ACTIVE
E-2355,2025-09-14,5,0,active
E-1072,11/13/2026,7,3, Active 
E-2136,2026-02-12,8,0,PENDING
E-3269,13-02-2026,5,0,pending
E-2745,2026-01-23,8,0,PENDING
E-2153,21-09-2026,10,0,PENDING
E-2010,09/22/2026,8,0,active
E-2261,2026-05-09,9,0,PENDING
E-2582,2026-10-14,6,1,pending
E-3547,2025-11-26,12,0,active
E-1284,04-12-2026,8,0,pending
E-1643,01/19/2025,4,0,PENDING
E-1330,16-05-2025,12,0, Active 
E-1104,2025-06-03,11,0,active
E-2948,2026-08-14,11,0,closed
E-2968,2025-04-02,5,0,pending
E-3495,2025-06-17,7,0,pending
E-1626,2026-01-11,7,0,ACTIVE
E-1544,10/02/2025,8,1,ACTIVE
E-2931,04/16/2026,9,0,CLOSED
E-1823,2026-12-24,7,0,ACTIVE
E-3119,2026-05-12,12,0,PENDING
E-1260,2026-02-22,5,0,pending
E-2760,2025-05-21,9,0,pending
E-2806,2025-04-13,8,0,pending
E-2170,09-08-2026,10,2,closed
E-2991,11/22/2026,8,0,active
E-3453,13-02-2026,10,0,closed
E-3381,2025-01-24,8,0,pending
E-1667,27-01-2026,4,0,active
E-1671,2026-09-06,6,0,closed
E-2787,10/28/2026,11,0,ACTIVE
E-2769,01/27/2025,4,0,closed
E-2109,2025-06-14,6,0,PENDING
E-1872,09/02/2025,11,2,CLOSED
E-2090,2025-07-05,12,0,CLOSED
E-1603,2026-11-22,8,0,active
E-2956,2025-01-11,12,0,PENDING
E-1625,11/27/2025,5,0,ACTIVE
E-2934,2025-10-27,7,0,ACTIVE
E-3285,04-09-2025,11,0,ACTIVE
E-1461,03/14/2025,5,0,active
E-2313,02-06-2025,7,0,pending
E-3554,2025-01-11,11,0,CLOSED
E-1434,03/04/2025,4,0,PENDING
E-2827,09/25/2025,8,0,CLOSED
E-2855,2025-04-15,9,2,PENDING
E-2385,07/09/2025,9,0,PENDING
E-1880,12/07/2026,12,0,active
E-3159,2025-03-21,10,0, Active 
E-3049,25-05-2026,6,0,active
E-1321,2026-05-02,4,1,PENDING
E-2155,05/26/2026,5,0,PENDING
E-1891,02-03-2025,10,0,closed
E-3015,2026-05-07,7,0,CLOSED
E-1515,06/03/2026,10,3,pending
