order_id,customer_id,store_id,coupon_id,order_date,status,total_amount
ORD-163,CUST-3870,ST-3,CP-61,2025-05-14,ACTIVE,"$14,496.00"
ORD-164,CUST-660,ST-23,,09/02/2026,active,17 761
ORD-165,CUST-2026,ST-5,,02/14/2024, Active ,18515
ORD-166,CUST-1326,ST-23,CP-78,2025-04-08,PENDING,378
ORD-167,CUST-3227,ST-18,,10/26/2026,PENDING,8365
ORD-168,CUST-2860,ST-10,,13-01-2025,ACTIVE,9848
ORD-169,CUST-4675,ST-11,,2024-04-23, Active ,1811
ORD-170,CUST-99999,ST-22,CP-63,07/20/2025, Active ,"7 468,00"
ORD-171,CUST-4702,ST-13,CP-185,2024-03-14,CLOSED,3 935
ORD-172,CUST-4664,ST-10,,09-06-2026,pending,"$6,907.00"
ORD-173,CUST-4119,ST-5,,09-09-2025,pending,"$11,589.00"
ORD-174,CUST-4111,ST-17,,23-12-2026,CLOSED,$873.00
ORD-175,CUST-143,ST-5,,2025-08-11, Active ,13229
ORD-176,CUST-371,ST-24,CP-6,13-12-2026,closed,5748
ORD-177,CUST-1111,ST-11,CP-24,2025-02-01,pending,10051
ORD-178,CUST-1401,ST-10,CP-181,19-03-2026,active,111
ORD-179,CUST-4051,ST-8,,2025-03-21,pending,2 023
ORD-180,CUST-670,ST-23,,04/11/2026,pending,7398
ORD-181,CUST-2407,ST-4,,27-04-2024,pending,6 752
ORD-182,CUST-4032,ST-19,CP-7,15-12-2025,closed,"$6,157.00"
ORD-183,CUST-99999,ST-13,,08/27/2025,ACTIVE,"$5,139.00"
ORD-184,CUST-1011,ST-8,,2025-11-07, Active ,12598
ORD-185,CUST-1745,ST-25,,04/28/2026,active,531
ORD-186,CUST-1483,ST-20,,2025-11-19,ACTIVE,"618,00"
ORD-187,CUST-2039,ST-24,,12-08-2025,active,"$4,733.00"
ORD-188,CUST-4160,ST-20,CP-70,2024-12-01, Active ,7819
ORD-189,CUST-3943,ST-22,,20-09-2024,active,"15 084,00"
ORD-190,CUST-748,ST-22,,25-09-2025, Active ,3147
ORD-191,CUST-2540,ST-8,,06-11-2025,PENDING,18338
ORD-192,CUST-3830,ST-23,CP-168,01/19/2025,closed,"4 666,00"
ORD-193,CUST-3862,ST-17,,10/26/2024,CLOSED,13 813
ORD-194,CUST-816,ST-17,,2026-02-25, Active ,"$11,910.00"
ORD-195,CUST-2868,ST-25,,10/24/2026, Active ,"$8,890.00"
ORD-196,CUST-99999,ST-17,,2026-04-04, Active ,"4 507,00"
ORD-197,CUST-3977,ST-4,,10-04-2025,PENDING,19 243
ORD-198,CUST-3033,ST-5,CP-19,2024-04-04,CLOSED,"$5,450.00"
ORD-199,CUST-2728,ST-19,,2026-05-07,PENDING,9812
ORD-200,CUST-4582,ST-13,,2024-05-27,pending,457
ORD-201,CUST-341,ST-18,,10/03/2025,closed,7404
ORD-202,CUST-4815,ST-25,,2026-05-12,ACTIVE,12561
ORD-203,CUST-2763,ST-1,,2024-04-03,PENDING,"19 531,00"
ORD-204,CUST-3234,ST-18,,01-11-2026, Active ,13434
ORD-205,CUST-4101,ST-2,,12-11-2024,PENDING,13071
ORD-206,CUST-379,ST-16,,01-08-2026,ACTIVE,"$16,877.00"
ORD-207,CUST-3322,ST-3,CP-1,12/24/2026,closed,"$3,491.00"
ORD-208,CUST-3546,ST-13,CP-32,2025-02-22, Active ,1168
ORD-209,CUST-99999,ST-16,,01/13/2025,ACTIVE,"$13,866.00"
ORD-210,CUST-2331,ST-1,,2024-03-09,ACTIVE,7172
ORD-211,CUST-2269,ST-23,,03/24/2025, Active ,"8 718,00"
ORD-212,CUST-3376,ST-2,,2024-07-07,PENDING,8244
ORD-213,CUST-3753,ST-1,,08/23/2026,pending,16813
ORD-214,CUST-2031,ST-4,CP-27,2024-08-10,pending,"$13,291.00"
ORD-215,CUST-1348,ST-16,,2026-12-08,active,523
ORD-216,CUST-3479,ST-19,CP-188,2025-12-21,ACTIVE,2881
ORD-217,CUST-2248,ST-7,CP-82,05/27/2026,closed,13332
ORD-218,CUST-558,ST-19,,26-05-2026, Active ,"$16,998.00"
ORD-219,CUST-2641,ST-15,CP-130,17-11-2024, Active ,11 272
ORD-220,CUST-1670,ST-11,,2025-01-28,active,11844
ORD-221,CUST-1611,ST-1,,11/22/2026,CLOSED,12023
ORD-222,CUST-99999,ST-16,,2025-07-04,PENDING,12 078
ORD-223,CUST-4147,ST-12,,2026-09-18, Active ,4927
ORD-224,CUST-370,ST-17,,2026-02-11,ACTIVE,"$4,037.00"
ORD-225,CUST-4946,ST-22,,2025-06-11, Active ,"$15,523.00"
ORD-226,CUST-2262,ST-22,CP-60,2025-02-09,ACTIVE,"$19,997.00"
ORD-227,CUST-2748,ST-25,,07/21/2025,PENDING,"$1,946.00"
ORD-228,CUST-1010,ST-6,,2024-05-12,PENDING,16138
ORD-229,CUST-387,ST-4,,01/14/2024, Active ,"$3,536.00"
ORD-230,CUST-4951,ST-20,,2025-07-10,PENDING,12649
ORD-231,CUST-3174,ST-2,,03/14/2024,active,"$5,654.00"
ORD-232,CUST-3821,ST-3,,18-03-2026,PENDING,11332
ORD-233,CUST-2823,ST-18,,06/09/2024,pending,19195
ORD-234,CUST-3093,ST-23,,08-01-2026, Active ,19 486
ORD-235,CUST-99999,ST-19,,12-07-2026,ACTIVE,7724
ORD-236,CUST-1558,ST-25,,14-10-2025,active,"12 828,00"
ORD-237,CUST-2702,ST-1,,02/11/2024,pending,5806
ORD-238,CUST-675,ST-5,,07-04-2024,ACTIVE,452
ORD-239,CUST-948,ST-11,CP-42,03/26/2024,active,13926
ORD-240,CUST-2391,ST-18,CP-27,08/18/2026,active,2265
ORD-241,CUST-1454,ST-20,,24-12-2026,pending,6741
ORD-242,CUST-3513,ST-7,CP-139,2024-09-08,CLOSED,16407
ORD-243,CUST-1981,ST-24,CP-188,2026-11-06,active,"5 315,00"
ORD-244,CUST-598,ST-13,,10/15/2026,pending,6649
ORD-245,CUST-2062,ST-16,,2026-05-21,CLOSED,17984
ORD-246,CUST-4125,ST-17,,2024-03-16,pending,12570
ORD-247,CUST-4645,ST-14,,2025-01-18,closed,4558
ORD-248,CUST-99999,ST-14,,2026-05-10,PENDING,2614
ORD-249,CUST-3493,ST-11,,2024-12-07,closed,"$6,507.00"
ORD-250,CUST-3508,ST-8,,10/06/2026,closed,5 329
ORD-251,CUST-1230,ST-17,CP-75,2026-01-22,closed,10288
ORD-252,CUST-1491,ST-25,,2025-11-28,closed,"$15,440.00"
ORD-253,CUST-2346,ST-18,CP-33,2024-11-01, Active ,"15 866,00"
ORD-254,CUST-2562,ST-2,,07/23/2025,closed,14746
ORD-255,CUST-4795,ST-12,CP-149,2024-04-14,PENDING,"$12,435.00"
ORD-256,CUST-4171,ST-1,,2025-08-10,pending,"$6,614.00"
ORD-257,CUST-1735,ST-17,,12/11/2025,ACTIVE,"$2,913.00"
ORD-258,CUST-3976,ST-14,,2025-12-08, Active ,19855
ORD-259,CUST-3643,ST-12,,2025-01-04,ACTIVE,"$9,549.00"
ORD-260,CUST-11,ST-21,,2025-11-12,ACTIVE,5659
ORD-261,CUST-99999,ST-20,,2024-04-15,active,13231
ORD-262,CUST-800,ST-13,,2025-02-20,active,19413
ORD-263,CUST-1774,ST-10,CP-146,05-05-2024,active,3481
ORD-264,CUST-1044,ST-11,CP-119,16-12-2025,CLOSED,"$1,594.00"
ORD-265,CUST-2970,ST-10,,2025-10-04,PENDING,15997
ORD-266,CUST-1867,ST-17,CP-154,07/02/2025, Active ,14 567
ORD-267,CUST-2593,ST-9,,2025-06-12,CLOSED,1248
ORD-268,CUST-3942,ST-20,CP-157,09/24/2025,closed,4803
ORD-269,CUST-3347,ST-3,,19-11-2026,active,5 036
ORD-270,CUST-4819,ST-9,CP-61,2025-07-22,CLOSED,18558
ORD-271,CUST-3189,ST-12,,07-08-2025,ACTIVE,"$3,445.00"
ORD-272,CUST-1117,ST-21,,2025-09-26,pending,2091
ORD-273,CUST-1326,ST-4,,2025-04-01,CLOSED,10358
ORD-274,CUST-99999,ST-12,CP-47,19-10-2024,active,"$17,076.00"
ORD-275,CUST-352,ST-1,CP-185,10-04-2026,closed,"$19,721.00"
ORD-276,CUST-4487,ST-25,,2024-04-04, Active ,10896
ORD-277,CUST-3480,ST-11,,2025-09-06,PENDING,12298
ORD-278,CUST-2769,ST-22,,12/20/2024,active,6255
ORD-279,CUST-1743,ST-11,CP-110,2025-02-09,PENDING,"16 902,00"
ORD-280,CUST-4609,ST-12,,14-07-2025,ACTIVE,15009
ORD-281,CUST-2873,ST-14,CP-93,2024-11-26,active,$453.00
ORD-282,CUST-1074,ST-5,CP-147,03-07-2024,pending,6183
ORD-283,CUST-2169,ST-24,,2025-05-10,active,"$14,355.00"
ORD-284,CUST-4038,ST-4,,03/05/2026,ACTIVE,"$10,175.00"
ORD-285,CUST-2844,ST-4,CP-102,20-06-2026,CLOSED,129
ORD-286,CUST-1281,ST-24,,09/28/2026,closed,"$9,062.00"
ORD-287,CUST-99999,ST-22,,2024-10-15,ACTIVE,13888
ORD-288,CUST-4670,ST-17,,2026-09-21,CLOSED,10594
ORD-289,CUST-508,ST-18,,01/01/2024,closed,440
ORD-290,CUST-3652,ST-9,CP-73,2024-09-17,closed,"$1,305.00"
ORD-291,CUST-238,ST-3,,2024-08-08,active,"$19,635.00"
ORD-292,CUST-3016,ST-15,CP-130,02-10-2024, Active ,5664
ORD-293,CUST-2859,ST-13,CP-170,10/13/2026,active,"$18,341.00"
ORD-294,CUST-2982,ST-16,CP-26,10/08/2024,pending,"3 501,00"
ORD-295,CUST-128,ST-13,CP-51,11/05/2026,PENDING,10115
ORD-296,CUST-2084,ST-5,CP-59,2026-06-17,active,1447
ORD-297,CUST-1830,ST-6,,03-07-2025,closed,"$12,489.00"
ORD-298,CUST-1366,ST-17,CP-132,02/04/2025,closed,7724
ORD-299,CUST-2480,ST-1,,11/01/2026,active,19055
ORD-300,CUST-99999,ST-12,,2024-12-14,active,18105
ORD-301,CUST-322,ST-17,CP-117,2024-12-12, Active ,8258
ORD-302,CUST-3864,ST-24,,2025-01-09, Active ,"18 431,00"
ORD-303,CUST-540,ST-14,,2026-08-05,CLOSED,14 275
ORD-304,CUST-1307,ST-22,CP-94,02-04-2024,closed,"$10,831.00"
ORD-305,CUST-75,ST-25,,03/09/2026,active,2391
ORD-306,CUST-541,ST-12,,26-05-2025,CLOSED,13303
ORD-307,CUST-3871,ST-8,,2024-05-07,pending,9753
ORD-308,CUST-717,ST-4,CP-45,08/13/2024,ACTIVE,969
ORD-309,CUST-4630,ST-2,CP-42,02/24/2024,closed,"$5,809.00"
ORD-310,CUST-3877,ST-4,,2026-04-12, Active ,"15 684,00"
ORD-311,CUST-2190,ST-20,CP-5,2025-03-07,active,"$1,918.00"
ORD-312,CUST-2973,ST-10,CP-42,07/10/2025,active,8164
ORD-313,CUST-99999,ST-5,CP-97,12-08-2024,CLOSED,"$6,977.00"
ORD-314,CUST-2322,ST-13,,04/16/2025,CLOSED,5252
ORD-315,CUST-3877,ST-25,,2024-07-01,PENDING,"$13,361.00"
ORD-316,CUST-3474,ST-25,,2024-11-07,CLOSED,2632
ORD-317,CUST-1219,ST-12,CP-33,09/13/2025, Active ,"18 262,00"
ORD-318,CUST-4455,ST-13,,24-05-2026, Active ,"$8,690.00"
ORD-319,CUST-687,ST-16,,2025-02-03,PENDING,"3 306,00"
ORD-320,CUST-2369,ST-15,CP-190,11/16/2025, Active ,"$12,998.00"
ORD-321,CUST-2353,ST-20,,24-10-2024,PENDING,"$14,417.00"
ORD-322,CUST-2022,ST-25,CP-35,2024-12-15,CLOSED,8390
ORD-323,CUST-598,ST-6,CP-79,04/12/2026,closed,4737
ORD-324,CUST-3019,ST-11,CP-42,03/14/2024,closed,10649
ORD-325,CUST-677,ST-23,,01/23/2025,pending,"$13,090.00"
ORD-326,CUST-99999,ST-2,,2024-12-03, Active ,5734
ORD-327,CUST-128,ST-7,,2025-12-27,pending,"$15,776.00"
ORD-328,CUST-4193,ST-14,,2024-04-15,ACTIVE,6583
ORD-329,CUST-374,ST-1,,2026-01-14,ACTIVE,"4 842,00"
ORD-330,CUST-2041,ST-1,,2025-10-24,active,1 034
ORD-331,CUST-4929,ST-18,,2026-09-07,PENDING,8290
ORD-332,CUST-351,ST-25,,01-07-2025,ACTIVE,"$11,039.00"
ORD-333,CUST-1277,ST-24,,02/03/2024,active,$753.00
ORD-334,CUST-617,ST-24,,06/03/2024,active,7 607
ORD-335,CUST-2307,ST-19,,03/13/2026,closed,1900
ORD-336,CUST-2046,ST-23,,2025-03-22,ACTIVE,2 087
ORD-337,CUST-2543,ST-20,,01/01/2024,closed,17299
ORD-338,CUST-3339,ST-1,,01-01-2024,pending,"$18,717.00"
ORD-339,CUST-99999,ST-19,,2026-02-18,PENDING,9124
ORD-340,CUST-1002,ST-12,CP-51,2026-09-05, Active ,10191
ORD-341,CUST-3840,ST-10,,07-07-2026,active,479
ORD-342,CUST-2423,ST-17,CP-124,04/26/2024,CLOSED,"17 138,00"
ORD-343,CUST-3380,ST-18,,07/03/2025,closed,15134
ORD-344,CUST-4631,ST-7,,2026-12-14,active,1055
ORD-345,CUST-1141,ST-20,,17-09-2026,pending,"15 764,00"
ORD-346,CUST-1636,ST-10,CP-175,2025-12-25,pending,16796
ORD-347,CUST-2340,ST-21,,24-07-2025,CLOSED,581
ORD-348,CUST-4279,ST-20,,2024-02-09,pending,803
ORD-349,CUST-1938,ST-12,CP-85,12/23/2025,active,15795
ORD-350,CUST-1595,ST-2,,03/19/2024, Active ,"$4,058.00"
ORD-351,CUST-393,ST-25,CP-36,2025-06-26,CLOSED,15863
ORD-352,CUST-99999,ST-20,,2026-07-24,active,4 644
ORD-353,CUST-3818,ST-16,,23-12-2025,closed,16323
ORD-354,CUST-2861,ST-2,,2024-11-24,PENDING,4023
ORD-355,CUST-2324,ST-6,,2024-07-01,PENDING,10520
ORD-356,CUST-1133,ST-15,,13-11-2026,active,19018
ORD-357,CUST-4038,ST-24,,05/14/2025,active,"$4,243.00"
ORD-358,CUST-2558,ST-16,CP-200,16-06-2026,active,13549
ORD-359,CUST-3713,ST-1,CP-198,2026-04-21,ACTIVE,16651
ORD-360,CUST-1899,ST-17,,11/24/2025,closed,"12 136,00"
ORD-361,CUST-2905,ST-3,,15-02-2026,closed,6025
ORD-362,CUST-2293,ST-20,,02/13/2024,CLOSED,2423
ORD-363,CUST-1381,ST-1,,04/16/2026,closed,3679
ORD-364,CUST-3468,ST-7,CP-169,2024-12-24,pending,8539
ORD-365,CUST-99999,ST-6,CP-57,2026-12-06,ACTIVE,"$10,818.00"
ORD-366,CUST-2281,ST-14,,2026-06-14, Active ,15981
ORD-367,CUST-3053,ST-22,CP-130,05/20/2025,active,1 230
ORD-368,CUST-3958,ST-18,CP-1,02-01-2026,pending,16913
ORD-369,CUST-1643,ST-3,,11/01/2025,closed,"$3,906.00"
ORD-370,CUST-1521,ST-23,,07/01/2024,closed,13574
ORD-371,CUST-2243,ST-20,,02-02-2024,active,"$16,075.00"
ORD-372,CUST-2654,ST-10,CP-148,2024-11-28,active,"$1,840.00"
ORD-373,CUST-4599,ST-11,,2024-08-21,pending,8934
ORD-374,CUST-1908,ST-12,,2026-07-04,CLOSED,"$2,903.00"
ORD-375,CUST-4797,ST-23,,2026-11-22,pending,"$16,839.00"
ORD-376,CUST-1489,ST-17,,2025-10-14, Active ,"$6,541.00"
ORD-377,CUST-2565,ST-18,,2024-09-25,PENDING,15493
ORD-378,CUST-99999,ST-24,,2025-06-26,PENDING,"9 405,00"
ORD-379,CUST-4082,ST-2,,05/13/2024,PENDING,5 672
ORD-380,CUST-4359,ST-11,,08/20/2024, Active ,"15 104,00"
