price_id,product_id,effective_date,price
PR-119,REF-1319,08/19/2026,"$2,236.00"
PR-120,R-1437,2024-03-13,$391.00
PR-121,SKU1445,12/19/2026,"$4,775.00"
PR-122,MD-1410,04/19/2024,1406
PR-123,MD-1017,17-08-2025,5 192
PR-124,R-1448,04/11/2026,3848
PR-125,REF-1138,2026-09-10,"$2,141.00"
PR-126,SKU1571,26-05-2025,"$3,576.00"
PR-127,R-1460,10/01/2024,"$4,837.00"
PR-128,MD-1205,2026-09-07,2461
PR-129,SKU1649,2025-03-24,969
PR-130,R-1678,08/10/2026,4146
PR-131,MD-1557,2024-12-23,"$1,845.00"
PR-132,REF-1021,2026-06-13,"4 463,00"
PR-133,REF-1071,2025-06-09,662
PR-134,MD-1306,03/24/2026,"509,00"
PR-135,MD-1549,2026-12-25,4745
PR-136,R-1027,2026-10-07,"1 216,00"
PR-137,MD-1679,2025-01-22,4323
PR-138,R-1193,2025-01-23,1675
PR-139,MD-1502,02/19/2026,"4 217,00"
PR-140,MD-1627,2025-06-17,"1 210,00"
PR-141,REF-1546,09/06/2026,2995
PR-142,SKU1020,2026-09-03,1972
PR-143,REF-1696,01/25/2025,$480.00
PR-144,REF-1541,2024-08-05,"$3,999.00"
PR-145,MD-1538,22-07-2024,1289
PR-146,R-1252,2024-11-12,"4 552,00"
PR-147,R-1419,2026-03-22,"4 084,00"
PR-148,MD-1270,2025-07-26,2967
PR-149,SKU1100,05/09/2026,"$2,366.00"
PR-150,REF-1727,2024-10-26,1565
PR-151,MD-1496,11/11/2026,3489
PR-152,MD-1212,2024-02-18,"2 662,00"
PR-153,MD-1366,2024-03-23,"$3,365.00"
PR-154,REF-1099,19-09-2024,"$4,540.00"
PR-155,MD-1392,08/06/2026,2409
PR-156,SKU1342,06/19/2024,4672
PR-157,R-1312,11/28/2025,3038
PR-158,REF-1743,03/22/2024,4573
PR-159,R-1545,07/22/2025,"$1,003.00"
PR-160,R-1532,2024-03-20,4 753
PR-161,REF-1135,20-06-2026,2124
PR-162,SKU1277,10/06/2024,$342.00
PR-163,MD-1717,2026-09-27,"3 964,00"
PR-164,R-1415,05-11-2024,668
PR-165,MD-1458,2026-09-03,$61.00
PR-166,MD-1464,2024-11-23,986
PR-167,SKU1722,2026-01-07,2066
PR-168,R-1666,02/11/2026,"$3,589.00"
PR-169,REF-1797,04/13/2024,4480
PR-170,R-1637,2025-02-06,4288
PR-171,SKU1218,2026-02-25,719
PR-172,R-1388,23-08-2025,"$5,016.00"
PR-173,SKU1750,05/08/2024,2460
PR-174,R-1317,2025-01-14,"1 270,00"
PR-175,MD-1516,25-01-2026,750
PR-176,MD-1436,07/27/2025,$698.00
PR-177,MD-1670,09/11/2026,3443
PR-178,R-1082,2024-07-10,1 124
PR-179,R-1512,2024-03-28,4220
PR-180,REF-1457,2024-02-01,365
PR-181,REF-1743,05/17/2025,"3 926,00"
PR-182,R-1415,2026-01-03,"4 192,00"
PR-183,REF-1331,2025-10-10,"$4,045.00"
PR-184,R-1577,2026-09-02,"$3,313.00"
PR-185,REF-1345,03-05-2024,"1 599,00"
PR-186,REF-1365,2024-02-21,2618
PR-187,MD-1258,2024-10-02,151
PR-188,SKU1556,05/15/2024,"$3,973.00"
PR-189,SKU1742,10/15/2024,3624
PR-190,R-1001,01/22/2025,171
PR-191,SKU1617,05/14/2025,2829
PR-192,SKU1525,2026-06-02,"$2,172.00"
PR-193,R-1408,2024-01-13,"$3,654.00"
PR-194,REF-1393,01/18/2026,3482
PR-195,SKU1153,11/28/2025,2255
PR-196,SKU1139,2024-07-20,2457
PR-197,R-1791,22-12-2026,"$4,624.00"
PR-198,R-1667,02/07/2024,318
PR-199,REF-1067,2025-07-14,4075
PR-200,SKU1066,2025-12-07,"$3,197.00"
PR-201,MD-1062,2026-01-12,3 890
PR-202,R-1124,08/18/2026,1184
PR-203,SKU1085,08/01/2025,4392
PR-204,R-1588,12/21/2026,"$2,905.00"
PR-205,SKU1623,2026-04-11,523
PR-206,R-1751,2026-08-18,1842
PR-207,REF-1195,07-02-2025,$406.00
PR-208,REF-1042,09/01/2024,1161
PR-209,R-1565,04/23/2026,1821
PR-210,MD-1792,2024-05-14,939
PR-211,REF-1354,2025-08-24,4546
PR-212,SKU1134,13-07-2024,3965
PR-213,R-1749,11/05/2024,2 364
PR-214,REF-1514,2026-09-23,2 762
PR-215,SKU1139,2024-01-14,81
PR-216,SKU1251,2025-12-18,3469
PR-217,MD-1375,26-07-2025,487
PR-218,SKU1056,12/09/2024,"$3,788.00"
PR-219,MD-1049,05/27/2025,3262
PR-220,R-1001,08-02-2026,3112
PR-221,MD-1224,2025-04-25,4707
PR-222,MD-1091,2025-10-16,"$3,051.00"
PR-223,R-1157,2024-08-08,4947
PR-224,MD-1197,11-03-2024,5090
PR-225,MD-1258,2026-10-24,$868.00
PR-226,R-1751,2025-06-14,704
PR-227,REF-1510,2025-01-21,"$1,598.00"
PR-228,MD-1458,2025-01-08,"$1,578.00"
PR-229,SKU1314,23-02-2025,3641
PR-230,R-1532,24-03-2026,3719
PR-231,REF-1361,2025-07-27,3720
PR-232,MD-1639,2025-01-18,2752
PR-233,REF-1101,2024-07-01,1135
PR-234,REF-1790,13-07-2024,"$1,640.00"
PR-235,R-1108,2024-04-19,$46.00
PR-236,R-1385,06/18/2026,804
PR-237,R-1003,10/17/2024,1 195
PR-238,SKU1794,08/11/2025,"$2,802.00"
PR-239,MD-1679,2024-02-13,4533
PR-240,R-1435,10/19/2025,1564
PR-241,REF-1300,2025-12-27,$185.00
PR-242,SKU1453,11/11/2026,3 020
PR-243,SKU1687,2025-03-24,2969
PR-244,REF-1361,12/15/2024,"$1,635.00"
PR-245,R-1760,08/03/2026,"78,00"
PR-246,SKU1368,2026-12-11,2209
PR-247,SKU1201,24-07-2024,2297
PR-248,REF-1655,2024-08-18,"$1,693.00"
PR-249,SKU1610,05/02/2025,3239
PR-250,MD-1724,2025-01-12,3426
PR-251,R-1595,2024-09-22,4901
PR-252,SKU1642,2024-12-24,3052
PR-253,SKU1160,01/11/2026,2662
PR-254,SKU1036,2025-12-15,4480
PR-255,REF-1644,2025-02-13,"$2,884.00"
PR-256,SKU1254,17-07-2024,"$3,152.00"
PR-257,REF-1728,2025-11-24,3629
PR-258,MD-1516,2024-02-24,$878.00
PR-259,R-1179,2025-08-22,1626
PR-260,REF-1795,12/06/2026,"1 464,00"
PR-261,SKU1527,2024-01-09,$443.00
PR-262,SKU1508,11-05-2024,729
PR-263,SKU1623,2025-02-22,5034
PR-264,REF-1781,2024-01-01,4446
PR-265,SKU1733,2025-12-13,"1 431,00"
PR-266,R-1348,10/13/2025,4211
PR-267,MD-1542,28-12-2026,889
PR-268,REF-1531,2024-03-05,"4 520,00"
PR-269,REF-1292,2026-07-19,"3 666,00"
PR-270,MD-1717,05/10/2026,"2 925,00"
PR-271,REF-1661,06-05-2026,3 418
PR-272,MD-1528,2026-03-23,"$3,631.00"
PR-273,SKU1395,02-06-2025,799
PR-274,SKU1332,03/19/2024,4751
PR-275,SKU1277,05-03-2025,"1 691,00"
PR-276,R-1047,2026-04-11,1999
PR-277,R-1568,2024-01-24,"$4,956.00"
PR-278,REF-1176,2025-02-09,999
PR-279,R-1476,10-05-2025,"2 688,00"
PR-280,REF-1173,03/18/2025,4474
PR-281,REF-1138,03/05/2024,3035
PR-282,R-1660,2026-08-15,977
PR-283,MD-1754,07/20/2025,3103
PR-284,SKU1201,06/20/2024,3 200
PR-285,REF-1352,12/18/2026,1617
PR-286,MD-1410,2026-09-17,$362.00
PR-287,REF-1431,08/11/2024,2 834
PR-288,REF-1644,10/27/2026,"3 638,00"
PR-289,R-1228,2025-08-04,"$3,655.00"
PR-290,SKU1416,28-05-2025,"$1,827.00"
PR-291,MD-1033,06/14/2024,2196
PR-292,REF-1403,06-12-2024,"$2,338.00"
PR-293,REF-1263,2024-03-10,1420
PR-294,SKU1574,2024-04-07,"$3,884.00"
PR-295,MD-1497,2024-11-04,"$1,809.00"
PR-296,SKU1148,10/04/2026,"$2,145.00"
PR-297,R-1710,2024-12-07,"1 506,00"
PR-298,REF-1530,2026-08-02,"$3,501.00"
PR-299,SKU1486,09/04/2024,"$3,387.00"
PR-300,REF-1650,2024-02-23,$386.00
PR-301,R-1129,2026-06-28,"$1,204.00"
PR-302,MD-1227,06-07-2024,3343
PR-303,SKU1139,2024-05-18,1392
PR-304,MD-1670,2025-04-20,"$3,445.00"
PR-305,REF-1743,2025-04-24,4211
PR-306,MD-1792,09/10/2026,4835
PR-307,R-1592,2024-03-14,2695
PR-308,REF-1028,2026-05-22,4785
PR-309,REF-1211,06/23/2024,"$2,269.00"
PR-310,R-1512,09/08/2025,2647
PR-311,MD-1358,06/10/2024,3356
PR-312,R-1430,03/11/2026,546
PR-313,MD-1493,2024-09-11,161
PR-314,R-1236,2024-07-06,2866
PR-315,REF-1138,2026-01-25,4 606
PR-316,MD-1366,07/04/2024,1060
PR-317,REF-1777,2024-06-25,"2 049,00"
PR-318,REF-1391,2026-04-08,4950
PR-319,SKU1272,2024-11-24,3477
PR-320,SKU1247,28-12-2026,"4 404,00"
PR-321,R-1752,08/06/2025,965
PR-322,R-1109,2024-10-25,2061
PR-323,R-1796,2026-03-09,"$1,242.00"
PR-324,R-1787,2026-04-04,"3 936,00"
PR-325,REF-1103,10/03/2026,"3 365,00"
PR-326,R-1698,22-12-2024,5154
PR-327,REF-1099,2024-07-22,3191
PR-328,MD-1757,2025-08-12,"$3,063.00"
PR-329,SKU1152,21-02-2024,4067
PR-330,REF-1053,2024-11-05,"$4,917.00"
PR-331,REF-1536,05/08/2024,4143
PR-332,REF-1261,12/14/2025,1549
PR-333,R-1721,2024-04-08,"$2,323.00"
PR-334,R-1565,07-06-2024,4024
PR-335,R-1290,2024-07-06,307
PR-336,SKU1271,2024-12-18,3306
PR-337,SKU1575,2025-01-16,2053
PR-338,REF-1279,2025-03-10,$117.00
PR-339,R-1237,2024-12-08,"$4,059.00"
PR-340,SKU1106,2024-09-26,2195
PR-341,MD-1647,17-06-2025,759
PR-342,SKU1192,08/03/2024,"5 065,00"
PR-343,REF-1429,2025-10-24,615
PR-344,SKU1038,03/06/2026,1228
PR-345,SKU1095,13-04-2026,$225.00
PR-346,MD-1033,11/21/2026,"$1,780.00"
PR-347,SKU1607,2024-03-08,1916
PR-348,REF-1604,2026-09-05,$763.00
PR-349,R-1770,13-07-2024,"$1,281.00"
PR-350,R-1602,2024-11-12,3455
PR-351,R-1751,2026-09-08,3568
PR-352,R-1348,2025-03-09,2199
PR-353,SKU1231,2024-01-16,4065
PR-354,REF-1008,23-08-2024,4602
PR-355,MD-1392,08/16/2024,1 391
PR-356,REF-1057,2024-02-23,"$3,298.00"
PR-357,R-1498,2025-03-18,"$3,285.00"
PR-358,R-1408,11-07-2026,3 471
PR-359,SKU1556,2026-08-20,638
PR-360,REF-1696,04/26/2025,"3 043,00"
PR-361,SKU1298,2025-11-02,$912.00
PR-362,MD-1528,2024-12-22,3011
PR-363,REF-1263,21-12-2026,512
PR-364,R-1182,2026-08-25,3123
PR-365,R-1233,2025-10-08,3849
PR-366,SKU1525,07/16/2026,2748
PR-367,R-1158,12/16/2024,"$3,249.00"
PR-368,REF-1214,2025-01-04,"$4,648.00"
PR-369,MD-1270,05/24/2025,4131
PR-370,SKU1762,2024-01-22,4551
PR-371,R-1565,11/02/2025,2128
PR-372,R-1488,2024-09-02,846
PR-373,MD-1707,07/07/2024,1162
PR-374,SKU1183,2025-06-12,1754
PR-375,R-1108,04/16/2025,$445.00
PR-376,SKU1744,2025-02-07,"4 763,00"
PR-377,R-1209,04/05/2026,1076
PR-378,MD-1309,08/25/2025,"$3,703.00"
PR-379,REF-1238,03/02/2025,4 492
PR-380,R-1584,2026-11-28,3688
PR-381,MD-1636,10/09/2024,2071
PR-382,SKU1527,2025-01-05,1172
PR-383,REF-1519,2026-07-17,1950
PR-384,R-1438,2025-02-22,"$1,194.00"
PR-385,REF-1727,2024-04-26,"$3,674.00"
PR-386,REF-1777,06/25/2026,628
PR-387,MD-1581,03/02/2025,1067
PR-388,REF-1261,2024-11-27,3008
PR-389,SKU1318,2024-07-01,4 545
PR-390,SKU1472,11/17/2024,20
PR-391,R-1293,12/12/2024,164
PR-392,REF-1103,2026-08-21,"$2,981.00"
PR-393,SKU1298,2025-06-23,4962
PR-394,SKU1453,02-02-2026,2854
PR-395,MD-1250,2025-03-08,3055
PR-396,REF-1079,2026-01-07,"$5,080.00"
PR-397,R-1577,03/10/2025,"$1,453.00"
PR-398,REF-1672,2025-03-10,"3 722,00"
PR-399,SKU1332,2026-01-13,"$5,085.00"
PR-400,R-1120,08/16/2025,659
PR-401,MD-1757,05/20/2026,$227.00
PR-402,R-1749,2024-04-20,1925
PR-403,SKU1031,05/18/2026,"$4,738.00"
PR-404,SKU1603,15-11-2026,"3 207,00"
PR-405,R-1234,07-10-2026,1236
PR-406,SKU1416,05/25/2026,"$4,536.00"
PR-407,REF-1401,2024-04-20,"2 090,00"
PR-408,SKU1426,2026-12-21,806
PR-409,MD-1023,2024-05-06,"$3,374.00"
PR-410,SKU1069,12/23/2026,"$2,170.00"
PR-411,REF-1186,21-07-2025,"$3,629.00"
PR-412,REF-1008,2025-06-24,"$5,091.00"
PR-413,MD-1165,2026-02-02,"$3,430.00"
PR-414,SKU1617,03/22/2026,1176
PR-415,REF-1414,2025-11-21,"$4,593.00"
PR-416,SKU1072,05/19/2026,2291
PR-417,MD-1516,06/06/2026,"$4,368.00"
PR-418,REF-1450,17-02-2025,3574
PR-419,SKU1764,05/22/2026,"$3,230.00"
PR-420,MD-1004,08/08/2024,4205
PR-421,R-1771,2026-01-21,1304
PR-422,MD-1087,2025-02-03,"$4,744.00"
PR-423,MD-1380,2026-12-08,"4 959,00"
PR-424,MD-1147,2025-01-28,1116
PR-425,SKU1381,2024-07-25,"2 531,00"
PR-426,SKU1662,09-11-2026,1262
PR-427,SKU1272,2025-05-03,3350
PR-428,SKU1413,12-03-2024,2789
PR-429,SKU1051,2025-09-04,"1 358,00"
PR-430,R-1112,2025-08-16,"$2,129.00"
PR-431,R-1463,05/04/2025,3954
PR-432,MD-1471,2026-05-13,"$2,967.00"
PR-433,R-1463,04/07/2025,1527
PR-434,SKU1069,2026-11-10,"$2,161.00"
PR-435,SKU1314,27-08-2026,"4 039,00"
PR-436,REF-1432,2024-11-13,1592
PR-437,R-1215,09/01/2026,3478
PR-438,SKU1784,2026-02-28,2134
PR-439,SKU1673,14-06-2025,"$2,248.00"
PR-440,R-1488,07/16/2026,4593
PR-441,R-1105,28-11-2024,2 201
PR-442,MD-1270,2024-01-11,"934,00"
PR-443,MD-1142,2026-11-17,"4 458,00"
PR-444,MD-1526,2026-01-13,3694
PR-445,MD-1746,2024-09-17,610
PR-446,SKU1318,12/02/2026,2404
PR-447,REF-1363,14-07-2025,730
PR-448,R-1184,2024-02-25,4559
PR-449,R-1129,2024-09-25,2029
PR-450,R-1721,27-03-2025,"$3,792.00"
PR-451,REF-1319,06-12-2025,3868
PR-452,MD-1375,17-09-2024,"$4,551.00"
PR-453,R-1520,2026-04-05,682
PR-454,MD-1149,2025-10-02,529
PR-455,MD-1465,2024-01-11,"$1,676.00"
PR-456,SKU1357,2024-12-22,"$1,875.00"
PR-457,R-1494,12/11/2025,4173
PR-458,SKU1192,06/15/2024,$779.00
PR-459,REF-1529,10/09/2024,"4 833,00"
PR-460,REF-1519,2025-03-26,4754
PR-461,R-1666,20-12-2026,3203
PR-462,REF-1795,07/18/2025,1840
PR-463,R-1336,05/21/2026,3133
PR-464,REF-1352,10/16/2025,3675
PR-465,R-1721,03/10/2025,$497.00
PR-466,SKU1397,2026-01-25,$619.00
PR-467,MD-1489,2024-04-06,"3 911,00"
PR-468,SKU1069,10/27/2025,"$3,267.00"
PR-469,REF-1079,24-12-2025,1010
PR-470,SKU1371,10/07/2024,3111
PR-471,R-1631,2024-06-14,"3 473,00"
PR-472,REF-1323,23-08-2024,$172.00
PR-473,R-1646,28-02-2026,$713.00
PR-474,REF-1257,12/12/2025,908
PR-475,R-1237,05/04/2025,$501.00
PR-476,REF-1195,2025-03-11,2191
PR-477,R-1463,2025-03-10,$58.00
PR-478,REF-1111,24-06-2024,267
PR-479,REF-1795,2024-03-09,3060
PR-480,R-1663,2026-02-12,682
PR-481,REF-1591,08/24/2024,1164
PR-482,REF-1354,10/09/2025,"$2,673.00"
PR-483,MD-1151,2025-11-14,"5 186,00"
PR-484,SKU1794,03/20/2024,5002
PR-485,R-1184,03/13/2024,"$1,420.00"
PR-486,REF-1694,2024-06-26,2480
PR-487,REF-1699,2026-12-11,"4 517,00"
PR-488,REF-1186,2025-09-18,1 380
PR-489,REF-1286,2024-01-26,2245
PR-490,R-1120,2024-11-28,$766.00
PR-491,MD-1434,2026-06-01,1059
PR-492,REF-1439,11-03-2024,3958
PR-493,REF-1286,11/27/2026,2777
PR-494,MD-1729,2024-12-27,3592
PR-495,MD-1399,2026-03-28,"$4,435.00"
PR-496,SKU1376,2025-01-16,"4 931,00"
PR-497,REF-1706,10/07/2024,"$2,251.00"
PR-498,MD-1220,04/26/2024,3637
PR-499,R-1119,2026-12-16,"$4,601.00"
PR-500,R-1495,2024-04-21,"$2,142.00"
PR-501,REF-1099,2024-01-11,2489
PR-502,REF-1163,2026-06-28,"$3,186.00"
PR-503,R-1736,2024-06-10,555
PR-504,MD-1200,2024-10-16,4438
PR-505,REF-1699,12/04/2024,"$4,147.00"
PR-506,R-1663,07/07/2025,3231
PR-507,R-1110,2024-10-07,"3 802,00"
PR-508,R-1193,26-12-2025,349
PR-509,MD-1616,2026-03-27,"$3,083.00"
PR-510,REF-1163,2024-11-11,"$2,259.00"
PR-511,REF-1734,04/12/2026,"$4,927.00"
PR-512,SKU1582,2024-05-02,"222,00"
PR-513,SKU1114,02/08/2024,1952
PR-514,REF-1045,04-12-2024,467
PR-515,MD-1492,10-12-2025,"$2,953.00"
PR-516,MD-1746,2025-11-03,4856
PR-517,SKU1281,10-12-2025,4634
PR-518,R-1736,17-09-2026,"$4,596.00"
PR-519,MD-1583,10/14/2026,4318
PR-520,MD-1062,03/24/2025,"$3,311.00"
PR-521,R-1223,2026-12-26,2 121
PR-522,REF-1257,03/22/2026,1942
PR-523,REF-1745,07/26/2026,5111
PR-524,SKU1662,07/07/2024,$161.00
PR-525,SKU1038,2025-09-16,3695
PR-526,MD-1551,09/20/2025,4088
PR-527,R-1690,2026-02-15,"$4,921.00"
PR-528,REF-1661,2026-08-24,"$4,956.00"
PR-529,R-1443,2024-11-01,"$3,420.00"
PR-530,SKU1031,01/24/2026,1585
PR-531,MD-1304,2026-11-11,5087
PR-532,MD-1147,2024-07-05,266
PR-533,REF-1313,2025-12-23,369
PR-534,SKU1040,22-07-2025,"3 558,00"
PR-535,SKU1402,04/24/2024,"$4,485.00"
PR-536,REF-1412,13-10-2024,425
PR-537,REF-1171,05/02/2025,"$2,206.00"
PR-538,REF-1063,2024-05-01,4 236
PR-539,SKU1144,06-11-2026,4835
PR-540,SKU1357,02/21/2024,"874,00"
PR-541,REF-1661,2024-11-26,"4 704,00"
PR-542,REF-1009,05-12-2025,$349.00
PR-543,MD-1534,2025-09-27,919
PR-544,REF-1287,2025-09-11,5068
PR-545,MD-1548,10/13/2025,2302
PR-546,SKU1763,2026-09-19,647
PR-547,MD-1581,02/01/2024,"$1,416.00"
PR-548,R-1050,2026-08-13,3260
PR-549,SKU1397,06/15/2026,$830.00
PR-550,R-1503,2024-06-01,"377,00"
PR-551,MD-1151,2026-02-15,1563
PR-552,SKU1343,2025-09-10,"$3,864.00"
PR-553,MD-1467,01/24/2026,2030
PR-554,SKU1506,2024-05-21,$216.00
PR-555,REF-1405,01/04/2026,2298
PR-556,MD-1150,2024-01-12,5051
PR-557,REF-1255,2025-03-07,"$1,257.00"
PR-558,MD-1638,04/28/2026,$118.00
PR-559,R-1259,11/15/2026,1256
PR-560,REF-1776,10/14/2024,3039
PR-561,R-1646,03/22/2025,"$1,213.00"
PR-562,REF-1322,2024-03-21,5112
PR-563,REF-1009,14-09-2024,2828
PR-564,SKU1367,11/05/2025,1138
PR-565,REF-1531,2024-06-05,"$1,783.00"
PR-566,REF-1279,2026-04-16,"$3,590.00"
PR-567,MD-1303,20-01-2024,3838
PR-568,MD-1197,2026-09-16,2199
PR-569,R-1703,2025-06-02,1091
PR-570,MD-1579,2025-10-06,3376
PR-571,R-1657,08/23/2024,395
PR-572,REF-1790,04/02/2024,"$2,103.00"
PR-573,SKU1607,2024-05-18,1479
PR-574,REF-1140,2026-02-06,"$3,603.00"
PR-575,REF-1781,2025-09-09,"3 316,00"
PR-576,REF-1243,2025-07-04,"$2,154.00"
PR-577,MD-1362,2025-12-13,3645
PR-578,REF-1429,09/05/2024,"$2,400.00"
PR-579,SKU1302,24-09-2025,"$1,457.00"
PR-580,REF-1783,16-10-2026,36
PR-581,REF-1053,2026-02-16,5189
PR-582,REF-1319,10/10/2024,168
PR-583,REF-1096,2024-07-01,2823
PR-584,MD-1551,2025-10-27,"$2,065.00"
PR-585,MD-1436,2026-08-19,"$1,753.00"
PR-586,MD-1772,2024-12-04,3 515
PR-587,SKU1072,2026-08-08,2998
PR-588,MD-1522,11/04/2026,279
PR-589,SKU1569,2024-04-10,4148
PR-590,REF-1199,08/26/2025,3690
PR-591,REF-1166,18-12-2026,"887,00"
PR-592,SKU1601,2026-02-09,"$2,272.00"
PR-593,R-1348,2026-03-16,1746
PR-594,R-1657,27-06-2025,1 226
PR-595,R-1312,2026-07-04,546
PR-596,REF-1068,2025-09-11,1716
PR-597,MD-1458,10/28/2024,"$4,104.00"
PR-598,MD-1207,2025-06-27,$700.00
PR-599,MD-1732,2026-12-21,"$1,441.00"
PR-600,REF-1412,2025-03-15,"2 354,00"
PR-601,MD-1131,2026-02-14,3233
PR-602,MD-1686,2025-02-03,1 100
PR-603,R-1184,2026-02-16,3184
PR-604,MD-1501,11/04/2026,1400
PR-605,REF-1734,12/19/2026,"$1,566.00"
PR-606,SKU1002,2024-11-20,"3 989,00"
PR-607,MD-1526,03/13/2024,"$3,400.00"
PR-608,SKU1335,12/28/2026,1851
PR-609,R-1602,2024-07-09,4140
PR-610,MD-1681,2025-02-03,2258
PR-611,MD-1517,03/01/2024,1361
PR-612,REF-1529,07/23/2024,4002
