purchase_item_id,purchase_id,product_id,quantity,unit_cost
PI-116,PC-1415,MD-1151,1349,2166
PI-117,PC-982,R-1209,1833,262
PI-118,PC-1088,MD-1761,485,1089
PI-119,PC-629,REF-1530,259,"$2,691.00"
PI-120,PC-664,REF-1300,567,888
PI-121,PC-1043,R-1047,1814,$791.00
PI-122,PC-501,REF-1779,817,41
PI-123,PC-942,REF-1405,395,1 704
PI-124,PC-1169,MD-1670,482,2439
PI-125,PC-612,REF-1053,266,1771
PI-126,PC-658,MD-1471,584,914
PI-127,PC-923,R-1460,90,$55.00
PI-128,PC-1266,REF-1661,1306,1203
PI-129,PC-1349,MD-1772,1635,"2 457,00"
PI-130,PC-1453,SKU1601,1947,206
PI-131,PC-911,MD-1064,1082,"$1,880.00"
PI-132,PC-662,R-1564,1262,"$2,926.00"
PI-133,PC-689,REF-1011,696,1693
PI-134,PC-597,R-1435,960,"745,00"
PI-135,PC-424,MD-1557,1301,2764
PI-136,PC-1142,R-1564,1793,203
PI-137,PC-1406,R-1512,682,"$2,470.00"
PI-138,PC-821,REF-1401,101,2397
PI-139,PC-1311,MD-1625,1896,"$2,205.00"
PI-140,PC-404,MD-1628,997,1 802
PI-141,PC-253,R-1602,1688,201
PI-142,PC-1243,REF-1323,1852,2404
PI-143,PC-657,REF-1116,208,$809.00
PI-144,PC-1055,R-1690,998,$326.00
PI-145,PC-432,MD-1542,664,"2 119,00"
PI-146,PC-929,SKU1675,1309,1319
PI-147,PC-511,R-1129,1467,429
PI-148,PC-1343,R-1444,299,121
PI-149,PC-515,R-1425,842,2416
PI-150,PC-414,R-1337,1944,2465
PI-151,PC-888,SKU1051,1871,1615
PI-152,PC-1344,REF-1554,374,"1 313,00"
PI-153,PC-435,REF-1624,1147,"$2,048.00"
PI-154,PC-1427,SKU1192,289,"$1,176.00"
PI-155,PC-1369,SKU1198,1639,$74.00
PI-156,PC-245,REF-1276,1375,2802
PI-157,PC-1109,R-1252,1289,2013
PI-158,PC-855,REF-1171,231,2928
PI-159,PC-6,REF-1338,970,"$2,965.00"
PI-160,PC-632,SKU1723,327,$95.00
PI-161,PC-15,REF-1012,1329,2849
PI-162,PC-1017,REF-1075,1831,1664
PI-163,PC-1452,R-1203,1127,649
PI-164,PC-1128,MD-1542,605,2065
PI-165,PC-313,REF-1155,1163,"2 096,00"
PI-166,PC-1427,MD-1436,1937,"1 331,00"
PI-167,PC-1245,R-1228,1099,1 717
PI-168,PC-1318,R-1013,292,902
PI-169,PC-1180,SKU1040,254,266
PI-170,PC-1267,MD-1339,774,$317.00
PI-171,PC-349,REF-1655,1174,"1 019,00"
PI-172,PC-653,REF-1727,291,11
PI-173,PC-283,REF-1268,1672,2783
PI-174,PC-199,R-1320,1064,193
PI-175,PC-431,R-1157,1352,$41.00
PI-176,PC-1499,R-1562,1335,258
PI-177,PC-1191,R-1562,618,"$2,146.00"
PI-178,PC-1483,MD-1207,1692,1836
PI-179,PC-1498,MD-1087,1900,1318
PI-180,PC-628,MD-1143,1708,$851.00
PI-181,PC-929,SKU1406,1040,371
PI-182,PC-157,MD-1270,1858,1 163
PI-183,PC-260,R-1460,1628,1560
PI-184,PC-450,REF-1255,1528,"$2,421.00"
PI-185,PC-883,MD-1080,402,$20.00
PI-186,PC-792,REF-1393,354,1383
PI-187,PC-192,MD-1557,1391,111
PI-188,PC-693,SKU1152,846,1098
PI-189,PC-1108,SKU1134,434,2996
PI-190,PC-704,R-1350,1770,"$2,683.00"
PI-191,PC-230,MD-1404,356,1014
PI-192,PC-1310,SKU1095,610,2117
PI-193,PC-344,SKU1384,1041,2683
PI-194,PC-478,REF-1633,871,"$1,011.00"
PI-195,PC-1164,SKU1241,1291,317
PI-196,PC-1390,MD-1212,465,1339
PI-197,PC-428,SKU1346,958,25
PI-198,PC-34,R-1034,519,137
PI-199,PC-700,MD-1017,1182,2 568
PI-200,PC-428,SKU1607,1492,$643.00
PI-201,PC-994,MD-1284,1029,"$1,629.00"
PI-202,PC-204,MD-1679,162,836
PI-203,PC-886,REF-1450,1168,$688.00
PI-204,PC-900,MD-1249,1904,1758
PI-205,PC-524,SKU1675,103,"1 135,00"
PI-206,PC-485,SKU1484,802,2 969
PI-207,PC-266,SKU1477,1051,$818.00
PI-208,PC-65,SKU1040,677,"$1,894.00"
PI-209,PC-360,REF-1461,838,1664
PI-210,PC-243,SKU1676,463,14
PI-211,PC-1120,SKU1744,373,"1 576,00"
PI-212,PC-60,MD-1496,1825,1856
PI-213,PC-856,SKU1599,586,932
PI-214,PC-1335,R-1182,1922,$540.00
PI-215,PC-1212,R-1586,1037,459
PI-216,PC-904,MD-1761,1879,2640
PI-217,PC-805,REF-1699,1158,1655
PI-218,PC-1069,REF-1099,489,2 845
PI-219,PC-1219,SKU1569,311,$726.00
PI-220,PC-1436,MD-1202,732,476
PI-221,PC-189,REF-1360,423,1999
PI-222,PC-966,REF-1103,1321,"512,00"
PI-223,PC-1441,R-1355,1556,628
PI-224,PC-1284,MD-1006,527,2720
PI-225,PC-491,REF-1359,1037,91
PI-226,PC-551,SKU1128,1197,"772,00"
PI-227,PC-1411,R-1475,106,1088
PI-228,PC-981,MD-1197,1845,"$1,122.00"
PI-229,PC-826,R-1035,1903,$451.00
PI-230,PC-705,R-1353,1379,"$1,127.00"
PI-231,PC-603,SKU1455,460,2774
PI-232,PC-129,R-1578,363,"1 422,00"
PI-233,PC-18,R-1635,338,2890
PI-234,PC-127,MD-1358,96,2036
PI-235,PC-273,R-1320,799,"$2,025.00"
PI-236,PC-167,R-1182,1406,504
PI-237,PC-967,R-1498,1133,1 873
PI-238,PC-399,R-1475,657,"2 713,00"
PI-239,PC-19,R-1129,1041,2923
PI-240,PC-702,MD-1707,1426,271
PI-241,PC-355,REF-1028,1681,"757,00"
PI-242,PC-724,R-1234,1301,"$1,026.00"
PI-243,PC-266,R-1523,1517,"2 117,00"
PI-244,PC-597,REF-1352,992,2729
PI-245,PC-242,SKU1324,1521,"1 261,00"
PI-246,PC-31,MD-1409,896,"$1,188.00"
PI-247,PC-527,R-1425,1300,"482,00"
PI-248,PC-916,REF-1081,1498,353
PI-249,PC-3,R-1209,684,$144.00
PI-250,PC-888,R-1463,651,2797
PI-251,PC-772,R-1236,1261,"$1,579.00"
PI-252,PC-1350,R-1721,1343,2682
PI-253,PC-701,R-1562,584,"$1,441.00"
PI-254,PC-38,MD-1596,1762,"$1,163.00"
PI-255,PC-350,SKU1617,807,"2 566,00"
PI-256,PC-1007,SKU1242,242,"280,00"
PI-257,PC-945,MD-1197,1155,2538
PI-258,PC-279,SKU1051,1504,1658
PI-259,PC-186,REF-1745,1971,2466
PI-260,PC-1072,R-1296,343,2 652
PI-261,PC-1164,SKU1640,410,939
PI-262,PC-639,SKU1231,425,$580.00
PI-263,PC-1359,REF-1734,1793,2982
PI-264,PC-285,MD-1724,121,1566
PI-265,PC-1224,R-1632,140,1972
PI-266,PC-579,REF-1028,343,1 253
PI-267,PC-944,R-1700,1830,"$2,362.00"
PI-268,PC-22,SKU1298,1659,154
PI-269,PC-974,R-1317,1510,"$1,102.00"
PI-270,PC-564,REF-1221,922,899
PI-271,PC-573,REF-1094,383,"2 109,00"
PI-272,PC-779,MD-1030,703,2306
PI-273,PC-361,SKU1314,422,1601
PI-274,PC-405,REF-1081,561,2346
PI-275,PC-909,SKU1585,1846,"$2,319.00"
PI-276,PC-1456,SKU1281,529,2260
PI-277,PC-1224,R-1748,1807,1134
PI-278,PC-595,R-1791,1307,982
PI-279,PC-699,REF-1083,1346,1199
PI-280,PC-661,REF-1403,560,"1 993,00"
PI-281,PC-289,MD-1542,1418,$110.00
PI-282,PC-1247,R-1388,834,1194
PI-283,PC-571,REF-1439,1552,2 991
PI-284,PC-753,MD-1194,1144,459
PI-285,PC-1043,R-1215,948,1036
PI-286,PC-1101,SKU1740,1460,"$1,396.00"
PI-287,PC-1438,MD-1125,1088,1118
PI-288,PC-147,R-1193,1922,367
PI-289,PC-872,SKU1722,1180,1067
PI-290,PC-1322,R-1234,563,1766
PI-291,PC-1464,R-1749,586,2466
PI-292,PC-376,R-1598,1838,$832.00
PI-293,PC-154,R-1077,912,439
PI-294,PC-1226,MD-1447,1194,2038
PI-295,PC-156,SKU1115,1091,"$2,341.00"
PI-296,PC-886,R-1236,87,1429
PI-297,PC-103,REF-1741,50,"601,00"
PI-298,PC-1341,REF-1074,1328,642
PI-299,PC-957,SKU1607,689,"2 415,00"
PI-300,PC-1405,MD-1167,79,"$2,601.00"
PI-301,PC-987,R-1739,384,2876
PI-302,PC-414,REF-1140,1557,998
PI-303,PC-1147,MD-1482,275,2449
PI-304,PC-215,MD-1127,411,1986
PI-305,PC-1196,R-1657,187,819
PI-306,PC-32,REF-1171,85,1470
PI-307,PC-651,R-1721,481,$266.00
PI-308,PC-771,REF-1719,1654,2605
PI-309,PC-935,R-1025,1702,"$1,707.00"
PI-310,PC-405,MD-1049,848,992
PI-311,PC-43,MD-1639,1081,"$2,491.00"
PI-312,PC-602,R-1119,1708,"$1,660.00"
PI-313,PC-130,SKU1593,765,1115
PI-314,PC-530,REF-1364,213,939
PI-315,PC-374,REF-1541,1340,2243
PI-316,PC-178,SKU1603,861,"$2,920.00"
PI-317,PC-1493,MD-1702,1526,2 810
PI-318,PC-1071,MD-1309,1942,1369
PI-319,PC-1222,R-1730,1007,2 874
PI-320,PC-1448,REF-1529,717,1 538
PI-321,PC-470,MD-1409,1571,1191
PI-322,PC-449,SKU1376,689,1260
PI-323,PC-965,SKU1585,1064,1578
PI-324,PC-114,SKU1623,481,1001
PI-325,PC-578,R-1652,701,1 216
PI-326,PC-375,R-1476,878,$691.00
PI-327,PC-1390,MD-1080,1780,"1 046,00"
PI-328,PC-702,REF-1591,1535,2538
PI-329,PC-1413,R-1584,780,"$1,777.00"
PI-330,PC-731,MD-1165,1645,$542.00
PI-331,PC-1371,SKU1574,284,$119.00
PI-332,PC-5,SKU1451,1403,480
PI-333,PC-64,REF-1211,458,2932
PI-334,PC-265,MD-1169,489,$824.00
PI-335,PC-365,MD-1258,856,"$1,987.00"
PI-336,PC-1359,MD-1249,901,$926.00
PI-337,PC-1012,R-1389,1559,"$1,621.00"
PI-338,PC-662,R-1090,480,381
PI-339,PC-61,MD-1482,1143,$288.00
PI-340,PC-764,R-1637,1889,2789
PI-341,PC-66,R-1158,1795,"$1,768.00"
PI-342,PC-776,R-1120,1869,532
PI-343,PC-117,MD-1194,49,$62.00
PI-344,PC-116,REF-1777,954,1023
PI-345,PC-170,SKU1055,1875,"$2,810.00"
PI-346,PC-1166,SKU1371,334,"$2,870.00"
PI-347,PC-1263,MD-1753,162,1141
PI-348,PC-665,R-1425,618,318
PI-349,PC-1062,REF-1605,1835,1159
PI-350,PC-1471,SKU1617,466,1289
PI-351,PC-1009,REF-1536,1386,617
PI-352,PC-92,R-1237,1428,1703
PI-353,PC-550,SKU1423,949,2374
PI-354,PC-114,MD-1351,1359,"$1,468.00"
PI-355,PC-1114,REF-1559,1016,"$1,350.00"
PI-356,PC-1286,R-1295,1264,2196
PI-357,PC-1217,R-1418,1361,2275
PI-358,PC-143,REF-1765,1798,"1 855,00"
PI-359,PC-1117,MD-1168,509,1 456
PI-360,PC-217,MD-1191,692,2245
PI-361,PC-1472,R-1388,1335,692
PI-362,PC-1392,REF-1797,1468,"1 604,00"
PI-363,PC-178,MD-1224,1076,2056
PI-364,PC-283,REF-1714,426,338
PI-365,PC-72,REF-1372,545,2058
PI-366,PC-122,REF-1279,793,1 759
PI-367,PC-546,REF-1226,175,1355
PI-368,PC-720,SKU1513,934,671
PI-369,PC-1229,MD-1087,260,480
PI-370,PC-641,MD-1634,1177,"$2,729.00"
PI-371,PC-1139,SKU1593,411,683
PI-372,PC-1326,REF-1591,1789,2246
PI-373,PC-1077,MD-1496,1904,"1 770,00"
PI-374,PC-1081,R-1223,361,"1 814,00"
PI-375,PC-1493,SKU1396,1523,925
PI-376,PC-576,REF-1747,1664,1 466
PI-377,PC-565,REF-1378,505,27
PI-378,PC-741,MD-1436,1718,2 346
PI-379,PC-1339,R-1588,1346,"2 773,00"
PI-380,PC-305,SKU1128,132,2770
PI-381,PC-97,MD-1492,788,$302.00
PI-382,PC-515,SKU1656,455,"$2,088.00"
PI-383,PC-1038,SKU1346,1742,1936
PI-384,PC-210,REF-1126,1373,2910
PI-385,PC-917,MD-1681,778,1713
PI-386,PC-590,REF-1779,1160,"2 497,00"
PI-387,PC-1430,R-1003,1048,694
PI-388,PC-1429,SKU1525,257,$569.00
PI-389,PC-405,R-1567,947,1271
PI-390,PC-1047,SKU1472,947,1775
PI-391,PC-1021,REF-1226,1727,$572.00
PI-392,PC-307,REF-1734,663,289
PI-393,PC-1126,REF-1734,981,2457
PI-394,PC-577,MD-1638,47,"$2,924.00"
PI-395,PC-139,R-1567,240,2 496
PI-396,PC-556,R-1678,382,$809.00
PI-397,PC-651,SKU1114,1492,349
PI-398,PC-1238,SKU1060,1989,"$1,125.00"
PI-399,PC-133,SKU1381,343,2 396
PI-400,PC-809,MD-1250,359,974
PI-401,PC-968,REF-1701,1125,2897
PI-402,PC-492,R-1657,249,$146.00
PI-403,PC-493,MD-1333,40,148
PI-404,PC-744,SKU1610,870,744
PI-405,PC-488,R-1703,41,477
PI-406,PC-1267,MD-1333,816,476
PI-407,PC-1344,MD-1202,844,$613.00
PI-408,PC-1213,MD-1275,770,595
PI-409,PC-1172,REF-1307,271,414
PI-410,PC-1229,MD-1358,1198,1208
PI-411,PC-794,SKU1310,310,"$2,641.00"
PI-412,PC-54,SKU1569,942,"$2,860.00"
PI-413,PC-265,MD-1333,389,2 713
PI-414,PC-854,SKU1106,488,2600
PI-415,PC-138,MD-1304,1811,"$2,982.00"
PI-416,PC-332,R-1660,497,2 510
PI-417,PC-262,REF-1629,497,1406
PI-418,PC-230,SKU1571,309,2 381
PI-419,PC-1242,SKU1454,1323,717
PI-420,PC-1310,R-1237,1391,"939,00"
PI-421,PC-678,REF-1338,1020,623
PI-422,PC-114,SKU1002,1999,339
PI-423,PC-303,R-1182,1618,2420
PI-424,PC-53,SKU1490,1774,"$2,930.00"
PI-425,PC-20,MD-1225,228,"$1,554.00"
PI-426,PC-1228,REF-1382,544,2378
PI-427,PC-708,SKU1335,253,"$2,514.00"
PI-428,PC-76,REF-1238,408,1053
PI-429,PC-593,MD-1049,397,2171
PI-430,PC-161,REF-1786,1264,1265
PI-431,PC-1183,R-1578,415,214
PI-432,PC-1462,REF-1364,1267,2206
PI-433,PC-491,SKU1172,1258,2804
PI-434,PC-732,SKU1324,819,1197
PI-435,PC-717,REF-1261,235,172
PI-436,PC-1292,MD-1679,606,2077
PI-437,PC-1176,SKU1723,1677,"473,00"
PI-438,PC-1092,REF-1514,132,2099
PI-439,PC-741,REF-1360,1289,$960.00
PI-440,PC-424,SKU1010,1472,2780
PI-441,PC-765,MD-1303,1290,"$1,151.00"
PI-442,PC-1453,REF-1535,1882,"$1,609.00"
PI-443,PC-490,MD-1548,1395,"$1,520.00"
PI-444,PC-1194,REF-1697,451,2043
PI-445,PC-1354,REF-1633,1743,$251.00
PI-446,PC-454,REF-1394,488,222
PI-447,PC-1249,REF-1431,375,"$1,206.00"
PI-448,PC-1108,MD-1433,1711,2475
PI-449,PC-1029,MD-1142,1104,"$1,977.00"
PI-450,PC-685,REF-1219,1687,2651
PI-451,PC-371,SKU1308,667,906
PI-452,PC-598,SKU1308,755,1868
PI-453,PC-969,MD-1107,1677,"$1,880.00"
PI-454,PC-322,SKU1778,201,1552
PI-455,PC-1179,REF-1669,519,2530
PI-456,PC-48,SKU1612,1274,1363
PI-457,PC-1181,SKU1044,1370,2851
PI-458,PC-220,MD-1168,718,"$2,601.00"
PI-459,PC-1055,SKU1314,1882,"758,00"
PI-460,PC-378,MD-1557,1185,"$2,172.00"
PI-461,PC-1365,MD-1309,411,1 612
PI-462,PC-541,R-1120,1167,1524
PI-463,PC-627,SKU1356,934,2704
PI-464,PC-541,MD-1433,346,$205.00
PI-465,PC-1074,MD-1782,642,393
PI-466,PC-86,REF-1765,1316,"$1,958.00"
PI-467,PC-706,SKU1722,1654,$16.00
PI-468,PC-1241,REF-1323,1974,1012
PI-469,PC-731,SKU1612,1767,503
PI-470,PC-879,REF-1695,1894,1018
PI-471,PC-786,R-1146,1776,"$1,015.00"
PI-472,PC-865,R-1438,1754,1335
PI-473,PC-1491,MD-1004,1168,"$2,473.00"
PI-474,PC-127,REF-1519,371,"1 118,00"
PI-475,PC-435,R-1229,1846,487
PI-476,PC-355,MD-1583,967,242
PI-477,PC-932,REF-1605,1757,627
PI-478,PC-144,R-1592,1855,"$2,282.00"
PI-479,PC-914,R-1330,455,37
PI-480,PC-61,REF-1042,237,"$2,701.00"
PI-481,PC-60,MD-1205,661,243
PI-482,PC-903,R-1418,78,1868
PI-483,PC-380,MD-1772,1296,"$1,739.00"
PI-484,PC-1317,SKU1722,1185,733
PI-485,PC-1287,SKU1076,1868,1449
PI-486,PC-1152,MD-1147,80,$406.00
PI-487,PC-534,SKU1582,490,934
PI-488,PC-615,SKU1513,323,"$2,994.00"
PI-489,PC-1222,R-1520,941,2013
PI-490,PC-688,R-1545,1447,"1 327,00"
PI-491,PC-725,REF-1478,243,2642
PI-492,PC-967,SKU1794,243,$519.00
PI-493,PC-1155,MD-1553,1233,1001
PI-494,PC-1047,R-1350,1314,1849
PI-495,PC-1070,SKU1371,808,2952
PI-496,PC-1,R-1751,1200,1393
PI-497,PC-1091,R-1577,16,1455
PI-498,PC-165,SKU1335,1271,"$2,259.00"
PI-499,PC-709,MD-1380,1162,204
PI-500,PC-1360,SKU1456,20,$777.00
PI-501,PC-1261,MD-1125,1223,"$1,260.00"
PI-502,PC-1314,SKU1144,1665,1205
PI-503,PC-482,R-1252,602,16
PI-504,PC-18,REF-1140,940,"$1,594.00"
PI-505,PC-77,REF-1093,313,$471.00
PI-506,PC-596,SKU1088,1313,992
PI-507,PC-353,SKU1327,674,2 605
PI-508,PC-718,MD-1581,1808,1300
PI-509,PC-1132,SKU1601,1405,"$2,419.00"
PI-510,PC-740,MD-1147,259,2 272
PI-511,PC-780,REF-1622,87,2718
PI-512,PC-525,MD-1613,1311,1443
PI-513,PC-708,R-1229,1376,2397
PI-514,PC-1420,SKU1192,1942,746
PI-515,PC-11,REF-1121,129,1 070
PI-516,PC-917,REF-1737,302,2209
PI-517,PC-1394,MD-1049,1300,2013
PI-518,PC-1293,SKU1589,1156,235
PI-519,PC-57,REF-1536,577,1233
PI-520,PC-476,MD-1064,1282,931
PI-521,PC-1225,SKU1318,1874,715
PI-522,PC-577,R-1234,50,"$1,027.00"
PI-523,PC-286,MD-1030,823,$299.00
PI-524,PC-263,R-1690,1073,827
PI-525,PC-1158,SKU1153,381,$354.00
PI-526,PC-735,REF-1173,157,1593
PI-527,PC-557,REF-1478,1700,2 623
PI-528,PC-592,SKU1416,172,1194
PI-529,PC-1204,R-1315,285,"$1,672.00"
PI-530,PC-126,R-1438,1605,$603.00
PI-531,PC-1321,SKU1260,1925,$32.00
PI-532,PC-407,R-1430,1434,$542.00
PI-533,PC-309,SKU1735,642,$975.00
PI-534,PC-997,R-1039,735,1908
PI-535,PC-1018,SKU1571,518,1327
PI-536,PC-922,MD-1492,160,"2 223,00"
PI-537,PC-607,REF-1161,1055,401
PI-538,PC-781,MD-1006,667,$393.00
PI-539,PC-603,R-1328,1378,2422
PI-540,PC-1234,MD-1049,922,2527
PI-541,PC-199,REF-1450,740,"$1,678.00"
PI-542,PC-812,MD-1181,924,$94.00
PI-543,PC-1025,R-1317,235,2 853
PI-544,PC-1469,SKU1020,288,1 731
PI-545,PC-861,REF-1372,1533,1175
PI-546,PC-1059,R-1077,1994,315
PI-547,PC-819,REF-1244,1297,"890,00"
PI-548,PC-48,SKU1459,1769,$553.00
PI-549,PC-315,SKU1423,947,1613
PI-550,PC-42,REF-1313,988,"$2,182.00"
PI-551,PC-620,REF-1672,1917,1547
PI-552,PC-382,R-1348,1275,"$2,311.00"
PI-553,PC-237,R-1787,381,$866.00
PI-554,PC-1477,REF-1093,341,68
PI-555,PC-685,MD-1374,1711,1220
PI-556,PC-7,MD-1149,851,1863
PI-557,PC-543,REF-1081,982,1130
PI-558,PC-870,R-1108,1798,1 170
PI-559,PC-178,SKU1346,1664,$293.00
PI-560,PC-794,MD-1369,68,"$2,223.00"
PI-561,PC-1095,R-1618,1185,2272
PI-562,PC-1241,REF-1365,1295,"1 634,00"
PI-563,PC-262,SKU1100,1832,"$1,400.00"
PI-564,PC-701,R-1290,1263,2209
PI-565,PC-957,R-1377,443,768
PI-566,PC-316,MD-1181,1180,314
PI-567,PC-154,MD-1220,674,2 972
PI-568,PC-277,REF-1737,254,617
PI-569,PC-316,MD-1627,511,2 114
PI-570,PC-1240,REF-1037,1927,$20.00
PI-571,PC-1166,REF-1363,988,1279
PI-572,PC-388,SKU1357,315,2543
PI-573,PC-1155,SKU1462,113,"2 414,00"
PI-574,PC-315,REF-1211,1544,264
PI-575,PC-311,MD-1284,1136,2783
PI-576,PC-971,SKU1704,878,2849
PI-577,PC-151,REF-1699,1398,2082
PI-578,PC-228,MD-1230,1083,919
PI-579,PC-1458,SKU1668,1079,1261
PI-580,PC-301,MD-1447,1328,1015
PI-581,PC-1312,SKU1308,1250,342
PI-582,PC-320,REF-1269,1080,"$1,688.00"
PI-583,PC-1291,SKU1607,172,"$1,528.00"
PI-584,PC-192,MD-1792,715,2155
PI-585,PC-77,REF-1176,1966,2734
PI-586,PC-988,REF-1073,1350,"$1,213.00"
PI-587,PC-657,MD-1333,1518,"2 257,00"
PI-588,PC-1402,R-1698,1109,669
PI-589,PC-194,MD-1487,1246,"$1,832.00"
PI-590,PC-1090,R-1543,329,871
PI-591,PC-654,MD-1061,1167,487
PI-592,PC-210,REF-1604,1703,2257
PI-593,PC-1167,MD-1436,1814,"$2,451.00"
PI-594,PC-1098,R-1606,1186,"2 570,00"
PI-595,PC-654,REF-1790,490,286
PI-596,PC-959,REF-1727,1718,1921
PI-597,PC-305,MD-1761,1100,"$2,963.00"
PI-598,PC-1010,R-1016,437,2479
PI-599,PC-1293,REF-1116,1519,762
PI-600,PC-1225,REF-1714,80,"$2,495.00"
PI-601,PC-168,MD-1782,1688,1007
PI-602,PC-179,SKU1321,1043,"774,00"
PI-603,PC-423,REF-1322,1100,"2 289,00"
