redemption_id,campaign_id,coupon_id,customer_id,redeemed_at
RD-155,CM-17,CP-155,CUST-617,05/16/2026
RD-156,CM-10,CP-63,CUST-3095,2025-10-12
RD-157,CM-26,CP-51,CUST-2993,2025-09-28
RD-158,CM-36,CP-27,CUST-4876,15-06-2026
RD-159,CM-41,CP-92,CUST-3816,2026-03-21
RD-160,CM-60,CP-124,CUST-1859,2026-06-18
RD-161,CM-7,CP-182,CUST-3593,06/14/2025
RD-162,CM-15,CP-96,CUST-2781,18-05-2025
RD-163,CM-39,CP-83,CUST-3446,11-04-2026
RD-164,CM-45,CP-58,CUST-527,11/20/2026
RD-165,CM-38,CP-57,CUST-1591,04/26/2026
RD-166,CM-51,CP-123,CUST-2217,2026-12-22
RD-167,CM-53,CP-68,CUST-952,07/28/2025
RD-168,CM-13,CP-148,CUST-620,2025-12-03
RD-169,CM-49,CP-44,CUST-4908,11/28/2025
RD-170,CM-34,CP-170,CUST-719,27-07-2025
RD-171,CM-16,CP-168,CUST-2124,19-12-2025
RD-172,CM-1,CP-143,CUST-635,23-03-2025
RD-173,CM-49,CP-192,CUST-2084,2025-01-11
RD-174,CM-31,CP-161,CUST-4720,03/01/2025
RD-175,CM-51,CP-165,CUST-1170,04/20/2026
RD-176,CM-16,CP-182,CUST-731,08/10/2025
RD-177,CM-41,CP-93,CUST-4941,16-11-2026
RD-178,CM-19,CP-54,CUST-167,2025-12-09
RD-179,CM-55,CP-46,CUST-4427,11/27/2026
RD-180,CM-19,CP-111,CUST-179,24-08-2026
RD-181,CM-7,CP-149,CUST-3858,11/12/2026
RD-182,CM-6,CP-50,CUST-1789,2026-02-12
RD-183,CM-3,CP-103,CUST-2104,2025-01-03
RD-184,CM-25,CP-102,CUST-4060,11/06/2026
RD-185,CM-3,CP-182,CUST-3017,07/23/2026
RD-186,CM-41,CP-156,CUST-2319,2025-04-27
RD-187,CM-29,CP-117,CUST-2730,2025-04-23
RD-188,CM-56,CP-43,CUST-163,12/17/2026
RD-189,CM-52,CP-32,CUST-4120,23-03-2025
RD-190,CM-55,CP-47,CUST-815,2025-05-24
RD-191,CM-57,CP-159,CUST-4648,2026-09-15
RD-192,CM-55,CP-17,CUST-2279,2026-06-09
RD-193,CM-50,CP-19,CUST-535,12/25/2026
RD-194,CM-49,CP-196,CUST-4867,2026-08-01
RD-195,CM-47,CP-75,CUST-513,2026-11-04
RD-196,CM-4,CP-105,CUST-4173,2026-07-16
RD-197,CM-17,CP-199,CUST-789,2026-04-08
RD-198,CM-2,CP-169,CUST-1204,2026-01-02
RD-199,CM-57,CP-127,CUST-869,04-06-2025
RD-200,CM-20,CP-78,CUST-191,2026-02-19
RD-201,CM-53,CP-115,CUST-3876,2025-09-06
RD-202,CM-36,CP-195,CUST-2628,2025-06-07
RD-203,CM-27,CP-159,CUST-1392,2025-04-21
RD-204,CM-15,CP-156,CUST-251,26-09-2025
RD-205,CM-8,CP-125,CUST-3715,11/23/2025
RD-206,CM-25,CP-41,CUST-1996,2025-11-13
RD-207,CM-7,CP-4,CUST-3539,04/18/2025
RD-208,CM-9,CP-17,CUST-2330,02/12/2026
RD-209,CM-47,CP-22,CUST-4830,22-06-2025
RD-210,CM-59,CP-50,CUST-2376,11/13/2026
RD-211,CM-54,CP-186,CUST-2215,2025-02-01
RD-212,CM-18,CP-93,CUST-110,2026-06-23
RD-213,CM-14,CP-18,CUST-2008,02/22/2025
RD-214,CM-55,CP-96,CUST-3595,08/08/2025
RD-215,CM-59,CP-28,CUST-3983,2026-02-24
RD-216,CM-49,CP-176,CUST-18,04/08/2025
RD-217,CM-4,CP-108,CUST-2329,22-12-2026
RD-218,CM-51,CP-151,CUST-2222,02-07-2025
RD-219,CM-41,CP-72,CUST-2562,03/19/2025
RD-220,CM-53,CP-126,CUST-572,2026-07-15
RD-221,CM-44,CP-131,CUST-2437,2026-09-09
RD-222,CM-19,CP-141,CUST-2109,07/22/2025
RD-223,CM-52,CP-19,CUST-3915,2026-12-10
RD-224,CM-25,CP-1,CUST-3121,2025-07-17
RD-225,CM-23,CP-176,CUST-4421,2026-08-16
RD-226,CM-11,CP-141,CUST-2481,2026-10-02
RD-227,CM-45,CP-76,CUST-3021,2026-03-28
RD-228,CM-34,CP-26,CUST-3653,2025-07-19
RD-229,CM-3,CP-23,CUST-981,07-07-2026
RD-230,CM-32,CP-114,CUST-4742,2026-07-19
RD-231,CM-58,CP-103,CUST-4274,2026-03-28
RD-232,CM-56,CP-113,CUST-885,2025-07-10
RD-233,CM-23,CP-19,CUST-2471,2026-07-06
RD-234,CM-52,CP-155,CUST-4629,2026-01-12
RD-235,CM-38,CP-87,CUST-344,2025-01-18
RD-236,CM-39,CP-7,CUST-4159,28-06-2026
RD-237,CM-36,CP-61,CUST-3444,2025-05-20
RD-238,CM-21,CP-157,CUST-2019,2026-11-26
RD-239,CM-17,CP-60,CUST-1302,24-02-2025
RD-240,CM-4,CP-21,CUST-2319,2025-12-17
RD-241,CM-48,CP-129,CUST-3164,2026-03-04
RD-242,CM-51,CP-142,CUST-1065,22-08-2026
RD-243,CM-9,CP-19,CUST-4522,2026-12-27
RD-244,CM-38,CP-36,CUST-782,05/07/2025
RD-245,CM-50,CP-91,CUST-2283,12/05/2025
RD-246,CM-7,CP-113,CUST-960,2025-03-09
RD-247,CM-28,CP-40,CUST-3457,2025-03-16
RD-248,CM-2,CP-16,CUST-1054,2026-06-05
RD-249,CM-59,CP-158,CUST-116,02/04/2025
RD-250,CM-59,CP-45,CUST-715,05-09-2025
RD-251,CM-39,CP-23,CUST-4640,27-06-2026
RD-252,CM-44,CP-147,CUST-425,07/28/2025
RD-253,CM-25,CP-164,CUST-69,2026-01-05
RD-254,CM-11,CP-113,CUST-2701,2025-08-25
RD-255,CM-36,CP-121,CUST-1242,04/08/2026
RD-256,CM-22,CP-180,CUST-4450,2026-03-01
RD-257,CM-32,CP-46,CUST-2624,2025-05-06
RD-258,CM-5,CP-174,CUST-3392,11/28/2025
RD-259,CM-22,CP-47,CUST-1803,2025-12-10
RD-260,CM-21,CP-22,CUST-1080,08/05/2026
RD-261,CM-4,CP-172,CUST-4842,08/20/2025
RD-262,CM-51,CP-163,CUST-592,2025-07-12
RD-263,CM-28,CP-20,CUST-541,2025-05-02
RD-264,CM-3,CP-119,CUST-555,04/19/2025
RD-265,CM-6,CP-156,CUST-4599,2026-03-07
RD-266,CM-56,CP-139,CUST-2154,19-09-2025
RD-267,CM-45,CP-18,CUST-3783,2025-04-01
RD-268,CM-15,CP-200,CUST-2093,05-08-2026
RD-269,CM-11,CP-119,CUST-2935,2025-02-10
RD-270,CM-32,CP-91,CUST-2318,2025-07-09
RD-271,CM-56,CP-78,CUST-125,08-03-2025
RD-272,CM-5,CP-71,CUST-3053,2025-12-04
RD-273,CM-42,CP-106,CUST-390,10/25/2025
RD-274,CM-13,CP-71,CUST-3855,06/23/2026
RD-275,CM-25,CP-180,CUST-311,2026-08-20
RD-276,CM-7,CP-36,CUST-3961,02/04/2025
RD-277,CM-52,CP-4,CUST-2595,2026-12-19
RD-278,CM-41,CP-136,CUST-3758,2026-03-22
RD-279,CM-23,CP-154,CUST-3893,11/02/2025
RD-280,CM-11,CP-131,CUST-3754,2026-02-02
RD-281,CM-46,CP-192,CUST-1921,15-08-2025
RD-282,CM-26,CP-196,CUST-1356,2026-05-09
RD-283,CM-3,CP-84,CUST-4077,2026-12-16
RD-284,CM-39,CP-112,CUST-4745,2026-04-08
RD-285,CM-31,CP-20,CUST-2565,2025-07-25
RD-286,CM-53,CP-200,CUST-908,08/13/2026
RD-287,CM-5,CP-148,CUST-311,11/15/2025
RD-288,CM-54,CP-106,CUST-3231,11/06/2025
RD-289,CM-37,CP-190,CUST-1136,09/06/2025
RD-290,CM-32,CP-154,CUST-1746,2025-04-25
RD-291,CM-13,CP-23,CUST-1,2026-11-06
RD-292,CM-42,CP-156,CUST-4652,06-05-2026
RD-293,CM-16,CP-47,CUST-4852,20-02-2025
RD-294,CM-59,CP-104,CUST-324,04-12-2025
RD-295,CM-44,CP-99,CUST-3274,2026-06-28
RD-296,CM-17,CP-98,CUST-2078,15-09-2025
RD-297,CM-17,CP-151,CUST-4194,2026-01-19
RD-298,CM-25,CP-1,CUST-2364,2026-08-16
RD-299,CM-41,CP-138,CUST-3200,06-02-2026
RD-300,CM-39,CP-183,CUST-1751,2025-06-19
RD-301,CM-38,CP-131,CUST-2578,12/28/2025
RD-302,CM-46,CP-103,CUST-4320,05-05-2026
RD-303,CM-51,CP-156,CUST-3664,2026-04-21
RD-304,CM-53,CP-138,CUST-2737,21-06-2026
RD-305,CM-20,CP-176,CUST-62,11/18/2026
RD-306,CM-15,CP-141,CUST-5000,06-07-2026
RD-307,CM-28,CP-65,CUST-623,2026-08-06
RD-308,CM-55,CP-68,CUST-2450,2026-08-16
RD-309,CM-59,CP-165,CUST-2890,2025-07-25
RD-310,CM-13,CP-53,CUST-1025,2025-04-01
RD-311,CM-12,CP-127,CUST-403,2026-03-09
RD-312,CM-9,CP-94,CUST-4449,11/17/2026
RD-313,CM-23,CP-88,CUST-202,2026-01-01
RD-314,CM-22,CP-73,CUST-2681,2025-11-14
RD-315,CM-27,CP-36,CUST-1966,10/02/2025
RD-316,CM-35,CP-71,CUST-2126,05/08/2025
RD-317,CM-41,CP-141,CUST-2187,23-12-2026
RD-318,CM-23,CP-158,CUST-3251,2025-05-18
RD-319,CM-6,CP-141,CUST-4565,2026-05-14
RD-320,CM-43,CP-21,CUST-4149,2026-09-10
RD-321,CM-46,CP-94,CUST-570,10/15/2026
RD-322,CM-8,CP-177,CUST-160,2026-12-07
RD-323,CM-37,CP-183,CUST-2146,2026-03-05
RD-324,CM-41,CP-81,CUST-1324,05/28/2026
RD-325,CM-9,CP-108,CUST-1953,03-12-2025
RD-326,CM-31,CP-21,CUST-1318,28-05-2026
RD-327,CM-44,CP-84,CUST-145,01/03/2026
RD-328,CM-28,CP-52,CUST-1468,05/12/2026
RD-329,CM-34,CP-109,CUST-3741,27-10-2026
RD-330,CM-51,CP-126,CUST-1842,2025-08-10
RD-331,CM-34,CP-112,CUST-429,2025-01-10
RD-332,CM-43,CP-155,CUST-4825,12/16/2026
RD-333,CM-5,CP-197,CUST-2364,01/05/2026
RD-334,CM-21,CP-192,CUST-3642,2025-08-01
RD-335,CM-10,CP-76,CUST-2640,2025-08-25
RD-336,CM-3,CP-111,CUST-1712,07-08-2025
RD-337,CM-23,CP-3,CUST-4474,2025-05-01
RD-338,CM-6,CP-91,CUST-129,04/23/2026
RD-339,CM-11,CP-171,CUST-392,2025-11-06
RD-340,CM-11,CP-114,CUST-2295,2026-12-19
RD-341,CM-8,CP-40,CUST-198,01/14/2025
RD-342,CM-57,CP-17,CUST-777,05/18/2026
RD-343,CM-15,CP-89,CUST-3173,15-02-2026
RD-344,CM-59,CP-197,CUST-3020,2026-01-08
RD-345,CM-57,CP-37,CUST-1775,01/11/2025
RD-346,CM-22,CP-124,CUST-1959,2025-02-03
RD-347,CM-10,CP-5,CUST-490,2025-07-26
RD-348,CM-59,CP-174,CUST-4532,03-10-2025
RD-349,CM-7,CP-163,CUST-3260,2026-10-18
RD-350,CM-48,CP-39,CUST-2175,2025-07-24
RD-351,CM-48,CP-45,CUST-4901,26-04-2026
RD-352,CM-37,CP-128,CUST-4540,07/26/2026
RD-353,CM-23,CP-142,CUST-2038,12/13/2026
RD-354,CM-3,CP-24,CUST-3200,2026-01-22
RD-355,CM-17,CP-25,CUST-3882,06/02/2025
RD-356,CM-5,CP-4,CUST-4520,03-09-2025
RD-357,CM-33,CP-200,CUST-169,2025-02-26
RD-358,CM-56,CP-13,CUST-1649,2026-11-15
RD-359,CM-4,CP-70,CUST-731,02/18/2026
RD-360,CM-58,CP-177,CUST-751,04/18/2026
RD-361,CM-32,CP-112,CUST-2754,2025-09-01
RD-362,CM-9,CP-13,CUST-1389,2025-08-16
RD-363,CM-19,CP-26,CUST-3001,2026-09-25
RD-364,CM-35,CP-22,CUST-4057,2026-03-21
RD-365,CM-21,CP-50,CUST-4355,06/08/2025
RD-366,CM-29,CP-148,CUST-93,04/09/2026
RD-367,CM-28,CP-127,CUST-356,06/04/2025
RD-368,CM-59,CP-170,CUST-3179,12/23/2026
RD-369,CM-19,CP-17,CUST-2869,2026-07-26
RD-370,CM-11,CP-187,CUST-2302,08/02/2025
RD-371,CM-15,CP-56,CUST-3724,2026-04-24
RD-372,CM-25,CP-87,CUST-1081,2025-08-23
RD-373,CM-47,CP-190,CUST-1476,10/17/2025
RD-374,CM-43,CP-27,CUST-4741,02-08-2025
RD-375,CM-27,CP-56,CUST-1472,2026-05-03
RD-376,CM-42,CP-102,CUST-4914,2025-10-24
RD-377,CM-12,CP-47,CUST-506,2026-11-08
RD-378,CM-31,CP-9,CUST-4123,2026-09-11
RD-379,CM-11,CP-146,CUST-811,2025-01-10
RD-380,CM-13,CP-27,CUST-3107,03/24/2026
RD-381,CM-32,CP-117,CUST-3652,04/22/2026
RD-382,CM-11,CP-107,CUST-2538,2026-04-16
RD-383,CM-39,CP-19,CUST-3784,2026-11-23
RD-384,CM-33,CP-150,CUST-2767,2026-05-12
RD-385,CM-11,CP-116,CUST-598,10/21/2026
RD-386,CM-42,CP-88,CUST-187,2025-06-01
RD-387,CM-27,CP-186,CUST-1304,01/03/2026
RD-388,CM-26,CP-12,CUST-3534,2025-09-18
RD-389,CM-18,CP-119,CUST-3784,2026-05-07
RD-390,CM-9,CP-119,CUST-2662,2025-06-11
RD-391,CM-26,CP-179,CUST-4193,2025-06-28
RD-392,CM-47,CP-48,CUST-1340,12/16/2026
RD-393,CM-13,CP-149,CUST-1224,2025-09-26
RD-394,CM-1,CP-2,CUST-4827,07/24/2025
RD-395,CM-55,CP-44,CUST-3629,2026-08-13
RD-396,CM-38,CP-128,CUST-2283,2026-02-13
RD-397,CM-14,CP-20,CUST-569,2025-11-24
RD-398,CM-39,CP-141,CUST-2593,2026-02-21
RD-399,CM-36,CP-159,CUST-3414,2026-12-04
RD-400,CM-58,CP-63,CUST-2962,03-08-2026
RD-401,CM-32,CP-135,CUST-1006,05/01/2026
RD-402,CM-17,CP-52,CUST-2365,24-03-2025
RD-403,CM-44,CP-178,CUST-3502,2026-06-13
RD-404,CM-11,CP-44,CUST-1142,2026-09-09
RD-405,CM-1,CP-55,CUST-709,27-06-2025
RD-406,CM-7,CP-58,CUST-1463,2025-05-09
RD-407,CM-27,CP-112,CUST-3492,2025-11-11
RD-408,CM-49,CP-190,CUST-4757,2026-07-15
RD-409,CM-37,CP-22,CUST-2909,03/16/2025
RD-410,CM-29,CP-185,CUST-282,2026-02-23
RD-411,CM-7,CP-32,CUST-157,2026-06-21
RD-412,CM-36,CP-147,CUST-2154,2025-07-05
RD-413,CM-12,CP-113,CUST-3388,2025-08-14
RD-414,CM-54,CP-109,CUST-4549,2025-09-26
RD-415,CM-37,CP-138,CUST-3952,2025-10-19
RD-416,CM-22,CP-46,CUST-3571,2026-12-26
RD-417,CM-27,CP-177,CUST-3089,2026-12-07
RD-418,CM-5,CP-71,CUST-3260,2025-01-08
RD-419,CM-34,CP-165,CUST-1480,04/02/2025
RD-420,CM-15,CP-131,CUST-4494,2026-05-26
RD-421,CM-21,CP-159,CUST-4653,08-11-2025
RD-422,CM-14,CP-134,CUST-1232,2025-05-21
RD-423,CM-28,CP-52,CUST-4370,27-11-2025
RD-424,CM-1,CP-166,CUST-91,02/24/2025
RD-425,CM-57,CP-4,CUST-2398,2025-05-14
RD-426,CM-43,CP-19,CUST-4441,08/18/2025
RD-427,CM-51,CP-31,CUST-802,2026-03-14
RD-428,CM-9,CP-136,CUST-4009,2026-07-24
RD-429,CM-43,CP-200,CUST-1968,2026-02-22
RD-430,CM-18,CP-10,CUST-2657,2025-04-09
RD-431,CM-30,CP-116,CUST-3451,2025-01-24
RD-432,CM-44,CP-69,CUST-3139,2025-04-26
RD-433,CM-52,CP-119,CUST-1588,04/20/2026
RD-434,CM-57,CP-179,CUST-571,2025-06-06
RD-435,CM-8,CP-72,CUST-4997,2025-03-18
RD-436,CM-49,CP-54,CUST-2801,09/11/2026
RD-437,CM-29,CP-95,CUST-4791,04/13/2026
RD-438,CM-23,CP-62,CUST-4844,26-08-2025
RD-439,CM-25,CP-103,CUST-3435,01/27/2025
RD-440,CM-19,CP-115,CUST-83,2025-03-11
RD-441,CM-6,CP-71,CUST-1265,01-11-2026
RD-442,CM-10,CP-189,CUST-2713,08/09/2026
RD-443,CM-6,CP-188,CUST-4607,2026-09-16
RD-444,CM-16,CP-41,CUST-1199,2025-10-26
RD-445,CM-24,CP-86,CUST-281,2025-03-28
RD-446,CM-42,CP-45,CUST-65,2025-06-07
RD-447,CM-51,CP-40,CUST-1530,02/09/2025
RD-448,CM-54,CP-100,CUST-1595,2025-03-23
RD-449,CM-48,CP-148,CUST-1851,01/04/2025
RD-450,CM-17,CP-26,CUST-1387,24-01-2026
RD-451,CM-18,CP-120,CUST-528,2025-06-24
RD-452,CM-59,CP-98,CUST-2373,2025-01-27
RD-453,CM-2,CP-65,CUST-1081,2025-10-24
RD-454,CM-60,CP-6,CUST-4814,08/08/2026
RD-455,CM-14,CP-181,CUST-3463,2026-12-26
RD-456,CM-59,CP-29,CUST-2095,2025-09-01
RD-457,CM-2,CP-65,CUST-234,2026-04-20
RD-458,CM-35,CP-5,CUST-822,2025-09-17
RD-459,CM-28,CP-4,CUST-819,2026-08-16
RD-460,CM-22,CP-57,CUST-3065,2026-03-24
RD-461,CM-16,CP-129,CUST-388,07/07/2025
RD-462,CM-18,CP-186,CUST-3033,2025-06-18
RD-463,CM-6,CP-122,CUST-2383,28-09-2026
RD-464,CM-38,CP-50,CUST-3986,2025-11-14
RD-465,CM-50,CP-86,CUST-1008,07/04/2025
RD-466,CM-38,CP-2,CUST-3771,2026-10-10
RD-467,CM-31,CP-34,CUST-469,2026-03-12
RD-468,CM-13,CP-82,CUST-2847,11/21/2026
RD-469,CM-1,CP-149,CUST-702,2025-11-24
RD-470,CM-38,CP-152,CUST-399,2026-04-14
RD-471,CM-11,CP-129,CUST-4479,27-07-2025
RD-472,CM-49,CP-41,CUST-1739,2025-07-16
RD-473,CM-18,CP-121,CUST-282,2026-06-27
RD-474,CM-39,CP-26,CUST-4080,11/21/2025
RD-475,CM-24,CP-169,CUST-4779,2025-06-19
RD-476,CM-13,CP-68,CUST-3431,21-07-2025
RD-477,CM-37,CP-7,CUST-322,05-10-2026
RD-478,CM-13,CP-172,CUST-596,02/08/2026
RD-479,CM-27,CP-118,CUST-3196,2026-05-27
RD-480,CM-10,CP-149,CUST-2145,2026-10-17
RD-481,CM-20,CP-113,CUST-1103,2025-10-23
RD-482,CM-51,CP-114,CUST-3961,2026-09-16
RD-483,CM-56,CP-36,CUST-1616,08/11/2025
RD-484,CM-41,CP-35,CUST-4727,03-01-2025
