product_id,name,category_id,supplier_id,unit_price
R-1211,mini音箱-11,CAT-15,SR-61,795
SKU1212,mini耳机-12,CAT-1,SR-39,"$3,068.00"
SKU1213,mini台灯-13,CAT-19,SR-58,266
SKU1214,智能水杯-14,CAT-26,SR-3,3309
R-1215,智能台灯-15,CAT-21,SR-75,2874
R-1216,mini背包-16,CAT-17,SR-47,1305
REF-1217,mini背包-17,CAT-16,SR-77,3113
R-1218,mini手机壳-18,CAT-8,SR-31,$576.00
REF-1219,经典音箱-19,CAT-26,SR-3,$820.00
R-1220,mini音箱-20,CAT-6,SR-59,"3,483.00"
REF-1221,便携背包-21,CAT-27,SR-38,3783
REF-1222,豪华音箱-22,CAT-15,SR-71,3926
REF-1223,标准手表-23,CAT-26,SR-22,"4,150.00"
MD-1224,mini手机壳-24,CAT-19,SR-28,"$3,780.00"
R-1225,mini手表-25,CAT-22,SR-11,"$1,690.00"
SKU1226,标准水杯-26,CAT-20,SR-16,"$2,544.00"
R-1227,便携音箱-27,CAT-8,SR-70,4167
SKU1228,mini背包-28,CAT-23,SR-76,682
MD-1229,标准耳机-29,CAT-18,SR-67,3411
R-1230,便携键盘-30,CAT-10,SR-47,2650
REF-1231,豪华水杯-31,CAT-16,SR-8,3391
R-1232,便携键盘-32,CAT-1,SR-46,2510
SKU1233,智能音箱-33,CAT-13,SR-70,"1,854.00"
MD-1234,标准台灯-34,CAT-8,SR-31,3554
REF-1235,智能台灯-35,CAT-11,SR-12,1903
REF-1236,经典手机壳-36,CAT-19,SR-28,1132
MD-1237,豪华耳机-37,CAT-13,SR-78,"2,247.00"
R-1238,便携手表-38,CAT-3,SR-21,$544.00
SKU1239,标准手机壳-39,CAT-12,SR-41,"3,899.00"
REF-1240,智能背包-40,CAT-2,SR-35,4950
MD-1241,豪华手表-41,CAT-30,SR-41,2482
R-1242,mini背包-42,CAT-18,SR-35,2365
R-1243,经典耳机-43,CAT-8,SR-6,535
SKU1244,智能水杯-44,CAT-1,SR-78,"$4,592.00"
REF-1245,便携台灯-45,CAT-16,SR-27,1127
REF-1246,标准手表-46,CAT-21,SR-40,"$4,030.00"
SKU1247,mini音箱-47,CAT-26,SR-15,3243
R-1248,标准键盘-48,CAT-13,SR-31,3749
SKU1249,标准手表-49,CAT-19,SR-23,823.00
R-1250,豪华手表-0,CAT-8,SR-49,990
R-1251,经典耳机-1,CAT-23,SR-3,3936
SKU1252,mini手表-2,CAT-20,SR-10,518
REF-1253,经典手表-3,CAT-22,SR-32,"$3,221.00"
R-1254,便携水杯-4,CAT-24,SR-35,3326
R-1255,mini音箱-5,CAT-9,SR-54,4694
SKU1256,经典键盘-6,CAT-26,SR-48,1040
R-1257,便携音箱-7,CAT-28,SR-11,3886
SKU1258,智能手表-8,CAT-6,SR-80,940.00
R-1259,标准手机壳-9,CAT-14,SR-2,578
SKU1260,经典键盘-10,CAT-24,SR-3,3189
MD-1261,mini手机壳-11,CAT-30,SR-17,581.00
SKU1262,标准键盘-12,CAT-17,SR-8,517
SKU1263,豪华水杯-13,CAT-4,SR-57,2029
R-1264,mini手机壳-14,CAT-27,SR-16,$679.00
SKU1265,智能键盘-15,CAT-4,SR-36,"2,542.00"
MD-1266,豪华台灯-16,CAT-19,SR-45,3676
MD-1267,经典台灯-17,CAT-20,SR-24,4594
REF-1268,标准耳机-18,CAT-21,SR-18,"3,310.00"
SKU1269,便携手表-19,CAT-30,SR-72,"$4,713.00"
MD-1270,智能手机壳-20,CAT-11,SR-76,1926
SKU1271,经典背包-21,CAT-11,SR-24,958
MD-1272,mini水杯-22,CAT-3,SR-9,$848.00
R-1273,豪华台灯-23,CAT-5,SR-53,774
R-1274,豪华台灯-24,CAT-23,SR-69,"$2,850.00"
REF-1275,智能台灯-25,CAT-11,SR-12,2493
R-1276,便携手机壳-26,CAT-6,SR-62,"$2,582.00"
R-1277,经典水杯-27,CAT-2,SR-26,4192
MD-1278,经典台灯-28,CAT-2,SR-67,2013
SKU1279,mini台灯-29,CAT-17,SR-44,"3,781.00"
REF-1280,豪华手表-30,CAT-10,SR-12,"$4,750.00"
REF-1281,便携背包-31,CAT-14,SR-60,2633
R-1282,智能水杯-32,CAT-8,SR-72,"$4,592.00"
R-1283,智能手表-33,CAT-18,SR-1,1667
R-1284,mini手机壳-34,CAT-30,SR-76,4480
MD-1285,mini台灯-35,CAT-21,SR-78,3289
R-1286,便携音箱-36,CAT-9,SR-47,784
REF-1287,标准台灯-37,CAT-15,SR-50,2722
R-1288,智能手机壳-38,CAT-20,SR-43,4600
R-1289,mini手机壳-39,CAT-16,SR-52,"$4,106.00"
REF-1290,智能音箱-40,CAT-1,SR-60,3541
SKU1291,经典手机壳-41,CAT-26,SR-52,"1,998.00"
SKU1292,经典耳机-42,CAT-10,SR-63,2401
REF-1293,豪华键盘-43,CAT-30,SR-54,"1,071.00"
SKU1294,经典台灯-44,CAT-25,SR-55,"1,730.00"
REF-1295,智能音箱-45,CAT-1,SR-64,1734
SKU1296,经典背包-46,CAT-19,SR-37,4055
SKU1297,mini键盘-47,CAT-4,SR-6,"4,964.00"
SKU1298,mini耳机-48,CAT-18,SR-76,"$3,119.00"
REF-1299,标准水杯-49,CAT-5,SR-59,"4,164.00"
MD-1300,经典耳机-0,CAT-6,SR-73,"$3,576.00"
MD-1301,便携手表-1,CAT-8,SR-39,"4,912.00"
R-1302,标准手机壳-2,CAT-6,SR-5,294
SKU1303,智能手机壳-3,CAT-7,SR-44,"2,484.00"
R-1304,智能背包-4,CAT-29,SR-49,"$2,156.00"
SKU1305,mini键盘-5,CAT-28,SR-55,4867
SKU1306,mini水杯-6,CAT-23,SR-59,522
REF-1307,便携手表-7,CAT-21,SR-66,2948
MD-1308,智能键盘-8,CAT-18,SR-19,4435
MD-1309,经典耳机-9,CAT-17,SR-54,"$3,909.00"
R-1310,mini手表-10,CAT-26,SR-66,63
R-1311,mini键盘-11,CAT-11,SR-27,"4,316.00"
MD-1312,便携手机壳-12,CAT-24,SR-34,3872
MD-1313,标准手表-13,CAT-16,SR-4,1768
R-1314,mini手表-14,CAT-19,SR-73,"3,390.00"
R-1315,便携背包-15,CAT-13,SR-9,"2,982.00"
R-1316,便携音箱-16,CAT-17,SR-25,3881
REF-1317,标准手表-17,CAT-20,SR-53,3646
REF-1318,豪华手机壳-18,CAT-25,SR-24,2974
REF-1319,mini手机壳-19,CAT-18,SR-61,4135
REF-1320,mini台灯-20,CAT-6,SR-11,"1,139.00"
REF-1321,便携台灯-21,CAT-6,SR-39,"1,554.00"
R-1322,mini键盘-22,CAT-9,SR-27,"$1,048.00"
R-1323,标准手机壳-23,CAT-16,SR-62,"$3,913.00"
R-1324,标准音箱-24,CAT-28,SR-41,2203
REF-1325,mini手表-25,CAT-30,SR-80,"$1,077.00"
REF-1326,标准手机壳-26,CAT-4,SR-39,2352
SKU1327,经典手表-27,CAT-16,SR-37,1250
SKU1328,智能音箱-28,CAT-23,SR-54,"$1,188.00"
REF-1329,智能键盘-29,CAT-22,SR-55,"$3,170.00"
SKU1330,豪华键盘-30,CAT-10,SR-53,811
SKU1331,智能键盘-31,CAT-14,SR-47,3167
R-1332,智能台灯-32,CAT-3,SR-58,$538.00
R-1333,经典手表-33,CAT-3,SR-19,3589
REF-1334,经典水杯-34,CAT-25,SR-50,3029
MD-1335,便携音箱-35,CAT-8,SR-74,"$3,565.00"
MD-1336,标准耳机-36,CAT-28,SR-23,"$3,982.00"
R-1337,mini音箱-37,CAT-6,SR-2,1731
R-1338,mini台灯-38,CAT-16,SR-6,"$4,486.00"
MD-1339,豪华音箱-39,CAT-13,SR-35,709
R-1340,智能手机壳-40,CAT-4,SR-74,"1,566.00"
SKU1341,豪华手表-41,CAT-20,SR-65,4180
MD-1342,经典台灯-42,CAT-17,SR-25,3124
MD-1343,智能耳机-43,CAT-14,SR-30,"$4,726.00"
R-1344,便携台灯-44,CAT-22,SR-32,"3,107.00"
MD-1345,经典手表-45,CAT-16,SR-45,"$4,824.00"
REF-1346,豪华耳机-46,CAT-18,SR-65,3759
SKU1347,豪华背包-47,CAT-19,SR-25,850
SKU1348,便携键盘-48,CAT-17,SR-33,3098
REF-1349,经典音箱-49,CAT-17,SR-3,2974
MD-1350,智能背包-0,CAT-7,SR-51,4021
SKU1351,智能台灯-1,CAT-2,SR-2,510
R-1352,标准耳机-2,CAT-8,SR-80,2110
R-1353,标准音箱-3,CAT-25,SR-15,4423
SKU1354,mini背包-4,CAT-11,SR-46,"$4,671.00"
R-1355,mini耳机-5,CAT-7,SR-42,"$2,802.00"
R-1356,豪华手机壳-6,CAT-4,SR-64,"3,971.00"
MD-1357,mini耳机-7,CAT-16,SR-77,"$1,395.00"
SKU1358,mini台灯-8,CAT-29,SR-30,2894
R-1359,标准水杯-9,CAT-23,SR-40,2107
REF-1360,豪华耳机-10,CAT-2,SR-19,101.00
SKU1361,经典水杯-11,CAT-14,SR-69,$594.00
REF-1362,标准台灯-12,CAT-4,SR-30,4852
MD-1363,标准耳机-13,CAT-9,SR-38,4684
REF-1364,智能耳机-14,CAT-22,SR-19,"$4,564.00"
SKU1365,豪华耳机-15,CAT-3,SR-7,3408
MD-1366,豪华水杯-16,CAT-25,SR-79,"1,383.00"
REF-1367,mini背包-17,CAT-7,SR-64,2262
REF-1368,mini键盘-18,CAT-4,SR-44,964.00
SKU1369,标准音箱-19,CAT-19,SR-48,"2,419.00"
MD-1370,经典键盘-20,CAT-1,SR-12,810.00
REF-1371,智能手表-21,CAT-24,SR-34,"$2,012.00"
R-1372,标准台灯-22,CAT-22,SR-32,862
MD-1373,便携耳机-23,CAT-11,SR-59,3740
SKU1374,便携手机壳-24,CAT-7,SR-62,1591
R-1375,mini台灯-25,CAT-9,SR-69,3124
REF-1376,mini背包-26,CAT-10,SR-66,"$1,843.00"
MD-1377,标准水杯-27,CAT-30,SR-6,3363
REF-1378,智能音箱-28,CAT-30,SR-55,4266
MD-1379,智能水杯-29,CAT-14,SR-32,"4,122.00"
REF-1380,智能音箱-30,CAT-25,SR-22,4988
REF-1381,智能键盘-31,CAT-17,SR-79,$850.00
SKU1382,mini键盘-32,CAT-17,SR-9,"$4,719.00"
R-1383,经典台灯-33,CAT-7,SR-61,3411
REF-1384,标准手机壳-34,CAT-26,SR-17,3017
REF-1385,便携手机壳-35,CAT-5,SR-67,2867
REF-1386,mini手表-36,CAT-1,SR-63,"2,146.00"
R-1387,便携手表-37,CAT-13,SR-42,"2,199.00"
R-1388,经典水杯-38,CAT-17,SR-35,2278
REF-1389,mini手表-39,CAT-26,SR-76,136.00
R-1390,豪华背包-40,CAT-9,SR-22,1144
R-1391,mini台灯-41,CAT-8,SR-6,"$2,180.00"
REF-1392,mini背包-42,CAT-11,SR-3,"$4,448.00"
REF-1393,智能水杯-43,CAT-9,SR-65,1749
REF-1394,mini手机壳-44,CAT-9,SR-2,2537
REF-1395,便携水杯-45,CAT-14,SR-16,4501
SKU1396,mini台灯-46,CAT-19,SR-31,438
MD-1397,经典背包-47,CAT-17,SR-62,"$1,606.00"
REF-1398,mini台灯-48,CAT-16,SR-59,2144
R-1399,标准水杯-49,CAT-17,SR-77,2026
SKU1400,mini耳机-0,CAT-15,SR-68,2160
R-1401,mini耳机-1,CAT-18,SR-49,"$2,362.00"
R-1402,智能台灯-2,CAT-30,SR-62,3598
MD-1403,标准背包-3,CAT-15,SR-70,4057
R-1404,豪华耳机-4,CAT-8,SR-27,"$4,982.00"
REF-1405,智能手机壳-5,CAT-7,SR-4,542
REF-1406,标准背包-6,CAT-30,SR-53,3726
R-1407,标准手表-7,CAT-25,SR-52,"$4,970.00"
R-1408,便携耳机-8,CAT-29,SR-69,"$3,782.00"
R-1409,经典台灯-9,CAT-5,SR-47,4680
R-1410,智能键盘-10,CAT-16,SR-54,"$4,326.00"
MD-1411,经典手表-11,CAT-12,SR-45,"1,879.00"
R-1412,经典水杯-12,CAT-1,SR-36,"1,600.00"
MD-1413,豪华手表-13,CAT-25,SR-39,1251
R-1414,智能手机壳-14,CAT-15,SR-71,2522
R-1415,经典台灯-15,CAT-26,SR-68,3242
R-1416,mini音箱-16,CAT-24,SR-47,2797
MD-1417,标准耳机-17,CAT-24,SR-52,"$1,536.00"
REF-1418,豪华音箱-18,CAT-1,SR-59,"1,731.00"
SKU1419,智能手机壳-19,CAT-12,SR-46,3453
SKU1420,经典音箱-20,CAT-22,SR-40,3812
REF-1421,标准台灯-21,CAT-9,SR-27,"$3,044.00"
SKU1422,标准耳机-22,CAT-18,SR-22,825
REF-1423,豪华键盘-23,CAT-10,SR-20,2779
SKU1424,豪华手机壳-24,CAT-25,SR-73,3987
MD-1425,智能手机壳-25,CAT-30,SR-25,"$1,033.00"
REF-1426,标准水杯-26,CAT-10,SR-6,$126.00
SKU1427,豪华台灯-27,CAT-12,SR-46,"$4,538.00"
R-1428,豪华键盘-28,CAT-14,SR-71,4282
REF-1429,经典耳机-29,CAT-25,SR-15,1793
REF-1430,豪华背包-30,CAT-4,SR-79,3973
SKU1431,智能手机壳-31,CAT-13,SR-1,"$1,352.00"
REF-1432,mini背包-32,CAT-1,SR-41,2118
SKU1433,mini音箱-33,CAT-5,SR-3,1160
REF-1434,便携耳机-34,CAT-26,SR-76,"4,317.00"
SKU1435,便携台灯-35,CAT-14,SR-4,2621
MD-1436,智能手机壳-36,CAT-27,SR-33,1648
REF-1437,便携水杯-37,CAT-18,SR-26,"1,942.00"
MD-1438,mini台灯-38,CAT-27,SR-64,4168
MD-1439,便携音箱-39,CAT-22,SR-49,"$4,559.00"
SKU1440,智能背包-40,CAT-10,SR-17,3049
SKU1441,经典音箱-41,CAT-22,SR-55,"1,497.00"
MD-1442,经典手表-42,CAT-15,SR-10,"3,815.00"
SKU1443,经典手机壳-43,CAT-2,SR-59,"2,769.00"
SKU1444,mini键盘-44,CAT-29,SR-3,"$3,409.00"
REF-1445,豪华手表-45,CAT-12,SR-16,3945
REF-1446,mini音箱-46,CAT-1,SR-2,179.00
SKU1447,标准音箱-47,CAT-26,SR-37,"$2,258.00"
R-1448,智能耳机-48,CAT-19,SR-32,"$2,015.00"
R-1449,豪华耳机-49,CAT-18,SR-15,1217
REF-1450,经典水杯-0,CAT-3,SR-16,2901
R-1451,豪华手机壳-1,CAT-25,SR-15,778.00
REF-1452,标准键盘-2,CAT-12,SR-55,"$3,105.00"
SKU1453,mini背包-3,CAT-10,SR-67,"$4,158.00"
REF-1454,mini背包-4,CAT-5,SR-58,1756
MD-1455,豪华背包-5,CAT-14,SR-36,3625
R-1456,mini键盘-6,CAT-17,SR-28,4255
MD-1457,智能手机壳-7,CAT-19,SR-66,3385
MD-1458,智能音箱-8,CAT-24,SR-53,"$2,035.00"
REF-1459,标准背包-9,CAT-10,SR-3,"$1,750.00"
MD-1460,便携台灯-10,CAT-12,SR-47,3944
MD-1461,经典台灯-11,CAT-20,SR-38,$142.00
SKU1462,便携手机壳-12,CAT-19,SR-62,3944
REF-1463,标准手机壳-13,CAT-22,SR-70,"$2,465.00"
REF-1464,便携耳机-14,CAT-5,SR-17,1176
