movement_id,product_id,store_id,quantity,movement_date,type
MV-60,SKU1076,ST-8,21,2026-09-27,ADJUST
MV-61,SKU1662,ST-17,119,2025-07-20,ADJUST
MV-62,R-1422,ST-21,-139,06-01-2025,ADJUST
MV-63,R-1420,ST-9,-112,09-02-2026,adjust
MV-64,MD-1539,ST-10,94,2025-04-03,adjust
MV-65,SKU1723,ST-13,-67,2025-02-21,OUT
MV-66,SKU1242,ST-10,193,08/15/2026,adjust
MV-67,MD-1493,ST-4,-113,02/04/2025,OUT
MV-68,MD-1150,ST-17,163,2025-08-04,adjust
MV-69,REF-1074,ST-20,63,10/21/2025,OUT
MV-70,MD-1080,ST-6,-13,2026-06-05,ADJUST
MV-71,R-1532,ST-10,71,21-11-2025,adjust
MV-72,R-1296,ST-17,-86,11/08/2025,OUT
MV-73,REF-1140,ST-16,-164,2026-08-23,adjust
MV-74,R-1123,ST-21,10,2025-12-07,adjust
MV-75,R-1441,ST-6,21,2026-02-02,adjust
MV-76,R-1563,ST-9,-127,2025-08-25,In
MV-77,R-1355,ST-17,109,2025-08-22,ADJUST
MV-78,SKU1038,ST-9,28,12-06-2025,ADJUST
MV-79,REF-1788,ST-19,21,10/14/2025,In
MV-80,REF-1073,ST-20,71,2026-02-22,ADJUST
MV-81,R-1016,ST-13,-80,17-12-2025,In
MV-82,MD-1549,ST-14,-115,08/19/2025,ADJUST
MV-83,SKU1038,ST-13,58,23-02-2026,in
MV-84,MD-1131,ST-1,-40,07-12-2025,OUT
MV-85,SKU1649,ST-14,37,2026-02-13,In
MV-86,R-1350,ST-24,63,2025-09-24,adjust
MV-87,R-1408,ST-15,17,04/07/2026,ADJUST
MV-88,R-1408,ST-22,-161,22-11-2026,OUT
MV-89,MD-1757,ST-2,-176,01/16/2026,ADJUST
MV-90,R-1791,ST-4,-102,2025-01-13,in
MV-91,SKU1733,ST-1,-13,17-01-2026,ADJUST
MV-92,R-1435,ST-6,-190,23-04-2026,adjust
MV-93,REF-1021,ST-3,135,04/16/2026,in
MV-94,SKU1272,ST-11,-92,2025-04-23,OUT
MV-95,SKU1742,ST-23,192,23-02-2026,adjust
MV-96,MD-1664,ST-11,-83,2026-01-02,adjust
MV-97,REF-1186,ST-2,-162,2025-08-12,ADJUST
MV-98,R-1239,ST-14,181,25-12-2025,adjust
MV-99,R-1438,ST-20,-96,2025-10-06,OUT
MV-100,SKU1675,ST-11,-84,19-09-2025,adjust
MV-101,R-1315,ST-19,45,10-09-2026,adjust
MV-102,R-1563,ST-8,110,14-11-2025,OUT
MV-103,REF-1519,ST-12,-64,2026-10-16,adjust
MV-104,SKU1066,ST-13,-168,2025-06-03,ADJUST
MV-105,REF-1769,ST-1,-66,2025-09-26,ADJUST
MV-106,R-1577,ST-6,-42,15-04-2025,In
MV-107,R-1533,ST-15,85,11-11-2026,in
MV-108,MD-1717,ST-4,-78,01/03/2025,In
MV-109,R-1132,ST-9,38,02/04/2026,ADJUST
MV-110,REF-1559,ST-20,-57,2025-07-25,In
MV-111,MD-1757,ST-1,81,25-11-2025,In
MV-112,MD-1043,ST-21,157,21-08-2025,ADJUST
MV-113,SKU1134,ST-25,-86,24-03-2026,In
MV-114,MD-1628,ST-11,195,05/02/2025,in
MV-115,SKU1758,ST-15,-140,24-09-2025,In
MV-116,SKU1342,ST-15,39,10/01/2026,OUT
MV-117,MD-1305,ST-11,156,07/23/2026,in
MV-118,MD-1133,ST-7,2,09/01/2025,in
MV-119,R-1705,ST-10,108,28-01-2026,ADJUST
MV-120,MD-1465,ST-7,123,2025-07-06,in
MV-121,MD-1270,ST-11,95,2026-07-01,adjust
MV-122,MD-1692,ST-20,-103,2025-01-15,In
MV-123,SKU1594,ST-18,-87,2025-12-23,adjust
MV-124,MD-1097,ST-14,82,2026-02-24,in
MV-125,MD-1133,ST-18,-170,2026-07-07,In
MV-126,REF-1514,ST-17,-183,12/14/2025,adjust
MV-127,SKU1452,ST-3,106,2026-12-27,in
MV-128,R-1751,ST-15,-112,2026-07-09,in
MV-129,SKU1704,ST-23,96,2025-03-15,OUT
MV-130,MD-1526,ST-21,191,03-05-2026,adjust
MV-131,MD-1091,ST-24,-184,2026-01-21,adjust
MV-132,R-1016,ST-10,167,11-04-2026,adjust
MV-133,R-1430,ST-5,-70,04/04/2026,OUT
MV-134,REF-1669,ST-19,40,2026-04-23,in
MV-135,REF-1695,ST-21,149,08/25/2025,adjust
MV-136,R-1328,ST-17,130,11-02-2026,OUT
MV-137,R-1334,ST-3,-35,2025-06-03,in
MV-138,REF-1540,ST-21,79,15-01-2026,ADJUST
MV-139,REF-1273,ST-23,86,2025-01-23,in
MV-140,REF-1737,ST-14,-140,08-03-2026,in
MV-141,REF-1009,ST-15,-159,2025-03-20,In
MV-142,SKU1044,ST-18,16,2025-05-27,adjust
MV-143,R-1018,ST-2,167,2025-11-16,OUT
MV-144,R-1760,ST-9,-168,2026-02-26,In
MV-145,MD-1409,ST-2,145,12/27/2025,adjust
MV-146,R-1295,ST-15,65,2026-10-11,adjust
MV-147,R-1584,ST-11,-186,11/17/2026,ADJUST
MV-148,SKU1106,ST-9,2,2025-02-05,in
MV-149,REF-1322,ST-1,181,04/18/2025,ADJUST
MV-150,MD-1220,ST-4,9,2026-02-19,ADJUST
MV-151,MD-1098,ST-3,168,10/24/2026,in
MV-152,MD-1122,ST-15,58,2025-12-23,in
MV-153,REF-1669,ST-15,60,12-07-2025,adjust
MV-154,MD-1043,ST-6,-139,2026-11-19,in
MV-155,R-1184,ST-16,119,2026-02-04,in
MV-156,R-1117,ST-21,-153,28-02-2026,In
MV-157,MD-1634,ST-8,-72,2026-11-06,OUT
MV-158,REF-1728,ST-13,113,18-04-2026,OUT
MV-159,REF-1714,ST-11,94,12/18/2026,ADJUST
MV-160,SKU1484,ST-6,156,2025-10-03,adjust
MV-161,MD-1542,ST-25,60,2025-11-19,In
MV-162,REF-1719,ST-6,81,2025-06-01,OUT
MV-163,REF-1137,ST-9,-193,2026-11-04,ADJUST
MV-164,SKU1506,ST-6,12,12/10/2026,adjust
MV-165,SKU1302,ST-16,-143,2026-12-23,in
MV-166,REF-1331,ST-21,-154,13-12-2026,adjust
MV-167,R-1586,ST-8,96,2025-07-03,in
MV-168,SKU1456,ST-4,143,11/04/2026,ADJUST
MV-169,MD-1303,ST-5,-11,2025-01-07,OUT
MV-170,REF-1626,ST-6,-122,22-04-2025,adjust
MV-171,REF-1081,ST-10,117,11/04/2026,OUT
MV-172,SKU1395,ST-14,-54,06/25/2026,OUT
MV-173,R-1590,ST-20,-156,2025-08-01,ADJUST
MV-174,SKU1277,ST-24,96,03/01/2025,In
MV-175,REF-1323,ST-22,-47,2026-09-27,OUT
MV-176,SKU1718,ST-5,159,01/04/2025,ADJUST
MV-177,SKU1036,ST-9,115,19-02-2025,OUT
MV-178,SKU1381,ST-9,-75,2026-09-15,ADJUST
MV-179,REF-1057,ST-20,-94,2026-07-03,adjust
MV-180,SKU1060,ST-7,-85,10-07-2025,In
MV-181,R-1430,ST-24,-25,2026-07-03,OUT
MV-182,R-1544,ST-25,18,05/19/2025,In
MV-183,MD-1291,ST-13,-164,2025-03-07,OUT
MV-184,MD-1043,ST-9,46,11/27/2026,In
MV-185,SKU1381,ST-12,-97,03/12/2025,In
MV-186,MD-1517,ST-25,120,02/08/2025,adjust
MV-187,MD-1196,ST-15,-81,08/11/2026,In
MV-188,SKU1280,ST-3,-130,2025-03-24,adjust
MV-189,SKU1740,ST-18,100,2026-04-11,in
MV-190,SKU1555,ST-1,-146,2026-06-12,OUT
MV-191,MD-1065,ST-5,-78,2026-01-09,ADJUST
MV-192,R-1025,ST-23,-9,2026-03-24,in
MV-193,REF-1255,ST-23,138,06/10/2025,adjust
MV-194,MD-1145,ST-12,-47,01-09-2026,In
MV-195,SKU1310,ST-24,17,04/14/2025,ADJUST
MV-196,SKU1490,ST-11,-186,15-11-2025,In
MV-197,MD-1647,ST-2,76,2025-10-15,ADJUST
MV-198,REF-1213,ST-4,144,02/23/2025,adjust
MV-199,REF-1352,ST-24,148,2026-10-08,in
MV-200,MD-1145,ST-5,-50,2026-09-25,adjust
MV-201,MD-1080,ST-13,-86,10/20/2026,ADJUST
MV-202,SKU1612,ST-25,179,2025-09-19,adjust
MV-203,REF-1176,ST-25,-118,10/07/2025,OUT
MV-204,MD-1333,ST-12,-180,03-07-2025,In
MV-205,MD-1639,ST-11,22,2025-01-03,in
MV-206,SKU1474,ST-4,-20,11/16/2025,adjust
MV-207,R-1771,ST-17,-178,18-04-2026,ADJUST
MV-208,R-1328,ST-20,-24,2025-05-25,ADJUST
MV-209,SKU1029,ST-23,-87,2025-10-27,in
MV-210,MD-1729,ST-7,126,01-03-2025,OUT
MV-211,REF-1286,ST-8,-58,08/25/2026,adjust
MV-212,REF-1096,ST-23,-71,2026-06-24,ADJUST
MV-213,MD-1522,ST-7,71,28-02-2026,ADJUST
MV-214,R-1749,ST-14,106,2026-01-05,ADJUST
MV-215,REF-1300,ST-15,58,07/10/2026,ADJUST
MV-216,MD-1664,ST-16,-185,2026-07-16,ADJUST
MV-217,SKU1381,ST-1,-34,2026-09-17,In
MV-218,R-1711,ST-20,176,2025-06-15,In
MV-219,R-1595,ST-1,-104,01/07/2025,adjust
MV-220,R-1631,ST-20,146,16-09-2026,In
MV-221,R-1003,ST-14,-32,06/11/2026,OUT
MV-222,SKU1280,ST-23,-25,02/19/2026,in
MV-223,REF-1605,ST-14,-99,05/14/2026,In
MV-224,REF-1325,ST-2,-134,12-07-2025,ADJUST
MV-225,MD-1374,ST-2,10,2026-12-26,ADJUST
MV-226,MD-1501,ST-23,112,2026-07-13,in
MV-227,SKU1451,ST-16,117,11/24/2025,in
MV-228,R-1563,ST-15,115,08/25/2025,in
MV-229,MD-1022,ST-8,34,2026-09-14,in
MV-230,R-1104,ST-3,76,2026-07-20,In
MV-231,R-1124,ST-1,-88,2026-05-05,OUT
MV-232,REF-1537,ST-10,39,2025-12-07,In
MV-233,MD-1374,ST-1,-56,2026-05-26,OUT
MV-234,MD-1772,ST-21,-40,09-05-2026,adjust
MV-235,MD-1291,ST-13,-15,2025-02-18,in
MV-236,SKU1055,ST-20,-170,2026-03-12,adjust
MV-237,SKU1070,ST-3,52,03/01/2026,In
MV-238,R-1637,ST-25,128,2026-04-11,In
MV-239,R-1710,ST-2,-104,2026-11-10,in
MV-240,MD-1151,ST-20,-159,07/15/2026,ADJUST
MV-241,R-1348,ST-2,-121,2026-11-18,in
MV-242,SKU1376,ST-23,130,22-04-2025,OUT
MV-243,R-1598,ST-24,156,02-01-2026,In
MV-244,SKU1742,ST-16,-8,2025-10-26,OUT
MV-245,SKU1778,ST-8,-50,2025-09-18,adjust
MV-246,R-1641,ST-23,120,2026-03-21,In
MV-247,SKU1271,ST-9,136,2026-12-16,In
MV-248,R-1110,ST-4,-39,06/28/2025,In
MV-249,REF-1400,ST-15,34,2025-09-26,ADJUST
MV-250,REF-1176,ST-23,27,04/01/2026,In
MV-251,REF-1701,ST-8,-173,14-02-2025,adjust
MV-252,REF-1313,ST-10,134,2025-01-21,OUT
MV-253,SKU1764,ST-15,-101,2025-10-05,OUT
MV-254,SKU1593,ST-2,61,11/24/2026,in
MV-255,REF-1536,ST-16,180,03/17/2025,adjust
MV-256,SKU1134,ST-24,-99,2026-05-06,ADJUST
MV-257,R-1646,ST-4,67,2026-05-12,ADJUST
MV-258,REF-1507,ST-2,-151,01/18/2025,ADJUST
MV-259,SKU1484,ST-5,-148,10/24/2025,in
MV-260,MD-1309,ST-10,-69,2025-03-21,OUT
MV-261,R-1175,ST-20,128,2026-10-20,adjust
MV-262,R-1340,ST-24,55,2026-09-28,In
MV-263,MD-1339,ST-19,-107,2025-05-27,adjust
MV-264,SKU1704,ST-5,-4,2025-08-21,adjust
MV-265,R-1503,ST-13,-75,2025-07-07,In
MV-266,R-1771,ST-7,-110,07/23/2025,in
MV-267,REF-1626,ST-6,93,2025-05-18,ADJUST
MV-268,MD-1792,ST-23,-127,05/24/2025,ADJUST
MV-269,REF-1313,ST-25,124,2026-04-17,ADJUST
MV-270,REF-1777,ST-13,-184,16-01-2025,in
MV-271,SKU1452,ST-18,67,18-05-2026,OUT
MV-272,REF-1195,ST-14,-126,11/05/2025,in
MV-273,MD-1098,ST-18,-48,2025-12-21,OUT
MV-274,R-1182,ST-12,89,2026-06-23,ADJUST
MV-275,SKU1755,ST-19,-119,05/13/2025,in
MV-276,SKU1762,ST-3,-98,2025-10-08,in
MV-277,MD-1726,ST-11,57,23-02-2025,In
MV-278,REF-1285,ST-12,135,2026-09-03,In
MV-279,SKU1585,ST-5,-90,2025-06-10,ADJUST
MV-280,R-1606,ST-8,32,14-03-2025,OUT
MV-281,REF-1211,ST-25,-169,18-08-2025,in
MV-282,MD-1087,ST-18,-194,01/19/2025,adjust
MV-283,R-1082,ST-2,122,2025-11-06,in
MV-284,SKU1326,ST-15,-100,2025-05-16,ADJUST
MV-285,REF-1322,ST-22,-146,2026-12-02,In
MV-286,SKU1423,ST-20,-186,2026-04-02,in
MV-287,SKU1755,ST-3,-59,2025-12-25,in
MV-288,SKU1318,ST-4,161,03/13/2026,In
MV-289,REF-1352,ST-13,64,01/05/2025,adjust
MV-290,SKU1144,ST-15,-128,2026-11-15,adjust
MV-291,MD-1387,ST-13,-152,2025-04-18,in
MV-292,R-1463,ST-24,-188,2025-06-16,In
MV-293,R-1657,ST-2,-28,09/10/2026,In
MV-294,R-1645,ST-2,178,21-07-2025,in
MV-295,SKU1002,ST-9,-124,2025-04-01,adjust
MV-296,SKU1454,ST-5,58,07/15/2025,OUT
MV-297,MD-1789,ST-21,26,2025-07-05,adjust
MV-298,REF-1137,ST-1,99,2026-10-13,OUT
MV-299,R-1543,ST-4,49,2026-04-23,In
MV-300,REF-1432,ST-13,-179,2026-02-15,OUT
MV-301,SKU1100,ST-24,-44,06-07-2026,ADJUST
MV-302,MD-1686,ST-1,-40,2025-02-15,in
MV-303,MD-1142,ST-14,-194,2026-06-16,in
MV-304,REF-1793,ST-17,-154,2026-12-06,OUT
MV-305,SKU1470,ST-6,124,2026-06-08,OUT
MV-306,R-1348,ST-10,-181,2026-06-05,in
MV-307,R-1233,ST-6,-180,05/07/2025,In
MV-308,REF-1279,ST-21,137,2026-06-12,OUT
MV-309,SKU1115,ST-5,-102,03/23/2026,In
MV-310,SKU1231,ST-19,-43,2026-08-12,in
MV-311,R-1425,ST-7,95,06-02-2025,in
MV-312,REF-1536,ST-20,-90,2025-05-03,in
MV-313,R-1666,ST-12,2,2025-03-05,OUT
MV-314,REF-1319,ST-8,199,26-06-2026,OUT
MV-315,R-1349,ST-7,54,26-07-2025,adjust
MV-316,MD-1147,ST-21,-108,07/14/2025,in
MV-317,MD-1458,ST-9,-21,2025-12-12,adjust
MV-318,MD-1392,ST-20,107,01/05/2026,adjust
MV-319,MD-1449,ST-3,-168,2025-07-10,OUT
MV-320,R-1035,ST-11,40,2025-09-12,OUT
MV-321,R-1385,ST-23,23,2025-12-05,in
MV-322,MD-1304,ST-1,199,2026-01-05,ADJUST
MV-323,SKU1571,ST-8,-40,05/18/2026,adjust
MV-324,R-1444,ST-5,19,2026-09-26,in
MV-325,SKU1160,ST-9,154,14-06-2025,In
MV-326,MD-1305,ST-21,-62,11-02-2025,in
MV-327,R-1614,ST-23,111,06/08/2025,ADJUST
MV-328,MD-1127,ST-4,32,2026-03-17,OUT
MV-329,REF-1431,ST-12,-148,08/23/2026,OUT
MV-330,MD-1638,ST-5,65,2026-02-15,ADJUST
MV-331,REF-1213,ST-1,32,09/24/2026,ADJUST
MV-332,R-1586,ST-6,74,23-12-2026,in
MV-333,MD-1517,ST-19,-145,2026-11-14,ADJUST
MV-334,MD-1127,ST-18,173,22-10-2025,OUT
MV-335,SKU1002,ST-19,-65,2025-03-02,OUT
MV-336,REF-1552,ST-4,141,2026-01-06,adjust
MV-337,SKU1248,ST-9,7,05-05-2025,ADJUST
MV-338,R-1725,ST-16,-72,2025-05-11,ADJUST
MV-339,SKU1603,ST-4,194,2025-03-23,adjust
MV-340,MD-1616,ST-7,-177,05/10/2026,OUT
MV-341,SKU1756,ST-4,144,09/22/2025,ADJUST
MV-342,MD-1485,ST-7,-27,04/10/2026,adjust
MV-343,SKU1059,ST-23,130,2026-08-09,in
MV-344,SKU1357,ST-12,-185,2026-06-28,ADJUST
MV-345,REF-1190,ST-8,163,2025-12-24,In
MV-346,REF-1136,ST-21,-84,03/14/2026,adjust
MV-347,REF-1507,ST-7,23,08/16/2026,OUT
MV-348,R-1739,ST-9,-118,20-01-2025,In
MV-349,R-1752,ST-23,80,10/10/2026,In
MV-350,R-1678,ST-20,-151,11/06/2025,in
MV-351,R-1312,ST-15,118,2026-08-14,adjust
MV-352,REF-1685,ST-2,-10,2026-03-12,In
MV-353,REF-1629,ST-6,-59,27-02-2026,in
MV-354,REF-1414,ST-2,104,01/10/2026,ADJUST
MV-355,REF-1483,ST-15,3,09/15/2025,in
MV-356,MD-1006,ST-11,-79,2025-11-04,in
MV-357,REF-1696,ST-11,24,2025-01-05,ADJUST
MV-358,SKU1402,ST-1,65,2025-08-12,in
MV-359,REF-1276,ST-18,46,2026-09-05,adjust
MV-360,SKU1621,ST-8,-140,2026-01-15,in
MV-361,REF-1661,ST-16,-69,2025-09-13,OUT
MV-362,SKU1395,ST-7,-105,2025-10-13,in
MV-363,MD-1436,ST-7,-56,18-07-2026,ADJUST
MV-364,SKU1106,ST-21,-184,2025-08-15,adjust
MV-365,REF-1063,ST-11,-34,2026-01-12,In
MV-366,SKU1280,ST-20,-7,18-02-2026,ADJUST
MV-367,MD-1465,ST-19,-50,2025-10-21,In
MV-368,REF-1361,ST-10,138,2026-08-05,ADJUST
MV-369,MD-1142,ST-11,-165,03/13/2025,OUT
MV-370,R-1565,ST-19,-2,2026-01-06,In
MV-371,R-1648,ST-19,55,03/28/2026,adjust
MV-372,MD-1270,ST-20,-43,08/20/2025,adjust
MV-373,R-1567,ST-1,-178,2026-07-11,In
MV-374,MD-1125,ST-25,-120,16-02-2025,In
MV-375,R-1440,ST-4,-104,2025-05-24,In
MV-376,MD-1682,ST-16,147,06-10-2025,OUT
MV-377,R-1295,ST-25,-189,02/01/2026,in
MV-378,SKU1371,ST-14,-126,01/18/2025,OUT
MV-379,MD-1390,ST-20,-192,2025-10-07,In
MV-380,REF-1457,ST-18,52,2025-03-15,ADJUST
MV-381,MD-1303,ST-15,-180,2026-10-09,In
MV-382,R-1680,ST-11,-165,26-11-2026,adjust
MV-383,SKU1617,ST-7,51,05/08/2026,adjust
MV-384,R-1499,ST-24,9,27-04-2025,adjust
MV-385,MD-1682,ST-12,-61,2026-06-18,In
MV-386,REF-1566,ST-24,21,10/17/2026,adjust
MV-387,MD-1113,ST-5,72,02-08-2025,in
MV-388,REF-1510,ST-2,38,2025-07-16,OUT
MV-389,MD-1487,ST-10,-186,2025-09-25,adjust
MV-390,R-1796,ST-10,-95,2025-06-18,adjust
MV-391,SKU1298,ST-23,73,16-06-2025,OUT
MV-392,MD-1417,ST-21,-7,11/11/2025,adjust
MV-393,SKU1048,ST-2,197,25-08-2026,in
MV-394,R-1475,ST-21,-161,05/17/2025,ADJUST
MV-395,MD-1493,ST-15,-51,02/08/2025,adjust
MV-396,R-1495,ST-22,129,2025-12-28,In
MV-397,SKU1247,ST-20,-192,03/06/2026,OUT
MV-398,R-1598,ST-15,-162,2025-02-14,in
MV-399,MD-1643,ST-14,182,2025-11-25,ADJUST
MV-400,SKU1722,ST-4,23,2025-10-22,In
MV-401,MD-1539,ST-8,-25,07-10-2026,In
MV-402,R-1187,ST-1,127,05/05/2025,ADJUST
MV-403,MD-1798,ST-15,-79,2025-12-25,In
MV-404,REF-1331,ST-25,-2,2026-11-03,OUT
MV-405,SKU1265,ST-9,-50,2026-01-08,in
MV-406,SKU1472,ST-6,5,2026-05-09,OUT
MV-407,R-1334,ST-11,192,2025-04-27,OUT
MV-408,REF-1529,ST-18,-22,2025-07-26,ADJUST
MV-409,R-1678,ST-13,84,2025-11-10,In
MV-410,MD-1717,ST-16,186,07-12-2025,ADJUST
MV-411,MD-1390,ST-11,-179,10/01/2026,OUT
MV-412,SKU1593,ST-23,114,24-12-2026,ADJUST
MV-413,MD-1789,ST-16,-74,2025-08-20,In
MV-414,SKU1139,ST-8,-40,17-08-2025,OUT
MV-415,SKU1649,ST-12,-135,2025-01-24,adjust
MV-416,REF-1162,ST-24,188,2026-12-08,adjust
MV-417,R-1500,ST-2,-144,2025-03-24,adjust
MV-418,R-1278,ST-20,57,2025-12-10,In
MV-419,R-1700,ST-25,81,02-07-2025,OUT
MV-420,REF-1701,ST-10,-45,2026-09-08,In
MV-421,R-1236,ST-16,-148,09/26/2025,OUT
MV-422,REF-1176,ST-5,-42,07/10/2025,In
MV-423,R-1132,ST-11,-140,10/12/2026,In
MV-424,R-1641,ST-21,-194,2026-05-08,adjust
MV-425,R-1787,ST-24,-183,2025-06-13,adjust
MV-426,SKU1084,ST-10,-101,2025-11-16,OUT
MV-427,REF-1672,ST-2,62,08/03/2026,adjust
MV-428,R-1435,ST-14,191,16-09-2026,In
MV-429,REF-1604,ST-23,107,08/27/2025,adjust
MV-430,MD-1181,ST-3,-117,2026-10-23,in
MV-431,MD-1636,ST-12,-144,2026-08-03,adjust
MV-432,R-1252,ST-5,-15,2026-02-10,ADJUST
MV-433,R-1301,ST-24,-27,2026-09-24,OUT
MV-434,SKU1370,ST-24,-142,09/18/2025,OUT
MV-435,SKU1298,ST-15,-39,04/19/2026,in
MV-436,SKU1451,ST-18,-89,2026-10-12,OUT
MV-437,REF-1190,ST-3,-93,14-02-2026,adjust
MV-438,SKU1308,ST-19,65,2026-12-11,in
MV-439,SKU1424,ST-24,-111,2025-04-10,In
MV-440,MD-1628,ST-12,-107,2025-11-23,adjust
MV-441,MD-1497,ST-6,-115,2026-11-04,adjust
MV-442,SKU1406,ST-25,162,01-08-2026,OUT
MV-443,R-1512,ST-14,-150,2025-03-05,In
MV-444,REF-1611,ST-6,-144,01/20/2026,in
MV-445,REF-1624,ST-22,44,2025-10-17,adjust
MV-446,R-1334,ST-18,133,2026-03-19,OUT
MV-447,R-1320,ST-6,56,2025-03-18,OUT
MV-448,MD-1304,ST-20,-88,2026-07-11,In
MV-449,REF-1719,ST-25,142,2025-10-04,ADJUST
MV-450,R-1488,ST-4,-82,01/02/2026,OUT
MV-451,R-1015,ST-11,140,18-05-2026,ADJUST
MV-452,SKU1693,ST-14,11,2025-01-26,In
MV-453,REF-1138,ST-4,-106,26-11-2026,OUT
MV-454,SKU1593,ST-2,39,2025-10-02,OUT
MV-455,SKU1118,ST-22,128,10/23/2025,adjust
MV-456,SKU1318,ST-18,181,01/13/2025,in
MV-457,MD-1351,ST-8,45,2025-06-11,adjust
MV-458,REF-1654,ST-12,61,15-10-2025,ADJUST
MV-459,R-1562,ST-21,72,01/15/2025,In
MV-460,SKU1281,ST-3,17,06/06/2025,in
MV-461,MD-1757,ST-25,-8,2026-09-18,in
MV-462,R-1328,ST-3,-33,10/17/2025,ADJUST
MV-463,SKU1084,ST-24,36,2025-12-05,adjust
MV-464,REF-1136,ST-3,22,2025-05-24,OUT
MV-465,R-1278,ST-2,-177,02/05/2026,adjust
MV-466,MD-1191,ST-21,-183,2026-10-09,adjust
MV-467,REF-1141,ST-11,-27,2025-11-06,in
MV-468,SKU1371,ST-4,155,10/25/2026,adjust
MV-469,R-1660,ST-17,-184,01/25/2025,in
MV-470,MD-1496,ST-5,-64,12/19/2026,adjust
MV-471,REF-1213,ST-4,123,2025-07-09,ADJUST
MV-472,SKU1046,ST-6,-95,12/09/2025,in
MV-473,REF-1136,ST-9,86,2026-11-05,ADJUST
MV-474,SKU1327,ST-1,-193,08-05-2026,OUT
MV-475,REF-1765,ST-17,-185,2025-01-16,in
MV-476,R-1187,ST-10,142,2026-08-11,in
MV-477,SKU1183,ST-6,84,22-04-2025,OUT
MV-478,MD-1724,ST-16,128,27-04-2026,ADJUST
MV-479,MD-1174,ST-24,-165,20-06-2025,adjust
MV-480,SKU1152,ST-24,2,2025-02-28,ADJUST
MV-481,SKU1326,ST-4,-103,2025-01-16,ADJUST
MV-482,REF-1373,ST-21,-117,12/15/2026,adjust
