return_id,order_id,product_id,return_date,reason,refund_amount
RT-185,ORD-9994,MD-1001,2026-02-20,尺寸不符,"3,677.00"
RT-186,ORD-2477,R-1558,2026-11-09,尺寸不符,1128
RT-187,ORD-11719,MD-1097,2026-03-21,破损,1337
RT-188,ORD-2587,R-1289,2026-09-13,破损,1449
RT-189,ORD-6565,REF-1509,2025-11-05,质量问题,4870
RT-190,ORD-8322,REF-1485,28-05-2025,发错货,601.00
RT-191,ORD-1467,MD-1511,2025-07-14,发错货,4587
RT-192,ORD-9465,REF-1687,2026-06-15,发错货,"$2,270.00"
RT-193,ORD-13383,SKU1772,2024-09-06,质量问题,"4,175.00"
RT-194,ORD-9201,REF-1071,09/09/2026,质量问题,$871.00
RT-195,ORD-2645,R-1401,01-08-2024,破损,"3,180.00"
RT-196,ORD-4426,SKU1484,05-01-2025,尺寸不符,"2,369.00"
RT-197,ORD-8918,R-1456,2024-07-14,不喜欢,2567
RT-198,ORD-11141,R-1782,2026-06-10,尺寸不符,"$1,849.00"
RT-199,ORD-7470,R-1407,05/03/2025,发错货,4363
RT-200,ORD-9156,MD-1313,08/04/2024,尺寸不符,$107.00
RT-201,ORD-9855,SKU1170,2026-03-12,破损,$470.00
RT-202,ORD-11748,R-1064,10/18/2026,质量问题,"$4,624.00"
RT-203,ORD-2811,MD-1357,12-07-2026,尺寸不符,631
RT-204,ORD-12379,MD-1681,2026-04-16,质量问题,769
RT-205,ORD-5898,R-1175,10/25/2026,不喜欢,"4,934.00"
RT-206,ORD-11575,R-1767,27-03-2024,尺寸不符,"$2,002.00"
RT-207,ORD-11313,MD-1041,16-02-2024,破损,1395
RT-208,ORD-389,REF-1541,2025-01-27,破损,"1,095.00"
RT-209,ORD-5498,MD-1699,08/20/2024,破损,"$2,510.00"
RT-210,ORD-399,REF-1755,2025-02-27,不喜欢,3757
RT-211,ORD-5100,SKU1201,07/05/2026,不喜欢,"$1,888.00"
RT-212,ORD-4347,MD-1771,07-02-2026,尺寸不符,4358
RT-213,ORD-7580,MD-1028,2026-05-25,破损,645
RT-214,ORD-9657,SKU1507,2024-03-02,尺寸不符,1874
RT-215,ORD-6808,SKU1680,2025-12-15,尺寸不符,"$2,188.00"
RT-216,ORD-14246,SKU1050,12/20/2025,不喜欢,$320.00
RT-217,ORD-211,REF-1030,2025-09-24,尺寸不符,"4,880.00"
RT-218,ORD-13563,SKU1145,07/14/2024,破损,"1,046.00"
RT-219,ORD-6245,R-1767,08/02/2024,质量问题,3892
RT-220,ORD-10864,SKU1595,25-09-2026,破损,2410
RT-221,ORD-302,R-1661,2025-05-03,破损,1242
RT-222,ORD-7683,R-1505,07/07/2024,不喜欢,2980
RT-223,ORD-9043,REF-1434,2024-08-02,质量问题,"$3,566.00"
RT-224,ORD-8067,MD-1158,2025-10-11,质量问题,2969
RT-225,ORD-5216,MD-1771,2024-08-15,发错货,3464
RT-226,ORD-7022,SKU1484,13-05-2024,破损,"$1,519.00"
RT-227,ORD-6056,SKU1568,11-12-2024,质量问题,4784
RT-228,ORD-269,REF-1154,2025-04-05,破损,"4,377.00"
RT-229,ORD-103,REF-1061,2025-05-02,发错货,"$1,953.00"
RT-230,ORD-8252,R-1695,05-11-2026,尺寸不符,4886
RT-231,ORD-5673,R-1304,2025-08-23,不喜欢,"$1,227.00"
RT-232,ORD-8644,REF-1689,2026-03-12,破损,4415
RT-233,ORD-1687,SKU1170,18-06-2026,不喜欢,"$1,192.00"
RT-234,ORD-6674,SKU1488,22-06-2026,尺寸不符,1881
RT-235,ORD-11640,R-1790,2025-04-19,质量问题,191
RT-236,ORD-1951,MD-1164,2025-05-10,不喜欢,4079
RT-237,ORD-14945,MD-1670,2026-09-09,质量问题,4666
RT-238,ORD-9993,SKU1056,15-10-2025,尺寸不符,"$2,742.00"
RT-239,ORD-3918,R-1527,09/06/2025,不喜欢,$974.00
RT-240,ORD-11629,R-1031,2025-03-08,尺寸不符,"$2,217.00"
RT-241,ORD-13703,MD-1197,2025-05-23,发错货,4676
RT-242,ORD-371,R-1220,2024-06-19,尺寸不符,"4,037.00"
RT-243,ORD-6501,SKU1060,11/17/2026,发错货,$608.00
RT-244,ORD-3573,REF-1524,2025-02-03,不喜欢,"$1,446.00"
RT-245,ORD-5730,REF-1479,2026-04-12,尺寸不符,"3,800.00"
RT-246,ORD-5683,REF-1275,09/21/2024,破损,4489
RT-247,ORD-13730,SKU1603,07-09-2026,不喜欢,"$3,276.00"
RT-248,ORD-12540,SKU1151,2024-03-02,不喜欢,3973
RT-249,ORD-6331,REF-1514,10/14/2026,破损,859.00
RT-250,ORD-8781,R-1416,03/01/2024,尺寸不符,"$3,765.00"
RT-251,ORD-4495,R-1402,2026-02-28,质量问题,2422
RT-252,ORD-3919,REF-1381,2024-09-19,尺寸不符,2239
RT-253,ORD-1793,REF-1024,04/07/2025,破损,$934.00
RT-254,ORD-7167,REF-1295,2025-04-20,尺寸不符,2856
RT-255,ORD-11079,MD-1529,01-07-2025,不喜欢,4232
RT-256,ORD-12864,MD-1038,04/15/2024,不喜欢,4266
RT-257,ORD-10552,R-1701,2025-07-23,质量问题,1681
RT-258,ORD-13377,SKU1586,04/20/2024,尺寸不符,$512.00
RT-259,ORD-6242,R-1010,2024-02-25,发错货,$898.00
RT-260,ORD-13009,REF-1318,22-09-2024,发错货,"$4,034.00"
RT-261,ORD-12583,SKU1654,2026-08-01,破损,"3,600.00"
RT-262,ORD-2597,R-1696,2024-09-03,破损,514
RT-263,ORD-7704,SKU1444,2025-06-12,质量问题,2607
RT-264,ORD-9982,SKU1422,2026-05-21,尺寸不符,1579
RT-265,ORD-5506,R-1584,2024-06-14,破损,145
RT-266,ORD-1737,REF-1042,2025-06-18,不喜欢,"$3,752.00"
RT-267,ORD-11455,SKU1427,11/08/2024,破损,4894
RT-268,ORD-7813,R-1720,2026-07-26,不喜欢,3313
RT-269,ORD-3178,REF-1070,16-02-2025,破损,1476
RT-270,ORD-3588,MD-1267,10/18/2026,质量问题,4618
RT-271,ORD-3202,MD-1712,22-12-2024,质量问题,1992
RT-272,ORD-4934,R-1478,08/17/2026,不喜欢,"$1,740.00"
RT-273,ORD-6713,SKU1056,2025-08-23,尺寸不符,"$3,997.00"
RT-274,ORD-4540,R-1259,06/01/2026,破损,"$2,624.00"
RT-275,ORD-6108,R-1494,03/03/2024,不喜欢,4855
RT-276,ORD-8626,REF-1061,22-07-2025,尺寸不符,3252
RT-277,ORD-1345,MD-1053,2025-03-12,发错货,$331.00
RT-278,ORD-13180,MD-1561,07/06/2025,发错货,3526
RT-279,ORD-4077,SKU1303,27-10-2025,发错货,4162
RT-280,ORD-13291,REF-1240,2025-04-07,发错货,2074
RT-281,ORD-13860,SKU1643,2026-06-01,破损,"$3,124.00"
RT-282,ORD-3468,SKU1626,2026-06-01,质量问题,"3,765.00"
RT-283,ORD-6677,MD-1670,15-07-2024,尺寸不符,"$4,767.00"
RT-284,ORD-11880,SKU1603,2024-07-25,质量问题,"$4,914.00"
RT-285,ORD-10764,REF-1318,2026-01-12,质量问题,"$4,143.00"
RT-286,ORD-10456,MD-1131,14-07-2025,不喜欢,"$1,370.00"
RT-287,ORD-8860,R-1691,10-06-2026,发错货,3828
RT-288,ORD-5063,REF-1621,11/08/2025,破损,3245
RT-289,ORD-7478,SKU1427,09/04/2026,尺寸不符,1553
RT-290,ORD-1481,R-1653,03-11-2024,不喜欢,$797.00
RT-291,ORD-5890,R-1567,11/26/2024,不喜欢,4028
RT-292,ORD-2367,REF-1105,2025-08-28,破损,"3,589.00"
RT-293,ORD-12300,R-1530,01/11/2026,质量问题,402
RT-294,ORD-6627,R-1636,03-12-2024,质量问题,2572
RT-295,ORD-2011,MD-1785,2025-07-23,质量问题,252.00
RT-296,ORD-4323,REF-1406,03/27/2024,尺寸不符,2801
RT-297,ORD-7083,R-1528,10/11/2024,不喜欢,"$4,917.00"
RT-298,ORD-6740,MD-1531,2024-08-20,尺寸不符,4803
RT-299,ORD-3344,REF-1318,2025-09-22,不喜欢,2179
RT-300,ORD-10384,REF-1021,01-01-2026,不喜欢,"$4,597.00"
RT-301,ORD-4674,R-1316,2025-03-24,质量问题,"2,159.00"
RT-302,ORD-4230,R-1584,2024-04-01,发错货,"4,914.00"
RT-303,ORD-3174,R-1129,2025-08-22,发错货,979
RT-304,ORD-9980,SKU1007,28-03-2024,质量问题,4808
RT-305,ORD-3761,REF-1295,2025-03-11,破损,3643
RT-306,ORD-7047,MD-1336,01/18/2025,不喜欢,674
RT-307,ORD-11717,REF-1162,2025-04-21,尺寸不符,"2,315.00"
RT-308,ORD-2890,REF-1509,02/04/2025,质量问题,1676
RT-309,ORD-14839,R-1359,04-01-2025,质量问题,"$4,731.00"
RT-310,ORD-8893,MD-1049,2025-10-08,质量问题,"$3,517.00"
RT-311,ORD-6580,REF-1231,02/02/2026,不喜欢,"4,712.00"
RT-312,ORD-2779,MD-1581,11/15/2026,破损,3207
RT-313,ORD-11260,SKU1306,01-05-2026,不喜欢,"$2,641.00"
RT-314,ORD-3334,MD-1792,2024-02-11,破损,1263
RT-315,ORD-5104,REF-1623,02/23/2024,质量问题,661
RT-316,ORD-14753,R-1082,12/06/2025,破损,1517
RT-317,ORD-9628,MD-1363,24-11-2025,尺寸不符,1710
RT-318,ORD-14680,MD-1118,2026-05-19,发错货,3204
RT-319,ORD-4213,REF-1253,23-10-2024,发错货,2747
RT-320,ORD-9061,REF-1381,2025-11-09,尺寸不符,"4,896.00"
RT-321,ORD-12260,R-1555,2025-08-26,尺寸不符,"2,233.00"
RT-322,ORD-11859,MD-1038,2025-07-22,尺寸不符,1989
RT-323,ORD-9747,R-1215,2024-01-20,破损,177
RT-324,ORD-6714,MD-1547,05/02/2025,破损,1596
RT-325,ORD-7537,R-1251,03/10/2025,发错货,2865
RT-326,ORD-10513,SKU1291,2024-09-09,尺寸不符,4385
RT-327,ORD-9903,MD-1590,2025-07-22,不喜欢,4059
RT-328,ORD-1242,R-1790,19-05-2026,发错货,4215
RT-329,ORD-7812,R-1115,2026-04-17,质量问题,3820
RT-330,ORD-6626,REF-1281,17-04-2025,破损,"$2,986.00"
RT-331,ORD-7172,R-1000,06/18/2024,破损,2789
RT-332,ORD-6394,MD-1544,05/22/2025,质量问题,"$2,799.00"
RT-333,ORD-11475,R-1324,04/04/2025,质量问题,1374
RT-334,ORD-4595,REF-1678,08-08-2026,尺寸不符,3552
RT-335,ORD-1045,R-1132,2024-06-12,破损,3564
RT-336,ORD-9396,R-1730,04/26/2024,质量问题,1102
RT-337,ORD-11843,MD-1679,2025-01-24,质量问题,1079
RT-338,ORD-411,MD-1564,2025-04-14,尺寸不符,437
RT-339,ORD-2812,SKU1649,2026-08-01,不喜欢,"$4,300.00"
RT-340,ORD-13153,REF-1221,05/27/2026,破损,"$2,037.00"
RT-341,ORD-5494,R-1428,2026-11-23,质量问题,399
RT-342,ORD-1587,MD-1309,2025-10-03,不喜欢,"2,987.00"
RT-343,ORD-8120,R-1412,11-01-2026,质量问题,3842
RT-344,ORD-4060,REF-1386,10-05-2024,尺寸不符,"1,510.00"
RT-345,ORD-4796,REF-1114,2025-01-15,尺寸不符,3835
RT-346,ORD-13033,R-1489,2026-09-21,发错货,4595
RT-347,ORD-6283,SKU1279,2025-12-14,尺寸不符,1498
RT-348,ORD-8444,REF-1186,17-06-2024,尺寸不符,732
RT-349,ORD-10199,REF-1155,2026-04-19,尺寸不符,3641
RT-350,ORD-10030,SKU1050,02/04/2025,发错货,3902
RT-351,ORD-11420,MD-1028,2025-09-13,尺寸不符,335
RT-352,ORD-3668,SKU1263,2025-05-04,尺寸不符,279
RT-353,ORD-8657,SKU1656,2024-08-02,质量问题,5000
RT-354,ORD-3968,MD-1017,2025-07-13,不喜欢,3928
RT-355,ORD-5868,R-1083,2024-04-18,尺寸不符,3910
RT-356,ORD-12550,R-1695,10/15/2024,尺寸不符,4844
RT-357,ORD-5457,REF-1483,02/04/2025,发错货,3845
RT-358,ORD-12405,REF-1119,21-07-2025,尺寸不符,4363
RT-359,ORD-5833,REF-1318,2025-09-06,发错货,"4,085.00"
RT-360,ORD-9402,SKU1628,2026-04-26,不喜欢,"1,526.00"
RT-361,ORD-3582,REF-1616,25-03-2026,不喜欢,4234
RT-362,ORD-10542,MD-1207,2026-10-25,尺寸不符,$873.00
RT-363,ORD-10955,R-1132,2024-11-10,质量问题,4595
RT-364,ORD-10803,R-1375,2024-04-26,质量问题,"3,309.00"
RT-365,ORD-6715,MD-1564,07/17/2025,破损,"1,279.00"
RT-366,ORD-2169,R-1302,22-03-2024,发错货,4985
RT-367,ORD-9311,R-1448,2024-10-07,尺寸不符,146
RT-368,ORD-14866,REF-1077,21-06-2026,发错货,"$3,346.00"
RT-369,ORD-11684,R-1067,2026-01-28,不喜欢,1112
RT-370,ORD-2401,MD-1037,2026-04-26,质量问题,"$1,648.00"
RT-371,ORD-3121,MD-1073,22-01-2026,尺寸不符,"$1,351.00"
RT-372,ORD-4687,R-1332,2026-07-26,发错货,2180
RT-373,ORD-14284,REF-1545,2026-10-16,尺寸不符,336
RT-374,ORD-4058,R-1324,10-08-2025,不喜欢,2385
RT-375,ORD-14859,REF-1474,12-09-2026,发错货,4309
RT-376,ORD-8940,MD-1143,2026-03-15,质量问题,"$3,875.00"
RT-377,ORD-8055,MD-1104,23-01-2024,破损,2001
RT-378,ORD-6780,R-1372,05/11/2025,发错货,2616
RT-379,ORD-6622,R-1692,18-04-2026,不喜欢,865
RT-380,ORD-494,SKU1094,2026-02-24,尺寸不符,947
RT-381,ORD-5213,SKU1512,2024-12-02,发错货,"$4,586.00"
RT-382,ORD-7306,REF-1119,12/27/2025,质量问题,"$3,171.00"
RT-383,ORD-742,REF-1287,2025-06-11,发错货,4824
RT-384,ORD-8868,R-1634,28-02-2024,不喜欢,344
RT-385,ORD-11647,REF-1092,09/11/2024,质量问题,"$4,283.00"
RT-386,ORD-351,R-1402,2024-06-22,尺寸不符,$506.00
RT-387,ORD-1654,SKU1214,2026-10-18,发错货,3641
RT-388,ORD-13035,MD-1160,2024-04-25,不喜欢,1687
RT-389,ORD-2065,REF-1764,2026-03-19,发错货,"3,588.00"
RT-390,ORD-14685,REF-1318,2025-05-21,破损,"2,253.00"
RT-391,ORD-4021,SKU1491,2025-06-26,质量问题,1405
RT-392,ORD-7316,MD-1780,2026-02-26,尺寸不符,"$4,332.00"
RT-393,ORD-3750,SKU1781,10-02-2026,质量问题,$457.00
RT-394,ORD-6736,REF-1599,2024-11-21,质量问题,"3,565.00"
RT-395,ORD-13317,SKU1717,2024-10-15,质量问题,$927.00
RT-396,ORD-4005,R-1284,08/13/2024,不喜欢,4631
RT-397,ORD-1699,REF-1429,19-11-2025,发错货,"3,989.00"
RT-398,ORD-4494,SKU1247,2024-04-26,不喜欢,1187
RT-399,ORD-9323,SKU1247,01/01/2024,破损,2341
