ticket_id,customer_id,subject,status,created_at,closed_at
TK-85,CUST-3287,投诉,pending,11/17/2026,24-12-2025
TK-86,CUST-4509,退换货,OPEN,2025-06-23,
TK-87,CUST-4408,投诉,pending,08/01/2026,
TK-88,CUST-3332,发票问题,OPEN,19-07-2025,06/05/2025
TK-89,CUST-320,售后维修,pending,2026-03-05,
TK-90,CUST-2225,发票问题,closed,09/07/2025,
TK-91,CUST-3882,投诉,closed,2025-03-13,
TK-92,CUST-747,投诉,OPEN,06/13/2025,2026-10-07
TK-93,CUST-744,发票问题,pending,09/19/2026,12/02/2025
TK-94,CUST-4174,发票问题,resolved,28-05-2026,2026-12-17
TK-95,CUST-820,发票问题,OPEN,2025-10-09,06-01-2026
TK-96,CUST-4515,物流查询,OPEN,10/02/2026,01-07-2026
TK-97,CUST-1278,物流查询,resolved,2025-01-06,11/22/2025
TK-98,CUST-2326,物流查询,resolved,03/22/2026,2026-11-25
TK-99,CUST-3529,投诉,open,07/17/2025,2026-04-25
TK-100,CUST-455,投诉,pending,04/13/2025,10/24/2025
TK-101,CUST-2058,退换货,pending,22-04-2026,2026-05-16
TK-102,CUST-3790,投诉,resolved,2025-11-19,01/05/2025
TK-103,CUST-2154,售后维修,closed,2026-06-13,12/02/2026
TK-104,CUST-2906,退换货,resolved,12/03/2026,2025-05-28
TK-105,CUST-1382,物流查询,pending,11/15/2026,2025-10-05
TK-106,CUST-3630,投诉,closed,04/19/2026,14-06-2026
TK-107,CUST-339,发票问题,resolved,2025-06-28,09/22/2026
TK-108,CUST-957,售后维修,closed,2026-03-16,2025-07-12
TK-109,CUST-1012,投诉,open,2026-02-24,05/24/2026
TK-110,CUST-3838,售后维修,OPEN,03/18/2026,26-12-2026
TK-111,CUST-1401,投诉,resolved,15-01-2025,2025-03-07
TK-112,CUST-4964,售后维修,pending,2026-07-15,2026-07-03
TK-113,CUST-1228,发票问题,pending,2026-12-28,01-02-2025
TK-114,CUST-4422,投诉,resolved,2026-11-01,2026-04-21
TK-115,CUST-3972,发票问题,pending,2026-11-08,
TK-116,CUST-3555,投诉,OPEN,2025-08-02,05/10/2026
TK-117,CUST-4418,发票问题,OPEN,08/06/2025,2025-10-28
TK-118,CUST-2163,售后维修,pending,2026-01-21,12/27/2025
TK-119,CUST-2722,退换货,OPEN,12/22/2026,09-10-2025
TK-120,CUST-2158,退换货,open,2026-10-05,08-06-2026
TK-121,CUST-4114,投诉,OPEN,02-10-2026,07/28/2026
TK-122,CUST-3415,发票问题,pending,2025-05-12,11/26/2025
TK-123,CUST-1168,售后维修,closed,27-05-2026,
TK-124,CUST-1803,发票问题,pending,2026-12-05,05/06/2025
TK-125,CUST-4772,物流查询,resolved,2025-03-02,2026-07-08
TK-126,CUST-4543,退换货,OPEN,11/17/2025,09/02/2026
TK-127,CUST-689,发票问题,open,07/23/2026,
TK-128,CUST-4184,物流查询,OPEN,2026-07-01,2025-04-16
TK-129,CUST-4883,物流查询,open,01/16/2025,
TK-130,CUST-4757,售后维修,pending,2025-11-20,12/23/2026
TK-131,CUST-4603,投诉,resolved,2026-08-21,
TK-132,CUST-526,退换货,pending,2026-04-10,
TK-133,CUST-3526,发票问题,pending,2025-09-21,02/02/2025
TK-134,CUST-2408,投诉,open,01/12/2025,2025-09-10
TK-135,CUST-3870,投诉,pending,2026-10-11,08/06/2026
TK-136,CUST-1814,物流查询,pending,04/14/2026,07/19/2025
TK-137,CUST-3152,投诉,closed,2025-09-15,03/23/2026
TK-138,CUST-2387,物流查询,resolved,2026-02-20,2025-12-03
TK-139,CUST-1493,售后维修,resolved,08-12-2026,2026-02-24
TK-140,CUST-2468,售后维修,closed,2026-01-25,2026-02-23
TK-141,CUST-2250,发票问题,OPEN,01/22/2025,
TK-142,CUST-4146,投诉,OPEN,2025-05-05,09/22/2026
TK-143,CUST-4864,退换货,closed,2026-07-04,
TK-144,CUST-1633,售后维修,OPEN,20-09-2026,2025-04-13
TK-145,CUST-3580,发票问题,resolved,2025-10-13,10/16/2026
TK-146,CUST-1593,物流查询,resolved,2026-03-07,2026-11-28
TK-147,CUST-4270,发票问题,OPEN,2026-10-04,
TK-148,CUST-4870,退换货,resolved,2026-11-04,06/04/2025
TK-149,CUST-782,售后维修,resolved,10/11/2026,2025-08-27
TK-150,CUST-2387,发票问题,pending,04/13/2025,2025-04-05
TK-151,CUST-1959,投诉,OPEN,2025-12-22,2026-08-04
TK-152,CUST-4563,物流查询,closed,2026-08-27,
TK-153,CUST-676,物流查询,pending,2025-09-11,2025-01-19
TK-154,CUST-3572,物流查询,pending,04/06/2026,2025-08-28
TK-155,CUST-1587,物流查询,open,04-10-2026,2026-12-21
TK-156,CUST-1353,物流查询,open,2026-10-09,03/21/2026
TK-157,CUST-3371,退换货,pending,2025-10-19,
TK-158,CUST-4890,物流查询,open,07/07/2025,2026-06-06
TK-159,CUST-808,发票问题,pending,2025-12-25,
TK-160,CUST-1149,发票问题,open,2026-07-02,2026-09-28
TK-161,CUST-3915,售后维修,pending,2025-12-02,11/18/2026
TK-162,CUST-841,发票问题,open,2026-05-03,
TK-163,CUST-4279,物流查询,closed,2025-11-06,27-05-2026
TK-164,CUST-1697,退换货,pending,2025-10-08,2025-12-04
TK-165,CUST-4293,物流查询,open,2026-05-01,2026-05-28
TK-166,CUST-125,售后维修,resolved,09/01/2025,
TK-167,CUST-1170,物流查询,pending,2026-07-21,
TK-168,CUST-1610,售后维修,OPEN,06/18/2025,2026-08-18
TK-169,CUST-113,投诉,closed,11/10/2026,2026-04-25
TK-170,CUST-713,物流查询,resolved,2025-11-27,
TK-171,CUST-2611,物流查询,pending,2025-11-21,2026-10-10
TK-172,CUST-4542,物流查询,closed,05-01-2026,
TK-173,CUST-3649,投诉,pending,02/22/2025,
TK-174,CUST-4153,售后维修,resolved,04/13/2025,2025-05-24
TK-175,CUST-668,发票问题,OPEN,2026-12-08,03-09-2025
TK-176,CUST-1761,发票问题,pending,2026-01-10,
TK-177,CUST-3882,物流查询,open,21-11-2026,19-02-2026
TK-178,CUST-3506,退换货,resolved,20-01-2025,09/06/2026
TK-179,CUST-273,退换货,open,2025-04-01,10/06/2025
TK-180,CUST-1773,物流查询,closed,02-08-2026,
TK-181,CUST-3743,退换货,pending,10/18/2026,09-01-2026
TK-182,CUST-3042,投诉,closed,2025-02-12,03/20/2025
TK-183,CUST-3887,退换货,closed,21-10-2026,
TK-184,CUST-1695,发票问题,open,01/19/2026,2025-05-06
TK-185,CUST-975,退换货,resolved,2025-11-17,09/17/2025
TK-186,CUST-3128,售后维修,pending,2026-04-05,06/12/2025
TK-187,CUST-4866,发票问题,resolved,2026-02-09,
TK-188,CUST-2349,退换货,resolved,2025-02-21,
TK-189,CUST-3469,投诉,open,2026-07-26,05/28/2025
TK-190,CUST-1344,投诉,resolved,10/08/2026,07-08-2025
TK-191,CUST-3477,发票问题,pending,2026-12-23,2025-12-12
TK-192,CUST-785,物流查询,pending,2025-11-16,
TK-193,CUST-1218,售后维修,OPEN,10/22/2026,08/01/2026
TK-194,CUST-4702,物流查询,closed,12-04-2025,
TK-195,CUST-557,投诉,OPEN,2025-06-01,
TK-196,CUST-4094,退换货,open,2025-04-02,2026-05-25
TK-197,CUST-297,退换货,pending,09/10/2025,13-03-2025
TK-198,CUST-31,投诉,resolved,2025-08-22,2025-02-05
TK-199,CUST-4749,投诉,open,11/23/2025,
TK-200,CUST-372,售后维修,closed,2026-08-10,01/20/2025
TK-201,CUST-258,发票问题,resolved,06/24/2026,03/11/2026
TK-202,CUST-344,售后维修,closed,02-02-2026,
TK-203,CUST-62,投诉,pending,09/18/2025,08/28/2026
TK-204,CUST-757,物流查询,resolved,2026-12-21,2026-08-21
TK-205,CUST-884,售后维修,resolved,05/18/2025,14-01-2026
TK-206,CUST-2328,退换货,OPEN,11/10/2025,2025-01-05
TK-207,CUST-3526,售后维修,pending,2025-10-19,
TK-208,CUST-4111,物流查询,closed,06-12-2026,
TK-209,CUST-1127,物流查询,closed,2026-04-01,02/24/2025
TK-210,CUST-3228,售后维修,resolved,10/26/2025,
TK-211,CUST-383,发票问题,pending,2025-10-02,2025-07-09
TK-212,CUST-253,售后维修,pending,06/16/2025,16-10-2026
TK-213,CUST-848,售后维修,closed,2025-02-15,2026-10-16
TK-214,CUST-585,发票问题,resolved,10/09/2025,2026-01-11
TK-215,CUST-1234,投诉,resolved,10/25/2025,07-05-2026
TK-216,CUST-1703,物流查询,resolved,2025-10-09,06/06/2026
TK-217,CUST-4077,物流查询,open,03-05-2026,2026-05-09
TK-218,CUST-4814,退换货,open,2025-04-23,2026-07-21
TK-219,CUST-3212,投诉,resolved,2025-09-11,2025-05-09
TK-220,CUST-3443,投诉,pending,05/06/2025,16-08-2026
TK-221,CUST-4535,发票问题,resolved,2025-03-05,08/16/2025
TK-222,CUST-4568,发票问题,OPEN,10/09/2026,2026-08-28
TK-223,CUST-332,发票问题,open,02/24/2025,
TK-224,CUST-1737,发票问题,closed,2025-08-23,06/28/2026
TK-225,CUST-2012,物流查询,pending,01/21/2026,05/07/2026
TK-226,CUST-3019,售后维修,open,2025-05-08,2025-10-15
TK-227,CUST-2743,退换货,open,08/06/2025,2026-06-07
TK-228,CUST-715,发票问题,pending,09/12/2026,2025-09-06
TK-229,CUST-2467,发票问题,OPEN,27-07-2025,19-09-2025
TK-230,CUST-1404,投诉,closed,26-07-2025,2025-08-26
TK-231,CUST-3245,发票问题,resolved,2026-05-12,2025-10-09
TK-232,CUST-1179,售后维修,closed,10/25/2026,
TK-233,CUST-3291,退换货,resolved,09/14/2026,2025-09-05
TK-234,CUST-2190,退换货,open,07/27/2026,2026-01-08
TK-235,CUST-1442,售后维修,closed,2026-04-09,
TK-236,CUST-4831,发票问题,open,2026-02-06,
TK-237,CUST-125,物流查询,OPEN,2026-07-16,2026-07-13
TK-238,CUST-123,投诉,resolved,2026-02-01,02/08/2025
TK-239,CUST-94,售后维修,resolved,05/05/2026,
TK-240,CUST-975,售后维修,resolved,22-12-2025,
TK-241,CUST-896,物流查询,resolved,2025-07-14,
TK-242,CUST-4226,物流查询,closed,03-10-2025,
TK-243,CUST-4596,物流查询,OPEN,07/19/2025,
TK-244,CUST-1617,售后维修,open,15-12-2026,
TK-245,CUST-3865,售后维修,resolved,2026-11-18,03/17/2026
TK-246,CUST-775,发票问题,open,2025-11-19,
TK-247,CUST-3818,物流查询,closed,06/15/2025,22-11-2026
TK-248,CUST-220,退换货,closed,03/28/2026,
TK-249,CUST-3198,退换货,pending,06-05-2026,05/07/2026
TK-250,CUST-299,退换货,pending,2026-07-05,2026-03-09
TK-251,CUST-1974,发票问题,resolved,2025-04-26,2026-04-20
TK-252,CUST-316,退换货,resolved,09/19/2026,2026-08-22
TK-253,CUST-3186,售后维修,OPEN,2026-05-09,09/11/2026
TK-254,CUST-1493,发票问题,pending,06/28/2025,
TK-255,CUST-522,物流查询,OPEN,08/08/2025,
TK-256,CUST-3974,退换货,resolved,2026-09-13,27-11-2026
TK-257,CUST-4150,发票问题,pending,2026-10-21,
TK-258,CUST-4256,退换货,OPEN,2025-08-07,2026-11-08
TK-259,CUST-963,售后维修,pending,2026-02-25,11-03-2026
TK-260,CUST-4104,投诉,open,02/25/2026,08/17/2026
TK-261,CUST-2446,物流查询,pending,2025-02-25,2026-08-16
TK-262,CUST-4756,售后维修,resolved,22-08-2025,08/01/2026
TK-263,CUST-1696,发票问题,resolved,2025-09-14,08/24/2025
TK-264,CUST-138,售后维修,open,2026-07-11,15-04-2026
TK-265,CUST-1610,发票问题,open,2025-10-10,23-05-2026
TK-266,CUST-2189,发票问题,closed,20-05-2025,10-10-2026
TK-267,CUST-1246,投诉,closed,04/05/2026,2025-06-10
TK-268,CUST-2293,售后维修,pending,02/08/2026,2025-09-20
TK-269,CUST-4251,物流查询,open,2025-12-11,07/27/2025
TK-270,CUST-3044,投诉,resolved,2025-11-01,09/07/2025
TK-271,CUST-4036,售后维修,resolved,2026-10-18,2026-09-19
TK-272,CUST-2332,售后维修,OPEN,28-07-2025,
TK-273,CUST-1676,退换货,OPEN,01/09/2025,
TK-274,CUST-3588,售后维修,closed,2025-09-28,14-02-2025
TK-275,CUST-261,物流查询,closed,26-02-2026,2025-05-09
TK-276,CUST-4627,物流查询,closed,03-04-2026,2025-08-15
TK-277,CUST-1244,投诉,open,22-05-2025,2025-03-13
TK-278,CUST-242,发票问题,open,01/28/2026,04/05/2025
TK-279,CUST-2052,物流查询,closed,01/05/2026,
TK-280,CUST-4886,售后维修,resolved,12-10-2026,18-03-2025
TK-281,CUST-3090,投诉,pending,06-10-2026,06/02/2026
TK-282,CUST-775,物流查询,closed,16-03-2026,2025-01-17
TK-283,CUST-1825,物流查询,closed,2026-09-11,
TK-284,CUST-1260,发票问题,open,2026-08-22,2026-01-04
TK-285,CUST-666,发票问题,OPEN,03-09-2025,17-03-2026
TK-286,CUST-1791,退换货,closed,2025-07-14,2025-01-15
TK-287,CUST-868,退换货,closed,2026-04-17,2026-09-09
TK-288,CUST-4204,发票问题,OPEN,26-12-2025,24-11-2025
TK-289,CUST-126,退换货,open,2026-02-13,09/28/2026
TK-290,CUST-946,退换货,pending,2026-07-20,12-10-2026
TK-291,CUST-2104,发票问题,open,16-01-2026,2026-08-16
TK-292,CUST-1236,投诉,pending,10/14/2025,2026-03-20
TK-293,CUST-127,发票问题,resolved,2025-10-23,
TK-294,CUST-2497,售后维修,closed,2026-05-19,2026-01-19
TK-295,CUST-4000,发票问题,OPEN,11/22/2026,2025-02-17
TK-296,CUST-2839,发票问题,resolved,01/15/2026,26-06-2026
TK-297,CUST-1683,售后维修,resolved,12/08/2025,2025-07-16
TK-298,CUST-4879,发票问题,closed,2025-04-14,2026-09-03
TK-299,CUST-1057,退换货,closed,10/05/2026,
TK-300,CUST-3978,物流查询,open,14-10-2026,
TK-301,CUST-2626,售后维修,closed,2026-05-25,04/14/2026
TK-302,CUST-4625,售后维修,resolved,2026-06-25,
TK-303,CUST-3934,退换货,open,05/02/2026,02/21/2025
TK-304,CUST-603,物流查询,closed,2026-03-27,07/04/2026
TK-305,CUST-2900,退换货,pending,10/07/2026,
TK-306,CUST-4481,退换货,closed,09/07/2025,06/16/2025
TK-307,CUST-332,发票问题,open,26-05-2025,2025-01-15
TK-308,CUST-453,退换货,pending,04/03/2026,24-05-2026
TK-309,CUST-4185,退换货,OPEN,2025-02-11,03-12-2025
TK-310,CUST-2874,投诉,open,2026-08-12,14-07-2026
TK-311,CUST-2334,退换货,OPEN,02/06/2025,01/24/2026
TK-312,CUST-4835,售后维修,resolved,2025-10-19,09/06/2026
TK-313,CUST-4938,物流查询,pending,2026-11-11,2026-03-01
TK-314,CUST-4069,售后维修,pending,2026-06-21,2026-02-14
TK-315,CUST-3501,物流查询,OPEN,27-09-2025,
TK-316,CUST-2676,退换货,pending,06/10/2026,2026-11-09
TK-317,CUST-4567,退换货,open,2025-04-28,14-03-2025
TK-318,CUST-2553,投诉,resolved,2026-09-26,06/20/2025
TK-319,CUST-3293,发票问题,resolved,2026-08-23,02/02/2025
TK-320,CUST-1267,投诉,OPEN,03/16/2025,06/18/2026
TK-321,CUST-4842,物流查询,open,20-08-2025,2026-10-16
TK-322,CUST-1516,退换货,OPEN,08/05/2026,2025-01-23
TK-323,CUST-2092,物流查询,open,2026-02-10,03/11/2026
TK-324,CUST-2309,投诉,OPEN,2026-05-26,
TK-325,CUST-931,售后维修,open,03/16/2026,2026-11-06
TK-326,CUST-713,投诉,open,2026-03-19,04-03-2026
TK-327,CUST-3489,退换货,pending,13-04-2026,
TK-328,CUST-827,发票问题,pending,2026-05-26,2026-06-07
TK-329,CUST-3739,退换货,closed,2025-11-22,2025-07-25
TK-330,CUST-4760,物流查询,resolved,2026-10-20,12/05/2025
TK-331,CUST-3034,物流查询,resolved,2025-07-13,2026-01-19
TK-332,CUST-4949,物流查询,OPEN,05/02/2025,19-12-2026
TK-333,CUST-2786,发票问题,open,2026-12-25,07/26/2026
TK-334,CUST-49,退换货,resolved,2026-04-24,2025-08-02
TK-335,CUST-2780,物流查询,closed,04/14/2025,2026-03-03
TK-336,CUST-1255,物流查询,pending,2026-01-17,07/21/2026
TK-337,CUST-3984,投诉,closed,2026-04-08,05/04/2026
TK-338,CUST-358,售后维修,pending,04/19/2026,2026-04-11
TK-339,CUST-335,物流查询,resolved,2026-03-03,08/26/2025
TK-340,CUST-298,退换货,pending,16-03-2025,2025-03-28
TK-341,CUST-4504,投诉,OPEN,2025-03-02,16-06-2025
TK-342,CUST-22,发票问题,open,12-03-2026,03/03/2025
TK-343,CUST-3393,退换货,OPEN,02/02/2025,
TK-344,CUST-4656,投诉,open,2026-07-04,
TK-345,CUST-1658,发票问题,closed,2026-03-04,2026-08-15
TK-346,CUST-690,物流查询,pending,2025-11-25,
TK-347,CUST-1039,退换货,pending,04/12/2025,2026-08-20
TK-348,CUST-1021,发票问题,OPEN,2026-06-18,2026-12-16
TK-349,CUST-4463,售后维修,pending,11/08/2026,08/19/2025
TK-350,CUST-4238,退换货,pending,09/01/2026,2025-03-23
TK-351,CUST-4495,售后维修,closed,25-08-2026,2025-10-23
TK-352,CUST-3991,物流查询,closed,2026-04-28,2026-05-22
TK-353,CUST-2322,投诉,OPEN,2026-06-20,
TK-354,CUST-860,投诉,open,10/08/2026,
TK-355,CUST-3173,退换货,pending,03/03/2026,2026-03-09
TK-356,CUST-2119,投诉,OPEN,21-03-2025,2026-02-13
TK-357,CUST-1216,售后维修,closed,2026-09-25,
TK-358,CUST-1818,发票问题,resolved,2025-08-11,2026-11-19
TK-359,CUST-224,退换货,OPEN,11/20/2026,10/07/2025
TK-360,CUST-1625,发票问题,resolved,2025-07-17,2025-07-12
TK-361,CUST-3871,投诉,OPEN,22-01-2026,2025-03-15
TK-362,CUST-1905,物流查询,closed,2026-12-11,03/26/2026
TK-363,CUST-2305,物流查询,pending,07/04/2025,
TK-364,CUST-2804,售后维修,closed,2026-03-04,2026-10-28
TK-365,CUST-4248,物流查询,closed,05/15/2026,
TK-366,CUST-2023,退换货,OPEN,2026-05-28,13-09-2026
TK-367,CUST-2537,投诉,closed,27-12-2025,11/20/2026
TK-368,CUST-4507,投诉,open,10/01/2025,2026-03-22
TK-369,CUST-702,发票问题,pending,2026-10-06,16-05-2025
TK-370,CUST-4490,发票问题,pending,2026-02-13,2025-06-12
TK-371,CUST-4292,物流查询,resolved,07/20/2026,
TK-372,CUST-4615,发票问题,closed,2025-09-14,12/08/2026
TK-373,CUST-692,售后维修,OPEN,04/05/2025,
TK-374,CUST-2527,退换货,resolved,2026-11-19,19-11-2026
TK-375,CUST-510,发票问题,closed,02/25/2025,2026-09-09
TK-376,CUST-156,投诉,open,09/06/2025,2026-12-10
TK-377,CUST-239,投诉,OPEN,12/13/2025,09-02-2025
TK-378,CUST-3750,退换货,open,02/25/2026,
TK-379,CUST-2750,退换货,open,03/04/2026,2026-11-25
TK-380,CUST-3591,退换货,open,2025-04-17,2025-11-27
TK-381,CUST-2328,物流查询,open,2025-03-27,
TK-382,CUST-61,发票问题,OPEN,02/13/2025,26-10-2026
TK-383,CUST-2397,投诉,open,2026-09-12,03/25/2025
TK-384,CUST-2287,发票问题,resolved,2026-03-16,2026-12-01
TK-385,CUST-3928,售后维修,open,09-05-2026,08-12-2026
TK-386,CUST-4014,退换货,pending,12-12-2025,10-10-2025
TK-387,CUST-4394,物流查询,open,2025-10-08,14-02-2025
TK-388,CUST-2273,物流查询,open,2026-01-13,
TK-389,CUST-2018,售后维修,pending,21-05-2026,2025-12-15
TK-390,CUST-1512,投诉,pending,05/23/2025,2025-06-16
TK-391,CUST-2894,发票问题,closed,05/21/2025,11/20/2026
TK-392,CUST-1319,发票问题,OPEN,2025-02-26,07/04/2025
TK-393,CUST-4162,售后维修,resolved,2025-07-02,2026-06-16
TK-394,CUST-439,售后维修,pending,2026-10-10,2026-06-02
TK-395,CUST-47,发票问题,OPEN,2025-01-03,03/12/2026
TK-396,CUST-1327,投诉,resolved,2026-12-26,07-03-2025
TK-397,CUST-1101,投诉,OPEN,04/03/2026,
TK-398,CUST-1876,售后维修,resolved,2025-02-11,05/04/2026
TK-399,CUST-24,发票问题,open,03/06/2025,2025-02-15
TK-400,CUST-2722,物流查询,closed,2026-05-25,2026-03-06
TK-401,CUST-3055,退换货,OPEN,2026-09-12,2026-10-27
TK-402,CUST-4180,投诉,OPEN,2025-06-14,2025-09-02
TK-403,CUST-1368,投诉,resolved,2026-02-12,
TK-404,CUST-2323,售后维修,resolved,2026-03-23,2025-06-22
TK-405,CUST-4974,退换货,pending,2026-04-23,07/16/2026
TK-406,CUST-159,发票问题,resolved,11/27/2026,2026-08-02
TK-407,CUST-189,售后维修,resolved,2026-01-09,21-11-2025
TK-408,CUST-4014,物流查询,resolved,2026-02-18,24-05-2025
TK-409,CUST-2286,物流查询,pending,07/28/2025,2026-10-15
TK-410,CUST-2615,投诉,resolved,17-05-2025,02-08-2026
TK-411,CUST-2121,售后维修,closed,2025-09-22,26-10-2025
TK-412,CUST-3195,投诉,open,2026-09-26,2025-02-12
TK-413,CUST-1757,物流查询,OPEN,08/07/2026,11/21/2026
TK-414,CUST-3038,投诉,OPEN,2026-12-15,2026-07-09
TK-415,CUST-2512,发票问题,pending,2026-01-25,23-11-2025
TK-416,CUST-4448,发票问题,closed,10/11/2026,2026-10-04
TK-417,CUST-2250,投诉,OPEN,2025-02-22,2025-12-20
TK-418,CUST-2443,发票问题,pending,06/03/2025,16-01-2026
TK-419,CUST-2687,发票问题,pending,2025-06-08,2025-02-11
TK-420,CUST-1453,发票问题,closed,08/06/2026,12/01/2025
TK-421,CUST-600,售后维修,pending,25-10-2025,08/26/2026
TK-422,CUST-2481,售后维修,pending,10/22/2025,2026-07-11
TK-423,CUST-4957,售后维修,OPEN,2025-08-25,04-02-2025
TK-424,CUST-3660,物流查询,closed,04/21/2026,05/28/2026
TK-425,CUST-2643,物流查询,closed,2026-06-20,2025-01-26
TK-426,CUST-2838,发票问题,open,2025-12-22,
TK-427,CUST-1246,投诉,closed,05/01/2025,
TK-428,CUST-2562,退换货,pending,2026-03-21,2026-09-22
TK-429,CUST-2973,投诉,OPEN,09-01-2025,10/17/2026
TK-430,CUST-3752,发票问题,pending,2026-10-02,
