coupon_id,code,discount_rate,expires
CP-140,SAVE1139,0.15,2026-09-13
CP-141,SAVE1140,0.3,2026-10-02
CP-142,SAVE1141,0.2,2026-03-19
CP-143,SAVE1142,0.15,08/25/2026
CP-144,SAVE1143,20%,2026-05-15
CP-145,SAVE1144,0.3,08/12/2026
CP-146,SAVE1145,0.3,2026-03-25
CP-147,SAVE1146,0.3,2026-11-27
CP-148,SAVE1147,0.3,2026-06-13
CP-149,SAVE1148,0.15,02/06/2026
CP-150,SAVE1149,10%,06/17/2026
CP-151,SAVE1150,0.15,2026-09-19
CP-152,SAVE1151,0.15,2026-03-08
CP-153,SAVE1152,20%,2026-03-01
CP-154,SAVE1153,0.15,10-05-2026
CP-155,SAVE1154,0.2,07/05/2026
CP-156,SAVE1155,0.2,11/23/2026
CP-157,SAVE1156,0.2,2026-08-21
CP-158,SAVE1157,10%,07/14/2026
CP-159,SAVE1158,10%,2026-03-27
CP-160,SAVE1159,20%,09/10/2026
CP-161,SAVE1160,20%,10/13/2026
CP-162,SAVE1161,0.3,10-02-2026
CP-163,SAVE1162,20%,2026-06-09
CP-164,SAVE1163,0.2,2026-04-19
CP-165,SAVE1164,10%,2026-01-12
CP-166,SAVE1165,0.2,2026-08-06
CP-167,SAVE1166,0.15,2026-01-21
CP-168,SAVE1167,10%,04/21/2026
CP-169,SAVE1168,0.15,28-06-2026
CP-170,SAVE1169,0.3,04/02/2026
CP-171,SAVE1170,20%,12/26/2026
CP-172,SAVE1171,0.15,25-10-2026
CP-173,SAVE1172,20%,02/28/2026
CP-174,SAVE1173,0.3,08/16/2026
CP-175,SAVE1174,0.3,2026-08-04
CP-176,SAVE1175,0.3,07/25/2026
CP-177,SAVE1176,10%,2026-07-22
CP-178,SAVE1177,0.3,2026-01-07
CP-179,SAVE1178,20%,21-06-2026
CP-180,SAVE1179,10%,2026-04-27
CP-181,SAVE1180,0.3,2026-07-04
CP-182,SAVE1181,0.3,2026-08-23
CP-183,SAVE1182,0.2,2026-07-15
CP-184,SAVE1183,10%,2026-03-02
CP-185,SAVE1184,0.2,2026-01-17
CP-186,SAVE1185,10%,2026-06-24
CP-187,SAVE1186,0.3,05-09-2026
CP-188,SAVE1187,0.3,02/28/2026
CP-189,SAVE1188,0.2,08/03/2026
CP-190,SAVE1189,0.15,08/05/2026
CP-191,SAVE1190,0.15,2026-04-07
CP-192,SAVE1191,20%,2026-03-19
CP-193,SAVE1192,0.3,06/19/2026
CP-194,SAVE1193,0.3,23-06-2026
CP-195,SAVE1194,10%,2026-04-18
CP-196,SAVE1195,10%,2026-12-05
CP-197,SAVE1196,0.15,04-01-2026
CP-198,SAVE1197,0.15,05-08-2026
CP-199,SAVE1198,0.3,15-01-2026
CP-200,SAVE1199,10%,2026-03-16
