payment_id,order_id,amount,method,status,paid_date
PAY-75,ORD-13075,"$6,243.00",COD,success,2026-02-27
PAY-76,ORD-14156,"15,354.00",alipay,success,05/25/2024
PAY-77,ORD-11503,"5,687.00",wechat,SUCCESS,07/24/2025
PAY-78,ORD-8277,$537.00,card,SUCCESS,2025-09-21
PAY-79,ORD-11705,"$8,745.00",wechat,SUCCESS,01/04/2025
PAY-80,ORD-10830,"$6,939.00",wechat,pending,2026-03-07
PAY-81,ORD-10807,"$2,201.00",card,success,2026-07-10
PAY-82,ORD-6455,"$15,092.00",alipay,success,2024-08-11
PAY-83,ORD-7702,"$11,734.00",alipay,success,02/16/2026
PAY-84,ORD-4582,12687,alipay,pending,2026-05-07
PAY-85,ORD-680,404,wechat,pending,2024-04-07
PAY-86,ORD-4146,13447,alipay,pending,05/02/2025
PAY-87,ORD-2696,"$7,904.00",alipay,pending,2025-07-13
PAY-88,ORD-13615,"12,043.00",card,SUCCESS,04/21/2026
PAY-89,ORD-8188,"$6,691.00",wechat,SUCCESS,2026-06-19
PAY-90,ORD-12411,"8,832.00",COD,pending,2025-04-26
PAY-91,ORD-2926,"6,776.00",alipay,SUCCESS,2025-10-11
PAY-92,ORD-3853,1077,COD,pending,10/12/2025
PAY-93,ORD-2493,"9,836.00",alipay,pending,07/19/2024
PAY-94,ORD-5431,2306,wechat,success,2024-12-17
PAY-95,ORD-12789,19551,alipay,success,08-10-2026
PAY-96,ORD-13601,2775,wechat,pending,03/22/2026
PAY-97,ORD-11582,"9,029.00",COD,pending,01-06-2025
PAY-98,ORD-10533,"$14,573.00",COD,pending,08/24/2026
PAY-99,ORD-10601,"11,448.00",card,pending,07/11/2025
PAY-100,ORD-9608,"$14,029.00",alipay,success,2024-08-25
PAY-101,ORD-1632,14752,wechat,success,07/17/2026
PAY-102,ORD-11942,9059,card,SUCCESS,2025-12-13
PAY-103,ORD-4718,8312,wechat,success,11/23/2024
PAY-104,ORD-518,"$11,076.00",COD,success,28-07-2026
PAY-105,ORD-8916,"$6,319.00",wechat,pending,04/12/2026
PAY-106,ORD-9955,"15,971.00",card,success,10/19/2025
PAY-107,ORD-13433,18639,COD,pending,03/14/2025
PAY-108,ORD-6392,7542,card,SUCCESS,2025-04-18
PAY-109,ORD-7747,"$3,096.00",alipay,pending,2025-03-17
PAY-110,ORD-8220,19753,card,SUCCESS,2024-05-19
PAY-111,ORD-1611,"$6,008.00",COD,success,2024-09-15
PAY-112,ORD-7311,"5,897.00",alipay,success,2026-10-15
PAY-113,ORD-9997,"$17,124.00",alipay,SUCCESS,07-05-2026
PAY-114,ORD-4564,"19,477.00",COD,pending,2026-06-03
PAY-115,ORD-4213,"1,394.00",alipay,pending,02/06/2024
PAY-116,ORD-10300,58,alipay,pending,2026-01-11
PAY-117,ORD-9005,"11,319.00",wechat,success,06-02-2024
PAY-118,ORD-9422,17567,alipay,pending,2026-12-04
PAY-119,ORD-10724,"11,860.00",alipay,pending,2024-04-09
PAY-120,ORD-3172,9802,alipay,success,2026-05-15
PAY-121,ORD-5034,8841,alipay,success,11/04/2024
PAY-122,ORD-2865,"$10,870.00",card,success,2025-10-21
PAY-123,ORD-13071,"$12,897.00",alipay,failed,2024-03-10
PAY-124,ORD-3336,"$19,201.00",wechat,pending,2026-12-22
PAY-125,ORD-3226,16556,COD,failed,2026-10-13
PAY-126,ORD-8690,"7,709.00",COD,failed,10/20/2026
PAY-127,ORD-1580,14648,COD,SUCCESS,08/21/2026
PAY-128,ORD-11174,17182,card,SUCCESS,13-11-2024
PAY-129,ORD-12837,"$2,697.00",wechat,success,03/18/2026
PAY-130,ORD-13719,18485,COD,success,2026-08-26
PAY-131,ORD-14498,"$5,979.00",COD,pending,2024-08-06
PAY-132,ORD-9299,"18,471.00",wechat,pending,2026-12-28
PAY-133,ORD-10494,11234,COD,pending,01-07-2026
PAY-134,ORD-1747,8200,card,success,2024-11-08
PAY-135,ORD-12643,"$7,626.00",wechat,SUCCESS,2026-03-28
PAY-136,ORD-8556,"6,532.00",COD,SUCCESS,2025-05-02
PAY-137,ORD-2833,"$18,103.00",COD,SUCCESS,12/07/2024
PAY-138,ORD-4665,14903,card,SUCCESS,2025-01-22
PAY-139,ORD-14286,"14,857.00",card,pending,21-05-2025
PAY-140,ORD-163,"$18,924.00",card,SUCCESS,07/03/2026
PAY-141,ORD-8406,"$8,111.00",card,pending,12/15/2024
PAY-142,ORD-7915,1890,wechat,pending,2025-03-25
PAY-143,ORD-11875,13051,alipay,pending,03/15/2024
PAY-144,ORD-12715,16029,card,success,01-11-2026
PAY-145,ORD-5270,"17,289.00",COD,SUCCESS,05/10/2025
PAY-146,ORD-12793,177,card,pending,2025-10-07
PAY-147,ORD-8712,"7,717.00",alipay,SUCCESS,09/22/2024
PAY-148,ORD-13731,15876,card,success,11/27/2025
PAY-149,ORD-7676,13404,card,SUCCESS,2025-08-03
PAY-150,ORD-4437,"12,889.00",alipay,pending,03/06/2025
PAY-151,ORD-5395,4389,wechat,failed,2024-03-25
PAY-152,ORD-14058,"$9,491.00",card,SUCCESS,11/06/2024
PAY-153,ORD-13544,5405,alipay,pending,19-12-2026
PAY-154,ORD-6612,7242,wechat,pending,18-02-2025
PAY-155,ORD-578,"$17,807.00",COD,pending,06/20/2024
PAY-156,ORD-8770,4015,card,success,2026-09-09
PAY-157,ORD-9428,"$2,180.00",wechat,success,21-07-2025
PAY-158,ORD-6273,3025,COD,success,18-09-2026
PAY-159,ORD-10758,10067,alipay,pending,21-04-2025
PAY-160,ORD-5886,17273,card,SUCCESS,2025-09-08
PAY-161,ORD-14208,"14,026.00",wechat,pending,10/11/2025
PAY-162,ORD-7880,2718,COD,pending,22-04-2024
PAY-163,ORD-8914,"$6,350.00",alipay,SUCCESS,02/19/2026
PAY-164,ORD-8905,13405,card,pending,2024-10-08
PAY-165,ORD-9010,"$14,129.00",wechat,pending,2024-04-17
PAY-166,ORD-6370,8535,COD,success,2026-01-18
PAY-167,ORD-4114,11462,card,pending,09/10/2025
PAY-168,ORD-3686,"5,867.00",alipay,SUCCESS,12/05/2025
PAY-169,ORD-12616,"19,656.00",COD,SUCCESS,2024-01-09
PAY-170,ORD-4675,"14,407.00",alipay,success,20-08-2026
PAY-171,ORD-3546,17917,card,pending,2024-04-04
PAY-172,ORD-2676,11429,card,pending,12/10/2024
PAY-173,ORD-934,"15,149.00",alipay,success,12-08-2025
PAY-174,ORD-13439,"5,388.00",wechat,success,15-06-2024
PAY-175,ORD-14385,17633,COD,pending,05/21/2026
PAY-176,ORD-11499,"$18,306.00",COD,success,26-09-2024
PAY-177,ORD-1271,15318,COD,success,02/12/2025
PAY-178,ORD-4067,4626,alipay,pending,05/14/2026
PAY-179,ORD-14223,"$12,872.00",COD,SUCCESS,2025-06-16
PAY-180,ORD-10740,19585,alipay,success,21-08-2024
PAY-181,ORD-4592,19405,card,pending,22-02-2025
PAY-182,ORD-8117,5388,card,pending,2026-07-16
PAY-183,ORD-8335,"13,115.00",card,SUCCESS,2024-06-08
PAY-184,ORD-313,19879,wechat,success,2026-04-10
PAY-185,ORD-4147,12348,wechat,success,10/16/2025
PAY-186,ORD-8759,"13,348.00",card,success,02/07/2024
PAY-187,ORD-2901,"17,230.00",wechat,SUCCESS,05-10-2026
PAY-188,ORD-14944,3153,card,pending,09-02-2026
PAY-189,ORD-7425,"5,988.00",alipay,pending,2026-01-16
PAY-190,ORD-13142,"$6,211.00",card,pending,09-07-2024
PAY-191,ORD-10607,"$19,747.00",COD,success,2025-02-02
PAY-192,ORD-373,"7,200.00",card,SUCCESS,03/14/2025
PAY-193,ORD-5075,"$8,376.00",card,success,01-05-2026
PAY-194,ORD-6769,7239,COD,SUCCESS,2025-06-04
PAY-195,ORD-14087,9146,COD,SUCCESS,09/23/2024
PAY-196,ORD-1270,17293,card,success,2026-02-08
PAY-197,ORD-4248,13763,COD,SUCCESS,16-08-2024
PAY-198,ORD-6998,4194,card,pending,2025-04-26
PAY-199,ORD-8991,"$10,812.00",card,failed,10-08-2024
PAY-200,ORD-2568,"17,762.00",card,SUCCESS,19-12-2024
PAY-201,ORD-741,"11,098.00",COD,SUCCESS,07/28/2026
PAY-202,ORD-10992,"$1,740.00",wechat,SUCCESS,01/22/2024
PAY-203,ORD-13220,19422,wechat,success,09/04/2026
PAY-204,ORD-7540,14632,wechat,pending,07/23/2026
PAY-205,ORD-3971,"6,655.00",wechat,success,04/26/2026
PAY-206,ORD-14896,"6,668.00",card,SUCCESS,2026-04-01
PAY-207,ORD-6330,"6,587.00",card,failed,2024-11-18
PAY-208,ORD-501,"$5,006.00",card,SUCCESS,2025-03-28
PAY-209,ORD-5056,2565,alipay,SUCCESS,23-02-2026
PAY-210,ORD-2209,14821,alipay,SUCCESS,06/27/2025
PAY-211,ORD-2539,"$5,982.00",alipay,pending,06/01/2025
PAY-212,ORD-14391,18392,wechat,SUCCESS,04/15/2025
PAY-213,ORD-4563,"$6,061.00",COD,pending,2024-08-22
PAY-214,ORD-6709,"5,852.00",wechat,failed,2024-10-28
PAY-215,ORD-13115,14913,wechat,success,03/08/2026
PAY-216,ORD-11124,3560,wechat,SUCCESS,10-05-2024
PAY-217,ORD-9707,10346,COD,pending,2026-07-28
PAY-218,ORD-7211,19462,card,pending,2026-02-14
PAY-219,ORD-8552,982.00,wechat,pending,11/22/2024
PAY-220,ORD-9960,9718,COD,SUCCESS,04/01/2026
PAY-221,ORD-9381,8438,wechat,pending,12/01/2025
PAY-222,ORD-8743,8267,wechat,success,2026-11-09
PAY-223,ORD-1010,"$13,859.00",card,SUCCESS,04/16/2026
PAY-224,ORD-10099,"9,906.00",card,success,2025-08-07
PAY-225,ORD-13595,7724,COD,success,2024-10-25
PAY-226,ORD-14873,"$7,738.00",COD,pending,2026-11-06
PAY-227,ORD-14866,"12,770.00",COD,SUCCESS,04/04/2026
PAY-228,ORD-3657,13318,COD,success,2026-09-22
PAY-229,ORD-3345,6813,COD,failed,04/02/2024
PAY-230,ORD-9331,"13,754.00",alipay,SUCCESS,10/01/2024
PAY-231,ORD-1943,4909,alipay,SUCCESS,2026-09-09
PAY-232,ORD-14212,"$18,403.00",COD,success,03-05-2025
PAY-233,ORD-8053,"16,592.00",COD,success,2025-11-24
PAY-234,ORD-6673,12712,wechat,success,2025-09-01
PAY-235,ORD-5637,"$17,471.00",alipay,success,2026-02-26
PAY-236,ORD-14994,14512,card,success,12-08-2025
PAY-237,ORD-10798,9873,card,SUCCESS,04-04-2026
PAY-238,ORD-184,"$8,963.00",COD,success,16-08-2026
PAY-239,ORD-2055,"$16,140.00",wechat,success,20-12-2025
PAY-240,ORD-1678,"19,569.00",card,pending,06/10/2025
PAY-241,ORD-5886,"8,178.00",COD,pending,2024-11-20
PAY-242,ORD-13476,12552,COD,SUCCESS,07/11/2024
PAY-243,ORD-14698,"$12,213.00",wechat,pending,03/15/2026
PAY-244,ORD-1648,15672,COD,pending,2026-12-15
PAY-245,ORD-8430,15698,card,SUCCESS,01/20/2026
PAY-246,ORD-4319,"$15,283.00",alipay,SUCCESS,01-12-2025
PAY-247,ORD-14452,"$15,647.00",COD,success,04/07/2025
PAY-248,ORD-2609,6925,alipay,SUCCESS,02-09-2024
PAY-249,ORD-1941,"$14,890.00",card,success,07/01/2024
PAY-250,ORD-7462,"$14,079.00",card,SUCCESS,2024-06-25
PAY-251,ORD-7872,"18,534.00",alipay,pending,07/16/2026
PAY-252,ORD-572,7207,card,pending,07/06/2025
PAY-253,ORD-1261,17907,wechat,SUCCESS,07/08/2026
PAY-254,ORD-9102,7426,alipay,SUCCESS,15-05-2025
PAY-255,ORD-3842,"9,415.00",wechat,SUCCESS,2026-07-26
PAY-256,ORD-8960,"$3,479.00",COD,SUCCESS,04/02/2026
PAY-257,ORD-12275,16640,COD,pending,10/05/2026
PAY-258,ORD-10649,10956,COD,pending,2026-11-15
PAY-259,ORD-12169,"$3,196.00",wechat,pending,08/20/2026
PAY-260,ORD-4501,"$13,653.00",card,pending,02/02/2024
PAY-261,ORD-1443,"$10,090.00",COD,pending,2026-01-05
PAY-262,ORD-8211,13662,alipay,SUCCESS,01/26/2024
PAY-263,ORD-4729,10831,wechat,pending,22-10-2024
PAY-264,ORD-12640,8737,card,failed,2026-10-17
PAY-265,ORD-8828,11446,wechat,success,2026-06-07
PAY-266,ORD-479,"15,079.00",alipay,pending,2026-04-20
PAY-267,ORD-1080,9557,COD,SUCCESS,2025-08-01
PAY-268,ORD-4331,"6,297.00",wechat,pending,2025-10-11
PAY-269,ORD-4235,"$9,782.00",COD,success,2024-02-28
PAY-270,ORD-1843,"15,766.00",COD,SUCCESS,28-01-2024
PAY-271,ORD-7030,"12,398.00",COD,success,2026-08-13
PAY-272,ORD-10321,"$16,358.00",COD,failed,2026-09-16
PAY-273,ORD-14385,"19,278.00",card,pending,2024-03-19
PAY-274,ORD-2172,579.00,COD,pending,21-12-2026
PAY-275,ORD-2744,13540,COD,pending,11/20/2026
PAY-276,ORD-9354,14925,card,SUCCESS,2026-09-06
PAY-277,ORD-3144,"$6,285.00",card,success,2025-04-06
PAY-278,ORD-11280,"4,893.00",COD,pending,11/15/2024
PAY-279,ORD-4655,"1,543.00",wechat,pending,2024-08-16
PAY-280,ORD-5781,"$7,172.00",alipay,success,2025-08-03
PAY-281,ORD-1702,998.00,COD,success,2024-08-02
PAY-282,ORD-10526,11015,wechat,pending,01/17/2024
PAY-283,ORD-4791,13762,wechat,success,2024-09-21
PAY-284,ORD-8766,9595,wechat,pending,2024-11-13
PAY-285,ORD-6245,"$8,341.00",COD,failed,05/19/2026
PAY-286,ORD-7170,"$14,232.00",card,failed,11/26/2024
PAY-287,ORD-1772,8353,card,pending,2024-11-17
PAY-288,ORD-14852,14430,card,success,02/22/2026
PAY-289,ORD-2078,3790,alipay,SUCCESS,2024-08-02
PAY-290,ORD-8905,"$14,499.00",COD,pending,2025-06-15
PAY-291,ORD-10206,"$2,579.00",card,success,01/13/2026
PAY-292,ORD-1695,"10,418.00",COD,pending,08/23/2025
PAY-293,ORD-8714,"$19,994.00",wechat,success,2026-07-16
PAY-294,ORD-10853,13065,card,success,2026-12-11
PAY-295,ORD-10681,18933,wechat,failed,2026-05-10
PAY-296,ORD-9919,"$18,861.00",wechat,pending,03/10/2024
PAY-297,ORD-10325,12518,COD,success,02/23/2026
PAY-298,ORD-11402,18000,wechat,failed,17-08-2025
PAY-299,ORD-11665,"$16,973.00",COD,SUCCESS,04/14/2025
PAY-300,ORD-10522,15164,COD,success,11-06-2025
PAY-301,ORD-4849,162.00,card,pending,2025-09-13
PAY-302,ORD-13197,"$14,873.00",alipay,SUCCESS,2026-10-01
PAY-303,ORD-8156,"3,144.00",card,pending,2024-05-01
PAY-304,ORD-9517,4634,wechat,pending,2025-02-17
PAY-305,ORD-8522,"6,308.00",wechat,success,2025-09-12
PAY-306,ORD-10876,15613,COD,SUCCESS,2024-09-17
PAY-307,ORD-10139,6855,wechat,success,2025-03-01
PAY-308,ORD-1588,"19,326.00",alipay,SUCCESS,11-03-2025
PAY-309,ORD-5635,16349,alipay,SUCCESS,2025-09-07
PAY-310,ORD-2695,7264,alipay,success,02-09-2025
PAY-311,ORD-203,"9,148.00",wechat,SUCCESS,2024-07-08
PAY-312,ORD-10340,11591,COD,SUCCESS,2024-02-19
PAY-313,ORD-12023,"18,593.00",COD,pending,2026-10-06
PAY-314,ORD-2369,2272,wechat,failed,03-10-2026
PAY-315,ORD-5556,"13,828.00",alipay,pending,11/03/2026
PAY-316,ORD-133,14137,wechat,success,2025-10-23
PAY-317,ORD-13977,"$18,199.00",alipay,pending,05/21/2024
PAY-318,ORD-12488,"$16,862.00",alipay,SUCCESS,03/11/2026
PAY-319,ORD-11269,8378,card,SUCCESS,01/25/2025
PAY-320,ORD-3231,346,wechat,SUCCESS,07/27/2025
PAY-321,ORD-7374,10252,card,pending,2025-06-07
PAY-322,ORD-9303,"1,922.00",alipay,pending,09/12/2025
PAY-323,ORD-1124,"$18,878.00",wechat,SUCCESS,06/25/2025
PAY-324,ORD-5794,"$16,604.00",alipay,pending,2025-05-25
PAY-325,ORD-5251,"$4,287.00",wechat,success,28-08-2024
PAY-326,ORD-10064,15962,alipay,pending,08/17/2024
PAY-327,ORD-5193,"1,817.00",COD,SUCCESS,2025-03-09
PAY-328,ORD-9250,"$17,235.00",COD,pending,10/03/2025
PAY-329,ORD-4106,7018,wechat,pending,12/25/2025
PAY-330,ORD-9748,10607,wechat,SUCCESS,2025-11-13
PAY-331,ORD-11658,18895,alipay,success,04/23/2025
PAY-332,ORD-8141,"$13,469.00",card,pending,12/08/2025
PAY-333,ORD-14050,"4,747.00",COD,pending,11/28/2024
PAY-334,ORD-13977,3920,card,pending,02/14/2026
PAY-335,ORD-290,17177,wechat,pending,2025-12-10
PAY-336,ORD-8688,3766,wechat,pending,04/16/2025
PAY-337,ORD-11024,16123,alipay,success,24-11-2024
PAY-338,ORD-159,2114,COD,pending,23-09-2024
PAY-339,ORD-5343,153.00,card,pending,2024-07-17
PAY-340,ORD-9456,"10,070.00",card,success,04-07-2024
PAY-341,ORD-14097,17084,wechat,success,01-05-2024
PAY-342,ORD-14601,3123,COD,SUCCESS,2025-06-23
PAY-343,ORD-5421,6480,alipay,SUCCESS,2025-02-17
PAY-344,ORD-10300,"$5,161.00",alipay,pending,2025-01-22
PAY-345,ORD-9374,833.00,card,success,08-10-2026
PAY-346,ORD-4174,17206,COD,pending,2026-11-11
PAY-347,ORD-3959,18050,card,pending,07-02-2026
PAY-348,ORD-3147,7698,COD,pending,2026-08-18
PAY-349,ORD-13336,7402,card,pending,11/12/2026
PAY-350,ORD-9203,"18,382.00",card,failed,2025-08-10
PAY-351,ORD-12666,16913,wechat,SUCCESS,2025-03-19
PAY-352,ORD-9202,761,alipay,failed,02-08-2026
PAY-353,ORD-14301,"$5,107.00",alipay,success,2024-06-02
PAY-354,ORD-8918,5713,COD,SUCCESS,11/19/2025
PAY-355,ORD-3985,"$5,996.00",alipay,success,2025-02-09
PAY-356,ORD-3944,"7,731.00",card,SUCCESS,13-09-2025
PAY-357,ORD-5280,"$11,257.00",COD,SUCCESS,16-12-2026
PAY-358,ORD-4455,15653,alipay,SUCCESS,05-09-2025
PAY-359,ORD-4591,"$15,518.00",wechat,success,22-05-2024
PAY-360,ORD-6590,13586,wechat,SUCCESS,2024-03-10
PAY-361,ORD-2837,"18,746.00",wechat,pending,2025-04-24
PAY-362,ORD-9485,"14,833.00",COD,SUCCESS,11/17/2024
PAY-363,ORD-6236,"$4,936.00",COD,pending,03-04-2025
PAY-364,ORD-13607,"$15,480.00",COD,SUCCESS,06/16/2025
PAY-365,ORD-14575,"16,860.00",COD,success,27-03-2026
PAY-366,ORD-10965,2468,COD,pending,2024-06-03
PAY-367,ORD-11928,2223,alipay,success,07/10/2026
PAY-368,ORD-658,"$17,197.00",alipay,pending,01/10/2026
PAY-369,ORD-4183,15960,COD,SUCCESS,2025-09-03
PAY-370,ORD-3079,11807,wechat,success,12-12-2026
PAY-371,ORD-3670,"$6,836.00",COD,SUCCESS,13-06-2026
PAY-372,ORD-5828,$104.00,card,SUCCESS,07-04-2026
PAY-373,ORD-2542,"11,468.00",COD,pending,25-06-2026
PAY-374,ORD-7096,18364,COD,SUCCESS,2024-08-13
PAY-375,ORD-5046,1265,alipay,SUCCESS,2025-09-24
PAY-376,ORD-11796,"$8,200.00",wechat,success,2026-02-14
PAY-377,ORD-5994,"$3,831.00",alipay,SUCCESS,2024-04-20
PAY-378,ORD-5621,7752,COD,failed,2024-04-19
PAY-379,ORD-8005,7588,wechat,success,15-04-2026
PAY-380,ORD-1144,15817,alipay,pending,09/23/2024
PAY-381,ORD-834,9555,wechat,failed,21-12-2024
PAY-382,ORD-11979,"$5,258.00",card,pending,10-03-2025
PAY-383,ORD-1084,14169,card,pending,2024-06-03
PAY-384,ORD-5824,"$10,881.00",wechat,pending,2024-04-26
PAY-385,ORD-7730,5678,card,success,2026-12-19
PAY-386,ORD-12484,"$5,453.00",alipay,pending,2024-03-14
PAY-387,ORD-2594,2718,COD,SUCCESS,2026-04-16
PAY-388,ORD-13875,"$17,870.00",COD,pending,04/27/2024
PAY-389,ORD-10520,5405,alipay,SUCCESS,2024-12-27
PAY-390,ORD-14047,17760,wechat,SUCCESS,2025-05-17
PAY-391,ORD-14400,"9,402.00",alipay,SUCCESS,06/16/2024
PAY-392,ORD-8253,"12,487.00",COD,pending,02/07/2025
PAY-393,ORD-8205,"8,591.00",COD,success,25-03-2026
PAY-394,ORD-2769,16630,card,success,26-08-2024
PAY-395,ORD-14596,"$18,317.00",alipay,SUCCESS,2026-07-13
PAY-396,ORD-12387,15691,alipay,failed,2026-10-02
PAY-397,ORD-12288,15810,COD,SUCCESS,2024-09-27
PAY-398,ORD-7082,"$7,335.00",COD,pending,2026-04-03
PAY-399,ORD-5868,"$3,922.00",wechat,success,07/24/2025
PAY-400,ORD-5194,4185,card,success,22-01-2025
PAY-401,ORD-3256,"$14,376.00",wechat,success,2024-01-24
PAY-402,ORD-7447,4681,wechat,success,04/10/2026
PAY-403,ORD-10382,"$16,580.00",card,pending,18-01-2025
PAY-404,ORD-3825,"$3,790.00",COD,success,03/07/2024
PAY-405,ORD-13902,"$17,571.00",card,pending,2025-06-13
PAY-406,ORD-2393,1025,wechat,success,2024-03-10
PAY-407,ORD-11269,"$11,663.00",alipay,SUCCESS,2024-11-04
PAY-408,ORD-249,"$11,921.00",COD,SUCCESS,2026-04-05
PAY-409,ORD-11997,"1,221.00",alipay,success,06-12-2024
PAY-410,ORD-13572,"10,575.00",wechat,success,03/03/2024
PAY-411,ORD-998,13607,card,success,2024-06-06
PAY-412,ORD-9194,12378,card,SUCCESS,02/28/2026
PAY-413,ORD-9828,18267,wechat,success,03/05/2024
PAY-414,ORD-13685,805,wechat,pending,2025-08-11
PAY-415,ORD-4686,"$17,040.00",wechat,SUCCESS,2024-04-12
PAY-416,ORD-13689,7659,COD,pending,03-04-2026
PAY-417,ORD-6502,5561,wechat,SUCCESS,14-12-2026
PAY-418,ORD-3374,2086,card,SUCCESS,08-08-2026
PAY-419,ORD-7999,13185,card,success,2026-05-04
PAY-420,ORD-4570,"$19,969.00",COD,success,08/27/2024
PAY-421,ORD-14148,"$6,640.00",alipay,pending,2024-10-28
PAY-422,ORD-10470,7458,alipay,success,2026-08-01
PAY-423,ORD-2985,5888,card,pending,13-11-2024
PAY-424,ORD-12728,"$16,374.00",alipay,SUCCESS,2026-09-18
PAY-425,ORD-8464,5351,card,SUCCESS,20-06-2026
PAY-426,ORD-13422,18976,alipay,SUCCESS,2026-04-15
PAY-427,ORD-14341,14815,wechat,pending,06/22/2025
PAY-428,ORD-11808,19121,alipay,success,10/22/2025
PAY-429,ORD-5824,"$18,133.00",alipay,pending,2025-03-04
PAY-430,ORD-2752,245.00,wechat,SUCCESS,2025-07-16
