review_id,product_id,customer_id,rating,comment,review_date
RV-41,R-1440,CUST-4422,★4,性价比高,2025-12-08
RV-42,REF-1776,CUST-62,5,差评,2026-04-28
RV-43,REF-1171,CUST-2250,3,物流慢,05/19/2025
RV-44,R-1188,CUST-4451,3,,11/21/2024
RV-45,MD-1358,CUST-1337,★4,性价比高,2025-07-20
RV-46,R-1711,CUST-2457,3,,2025-01-07
RV-47,SKU1381,CUST-3987,★4,一般,2025-10-28
RV-48,R-1233,CUST-368,5,,01/02/2026
RV-49,SKU1281,CUST-2431,4,很好,06/16/2024
RV-50,REF-1331,CUST-3311,5,物流慢,15-02-2026
RV-51,MD-1305,CUST-1732,★5,,2024-01-26
RV-52,R-1206,CUST-1486,1,物流慢,03/16/2026
RV-53,SKU1056,CUST-267,1,差评,04/23/2026
RV-54,SKU1574,CUST-2546,1,,2024-05-07
RV-55,MD-1659,CUST-1908,4,一般,2024-03-24
RV-56,R-1262,CUST-3965,★5,很好,07/24/2024
RV-57,SKU1601,CUST-497,2,性价比高,05-10-2026
RV-58,MD-1772,CUST-475,2,性价比高,09/28/2024
RV-59,SKU1451,CUST-534,★5,,2025-11-23
RV-60,SKU1160,CUST-625,★5,,2024-07-13
RV-61,MD-1689,CUST-3902,3,,2024-12-25
RV-62,MD-1127,CUST-2987,1,,18-01-2026
RV-63,MD-1729,CUST-4699,2,,08/09/2025
RV-64,R-1388,CUST-3900,★5,,05/12/2025
RV-65,MD-1181,CUST-273,1,,2024-05-24
RV-66,SKU1066,CUST-2800,★4,性价比高,2024-08-11
RV-67,R-1015,CUST-1522,★4,很好,08/22/2026
RV-68,SKU1653,CUST-1723,4,,13-04-2025
RV-69,REF-1102,CUST-2314,1,,2025-06-08
RV-70,R-1130,CUST-4686,4,一般,2025-03-07
RV-71,MD-1558,CUST-2716,★4,,2026-02-26
RV-72,SKU1593,CUST-3977,1,,2024-10-06
RV-73,SKU1623,CUST-3430,★5,,12/19/2026
RV-74,R-1104,CUST-1235,2,,2026-06-11
RV-75,REF-1706,CUST-3713,1,,2026-02-05
RV-76,R-1637,CUST-3342,5,,2025-07-23
RV-77,MD-1581,CUST-3939,★5,物流慢,11/21/2025
RV-78,SKU1002,CUST-3927,5,,06-11-2026
RV-79,MD-1789,CUST-2181,4,很好,2024-04-28
RV-80,REF-1219,CUST-2586,2,,2025-11-07
RV-81,SKU1002,CUST-4856,5,,06/14/2026
RV-82,MD-1374,CUST-1825,2,,2026-08-25
RV-83,MD-1539,CUST-4859,2,,07-05-2025
RV-84,MD-1789,CUST-2114,3,性价比高,07/10/2024
RV-85,REF-1257,CUST-668,★4,,2026-03-05
RV-86,SKU1423,CUST-4590,3,,2024-09-17
RV-87,SKU1070,CUST-3472,5,很好,2025-01-04
RV-88,REF-1012,CUST-1141,5,性价比高,2024-02-10
RV-89,SKU1472,CUST-3185,3,性价比高,12-01-2026
RV-90,MD-1679,CUST-1607,★4,,2024-05-06
RV-91,MD-1421,CUST-689,5,物流慢,2026-12-11
RV-92,MD-1224,CUST-662,3,性价比高,06/26/2026
RV-93,SKU1046,CUST-56,2,,2024-12-06
RV-94,SKU1310,CUST-4541,★5,,2025-11-14
RV-95,R-1340,CUST-3020,3,,08/20/2024
RV-96,REF-1264,CUST-3593,★5,,05/25/2026
RV-97,SKU1368,CUST-40,2,很好,2025-07-20
RV-98,R-1437,CUST-3213,4,性价比高,2026-11-17
RV-99,SKU1593,CUST-2852,★4,,2026-03-02
RV-100,MD-1493,CUST-3766,4,物流慢,2026-10-19
RV-101,REF-1292,CUST-2025,★4,,03/10/2024
RV-102,R-1034,CUST-503,5,差评,2024-08-14
RV-103,REF-1608,CUST-3842,2,,2026-12-01
RV-104,MD-1466,CUST-4569,2,很好,2025-08-03
RV-105,SKU1367,CUST-3528,4,,2025-09-14
RV-106,R-1503,CUST-2695,2,性价比高,2026-01-26
RV-107,MD-1689,CUST-2698,2,,21-09-2026
RV-108,REF-1307,CUST-495,3,,2026-04-09
RV-109,REF-1121,CUST-299,1,,07/07/2025
RV-110,MD-1683,CUST-2165,★5,性价比高,13-02-2025
RV-111,MD-1333,CUST-2413,3,差评,26-12-2026
RV-112,R-1791,CUST-3591,★5,,09/20/2024
RV-113,REF-1068,CUST-3376,3,,2025-12-11
RV-114,R-1159,CUST-3626,★5,很好,09-08-2025
RV-115,R-1587,CUST-2048,5,,2025-12-24
RV-116,SKU1265,CUST-1761,★4,物流慢,2026-02-01
RV-117,R-1188,CUST-1418,4,,01/21/2024
RV-118,SKU1260,CUST-34,4,,10/10/2024
RV-119,SKU1084,CUST-755,4,,15-03-2026
RV-120,SKU1396,CUST-3005,5,,2025-08-20
RV-121,REF-1162,CUST-2016,★4,很好,2026-12-08
RV-122,MD-1682,CUST-3038,4,,10/11/2025
RV-123,REF-1541,CUST-3962,3,,10-06-2025
RV-124,R-1267,CUST-4585,2,,2025-05-03
RV-125,MD-1246,CUST-1786,4,性价比高,08/20/2026
RV-126,R-1708,CUST-4597,1,,2025-03-07
RV-127,REF-1795,CUST-1306,★4,一般,11/03/2025
RV-128,R-1690,CUST-4610,3,很好,2024-04-13
RV-129,SKU1327,CUST-1165,3,一般,2024-01-03
RV-130,MD-1553,CUST-1335,5,一般,22-07-2026
RV-131,R-1188,CUST-2222,5,一般,2024-08-07
RV-132,REF-1745,CUST-2678,★5,,04/01/2025
RV-133,R-1146,CUST-3595,3,,02/17/2026
RV-134,SKU1569,CUST-43,3,很好,2024-10-01
RV-135,REF-1654,CUST-286,★5,物流慢,02/26/2025
RV-136,SKU1056,CUST-3601,2,性价比高,2025-01-23
RV-137,REF-1361,CUST-1899,★4,,03/18/2024
RV-138,MD-1659,CUST-1328,5,,2025-12-21
RV-139,SKU1620,CUST-3719,3,,2024-09-02
RV-140,SKU1406,CUST-1074,★4,,17-05-2026
RV-141,R-1229,CUST-3821,2,差评,2024-04-20
RV-142,SKU1452,CUST-1371,2,一般,05-01-2026
RV-143,R-1385,CUST-4193,3,物流慢,2024-10-16
RV-144,R-1448,CUST-3100,5,,2025-10-13
RV-145,REF-1608,CUST-1551,1,,28-07-2025
RV-146,SKU1281,CUST-1776,★4,,2025-02-03
RV-147,MD-1754,CUST-977,5,,05/28/2025
RV-148,REF-1719,CUST-3246,2,很好,2024-10-26
RV-149,SKU1160,CUST-1759,★4,一般,02/11/2025
RV-150,SKU1160,CUST-650,2,,2024-04-13
RV-151,SKU1610,CUST-365,★4,性价比高,02/10/2024
RV-152,SKU1241,CUST-780,★5,物流慢,12/24/2026
RV-153,R-1132,CUST-808,★4,很好,2024-05-15
RV-154,SKU1281,CUST-2485,★4,,04/26/2026
RV-155,SKU1277,CUST-29,2,很好,02-09-2025
RV-156,SKU1456,CUST-2055,5,,2026-05-12
RV-157,MD-1227,CUST-3226,★4,,2025-12-26
RV-158,SKU1456,CUST-4759,2,,2024-11-13
RV-159,REF-1276,CUST-296,1,,2026-05-19
RV-160,REF-1775,CUST-2352,2,性价比高,2025-01-22
RV-161,SKU1024,CUST-3410,2,,27-01-2025
RV-162,R-1237,CUST-2610,★5,,2025-03-03
RV-163,SKU1298,CUST-2432,1,很好,11/18/2024
RV-164,MD-1224,CUST-1831,★4,差评,2025-08-18
RV-165,R-1586,CUST-1976,★5,,2024-02-05
RV-166,MD-1127,CUST-4939,3,,2025-09-03
RV-167,REF-1775,CUST-2744,★4,一般,2024-06-08
RV-168,REF-1529,CUST-3092,5,,12-02-2024
RV-169,R-1288,CUST-3416,5,,2025-12-10
RV-170,REF-1540,CUST-2857,★5,,2024-12-02
RV-171,MD-1659,CUST-2020,★5,,2024-12-09
RV-172,REF-1624,CUST-1342,2,,2025-01-18
RV-173,R-1440,CUST-2798,2,,2024-01-22
RV-174,MD-1551,CUST-535,3,很好,2025-10-06
RV-175,MD-1200,CUST-2303,3,,09/06/2024
RV-176,R-1239,CUST-4672,1,,12/20/2026
RV-177,MD-1410,CUST-2730,★5,,09/25/2026
RV-178,R-1660,CUST-3116,2,很好,20-03-2024
RV-179,SKU1675,CUST-864,2,,2025-06-09
RV-180,REF-1214,CUST-2791,1,一般,01/22/2026
RV-181,REF-1083,CUST-2831,4,,2025-02-17
RV-182,REF-1075,CUST-2664,5,差评,2024-06-06
RV-183,SKU1773,CUST-3636,5,差评,18-06-2026
RV-184,SKU1032,CUST-89,3,很好,2026-10-21
RV-185,SKU1768,CUST-1987,5,一般,2026-05-26
RV-186,SKU1106,CUST-3013,★4,很好,2024-06-12
RV-187,SKU1183,CUST-3114,4,,2025-12-06
RV-188,R-1590,CUST-615,2,很好,2024-04-25
RV-189,REF-1734,CUST-3706,1,,2024-06-21
RV-190,R-1301,CUST-8,2,一般,2024-06-18
RV-191,MD-1683,CUST-2574,2,差评,01/06/2026
RV-192,MD-1142,CUST-441,★5,一般,01/27/2026
RV-193,MD-1664,CUST-3546,2,物流慢,07/09/2026
RV-194,SKU1508,CUST-3730,4,,05/24/2025
RV-195,SKU1784,CUST-19,4,物流慢,03/14/2025
RV-196,SKU1735,CUST-1910,4,物流慢,11-07-2025
RV-197,REF-1535,CUST-3924,1,,03-11-2024
RV-198,REF-1788,CUST-982,5,一般,05/11/2026
RV-199,MD-1156,CUST-4515,3,,2025-04-01
RV-200,R-1377,CUST-2941,4,物流慢,2025-05-13
RV-201,SKU1370,CUST-3013,4,,2025-02-13
RV-202,MD-1638,CUST-1642,★4,差评,24-08-2024
RV-203,SKU1084,CUST-4084,4,,09/08/2025
RV-204,REF-1514,CUST-3151,2,,03/25/2025
RV-205,MD-1061,CUST-3825,5,一般,2025-11-06
RV-206,SKU1329,CUST-4578,3,,2025-11-25
RV-207,REF-1629,CUST-3192,★4,,07/27/2025
RV-208,SKU1254,CUST-1476,4,,11/03/2025
RV-209,SKU1059,CUST-4459,2,一般,02-11-2025
RV-210,SKU1575,CUST-4539,★4,性价比高,11/09/2024
RV-211,SKU1251,CUST-1963,2,,03/23/2025
RV-212,MD-1679,CUST-4204,3,物流慢,2025-06-06
RV-213,REF-1166,CUST-2390,3,,01/23/2026
RV-214,R-1132,CUST-2729,5,物流慢,2026-04-01
RV-215,MD-1798,CUST-4680,3,,04/16/2025
RV-216,REF-1276,CUST-4690,3,,2024-01-14
RV-217,R-1159,CUST-3312,★5,性价比高,2024-01-18
RV-218,MD-1702,CUST-4760,2,,2024-09-14
RV-219,REF-1155,CUST-3968,2,性价比高,2024-09-12
RV-220,REF-1226,CUST-4339,3,物流慢,2024-07-27
RV-221,REF-1540,CUST-123,5,很好,03/11/2026
RV-222,SKU1570,CUST-505,3,,2026-08-01
RV-223,R-1418,CUST-2642,★4,,28-08-2025
RV-224,MD-1497,CUST-7,5,,05/22/2026
RV-225,R-1203,CUST-506,★5,,2024-12-28
RV-226,REF-1684,CUST-2253,★4,,07/20/2024
RV-227,SKU1341,CUST-746,2,很好,2026-11-22
RV-228,MD-1411,CUST-4582,3,,27-11-2026
RV-229,R-1771,CUST-3899,3,,2024-09-17
RV-230,REF-1092,CUST-1224,★4,,26-10-2024
RV-231,SKU1691,CUST-1492,4,,2026-07-12
RV-232,MD-1043,CUST-4118,4,一般,2024-03-10
RV-233,REF-1382,CUST-3641,5,,2026-10-13
RV-234,SKU1066,CUST-3433,2,,08/21/2025
RV-235,MD-1143,CUST-4606,3,,2025-07-06
RV-236,SKU1153,CUST-1097,1,性价比高,2026-05-25
RV-237,REF-1783,CUST-4897,1,一般,2025-09-03
RV-238,REF-1287,CUST-3308,★4,差评,2026-04-07
RV-239,R-1016,CUST-2121,1,,05/23/2026
RV-240,MD-1227,CUST-1399,4,,01-09-2024
RV-241,SKU1451,CUST-3559,4,,11/16/2025
RV-242,SKU1070,CUST-4353,★4,,07-04-2025
RV-243,REF-1407,CUST-4604,★5,,11/10/2026
RV-244,R-1019,CUST-340,4,性价比高,12/05/2025
RV-245,SKU1603,CUST-420,2,一般,11/19/2025
RV-246,REF-1269,CUST-3532,1,差评,04/17/2025
RV-247,R-1223,CUST-4296,3,,08/13/2024
RV-248,MD-1504,CUST-2543,1,很好,08/08/2024
RV-249,MD-1131,CUST-1893,3,物流慢,09/19/2025
RV-250,SKU1172,CUST-69,4,一般,05/14/2024
RV-251,R-1297,CUST-2170,1,差评,11-12-2026
RV-252,SKU1569,CUST-3815,★4,很好,2024-04-16
RV-253,R-1749,CUST-2810,★4,,09/03/2025
RV-254,R-1025,CUST-3866,★4,,2026-11-15
RV-255,REF-1307,CUST-2284,2,,28-04-2024
RV-256,MD-1417,CUST-2291,5,,2024-01-12
RV-257,R-1751,CUST-135,5,性价比高,2024-03-04
RV-258,REF-1054,CUST-3185,5,差评,01/04/2026
RV-259,REF-1393,CUST-75,★4,,08-01-2025
RV-260,R-1295,CUST-4877,4,很好,2025-10-16
RV-261,SKU1619,CUST-3822,5,差评,2024-03-15
RV-262,SKU1603,CUST-2269,★5,很好,07/19/2025
RV-263,R-1646,CUST-408,5,,2025-09-09
RV-264,REF-1279,CUST-212,5,,2025-12-27
RV-265,SKU1218,CUST-654,4,很好,2026-11-15
RV-266,REF-1431,CUST-3275,★5,很好,15-05-2026
RV-267,REF-1074,CUST-3688,2,一般,03/19/2025
RV-268,REF-1081,CUST-35,4,,2024-09-15
RV-269,R-1047,CUST-4907,4,,20-09-2024
RV-270,MD-1487,CUST-412,4,物流慢,2024-10-15
RV-271,R-1180,CUST-4237,★5,差评,08/23/2025
RV-272,REF-1294,CUST-466,1,,18-12-2025
RV-273,SKU1574,CUST-3742,5,,01/07/2025
RV-274,REF-1300,CUST-2156,1,性价比高,2026-11-08
RV-275,MD-1235,CUST-4994,★5,,07/13/2026
RV-276,REF-1268,CUST-2004,★5,,2024-08-05
RV-277,SKU1241,CUST-4912,★4,,10/22/2025
RV-278,MD-1284,CUST-1280,3,一般,2024-09-16
RV-279,REF-1531,CUST-4170,★5,一般,2025-08-02
RV-280,REF-1075,CUST-2617,3,,21-04-2025
RV-281,REF-1037,CUST-274,2,性价比高,06/28/2026
RV-282,R-1563,CUST-1261,4,一般,09-11-2025
RV-283,R-1315,CUST-471,2,很好,02/23/2025
RV-284,REF-1136,CUST-3504,★4,,12/15/2026
RV-285,SKU1620,CUST-1038,5,物流慢,2024-06-04
RV-286,MD-1485,CUST-2409,★4,物流慢,2024-09-04
RV-287,REF-1450,CUST-3271,5,差评,2025-04-14
RV-288,MD-1390,CUST-1086,4,,2025-09-08
RV-289,REF-1338,CUST-2332,3,一般,11/13/2025
RV-290,SKU1416,CUST-131,5,差评,10/08/2025
RV-291,R-1119,CUST-3314,★4,性价比高,15-04-2024
RV-292,REF-1537,CUST-1058,3,,2024-09-18
RV-293,R-1751,CUST-4784,5,物流慢,2024-09-04
RV-294,R-1000,CUST-1922,5,,02/22/2025
RV-295,R-1708,CUST-1235,4,,2025-06-03
RV-296,SKU1271,CUST-4604,3,,2025-02-23
RV-297,REF-1268,CUST-3199,2,,11-02-2026
RV-298,REF-1074,CUST-27,1,,2024-08-08
RV-299,MD-1458,CUST-3002,1,,05/27/2025
RV-300,R-1259,CUST-2923,3,很好,2026-02-22
RV-301,R-1337,CUST-3684,★5,,2024-02-13
RV-302,MD-1682,CUST-2218,3,,03/15/2026
RV-303,REF-1661,CUST-3716,★5,,2024-11-28
RV-304,MD-1151,CUST-923,5,,2025-01-07
RV-305,SKU1218,CUST-978,2,一般,2024-07-03
RV-306,MD-1516,CUST-2770,1,性价比高,09/05/2025
RV-307,MD-1539,CUST-1783,★5,物流慢,09-07-2026
RV-308,R-1082,CUST-1409,2,很好,11/19/2025
RV-309,MD-1142,CUST-4735,4,一般,27-11-2025
RV-310,SKU1076,CUST-1011,3,差评,08/21/2025
RV-311,MD-1442,CUST-1006,2,,05/11/2026
RV-312,R-1435,CUST-3305,5,性价比高,06/02/2025
RV-313,MD-1270,CUST-3340,4,,2025-07-15
RV-314,MD-1458,CUST-4418,5,性价比高,2024-03-03
RV-315,MD-1761,CUST-421,★4,很好,10/07/2024
RV-316,SKU1673,CUST-4605,3,差评,22-10-2025
RV-317,R-1430,CUST-3365,3,性价比高,03/13/2025
RV-318,SKU1357,CUST-4711,★5,,2024-10-18
RV-319,REF-1626,CUST-3718,5,物流慢,01/28/2026
RV-320,MD-1524,CUST-2675,★4,,2025-04-06
RV-321,REF-1057,CUST-72,★5,物流慢,2024-04-26
RV-322,SKU1453,CUST-4967,3,差评,08/14/2025
RV-323,MD-1127,CUST-2589,2,一般,22-08-2026
RV-324,R-1657,CUST-2569,2,,03/05/2025
RV-325,SKU1148,CUST-3160,5,差评,08/27/2025
RV-326,SKU1673,CUST-3969,★4,一般,07/15/2026
RV-327,MD-1089,CUST-2278,5,性价比高,06-05-2025
RV-328,R-1182,CUST-2086,2,,01-06-2024
RV-329,MD-1447,CUST-420,3,差评,09-05-2025
RV-330,R-1512,CUST-3910,5,性价比高,01/24/2026
RV-331,MD-1374,CUST-1158,5,,06/15/2026
RV-332,MD-1351,CUST-4948,★5,一般,2024-11-27
RV-333,R-1725,CUST-2017,★4,一般,2025-12-23
RV-334,REF-1576,CUST-3051,3,很好,09/11/2024
RV-335,MD-1087,CUST-4584,★5,,11/20/2026
RV-336,SKU1713,CUST-111,2,性价比高,2026-08-04
RV-337,R-1353,CUST-3704,3,性价比高,27-09-2024
RV-338,MD-1052,CUST-527,5,很好,02-06-2025
RV-339,R-1035,CUST-2331,★5,差评,08/24/2025
RV-340,REF-1401,CUST-2638,1,,2026-04-15
RV-341,R-1532,CUST-1221,5,,01/07/2025
RV-342,R-1646,CUST-286,★4,,02/12/2026
RV-343,R-1435,CUST-390,3,,2026-03-01
RV-344,R-1203,CUST-1088,1,,2025-09-27
RV-345,SKU1134,CUST-101,★4,,2025-04-15
RV-346,MD-1306,CUST-592,★5,,19-09-2025
RV-347,SKU1040,CUST-4203,2,一般,09/06/2026
RV-348,MD-1716,CUST-3650,5,,10/04/2026
RV-349,REF-1155,CUST-3440,4,很好,2026-12-09
RV-350,SKU1381,CUST-828,1,,2026-03-06
RV-351,REF-1075,CUST-2665,2,很好,2025-07-07
RV-352,REF-1695,CUST-1120,★5,,2025-04-02
RV-353,SKU1569,CUST-1381,★5,性价比高,04/10/2026
RV-354,REF-1795,CUST-4163,★4,,09/03/2024
RV-355,MD-1006,CUST-4379,2,很好,13-05-2024
RV-356,MD-1436,CUST-1144,2,一般,2024-05-25
RV-357,REF-1566,CUST-1738,1,,2026-10-25
RV-358,MD-1558,CUST-162,★4,,05/05/2026
RV-359,MD-1505,CUST-4140,1,,19-12-2026
RV-360,MD-1202,CUST-3968,3,很好,28-05-2025
RV-361,R-1228,CUST-3908,4,,2025-10-16
RV-362,SKU1477,CUST-2431,4,,2026-09-18
RV-363,SKU1599,CUST-834,1,,2025-04-08
RV-364,R-1418,CUST-4880,1,,06/06/2025
RV-365,R-1523,CUST-1911,2,差评,2024-02-15
RV-366,REF-1661,CUST-195,4,,2025-01-07
RV-367,SKU1152,CUST-351,★5,,2024-07-28
RV-368,SKU1455,CUST-3578,1,,2026-05-09
RV-369,SKU1271,CUST-582,4,,2025-12-19
RV-370,REF-1699,CUST-4241,3,,2024-04-10
RV-371,MD-1299,CUST-3618,★5,物流慢,13-10-2025
RV-372,R-1001,CUST-908,1,,2024-05-27
RV-373,SKU1620,CUST-962,★5,,2024-06-09
RV-374,MD-1434,CUST-1614,1,,2024-04-19
RV-375,SKU1031,CUST-2280,5,,12/09/2026
RV-376,SKU1413,CUST-1687,2,物流慢,08/09/2026
RV-377,R-1108,CUST-1490,5,性价比高,2026-12-17
RV-378,REF-1685,CUST-1523,1,,24-12-2024
RV-379,REF-1701,CUST-1617,3,,22-09-2026
RV-380,SKU1454,CUST-2283,★4,,2026-10-03
RV-381,R-1499,CUST-1187,4,一般,12/17/2025
RV-382,R-1047,CUST-1242,4,差评,2025-05-18
RV-383,REF-1101,CUST-1363,5,很好,2025-10-10
RV-384,REF-1352,CUST-4410,2,,07/13/2026
RV-385,SKU1031,CUST-4859,★4,,2025-02-02
RV-386,R-1544,CUST-440,5,性价比高,06/06/2025
RV-387,MD-1615,CUST-3880,4,,2026-01-11
RV-388,REF-1365,CUST-1223,★5,,03/02/2024
RV-389,R-1648,CUST-2259,2,,05/14/2025
RV-390,REF-1283,CUST-108,★4,,2025-01-28
RV-391,SKU1574,CUST-4281,★4,,04-07-2025
RV-392,R-1290,CUST-1197,2,,2025-11-11
RV-393,REF-1068,CUST-415,★4,一般,2024-11-18
RV-394,SKU1474,CUST-183,3,物流慢,2025-01-09
RV-395,REF-1359,CUST-4461,★5,差评,05/04/2025
RV-396,SKU1451,CUST-1822,★5,很好,2024-11-13
RV-397,SKU1310,CUST-4865,4,一般,20-05-2024
RV-398,SKU1072,CUST-4251,★5,很好,2025-08-01
RV-399,REF-1775,CUST-3577,2,,11-07-2026
RV-400,MD-1131,CUST-2069,4,,12/09/2026
RV-401,SKU1242,CUST-3200,2,,07/03/2026
RV-402,SKU1134,CUST-2604,3,物流慢,2025-06-20
RV-403,REF-1382,CUST-3334,1,很好,07/07/2026
RV-404,MD-1492,CUST-1046,3,,2024-12-24
RV-405,R-1703,CUST-4320,4,性价比高,11/23/2026
RV-406,R-1278,CUST-4367,3,差评,08-10-2024
RV-407,REF-1068,CUST-959,3,,2026-04-01
RV-408,R-1532,CUST-857,5,性价比高,24-04-2024
RV-409,R-1312,CUST-4628,4,物流慢,05/18/2026
RV-410,MD-1717,CUST-3529,2,,2026-11-20
RV-411,R-1598,CUST-643,★4,,2024-01-11
RV-412,SKU1251,CUST-2744,5,差评,10/18/2025
RV-413,REF-1307,CUST-2706,1,,2025-05-25
RV-414,REF-1382,CUST-4102,★5,,2026-10-27
RV-415,SKU1723,CUST-4856,4,,2024-07-18
RV-416,MD-1284,CUST-2489,★4,,03/02/2026
RV-417,SKU1310,CUST-22,3,,12/12/2024
RV-418,REF-1483,CUST-663,★5,,10/01/2025
RV-419,MD-1030,CUST-1646,★4,,2025-09-18
RV-420,SKU1452,CUST-3444,1,,2025-09-16
RV-421,R-1130,CUST-4576,★5,,07/16/2026
RV-422,R-1175,CUST-2662,1,,12/28/2025
RV-423,SKU1424,CUST-3596,1,,11/20/2025
RV-424,MD-1258,CUST-3622,5,,11/23/2025
RV-425,MD-1097,CUST-2913,3,,21-06-2025
RV-426,R-1657,CUST-1951,4,,2025-03-04
RV-427,SKU1272,CUST-1220,1,性价比高,09/04/2025
RV-428,R-1182,CUST-3527,2,,04/09/2025
RV-429,MD-1087,CUST-1083,4,,20-12-2026
RV-430,R-1124,CUST-974,4,很好,2026-08-10
RV-431,MD-1638,CUST-632,3,差评,2025-10-15
RV-432,MD-1147,CUST-3804,4,物流慢,02/09/2026
RV-433,REF-1026,CUST-458,4,,2026-12-23
RV-434,SKU1762,CUST-2581,2,差评,12/01/2024
RV-435,SKU1547,CUST-4910,3,差评,04/19/2024
RV-436,REF-1622,CUST-3234,4,,2025-05-23
RV-437,MD-1249,CUST-149,1,很好,02/15/2024
RV-438,R-1014,CUST-3991,1,,08/26/2025
RV-439,REF-1266,CUST-1045,3,,08/26/2026
RV-440,R-1698,CUST-1596,3,,2024-08-15
RV-441,R-1606,CUST-500,★4,,2024-09-28
RV-442,R-1146,CUST-2432,1,很好,2026-04-05
RV-443,MD-1487,CUST-1694,4,,2024-09-05
RV-444,REF-1491,CUST-799,4,一般,18-08-2024
RV-445,SKU1766,CUST-609,3,差评,05/12/2024
RV-446,SKU1277,CUST-4548,5,差评,16-10-2024
RV-447,R-1731,CUST-879,2,,03/25/2025
RV-448,MD-1411,CUST-2820,★5,,2025-07-20
RV-449,REF-1382,CUST-1129,2,一般,08/06/2024
RV-450,SKU1750,CUST-2565,★5,性价比高,2024-04-09
RV-451,MD-1006,CUST-2529,★5,,2024-11-20
RV-452,R-1259,CUST-955,1,物流慢,01/14/2025
RV-453,REF-1221,CUST-4111,1,性价比高,2026-04-25
RV-454,REF-1701,CUST-4796,5,,06-09-2026
RV-455,R-1577,CUST-1681,★5,性价比高,2025-04-18
RV-456,MD-1375,CUST-367,★4,差评,11/02/2026
RV-457,REF-1311,CUST-622,4,,2025-04-15
RV-458,R-1494,CUST-2000,★5,差评,2026-10-13
RV-459,R-1646,CUST-1732,★4,,10/02/2024
RV-460,R-1494,CUST-2958,5,物流慢,07/27/2024
RV-461,MD-1030,CUST-3291,★5,物流慢,05/10/2026
RV-462,SKU1070,CUST-4974,★5,差评,04/24/2024
RV-463,REF-1354,CUST-2014,2,,2025-06-20
RV-464,REF-1697,CUST-4330,2,性价比高,2024-08-16
RV-465,MD-1528,CUST-4348,3,物流慢,2026-10-01
RV-466,R-1678,CUST-4769,5,,2024-02-22
RV-467,R-1290,CUST-2541,4,差评,08/26/2025
RV-468,R-1328,CUST-4850,5,物流慢,2025-04-25
RV-469,MD-1421,CUST-3061,5,,2026-01-23
RV-470,REF-1793,CUST-3485,1,,2026-06-18
RV-471,R-1657,CUST-1772,1,差评,11-09-2025
RV-472,SKU1198,CUST-1428,★4,,2026-01-22
RV-473,MD-1465,CUST-3429,5,一般,01/12/2024
RV-474,MD-1409,CUST-438,5,,2024-02-20
RV-475,MD-1411,CUST-3055,★4,,2025-09-22
RV-476,R-1296,CUST-2629,★5,差评,08/17/2024
RV-477,R-1027,CUST-544,1,性价比高,11/11/2026
RV-478,R-1787,CUST-2263,1,很好,2024-07-10
