item_id,order_id,product_id,quantity,unit_price,subtotal
OI-55,ORD-8508,R-1705,5,"$5,012.00","$7,027.00"
OI-56,ORD-3194,REF-1546,8,4 134,"5 293,00"
OI-57,ORD-2465,SKU1621,9,2108,45929
OI-58,ORD-13836,REF-1507,7,"$1,222.00","30 729,00"
OI-59,ORD-554,REF-1629,10,"4 189,00",11314
OI-60,ORD-6243,R-1039,4,3999,"$10,912.00"
OI-61,ORD-8383,R-1014,6,"5 037,00","$15,054.00"
OI-62,ORD-10968,REF-1256,4,$795.00,17858
OI-63,ORD-13274,REF-1777,7,"2 680,00",43 337
OI-64,ORD-14661,SKU1341,2,4793,"25 385,00"
OI-65,ORD-2713,REF-1268,1,1633,45193
OI-66,ORD-14181,MD-1732,7,1 918,18731
OI-67,ORD-9080,MD-1557,8,"5 170,00","$19,594.00"
OI-68,ORD-12798,REF-1378,7,"$1,747.00",24986
OI-69,ORD-4487,R-1648,7,4317,"$17,922.00"
OI-70,ORD-3718,R-1598,9,"$1,261.00",21002
OI-71,ORD-7743,MD-1006,10,5081,"$1,404.00"
OI-72,ORD-5835,REF-1009,2,3056,29109
OI-73,ORD-14102,R-1328,10,"$3,385.00",34824
OI-74,ORD-14786,SKU1343,1,609,"$27,940.00"
OI-75,ORD-10413,MD-1502,6,"$3,857.00",45 590
OI-76,ORD-4072,R-1050,9,$517.00,1053
OI-77,ORD-14701,SKU1619,1,2435,"$19,129.00"
OI-78,ORD-8259,MD-1061,8,5199,"$26,650.00"
OI-79,ORD-3284,R-1206,5,5065,9945
OI-80,ORD-11636,REF-1797,8,$572.00,26412
OI-81,ORD-1200,MD-1411,9,"$2,525.00",34884
OI-82,ORD-11289,R-1618,6,226,38368
OI-83,ORD-9826,REF-1344,2,2 087,"$3,489.00"
OI-84,ORD-94,REF-1009,5,2016,36482
OI-85,ORD-7667,R-1595,2,"$2,888.00",39540
OI-86,ORD-9722,REF-1116,9,"526,00",34523
OI-87,ORD-10865,SKU1031,8,1057,"46 806,00"
OI-88,ORD-13476,MD-1538,1,"$4,581.00","$18,213.00"
OI-89,ORD-14466,SKU1029,2,"$4,394.00","$31,429.00"
OI-90,ORD-6834,MD-1643,8,3700,"36 278,00"
OI-91,ORD-2901,SKU1060,5,"$5,167.00","$28,993.00"
OI-92,ORD-11116,REF-1797,7,"$2,983.00",$253.00
OI-93,ORD-10449,R-1377,2,4164,27560
OI-94,ORD-5160,SKU1601,6,"$2,688.00",10 199
OI-95,ORD-11479,SKU1271,4,1802,25579
OI-96,ORD-7097,R-1648,4,979,"$40,027.00"
OI-97,ORD-1166,REF-1537,1,$92.00,6 360
OI-98,ORD-3466,R-1618,6,"$3,616.00",31457
OI-99,ORD-1108,R-1206,3,3690,31077
OI-100,ORD-1074,MD-1686,3,215,45 169
OI-101,ORD-12056,REF-1661,2,"$2,775.00",44771
OI-102,ORD-11386,MD-1501,4,4524,"$42,815.00"
OI-103,ORD-4321,SKU1201,9,1705,46 843
OI-104,ORD-5593,SKU1231,10,"$3,482.00","12 118,00"
OI-105,ORD-5203,REF-1162,2,3077,32788
OI-106,ORD-13312,R-1711,9,4 925,30897
OI-107,ORD-1950,MD-1303,1,2457,"42 455,00"
OI-108,ORD-8206,SKU1687,8,1 236,"$1,451.00"
OI-109,ORD-7785,REF-1352,10,"$1,257.00","$9,045.00"
OI-110,ORD-5406,MD-1145,4,2242,26086
OI-111,ORD-648,R-1018,4,$355.00,43830
OI-112,ORD-1957,SKU1480,5,3718,20238
OI-113,ORD-10649,SKU1555,2,3381,39885
OI-114,ORD-7895,SKU1508,1,2054,39482
OI-115,ORD-6283,SKU1085,7,1753,38 901
OI-116,ORD-1174,R-1157,4,2852,19 287
OI-117,ORD-14340,REF-1338,10,4248,43604
OI-118,ORD-14823,SKU1610,4,48,"$21,022.00"
OI-119,ORD-1000,REF-1432,8,3418,"34 757,00"
OI-120,ORD-1947,MD-1716,-2,1076,"27 008,00"
OI-121,ORD-11068,R-1016,4,"4 835,00",32144
OI-122,ORD-6161,R-1117,1,4211,"48 392,00"
OI-123,ORD-4394,REF-1604,10,"$4,832.00",49090
OI-124,ORD-6123,REF-1514,7,1512,47 371
OI-125,ORD-10301,MD-1427,7,"$1,675.00","$8,130.00"
OI-126,ORD-6176,MD-1107,2,"$3,196.00",8707
OI-127,ORD-9454,SKU1327,3,"772,00","$48,472.00"
OI-128,ORD-1643,R-1563,9,4712,3237
OI-129,ORD-8903,R-1771,2,3880,"$38,888.00"
OI-130,ORD-13141,SKU1396,7,138,38564
OI-131,ORD-13089,R-1120,9,719,"$49,916.00"
OI-132,ORD-2923,REF-1507,3,$15.00,"$20,919.00"
OI-133,ORD-6939,R-1003,1,5174,"$26,559.00"
OI-134,ORD-9519,MD-1087,10,3174,32652
OI-135,ORD-10060,SKU1593,7,"$5,159.00","$17,916.00"
OI-136,ORD-10133,MD-1772,3,2652,13568
OI-137,ORD-5067,R-1667,7,"$3,321.00",22 397
OI-138,ORD-11197,R-1274,9,"$1,094.00",4101
OI-139,ORD-4257,SKU1454,4,"$4,729.00","$26,342.00"
OI-140,ORD-13402,SKU1459,6,645,34565
OI-141,ORD-13025,R-1678,2,2290,"$36,699.00"
OI-142,ORD-2480,R-1386,1,3622,"$23,124.00"
OI-143,ORD-14080,REF-1068,5,"5 121,00",21655
OI-144,ORD-9702,SKU1402,9,4442,7268
OI-145,ORD-6680,MD-1683,10,3261,44061
OI-146,ORD-7471,REF-1136,6,432,22221
OI-147,ORD-7942,SKU1621,6,3 960,44 539
OI-148,ORD-4114,SKU1218,5,5134,"$24,219.00"
OI-149,ORD-9332,REF-1261,8,4 789,23293
OI-150,ORD-2577,MD-1449,9,"$3,847.00",21 134
OI-151,ORD-837,SKU1640,8,"$4,941.00","$41,712.00"
OI-152,ORD-6196,REF-1190,1,3556,"3 645,00"
OI-153,ORD-14863,SKU1574,10,1434,8621
OI-154,ORD-10473,R-1498,5,3818,13694
OI-155,ORD-4017,R-1544,5,4515,39526
OI-156,ORD-9645,MD-1156,8,5058,12999
OI-157,ORD-912,REF-1195,4,2360,"$41,585.00"
OI-158,ORD-10046,SKU1582,2,"$1,204.00",22169
OI-159,ORD-752,SKU1621,10,1984,"28 419,00"
OI-160,ORD-13365,MD-1197,7,"$4,154.00",14693
OI-161,ORD-1615,SKU1651,7,2 983,"$27,931.00"
OI-162,ORD-12291,SKU1051,3,"$2,577.00","8 262,00"
OI-163,ORD-13158,MD-1362,9,2 373,"$35,071.00"
OI-164,ORD-7966,MD-1362,7,3483,"37 186,00"
OI-165,ORD-9963,R-1641,2,"$1,223.00","$43,964.00"
OI-166,ORD-13991,REF-1799,10,"$5,194.00",29 260
OI-167,ORD-13918,R-1025,2,"613,00","$35,038.00"
OI-168,ORD-9552,MD-1579,1,1335,"$36,543.00"
OI-169,ORD-14329,SKU1370,2,"$3,468.00","$34,731.00"
OI-170,ORD-7023,MD-1458,1,"3 695,00","$16,819.00"
OI-171,ORD-1764,REF-1195,1,"$2,810.00",14658
OI-172,ORD-13374,REF-1785,5,2480,12996
OI-173,ORD-8942,REF-1093,3,776,"$35,002.00"
OI-174,ORD-4991,SKU1456,10,3 744,"$38,387.00"
OI-175,ORD-4677,R-1657,3,3840,"$40,631.00"
OI-176,ORD-9911,R-1389,1,1192,23322
OI-177,ORD-7341,R-1770,8,3729,"17 257,00"
OI-178,ORD-179,REF-1011,5,3816,7911
OI-179,ORD-5678,SKU1368,10,424,6084
OI-180,ORD-9313,REF-1322,5,"2 147,00",39188
OI-181,ORD-6159,REF-1217,9,2371,"$5,886.00"
OI-182,ORD-1483,SKU1603,1,"$3,897.00",829
OI-183,ORD-12578,REF-1654,1,5090,"20 043,00"
OI-184,ORD-7306,SKU1029,6,3520,"$27,296.00"
OI-185,ORD-8286,SKU1048,9,3346,43412
OI-186,ORD-13808,SKU1774,6,"947,00","$34,791.00"
OI-187,ORD-1562,R-1112,2,2709,2696
OI-188,ORD-13816,SKU1424,9,"3 125,00","$44,806.00"
OI-189,ORD-3271,R-1443,2,4 819,33106
OI-190,ORD-14456,R-1158,1,2 619,"$45,059.00"
OI-191,ORD-13560,R-1278,4,"$2,859.00",10989
OI-192,ORD-8899,SKU1490,3,"$3,664.00","$46,136.00"
OI-193,ORD-7094,MD-1447,7,196,7193
OI-194,ORD-8368,R-1337,3,2812,"37 083,00"
OI-195,ORD-11756,R-1441,8,3712,"9 280,00"
OI-196,ORD-7253,REF-1135,5,"$4,015.00",47 150
OI-197,ORD-7534,REF-1378,5,3517,13136
OI-198,ORD-6791,MD-1210,2,"1 718,00",33329
OI-199,ORD-11205,R-1435,8,47,"45 572,00"
OI-200,ORD-5996,REF-1697,2,3392,20403
OI-201,ORD-4409,MD-1634,8,"$1,295.00",23 180
OI-202,ORD-5678,R-1577,6,"$2,530.00","$42,899.00"
OI-203,ORD-1997,REF-1359,7,3901,37718
OI-204,ORD-8860,REF-1217,3,855,17173
OI-205,ORD-3043,R-1565,7,1 537,9025
OI-206,ORD-10044,MD-1380,4,3256,"$10,453.00"
OI-207,ORD-12488,MD-1194,5,"$2,362.00",24 876
OI-208,ORD-9177,MD-1207,2,4713,"$39,022.00"
OI-209,ORD-11660,REF-1138,5,3 050,"14 695,00"
OI-210,ORD-3817,R-1521,4,2891,17 188
OI-211,ORD-4892,MD-1502,3,160,21977
OI-212,ORD-12393,R-1129,6,"$2,304.00",9244
OI-213,ORD-11556,MD-1467,-2,1988,5338
OI-214,ORD-8760,REF-1011,4,613,37291
OI-215,ORD-2173,REF-1629,9,3902,$512.00
OI-216,ORD-13230,REF-1697,3,3423,41165
OI-217,ORD-8164,SKU1070,8,$753.00,"$27,861.00"
OI-218,ORD-13235,SKU1398,2,1750,"$28,551.00"
OI-219,ORD-144,SKU1764,4,484,47 347
OI-220,ORD-13184,SKU1106,6,650,"36 141,00"
OI-221,ORD-4023,R-1475,7,"$3,979.00",10517
OI-222,ORD-11972,SKU1324,7,4433,11586
OI-223,ORD-12066,REF-1074,10,2599,"$28,712.00"
OI-224,ORD-12325,REF-1511,9,"$1,412.00",6095
OI-225,ORD-10272,MD-1399,8,314,"$7,831.00"
OI-226,ORD-338,MD-1539,2,3614,37601
OI-227,ORD-9114,SKU1762,6,2410,"$33,582.00"
OI-228,ORD-2341,R-1108,1,1625,10 887
OI-229,ORD-6781,REF-1797,7,$152.00,30128
OI-230,ORD-3349,R-1437,10,4794,"$44,904.00"
OI-231,ORD-13037,MD-1538,10,"$3,132.00","$13,154.00"
OI-232,ORD-11431,REF-1719,6,1324,47287
OI-233,ORD-9703,R-1353,1,1385,27049
OI-234,ORD-12236,R-1736,10,"$4,297.00","$46,311.00"
OI-235,ORD-12294,MD-1681,5,"$2,710.00",17668
OI-236,ORD-4078,REF-1781,4,"$3,992.00","49 805,00"
OI-237,ORD-2967,MD-1033,4,5101,32413
OI-238,ORD-625,MD-1579,9,"$4,513.00",40875
OI-239,ORD-5980,REF-1279,5,3093,3 566
OI-240,ORD-8374,REF-1093,4,$550.00,19217
OI-241,ORD-13399,R-1130,7,"$3,423.00",41167
OI-242,ORD-10835,SKU1768,9,3190,19129
OI-243,ORD-4273,REF-1266,7,"$2,618.00",28579
OI-244,ORD-7335,R-1680,3,"3 157,00","$7,896.00"
OI-245,ORD-11208,MD-1482,2,2177,2439
OI-246,ORD-2315,SKU1687,6,2107,38844
OI-247,ORD-2067,SKU1048,3,4 090,31312
OI-248,ORD-6220,REF-1244,2,1710,5371
OI-249,ORD-9019,REF-1099,3,"$3,195.00",38856
OI-250,ORD-10061,R-1602,3,"$3,054.00","$39,795.00"
OI-251,ORD-8848,R-1175,6,4380,6 057
OI-252,ORD-12301,REF-1439,3,"$3,603.00",18 815
OI-253,ORD-13353,MD-1517,6,"580,00","$4,502.00"
OI-254,ORD-14306,R-1590,6,4182,3234
OI-255,ORD-1985,MD-1304,7,1869,40 243
OI-256,ORD-9327,REF-1166,8,$520.00,624
OI-257,ORD-6979,SKU1106,4,357,44 180
OI-258,ORD-3050,MD-1409,9,"$2,370.00",38512
OI-259,ORD-13878,SKU1198,4,"$4,708.00",9895
OI-260,ORD-7128,R-1420,8,2 852,16041
OI-261,ORD-8454,MD-1798,5,3139,33999
OI-262,ORD-8399,MD-1167,1,"2 816,00",1628
OI-263,ORD-12457,MD-1501,1,2 924,"35 531,00"
OI-264,ORD-5774,SKU1589,3,"$4,788.00",10720
OI-265,ORD-1116,REF-1276,6,"$1,857.00",5979
OI-266,ORD-8668,R-1588,9,"5 141,00","$10,055.00"
OI-267,ORD-9927,SKU1088,1,4348,"$15,421.00"
OI-268,ORD-12010,R-1293,3,"$2,414.00","$17,430.00"
OI-269,ORD-11894,SKU1472,5,28,"$21,632.00"
OI-270,ORD-13684,MD-1142,10,2 239,"4 098,00"
OI-271,ORD-11303,MD-1681,4,1681,19287
OI-272,ORD-8317,MD-1052,5,"3 136,00",27654
OI-273,ORD-12275,R-1568,3,1825,"$47,856.00"
OI-274,ORD-1318,MD-1107,8,451,38762
OI-275,ORD-7897,REF-1121,5,$496.00,"31 801,00"
OI-276,ORD-7939,REF-1727,1,"$1,195.00",17216
OI-277,ORD-2636,REF-1672,4,4579,22659
OI-278,ORD-764,R-1606,10,"$2,465.00",33694
OI-279,ORD-14596,SKU1231,1,$178.00,41400
OI-280,ORD-5727,MD-1583,1,2770,"$11,084.00"
OI-281,ORD-930,MD-1250,9,2891,926
OI-282,ORD-9190,SKU1454,7,$182.00,13884
OI-283,ORD-7635,SKU1582,10,746,21 066
OI-284,ORD-10389,SKU1490,6,632,18702
OI-285,ORD-13434,MD-1686,1,3394,"$19,505.00"
OI-286,ORD-3043,REF-1537,2,923,22 145
OI-287,ORD-13864,R-1267,7,4438,24314
OI-288,ORD-5638,REF-1063,3,3819,"$22,519.00"
OI-289,ORD-419,MD-1049,9,3727,29192
OI-290,ORD-10291,R-1667,7,"1 014,00",29364
OI-291,ORD-1595,R-1731,7,"$3,495.00",16 985
OI-292,ORD-9863,SKU1617,9,"$1,211.00",2523
OI-293,ORD-5747,R-1435,8,4639,"$39,956.00"
OI-294,ORD-6843,REF-1226,6,1826,"$18,815.00"
OI-295,ORD-8793,MD-1227,3,1178,18603
OI-296,ORD-8166,R-1512,2,"2 007,00","$10,835.00"
OI-297,ORD-12882,SKU1677,6,3 155,"$42,640.00"
OI-298,ORD-13334,REF-1238,7,2857,3737
OI-299,ORD-5501,R-1666,2,4 178,8010
OI-300,ORD-10540,SKU1253,4,2253,9215
OI-301,ORD-4053,MD-1379,10,1949,22414
OI-302,ORD-1248,REF-1170,5,$248.00,"$24,568.00"
OI-303,ORD-10980,MD-1033,1,132,14317
OI-304,ORD-978,SKU1048,7,4739,11332
OI-305,ORD-3413,R-1077,7,702,"18 525,00"
OI-306,ORD-7312,MD-1249,4,"3 845,00",20 021
OI-307,ORD-14471,R-1019,3,853,33340
OI-308,ORD-12931,MD-1224,5,1308,"$23,197.00"
OI-309,ORD-187,MD-1366,4,"2 129,00",29320
OI-310,ORD-3380,REF-1094,9,4 946,49 151
OI-311,ORD-1351,REF-1322,3,4559,2311
OI-312,ORD-978,SKU1088,2,$592.00,46344
OI-313,ORD-13885,SKU1318,5,"$1,777.00",17548
OI-314,ORD-3096,SKU1085,3,"$3,059.00",39 654
OI-315,ORD-2280,R-1708,8,"$3,311.00",$179.00
OI-316,ORD-7392,MD-1583,-4,"1 451,00",39 537
OI-317,ORD-1249,REF-1216,7,3552,"29 892,00"
OI-318,ORD-6648,R-1690,9,2663,"34 127,00"
OI-319,ORD-8259,MD-1196,8,4549,37427
OI-320,ORD-4642,SKU1722,1,"$2,189.00","$39,455.00"
OI-321,ORD-14320,SKU1076,3,"1 799,00",10507
OI-322,ORD-14210,SKU1619,8,"$2,421.00","42 354,00"
OI-323,ORD-8560,MD-1246,2,2878,979
OI-324,ORD-3587,SKU1395,5,4226,"$39,398.00"
OI-325,ORD-11875,MD-1717,4,579,2743
OI-326,ORD-11781,REF-1394,1,"$1,965.00",43417
OI-327,ORD-3855,SKU1172,1,2443,47033
OI-328,ORD-2825,R-1082,1,1549,"$17,261.00"
OI-329,ORD-10039,R-1468,5,2 919,"$39,582.00"
OI-330,ORD-623,SKU1066,9,336,47741
OI-331,ORD-9016,R-1130,4,2839,11904
OI-332,ORD-10894,MD-1616,3,"$2,583.00",35243
OI-333,ORD-12028,REF-1672,2,945,13991
OI-334,ORD-9806,SKU1036,1,"$4,426.00",29728
OI-335,ORD-5069,REF-1566,9,239,41940
OI-336,ORD-13670,SKU1010,5,4311,3730
OI-337,ORD-5959,MD-1351,10,"416,00","$14,404.00"
OI-338,ORD-13804,MD-1724,6,"$1,579.00",2291
OI-339,ORD-9022,SKU1324,2,3353,31830
OI-340,ORD-5445,MD-1107,2,2274,39408
OI-341,ORD-13282,REF-1138,6,3853,"$4,892.00"
OI-342,ORD-12105,R-1730,10,"1 811,00",20289
OI-343,ORD-8140,R-1350,2,1368,"$47,764.00"
OI-344,ORD-12261,R-1233,1,223,49333
OI-345,ORD-11944,REF-1009,10,"5 150,00","$5,254.00"
OI-346,ORD-723,SKU1474,1,708,25212
OI-347,ORD-6370,R-1739,1,3 681,22002
OI-348,ORD-7797,REF-1550,6,3252,"$1,205.00"
OI-349,ORD-6316,SKU1265,2,"2 408,00","32 293,00"
OI-350,ORD-10306,MD-1493,2,$840.00,33823
OI-351,ORD-3302,R-1494,9,2733,20379
OI-352,ORD-11782,REF-1576,3,652,37936
OI-353,ORD-9420,MD-1548,9,499,"43 198,00"
OI-354,ORD-7676,MD-1204,6,"$4,666.00",24069
OI-355,ORD-12229,R-1157,9,2765,"$19,535.00"
OI-356,ORD-4609,REF-1765,1,5 018,40 362
OI-357,ORD-10268,SKU1424,8,1507,"$21,340.00"
OI-358,ORD-8853,REF-1261,-3,"$2,781.00",46383
OI-359,ORD-3250,REF-1734,4,4147,"$16,826.00"
OI-360,ORD-1921,REF-1401,4,4990,"39 595,00"
OI-361,ORD-8440,R-1315,5,2186,20582
OI-362,ORD-6181,MD-1479,5,4959,37051
OI-363,ORD-14330,MD-1636,8,$126.00,40082
OI-364,ORD-12934,REF-1743,1,"$4,523.00",26549
OI-365,ORD-890,SKU1222,1,"3 029,00","$31,541.00"
OI-366,ORD-12151,SKU1248,9,4 359,1071
OI-367,ORD-5180,SKU1051,7,"1 137,00",1750
OI-368,ORD-9283,SKU1599,1,3102,40 014
OI-369,ORD-13460,MD-1522,2,4551,10908
OI-370,ORD-13825,R-1796,2,"2 176,00",36312
OI-371,ORD-2750,MD-1147,5,"3 892,00","$15,901.00"
OI-372,ORD-9250,R-1018,6,"1 584,00","$42,121.00"
OI-373,ORD-10464,MD-1197,6,4082,"4 980,00"
OI-374,ORD-11387,REF-1719,2,"3 745,00","$3,524.00"
OI-375,ORD-8476,SKU1722,-3,"$4,766.00",46937
OI-376,ORD-2810,REF-1688,3,3 427,19252
OI-377,ORD-2337,R-1565,7,769,40214
OI-378,ORD-7495,REF-1779,2,"1 301,00","41 515,00"
OI-379,ORD-6133,MD-1250,7,3262,39490
OI-380,ORD-6035,R-1108,7,2149,41661
OI-381,ORD-8450,R-1146,3,4217,"17 413,00"
OI-382,ORD-8722,SKU1048,10,3452,39098
OI-383,ORD-9083,REF-1514,3,3494,38414
OI-384,ORD-13609,SKU1513,10,"$2,708.00",34442
OI-385,ORD-157,R-1646,6,1042,"38 599,00"
OI-386,ORD-4947,SKU1177,1,"1 884,00","37 926,00"
OI-387,ORD-1078,R-1674,9,$485.00,34892
OI-388,ORD-8543,SKU1651,9,4 672,18584
OI-389,ORD-1948,MD-1557,6,232,"$43,496.00"
OI-390,ORD-7187,R-1760,3,"$5,076.00","$8,754.00"
OI-391,ORD-7695,REF-1099,5,61,28549
OI-392,ORD-8556,R-1259,10,"$3,136.00","$40,390.00"
OI-393,ORD-558,MD-1291,3,4779,"$3,715.00"
OI-394,ORD-11472,R-1233,7,2542,"$23,261.00"
OI-395,ORD-11013,REF-1176,4,4825,15 486
OI-396,ORD-12835,REF-1359,10,"2 517,00","2 234,00"
OI-397,ORD-11384,REF-1378,4,"$4,039.00",15866
OI-398,ORD-6175,SKU1032,1,1684,49251
OI-399,ORD-4551,REF-1559,5,3034,37523
OI-400,ORD-5489,MD-1689,7,$422.00,"$36,509.00"
OI-401,ORD-9714,R-1600,1,"$1,518.00","15 557,00"
OI-402,ORD-4174,REF-1654,3,3874,11 109
OI-403,ORD-14954,SKU1693,6,120,36 898
OI-404,ORD-5859,REF-1217,4,"$4,018.00","$15,946.00"
OI-405,ORD-6625,SKU1574,3,4911,43389
OI-406,ORD-4770,SKU1020,6,"$1,694.00",15363
OI-407,ORD-1312,MD-1720,10,"$1,342.00",20481
OI-408,ORD-2495,R-1645,9,769,7913
OI-409,ORD-2727,SKU1459,7,1790,3 821
OI-410,ORD-11763,SKU1357,10,"5 051,00",45509
OI-411,ORD-4372,MD-1526,2,2454,33426
OI-412,ORD-13401,R-1731,6,1248,9612
OI-413,ORD-3848,R-1475,8,1471,42602
OI-414,ORD-2103,SKU1693,10,1194,"$18,264.00"
OI-415,ORD-1464,SKU1416,8,979,"19 282,00"
OI-416,ORD-14601,SKU1649,1,"2 371,00",33363
OI-417,ORD-6547,REF-1715,4,3372,"$34,786.00"
OI-418,ORD-2701,R-1494,10,3064,"10 620,00"
OI-419,ORD-12073,R-1476,-3,2142,"$18,985.00"
OI-420,ORD-13185,R-1015,5,4978,"521,00"
OI-421,ORD-13172,REF-1697,3,"$3,956.00","13 887,00"
OI-422,ORD-1610,REF-1140,2,"221,00","$4,795.00"
OI-423,ORD-9684,R-1288,7,3898,47021
OI-424,ORD-13112,REF-1737,1,$727.00,42273
OI-425,ORD-1499,SKU1673,6,"4 817,00","$27,872.00"
OI-426,ORD-2168,MD-1369,7,2 227,47767
OI-427,ORD-7153,R-1422,4,211,38648
OI-428,ORD-7909,MD-1227,5,1807,"$48,780.00"
OI-429,ORD-5665,MD-1636,10,$90.00,"$32,431.00"
OI-430,ORD-7603,R-1340,7,1166,"$4,616.00"
OI-431,ORD-3157,R-1078,3,4946,9008
OI-432,ORD-5668,MD-1502,3,"$4,775.00",47118
OI-433,ORD-14235,SKU1318,9,"$5,143.00",18583
OI-434,ORD-10917,REF-1102,4,"1 159,00",35112
OI-435,ORD-11317,REF-1170,7,"2 300,00",19682
OI-436,ORD-9232,R-1237,4,"$1,154.00","$13,940.00"
OI-437,ORD-3566,R-1123,2,"$3,162.00",20 085
OI-438,ORD-3107,REF-1439,10,"1 313,00","$33,353.00"
OI-439,ORD-12662,REF-1171,10,5083,13316
OI-440,ORD-591,SKU1247,4,3276,"$40,154.00"
OI-441,ORD-7918,MD-1147,7,2001,45732
OI-442,ORD-1162,R-1123,6,3837,22697
OI-443,ORD-14494,MD-1501,6,3958,35667
OI-444,ORD-12264,MD-1303,8,$606.00,8180
OI-445,ORD-6783,SKU1183,3,1667,32586
OI-446,ORD-14192,SKU1484,8,"$3,089.00",28660
OI-447,ORD-13868,MD-1379,6,1749,"$16,575.00"
OI-448,ORD-5412,MD-1023,10,1001,40411
OI-449,ORD-2844,MD-1145,7,3 273,"$13,239.00"
OI-450,ORD-5061,REF-1450,6,$515.00,21670
OI-451,ORD-14352,R-1296,4,115,12018
OI-452,ORD-13835,SKU1601,4,"$1,545.00",42399
OI-453,ORD-2460,SKU1002,8,"$5,028.00",7912
OI-454,ORD-14852,REF-1354,6,$589.00,33836
OI-455,ORD-1430,SKU1506,7,2488,"$17,924.00"
OI-456,ORD-7321,REF-1361,2,484,"$16,410.00"
OI-457,ORD-10127,REF-1566,3,4701,23918
OI-458,ORD-13869,MD-1309,3,1726,"$28,486.00"
OI-459,ORD-3977,MD-1064,1,"$1,527.00",32005
OI-460,ORD-6504,SKU1069,4,"$1,781.00",$61.00
OI-461,ORD-3436,REF-1093,7,2145,27082
OI-462,ORD-14572,REF-1311,5,"3 348,00","20 185,00"
OI-463,ORD-2071,R-1711,6,4781,"$41,680.00"
OI-464,ORD-3690,R-1598,10,2933,43 946
OI-465,ORD-9812,MD-1615,8,"1 498,00",49179
OI-466,ORD-3877,SKU1298,10,"$1,304.00","$18,358.00"
OI-467,ORD-8745,SKU1178,8,"$4,388.00","$27,757.00"
OI-468,ORD-4961,MD-1107,10,4787,"$36,815.00"
OI-469,ORD-10628,REF-1382,2,"$4,902.00",21088
OI-470,ORD-517,SKU1032,1,"$3,501.00","$29,251.00"
