membership_id,customer_id,level,points
M-78,CUST-391,gold,26899
M-79,CUST-3511,Gold,3991
M-80,CUST-3939,GOLD,4013
M-81,CUST-3348,gold,18889
M-82,CUST-700,bronze,27320
M-83,CUST-3102,bronze,31235
M-84,CUST-3045,bronze,29859
M-85,CUST-2412,gold,34862
M-86,CUST-1622,GOLD,48107
M-87,CUST-3551,SILVER,37701
M-88,CUST-1947,Gold,21877
M-89,CUST-381,silver,14553
M-90,CUST-3831,SILVER,49606
M-91,CUST-2262,SILVER,49838
M-92,CUST-115,bronze,42237
M-93,CUST-2916,GOLD,34342
M-94,CUST-4418,bronze,8883
M-95,CUST-2696,Gold,44442
M-96,CUST-3302,bronze,31881
M-97,CUST-4591,GOLD,31671
M-98,CUST-1419,SILVER,39488
M-99,CUST-3997,silver,337
M-100,CUST-2766,gold,48200
M-101,CUST-188,gold,42145
M-102,CUST-1413,Gold,34353
M-103,CUST-4706,silver,7985
M-104,CUST-4004,SILVER,29401
M-105,CUST-1342,SILVER,24871
M-106,CUST-530,bronze,8197
M-107,CUST-218,GOLD,23368
M-108,CUST-3395,silver,13197
M-109,CUST-4412,GOLD,14680
M-110,CUST-4126,bronze,37229
M-111,CUST-4890,GOLD,22752
M-112,CUST-142,Gold,22269
M-113,CUST-2608,bronze,24497
M-114,CUST-893,silver,35879
M-115,CUST-3188,GOLD,9454
M-116,CUST-4570,SILVER,28613
M-117,CUST-3985,SILVER,23906
M-118,CUST-261,gold,46282
M-119,CUST-2789,GOLD,37577
M-120,CUST-2214,SILVER,45667
M-121,CUST-59,bronze,12632
M-122,CUST-2072,bronze,1430
M-123,CUST-913,Gold,21278
M-124,CUST-2023,silver,5560
M-125,CUST-2402,Gold,26625
M-126,CUST-1249,bronze,16081
M-127,CUST-4931,bronze,28874
M-128,CUST-2357,silver,22008
M-129,CUST-231,SILVER,3253
M-130,CUST-4967,Gold,31069
M-131,CUST-2511,SILVER,40831
M-132,CUST-1386,gold,7088
M-133,CUST-1828,Gold,818
M-134,CUST-1682,SILVER,8863
M-135,CUST-4673,silver,46667
M-136,CUST-1682,bronze,5277
M-137,CUST-4268,SILVER,40796
M-138,CUST-2494,gold,48440
M-139,CUST-2710,SILVER,42528
M-140,CUST-1375,bronze,10722
M-141,CUST-3284,Gold,14585
M-142,CUST-2951,GOLD,28621
M-143,CUST-124,gold,32920
M-144,CUST-4701,Gold,3480
M-145,CUST-548,gold,17868
M-146,CUST-1105,SILVER,2713
M-147,CUST-4525,bronze,48933
M-148,CUST-1284,SILVER,24733
M-149,CUST-4149,silver,17563
M-150,CUST-3663,silver,20345
M-151,CUST-3747,Gold,12063
M-152,CUST-3888,silver,5368
M-153,CUST-1695,gold,48793
M-154,CUST-1293,gold,29044
M-155,CUST-2137,Gold,29641
M-156,CUST-4088,SILVER,43439
M-157,CUST-3908,silver,28812
M-158,CUST-809,GOLD,15019
M-159,CUST-2081,silver,31935
M-160,CUST-3178,GOLD,11460
M-161,CUST-4601,Gold,5087
M-162,CUST-3439,SILVER,6684
M-163,CUST-935,Gold,1207
M-164,CUST-3787,bronze,3504
M-165,CUST-839,Gold,31359
M-166,CUST-126,gold,1558
M-167,CUST-3963,SILVER,7349
M-168,CUST-1691,gold,30396
M-169,CUST-3393,gold,32438
M-170,CUST-20,bronze,39004
M-171,CUST-255,silver,13748
M-172,CUST-4795,bronze,26562
M-173,CUST-3145,gold,20218
M-174,CUST-1361,GOLD,2221
M-175,CUST-189,gold,4291
M-176,CUST-4802,GOLD,34163
M-177,CUST-3475,SILVER,10378
M-178,CUST-2072,gold,13570
M-179,CUST-681,silver,38328
M-180,CUST-868,SILVER,14677
M-181,CUST-1480,bronze,30248
M-182,CUST-57,gold,16888
M-183,CUST-4809,Gold,30622
M-184,CUST-1133,GOLD,23887
M-185,CUST-4650,GOLD,17004
M-186,CUST-2121,silver,15791
M-187,CUST-2158,GOLD,7351
M-188,CUST-626,Gold,33440
M-189,CUST-2173,Gold,9167
M-190,CUST-456,SILVER,29406
M-191,CUST-960,gold,36384
M-192,CUST-818,gold,34794
M-193,CUST-3868,bronze,44477
M-194,CUST-1415,Gold,26867
M-195,CUST-1253,gold,33563
M-196,CUST-1284,gold,44076
M-197,CUST-179,bronze,46308
M-198,CUST-75,gold,44479
M-199,CUST-4335,Gold,6978
M-200,CUST-1650,GOLD,36567
M-201,CUST-2445,GOLD,24584
M-202,CUST-3382,bronze,39507
M-203,CUST-2653,GOLD,42253
M-204,CUST-710,GOLD,38968
M-205,CUST-765,bronze,49484
M-206,CUST-4731,Gold,26029
M-207,CUST-610,SILVER,17680
M-208,CUST-1531,GOLD,33646
M-209,CUST-2785,GOLD,31542
M-210,CUST-564,GOLD,27219
M-211,CUST-2068,Gold,41153
M-212,CUST-2933,Gold,12009
M-213,CUST-2676,Gold,40657
M-214,CUST-2340,bronze,19844
M-215,CUST-2071,Gold,45173
M-216,CUST-1181,GOLD,32922
M-217,CUST-2828,Gold,35869
M-218,CUST-2311,gold,36747
M-219,CUST-2235,Gold,39132
M-220,CUST-3260,Gold,28172
M-221,CUST-3482,silver,20113
M-222,CUST-2619,silver,5236
M-223,CUST-3976,GOLD,18715
M-224,CUST-188,silver,13331
M-225,CUST-2127,silver,17530
M-226,CUST-4378,silver,8754
M-227,CUST-3562,SILVER,47225
M-228,CUST-3195,gold,2325
M-229,CUST-2689,Gold,3330
M-230,CUST-811,silver,11690
M-231,CUST-1735,SILVER,30962
M-232,CUST-673,GOLD,8622
M-233,CUST-2871,SILVER,7873
M-234,CUST-4132,SILVER,40625
M-235,CUST-1236,GOLD,28871
M-236,CUST-469,bronze,34386
M-237,CUST-1469,gold,29302
M-238,CUST-4441,Gold,48143
M-239,CUST-2001,gold,11861
M-240,CUST-3189,Gold,7299
M-241,CUST-420,silver,30040
M-242,CUST-3094,gold,36018
M-243,CUST-3762,GOLD,11898
M-244,CUST-929,silver,25005
M-245,CUST-2693,gold,766
M-246,CUST-4744,silver,20617
M-247,CUST-1748,silver,49740
M-248,CUST-3836,SILVER,19935
M-249,CUST-530,Gold,46728
M-250,CUST-3182,GOLD,14311
M-251,CUST-2594,Gold,514
M-252,CUST-3234,GOLD,21507
M-253,CUST-4654,GOLD,11334
M-254,CUST-3723,bronze,20106
M-255,CUST-404,bronze,117
M-256,CUST-4331,bronze,20991
M-257,CUST-3663,GOLD,14597
M-258,CUST-1904,bronze,25241
M-259,CUST-2982,gold,41420
M-260,CUST-603,SILVER,44756
M-261,CUST-175,gold,48145
M-262,CUST-3209,SILVER,24958
M-263,CUST-1425,SILVER,12189
M-264,CUST-4552,gold,34627
M-265,CUST-4894,gold,215
M-266,CUST-2951,Gold,31767
M-267,CUST-1903,gold,15320
M-268,CUST-4962,gold,47500
M-269,CUST-2393,gold,4452
M-270,CUST-149,SILVER,11401
M-271,CUST-2707,bronze,6477
M-272,CUST-1906,gold,19771
M-273,CUST-3914,silver,17676
M-274,CUST-3208,gold,8564
M-275,CUST-3425,Gold,14026
M-276,CUST-4133,bronze,35431
M-277,CUST-1622,SILVER,17628
M-278,CUST-316,gold,2293
M-279,CUST-135,silver,1410
M-280,CUST-2242,GOLD,29111
M-281,CUST-4756,gold,15578
M-282,CUST-3916,silver,4483
M-283,CUST-4281,Gold,9099
M-284,CUST-1687,GOLD,31063
M-285,CUST-1234,bronze,39216
M-286,CUST-763,silver,1604
M-287,CUST-4066,bronze,17861
M-288,CUST-107,Gold,26799
M-289,CUST-1935,GOLD,35632
M-290,CUST-2210,bronze,32623
M-291,CUST-2548,Gold,40208
M-292,CUST-1002,gold,7091
M-293,CUST-3595,gold,23192
M-294,CUST-3163,silver,45119
M-295,CUST-253,GOLD,49182
M-296,CUST-4696,GOLD,37052
M-297,CUST-2763,bronze,12592
M-298,CUST-4243,gold,16487
M-299,CUST-2502,silver,43740
M-300,CUST-4751,bronze,2715
M-301,CUST-4070,Gold,15482
M-302,CUST-231,silver,49280
M-303,CUST-1545,bronze,44056
M-304,CUST-1147,GOLD,24317
M-305,CUST-3072,SILVER,49047
M-306,CUST-4422,silver,15864
M-307,CUST-3552,SILVER,41273
M-308,CUST-3105,GOLD,3762
M-309,CUST-1158,GOLD,44915
M-310,CUST-3683,Gold,15541
M-311,CUST-3826,Gold,29506
M-312,CUST-2769,gold,927
M-313,CUST-4734,GOLD,45293
M-314,CUST-4586,SILVER,41272
M-315,CUST-686,gold,18895
M-316,CUST-72,GOLD,12023
M-317,CUST-8,bronze,23184
M-318,CUST-741,Gold,26534
M-319,CUST-2917,bronze,16049
M-320,CUST-680,bronze,24053
M-321,CUST-4222,silver,46143
M-322,CUST-2193,GOLD,47415
M-323,CUST-2673,GOLD,19059
M-324,CUST-2386,Gold,922
M-325,CUST-4085,Gold,27276
M-326,CUST-2278,Gold,33768
M-327,CUST-1266,gold,40998
M-328,CUST-342,GOLD,4790
M-329,CUST-593,Gold,27208
M-330,CUST-4233,Gold,564
M-331,CUST-2153,silver,26031
M-332,CUST-2906,gold,39601
M-333,CUST-2985,bronze,21827
M-334,CUST-3265,Gold,37723
M-335,CUST-156,gold,21705
M-336,CUST-3100,silver,27359
M-337,CUST-2541,Gold,12989
M-338,CUST-415,gold,17497
M-339,CUST-3276,GOLD,32315
M-340,CUST-606,GOLD,10588
M-341,CUST-3138,SILVER,26263
M-342,CUST-4977,gold,49179
M-343,CUST-3895,gold,2731
M-344,CUST-3651,bronze,3987
M-345,CUST-3627,bronze,7301
M-346,CUST-3334,gold,975
M-347,CUST-1292,silver,20399
M-348,CUST-1255,SILVER,23818
M-349,CUST-4489,SILVER,49446
M-350,CUST-2523,SILVER,37139
M-351,CUST-1227,SILVER,10275
M-352,CUST-4749,Gold,29696
M-353,CUST-420,SILVER,33058
M-354,CUST-4957,silver,7631
M-355,CUST-3038,SILVER,47033
M-356,CUST-4799,bronze,11902
M-357,CUST-813,GOLD,32161
M-358,CUST-3058,silver,9497
M-359,CUST-4635,SILVER,30441
M-360,CUST-4980,SILVER,36577
M-361,CUST-1950,SILVER,44898
M-362,CUST-474,GOLD,35876
M-363,CUST-3730,Gold,29441
M-364,CUST-4203,SILVER,17589
M-365,CUST-4129,GOLD,38916
M-366,CUST-3025,GOLD,6345
M-367,CUST-1442,GOLD,28538
M-368,CUST-1788,gold,48022
M-369,CUST-4987,silver,29031
M-370,CUST-3742,silver,12442
M-371,CUST-1709,SILVER,37070
M-372,CUST-4740,silver,34068
M-373,CUST-3062,GOLD,32767
M-374,CUST-1357,silver,1053
M-375,CUST-1008,SILVER,21149
M-376,CUST-3718,Gold,26260
M-377,CUST-1742,bronze,34227
M-378,CUST-3163,Gold,23453
M-379,CUST-4961,Gold,20135
M-380,CUST-2466,GOLD,25121
M-381,CUST-2492,Gold,21139
M-382,CUST-4526,gold,34649
M-383,CUST-220,Gold,9159
M-384,CUST-4764,Gold,5904
M-385,CUST-1356,Gold,8110
M-386,CUST-617,Gold,23296
M-387,CUST-2251,bronze,7123
M-388,CUST-4025,GOLD,47361
M-389,CUST-3250,silver,28659
M-390,CUST-2682,GOLD,44815
M-391,CUST-4184,bronze,1020
M-392,CUST-1508,gold,44226
M-393,CUST-693,GOLD,28469
M-394,CUST-1054,gold,12177
M-395,CUST-2857,GOLD,49843
M-396,CUST-715,bronze,44185
M-397,CUST-3340,SILVER,13112
M-398,CUST-2845,bronze,12395
M-399,CUST-4157,silver,43811
M-400,CUST-1058,Gold,2627
M-401,CUST-232,Gold,13276
M-402,CUST-4398,Gold,16126
M-403,CUST-2562,silver,18748
M-404,CUST-2134,silver,42616
M-405,CUST-4784,bronze,9762
M-406,CUST-2100,Gold,7484
M-407,CUST-2866,bronze,5190
M-408,CUST-3911,gold,49460
M-409,CUST-3955,gold,40529
M-410,CUST-4725,bronze,22005
M-411,CUST-532,silver,7227
M-412,CUST-1565,Gold,21797
M-413,CUST-2672,bronze,29958
M-414,CUST-4354,bronze,40569
M-415,CUST-1998,Gold,22076
M-416,CUST-1484,SILVER,47713
M-417,CUST-465,GOLD,29000
M-418,CUST-3812,silver,34952
M-419,CUST-274,SILVER,38946
M-420,CUST-2948,bronze,34878
M-421,CUST-312,silver,38593
M-422,CUST-1851,silver,7007
M-423,CUST-4107,GOLD,48264
M-424,CUST-4492,bronze,10114
M-425,CUST-4460,silver,40043
M-426,CUST-4660,GOLD,12924
M-427,CUST-1804,gold,1800
M-428,CUST-406,GOLD,13153
M-429,CUST-3989,GOLD,5733
M-430,CUST-899,SILVER,44805
M-431,CUST-2625,silver,16071
M-432,CUST-3018,GOLD,1784
M-433,CUST-2648,Gold,19461
M-434,CUST-2750,SILVER,5430
M-435,CUST-2381,Gold,770
M-436,CUST-3531,Gold,11865
M-437,CUST-1285,bronze,40478
M-438,CUST-4264,gold,25455
M-439,CUST-2239,Gold,19111
M-440,CUST-1408,Gold,47402
M-441,CUST-589,silver,46177
M-442,CUST-1929,silver,47114
M-443,CUST-3466,gold,26108
M-444,CUST-3261,silver,18744
M-445,CUST-3549,silver,23479
M-446,CUST-777,gold,30664
M-447,CUST-346,SILVER,13299
M-448,CUST-657,Gold,37481
M-449,CUST-1475,silver,34661
M-450,CUST-1192,GOLD,6708
M-451,CUST-2021,silver,45204
M-452,CUST-1407,Gold,20471
M-453,CUST-252,gold,32513
M-454,CUST-1627,SILVER,9259
M-455,CUST-1817,gold,29260
M-456,CUST-2636,SILVER,36387
M-457,CUST-152,gold,41868
M-458,CUST-2539,gold,14220
M-459,CUST-2595,gold,36130
M-460,CUST-4627,bronze,11351
M-461,CUST-392,SILVER,2530
M-462,CUST-4878,GOLD,39934
M-463,CUST-1207,bronze,20152
M-464,CUST-226,SILVER,21212
M-465,CUST-1096,SILVER,35187
M-466,CUST-1638,gold,32009
M-467,CUST-4629,silver,10409
M-468,CUST-2733,gold,16294
M-469,CUST-2536,GOLD,18789
M-470,CUST-2497,Gold,14680
M-471,CUST-2836,bronze,40398
M-472,CUST-4970,bronze,7378
M-473,CUST-467,gold,7736
M-474,CUST-2294,Gold,4131
M-475,CUST-2425,silver,3870
M-476,CUST-4812,gold,46026
M-477,CUST-1621,bronze,15113
M-478,CUST-553,silver,3651
M-479,CUST-2974,gold,32274
M-480,CUST-1031,bronze,17402
M-481,CUST-824,gold,42114
M-482,CUST-1542,GOLD,40392
M-483,CUST-4301,Gold,42351
M-484,CUST-4013,SILVER,38257
M-485,CUST-4665,GOLD,42715
M-486,CUST-234,Gold,20909
M-487,CUST-2544,GOLD,603
M-488,CUST-3067,SILVER,18728
M-489,CUST-3425,bronze,23178
M-490,CUST-500,GOLD,4319
M-491,CUST-3941,gold,43106
M-492,CUST-3956,silver,47246
M-493,CUST-1136,Gold,11068
M-494,CUST-1474,GOLD,14908
M-495,CUST-1103,SILVER,28027
M-496,CUST-4180,Gold,865
M-497,CUST-1470,GOLD,38974
M-498,CUST-4784,silver,30572
M-499,CUST-1630,gold,27308
M-500,CUST-3264,silver,8930
M-501,CUST-4174,bronze,40614
M-502,CUST-9,GOLD,11303
M-503,CUST-881,gold,5562
M-504,CUST-3549,GOLD,21802
M-505,CUST-2408,bronze,33986
M-506,CUST-1003,bronze,32691
M-507,CUST-3950,silver,10898
M-508,CUST-2647,SILVER,9553
M-509,CUST-287,bronze,22673
M-510,CUST-1445,SILVER,31913
M-511,CUST-4386,silver,49338
M-512,CUST-3333,silver,9364
M-513,CUST-3550,Gold,16292
M-514,CUST-4617,GOLD,19856
M-515,CUST-3293,Gold,3470
M-516,CUST-3327,GOLD,21056
M-517,CUST-1115,bronze,21882
M-518,CUST-310,bronze,40004
M-519,CUST-2194,GOLD,28670
M-520,CUST-1004,Gold,39851
M-521,CUST-2108,SILVER,17957
M-522,CUST-2269,silver,7892
M-523,CUST-4136,bronze,4041
M-524,CUST-4724,GOLD,23353
M-525,CUST-3086,SILVER,27880
M-526,CUST-149,silver,11413
M-527,CUST-645,GOLD,15512
M-528,CUST-2428,silver,19116
M-529,CUST-82,Gold,11362
M-530,CUST-1885,SILVER,13080
M-531,CUST-4060,Gold,29416
M-532,CUST-2314,silver,404
M-533,CUST-376,GOLD,48899
M-534,CUST-4151,gold,49634
M-535,CUST-2890,gold,28775
M-536,CUST-4006,bronze,28556
M-537,CUST-936,SILVER,26636
M-538,CUST-767,GOLD,8270
M-539,CUST-2307,gold,2683
M-540,CUST-2346,gold,13031
M-541,CUST-4093,gold,36048
M-542,CUST-1321,SILVER,46085
M-543,CUST-4678,bronze,19986
M-544,CUST-4451,Gold,36231
M-545,CUST-1111,bronze,45389
M-546,CUST-4182,SILVER,28870
M-547,CUST-3271,SILVER,35646
M-548,CUST-13,silver,35163
M-549,CUST-3595,Gold,256
M-550,CUST-2426,silver,42280
M-551,CUST-186,silver,29292
M-552,CUST-3590,gold,9920
M-553,CUST-2251,SILVER,7006
M-554,CUST-2451,bronze,2863
M-555,CUST-3500,Gold,177
M-556,CUST-853,GOLD,6179
M-557,CUST-4980,GOLD,25117
M-558,CUST-2399,bronze,43030
M-559,CUST-1090,silver,45115
M-560,CUST-2889,SILVER,14127
M-561,CUST-2936,silver,29767
M-562,CUST-2297,silver,17506
M-563,CUST-2185,bronze,3600
M-564,CUST-2108,SILVER,47000
M-565,CUST-2918,gold,34102
M-566,CUST-4568,silver,40707
M-567,CUST-118,GOLD,22434
M-568,CUST-3239,silver,46247
M-569,CUST-4951,bronze,34059
M-570,CUST-3320,Gold,37531
M-571,CUST-3831,SILVER,43355
M-572,CUST-3939,silver,25010
M-573,CUST-2655,gold,14833
M-574,CUST-2834,GOLD,32004
M-575,CUST-2878,Gold,32853
M-576,CUST-41,GOLD,24779
M-577,CUST-3778,bronze,47672
M-578,CUST-4737,silver,39447
M-579,CUST-540,GOLD,37231
M-580,CUST-3493,SILVER,38973
M-581,CUST-1955,gold,7392
M-582,CUST-735,Gold,28607
M-583,CUST-792,silver,43426
M-584,CUST-1215,Gold,490
M-585,CUST-3739,SILVER,38218
M-586,CUST-2605,Gold,1374
M-587,CUST-4967,gold,32478
M-588,CUST-265,Gold,17773
M-589,CUST-2893,gold,14505
M-590,CUST-3288,Gold,5991
M-591,CUST-520,Gold,38149
M-592,CUST-4702,bronze,3792
M-593,CUST-814,gold,19361
M-594,CUST-1913,gold,1735
M-595,CUST-2771,silver,41486
M-596,CUST-3658,bronze,17023
M-597,CUST-390,GOLD,19215
M-598,CUST-2784,Gold,29798
M-599,CUST-2413,Gold,15567
M-600,CUST-2592,bronze,14019
M-601,CUST-380,Gold,2442
M-602,CUST-1754,Gold,9642
M-603,CUST-4865,Gold,11001
M-604,CUST-1649,bronze,36363
M-605,CUST-1793,GOLD,25779
M-606,CUST-2202,silver,20358
M-607,CUST-2290,gold,37427
M-608,CUST-406,gold,25604
M-609,CUST-2358,GOLD,28910
M-610,CUST-274,GOLD,29350
M-611,CUST-2558,SILVER,49466
M-612,CUST-4814,SILVER,33280
M-613,CUST-4867,silver,49244
M-614,CUST-538,silver,17754
M-615,CUST-4664,silver,42447
M-616,CUST-510,silver,5486
M-617,CUST-1083,silver,10783
M-618,CUST-4966,silver,25784
M-619,CUST-2403,SILVER,31840
M-620,CUST-1852,SILVER,49643
M-621,CUST-4852,silver,10602
M-622,CUST-2132,gold,29886
M-623,CUST-4849,silver,2955
M-624,CUST-2256,Gold,16841
M-625,CUST-4418,Gold,21385
M-626,CUST-960,SILVER,45393
M-627,CUST-804,SILVER,42907
M-628,CUST-1348,silver,47814
M-629,CUST-4266,GOLD,39512
M-630,CUST-3912,bronze,21632
M-631,CUST-1132,silver,34652
M-632,CUST-1520,silver,49776
M-633,CUST-1496,gold,9639
M-634,CUST-912,SILVER,36386
M-635,CUST-2589,silver,22160
M-636,CUST-2242,SILVER,23439
M-637,CUST-4347,SILVER,9073
M-638,CUST-3704,bronze,35563
M-639,CUST-2663,bronze,3233
M-640,CUST-2634,silver,48423
M-641,CUST-1392,Gold,48321
M-642,CUST-2029,SILVER,46889
M-643,CUST-1601,gold,3645
M-644,CUST-4436,gold,20452
M-645,CUST-3487,gold,14342
M-646,CUST-2540,GOLD,45107
M-647,CUST-2443,gold,3960
M-648,CUST-1251,Gold,26872
M-649,CUST-1384,silver,43805
M-650,CUST-1052,gold,4199
M-651,CUST-4169,SILVER,30477
M-652,CUST-2094,bronze,34979
M-653,CUST-2503,GOLD,45311
M-654,CUST-2422,GOLD,30172
M-655,CUST-1301,bronze,33977
M-656,CUST-1685,bronze,18531
M-657,CUST-4698,gold,48836
M-658,CUST-4495,bronze,20024
M-659,CUST-3184,GOLD,5306
M-660,CUST-124,Gold,3039
M-661,CUST-1346,Gold,2733
M-662,CUST-4062,GOLD,29994
M-663,CUST-3233,Gold,23994
M-664,CUST-2381,bronze,23072
M-665,CUST-1517,GOLD,8605
M-666,CUST-3996,bronze,43325
M-667,CUST-4558,SILVER,24904
M-668,CUST-3577,bronze,15183
M-669,CUST-620,GOLD,48303
M-670,CUST-4437,SILVER,37458
M-671,CUST-3711,Gold,35580
M-672,CUST-1263,GOLD,12457
M-673,CUST-2696,gold,22832
M-674,CUST-1121,bronze,2336
M-675,CUST-2138,bronze,20566
M-676,CUST-4918,bronze,28354
M-677,CUST-3225,Gold,25160
M-678,CUST-1393,gold,29408
M-679,CUST-3664,bronze,29006
M-680,CUST-607,GOLD,26210
M-681,CUST-2761,GOLD,17165
M-682,CUST-1616,bronze,41617
M-683,CUST-852,gold,34518
M-684,CUST-3908,bronze,29144
M-685,CUST-804,gold,37351
M-686,CUST-1429,Gold,4461
M-687,CUST-3878,bronze,5339
M-688,CUST-4834,silver,37247
M-689,CUST-2036,bronze,32249
M-690,CUST-90,gold,26014
M-691,CUST-226,GOLD,30900
M-692,CUST-3908,gold,3066
M-693,CUST-4635,GOLD,28663
M-694,CUST-2359,bronze,15737
M-695,CUST-1927,GOLD,16442
M-696,CUST-1386,gold,35660
M-697,CUST-3934,silver,6002
M-698,CUST-3514,bronze,25999
M-699,CUST-3634,SILVER,23982
M-700,CUST-3279,Gold,22560
M-701,CUST-4510,Gold,40842
M-702,CUST-4941,bronze,1684
M-703,CUST-2014,bronze,5770
M-704,CUST-84,Gold,20098
M-705,CUST-3088,silver,41091
M-706,CUST-1902,silver,3340
M-707,CUST-89,silver,31995
M-708,CUST-4245,gold,48122
M-709,CUST-801,Gold,49094
M-710,CUST-4237,gold,15204
M-711,CUST-4055,Gold,40288
M-712,CUST-255,bronze,11859
M-713,CUST-484,silver,44576
M-714,CUST-635,silver,9946
M-715,CUST-181,GOLD,27991
M-716,CUST-2585,gold,46162
M-717,CUST-3493,SILVER,37984
M-718,CUST-1622,SILVER,41990
M-719,CUST-3613,GOLD,49784
M-720,CUST-4604,GOLD,23172
M-721,CUST-4616,bronze,16575
M-722,CUST-4196,SILVER,45920
M-723,CUST-3428,gold,21967
M-724,CUST-125,GOLD,34233
M-725,CUST-205,silver,32485
M-726,CUST-1221,Gold,9087
M-727,CUST-828,gold,21060
M-728,CUST-3912,GOLD,1320
M-729,CUST-2379,Gold,1836
M-730,CUST-4877,silver,9388
M-731,CUST-466,Gold,26543
M-732,CUST-839,GOLD,36166
M-733,CUST-4884,silver,40854
M-734,CUST-1434,bronze,12442
M-735,CUST-4895,gold,23008
M-736,CUST-654,GOLD,42381
M-737,CUST-3952,Gold,7422
M-738,CUST-1736,gold,48232
M-739,CUST-4624,SILVER,36056
M-740,CUST-4974,bronze,37566
M-741,CUST-4901,gold,44324
M-742,CUST-1993,bronze,9060
M-743,CUST-3229,GOLD,35420
M-744,CUST-1106,silver,3800
M-745,CUST-654,bronze,30014
M-746,CUST-707,bronze,42661
M-747,CUST-3298,silver,27485
M-748,CUST-3450,bronze,17609
M-749,CUST-1511,gold,367
M-750,CUST-4340,gold,39222
M-751,CUST-4335,Gold,2137
M-752,CUST-1446,silver,24963
M-753,CUST-4886,GOLD,892
M-754,CUST-1272,bronze,32188
M-755,CUST-4281,GOLD,26832
M-756,CUST-37,silver,27244
M-757,CUST-2935,Gold,16173
M-758,CUST-1375,bronze,1585
M-759,CUST-1640,bronze,33652
M-760,CUST-2483,GOLD,36219
M-761,CUST-2781,bronze,6345
M-762,CUST-2475,GOLD,11884
M-763,CUST-3377,Gold,39024
M-764,CUST-309,silver,24480
M-765,CUST-4569,SILVER,7776
M-766,CUST-2594,gold,39385
M-767,CUST-604,gold,18500
M-768,CUST-651,GOLD,4235
M-769,CUST-2948,Gold,28703
M-770,CUST-1831,gold,13370
M-771,CUST-359,silver,12251
M-772,CUST-1490,silver,2236
M-773,CUST-433,gold,31762
M-774,CUST-1919,silver,48482
M-775,CUST-2856,Gold,44437
M-776,CUST-2220,bronze,49533
M-777,CUST-4201,bronze,861
M-778,CUST-2586,Gold,2658
M-779,CUST-2501,silver,26995
M-780,CUST-2555,GOLD,42582
M-781,CUST-2872,silver,38685
M-782,CUST-486,GOLD,27739
M-783,CUST-3410,SILVER,49552
M-784,CUST-3121,silver,40288
M-785,CUST-4025,bronze,49043
M-786,CUST-3606,silver,45750
M-787,CUST-1217,SILVER,11712
