shipment_id,order_id,shipped_date,delivered_date,carrier,delivery_days
SH-45,ORD-9723,2025-02-04,2025-06-18,顺丰,4
SH-46,ORD-8036,05/04/2024,2025-06-09,京东物流,2
SH-47,ORD-4063,03/17/2026,2026-02-14,中通,5
SH-48,ORD-4252,2024-11-12,12-11-2025,顺丰,14
SH-49,ORD-7455,11-12-2024,2026-12-15,中通,24
SH-50,ORD-3484,01/16/2024,2025-05-28,顺丰,4
SH-51,ORD-13032,2024-01-01,06/20/2026,中通,7
SH-52,ORD-4496,2024-10-08,24-02-2026,顺丰,5
SH-53,ORD-539,2026-06-16,2025-10-24,邮政,5
SH-54,ORD-7612,2026-08-28,2026-09-08,京东物流,2
SH-55,ORD-6564,2025-09-19,09/22/2024,圆通,1
SH-56,ORD-9741,17-08-2026,01/01/2025,京东物流,1
SH-57,ORD-10771,2026-11-20,2025-03-25,中通,7
SH-58,ORD-11428,2024-12-12,2025-05-02,邮政,4
SH-59,ORD-8137,2024-10-25,11/01/2024,邮政,7
SH-60,ORD-12640,2024-01-22,2025-07-24,京东物流,2
SH-61,ORD-9170,06/21/2025,2024-07-22,圆通,4
SH-62,ORD-9417,2024-06-15,12-02-2024,圆通,1
SH-63,ORD-12833,22-11-2025,04/10/2026,京东物流,1
SH-64,ORD-910,08/27/2024,2024-03-15,顺丰,15
SH-65,ORD-6549,02/10/2025,01/14/2025,顺丰,7
SH-66,ORD-2754,2026-01-16,2025-02-03,京东物流,4
SH-67,ORD-5652,2025-02-10,2026-07-17,中通,7
SH-68,ORD-8133,2024-08-17,01/10/2026,京东物流,5
SH-69,ORD-4063,04-11-2025,17-04-2026,邮政,3
SH-70,ORD-114,2024-10-04,28-08-2024,京东物流,4
SH-71,ORD-13376,16-07-2024,2025-09-09,中通,4
SH-72,ORD-9872,04/02/2024,2025-06-06,京东物流,7
SH-73,ORD-196,10/10/2026,09/06/2024,圆通,7
SH-74,ORD-2758,2026-08-20,04/25/2025,圆通,1
SH-75,ORD-478,2025-04-23,01/14/2025,邮政,1
SH-76,ORD-2954,2024-09-18,2025-12-21,京东物流,3
SH-77,ORD-7044,06/28/2025,27-01-2025,顺丰,1
SH-78,ORD-4678,09/22/2025,2024-11-19,顺丰,3
SH-79,ORD-13813,2026-03-11,2025-12-21,京东物流,2
SH-80,ORD-1252,2024-04-08,08/26/2025,圆通,7
SH-81,ORD-13467,20-09-2026,10/02/2025,邮政,19
SH-82,ORD-9979,2024-06-09,28-06-2026,顺丰,7
SH-83,ORD-8247,2026-06-26,24-10-2026,顺丰,5
SH-84,ORD-1122,07/05/2025,2024-09-27,京东物流,1
SH-85,ORD-3192,2024-01-11,2026-09-15,邮政,1
SH-86,ORD-11227,2026-02-12,2026-04-09,邮政,5
SH-87,ORD-8585,13-06-2024,2026-06-06,邮政,5
SH-88,ORD-8439,28-11-2024,2025-09-08,邮政,6
SH-89,ORD-10180,05-06-2026,05-05-2025,京东物流,6
SH-90,ORD-14835,2024-10-24,04/26/2026,京东物流,4
SH-91,ORD-10000,24-03-2024,2025-06-14,京东物流,6
SH-92,ORD-5817,11/12/2024,2026-07-01,京东物流,3
SH-93,ORD-13089,09/10/2026,2026-01-05,京东物流,4
SH-94,ORD-11321,19-06-2024,06/07/2025,顺丰,7
SH-95,ORD-3716,2025-12-01,16-10-2025,邮政,7
SH-96,ORD-11072,2024-02-25,07/22/2026,圆通,7
SH-97,ORD-14553,2024-08-16,2024-04-08,中通,22
SH-98,ORD-36,2025-06-02,09/13/2025,中通,2
SH-99,ORD-7172,23-05-2026,2025-12-05,顺丰,7
SH-100,ORD-14062,2024-09-15,2024-05-06,京东物流,5
SH-101,ORD-8853,23-11-2024,2025-07-04,圆通,7
SH-102,ORD-6758,09/15/2024,2025-06-04,中通,2
SH-103,ORD-5859,02/21/2026,27-09-2025,顺丰,5
SH-104,ORD-6062,2025-04-17,06/16/2024,顺丰,3
SH-105,ORD-12513,2024-09-17,2026-04-23,圆通,5
SH-106,ORD-9291,2024-05-22,2024-12-08,京东物流,6
SH-107,ORD-880,21-01-2026,03/21/2026,京东物流,3
SH-108,ORD-4226,07/25/2025,2025-12-15,圆通,14
SH-109,ORD-13155,04-04-2026,2025-11-12,京东物流,7
SH-110,ORD-10423,2024-01-11,01/04/2026,圆通,5
SH-111,ORD-4710,08-11-2025,2026-02-13,中通,7
SH-112,ORD-8228,2024-10-08,11/09/2026,邮政,5
SH-113,ORD-681,2026-07-23,2024-04-27,中通,14
SH-114,ORD-6643,02/14/2024,2026-07-18,邮政,2
SH-115,ORD-3613,04/16/2025,09/12/2026,京东物流,2
SH-116,ORD-3981,01-01-2026,2025-02-23,京东物流,12
SH-117,ORD-2506,03/19/2026,2025-02-10,顺丰,5
SH-118,ORD-12858,2024-11-14,04-07-2024,中通,1
SH-119,ORD-11577,2026-03-06,2025-06-05,顺丰,1
SH-120,ORD-2834,02/04/2024,2025-02-11,邮政,1
SH-121,ORD-11612,2026-07-20,09/02/2025,邮政,4
SH-122,ORD-858,07/19/2024,2026-04-10,顺丰,3
SH-123,ORD-1773,01/18/2024,23-06-2025,圆通,4
SH-124,ORD-817,2025-06-18,02-07-2026,中通,4
SH-125,ORD-7732,2026-05-26,12/23/2024,圆通,24
SH-126,ORD-3976,2024-03-08,23-12-2024,邮政,1
SH-127,ORD-12915,19-08-2024,2025-11-12,邮政,2
SH-128,ORD-14394,20-06-2025,28-10-2025,顺丰,3
SH-129,ORD-12054,2026-02-04,2024-08-02,顺丰,3
SH-130,ORD-13232,2024-02-01,05-08-2025,京东物流,7
SH-131,ORD-10861,02/17/2026,2026-10-26,邮政,5
SH-132,ORD-545,08-08-2025,2025-03-09,顺丰,1
SH-133,ORD-10149,10/07/2024,03-09-2026,京东物流,6
SH-134,ORD-4382,21-09-2025,2025-08-19,圆通,2
SH-135,ORD-13395,12/18/2024,03/26/2024,京东物流,2
SH-136,ORD-4159,07/28/2026,07/23/2025,中通,2
SH-137,ORD-9765,2026-03-25,2025-02-25,顺丰,20
SH-138,ORD-5387,2026-08-11,27-12-2024,京东物流,4
SH-139,ORD-5691,20-07-2025,2026-08-22,顺丰,5
SH-140,ORD-1999,07/08/2026,2025-02-13,邮政,7
SH-141,ORD-4615,05/05/2026,2025-10-02,圆通,5
SH-142,ORD-13660,09/16/2026,04-07-2026,圆通,7
SH-143,ORD-5557,2025-04-06,09/27/2024,中通,7
SH-144,ORD-11810,2024-01-19,2026-03-27,中通,3
SH-145,ORD-968,2025-09-09,07/20/2025,京东物流,7
SH-146,ORD-9132,2024-12-21,10/25/2024,圆通,6
SH-147,ORD-5615,16-12-2025,07/27/2024,顺丰,6
SH-148,ORD-4846,06-12-2024,2024-09-18,顺丰,1
SH-149,ORD-10095,2024-08-24,17-05-2025,顺丰,12
SH-150,ORD-7711,2025-01-04,2026-07-01,邮政,1
SH-151,ORD-6603,2026-02-13,10/09/2024,顺丰,4
SH-152,ORD-8154,2024-04-09,21-04-2024,京东物流,5
SH-153,ORD-7901,2025-02-21,2025-03-07,圆通,20
SH-154,ORD-6311,2025-06-18,2024-07-03,中通,4
SH-155,ORD-13918,2026-04-03,2024-05-08,京东物流,4
SH-156,ORD-4512,2026-03-08,2025-03-16,京东物流,2
SH-157,ORD-798,16-12-2026,2024-06-01,中通,4
SH-158,ORD-12944,2026-05-11,2024-05-21,顺丰,1
SH-159,ORD-7097,09/09/2025,22-01-2026,邮政,2
SH-160,ORD-8953,2025-12-17,2024-08-06,京东物流,22
SH-161,ORD-5056,2026-04-19,03/20/2025,顺丰,3
SH-162,ORD-2488,2025-09-02,02/26/2026,顺丰,6
SH-163,ORD-8429,2025-05-18,03-02-2024,京东物流,4
SH-164,ORD-3704,2026-06-02,21-06-2024,顺丰,1
SH-165,ORD-13900,02-01-2025,11/10/2026,顺丰,2
SH-166,ORD-474,2024-08-11,2024-06-17,顺丰,7
SH-167,ORD-13830,2025-04-22,06-05-2024,邮政,4
SH-168,ORD-8116,03/11/2024,01/19/2025,邮政,7
SH-169,ORD-4419,15-02-2025,2026-05-27,圆通,4
SH-170,ORD-370,02-11-2026,06/26/2024,圆通,1
SH-171,ORD-3993,2024-04-07,2024-10-09,中通,5
SH-172,ORD-661,19-12-2024,11/22/2026,顺丰,2
SH-173,ORD-1610,10/04/2025,2026-01-09,邮政,4
SH-174,ORD-9960,12/06/2025,2026-06-07,顺丰,2
SH-175,ORD-13092,2024-06-21,2025-09-24,中通,2
SH-176,ORD-7097,2026-01-25,12/25/2026,顺丰,5
SH-177,ORD-12244,05/17/2026,19-12-2026,顺丰,4
SH-178,ORD-10422,23-05-2024,2024-02-06,邮政,15
SH-179,ORD-5846,2025-01-15,2024-03-23,顺丰,2
SH-180,ORD-9549,2024-08-13,01/19/2025,顺丰,7
SH-181,ORD-14159,04/10/2026,2025-08-09,中通,2
SH-182,ORD-11926,2025-06-19,2026-04-16,邮政,12
SH-183,ORD-9264,2025-07-06,08/10/2025,顺丰,3
SH-184,ORD-511,15-10-2024,2025-11-09,京东物流,5
SH-185,ORD-6856,03/19/2025,06/27/2026,圆通,1
SH-186,ORD-8614,2025-02-06,2025-02-21,顺丰,4
SH-187,ORD-4395,2026-06-26,12/04/2026,圆通,6
SH-188,ORD-10837,08-07-2025,16-08-2024,邮政,5
SH-189,ORD-11412,28-10-2026,11-11-2026,邮政,4
SH-190,ORD-12816,2025-08-16,2024-04-20,中通,4
SH-191,ORD-2368,2025-08-11,2025-08-19,顺丰,3
SH-192,ORD-7463,05/15/2026,2025-11-24,中通,22
SH-193,ORD-1838,03/28/2025,03/16/2026,京东物流,5
SH-194,ORD-2917,2025-05-21,2025-05-08,中通,24
SH-195,ORD-5148,10-12-2024,2024-10-19,中通,8
SH-196,ORD-10703,2024-03-10,27-12-2026,中通,3
SH-197,ORD-5400,2025-12-13,2026-07-25,中通,1
SH-198,ORD-5232,2025-05-19,2025-12-14,邮政,3
SH-199,ORD-1552,2025-05-23,2025-06-02,邮政,2
SH-200,ORD-3500,2025-04-01,2026-04-28,京东物流,2
SH-201,ORD-9248,2026-09-03,2026-02-26,京东物流,2
SH-202,ORD-664,2025-11-04,06/21/2024,邮政,4
SH-203,ORD-4632,2024-11-03,03/12/2025,京东物流,2
SH-204,ORD-8531,21-08-2025,2026-11-27,顺丰,7
SH-205,ORD-11199,05/27/2026,04/04/2026,京东物流,2
SH-206,ORD-8261,23-04-2024,19-01-2025,圆通,3
SH-207,ORD-3750,2024-11-11,13-08-2024,京东物流,16
SH-208,ORD-8603,28-05-2026,2024-03-25,邮政,6
SH-209,ORD-2525,2025-11-17,2026-01-26,圆通,3
SH-210,ORD-14341,07-09-2025,13-05-2025,邮政,2
SH-211,ORD-8039,2024-05-19,03/14/2025,中通,12
SH-212,ORD-9604,25-05-2026,2025-07-12,圆通,1
SH-213,ORD-6784,2025-10-12,2024-12-06,中通,3
SH-214,ORD-7488,02/27/2026,2024-09-13,中通,3
SH-215,ORD-11280,2026-01-21,13-11-2024,邮政,2
SH-216,ORD-6842,2025-07-09,2025-05-22,顺丰,3
SH-217,ORD-610,05/21/2026,05/04/2025,中通,5
SH-218,ORD-5530,27-07-2026,09/10/2024,顺丰,3
SH-219,ORD-13867,2025-11-07,04/04/2025,京东物流,1
SH-220,ORD-7721,20-04-2024,2025-05-22,中通,3
SH-221,ORD-6841,18-09-2024,09/20/2026,邮政,5
SH-222,ORD-14607,10-02-2024,09/21/2026,顺丰,7
SH-223,ORD-13416,2026-01-14,2024-05-06,中通,5
SH-224,ORD-4666,2024-09-25,2026-11-16,中通,6
SH-225,ORD-8437,2026-03-13,11/18/2026,圆通,23
SH-226,ORD-12143,09/20/2026,2025-11-26,顺丰,2
SH-227,ORD-13518,2025-07-23,04/23/2025,圆通,6
SH-228,ORD-12291,07/06/2024,01/21/2024,中通,3
SH-229,ORD-10715,2024-11-10,2024-09-06,邮政,1
SH-230,ORD-7973,2025-02-02,2025-11-21,顺丰,1
SH-231,ORD-6131,2025-12-05,2025-05-22,邮政,2
SH-232,ORD-13320,2025-09-13,2026-06-28,中通,2
SH-233,ORD-4964,12/06/2025,05/20/2024,中通,5
SH-234,ORD-14813,03/07/2026,03-12-2026,京东物流,2
SH-235,ORD-6919,2024-08-10,11/15/2024,京东物流,1
SH-236,ORD-3188,2026-05-25,2024-03-10,京东物流,7
SH-237,ORD-5044,2025-04-25,11/04/2026,京东物流,4
SH-238,ORD-11128,2025-08-13,2024-03-24,圆通,1
SH-239,ORD-12636,15-11-2025,2024-12-21,顺丰,6
SH-240,ORD-468,13-05-2026,01/26/2025,京东物流,6
SH-241,ORD-2827,2025-02-26,2026-01-05,圆通,4
SH-242,ORD-14136,2025-11-11,2026-04-06,顺丰,5
SH-243,ORD-10320,08/14/2025,10/24/2025,邮政,1
SH-244,ORD-2158,2026-06-25,2026-09-17,京东物流,28
SH-245,ORD-8183,2025-02-10,22-03-2026,京东物流,7
SH-246,ORD-9032,22-12-2026,2024-02-16,中通,6
SH-247,ORD-5622,09/07/2026,2024-03-17,圆通,1
SH-248,ORD-12222,2025-06-12,2026-09-25,中通,5
SH-249,ORD-5899,2025-07-22,09/03/2025,邮政,2
SH-250,ORD-10261,09/14/2025,05/20/2025,邮政,7
SH-251,ORD-4290,2025-06-28,24-04-2025,京东物流,5
SH-252,ORD-5162,2024-05-27,10/12/2025,圆通,1
SH-253,ORD-10501,10-06-2024,23-06-2024,圆通,13
SH-254,ORD-878,2025-08-23,2026-05-26,中通,1
SH-255,ORD-4324,04-12-2026,13-08-2026,圆通,5
SH-256,ORD-14736,2025-12-21,09-02-2024,京东物流,6
SH-257,ORD-12584,01/02/2026,2026-04-27,京东物流,27
SH-258,ORD-2255,2024-04-09,2025-08-04,邮政,7
SH-259,ORD-5964,2026-08-03,2024-01-20,中通,5
SH-260,ORD-65,2026-04-10,2025-05-04,京东物流,5
SH-261,ORD-6703,04/28/2026,2024-01-25,圆通,7
SH-262,ORD-449,2024-11-26,2025-09-16,中通,1
SH-263,ORD-12565,20-12-2026,12/17/2024,顺丰,3
SH-264,ORD-10129,2025-05-13,10/04/2026,顺丰,7
SH-265,ORD-10334,28-03-2026,08/10/2024,邮政,2
SH-266,ORD-4687,05/22/2026,03-05-2024,圆通,2
SH-267,ORD-11673,02/06/2024,2025-07-27,邮政,3
SH-268,ORD-5098,04-11-2025,2026-06-26,顺丰,14
SH-269,ORD-10436,2025-07-18,12/04/2026,邮政,1
SH-270,ORD-13006,2024-09-15,2026-02-01,顺丰,6
SH-271,ORD-3968,23-08-2025,2025-06-16,顺丰,3
SH-272,ORD-4688,2025-01-05,2026-01-10,圆通,8
SH-273,ORD-3117,08/26/2025,10/24/2026,顺丰,22
SH-274,ORD-14330,10-11-2026,22-01-2026,顺丰,14
SH-275,ORD-11561,12/05/2024,2024-08-11,邮政,6
SH-276,ORD-14138,2024-11-08,2025-07-07,邮政,7
SH-277,ORD-13947,2025-07-25,2025-11-13,邮政,1
SH-278,ORD-10470,06/22/2024,2024-03-14,中通,5
SH-279,ORD-10760,2025-01-05,2025-10-15,中通,2
SH-280,ORD-14822,05/18/2024,06-01-2025,顺丰,2
SH-281,ORD-7302,11/10/2025,04/25/2024,京东物流,7
SH-282,ORD-2389,01/17/2026,24-10-2024,京东物流,2
SH-283,ORD-10652,2025-09-04,2024-09-21,邮政,7
SH-284,ORD-5332,03-08-2024,03/06/2024,邮政,6
SH-285,ORD-3693,09/17/2026,2025-08-08,圆通,2
SH-286,ORD-9512,22-05-2025,11/11/2024,京东物流,3
SH-287,ORD-9780,04/06/2026,05/16/2026,邮政,5
SH-288,ORD-9498,2026-06-17,09/12/2026,京东物流,4
SH-289,ORD-751,11/22/2026,2025-09-04,中通,17
SH-290,ORD-12108,2024-11-19,2026-04-07,圆通,3
SH-291,ORD-3586,07-08-2026,12/02/2024,顺丰,2
SH-292,ORD-4387,11/18/2025,15-02-2025,京东物流,29
SH-293,ORD-4508,2026-03-03,2025-04-05,邮政,7
SH-294,ORD-7520,2024-11-08,10/01/2024,圆通,3
SH-295,ORD-2964,2025-12-07,2026-10-21,京东物流,4
SH-296,ORD-9882,2026-02-24,27-06-2024,圆通,22
SH-297,ORD-9093,08/16/2024,2025-02-21,邮政,1
SH-298,ORD-3409,2026-04-13,07/12/2026,京东物流,1
SH-299,ORD-7922,03-01-2026,2024-07-16,中通,7
SH-300,ORD-2181,08-11-2026,27-11-2026,顺丰,1
SH-301,ORD-14279,2024-04-04,06/03/2024,京东物流,15
SH-302,ORD-12898,2024-03-04,2024-08-15,邮政,3
SH-303,ORD-12774,11/27/2025,11/06/2025,中通,1
SH-304,ORD-3174,07/26/2026,2025-04-02,中通,1
SH-305,ORD-11049,2025-02-01,05/17/2026,顺丰,2
SH-306,ORD-8940,12/10/2026,2025-08-09,圆通,7
SH-307,ORD-10061,2024-09-20,10/12/2026,圆通,1
SH-308,ORD-13632,2024-09-09,2026-04-05,圆通,4
SH-309,ORD-2446,2026-05-13,2025-09-13,邮政,3
SH-310,ORD-13909,2026-12-11,08/26/2024,中通,7
SH-311,ORD-911,03-05-2025,2024-09-25,顺丰,4
SH-312,ORD-4515,06-03-2026,2024-08-10,邮政,6
SH-313,ORD-2694,2024-12-02,11/07/2026,圆通,7
SH-314,ORD-11483,03/13/2024,2025-11-19,圆通,5
SH-315,ORD-9796,05/19/2024,09/14/2025,顺丰,21
SH-316,ORD-5299,2025-11-20,06/11/2026,京东物流,7
SH-317,ORD-13147,2025-02-20,2026-09-09,圆通,7
SH-318,ORD-14743,2024-05-23,2025-10-17,中通,2
SH-319,ORD-10445,2026-09-12,2024-06-23,京东物流,6
SH-320,ORD-14285,2026-06-22,2026-08-16,邮政,7
SH-321,ORD-3340,2026-02-27,13-05-2026,顺丰,4
SH-322,ORD-8137,2024-10-04,2025-03-08,圆通,8
SH-323,ORD-12634,2024-04-25,06/09/2026,圆通,4
SH-324,ORD-7569,07-08-2024,2026-01-02,顺丰,6
SH-325,ORD-9629,04/14/2026,2026-06-21,京东物流,1
SH-326,ORD-982,08/25/2025,22-01-2026,京东物流,4
SH-327,ORD-6992,2025-07-09,2024-10-15,邮政,6
SH-328,ORD-8457,2026-02-12,2025-11-23,邮政,2
SH-329,ORD-11588,07/17/2024,2024-01-23,邮政,22
SH-330,ORD-6228,07/11/2026,2024-10-07,顺丰,3
SH-331,ORD-4811,2026-06-03,03/07/2025,中通,1
SH-332,ORD-7089,2026-03-13,2025-09-19,中通,2
SH-333,ORD-4502,17-06-2026,2025-10-24,中通,26
SH-334,ORD-10872,04/03/2024,07-05-2026,邮政,7
SH-335,ORD-11992,03/27/2025,2024-03-14,京东物流,2
SH-336,ORD-14492,2026-10-06,2024-12-27,中通,5
SH-337,ORD-3313,2024-11-07,06/28/2025,圆通,25
SH-338,ORD-6643,2026-07-25,24-02-2026,京东物流,7
SH-339,ORD-9130,2024-04-27,2024-05-23,京东物流,1
SH-340,ORD-1584,2026-06-05,08/08/2024,京东物流,1
SH-341,ORD-3194,05-01-2026,10/21/2025,京东物流,2
SH-342,ORD-3736,05-09-2024,08-05-2024,京东物流,2
SH-343,ORD-115,27-04-2024,13-04-2025,京东物流,4
SH-344,ORD-4960,03/04/2024,12-01-2024,圆通,17
SH-345,ORD-10500,2024-06-18,08/26/2025,邮政,7
SH-346,ORD-6527,02/21/2025,11-05-2024,中通,2
SH-347,ORD-3158,2026-06-14,06-08-2024,京东物流,15
SH-348,ORD-7002,03/16/2025,2026-04-16,顺丰,6
SH-349,ORD-10651,2024-09-11,2024-10-28,邮政,1
SH-350,ORD-5411,2026-07-24,11/17/2026,圆通,3
SH-351,ORD-6982,14-06-2026,2026-10-08,京东物流,1
SH-352,ORD-951,2025-03-19,2026-11-27,中通,5
SH-353,ORD-9282,09/25/2024,02/11/2025,京东物流,3
SH-354,ORD-6348,02-11-2026,03/22/2024,圆通,1
SH-355,ORD-6716,02-10-2025,2025-03-23,顺丰,7
SH-356,ORD-13352,03/05/2025,2024-08-14,顺丰,5
SH-357,ORD-4628,22-06-2025,02/14/2024,邮政,2
SH-358,ORD-2762,2025-08-23,10-10-2024,中通,25
SH-359,ORD-9777,2026-02-25,2026-02-14,邮政,4
SH-360,ORD-4130,2024-10-26,2026-04-12,京东物流,6
SH-361,ORD-12204,08/14/2026,2024-11-21,圆通,6
SH-362,ORD-1307,06/04/2025,2025-10-17,顺丰,3
SH-363,ORD-6615,01/05/2026,09-06-2025,京东物流,3
SH-364,ORD-11398,01/06/2026,10/24/2024,中通,1
SH-365,ORD-10516,2025-07-12,09/27/2024,圆通,3
SH-366,ORD-11099,06/04/2026,03/14/2026,顺丰,5
SH-367,ORD-13876,12-02-2026,12/28/2025,圆通,6
SH-368,ORD-6285,2024-12-19,2024-06-16,中通,1
SH-369,ORD-11625,2024-07-07,2026-04-20,顺丰,15
SH-370,ORD-11115,2025-10-19,01/25/2026,顺丰,4
SH-371,ORD-13443,16-09-2026,2025-12-27,顺丰,3
SH-372,ORD-829,2026-05-22,11/07/2025,圆通,2
SH-373,ORD-5022,06/18/2026,11/04/2024,圆通,4
SH-374,ORD-6936,10/12/2025,2026-02-08,顺丰,22
SH-375,ORD-6050,2026-02-22,24-09-2026,京东物流,2
SH-376,ORD-1569,2026-09-27,2026-10-20,京东物流,6
SH-377,ORD-591,2026-11-07,02/16/2025,京东物流,3
SH-378,ORD-13187,17-04-2024,2024-01-28,圆通,25
SH-379,ORD-14569,2025-10-28,11-07-2026,顺丰,1
SH-380,ORD-4607,06-01-2025,2024-08-24,圆通,6
SH-381,ORD-7651,2025-04-04,2024-02-01,中通,7
SH-382,ORD-8483,2025-06-15,2026-04-07,中通,23
SH-383,ORD-187,2025-07-17,2026-02-27,顺丰,1
SH-384,ORD-2205,07/01/2024,2025-01-05,顺丰,3
SH-385,ORD-8415,06/05/2025,2025-12-20,京东物流,1
SH-386,ORD-10107,2025-08-17,02/14/2026,京东物流,2
SH-387,ORD-7133,2025-03-26,06/22/2026,顺丰,5
SH-388,ORD-4127,07/12/2024,14-06-2024,邮政,2
SH-389,ORD-11732,25-11-2024,12/27/2025,圆通,1
SH-390,ORD-7422,2025-08-26,13-01-2024,圆通,1
SH-391,ORD-13357,2025-04-15,04/16/2026,顺丰,6
SH-392,ORD-9303,28-08-2026,23-12-2024,邮政,2
SH-393,ORD-9434,2024-04-21,11/13/2025,顺丰,4
SH-394,ORD-14331,2024-05-04,02-01-2025,京东物流,1
SH-395,ORD-2913,12/13/2026,01/02/2024,京东物流,5
SH-396,ORD-9460,2024-09-01,2025-10-10,顺丰,5
SH-397,ORD-4490,01-10-2024,13-08-2025,圆通,4
SH-398,ORD-14877,07/01/2024,05-07-2025,圆通,7
SH-399,ORD-12752,06-07-2024,03-01-2024,京东物流,7
SH-400,ORD-10641,03/06/2026,15-07-2026,邮政,2
SH-401,ORD-11371,06/25/2026,06/07/2025,邮政,11
SH-402,ORD-12030,2024-04-16,04/14/2025,京东物流,6
SH-403,ORD-914,22-12-2025,26-12-2025,邮政,1
SH-404,ORD-12253,05/20/2025,11/02/2025,邮政,3
SH-405,ORD-12098,05/23/2025,2025-06-18,中通,7
SH-406,ORD-6856,19-01-2026,2024-01-08,圆通,3
SH-407,ORD-8189,11/01/2026,06-06-2025,京东物流,1
SH-408,ORD-7135,04/16/2026,2025-10-04,京东物流,2
SH-409,ORD-14095,2026-10-19,11/27/2024,中通,5
SH-410,ORD-7795,2026-06-13,15-12-2024,顺丰,7
SH-411,ORD-13493,04/25/2026,2025-05-24,顺丰,7
SH-412,ORD-11215,2024-11-02,12/22/2024,顺丰,1
SH-413,ORD-13754,06/23/2024,04-01-2026,京东物流,28
SH-414,ORD-5486,2025-12-13,12/10/2026,邮政,6
SH-415,ORD-7703,2025-04-19,05-08-2026,中通,4
SH-416,ORD-4497,03/15/2024,07/20/2026,邮政,2
SH-417,ORD-13039,10/12/2026,02-03-2025,顺丰,7
SH-418,ORD-1915,2026-02-01,2025-11-23,顺丰,7
SH-419,ORD-14214,2024-10-27,07/15/2024,邮政,6
SH-420,ORD-11992,12/26/2025,02/13/2025,中通,1
SH-421,ORD-10277,08-03-2025,2026-10-13,中通,2
SH-422,ORD-14458,2026-03-09,09/26/2024,顺丰,6
SH-423,ORD-1281,02/28/2025,2025-09-17,顺丰,2
SH-424,ORD-10164,2026-03-27,2024-05-01,邮政,4
SH-425,ORD-2486,05/24/2025,12/17/2025,顺丰,1
SH-426,ORD-4210,2026-10-05,2026-10-07,圆通,5
SH-427,ORD-7986,03/28/2024,09-05-2024,圆通,1
SH-428,ORD-10605,2024-12-06,01/08/2026,中通,4
SH-429,ORD-10775,2024-03-20,2026-05-11,中通,1
SH-430,ORD-2328,02-02-2024,23-12-2026,圆通,1
SH-431,ORD-10757,2024-06-17,2025-12-13,顺丰,3
SH-432,ORD-12361,2026-01-03,2025-05-28,顺丰,7
SH-433,ORD-8997,2025-09-01,07/03/2024,圆通,6
