shipment_id,supplier_id,part_number,quantity,unit_cost,order_date,arrival_date,lead_time_days
SHIP-164,MFG-135,PN-1929,173,33.86,10/20/2022,27-07-2024,30
SHIP-165,MFG-92,PN-8937,186,9.61,2024-07-17,16-08-2020,27
SHIP-166,MFG-180,PN-8626,5,40.32,03/15/2020,2022-02-15,15
SHIP-167,MFG-195,PN-6811,3,43.55,2022-11-11,2022-05-25,16
SHIP-168,MFG-187,PN-3337,170,22,04/11/2020,2022-08-17,20
SHIP-169,MFG-186,PN-5044,196,9.88,07/12/2024,2020-05-13,12
SHIP-170,MFG-9,PN-5648,53,8.02,10-01-2021,07/07/2021,17
SHIP-171,MFG-172,PN-4238,44,56.77,2024-11-06,2023-11-09,11
SHIP-172,MFG-85,PN-1731,126,41.78,2023-07-22,09/25/2020,15
SHIP-173,MFG-162,PN-7231,58,68,2021-04-28,01-08-2024,26
SHIP-174,MFG-43,PN-9327,145,94.68,2020-01-24,01/14/2022,7
SHIP-175,MFG-166,PN-6232,29,84,2024-10-05,10/15/2024,2
SHIP-176,MFG-98,PN-4042,25,64.96,2024-03-07,2020-04-03,23
SHIP-177,MFG-28,PN-8862,197,16,08/22/2023,2024-06-27,15
SHIP-178,MFG-135,PN-2235,95,85,10/03/2022,2021-02-08,21
SHIP-179,MFG-126,PN-9939,108,76.1,20-02-2020,2021-02-24,28
SHIP-180,MFG-132,PN-5660,198,73.4,2024-04-16,26-08-2023,25
SHIP-181,MFG-196,PN-3710,88,89.36,2024-07-15,2020-12-27,1
SHIP-182,MFG-95,PN-1090,79,"93,15",2023-02-18,12/21/2024,16
SHIP-183,MFG-16,PN-3969,65,14.14,2020-02-16,2023-07-07,15
SHIP-184,MFG-157,PN-5445,11,71,2021-04-10,21-06-2020,35
SHIP-185,MFG-130,PN-5332,42,15.57,2021-09-28,06/22/2022,19
SHIP-186,MFG-138,PN-3950,109,23.78,2022-12-14,05/07/2021,6
SHIP-187,MFG-10,PN-1481,57,48.63,04/26/2021,2022-10-27,30
SHIP-188,MFG-115,PN-7777,190,43.35,01/01/2024,2020-07-17,4
SHIP-189,MFG-46,PN-9769,11,24,04-09-2021,2022-04-07,9
SHIP-190,MFG-28,PN-5541,45,96.75,2022-03-11,01/23/2022,16
SHIP-191,MFG-186,PN-6671,43,98.29,2024-06-17,2023-12-01,24
SHIP-192,MFG-139,PN-6205,54,95.34,2024-03-25,2021-11-21,19
SHIP-193,MFG-83,PN-7082,18,16.29,04/10/2024,2021-02-10,16
SHIP-194,MFG-191,PN-1489,13,87,2020-03-10,2022-07-18,2
SHIP-195,MFG-70,PN-8872,36,29,12-12-2023,01-08-2023,19
SHIP-196,MFG-170,PN-8583,70,67.77,11/25/2024,06-12-2023,33
SHIP-197,MFG-107,PN-1803,68,51.77,2022-11-19,2022-11-20,21
SHIP-198,MFG-113,PN-2642,69,15,2024-07-15,22-03-2021,22
SHIP-199,MFG-117,PN-5444,142,85,2022-02-16,17-12-2022,14
SHIP-200,MFG-163,PN-8113,195,40.42,2023-06-21,2021-10-01,17
SHIP-201,MFG-103,PN-8914,140,69.26,2021-01-28,2020-01-21,27
SHIP-202,MFG-191,PN-1421,189,3.21,04/07/2023,11/16/2021,38
SHIP-203,MFG-46,PN-4354,170,"3,98",20-07-2020,2022-11-24,16
SHIP-204,MFG-75,PN-4838,15,15,07-04-2023,2020-04-16,65
SHIP-205,MFG-176,PN-7380,61,36.92,07/13/2020,2021-09-02,28
SHIP-206,MFG-25,PN-8841,200,36.42,03-09-2023,2023-03-27,27
SHIP-207,MFG-143,PN-2234,141,89.09,02/02/2020,2022-10-01,22
SHIP-208,MFG-199,PN-5103,176,36.44,2023-11-01,2021-05-12,15
SHIP-209,MFG-113,PN-3066,95,20.28,10/08/2020,2023-11-23,6
SHIP-210,MFG-120,PN-1684,41,51,25-11-2020,12/27/2021,11
SHIP-211,MFG-68,PN-2580,104,95.26,09/18/2021,2020-01-19,17
SHIP-212,MFG-63,PN-4258,136,83.33,2021-11-27,2022-04-21,3
SHIP-213,MFG-73,PN-8645,64,"50,25",08/23/2024,02-12-2023,42
SHIP-214,MFG-119,PN-5295,154,36.22,2021-08-19,08/22/2020,52
SHIP-215,MFG-20,PN-1695,67,60.57,2021-01-28,2024-07-11,8
SHIP-216,MFG-29,PN-5760,6,92.12,2024-11-20,2022-10-03,21
SHIP-217,MFG-177,PN-3550,63,18.74,2022-07-23,12/07/2022,4
SHIP-218,MFG-31,PN-5744,3,72,2021-01-15,18-07-2024,28
SHIP-219,MFG-40,PN-9982,184,16,05/26/2024,09/09/2022,18
SHIP-220,MFG-166,PN-8953,122,75.08,2021-05-08,05/27/2020,17
SHIP-221,MFG-119,PN-9972,74,10,18-04-2022,04/09/2020,13
SHIP-222,MFG-117,PN-7944,199,79.33,2024-04-13,22-04-2024,20
SHIP-223,MFG-52,PN-7271,115,61.97,2021-03-22,05/19/2020,19
SHIP-224,MFG-32,PN-7107,14,33.58,25-02-2024,04/21/2021,16
SHIP-225,MFG-179,PN-9681,144,"94,95",2022-03-12,11/28/2021,30
SHIP-226,MFG-83,PN-3688,63,98,03/19/2021,10-02-2022,21
SHIP-227,MFG-200,PN-1266,188,57.69,07/24/2024,2020-12-03,26
SHIP-228,MFG-60,PN-1621,9,48.08,2021-05-19,2022-07-18,19
SHIP-229,MFG-125,PN-4574,108,98.64,2023-01-01,2021-11-17,21
SHIP-230,MFG-184,PN-1335,199,98.93,07/08/2022,08/15/2020,29
SHIP-231,MFG-124,PN-3743,117,78.13,2022-09-16,2024-09-06,28
SHIP-232,MFG-37,PN-1457,108,"10,14",2023-12-09,07/28/2022,9
SHIP-233,MFG-25,PN-6949,38,23.64,2023-01-15,2024-01-05,13
SHIP-234,MFG-164,PN-1465,95,38.21,24-12-2024,2023-07-15,1
SHIP-235,MFG-119,PN-8698,42,26,12-11-2023,12/23/2022,10
SHIP-236,MFG-183,PN-9238,200,38.69,2020-04-20,11/18/2023,49
SHIP-237,MFG-74,PN-8500,192,89.36,2024-12-10,12/19/2020,14
SHIP-238,MFG-73,PN-4177,77,11.98,2021-06-09,2023-02-14,4
SHIP-239,MFG-71,PN-8282,105,26.19,03/03/2021,2020-08-11,4
SHIP-240,MFG-88,PN-7131,36,47.19,20-08-2021,09-02-2021,53
SHIP-241,MFG-32,PN-5313,148,"16,88",2023-02-25,2021-09-27,15
SHIP-242,MFG-177,PN-6057,52,79.55,02/22/2021,2020-05-07,25
SHIP-243,MFG-67,PN-4080,148,89.59,2022-10-02,03/28/2023,4
SHIP-244,MFG-108,PN-9000,146,66,2023-06-19,2020-06-25,27
SHIP-245,MFG-98,PN-3551,164,59,08-12-2024,2022-06-18,6
SHIP-246,MFG-67,PN-8548,168,77.75,2023-12-17,05-10-2023,22
SHIP-247,MFG-62,PN-3840,194,"100,6",02-02-2022,06/08/2021,15
SHIP-248,MFG-100,PN-7392,104,65.71,16-03-2023,2020-05-21,23
SHIP-249,MFG-13,PN-4093,119,65.55,2023-11-07,01/19/2022,4
SHIP-250,MFG-130,PN-8597,19,"63,91",2023-02-13,2022-01-21,9
SHIP-251,MFG-8,PN-7408,26,46.99,08/20/2020,17-04-2020,19
SHIP-252,MFG-163,PN-7084,1,98.68,08/23/2020,12-01-2021,15
SHIP-253,MFG-133,PN-2600,41,1,2023-04-28,04/21/2022,46
SHIP-254,MFG-53,PN-4119,28,82,2022-02-15,2021-02-27,23
SHIP-255,MFG-151,PN-3864,3,23,2024-09-02,2023-12-11,15
SHIP-256,MFG-59,PN-7810,110,26.06,2022-03-03,2023-02-03,8
SHIP-257,MFG-146,PN-6716,56,5.39,13-11-2024,05/19/2023,29
SHIP-258,MFG-97,PN-9483,6,79.8,2024-03-11,2022-02-23,2
SHIP-259,MFG-178,PN-9636,159,3.66,01/03/2020,2020-04-11,21
SHIP-260,MFG-186,PN-4971,30,29.35,01-05-2023,2023-02-24,26
SHIP-261,MFG-13,PN-5068,99,54.75,04-05-2020,10-04-2020,67
SHIP-262,MFG-22,PN-6051,18,10,2022-01-04,2023-11-23,38
SHIP-263,MFG-180,PN-1644,29,3.2,2021-08-25,04/23/2023,27
SHIP-264,MFG-25,PN-8027,31,47.99,2024-02-28,2023-05-22,14
SHIP-265,MFG-181,PN-1349,167,32.24,05-06-2021,2020-09-08,13
SHIP-266,MFG-12,PN-6863,124,43.75,24-05-2022,2024-06-27,27
SHIP-267,MFG-44,PN-3293,112,85,2021-04-07,2024-01-16,30
SHIP-268,MFG-168,PN-7260,77,"36,09",2023-04-21,02/05/2024,12
SHIP-269,MFG-137,PN-7055,53,92.85,2020-05-04,2024-11-19,15
SHIP-270,MFG-188,PN-1061,83,43,2021-06-11,03/25/2021,2
SHIP-271,MFG-39,PN-3391,31,5.3,2024-02-06,2024-09-11,17
SHIP-272,MFG-116,PN-2667,96,12.93,09/09/2020,2020-04-25,11
SHIP-273,MFG-174,PN-6432,106,6.93,2021-10-26,2020-08-13,21
SHIP-274,MFG-38,PN-1323,62,76.28,01-11-2022,2023-04-20,35
SHIP-275,MFG-52,PN-9072,13,"37,48",2022-06-24,2022-02-09,13
SHIP-276,MFG-10,PN-4282,45,92.13,12-08-2022,2021-12-16,14
SHIP-277,MFG-188,PN-9459,139,74.59,07/08/2024,27-06-2020,57
SHIP-278,MFG-189,PN-6628,183,"53,69",2020-04-14,2022-05-04,18
SHIP-279,MFG-138,PN-1122,199,"65,09",2021-06-10,2021-02-28,4
SHIP-280,MFG-171,PN-6164,198,44.66,2021-11-19,2024-07-25,18
SHIP-281,MFG-139,PN-7105,187,77.54,06/03/2021,03-03-2023,54
SHIP-282,MFG-115,PN-3508,200,28.37,23-12-2024,12/20/2020,29
SHIP-283,MFG-38,PN-8448,71,"63,11",20-05-2022,2020-09-03,54
SHIP-284,MFG-133,PN-8669,17,66.43,17-09-2024,2022-12-10,24
SHIP-285,MFG-99,PN-1507,133,"65,35",2021-10-02,2022-01-08,30
SHIP-286,MFG-144,PN-1296,124,71.27,2024-11-22,2020-10-14,2
SHIP-287,MFG-153,PN-1923,131,"56,54",2021-02-02,2020-02-28,24
SHIP-288,MFG-50,PN-9186,28,53.24,2022-03-07,2023-11-17,10
SHIP-289,MFG-41,PN-6941,46,"28,57",2021-09-14,10/03/2024,6
SHIP-290,MFG-162,PN-9074,195,"31,83",09/09/2024,2020-01-24,2
SHIP-291,MFG-158,PN-9001,35,"6,18",2022-07-12,04/19/2024,52
SHIP-292,MFG-165,PN-2485,184,4.5,2023-08-15,07/21/2020,2
SHIP-293,MFG-172,PN-8499,110,72.41,22-05-2024,2021-12-25,27
SHIP-294,MFG-173,PN-9493,190,73.88,03/18/2021,2024-11-12,48
SHIP-295,MFG-157,PN-1929,53,"2,03",2020-12-05,2022-05-17,23
SHIP-296,MFG-173,PN-7082,14,35.94,2020-03-08,02-11-2020,20
SHIP-297,MFG-20,PN-3048,52,97.03,04/17/2023,27-08-2021,5
SHIP-298,MFG-27,PN-5512,198,"100,92",2023-07-25,12-09-2023,13
SHIP-299,MFG-119,PN-2995,9,38,12/06/2023,2023-03-20,1
SHIP-300,MFG-142,PN-3805,172,81,2024-10-02,2021-07-24,66
SHIP-301,MFG-77,PN-4520,162,47.17,04/19/2020,2021-12-25,6
SHIP-302,MFG-107,PN-7789,13,8,2023-02-08,2024-01-23,29
SHIP-303,MFG-147,PN-6031,49,19.01,27-11-2020,2023-07-27,27
SHIP-304,MFG-133,PN-5867,162,44.12,09/02/2023,01/17/2024,19
SHIP-305,MFG-23,PN-7869,115,90.08,07/05/2020,02/24/2020,28
SHIP-306,MFG-125,PN-8535,98,90.84,05/12/2024,2024-02-19,14
SHIP-307,MFG-101,PN-3437,55,"99,17",06/03/2024,09/19/2020,13
SHIP-308,MFG-191,PN-1021,137,22,06/27/2020,05/28/2022,16
SHIP-309,MFG-100,PN-3444,155,"18,37",2020-06-14,2024-12-11,14
SHIP-310,MFG-110,PN-6289,84,64,2021-11-25,2022-02-18,12
SHIP-311,MFG-77,PN-5575,146,99.25,09/11/2020,2022-11-27,7
SHIP-312,MFG-175,PN-1774,86,32.33,16-05-2021,24-08-2021,15
SHIP-313,MFG-90,PN-9249,59,"100,97",18-12-2022,19-07-2022,30
SHIP-314,MFG-153,PN-4633,152,15.34,2020-02-11,2022-08-25,15
SHIP-315,MFG-40,PN-8488,124,96,2024-10-04,2021-02-02,16
SHIP-316,MFG-23,PN-7275,19,60.57,04-09-2023,2024-08-27,2
SHIP-317,MFG-30,PN-2878,187,57.92,2022-11-10,2022-11-28,26
SHIP-318,MFG-200,PN-4882,125,15,08/01/2021,13-06-2023,3
SHIP-319,MFG-18,PN-9727,187,4,02/08/2023,2022-08-16,5
SHIP-320,MFG-124,PN-4026,80,92,2021-10-24,2022-11-10,64
SHIP-321,MFG-146,PN-2407,31,48,2024-10-18,2023-03-20,22
SHIP-322,MFG-26,PN-9240,25,71.29,2023-04-21,2021-08-22,7
SHIP-323,MFG-197,PN-9819,14,55,2024-05-11,12/07/2021,8
SHIP-324,MFG-65,PN-9427,101,95,10/18/2023,2023-04-25,1
SHIP-325,MFG-75,PN-1232,173,48,03/19/2022,2023-02-12,6
SHIP-326,MFG-12,PN-2219,171,34,2021-02-04,11/18/2023,30
SHIP-327,MFG-18,PN-5820,11,"44,63",07/09/2020,2023-08-19,5
SHIP-328,MFG-145,PN-2735,101,"89,22",2021-05-19,2020-05-19,12
SHIP-329,MFG-175,PN-5166,30,93.19,12/18/2024,03/28/2024,17
SHIP-330,MFG-96,PN-4173,132,"68,87",2021-09-25,2023-07-03,14
SHIP-331,MFG-187,PN-4465,20,64,2024-10-25,2022-01-27,66
SHIP-332,MFG-169,PN-7824,148,55,2021-03-21,2024-05-23,17
SHIP-333,MFG-52,PN-8472,71,80.31,05/26/2024,2022-03-20,26
SHIP-334,MFG-54,PN-3053,66,48.82,2021-05-17,07/12/2023,26
SHIP-335,MFG-76,PN-3496,173,"65,54",21-02-2022,02/07/2021,2
SHIP-336,MFG-112,PN-4141,142,7.21,2024-04-17,2021-10-10,2
SHIP-337,MFG-62,PN-6649,166,"14,98",11/20/2020,2021-01-22,5
SHIP-338,MFG-9,PN-9651,2,31,2020-05-17,2022-04-08,27
SHIP-339,MFG-83,PN-4534,160,41,2021-09-10,2022-05-19,22
SHIP-340,MFG-141,PN-4357,146,8,08/15/2021,2020-09-23,14
SHIP-341,MFG-36,PN-2840,5,"50,88",2022-06-07,08-09-2023,19
SHIP-342,MFG-33,PN-7084,84,62,2021-11-28,2024-07-24,26
