subscription_id,account_id,product,quantity,unit_price,start_date,end_date,status
SUB-243,SAAS-266,platform,17,348,2024-12-27,2020-05-26,active
SUB-244,SAAS-237,api,50,12.42,2024-05-08,2022-11-05,past_due
SUB-245,SAAS-368,platform,5,417.25,2024-03-09,18-04-2022,cancelled
SUB-246,SAAS-164,api,16,99.37,2023-04-10,2020-12-27,past_due
SUB-247,SAAS-191,support,45,350.58,27-12-2022,2022-03-12,active
SUB-248,SAAS-183,modules,1,439.77,2024-07-27,2024-07-18,active
SUB-249,SAAS-308,support,43,442,2023-11-08,10/22/2020,active
SUB-250,SAAS-155,modules,25,259.82,2024-01-10,2023-05-28,active
SUB-251,SAAS-180,modules,32,169.72,2024-04-06,2022-03-28,past_due
SUB-252,SAAS-92,support,9,496.36,2021-12-21,02-03-2022,active
SUB-253,SAAS-345,modules,15,158.09,2020-10-13,2021-02-24,active
SUB-254,SAAS-101,modules,25,85,2022-03-16,2020-04-17,active
SUB-255,SAAS-182,api,43,38.63,15-08-2024,2024-12-24,active
SUB-256,SAAS-142,api,49,448,2023-04-01,2022-09-20,cancelled
SUB-257,SAAS-117,support,34,412,20-04-2023,2021-09-14,active
SUB-258,SAAS-356,modules,31,273.2,08-03-2023,2023-06-03,active
SUB-259,SAAS-389,modules,3,84.96,2024-06-28,2022-06-10,active
SUB-260,SAAS-192,support,45,449.95,2024-11-09,06-08-2023,active
SUB-261,SAAS-141,api,-3,392.02,2020-11-24,05/17/2024,active
SUB-262,SAAS-145,api,9,446.38,16-11-2021,2020-06-15,active
SUB-263,SAAS-262,api,30,223.66,2021-04-19,18-11-2022,active
SUB-264,SAAS-221,platform,16,437.04,21-06-2020,2021-04-15,active
SUB-265,SAAS-179,platform,40,133.45,2022-02-15,2024-02-13,cancelled
SUB-266,SAAS-230,support,23,187,2021-05-10,2022-09-15,past_due
SUB-267,SAAS-6,platform,50,473.04,02-03-2020,2024-02-19,cancelled
SUB-268,SAAS-282,api,48,429,11-05-2024,2022-10-28,active
SUB-269,SAAS-382,support,24,156.91,2021-10-22,16-12-2021,active
SUB-270,SAAS-354,support,4,290.19,2022-04-15,2022-08-06,cancelled
SUB-271,SAAS-233,api,37,386,2020-10-01,2022-09-04,cancelled
SUB-272,SAAS-83,support,18,131.1,2024-07-18,11/21/2023,past_due
SUB-273,SAAS-216,api,33,136,19-10-2021,23-03-2024,active
SUB-274,SAAS-362,support,13,281.73,2021-12-18,2023-10-27,past_due
SUB-275,SAAS-114,platform,3,358,2021-03-06,2022-01-10,cancelled
SUB-276,SAAS-399,modules,45,239.03,2024-07-12,2024-09-25,past_due
SUB-277,SAAS-9,api,28,81.37,2021-10-23,2024-04-15,active
SUB-278,SAAS-230,support,13,201.87,2022-11-13,2024-07-01,active
SUB-279,SAAS-392,platform,11,317.38,2023-05-02,2022-04-16,active
SUB-280,SAAS-359,platform,27,113.36,2024-05-20,2023-08-23,cancelled
SUB-281,SAAS-48,modules,39,299.3,2020-09-05,2021-08-07,cancelled
SUB-282,SAAS-294,modules,16,94.52,2022-11-06,2020-03-18,active
SUB-283,SAAS-46,modules,21,331.95,2024-05-03,2022-11-24,active
SUB-284,SAAS-158,api,10,31.04,06-11-2020,2020-08-16,cancelled
SUB-285,SAAS-88,platform,10,505.92,2021-01-25,23-04-2024,past_due
SUB-286,SAAS-210,support,3,313.68,2020-09-24,07/16/2023,active
SUB-287,SAAS-267,platform,16,49.44,2020-03-24,04/11/2024,cancelled
SUB-288,SAAS-62,platform,47,413,11-12-2023,02/26/2021,past_due
SUB-289,SAAS-331,support,24,463,2022-09-08,2021-02-28,active
SUB-290,SAAS-142,modules,28,426.95,2021-07-18,2023-07-11,active
SUB-291,SAAS-79,api,26,130.45,2021-05-01,24-07-2022,cancelled
SUB-292,SAAS-10,modules,10,113.15,21-02-2024,21-01-2020,active
SUB-293,SAAS-372,support,25,189.62,2024-11-18,01/11/2023,active
SUB-294,SAAS-46,platform,20,124,2021-10-04,2020-03-24,past_due
SUB-295,SAAS-382,platform,36,33,26-05-2023,2021-02-23,active
SUB-296,SAAS-69,platform,37,274.37,16-06-2024,2020-02-02,active
SUB-297,SAAS-322,api,39,208.49,06-05-2022,12/14/2020,cancelled
SUB-298,SAAS-70,support,30,383.46,2023-10-06,2021-12-05,past_due
SUB-299,SAAS-199,support,48,252.04,05-11-2023,09-01-2020,past_due
SUB-300,SAAS-307,modules,20,154.8,2022-05-23,11-08-2020,active
SUB-301,SAAS-26,support,16,232.66,06-11-2021,2020-10-23,past_due
SUB-302,SAAS-229,support,6,488.04,2020-06-06,05/18/2024,active
SUB-303,SAAS-283,support,36,311.82,2024-04-11,2021-06-25,past_due
SUB-304,SAAS-212,platform,47,410.81,2020-03-04,2020-08-02,active
SUB-305,SAAS-273,support,20,363.51,05-04-2023,07/18/2022,active
SUB-306,SAAS-166,api,33,301.07,2024-03-26,14-11-2020,active
SUB-307,SAAS-55,support,17,358.41,2024-05-28,06/13/2020,past_due
SUB-308,SAAS-367,api,12,404.78,2021-05-10,2021-01-01,past_due
SUB-309,SAAS-81,modules,7,459,2024-10-03,07/28/2020,active
SUB-310,SAAS-162,platform,-9,67.27,2021-11-03,2020-07-22,active
SUB-311,SAAS-101,api,23,90.82,2020-04-02,12-09-2020,active
SUB-312,SAAS-277,api,25,101.84,18-06-2020,08/02/2023,active
SUB-313,SAAS-377,modules,26,377.96,2020-09-13,2020-10-28,active
SUB-314,SAAS-353,modules,46,374.65,2022-02-12,10/03/2020,active
SUB-315,SAAS-316,api,28,275.91,26-11-2020,2021-07-10,active
SUB-316,SAAS-89,modules,26,93.24,2020-11-17,2024-12-12,active
SUB-317,SAAS-51,modules,10,98.61,2023-11-10,2021-06-13,past_due
SUB-318,SAAS-271,support,46,176,2022-12-27,2023-06-01,active
SUB-319,SAAS-91,modules,44,180,2024-12-03,07-06-2024,active
SUB-320,SAAS-161,platform,44,423.75,2020-09-11,2021-09-07,past_due
SUB-321,SAAS-299,support,33,226.06,2023-09-04,2021-03-17,active
SUB-322,SAAS-127,modules,7,301,2020-06-22,19-08-2023,cancelled
SUB-323,SAAS-39,support,17,378,2024-03-16,2021-10-02,past_due
SUB-324,SAAS-115,modules,34,255.81,19-01-2020,24-09-2022,active
SUB-325,SAAS-69,support,13,474.34,2020-10-06,23-07-2023,past_due
SUB-326,SAAS-248,support,27,279.95,2021-12-13,03-09-2022,past_due
SUB-327,SAAS-351,platform,45,304,2022-11-05,2020-11-21,active
SUB-328,SAAS-285,platform,21,355.16,2023-06-18,05/13/2020,active
SUB-329,SAAS-336,modules,4,386.7,2021-05-28,2020-09-20,active
SUB-330,SAAS-21,api,50,186,22-12-2023,24-07-2023,past_due
SUB-331,SAAS-348,support,32,141.63,27-10-2021,24-06-2023,active
SUB-332,SAAS-62,modules,39,55.91,09-10-2023,2022-01-14,active
SUB-333,SAAS-368,api,46,93.05,2024-10-01,2021-10-07,active
SUB-334,SAAS-338,api,-9,402,2021-12-20,07/12/2020,active
SUB-335,SAAS-154,api,32,186.07,2020-11-14,2023-09-25,active
SUB-336,SAAS-45,modules,30,468.86,2024-11-17,06/11/2020,active
SUB-337,SAAS-319,platform,7,132.13,2022-03-11,2022-01-01,active
SUB-338,SAAS-91,api,-4,364.3,2024-07-02,2022-08-23,active
SUB-339,SAAS-196,api,30,103.6,2020-05-02,2020-06-22,active
SUB-340,SAAS-230,api,-4,39.81,08-10-2021,2021-10-28,past_due
SUB-341,SAAS-136,platform,13,127.73,2021-03-04,05/11/2024,active
SUB-342,SAAS-164,api,-8,467,08-12-2020,08/20/2023,active
SUB-343,SAAS-383,platform,43,386,2021-08-15,03/06/2021,active
SUB-344,SAAS-281,modules,10,144.29,2022-06-25,2020-05-27,cancelled
SUB-345,SAAS-351,platform,-2,152,2020-03-23,2024-01-03,active
SUB-346,SAAS-58,platform,38,251.7,2022-05-09,01/19/2021,cancelled
SUB-347,SAAS-181,modules,47,187.6,2020-01-28,09/03/2024,past_due
SUB-348,SAAS-266,modules,-6,394,2024-06-02,01/21/2024,past_due
SUB-349,SAAS-77,support,40,485,2023-12-05,04-06-2023,active
SUB-350,SAAS-201,modules,38,255,2022-07-13,04/17/2023,active
SUB-351,SAAS-19,platform,37,481,2021-11-18,09/27/2021,cancelled
SUB-352,SAAS-282,api,6,45,2022-10-04,16-04-2023,active
SUB-353,SAAS-295,platform,28,136,01-09-2021,10-05-2023,active
SUB-354,SAAS-164,api,33,386.71,2020-02-06,2024-12-21,active
SUB-355,SAAS-44,modules,24,343.89,2021-09-20,2023-06-21,active
SUB-356,SAAS-277,api,20,452.18,2023-06-22,2023-09-01,past_due
SUB-357,SAAS-264,support,43,351.91,2024-01-09,2022-12-07,active
SUB-358,SAAS-192,platform,37,262.59,2020-06-20,21-11-2022,active
SUB-359,SAAS-197,platform,38,294.59,2023-05-14,09/26/2023,active
SUB-360,SAAS-130,modules,-3,437.64,2023-06-08,05-01-2021,active
SUB-361,SAAS-236,modules,8,226.96,2024-04-06,2020-09-13,past_due
SUB-362,SAAS-170,modules,13,259.44,22-05-2024,12/14/2023,past_due
SUB-363,SAAS-189,support,14,270.67,24-07-2021,09/11/2021,cancelled
SUB-364,SAAS-149,modules,26,409.26,2021-12-09,2024-03-01,past_due
SUB-365,SAAS-391,platform,48,331.28,13-04-2020,2024-02-02,active
SUB-366,SAAS-241,platform,-2,465,2024-06-08,2024-06-12,active
SUB-367,SAAS-361,platform,50,383,05-08-2021,2023-04-16,active
