invoice_id,subscription_id,invoice_date,amount,status
SI-74,SUB-266,25-01-2025,1 081,overdue
SI-75,SUB-2612,2025-02-28,610,PAID
SI-76,SUB-3608,02/22/2024,"$4,558.00",pending
SI-77,SUB-4510,2026-07-28,1409,paid
SI-78,SUB-3583,2026-08-07,2933,OVERDUE
SI-79,SUB-906,2024-09-18,"$4,163.00",pending
SI-80,SUB-2887,27-03-2026,2026,pending
SI-81,SUB-140,05-10-2025,2274,PAID
SI-82,SUB-2849,07/26/2024,4187,PAID
SI-83,SUB-2984,12/07/2024,3 908,pending
SI-84,SUB-5139,2024-03-27,1011,overdue
SI-85,SUB-5051,2024-01-17,$806.00,OVERDUE
SI-86,SUB-4322,10/16/2024,3015,overdue
SI-87,SUB-3031,2025-05-12,4622,overdue
SI-88,SUB-2845,07/07/2024,$373.00,overdue
SI-89,SUB-3202,02/02/2025,737,overdue
SI-90,SUB-2013,02/12/2025,1713,pending
SI-91,SUB-5146,2026-05-12,4856,PAID
SI-92,SUB-383,2026-02-21,"$3,244.00",overdue
SI-93,SUB-2583,11-01-2024,"$2,368.00",overdue
SI-94,SUB-2576,17-05-2025,"$4,538.00",paid
SI-95,SUB-2081,04/10/2026,2057,pending
SI-96,SUB-5699,2024-05-16,2 019,paid
SI-97,SUB-4044,2024-07-21,1504,OVERDUE
SI-98,SUB-1657,16-01-2024,974,OVERDUE
SI-99,SUB-3744,2026-02-02,4650,PAID
SI-100,SUB-4804,2024-01-19,3347,paid
SI-101,SUB-1410,19-03-2024,1275,paid
SI-102,SUB-2144,08/04/2024,"2 378,00",overdue
SI-103,SUB-3340,2025-02-11,3720,overdue
SI-104,SUB-1968,18-10-2025,"$4,501.00",overdue
SI-105,SUB-3797,2026-04-04,2494,overdue
SI-106,SUB-448,2026-09-28,"$2,269.00",overdue
SI-107,SUB-3324,2024-08-17,175,overdue
SI-108,SUB-5946,2026-01-20,2118,OVERDUE
SI-109,SUB-327,2025-03-02,3492,PAID
SI-110,SUB-1921,2026-10-13,"$3,668.00",PAID
SI-111,SUB-1108,2026-12-13,2242,overdue
SI-112,SUB-4938,2024-02-02,3375,overdue
SI-113,SUB-2895,2024-09-19,$611.00,overdue
SI-114,SUB-3197,02/19/2024,"2 132,00",overdue
SI-115,SUB-93,2025-02-16,4426,PAID
SI-116,SUB-4293,01/02/2024,"$3,168.00",PAID
SI-117,SUB-2023,06/25/2024,4473,PAID
SI-118,SUB-560,06/10/2026,"$3,176.00",PAID
SI-119,SUB-1593,2025-06-26,1895,paid
SI-120,SUB-2171,20-08-2024,"$4,795.00",overdue
SI-121,SUB-2497,2025-01-13,917,overdue
SI-122,SUB-5027,2024-02-14,"$2,139.00",overdue
SI-123,SUB-4074,2026-05-21,"$3,538.00",overdue
SI-124,SUB-4584,06/18/2026,$290.00,overdue
SI-125,SUB-4127,2025-06-20,"$3,674.00",PAID
SI-126,SUB-5845,01/20/2024,2096,OVERDUE
SI-127,SUB-35,12/19/2024,$908.00,overdue
SI-128,SUB-3426,09/23/2024,$192.00,PAID
SI-129,SUB-1617,2026-05-19,3211,OVERDUE
SI-130,SUB-5742,2026-04-25,3564,paid
SI-131,SUB-4838,02-11-2026,"642,00",OVERDUE
SI-132,SUB-1007,2025-07-27,3 751,OVERDUE
SI-133,SUB-4686,2026-11-15,"$4,329.00",OVERDUE
SI-134,SUB-3937,2025-12-13,803,OVERDUE
SI-135,SUB-2118,2024-09-25,4286,PAID
SI-136,SUB-4016,2025-06-23,"$4,438.00",overdue
SI-137,SUB-5834,24-11-2026,2216,overdue
SI-138,SUB-1718,2024-02-25,2433,overdue
SI-139,SUB-2029,2024-05-09,3258,overdue
SI-140,SUB-4809,09/09/2024,"4 821,00",overdue
SI-141,SUB-4811,08/11/2026,4804,OVERDUE
SI-142,SUB-5090,01-01-2025,"$3,714.00",overdue
SI-143,SUB-2116,2025-06-12,1767,PAID
SI-144,SUB-3488,2024-01-09,"3 412,00",pending
SI-145,SUB-4251,2025-04-14,4625,pending
SI-146,SUB-414,2026-08-24,4506,pending
SI-147,SUB-3949,09/19/2025,2 649,PAID
SI-148,SUB-595,2025-08-03,4933,pending
SI-149,SUB-5468,2024-07-20,"2 902,00",OVERDUE
SI-150,SUB-989,04/17/2024,4049,PAID
SI-151,SUB-2549,03-05-2025,3336,paid
SI-152,SUB-4724,11/04/2025,"$2,816.00",overdue
SI-153,SUB-5344,2026-12-02,2568,OVERDUE
SI-154,SUB-2225,01/01/2025,2 536,overdue
SI-155,SUB-2985,16-06-2024,449,overdue
SI-156,SUB-337,2025-11-27,3764,overdue
SI-157,SUB-783,2024-07-22,534,overdue
SI-158,SUB-2416,2024-02-15,"$2,872.00",PAID
SI-159,SUB-1446,2026-08-02,"$3,345.00",pending
SI-160,SUB-2249,01/13/2026,1647,pending
SI-161,SUB-1442,2024-07-02,1876,paid
SI-162,SUB-414,18-06-2026,3485,paid
SI-163,SUB-967,2026-02-10,519,pending
SI-164,SUB-5932,2026-01-12,1 354,PAID
SI-165,SUB-5767,02/01/2024,"$2,432.00",pending
SI-166,SUB-1173,2025-09-03,4153,PAID
SI-167,SUB-189,03/23/2024,3804,PAID
SI-168,SUB-1199,02/17/2024,2361,overdue
SI-169,SUB-642,2024-10-26,$653.00,pending
SI-170,SUB-3858,11/21/2026,"$2,316.00",PAID
SI-171,SUB-5941,10/03/2026,"$4,073.00",overdue
SI-172,SUB-23,2026-01-13,3 572,overdue
SI-173,SUB-3553,23-08-2024,2250,overdue
SI-174,SUB-2609,2024-08-18,331,overdue
SI-175,SUB-4239,2026-01-11,1486,overdue
SI-176,SUB-2986,04/16/2025,4766,paid
SI-177,SUB-1613,2026-05-24,4599,OVERDUE
SI-178,SUB-2804,01/23/2025,804,OVERDUE
SI-179,SUB-5878,03/19/2026,4358,paid
SI-180,SUB-2541,2025-05-03,"454,00",PAID
SI-181,SUB-2959,01-04-2025,"$1,861.00",overdue
SI-182,SUB-2072,2025-03-09,"$1,313.00",PAID
SI-183,SUB-1823,06-08-2024,"3 900,00",pending
SI-184,SUB-2313,15-11-2025,1789,pending
SI-185,SUB-1408,2026-10-01,"$3,602.00",OVERDUE
SI-186,SUB-4707,2026-01-11,"$3,258.00",paid
SI-187,SUB-4237,06/24/2025,508,overdue
SI-188,SUB-2733,2024-03-17,$996.00,overdue
SI-189,SUB-1505,2025-08-25,2115,overdue
SI-190,SUB-1877,2024-06-08,1829,overdue
SI-191,SUB-552,25-07-2025,$183.00,overdue
SI-192,SUB-972,2024-10-25,"584,00",overdue
SI-193,SUB-5049,2024-09-18,1938,PAID
SI-194,SUB-612,2026-01-12,"$2,750.00",pending
SI-195,SUB-5595,2026-09-10,"$2,779.00",OVERDUE
SI-196,SUB-1019,2026-12-27,4663,pending
SI-197,SUB-1406,08/09/2024,"$4,375.00",pending
SI-198,SUB-1752,14-07-2025,3589,paid
SI-199,SUB-3696,08/01/2024,1 401,OVERDUE
SI-200,SUB-373,06/04/2026,"$3,171.00",OVERDUE
SI-201,SUB-4763,02-10-2026,3640,paid
SI-202,SUB-2132,2026-01-14,"$2,869.00",pending
SI-203,SUB-1734,2026-10-18,4 584,overdue
SI-204,SUB-3766,2026-08-24,4975,OVERDUE
SI-205,SUB-4805,2026-06-07,4713,overdue
SI-206,SUB-36,2025-05-23,2966,overdue
SI-207,SUB-2051,05-10-2025,1333,overdue
SI-208,SUB-5957,17-09-2026,"2 413,00",overdue
SI-209,SUB-2207,2025-02-07,"3 636,00",paid
SI-210,SUB-301,2026-08-18,4 855,pending
SI-211,SUB-782,2026-04-27,"$4,686.00",OVERDUE
SI-212,SUB-4893,05/19/2024,3 649,PAID
SI-213,SUB-1428,18-11-2024,854,PAID
SI-214,SUB-139,05-06-2026,2 100,pending
SI-215,SUB-4222,2025-09-03,"$3,143.00",paid
SI-216,SUB-5220,07/01/2025,$946.00,OVERDUE
SI-217,SUB-529,25-03-2024,"$4,218.00",pending
SI-218,SUB-4780,10/04/2024,"464,00",pending
SI-219,SUB-4013,2026-04-19,4060,OVERDUE
SI-220,SUB-5823,2025-03-13,"$3,924.00",OVERDUE
SI-221,SUB-3348,2025-10-15,2923,pending
SI-222,SUB-920,04/17/2024,"2 577,00",overdue
SI-223,SUB-4574,2024-04-04,264,overdue
SI-224,SUB-5104,2024-07-15,"$4,492.00",overdue
SI-225,SUB-5933,05-03-2026,4564,overdue
SI-226,SUB-984,25-09-2025,"$1,580.00",OVERDUE
SI-227,SUB-4651,2026-07-24,"$2,548.00",OVERDUE
SI-228,SUB-3766,05-02-2026,2 048,overdue
SI-229,SUB-4134,04/11/2026,2639,pending
SI-230,SUB-3269,08/28/2025,"$1,856.00",PAID
SI-231,SUB-5908,09/23/2026,1456,PAID
SI-232,SUB-3279,07/23/2025,"$3,606.00",paid
SI-233,SUB-361,23-06-2024,"$4,200.00",paid
SI-234,SUB-1826,2024-01-12,$345.00,pending
SI-235,SUB-4211,2025-03-01,4828,paid
SI-236,SUB-2100,2024-02-19,1288,OVERDUE
SI-237,SUB-5047,2024-05-17,"$3,385.00",overdue
SI-238,SUB-421,2026-09-01,"$3,818.00",pending
SI-239,SUB-1462,05/18/2025,"$1,485.00",overdue
SI-240,SUB-3030,2024-04-18,3014,overdue
SI-241,SUB-2029,2025-09-19,3 427,overdue
SI-242,SUB-5715,09/27/2024,681,overdue
SI-243,SUB-2189,11/17/2024,"$3,169.00",OVERDUE
SI-244,SUB-1309,10-02-2024,"734,00",pending
SI-245,SUB-137,20-04-2024,"$3,498.00",OVERDUE
SI-246,SUB-5171,2025-12-12,"$4,506.00",OVERDUE
SI-247,SUB-3280,07-06-2024,3041,OVERDUE
SI-248,SUB-4376,24-04-2024,995,PAID
SI-249,SUB-4846,2024-09-18,4177,OVERDUE
SI-250,SUB-5399,04/14/2024,2918,OVERDUE
SI-251,SUB-4464,04/05/2026,"$4,178.00",overdue
SI-252,SUB-1563,01/14/2026,$966.00,PAID
SI-253,SUB-1208,2024-06-25,1 464,overdue
SI-254,SUB-2942,05/07/2025,324,paid
SI-255,SUB-2160,2026-11-10,$998.00,PAID
SI-256,SUB-2045,01-05-2025,1 881,overdue
SI-257,SUB-1217,15-03-2025,"$4,033.00",overdue
SI-258,SUB-2128,07/24/2026,4522,overdue
SI-259,SUB-1296,2024-09-07,213,overdue
SI-260,SUB-5884,10/26/2024,924,OVERDUE
SI-261,SUB-951,2024-07-18,"$3,406.00",OVERDUE
SI-262,SUB-3311,06-07-2024,927,pending
SI-263,SUB-1,24-07-2024,1487,PAID
SI-264,SUB-4482,07/16/2026,2313,OVERDUE
SI-265,SUB-108,14-04-2024,4 011,OVERDUE
SI-266,SUB-1000,03/13/2024,$237.00,paid
SI-267,SUB-4504,10-12-2025,"$1,492.00",pending
SI-268,SUB-5971,05/28/2024,"$1,491.00",OVERDUE
SI-269,SUB-4360,07/21/2025,3344,PAID
SI-270,SUB-1139,09/03/2026,250,overdue
SI-271,SUB-4116,02-10-2025,4052,OVERDUE
SI-272,SUB-2511,17-10-2025,"$4,441.00",OVERDUE
SI-273,SUB-1297,2026-05-14,"2 335,00",overdue
SI-274,SUB-3895,2024-03-20,2821,overdue
SI-275,SUB-808,2026-10-26,683,overdue
SI-276,SUB-372,13-05-2024,"$2,718.00",overdue
SI-277,SUB-1676,07/10/2025,1157,paid
SI-278,SUB-1495,20-05-2026,"$4,510.00",OVERDUE
SI-279,SUB-2665,2025-05-11,4 441,OVERDUE
SI-280,SUB-815,2024-06-17,3836,PAID
SI-281,SUB-1831,2025-01-26,"$3,998.00",paid
SI-282,SUB-5285,08/06/2024,"$1,545.00",overdue
SI-283,SUB-4108,28-05-2026,$534.00,OVERDUE
SI-284,SUB-1318,2026-07-13,4021,OVERDUE
SI-285,SUB-1817,11/04/2025,2 137,OVERDUE
SI-286,SUB-4675,2025-11-22,554,overdue
SI-287,SUB-1769,14-08-2024,"2 899,00",overdue
SI-288,SUB-25,09/02/2026,"$1,350.00",paid
SI-289,SUB-4919,2026-01-09,878,paid
SI-290,SUB-3456,2026-12-28,"$2,169.00",overdue
SI-291,SUB-347,10-05-2026,4534,overdue
SI-292,SUB-1689,10/07/2024,2 118,overdue
SI-293,SUB-5165,03/05/2024,"$3,484.00",overdue
SI-294,SUB-1885,02/26/2024,1 962,OVERDUE
SI-295,SUB-5426,2024-05-17,3863,overdue
SI-296,SUB-5107,2026-03-07,2263,OVERDUE
SI-297,SUB-5678,07/23/2026,3805,OVERDUE
SI-298,SUB-3964,10/28/2024,$578.00,PAID
SI-299,SUB-4497,03/26/2026,1096,PAID
SI-300,SUB-1216,2025-10-02,3042,pending
SI-301,SUB-1045,2025-01-20,3529,OVERDUE
SI-302,SUB-5520,2024-12-21,"$3,196.00",OVERDUE
SI-303,SUB-399,12/19/2025,877,paid
SI-304,SUB-2590,09/04/2025,$483.00,pending
SI-305,SUB-2154,23-01-2024,1889,paid
SI-306,SUB-4660,2025-01-01,2588,paid
SI-307,SUB-3903,2026-08-27,888,overdue
SI-308,SUB-627,15-12-2026,394,overdue
SI-309,SUB-449,2025-10-27,"$1,369.00",overdue
SI-310,SUB-4760,07-07-2024,"2 378,00",overdue
SI-311,SUB-2390,2025-07-01,1778,PAID
SI-312,SUB-5587,2026-09-17,"$1,873.00",PAID
SI-313,SUB-1211,05/05/2026,"4 225,00",paid
SI-314,SUB-763,2024-01-02,2277,OVERDUE
SI-315,SUB-2892,14-02-2024,"4 811,00",OVERDUE
SI-316,SUB-5517,26-11-2025,4260,pending
SI-317,SUB-5677,2024-10-12,3539,paid
SI-318,SUB-4837,04/06/2026,"4 197,00",pending
SI-319,SUB-5,2026-09-13,"$1,488.00",OVERDUE
SI-320,SUB-3855,05/27/2026,2 768,PAID
SI-321,SUB-2629,11/03/2025,"$3,637.00",paid
SI-322,SUB-3286,2024-11-12,1679,PAID
SI-323,SUB-2802,2024-05-08,"$1,903.00",OVERDUE
SI-324,SUB-2336,2024-12-21,1 697,overdue
SI-325,SUB-1181,18-01-2026,"$2,625.00",overdue
SI-326,SUB-2436,05/23/2024,3353,overdue
SI-327,SUB-363,2026-12-06,4627,overdue
SI-328,SUB-5673,11/05/2024,1990,paid
SI-329,SUB-3219,2026-04-16,"$2,452.00",paid
SI-330,SUB-5861,10-12-2026,3 997,paid
SI-331,SUB-4143,09/06/2025,3253,pending
SI-332,SUB-5907,09-05-2026,"$1,654.00",OVERDUE
SI-333,SUB-2700,2024-04-07,3209,PAID
SI-334,SUB-1352,2025-04-12,1 798,pending
SI-335,SUB-5752,03-01-2025,1347,OVERDUE
SI-336,SUB-3736,03/12/2026,348,paid
SI-337,SUB-2645,04/08/2026,3756,OVERDUE
SI-338,SUB-982,2026-06-02,"$4,729.00",PAID
SI-339,SUB-2221,11-01-2026,1389,OVERDUE
SI-340,SUB-4554,2026-03-03,4048,overdue
SI-341,SUB-3437,2026-05-02,462,overdue
SI-342,SUB-3202,06-03-2025,4552,overdue
SI-343,SUB-3897,2024-11-11,"$1,607.00",overdue
SI-344,SUB-214,28-12-2024,1637,overdue
SI-345,SUB-5350,01/03/2025,3593,OVERDUE
SI-346,SUB-2655,06/11/2025,"$1,772.00",pending
SI-347,SUB-3717,05/06/2025,2843,pending
SI-348,SUB-5629,2024-11-14,3777,OVERDUE
SI-349,SUB-3054,2025-09-14,3 483,overdue
SI-350,SUB-5991,02-06-2024,"$3,231.00",pending
SI-351,SUB-1400,2024-04-03,642,overdue
SI-352,SUB-2846,2026-05-03,"$3,289.00",OVERDUE
SI-353,SUB-5012,10/04/2026,2239,OVERDUE
SI-354,SUB-3782,2024-09-23,1154,OVERDUE
SI-355,SUB-5066,03-08-2024,4954,pending
SI-356,SUB-3170,11-04-2025,1431,OVERDUE
SI-357,SUB-2885,01/13/2024,3485,OVERDUE
SI-358,SUB-5214,2024-10-05,"554,00",overdue
SI-359,SUB-316,09/01/2026,"$3,915.00",overdue
SI-360,SUB-3584,2024-03-09,"$4,146.00",overdue
SI-361,SUB-514,2025-04-12,2044,overdue
SI-362,SUB-959,2026-05-15,2111,OVERDUE
SI-363,SUB-889,02/17/2024,4 518,PAID
SI-364,SUB-2334,2025-08-17,"$2,877.00",paid
SI-365,SUB-2828,27-11-2026,"$2,948.00",OVERDUE
SI-366,SUB-317,06-11-2026,951,PAID
SI-367,SUB-4912,12-12-2024,"$3,854.00",overdue
SI-368,SUB-5884,2026-02-26,"$3,276.00",paid
SI-369,SUB-554,04/11/2025,4965,paid
SI-370,SUB-1411,04/11/2026,136,overdue
SI-371,SUB-5953,12/19/2024,"$3,707.00",PAID
SI-372,SUB-5994,03-04-2026,"$3,171.00",PAID
SI-373,SUB-1241,2026-07-10,1682,pending
SI-374,SUB-2068,10/04/2024,3067,pending
SI-375,SUB-1985,2025-08-18,"$3,665.00",overdue
SI-376,SUB-5392,2024-11-28,1427,overdue
SI-377,SUB-1547,03-07-2024,"$3,686.00",overdue
SI-378,SUB-1177,2024-09-18,892,overdue
SI-379,SUB-535,08-01-2024,2166,paid
SI-380,SUB-4182,21-10-2026,1422,OVERDUE
SI-381,SUB-230,2025-09-13,"$1,190.00",OVERDUE
SI-382,SUB-5458,2024-09-08,2599,overdue
SI-383,SUB-3956,02/07/2025,"$1,036.00",OVERDUE
SI-384,SUB-3567,05/21/2026,1062,overdue
SI-385,SUB-4718,28-07-2026,"2 230,00",PAID
SI-386,SUB-1078,2024-02-03,1984,paid
SI-387,SUB-3286,05/23/2025,1 024,paid
SI-388,SUB-2980,2024-06-16,"$1,734.00",paid
SI-389,SUB-796,2025-10-28,"$1,649.00",overdue
SI-390,SUB-4736,17-06-2026,"$3,322.00",paid
SI-391,SUB-3284,2024-06-15,"$2,847.00",paid
SI-392,SUB-2958,2026-08-25,4379,overdue
SI-393,SUB-3891,2025-04-03,"$2,118.00",overdue
SI-394,SUB-1788,10/28/2026,"522,00",overdue
SI-395,SUB-4407,2026-11-07,"$1,005.00",overdue
SI-396,SUB-2615,03/27/2024,$502.00,paid
SI-397,SUB-5048,11/08/2026,1283,pending
SI-398,SUB-5985,2026-03-02,3 329,PAID
SI-399,SUB-1025,2026-03-28,688,overdue
SI-400,SUB-3775,2026-02-16,"$1,366.00",overdue
SI-401,SUB-4178,2024-10-21,4426,pending
SI-402,SUB-811,07/22/2024,600,overdue
SI-403,SUB-4772,10/28/2025,2336,OVERDUE
SI-404,SUB-632,08-10-2025,3799,OVERDUE
SI-405,SUB-1185,2024-05-08,4002,overdue
SI-406,SUB-689,03/24/2024,"1 950,00",OVERDUE
SI-407,SUB-5735,11/27/2025,"$4,024.00",overdue
SI-408,SUB-5414,2026-07-24,"$4,108.00",OVERDUE
SI-409,SUB-3038,23-11-2024,"$2,389.00",overdue
SI-410,SUB-2712,03-06-2024,4031,overdue
SI-411,SUB-1344,04/04/2026,1083,overdue
SI-412,SUB-1240,2024-04-15,1603,overdue
SI-413,SUB-5195,2025-12-05,"$3,612.00",paid
SI-414,SUB-65,06-08-2025,"$4,149.00",OVERDUE
SI-415,SUB-4001,09-03-2024,"$4,593.00",OVERDUE
SI-416,SUB-1880,2025-09-28,4788,OVERDUE
SI-417,SUB-3241,2025-03-25,2885,overdue
SI-418,SUB-2986,26-01-2024,551,pending
SI-419,SUB-1982,2024-04-06,948,paid
SI-420,SUB-696,2024-07-08,"$4,432.00",pending
SI-421,SUB-5826,04/20/2026,"3 588,00",pending
SI-422,SUB-527,26-02-2024,2 212,OVERDUE
SI-423,SUB-1779,14-06-2025,1390,paid
SI-424,SUB-3324,02/09/2025,"2 587,00",overdue
SI-425,SUB-4638,09/25/2024,"$4,860.00",PAID
SI-426,SUB-1417,2025-09-28,4372,overdue
SI-427,SUB-1236,06/20/2024,"867,00",overdue
SI-428,SUB-3915,2024-06-03,2384,overdue
SI-429,SUB-4565,08-07-2024,395,overdue
SI-430,SUB-938,2024-09-27,4234,OVERDUE
SI-431,SUB-4505,11/11/2024,"4 974,00",PAID
SI-432,SUB-753,2024-11-22,"2 905,00",OVERDUE
SI-433,SUB-989,06/26/2026,3 611,paid
SI-434,SUB-3250,12/25/2026,3056,pending
SI-435,SUB-3804,10/26/2026,4853,pending
SI-436,SUB-4089,04/27/2024,3 356,PAID
SI-437,SUB-5034,07/14/2024,1719,OVERDUE
SI-438,SUB-280,2025-06-07,2040,overdue
SI-439,SUB-2333,2024-09-28,4658,OVERDUE
SI-440,SUB-3752,04/07/2024,4987,pending
SI-441,SUB-4820,2024-02-04,1434,overdue
SI-442,SUB-4150,10/18/2025,2 353,PAID
SI-443,SUB-3945,2024-08-19,3129,overdue
SI-444,SUB-1166,2024-10-19,1157,overdue
SI-445,SUB-2119,09/10/2025,880,overdue
SI-446,SUB-3440,21-05-2026,3 641,overdue
SI-447,SUB-3804,04/24/2024,4221,overdue
SI-448,SUB-5865,15-07-2025,4410,OVERDUE
SI-449,SUB-3843,03/23/2024,"535,00",PAID
SI-450,SUB-2284,2024-04-20,"$1,740.00",pending
SI-451,SUB-3430,04-10-2024,"3 220,00",OVERDUE
SI-452,SUB-2465,02/10/2024,2042,OVERDUE
SI-453,SUB-2357,11/16/2025,"$1,852.00",paid
SI-454,SUB-3446,2026-04-02,"$3,162.00",PAID
SI-455,SUB-161,02/27/2026,$285.00,OVERDUE
SI-456,SUB-5564,05-05-2025,587,paid
SI-457,SUB-2434,2024-11-18,$215.00,paid
SI-458,SUB-4969,2025-02-19,211,overdue
SI-459,SUB-4948,02/19/2024,"$3,612.00",PAID
SI-460,SUB-1367,08/13/2025,4947,overdue
SI-461,SUB-1967,11/23/2025,1 931,overdue
SI-462,SUB-340,2025-02-23,4 767,overdue
SI-463,SUB-181,2024-07-14,"$3,898.00",overdue
SI-464,SUB-3550,04/27/2024,"2 336,00",pending
SI-465,SUB-1939,2026-03-11,"$3,057.00",OVERDUE
SI-466,SUB-2246,2024-11-24,4216,paid
SI-467,SUB-5954,2024-10-28,2759,PAID
SI-468,SUB-3394,14-02-2025,"$1,217.00",OVERDUE
SI-469,SUB-5051,15-04-2024,"$3,354.00",pending
SI-470,SUB-4789,2026-09-13,"$4,267.00",paid
SI-471,SUB-1822,2025-04-02,"$1,040.00",pending
SI-472,SUB-510,05/09/2025,481,pending
SI-473,SUB-3719,2024-05-09,462,pending
SI-474,SUB-3474,2025-02-07,2092,OVERDUE
SI-475,SUB-2642,2024-06-27,"$4,851.00",OVERDUE
SI-476,SUB-1147,2025-07-06,137,PAID
SI-477,SUB-1900,2024-12-07,"559,00",overdue
SI-478,SUB-5137,2025-11-08,$519.00,overdue
SI-479,SUB-1018,03/14/2026,"4 017,00",overdue
SI-480,SUB-2730,2025-09-20,4610,overdue
SI-481,SUB-5374,2024-10-01,"$2,392.00",PAID
SI-482,SUB-5921,2026-03-20,708,pending
SI-483,SUB-1188,2026-01-20,1949,paid
SI-484,SUB-4950,24-02-2026,3261,OVERDUE
SI-485,SUB-5970,2024-04-25,"$2,508.00",paid
SI-486,SUB-2437,01/25/2024,"357,00",overdue
SI-487,SUB-1539,2025-01-20,"$3,461.00",PAID
SI-488,SUB-536,2024-12-02,"3 088,00",pending
SI-489,SUB-2803,2024-08-14,"$4,360.00",paid
SI-490,SUB-766,2024-10-21,1544,pending
SI-491,SUB-496,2024-05-04,"$1,081.00",paid
SI-492,SUB-481,2024-09-23,4395,pending
SI-493,SUB-1872,07-03-2026,2723,overdue
SI-494,SUB-5374,05-09-2025,"$4,750.00",overdue
SI-495,SUB-5115,2026-06-02,"$1,439.00",overdue
SI-496,SUB-2459,12/23/2026,$609.00,overdue
SI-497,SUB-2675,2026-11-10,4 249,overdue
SI-498,SUB-1873,2025-05-20,1620,pending
SI-499,SUB-4321,2024-03-18,"$3,916.00",paid
