usage_id,subscription_id,week,value
US-416,SUB-516,10,186
US-417,SUB-488,21,988
US-418,SUB-767,15,480
US-419,SUB-5733,27,683
US-420,SUB-4993,4,819
US-421,SUB-3279,3,823
US-422,SUB-1843,31,419
US-423,SUB-1245,5,771
US-424,SUB-3050,39,415
US-425,SUB-142,18,410
US-426,SUB-3727,15,928
US-427,SUB-4418,14,290
US-428,SUB-4213,28,416
US-429,SUB-3485,30,348
US-430,SUB-150,17,969
US-431,SUB-3614,28,76
US-432,SUB-3721,21,195
US-433,SUB-4191,11,225
US-434,SUB-4839,20,306
US-435,SUB-5619,14,436
US-436,SUB-463,36,79
US-437,SUB-1053,4,878
US-438,SUB-666,15,753
US-439,SUB-3993,37,55
US-440,SUB-727,27,355
US-441,SUB-5933,32,301
US-442,SUB-3902,32,307
US-443,SUB-2750,11,196
US-444,SUB-2293,10,181
US-445,SUB-426,15,416
US-446,SUB-151,40,147
US-447,SUB-3324,36,692
US-448,SUB-541,4,474
US-449,SUB-4670,37,59
US-450,SUB-4089,9,457
US-451,SUB-723,25,370
US-452,SUB-5128,20,761
US-453,SUB-1261,26,105
US-454,SUB-4637,8,588
US-455,SUB-2813,38,836
US-456,SUB-2828,35,866
US-457,SUB-5917,6,884
US-458,SUB-913,35,64
US-459,SUB-5248,11,660
US-460,SUB-2648,19,373
US-461,SUB-1456,8,651
US-462,SUB-134,2,678
US-463,SUB-5184,33,964
US-464,SUB-863,31,545
US-465,SUB-2935,3,169
US-466,SUB-997,6,292
US-467,SUB-3368,24,185
US-468,SUB-136,10,226
US-469,SUB-2491,19,544
US-470,SUB-4777,13,392
US-471,SUB-4059,25,882
US-472,SUB-543,13,601
US-473,SUB-702,27,754
US-474,SUB-1825,5,685
US-475,SUB-1110,31,876
US-476,SUB-1618,16,103
US-477,SUB-5673,24,803
US-478,SUB-679,32,511
US-479,SUB-1056,32,175
US-480,SUB-2040,8,701
US-481,SUB-4675,4,903
US-482,SUB-4847,34,972
US-483,SUB-3259,40,408
US-484,SUB-3414,3,689
US-485,SUB-3095,35,955
US-486,SUB-1052,38,798
US-487,SUB-5649,28,36
US-488,SUB-3190,37,552
US-489,SUB-2288,22,176
US-490,SUB-5053,18,358
US-491,SUB-4412,24,812
US-492,SUB-3788,40,93
US-493,SUB-3786,35,382
US-494,SUB-4809,17,245
US-495,SUB-3803,33,211
US-496,SUB-4491,35,743
US-497,SUB-1076,38,18
US-498,SUB-2680,35,703
US-499,SUB-2301,31,81
US-500,SUB-2636,29,945
US-501,SUB-2900,34,900
US-502,SUB-4603,2,895
US-503,SUB-2518,29,787
US-504,SUB-4367,29,125
US-505,SUB-3708,28,210
US-506,SUB-3548,5,446
US-507,SUB-2204,23,583
US-508,SUB-933,18,910
US-509,SUB-4483,14,341
US-510,SUB-5524,8,814
US-511,SUB-1736,2,56
US-512,SUB-2072,11,960
US-513,SUB-4446,31,446
US-514,SUB-3288,14,706
US-515,SUB-1158,28,168
US-516,SUB-3818,1,486
US-517,SUB-5168,38,640
US-518,SUB-1103,40,52
US-519,SUB-5027,33,219
US-520,SUB-5297,5,667
US-521,SUB-4814,33,682
US-522,SUB-1998,13,495
US-523,SUB-4265,34,894
US-524,SUB-2568,36,911
US-525,SUB-3291,38,451
US-526,SUB-2823,34,52
US-527,SUB-826,34,165
US-528,SUB-2388,13,630
US-529,SUB-4469,29,147
US-530,SUB-1281,18,364
US-531,SUB-479,31,320
US-532,SUB-4859,24,109
US-533,SUB-5192,27,716
US-534,SUB-697,36,802
US-535,SUB-1347,1,739
US-536,SUB-4791,12,765
US-537,SUB-397,29,67
US-538,SUB-4552,19,134
US-539,SUB-4352,7,336
US-540,SUB-5430,33,610
US-541,SUB-2252,28,342
US-542,SUB-1761,27,452
US-543,SUB-1712,40,754
US-544,SUB-5799,24,671
US-545,SUB-5666,31,772
US-546,SUB-2429,11,373
US-547,SUB-5544,22,129
US-548,SUB-3187,19,46
US-549,SUB-2519,8,543
US-550,SUB-3160,39,97
US-551,SUB-562,10,652
US-552,SUB-4603,16,964
US-553,SUB-48,13,424
US-554,SUB-3330,11,942
US-555,SUB-2182,5,941
US-556,SUB-3299,14,532
US-557,SUB-3452,34,177
US-558,SUB-4431,23,382
US-559,SUB-172,10,780
US-560,SUB-2639,21,740
US-561,SUB-5983,35,640
US-562,SUB-2391,24,923
US-563,SUB-71,31,930
US-564,SUB-1607,36,617
US-565,SUB-442,21,139
US-566,SUB-5797,26,351
US-567,SUB-1694,9,257
US-568,SUB-609,40,122
US-569,SUB-1145,32,224
US-570,SUB-2501,17,752
US-571,SUB-4014,15,681
US-572,SUB-1595,22,172
US-573,SUB-4720,7,751
US-574,SUB-2064,29,344
US-575,SUB-5382,29,938
US-576,SUB-1765,18,515
US-577,SUB-480,39,713
US-578,SUB-1500,1,627
US-579,SUB-5461,2,250
US-580,SUB-2951,16,264
US-581,SUB-969,7,428
US-582,SUB-4314,17,827
US-583,SUB-3379,12,292
US-584,SUB-4515,34,698
US-585,SUB-2132,16,948
US-586,SUB-3340,35,811
US-587,SUB-4371,6,878
US-588,SUB-3623,25,71
US-589,SUB-5072,14,996
US-590,SUB-3496,38,909
US-591,SUB-1845,30,805
US-592,SUB-1893,21,289
US-593,SUB-305,20,949
US-594,SUB-5145,35,401
US-595,SUB-256,27,237
US-596,SUB-4131,29,248
US-597,SUB-4557,11,336
US-598,SUB-2282,14,779
US-599,SUB-916,24,509
US-600,SUB-1022,9,718
US-601,SUB-2591,33,498
US-602,SUB-2067,39,79
US-603,SUB-225,8,686
US-604,SUB-2950,24,573
US-605,SUB-2617,32,776
US-606,SUB-1144,17,455
US-607,SUB-989,5,606
US-608,SUB-2362,4,719
US-609,SUB-5530,13,401
US-610,SUB-4826,37,944
US-611,SUB-1795,37,298
US-612,SUB-2282,10,811
US-613,SUB-5574,33,420
US-614,SUB-2414,30,72
US-615,SUB-1524,35,662
US-616,SUB-1326,7,446
US-617,SUB-3170,11,592
US-618,SUB-5701,29,97
US-619,SUB-3694,21,152
US-620,SUB-1718,12,834
US-621,SUB-601,11,552
US-622,SUB-3542,23,948
US-623,SUB-4887,1,461
US-624,SUB-1055,12,808
US-625,SUB-4759,20,480
US-626,SUB-1281,1,320
US-627,SUB-446,6,238
US-628,SUB-4523,11,80
US-629,SUB-4161,11,281
US-630,SUB-4987,27,171
US-631,SUB-353,40,59
US-632,SUB-1276,15,60
US-633,SUB-1354,35,116
US-634,SUB-1398,17,386
US-635,SUB-3382,13,998
US-636,SUB-817,28,85
US-637,SUB-5147,19,900
US-638,SUB-4651,35,592
US-639,SUB-406,23,878
US-640,SUB-4441,13,240
US-641,SUB-415,39,862
US-642,SUB-2201,13,641
US-643,SUB-1403,7,724
US-644,SUB-4326,7,387
US-645,SUB-4338,26,410
US-646,SUB-4433,32,954
US-647,SUB-633,20,685
US-648,SUB-3501,19,329
US-649,SUB-3471,29,621
US-650,SUB-5979,25,599
US-651,SUB-5308,17,172
US-652,SUB-4,10,397
US-653,SUB-2081,11,132
US-654,SUB-2602,37,71
US-655,SUB-5409,14,369
US-656,SUB-4127,11,703
US-657,SUB-459,27,34
US-658,SUB-5088,4,123
US-659,SUB-3564,34,535
US-660,SUB-4815,25,186
US-661,SUB-5930,23,501
US-662,SUB-2914,25,217
US-663,SUB-5539,2,573
US-664,SUB-4232,29,64
US-665,SUB-2869,25,901
US-666,SUB-3800,30,71
US-667,SUB-461,20,223
US-668,SUB-2329,17,276
US-669,SUB-563,40,926
US-670,SUB-833,26,881
US-671,SUB-1689,4,359
US-672,SUB-1333,4,852
US-673,SUB-5189,25,84
US-674,SUB-3451,18,711
US-675,SUB-4957,7,942
US-676,SUB-5494,10,746
US-677,SUB-250,32,505
US-678,SUB-3514,20,412
US-679,SUB-3668,36,641
US-680,SUB-87,28,281
US-681,SUB-2210,15,201
US-682,SUB-2840,17,342
US-683,SUB-2967,26,384
US-684,SUB-3899,3,925
US-685,SUB-1635,31,398
US-686,SUB-4697,24,614
US-687,SUB-5953,30,321
US-688,SUB-3915,1,987
US-689,SUB-2118,37,837
US-690,SUB-2488,35,358
US-691,SUB-5358,32,62
US-692,SUB-3435,26,60
US-693,SUB-5471,36,373
US-694,SUB-837,14,352
US-695,SUB-3566,18,13
US-696,SUB-958,4,999
US-697,SUB-4172,29,561
US-698,SUB-2810,35,585
US-699,SUB-5477,28,563
US-700,SUB-2810,5,501
US-701,SUB-3876,4,881
US-702,SUB-4343,17,992
US-703,SUB-3573,28,537
US-704,SUB-2697,17,342
US-705,SUB-3693,4,244
US-706,SUB-5404,15,612
US-707,SUB-4294,40,915
US-708,SUB-4326,25,136
US-709,SUB-341,16,146
US-710,SUB-1778,7,84
US-711,SUB-3479,34,471
US-712,SUB-2964,32,531
US-713,SUB-1315,12,487
US-714,SUB-2406,20,678
US-715,SUB-3107,26,917
US-716,SUB-4637,9,718
US-717,SUB-1192,5,530
US-718,SUB-2216,29,785
US-719,SUB-169,3,943
US-720,SUB-3552,32,172
US-721,SUB-2586,29,156
US-722,SUB-2278,5,988
US-723,SUB-5460,35,197
US-724,SUB-3393,33,873
US-725,SUB-1249,18,758
US-726,SUB-3026,11,688
US-727,SUB-4335,7,851
US-728,SUB-5460,24,329
US-729,SUB-4055,15,416
US-730,SUB-1432,12,234
US-731,SUB-5484,37,580
US-732,SUB-3735,12,594
US-733,SUB-5190,4,615
US-734,SUB-3629,9,959
US-735,SUB-3200,18,807
US-736,SUB-5169,18,945
US-737,SUB-31,25,37
US-738,SUB-931,22,778
US-739,SUB-5152,11,734
US-740,SUB-5445,40,50
US-741,SUB-4405,1,845
US-742,SUB-245,27,119
US-743,SUB-3999,9,99
US-744,SUB-1927,40,126
US-745,SUB-788,11,500
US-746,SUB-2690,33,554
US-747,SUB-3735,24,762
US-748,SUB-3062,36,667
US-749,SUB-5150,2,375
US-750,SUB-4189,10,767
US-751,SUB-5542,23,747
US-752,SUB-4666,25,606
US-753,SUB-709,38,700
US-754,SUB-1403,38,623
US-755,SUB-1279,10,336
US-756,SUB-3935,25,276
US-757,SUB-1816,4,767
US-758,SUB-5207,31,413
US-759,SUB-2608,8,666
US-760,SUB-4040,31,721
US-761,SUB-2318,15,675
US-762,SUB-1992,8,494
US-763,SUB-4959,1,262
US-764,SUB-4295,33,915
US-765,SUB-5852,30,936
US-766,SUB-4526,2,171
US-767,SUB-1638,11,232
US-768,SUB-4952,20,581
US-769,SUB-3091,5,329
US-770,SUB-4438,5,323
US-771,SUB-4682,17,361
US-772,SUB-3446,38,294
US-773,SUB-5507,16,619
US-774,SUB-2583,35,516
US-775,SUB-4357,16,53
US-776,SUB-1471,15,426
US-777,SUB-4498,4,491
US-778,SUB-3762,15,716
US-779,SUB-5428,6,578
US-780,SUB-1229,28,108
US-781,SUB-1229,32,36
US-782,SUB-488,32,564
US-783,SUB-3164,22,12
US-784,SUB-3880,22,281
US-785,SUB-3341,21,262
US-786,SUB-5501,4,355
US-787,SUB-2938,33,617
US-788,SUB-2568,20,318
US-789,SUB-4065,4,358
US-790,SUB-1126,36,991
US-791,SUB-4379,2,850
US-792,SUB-1458,11,205
US-793,SUB-5167,17,53
US-794,SUB-3503,23,354
US-795,SUB-4066,36,460
US-796,SUB-997,37,808
US-797,SUB-1633,35,918
US-798,SUB-2100,2,625
US-799,SUB-3302,31,366
US-800,SUB-4620,21,271
US-801,SUB-5892,22,731
US-802,SUB-580,39,75
US-803,SUB-1720,25,351
US-804,SUB-2356,1,851
US-805,SUB-3979,2,692
US-806,SUB-4014,19,105
US-807,SUB-5965,23,943
US-808,SUB-2081,4,119
US-809,SUB-2024,34,569
US-810,SUB-5930,35,554
US-811,SUB-4870,17,108
US-812,SUB-503,33,755
US-813,SUB-5722,4,127
US-814,SUB-4946,22,582
US-815,SUB-2258,27,968
US-816,SUB-2621,35,130
US-817,SUB-92,5,722
US-818,SUB-3128,10,206
US-819,SUB-398,9,459
US-820,SUB-873,20,149
US-821,SUB-2711,27,375
US-822,SUB-5918,8,343
US-823,SUB-1588,6,916
US-824,SUB-5693,9,518
US-825,SUB-942,27,349
US-826,SUB-1756,13,717
US-827,SUB-1645,31,950
US-828,SUB-3631,34,421
US-829,SUB-2445,4,597
US-830,SUB-688,38,330
US-831,SUB-274,13,946
US-832,SUB-1602,8,750
US-833,SUB-4285,40,727
US-834,SUB-3118,3,145
US-835,SUB-5389,26,344
US-836,SUB-5524,28,62
US-837,SUB-2865,23,640
US-838,SUB-778,13,857
US-839,SUB-264,28,176
US-840,SUB-5259,13,751
US-841,SUB-1905,31,865
US-842,SUB-1959,7,660
US-843,SUB-2044,30,430
US-844,SUB-3055,4,184
US-845,SUB-4190,39,258
US-846,SUB-4442,37,261
US-847,SUB-703,4,259
US-848,SUB-3748,9,789
US-849,SUB-824,22,327
US-850,SUB-5962,30,847
US-851,SUB-4283,27,736
US-852,SUB-5182,10,56
US-853,SUB-719,32,248
US-854,SUB-2686,22,208
US-855,SUB-1751,33,843
US-856,SUB-12,5,660
US-857,SUB-4169,30,870
US-858,SUB-4390,22,435
US-859,SUB-4795,18,699
US-860,SUB-3431,3,950
US-861,SUB-1555,12,592
US-862,SUB-4860,19,231
US-863,SUB-5678,33,313
US-864,SUB-1505,17,928
US-865,SUB-296,10,594
US-866,SUB-3531,10,674
US-867,SUB-4666,24,323
US-868,SUB-5424,9,225
US-869,SUB-1697,1,381
US-870,SUB-5234,11,265
US-871,SUB-5412,12,430
US-872,SUB-4505,7,571
US-873,SUB-5113,33,625
US-874,SUB-5173,27,190
US-875,SUB-4284,5,270
US-876,SUB-2371,20,326
US-877,SUB-3802,26,97
US-878,SUB-35,14,859
US-879,SUB-2645,19,51
US-880,SUB-2700,4,806
US-881,SUB-3419,25,158
US-882,SUB-3840,13,874
US-883,SUB-1586,17,950
US-884,SUB-2326,36,315
US-885,SUB-4080,15,736
US-886,SUB-3655,12,872
US-887,SUB-2407,27,414
US-888,SUB-4303,34,846
US-889,SUB-290,22,103
US-890,SUB-418,38,546
US-891,SUB-3863,34,387
US-892,SUB-3996,30,738
US-893,SUB-1987,29,109
US-894,SUB-4868,8,255
US-895,SUB-3454,8,560
US-896,SUB-3021,36,207
US-897,SUB-5953,24,400
US-898,SUB-3261,10,537
US-899,SUB-5831,5,392
US-900,SUB-2703,9,658
US-901,SUB-534,26,972
US-902,SUB-1465,9,627
US-903,SUB-4909,29,769
US-904,SUB-645,38,687
US-905,SUB-2381,29,229
US-906,SUB-992,22,485
US-907,SUB-5149,20,492
US-908,SUB-4704,35,419
US-909,SUB-2853,6,162
US-910,SUB-5361,22,255
US-911,SUB-4637,13,68
US-912,SUB-2768,16,837
US-913,SUB-4291,1,673
US-914,SUB-756,27,67
US-915,SUB-1008,2,307
US-916,SUB-3334,8,309
US-917,SUB-3691,19,689
US-918,SUB-4374,22,795
US-919,SUB-5263,19,602
US-920,SUB-5462,10,209
US-921,SUB-1296,13,664
US-922,SUB-414,32,649
US-923,SUB-3650,7,287
US-924,SUB-64,35,961
US-925,SUB-5178,20,191
US-926,SUB-3223,21,93
US-927,SUB-3859,3,250
US-928,SUB-1609,19,122
US-929,SUB-3593,9,58
US-930,SUB-674,17,339
US-931,SUB-5124,33,90
US-932,SUB-3090,5,561
US-933,SUB-2600,37,789
US-934,SUB-701,8,230
US-935,SUB-177,6,297
US-936,SUB-2163,3,261
US-937,SUB-2288,25,152
US-938,SUB-2033,21,798
US-939,SUB-3659,30,52
US-940,SUB-123,10,239
US-941,SUB-4892,23,781
US-942,SUB-5416,21,475
