event_id,customer_id,subscription_id,churn_date,cancel_reason
CE-51,SC-416,SUB-3566,2025-05-11,使用率低
CE-52,SC-738,SUB-3752,2026-01-02,未说明
CE-53,SC-2713,SUB-2071,2025-12-13,预算削减
CE-54,SC-581,SUB-4247,10/16/2025,预算削减
CE-55,SC-546,SUB-2939,2026-09-08,功能不足
CE-56,SC-175,SUB-2945,2026-03-01,使用率低
CE-57,SC-2517,SUB-2575,09/07/2025,未说明
CE-58,SC-972,SUB-1096,2026-04-01,预算削减
CE-59,SC-1059,SUB-3019,02/12/2026,迁移竞品
CE-60,SC-795,SUB-3648,2025-04-22,未说明
CE-61,SC-2602,SUB-714,2026-10-27,价格太贵
CE-62,SC-1546,SUB-5256,2026-12-11,功能不足
CE-63,SC-2124,SUB-4338,27-10-2026,预算削减
CE-64,SC-493,SUB-1621,2025-01-19,功能不足
CE-65,SC-474,SUB-597,05/28/2026,未说明
CE-66,SC-409,SUB-3540,16-07-2025,未说明
CE-67,SC-2422,SUB-871,2025-03-23,价格太贵
CE-68,SC-1670,SUB-1671,02/13/2025,价格太贵
CE-69,SC-2694,SUB-4370,08/23/2026,未说明
CE-70,SC-570,SUB-2796,19-09-2026,功能不足
CE-71,SC-1384,SUB-4468,06/16/2026,使用率低
CE-72,SC-505,SUB-884,2025-04-20,价格太贵
CE-73,SC-2229,SUB-2486,2026-05-27,未说明
CE-74,SC-806,SUB-3812,2025-04-15,未说明
CE-75,SC-2983,SUB-2573,09/03/2025,价格太贵
CE-76,SC-862,SUB-1691,06/25/2025,未说明
CE-77,SC-1536,SUB-4681,2026-04-01,价格太贵
CE-78,SC-1129,SUB-883,04/07/2025,价格太贵
CE-79,SC-1732,SUB-5346,15-12-2026,迁移竞品
CE-80,SC-1111,SUB-878,2026-03-16,功能不足
CE-81,SC-2020,SUB-3645,07/25/2026,未说明
CE-82,SC-676,SUB-3374,2026-09-09,迁移竞品
CE-83,SC-2441,SUB-1094,2025-08-08,价格太贵
CE-84,SC-1610,SUB-1096,2025-04-10,预算削减
CE-85,SC-227,SUB-3530,21-08-2025,迁移竞品
CE-86,SC-502,SUB-2724,2026-11-18,使用率低
CE-87,SC-1599,SUB-3198,2025-05-14,价格太贵
CE-88,SC-961,SUB-4267,15-11-2025,功能不足
CE-89,SC-739,SUB-4509,16-06-2025,迁移竞品
CE-90,SC-2548,SUB-5634,05-07-2026,功能不足
CE-91,SC-397,SUB-3572,26-03-2026,未说明
CE-92,SC-2874,SUB-4311,14-05-2025,价格太贵
CE-93,SC-2894,SUB-1753,2025-12-26,预算削减
CE-94,SC-375,SUB-3430,01-03-2026,迁移竞品
CE-95,SC-337,SUB-3158,2026-10-26,迁移竞品
CE-96,SC-995,SUB-1772,08/25/2025,功能不足
CE-97,SC-2786,SUB-1854,2025-02-28,未说明
CE-98,SC-1403,SUB-1824,25-09-2026,预算削减
CE-99,SC-2244,SUB-3129,04/15/2026,迁移竞品
CE-100,SC-1951,SUB-3749,12-10-2025,迁移竞品
CE-101,SC-3000,SUB-900,05/05/2026,预算削减
CE-102,SC-1589,SUB-3465,17-08-2026,使用率低
CE-103,SC-566,SUB-4763,01-07-2026,价格太贵
CE-104,SC-2162,SUB-4869,06-02-2025,预算削减
CE-105,SC-2567,SUB-1529,11/21/2026,未说明
CE-106,SC-357,SUB-2497,2026-03-11,未说明
CE-107,SC-1220,SUB-4770,19-02-2026,使用率低
CE-108,SC-2810,SUB-2347,2025-07-15,未说明
CE-109,SC-1395,SUB-3923,16-07-2025,功能不足
CE-110,SC-2215,SUB-4404,2026-07-24,未说明
CE-111,SC-118,SUB-228,23-09-2025,预算削减
CE-112,SC-814,SUB-2684,12-06-2025,预算削减
CE-113,SC-2824,SUB-1241,08/06/2025,功能不足
CE-114,SC-544,SUB-2151,2026-09-08,预算削减
CE-115,SC-1461,SUB-2573,2025-11-26,预算削减
CE-116,SC-2834,SUB-130,09/19/2025,使用率低
CE-117,SC-377,SUB-2160,19-04-2025,功能不足
CE-118,SC-1058,SUB-3282,2025-09-20,迁移竞品
CE-119,SC-1440,SUB-587,27-03-2026,功能不足
CE-120,SC-2442,SUB-5464,06/13/2026,迁移竞品
CE-121,SC-863,SUB-1537,17-12-2026,未说明
CE-122,SC-2584,SUB-4845,2025-09-18,迁移竞品
CE-123,SC-2208,SUB-210,2025-09-16,使用率低
CE-124,SC-671,SUB-3870,2025-09-23,使用率低
CE-125,SC-1565,SUB-3389,07/08/2025,功能不足
CE-126,SC-796,SUB-3937,2025-01-16,功能不足
CE-127,SC-82,SUB-4951,2025-02-10,未说明
CE-128,SC-156,SUB-5780,05/16/2026,使用率低
CE-129,SC-2013,SUB-5706,11-05-2025,价格太贵
CE-130,SC-1699,SUB-4485,12/11/2025,功能不足
CE-131,SC-2785,SUB-454,2026-02-08,价格太贵
CE-132,SC-1609,SUB-884,2026-02-16,使用率低
CE-133,SC-642,SUB-391,11/26/2026,未说明
CE-134,SC-1259,SUB-4833,2026-10-05,未说明
CE-135,SC-1158,SUB-4503,07/01/2026,价格太贵
CE-136,SC-729,SUB-4311,2026-07-22,价格太贵
CE-137,SC-2790,SUB-5432,2026-04-28,未说明
CE-138,SC-1570,SUB-5064,2026-01-24,价格太贵
CE-139,SC-45,SUB-5886,11/12/2026,预算削减
CE-140,SC-1845,SUB-2175,26-07-2025,迁移竞品
CE-141,SC-1242,SUB-2667,2025-09-06,功能不足
CE-142,SC-578,SUB-273,06-03-2026,使用率低
CE-143,SC-2823,SUB-3198,2025-06-13,预算削减
CE-144,SC-2799,SUB-2945,05/20/2025,迁移竞品
CE-145,SC-967,SUB-2234,18-11-2025,价格太贵
CE-146,SC-1836,SUB-2386,05/28/2025,迁移竞品
CE-147,SC-1082,SUB-121,18-09-2025,使用率低
CE-148,SC-2935,SUB-5191,27-01-2025,迁移竞品
CE-149,SC-1319,SUB-3929,24-04-2025,未说明
CE-150,SC-1128,SUB-1728,2026-03-03,功能不足
CE-151,SC-2105,SUB-5024,02/04/2025,预算削减
CE-152,SC-1636,SUB-4607,10-07-2025,迁移竞品
CE-153,SC-954,SUB-858,06/22/2026,预算削减
CE-154,SC-1474,SUB-713,09/26/2025,使用率低
CE-155,SC-2689,SUB-4581,08/23/2025,使用率低
CE-156,SC-2337,SUB-3332,08/01/2025,迁移竞品
CE-157,SC-819,SUB-5726,19-07-2025,使用率低
CE-158,SC-2742,SUB-1875,22-05-2025,功能不足
CE-159,SC-1123,SUB-3056,2025-11-10,使用率低
CE-160,SC-731,SUB-4686,2025-09-16,迁移竞品
CE-161,SC-2917,SUB-2953,2026-10-01,迁移竞品
CE-162,SC-1194,SUB-3417,22-08-2025,使用率低
CE-163,SC-2592,SUB-5717,19-04-2025,价格太贵
CE-164,SC-1046,SUB-893,03-03-2026,未说明
CE-165,SC-1212,SUB-144,2026-06-24,未说明
CE-166,SC-1355,SUB-2156,2025-01-18,迁移竞品
CE-167,SC-487,SUB-4763,2025-03-09,功能不足
CE-168,SC-1139,SUB-2746,06-07-2025,未说明
CE-169,SC-1782,SUB-1596,2025-11-26,未说明
CE-170,SC-2186,SUB-4022,2026-09-24,价格太贵
CE-171,SC-2015,SUB-3898,2026-11-23,使用率低
CE-172,SC-788,SUB-4880,2025-08-24,功能不足
CE-173,SC-2658,SUB-3501,20-11-2026,价格太贵
CE-174,SC-2159,SUB-3872,2025-11-05,功能不足
CE-175,SC-2682,SUB-3109,21-12-2025,价格太贵
CE-176,SC-1765,SUB-3231,11/10/2026,预算削减
CE-177,SC-2215,SUB-698,12/16/2026,使用率低
CE-178,SC-809,SUB-1440,05/16/2025,使用率低
CE-179,SC-1839,SUB-5397,2025-03-21,未说明
CE-180,SC-2423,SUB-2872,2025-02-11,未说明
CE-181,SC-1883,SUB-4862,2026-01-12,使用率低
CE-182,SC-2733,SUB-308,05-08-2026,迁移竞品
CE-183,SC-1605,SUB-2560,18-02-2026,功能不足
CE-184,SC-431,SUB-1158,10/15/2026,迁移竞品
CE-185,SC-781,SUB-3282,2026-10-17,未说明
CE-186,SC-939,SUB-2575,2026-02-25,未说明
CE-187,SC-1736,SUB-3846,25-09-2026,功能不足
CE-188,SC-1585,SUB-3447,17-04-2026,迁移竞品
CE-189,SC-656,SUB-5943,2026-09-10,功能不足
CE-190,SC-458,SUB-4437,01/02/2026,功能不足
CE-191,SC-614,SUB-3465,21-03-2025,预算削减
CE-192,SC-28,SUB-1119,2026-08-13,迁移竞品
CE-193,SC-1498,SUB-5103,2025-08-18,未说明
CE-194,SC-2495,SUB-2151,2026-06-16,迁移竞品
CE-195,SC-1799,SUB-3851,20-09-2025,未说明
CE-196,SC-1482,SUB-2071,11/03/2025,使用率低
CE-197,SC-2157,SUB-3202,07/18/2026,价格太贵
CE-198,SC-521,SUB-4550,2026-04-20,迁移竞品
CE-199,SC-2359,SUB-5951,05-02-2026,预算削减
CE-200,SC-2973,SUB-1492,2026-11-10,未说明
CE-201,SC-1497,SUB-4824,2025-05-20,预算削减
CE-202,SC-2070,SUB-957,2025-06-25,迁移竞品
CE-203,SC-972,SUB-5014,12/01/2026,功能不足
CE-204,SC-254,SUB-1875,2025-09-13,功能不足
CE-205,SC-1782,SUB-1529,2025-04-27,预算削减
CE-206,SC-119,SUB-3383,08-06-2025,迁移竞品
CE-207,SC-1645,SUB-1981,08-08-2025,未说明
CE-208,SC-2399,SUB-4681,07/04/2025,使用率低
CE-209,SC-963,SUB-2160,09/19/2026,价格太贵
CE-210,SC-884,SUB-666,2026-12-22,未说明
CE-211,SC-104,SUB-4546,21-08-2026,预算削减
CE-212,SC-2419,SUB-3924,2026-07-07,价格太贵
CE-213,SC-952,SUB-3089,27-09-2026,功能不足
CE-214,SC-1766,SUB-3231,09/08/2026,使用率低
CE-215,SC-57,SUB-3923,2026-04-12,预算削减
CE-216,SC-634,SUB-3290,10/06/2025,价格太贵
CE-217,SC-424,SUB-4102,08-07-2025,价格太贵
CE-218,SC-1322,SUB-2170,2025-01-18,使用率低
CE-219,SC-2307,SUB-940,2026-04-24,迁移竞品
CE-220,SC-2119,SUB-391,2026-07-14,功能不足
CE-221,SC-735,SUB-1745,2026-05-05,预算削减
CE-222,SC-928,SUB-2071,02/20/2025,预算削减
CE-223,SC-1527,SUB-4069,10/05/2026,迁移竞品
CE-224,SC-2477,SUB-765,22-12-2026,功能不足
CE-225,SC-757,SUB-3574,2025-09-03,价格太贵
CE-226,SC-1457,SUB-4982,2026-10-24,预算削减
CE-227,SC-2254,SUB-369,2025-09-02,价格太贵
CE-228,SC-595,SUB-754,26-02-2025,功能不足
CE-229,SC-1843,SUB-5603,02/28/2025,功能不足
CE-230,SC-2893,SUB-2119,2026-01-13,使用率低
CE-231,SC-411,SUB-5752,03-11-2026,价格太贵
CE-232,SC-2512,SUB-2409,2025-12-10,预算削减
CE-233,SC-978,SUB-830,2025-12-15,使用率低
CE-234,SC-2304,SUB-1623,04-05-2026,功能不足
CE-235,SC-1605,SUB-3158,2025-01-22,未说明
CE-236,SC-2829,SUB-4899,2025-09-16,未说明
CE-237,SC-1941,SUB-4794,01/21/2025,使用率低
CE-238,SC-320,SUB-2234,2026-04-02,未说明
CE-239,SC-1600,SUB-5706,2026-01-19,未说明
CE-240,SC-1231,SUB-1259,2026-10-24,使用率低
CE-241,SC-96,SUB-2011,15-04-2026,使用率低
CE-242,SC-2736,SUB-2298,05/10/2026,未说明
CE-243,SC-2270,SUB-1824,2026-08-03,功能不足
CE-244,SC-1260,SUB-5467,2026-10-02,未说明
CE-245,SC-2487,SUB-3025,05-10-2026,未说明
CE-246,SC-2186,SUB-1058,04-06-2025,功能不足
CE-247,SC-278,SUB-5638,05/14/2026,预算削减
CE-248,SC-1284,SUB-3231,2026-02-27,预算削减
CE-249,SC-2508,SUB-3878,12/13/2026,价格太贵
CE-250,SC-2261,SUB-4511,09/18/2026,功能不足
CE-251,SC-503,SUB-5472,11/06/2025,价格太贵
CE-252,SC-200,SUB-175,06/18/2025,价格太贵
CE-253,SC-2549,SUB-2119,2025-02-18,功能不足
CE-254,SC-845,SUB-4193,2025-06-15,预算削减
CE-255,SC-197,SUB-1691,06/03/2025,价格太贵
CE-256,SC-1283,SUB-5982,2026-01-12,价格太贵
CE-257,SC-1294,SUB-3417,07-05-2026,功能不足
CE-258,SC-2884,SUB-3522,03-08-2025,未说明
CE-259,SC-2572,SUB-346,07/08/2026,未说明
CE-260,SC-1912,SUB-1103,2025-01-10,迁移竞品
CE-261,SC-2293,SUB-1889,2026-04-12,功能不足
CE-262,SC-76,SUB-3232,03/01/2026,未说明
CE-263,SC-2090,SUB-4012,10/03/2026,未说明
CE-264,SC-546,SUB-1576,16-09-2026,价格太贵
CE-265,SC-889,SUB-5371,2025-02-24,功能不足
CE-266,SC-201,SUB-1695,09-07-2025,使用率低
CE-267,SC-496,SUB-2932,08-10-2026,使用率低
CE-268,SC-2369,SUB-772,2025-09-04,价格太贵
CE-269,SC-1136,SUB-1115,2025-10-14,功能不足
CE-270,SC-658,SUB-5472,03/10/2025,价格太贵
CE-271,SC-2992,SUB-4824,03/28/2025,使用率低
CE-272,SC-2596,SUB-2853,05/20/2026,使用率低
CE-273,SC-1837,SUB-4242,19-08-2026,未说明
CE-274,SC-2706,SUB-5638,21-02-2026,使用率低
CE-275,SC-248,SUB-229,2025-12-20,未说明
CE-276,SC-1347,SUB-3290,2025-06-03,功能不足
CE-277,SC-2769,SUB-4259,14-02-2026,功能不足
CE-278,SC-1709,SUB-4192,08/10/2026,迁移竞品
CE-279,SC-1861,SUB-5254,09/15/2025,迁移竞品
CE-280,SC-260,SUB-2210,02-06-2026,预算削减
CE-281,SC-292,SUB-4749,08-02-2026,功能不足
CE-282,SC-2783,SUB-2991,2025-11-04,价格太贵
CE-283,SC-1153,SUB-4289,02/18/2026,功能不足
CE-284,SC-1999,SUB-148,2025-08-16,未说明
CE-285,SC-2076,SUB-1771,2025-11-08,价格太贵
CE-286,SC-556,SUB-1730,03/01/2025,预算削减
CE-287,SC-1394,SUB-4044,12/04/2025,功能不足
CE-288,SC-338,SUB-2754,27-05-2026,预算削减
CE-289,SC-923,SUB-1700,07/26/2026,迁移竞品
CE-290,SC-611,SUB-1914,2025-01-23,预算削减
CE-291,SC-2625,SUB-2234,10/14/2026,迁移竞品
CE-292,SC-442,SUB-3371,2025-02-07,使用率低
CE-293,SC-323,SUB-800,2025-12-02,价格太贵
CE-294,SC-1943,SUB-5810,09/20/2026,未说明
CE-295,SC-1347,SUB-3290,06/14/2025,使用率低
CE-296,SC-1594,SUB-1115,2025-11-16,价格太贵
CE-297,SC-2702,SUB-1405,2025-10-24,未说明
CE-298,SC-711,SUB-4145,21-06-2026,预算削减
CE-299,SC-621,SUB-4269,2026-07-14,预算削减
CE-300,SC-2999,SUB-3465,03/26/2025,功能不足
CE-301,SC-2212,SUB-2599,2026-03-08,功能不足
CE-302,SC-741,SUB-2899,12/09/2025,使用率低
CE-303,SC-2534,SUB-2934,04/03/2025,功能不足
CE-304,SC-2430,SUB-3928,2025-07-19,迁移竞品
CE-305,SC-1332,SUB-3479,02-08-2025,迁移竞品
CE-306,SC-2881,SUB-3812,2026-03-25,使用率低
CE-307,SC-1203,SUB-3479,2026-01-27,未说明
CE-308,SC-1831,SUB-4141,2025-09-09,功能不足
CE-309,SC-2770,SUB-3511,10-12-2025,预算削减
CE-310,SC-759,SUB-4856,2025-04-06,价格太贵
CE-311,SC-814,SUB-57,09/15/2026,迁移竞品
CE-312,SC-1250,SUB-1871,2025-10-15,迁移竞品
CE-313,SC-2082,SUB-3628,08/26/2026,迁移竞品
CE-314,SC-1338,SUB-1075,23-05-2025,迁移竞品
CE-315,SC-1471,SUB-4845,10/21/2025,预算削减
CE-316,SC-2480,SUB-649,02-01-2026,预算削减
CE-317,SC-2861,SUB-1303,2025-05-26,迁移竞品
CE-318,SC-2869,SUB-3232,03/10/2026,预算削减
CE-319,SC-2198,SUB-1229,01-05-2025,迁移竞品
CE-320,SC-1100,SUB-1866,2025-10-14,预算削减
CE-321,SC-2829,SUB-4145,2026-12-15,预算削减
CE-322,SC-1561,SUB-135,11/09/2026,迁移竞品
CE-323,SC-1980,SUB-3929,2025-07-26,价格太贵
CE-324,SC-1177,SUB-1010,06/17/2026,使用率低
CE-325,SC-1764,SUB-403,2026-04-16,功能不足
CE-326,SC-4,SUB-3011,2025-11-25,使用率低
CE-327,SC-2334,SUB-4246,2026-11-24,功能不足
CE-328,SC-1484,SUB-2965,2026-07-08,未说明
CE-329,SC-1637,SUB-993,05/02/2025,预算削减
CE-330,SC-348,SUB-2451,2025-12-19,迁移竞品
CE-331,SC-1931,SUB-900,09-12-2025,未说明
CE-332,SC-1296,SUB-1997,2026-05-12,使用率低
CE-333,SC-1410,SUB-5826,10/27/2025,迁移竞品
CE-334,SC-378,SUB-2081,2026-03-08,价格太贵
CE-335,SC-1428,SUB-3511,09/20/2026,预算削减
CE-336,SC-1733,SUB-5004,2026-07-21,价格太贵
CE-337,SC-875,SUB-3623,20-11-2026,功能不足
CE-338,SC-2563,SUB-5960,2025-02-05,使用率低
CE-339,SC-2247,SUB-4845,01-10-2025,使用率低
CE-340,SC-2233,SUB-4012,07/21/2025,功能不足
CE-341,SC-1691,SUB-761,13-11-2025,功能不足
CE-342,SC-1542,SUB-1525,2026-10-21,未说明
CE-343,SC-2458,SUB-521,2025-07-10,未说明
CE-344,SC-2410,SUB-3735,2025-10-07,功能不足
CE-345,SC-200,SUB-4897,16-06-2025,预算削减
CE-346,SC-1255,SUB-1296,2025-03-06,未说明
CE-347,SC-1842,SUB-5979,09/01/2026,迁移竞品
CE-348,SC-811,SUB-4247,09/08/2026,使用率低
CE-349,SC-1096,SUB-3115,2025-09-26,使用率低
CE-350,SC-1619,SUB-3430,2026-04-11,功能不足
CE-351,SC-2542,SUB-200,2025-04-13,价格太贵
CE-352,SC-2217,SUB-1892,15-11-2026,功能不足
CE-353,SC-167,SUB-4384,2025-05-27,功能不足
CE-354,SC-2944,SUB-3078,2025-12-13,功能不足
CE-355,SC-2018,SUB-2347,2026-10-14,功能不足
CE-356,SC-2933,SUB-210,28-07-2025,使用率低
CE-357,SC-2265,SUB-3704,2026-06-20,功能不足
CE-358,SC-119,SUB-514,27-05-2026,预算削减
CE-359,SC-1589,SUB-2298,2026-06-07,使用率低
CE-360,SC-1054,SUB-3470,12-04-2026,迁移竞品
CE-361,SC-802,SUB-4562,2026-04-01,使用率低
CE-362,SC-1327,SUB-3085,2026-05-16,预算削减
CE-363,SC-978,SUB-874,07/24/2025,使用率低
CE-364,SC-1443,SUB-5903,02-08-2025,价格太贵
CE-365,SC-1221,SUB-167,05-05-2025,价格太贵
CE-366,SC-956,SUB-4709,10/17/2026,价格太贵
CE-367,SC-2123,SUB-2537,2025-06-07,预算削减
CE-368,SC-600,SUB-2298,2026-06-08,预算削减
CE-369,SC-525,SUB-1778,2025-10-07,价格太贵
CE-370,SC-1051,SUB-3374,2026-08-26,价格太贵
CE-371,SC-568,SUB-4217,17-01-2025,预算削减
CE-372,SC-2724,SUB-943,22-09-2026,价格太贵
CE-373,SC-2791,SUB-5921,2025-06-16,价格太贵
CE-374,SC-1406,SUB-3009,06/21/2026,使用率低
CE-375,SC-737,SUB-933,10/17/2025,未说明
CE-376,SC-2602,SUB-3265,2026-03-22,使用率低
CE-377,SC-1812,SUB-3258,2025-09-08,使用率低
CE-378,SC-2680,SUB-200,09/03/2026,使用率低
CE-379,SC-2317,SUB-5726,2025-12-22,价格太贵
CE-380,SC-188,SUB-4958,19-01-2026,未说明
CE-381,SC-1610,SUB-4263,21-08-2026,价格太贵
CE-382,SC-1887,SUB-3515,2025-05-11,未说明
CE-383,SC-907,SUB-4338,01-05-2025,使用率低
CE-384,SC-315,SUB-3866,2026-01-15,功能不足
CE-385,SC-443,SUB-3282,09/06/2025,使用率低
CE-386,SC-2171,SUB-481,02-10-2026,价格太贵
CE-387,SC-759,SUB-2451,21-03-2025,迁移竞品
CE-388,SC-2303,SUB-1309,2025-03-05,价格太贵
CE-389,SC-2979,SUB-2334,2026-12-28,迁移竞品
CE-390,SC-2632,SUB-1957,05-05-2026,预算削减
CE-391,SC-1711,SUB-2105,2025-01-08,价格太贵
CE-392,SC-2883,SUB-4868,2025-02-06,迁移竞品
CE-393,SC-539,SUB-3735,11-05-2025,未说明
CE-394,SC-1395,SUB-3313,2026-05-19,未说明
CE-395,SC-1564,SUB-3630,2026-04-15,功能不足
CE-396,SC-1363,SUB-3511,2025-11-28,预算削减
CE-397,SC-2148,SUB-2064,01/15/2026,价格太贵
CE-398,SC-12,SUB-287,2025-09-12,价格太贵
CE-399,SC-5,SUB-4446,01/13/2026,功能不足
CE-400,SC-2928,SUB-1730,11/02/2025,未说明
CE-401,SC-620,SUB-3878,2026-08-09,功能不足
CE-402,SC-2892,SUB-1670,18-11-2026,迁移竞品
CE-403,SC-754,SUB-4338,08/15/2026,价格太贵
CE-404,SC-1833,SUB-5886,2026-04-02,迁移竞品
CE-405,SC-510,SUB-1286,05/19/2025,迁移竞品
CE-406,SC-1223,SUB-2313,08-09-2025,未说明
CE-407,SC-1445,SUB-5217,2025-11-16,价格太贵
CE-408,SC-2979,SUB-1002,2026-03-10,功能不足
CE-409,SC-1713,SUB-2701,2025-05-17,迁移竞品
CE-410,SC-2805,SUB-1955,2025-10-26,功能不足
CE-411,SC-2106,SUB-4880,2025-01-23,使用率低
CE-412,SC-2921,SUB-1068,28-05-2025,未说明
CE-413,SC-957,SUB-4581,01/05/2026,使用率低
CE-414,SC-2529,SUB-3111,2025-02-20,使用率低
CE-415,SC-2003,SUB-4141,2026-05-21,预算削减
CE-416,SC-2603,SUB-226,08/09/2026,预算削减
CE-417,SC-343,SUB-2451,21-07-2025,迁移竞品
CE-418,SC-2097,SUB-3851,2026-08-25,未说明
CE-419,SC-812,SUB-3204,2025-02-16,使用率低
CE-420,SC-2488,SUB-930,2025-09-27,预算削减
CE-421,SC-335,SUB-5012,01/05/2026,使用率低
CE-422,SC-39,SUB-2119,2026-12-06,使用率低
CE-423,SC-1792,SUB-3870,02/19/2025,未说明
CE-424,SC-2407,SUB-5917,20-01-2025,迁移竞品
CE-425,SC-2021,SUB-2170,2025-06-08,迁移竞品
CE-426,SC-1250,SUB-3009,11-11-2026,使用率低
CE-427,SC-206,SUB-574,11/01/2026,使用率低
CE-428,SC-2782,SUB-2657,2026-02-12,使用率低
CE-429,SC-413,SUB-1447,2026-03-19,使用率低
CE-430,SC-1754,SUB-3540,2026-09-10,功能不足
CE-431,SC-2761,SUB-844,2025-08-01,功能不足
CE-432,SC-2196,SUB-242,06/05/2026,预算削减
CE-433,SC-1782,SUB-5365,05-07-2026,价格太贵
CE-434,SC-941,SUB-1576,2026-07-26,迁移竞品
CE-435,SC-317,SUB-3630,2026-03-14,价格太贵
CE-436,SC-1944,SUB-5691,25-12-2026,迁移竞品
CE-437,SC-1226,SUB-1940,2026-08-24,价格太贵
CE-438,SC-1428,SUB-5639,2025-05-16,迁移竞品
CE-439,SC-702,SUB-3447,2025-07-24,未说明
CE-440,SC-790,SUB-3628,08/27/2026,未说明
CE-441,SC-2258,SUB-5809,04/28/2026,迁移竞品
CE-442,SC-1061,SUB-639,2026-08-23,未说明
CE-443,SC-1842,SUB-1229,02/24/2026,使用率低
CE-444,SC-1990,SUB-4770,07/10/2025,未说明
CE-445,SC-2534,SUB-1816,2025-09-14,未说明
CE-446,SC-932,SUB-3228,2026-10-07,功能不足
CE-447,SC-1911,SUB-4635,2025-05-17,迁移竞品
CE-448,SC-531,SUB-4141,2026-05-04,使用率低
CE-449,SC-1488,SUB-3543,2026-08-07,未说明
CE-450,SC-2759,SUB-5569,01/10/2026,迁移竞品
CE-451,SC-66,SUB-2592,2026-01-17,价格太贵
CE-452,SC-1206,SUB-2071,2025-02-18,使用率低
CE-453,SC-637,SUB-5870,05-08-2025,使用率低
CE-454,SC-95,SUB-2754,10-06-2026,功能不足
CE-455,SC-1580,SUB-3929,2025-06-09,未说明
CE-456,SC-925,SUB-3100,2026-12-12,预算削减
CE-457,SC-511,SUB-2945,02/02/2025,价格太贵
CE-458,SC-1805,SUB-4259,2026-08-13,价格太贵
CE-459,SC-195,SUB-2722,2026-07-04,未说明
CE-460,SC-479,SUB-3613,01/11/2025,使用率低
CE-461,SC-2203,SUB-5642,2025-06-01,预算削减
CE-462,SC-339,SUB-2342,09/26/2026,使用率低
CE-463,SC-218,SUB-2290,03/11/2026,预算削减
CE-464,SC-2052,SUB-3231,25-11-2026,功能不足
CE-465,SC-2352,SUB-4741,14-06-2026,迁移竞品
CE-466,SC-46,SUB-3670,2025-10-25,未说明
CE-467,SC-2794,SUB-2182,2026-12-04,功能不足
