payment_id,invoice_id,amount,method,status,paid_date
SP-32,SI-1054,"2,858.00",bank_transfer,SUCCESS,2025-10-26
SP-33,SI-756,2232,card,pending,20-04-2026
SP-34,SI-3454,167,card,SUCCESS,2025-03-12
SP-35,SI-3887,3419,bank_transfer,success,2026-04-03
SP-36,SI-5122,"$3,455.00",alipay,SUCCESS,2026-01-06
SP-37,SI-909,"2,347.00",bank_transfer,SUCCESS,2024-09-21
SP-38,SI-4371,"$3,991.00",card,pending,06/10/2026
SP-39,SI-3473,1757,wechat,success,2025-10-12
SP-40,SI-208,2048,card,pending,09-07-2026
SP-41,SI-1628,765,bank_transfer,success,07/03/2024
SP-42,SI-1607,2653,bank_transfer,pending,2026-12-11
SP-43,SI-1707,3551,bank_transfer,success,2025-06-24
SP-44,SI-3665,"$2,939.00",alipay,SUCCESS,2024-05-11
SP-45,SI-2123,$323.00,wechat,success,2025-11-22
SP-46,SI-2218,4748,wechat,pending,2026-03-16
SP-47,SI-2819,3077,bank_transfer,pending,2025-05-16
SP-48,SI-3615,3519,alipay,failed,2026-11-24
SP-49,SI-5226,3244,card,SUCCESS,07/27/2024
SP-50,SI-5420,639.00,bank_transfer,pending,01/23/2025
SP-51,SI-4964,"$4,114.00",alipay,success,2024-07-17
SP-52,SI-3166,"$4,623.00",card,pending,2025-09-27
SP-53,SI-2562,1625,alipay,success,2025-01-04
SP-54,SI-1050,"$2,322.00",wechat,SUCCESS,04/28/2024
SP-55,SI-834,"$4,097.00",alipay,SUCCESS,2025-08-11
SP-56,SI-1179,4303,alipay,success,2026-08-05
SP-57,SI-3225,$122.00,card,success,2025-11-27
SP-58,SI-5330,4278,alipay,SUCCESS,2024-05-07
SP-59,SI-580,1027,wechat,success,2024-04-20
SP-60,SI-4004,"4,635.00",card,success,11/22/2025
SP-61,SI-3160,"1,050.00",bank_transfer,success,12/20/2025
SP-62,SI-124,"$1,367.00",wechat,pending,03/02/2024
SP-63,SI-2256,"4,158.00",wechat,SUCCESS,2025-04-24
SP-64,SI-731,1133,bank_transfer,pending,2025-04-21
SP-65,SI-282,2199,bank_transfer,pending,07/02/2026
SP-66,SI-4668,"4,760.00",bank_transfer,pending,2025-12-28
SP-67,SI-5293,700,alipay,failed,04/27/2026
SP-68,SI-5596,"3,702.00",card,SUCCESS,09-04-2026
SP-69,SI-4854,"4,958.00",alipay,pending,12-07-2026
SP-70,SI-4024,2852,alipay,SUCCESS,2025-04-15
SP-71,SI-5149,"2,296.00",alipay,failed,2025-11-21
SP-72,SI-1078,"$3,260.00",wechat,pending,12/09/2024
SP-73,SI-5115,503,bank_transfer,pending,2025-08-05
SP-74,SI-919,4679,card,pending,09/03/2026
SP-75,SI-4677,$399.00,bank_transfer,failed,2025-10-17
SP-76,SI-2339,3445,wechat,failed,06/02/2026
SP-77,SI-643,4510,wechat,success,19-07-2025
SP-78,SI-4930,"4,506.00",card,failed,08-11-2025
SP-79,SI-4133,782,card,SUCCESS,2024-09-20
SP-80,SI-2567,4507,bank_transfer,success,2025-06-15
SP-81,SI-1070,"2,894.00",card,success,2025-10-22
SP-82,SI-5383,295.00,wechat,SUCCESS,09-02-2026
SP-83,SI-3054,2748,alipay,success,07/27/2025
SP-84,SI-1769,2817,bank_transfer,SUCCESS,12/08/2026
SP-85,SI-2544,$966.00,bank_transfer,failed,08/18/2026
SP-86,SI-3777,658,wechat,pending,15-03-2026
SP-87,SI-3999,"$2,327.00",card,SUCCESS,07-08-2025
SP-88,SI-3198,"$1,749.00",alipay,success,07/23/2024
SP-89,SI-4026,1762,bank_transfer,success,04/02/2026
SP-90,SI-5356,217,bank_transfer,success,2024-01-21
SP-91,SI-4470,4521,wechat,SUCCESS,2024-08-09
SP-92,SI-4305,4405,alipay,success,15-09-2024
SP-93,SI-1144,3850,bank_transfer,SUCCESS,2025-11-01
SP-94,SI-3756,"$3,221.00",alipay,pending,2026-06-25
SP-95,SI-1425,2939,card,success,07/08/2026
SP-96,SI-448,182.00,card,pending,09/24/2024
SP-97,SI-1411,1129,alipay,pending,08/09/2025
SP-98,SI-3979,125,card,SUCCESS,2026-10-02
SP-99,SI-4652,"$2,335.00",wechat,failed,2025-07-13
SP-100,SI-5233,"$3,775.00",wechat,pending,02/08/2025
SP-101,SI-4516,"2,423.00",bank_transfer,SUCCESS,2024-08-17
SP-102,SI-105,"$1,620.00",wechat,success,28-09-2026
SP-103,SI-2758,696,alipay,success,2026-06-05
SP-104,SI-2739,"$4,063.00",card,SUCCESS,07-01-2024
SP-105,SI-4095,"2,955.00",bank_transfer,SUCCESS,01-07-2026
SP-106,SI-3682,"4,263.00",wechat,SUCCESS,10-05-2025
SP-107,SI-493,"4,685.00",card,success,02/07/2025
SP-108,SI-700,"$1,657.00",bank_transfer,pending,2025-10-01
SP-109,SI-5765,1822,wechat,pending,02/21/2025
SP-110,SI-4032,"$1,953.00",wechat,SUCCESS,2024-09-13
SP-111,SI-757,3034,bank_transfer,success,12/26/2024
SP-112,SI-2540,2026,wechat,pending,2026-11-21
SP-113,SI-2561,"2,974.00",alipay,success,2025-02-13
SP-114,SI-5716,2478,bank_transfer,SUCCESS,2024-10-24
SP-115,SI-649,"$4,800.00",card,failed,05/23/2025
SP-116,SI-1832,"$1,962.00",wechat,success,2024-12-11
SP-117,SI-1355,4815,card,SUCCESS,2025-11-08
SP-118,SI-1272,"$2,938.00",wechat,success,09/21/2025
SP-119,SI-1470,1265,wechat,SUCCESS,02/10/2025
SP-120,SI-1116,103,card,pending,28-11-2024
SP-121,SI-5494,850,wechat,pending,2026-10-25
SP-122,SI-1798,"4,053.00",alipay,SUCCESS,02-07-2026
SP-123,SI-4130,"$1,230.00",bank_transfer,pending,2025-04-01
SP-124,SI-2549,"3,256.00",wechat,success,2026-12-28
SP-125,SI-1787,"$1,674.00",card,pending,2024-07-22
SP-126,SI-2708,4466,card,pending,2026-12-13
SP-127,SI-110,"$3,983.00",alipay,SUCCESS,25-09-2024
SP-128,SI-3815,1829,alipay,failed,07/27/2024
SP-129,SI-5733,4549,bank_transfer,success,04/17/2025
SP-130,SI-324,"$3,049.00",bank_transfer,pending,2026-07-23
SP-131,SI-2027,"$1,350.00",wechat,success,12/27/2024
SP-132,SI-5680,"$4,976.00",alipay,success,09/13/2024
SP-133,SI-1970,"$4,919.00",bank_transfer,pending,2025-05-22
SP-134,SI-83,"4,415.00",bank_transfer,success,09/17/2024
SP-135,SI-3298,"$3,452.00",alipay,success,2025-12-14
SP-136,SI-258,$861.00,alipay,SUCCESS,2025-11-18
SP-137,SI-4250,211,bank_transfer,SUCCESS,2025-12-22
SP-138,SI-4451,"$2,923.00",wechat,success,2026-01-20
SP-139,SI-3313,899,card,success,2024-05-23
SP-140,SI-3478,1446,card,failed,2025-11-17
SP-141,SI-4039,1449,bank_transfer,pending,02/21/2025
SP-142,SI-3196,"$1,299.00",alipay,SUCCESS,2025-03-25
SP-143,SI-4148,1819,card,pending,09/28/2026
SP-144,SI-4023,"$4,497.00",alipay,SUCCESS,11/10/2024
SP-145,SI-4248,$749.00,alipay,success,01/22/2024
SP-146,SI-5178,2529,wechat,SUCCESS,2026-05-20
SP-147,SI-3388,4977,wechat,SUCCESS,2026-12-22
SP-148,SI-1110,"3,602.00",wechat,failed,2024-07-03
SP-149,SI-2002,"$1,690.00",wechat,success,2024-09-08
SP-150,SI-2616,2968,bank_transfer,success,06/11/2026
SP-151,SI-5928,"$3,737.00",alipay,SUCCESS,10/06/2024
SP-152,SI-5351,"$1,008.00",alipay,success,10/03/2026
SP-153,SI-2659,249,alipay,SUCCESS,2025-11-26
SP-154,SI-2546,2498,card,success,10-03-2024
SP-155,SI-3730,"$3,204.00",wechat,success,02/28/2026
SP-156,SI-3226,"$3,197.00",alipay,SUCCESS,12/22/2025
SP-157,SI-5,"1,823.00",card,SUCCESS,02/19/2025
SP-158,SI-4304,1552,card,SUCCESS,04/18/2025
SP-159,SI-5529,187,card,success,2026-02-09
SP-160,SI-5175,366,wechat,pending,2024-08-28
SP-161,SI-2239,3891,alipay,SUCCESS,09-06-2026
SP-162,SI-905,"$1,310.00",alipay,failed,11/19/2024
SP-163,SI-864,"3,567.00",wechat,success,2024-02-04
SP-164,SI-3333,"4,791.00",bank_transfer,success,10/04/2024
SP-165,SI-2394,4551,wechat,success,28-03-2024
SP-166,SI-5939,3676,wechat,success,2024-02-17
SP-167,SI-1317,2983,card,SUCCESS,2024-01-03
SP-168,SI-4978,"$1,603.00",alipay,pending,14-02-2024
SP-169,SI-3097,"$3,045.00",bank_transfer,SUCCESS,2024-03-19
SP-170,SI-4778,2123,wechat,SUCCESS,2026-05-12
SP-171,SI-5321,3388,wechat,success,02-03-2024
SP-172,SI-2497,596.00,wechat,success,11-01-2026
SP-173,SI-4179,"$2,953.00",wechat,SUCCESS,2025-08-20
SP-174,SI-5914,"$2,237.00",alipay,SUCCESS,20-01-2026
SP-175,SI-1165,1950,alipay,success,2026-10-11
SP-176,SI-4701,4399,card,success,2026-04-17
SP-177,SI-5987,432,card,SUCCESS,03-06-2026
SP-178,SI-2365,"4,812.00",wechat,pending,2025-04-11
SP-179,SI-4608,1063,bank_transfer,SUCCESS,27-10-2024
SP-180,SI-2747,2001,wechat,pending,2025-09-06
SP-181,SI-612,"$4,632.00",card,success,2024-10-25
SP-182,SI-4670,"1,281.00",alipay,success,2025-01-24
SP-183,SI-4354,4497,wechat,success,2025-08-05
SP-184,SI-1463,"2,207.00",bank_transfer,pending,2025-05-13
SP-185,SI-513,"3,607.00",alipay,pending,2025-11-14
SP-186,SI-2682,"2,847.00",card,SUCCESS,2025-06-01
SP-187,SI-177,$756.00,card,success,2024-04-27
SP-188,SI-946,2629,alipay,success,10/23/2025
SP-189,SI-3372,306,bank_transfer,success,08/25/2025
SP-190,SI-1918,2210,card,success,2026-07-19
SP-191,SI-3868,$911.00,wechat,success,10/15/2024
SP-192,SI-2725,"2,912.00",alipay,pending,02/28/2024
SP-193,SI-4843,562.00,card,pending,11/07/2026
SP-194,SI-2205,"4,441.00",bank_transfer,success,2026-02-04
SP-195,SI-4816,"$2,879.00",card,pending,2025-04-07
SP-196,SI-3934,648,bank_transfer,pending,2024-10-24
SP-197,SI-3811,"4,979.00",bank_transfer,SUCCESS,2025-04-06
SP-198,SI-3551,"$3,984.00",wechat,SUCCESS,2025-05-12
SP-199,SI-3098,3205,alipay,pending,2024-09-04
SP-200,SI-4760,1855,bank_transfer,success,2026-10-01
SP-201,SI-3296,"$3,930.00",bank_transfer,failed,12/04/2025
SP-202,SI-2974,323,card,failed,2024-04-11
SP-203,SI-5245,"$2,075.00",wechat,success,25-06-2026
SP-204,SI-1144,2705,wechat,failed,01/26/2024
SP-205,SI-2861,"$2,834.00",bank_transfer,success,16-06-2024
SP-206,SI-3144,"2,802.00",card,SUCCESS,11/10/2024
SP-207,SI-3773,"2,931.00",wechat,pending,08-01-2024
SP-208,SI-1658,"4,422.00",card,pending,2024-11-11
SP-209,SI-2175,4786,bank_transfer,SUCCESS,18-05-2025
SP-210,SI-1995,1352,alipay,success,04/14/2026
SP-211,SI-249,"$4,164.00",alipay,pending,2026-05-18
SP-212,SI-2732,"4,390.00",alipay,failed,2026-12-05
SP-213,SI-4203,347,bank_transfer,SUCCESS,2025-02-12
SP-214,SI-1374,552,card,success,23-10-2026
SP-215,SI-3774,"$3,510.00",alipay,success,06/20/2024
SP-216,SI-5847,116,card,success,10/01/2026
SP-217,SI-5453,422,bank_transfer,SUCCESS,2025-01-16
SP-218,SI-650,"$4,924.00",card,SUCCESS,12/14/2026
SP-219,SI-4650,$646.00,card,success,2024-05-11
SP-220,SI-2497,"$3,981.00",card,pending,08-06-2026
SP-221,SI-878,"$2,632.00",card,success,2025-11-10
SP-222,SI-5705,"3,066.00",card,SUCCESS,06-12-2026
SP-223,SI-3451,2869,wechat,SUCCESS,06/04/2025
SP-224,SI-273,$355.00,card,pending,2024-06-01
SP-225,SI-304,$308.00,card,pending,2024-08-18
SP-226,SI-2769,4101,alipay,success,2024-05-28
SP-227,SI-5754,941,wechat,success,2025-02-11
SP-228,SI-1777,"2,794.00",card,pending,2024-11-02
SP-229,SI-645,"$4,076.00",alipay,SUCCESS,2026-07-13
SP-230,SI-187,138,alipay,success,2025-04-28
SP-231,SI-3873,448,wechat,success,11/24/2024
SP-232,SI-3928,"$4,751.00",card,success,07/24/2026
SP-233,SI-2748,"$1,547.00",card,SUCCESS,09/18/2024
SP-234,SI-3685,2395,card,SUCCESS,2024-04-27
SP-235,SI-2632,530,card,SUCCESS,22-01-2026
SP-236,SI-5545,"1,256.00",card,pending,2026-04-19
SP-237,SI-4769,"$1,559.00",card,pending,2024-11-21
SP-238,SI-1474,4372,bank_transfer,success,07/02/2024
SP-239,SI-5941,"1,997.00",card,success,06-06-2026
SP-240,SI-238,"$2,076.00",bank_transfer,failed,03/18/2026
SP-241,SI-3413,"$3,425.00",card,failed,2026-06-07
SP-242,SI-798,1947,wechat,success,2024-11-23
SP-243,SI-5679,"$3,004.00",alipay,SUCCESS,04/21/2025
SP-244,SI-5837,3316,wechat,success,2024-01-05
SP-245,SI-558,380,wechat,pending,10-04-2024
SP-246,SI-3506,"$2,628.00",card,SUCCESS,2025-09-06
SP-247,SI-5586,"$2,300.00",wechat,success,05-03-2024
SP-248,SI-4014,860,alipay,success,2025-04-19
SP-249,SI-3081,4342,wechat,pending,2025-02-27
SP-250,SI-5814,"$4,521.00",card,pending,15-02-2024
SP-251,SI-2869,4378,bank_transfer,SUCCESS,2024-08-15
SP-252,SI-2706,"$2,474.00",bank_transfer,failed,2025-06-08
SP-253,SI-3625,"$1,071.00",alipay,success,06/11/2024
SP-254,SI-4605,4308,alipay,SUCCESS,2024-08-08
SP-255,SI-4026,2005,alipay,pending,09/20/2026
SP-256,SI-655,861,card,pending,08-09-2026
SP-257,SI-3652,2219,wechat,SUCCESS,2026-06-12
SP-258,SI-2060,150.00,wechat,success,2026-12-04
SP-259,SI-1440,3774,alipay,pending,02/11/2024
SP-260,SI-84,2844,card,success,12/18/2026
SP-261,SI-446,2330,wechat,pending,03/16/2025
SP-262,SI-4910,2670,wechat,failed,02-05-2024
SP-263,SI-4336,2203,alipay,SUCCESS,02/28/2026
SP-264,SI-1180,3010,card,failed,01/06/2024
SP-265,SI-3436,989,alipay,pending,27-06-2026
SP-266,SI-3793,"3,718.00",alipay,pending,04/23/2024
SP-267,SI-3542,"4,047.00",bank_transfer,success,08-12-2026
SP-268,SI-5002,"$1,170.00",wechat,success,2025-07-23
SP-269,SI-5622,372,wechat,SUCCESS,2025-06-26
SP-270,SI-3334,3647,card,success,09/16/2024
SP-271,SI-5319,2572,alipay,success,03/18/2026
SP-272,SI-4089,480,wechat,SUCCESS,2026-10-22
SP-273,SI-686,3153,wechat,SUCCESS,2024-06-13
SP-274,SI-1140,1655,bank_transfer,pending,2026-07-18
SP-275,SI-4164,4534,bank_transfer,pending,10-10-2025
SP-276,SI-1242,568,alipay,pending,2025-01-19
SP-277,SI-1233,"$3,266.00",card,success,2025-01-03
SP-278,SI-5552,"$4,347.00",card,SUCCESS,2025-05-03
SP-279,SI-1861,2864,bank_transfer,pending,04/06/2026
SP-280,SI-1712,847,bank_transfer,failed,07/05/2025
SP-281,SI-3114,$179.00,wechat,failed,2026-05-08
SP-282,SI-3860,"$2,939.00",alipay,SUCCESS,07/21/2024
SP-283,SI-4088,3829,card,pending,07-08-2024
SP-284,SI-1790,"$4,001.00",alipay,success,10/19/2024
SP-285,SI-1795,2199,alipay,pending,2026-06-06
SP-286,SI-1343,"$1,431.00",bank_transfer,pending,03-01-2026
SP-287,SI-5695,1147,wechat,success,27-02-2024
SP-288,SI-2581,496.00,card,SUCCESS,2025-04-10
SP-289,SI-2616,2435,wechat,failed,04-04-2026
SP-290,SI-338,"$2,558.00",card,pending,26-09-2024
SP-291,SI-4227,152,card,pending,2025-06-22
SP-292,SI-5661,"3,374.00",wechat,failed,2025-11-21
SP-293,SI-2451,"$1,130.00",bank_transfer,SUCCESS,10/03/2024
SP-294,SI-4797,"$4,190.00",wechat,SUCCESS,2026-01-02
SP-295,SI-5258,3781,alipay,SUCCESS,2024-02-07
SP-296,SI-4235,3838,card,success,2026-10-15
SP-297,SI-2181,3408,card,pending,2026-09-17
SP-298,SI-5020,"1,255.00",wechat,success,2025-06-12
SP-299,SI-3644,"$2,397.00",alipay,SUCCESS,09/26/2026
SP-300,SI-1893,"$3,464.00",card,SUCCESS,06-02-2024
SP-301,SI-1465,2073,wechat,pending,2026-07-08
SP-302,SI-5683,$827.00,bank_transfer,failed,02/09/2024
SP-303,SI-3645,"$3,961.00",alipay,success,2025-08-27
SP-304,SI-4979,541,alipay,failed,2025-07-11
SP-305,SI-3850,755,bank_transfer,success,2024-07-24
SP-306,SI-2219,"$1,963.00",card,pending,2026-10-11
SP-307,SI-4528,779,bank_transfer,SUCCESS,09/02/2025
SP-308,SI-3539,3587,alipay,SUCCESS,2024-05-01
SP-309,SI-2341,"$2,055.00",bank_transfer,SUCCESS,2026-10-24
SP-310,SI-1783,3584,wechat,failed,2026-05-01
SP-311,SI-5166,1997,bank_transfer,SUCCESS,2024-10-06
SP-312,SI-1027,433.00,bank_transfer,success,12-05-2026
SP-313,SI-1277,4062,card,SUCCESS,01/22/2026
SP-314,SI-5677,3180,alipay,pending,06/19/2025
SP-315,SI-3338,$605.00,card,success,2026-03-19
SP-316,SI-4874,293,bank_transfer,failed,2026-11-06
SP-317,SI-2324,"2,706.00",bank_transfer,SUCCESS,24-01-2026
SP-318,SI-1207,"1,652.00",wechat,SUCCESS,2026-03-07
SP-319,SI-3337,962.00,alipay,success,17-04-2024
SP-320,SI-5680,$194.00,bank_transfer,pending,05/24/2025
SP-321,SI-4766,"3,514.00",wechat,pending,2024-12-02
SP-322,SI-4508,1455,bank_transfer,success,2024-01-18
SP-323,SI-1448,"2,668.00",card,pending,2026-07-25
SP-324,SI-5273,4208,alipay,pending,2025-02-24
SP-325,SI-4762,3212,bank_transfer,SUCCESS,11/21/2025
SP-326,SI-3862,518,card,success,2026-09-26
SP-327,SI-4824,"$1,878.00",card,pending,2025-08-27
SP-328,SI-38,3149,card,SUCCESS,10-11-2024
SP-329,SI-5613,"1,499.00",bank_transfer,SUCCESS,2024-06-23
SP-330,SI-5902,"$4,477.00",bank_transfer,success,2024-02-07
SP-331,SI-4635,"$4,108.00",alipay,SUCCESS,2026-09-11
SP-332,SI-288,"2,347.00",bank_transfer,SUCCESS,2026-03-14
SP-333,SI-3918,1760,wechat,SUCCESS,11/21/2025
SP-334,SI-3300,913,wechat,success,2024-06-19
SP-335,SI-471,"3,557.00",alipay,success,13-09-2025
SP-336,SI-2162,1081,bank_transfer,SUCCESS,08-09-2024
SP-337,SI-1344,4587,card,failed,08/08/2026
SP-338,SI-5812,1501,wechat,SUCCESS,2026-05-05
SP-339,SI-346,"3,095.00",card,success,10/23/2025
SP-340,SI-3639,1847,alipay,SUCCESS,01-05-2025
SP-341,SI-5613,3457,card,failed,2026-10-23
SP-342,SI-5057,3324,alipay,success,05/02/2026
SP-343,SI-5531,1238,bank_transfer,SUCCESS,2024-12-21
SP-344,SI-4574,"1,992.00",card,failed,2024-07-26
SP-345,SI-2444,$419.00,bank_transfer,pending,2026-11-01
SP-346,SI-1866,"2,677.00",card,success,07/10/2026
SP-347,SI-3753,"$2,478.00",wechat,pending,2025-07-05
SP-348,SI-2186,"4,684.00",bank_transfer,SUCCESS,2025-02-13
SP-349,SI-3762,3470,card,success,2024-05-14
SP-350,SI-5701,$867.00,wechat,success,2025-08-14
SP-351,SI-2708,3811,card,success,05/13/2024
SP-352,SI-736,2290,alipay,success,2026-02-26
SP-353,SI-362,1630,card,SUCCESS,2026-09-12
SP-354,SI-96,"$2,372.00",alipay,SUCCESS,2026-10-01
SP-355,SI-2976,"4,478.00",bank_transfer,SUCCESS,2024-11-10
SP-356,SI-672,1329,bank_transfer,success,2024-08-06
SP-357,SI-1151,"$1,737.00",wechat,SUCCESS,2026-01-04
SP-358,SI-32,4484,bank_transfer,success,2024-06-02
SP-359,SI-2657,3202,bank_transfer,SUCCESS,2026-01-17
SP-360,SI-2443,"4,614.00",wechat,pending,07-06-2026
SP-361,SI-2024,2510,card,SUCCESS,2025-03-24
SP-362,SI-3106,"$3,714.00",bank_transfer,success,2025-03-17
SP-363,SI-3732,"$2,109.00",alipay,pending,03/14/2025
SP-364,SI-3544,1862,wechat,SUCCESS,04/17/2026
SP-365,SI-4872,3914,wechat,pending,28-06-2025
SP-366,SI-2446,3957,wechat,SUCCESS,2024-10-12
SP-367,SI-212,3252,card,success,2025-10-13
SP-368,SI-1335,2044,alipay,success,2025-03-08
SP-369,SI-1163,2276,bank_transfer,success,27-03-2025
SP-370,SI-2920,$846.00,alipay,success,2025-09-22
SP-371,SI-5202,"$3,186.00",card,failed,2026-09-19
SP-372,SI-933,396,wechat,pending,2024-09-01
SP-373,SI-5565,2247,card,pending,2026-08-27
SP-374,SI-823,2632,alipay,success,2026-02-23
SP-375,SI-2846,"4,544.00",bank_transfer,success,2024-09-08
SP-376,SI-440,257,wechat,success,2025-12-06
SP-377,SI-1533,"$3,658.00",bank_transfer,SUCCESS,2024-02-08
SP-378,SI-5390,"$1,832.00",card,SUCCESS,2026-01-15
SP-379,SI-3338,2532,card,success,08-04-2024
SP-380,SI-2239,"4,685.00",alipay,SUCCESS,2026-03-24
SP-381,SI-3622,2483,bank_transfer,SUCCESS,2024-09-09
SP-382,SI-4142,2658,card,SUCCESS,2025-12-23
SP-383,SI-563,2555,bank_transfer,success,2024-01-15
SP-384,SI-2206,"$3,078.00",card,success,12/13/2024
SP-385,SI-1843,2760,wechat,pending,11/20/2024
SP-386,SI-3858,3521,alipay,success,07/10/2024
SP-387,SI-4064,278.00,bank_transfer,success,10/08/2025
SP-388,SI-4107,2307,wechat,SUCCESS,2026-08-17
SP-389,SI-3429,"1,515.00",bank_transfer,success,13-01-2025
SP-390,SI-1510,"2,401.00",card,failed,2025-07-05
SP-391,SI-4700,188,wechat,success,2026-07-21
SP-392,SI-2383,"1,954.00",alipay,success,07/15/2025
SP-393,SI-2465,1899,bank_transfer,pending,2024-10-15
SP-394,SI-3611,2268,bank_transfer,success,2025-04-04
SP-395,SI-2083,2524,card,SUCCESS,17-01-2026
SP-396,SI-3239,4104,card,success,04/02/2024
SP-397,SI-3816,1361,card,SUCCESS,09-12-2026
SP-398,SI-2339,4380,card,pending,2025-12-22
SP-399,SI-3588,"1,139.00",bank_transfer,SUCCESS,11/10/2024
SP-400,SI-5086,"4,517.00",card,success,06/03/2025
SP-401,SI-1327,1702,card,SUCCESS,04-02-2024
SP-402,SI-5390,"$4,687.00",alipay,success,12/21/2025
SP-403,SI-5311,"3,953.00",wechat,pending,2025-02-11
SP-404,SI-4854,4501,card,SUCCESS,2025-09-28
SP-405,SI-4604,"$4,825.00",card,SUCCESS,11/26/2025
SP-406,SI-392,"$4,419.00",wechat,failed,05/21/2024
SP-407,SI-1802,542.00,bank_transfer,SUCCESS,26-09-2024
SP-408,SI-81,1238,wechat,pending,11/14/2026
SP-409,SI-3300,"$3,225.00",alipay,success,07/16/2024
SP-410,SI-5694,943,wechat,success,2025-12-10
SP-411,SI-2434,598,bank_transfer,pending,2025-02-17
SP-412,SI-1139,2535,alipay,SUCCESS,2026-03-04
SP-413,SI-1842,346,wechat,success,2026-07-09
SP-414,SI-1533,"$4,882.00",wechat,pending,02/27/2025
SP-415,SI-1951,2487,wechat,SUCCESS,2026-01-10
SP-416,SI-5261,"$2,411.00",bank_transfer,SUCCESS,2026-11-22
SP-417,SI-4792,1748,bank_transfer,success,26-04-2024
SP-418,SI-2964,993,card,pending,16-02-2024
SP-419,SI-3184,3034,bank_transfer,pending,11/09/2025
SP-420,SI-2425,"2,357.00",bank_transfer,success,01-06-2026
SP-421,SI-1955,"2,775.00",alipay,success,03-04-2024
SP-422,SI-3359,"1,607.00",alipay,SUCCESS,2025-02-11
SP-423,SI-5801,2033,alipay,pending,01/18/2026
SP-424,SI-4923,"3,237.00",card,SUCCESS,2026-10-05
SP-425,SI-1562,3045,bank_transfer,pending,2026-06-25
SP-426,SI-2,4364,alipay,success,2025-03-11
SP-427,SI-612,$575.00,card,SUCCESS,07/19/2026
SP-428,SI-1209,204,wechat,SUCCESS,03-02-2026
SP-429,SI-3879,668,card,success,2024-05-24
SP-430,SI-5898,1452,alipay,pending,2025-04-23
SP-431,SI-2051,"$1,880.00",alipay,SUCCESS,2024-11-14
SP-432,SI-3733,3039,alipay,success,28-11-2026
SP-433,SI-5778,3250,card,success,03/09/2024
SP-434,SI-1510,"$2,749.00",bank_transfer,SUCCESS,03/06/2025
SP-435,SI-575,4726,wechat,pending,12/16/2026
SP-436,SI-1798,"1,773.00",bank_transfer,SUCCESS,22-04-2025
SP-437,SI-761,3227,card,success,2025-12-06
SP-438,SI-1002,3271,card,pending,02/20/2025
SP-439,SI-3703,"2,006.00",card,SUCCESS,2026-04-27
SP-440,SI-2136,257,bank_transfer,success,27-03-2024
SP-441,SI-5630,2924,wechat,success,06/01/2024
SP-442,SI-4348,"$2,137.00",card,success,2026-02-21
SP-443,SI-171,2433,bank_transfer,SUCCESS,11/07/2025
SP-444,SI-1124,"$2,180.00",wechat,pending,2024-03-27
SP-445,SI-3497,"$3,651.00",alipay,success,2024-12-28
SP-446,SI-1791,4355,wechat,pending,2025-09-23
SP-447,SI-4400,3549,alipay,pending,2025-01-01
SP-448,SI-908,4607,bank_transfer,success,2026-06-28
SP-449,SI-955,3768,alipay,SUCCESS,2026-01-13
SP-450,SI-956,"1,792.00",alipay,pending,2026-11-14
SP-451,SI-1588,157,alipay,SUCCESS,2026-02-27
SP-452,SI-4021,"1,485.00",bank_transfer,SUCCESS,08/17/2024
