escalation_id,ticket_id,escalated_at,reason
ES-41,ST-3507,08/03/2025,SLA 超时
ES-42,ST-1034,10/27/2026,SLA 超时
ES-43,ST-2665,2026-05-03,技术疑难
ES-44,ST-62,2025-03-08,客户经理要求
ES-45,ST-540,2025-08-22,客户经理要求
ES-46,ST-1810,06/01/2025,客户投诉
ES-47,ST-2021,2026-01-28,客户经理要求
ES-48,ST-2583,08/18/2026,SLA 超时
ES-49,ST-2322,01/18/2025,客户投诉
ES-50,ST-10,2025-08-27,技术疑难
ES-51,ST-3022,02/28/2026,客户投诉
ES-52,ST-879,2025-03-21,客户投诉
ES-53,ST-868,06-02-2025,客户经理要求
ES-54,ST-3969,05/18/2026,SLA 超时
ES-55,ST-3059,06/07/2026,技术疑难
ES-56,ST-1717,05-07-2025,技术疑难
ES-57,ST-2823,2026-12-02,客户投诉
ES-58,ST-3637,08/24/2025,客户经理要求
ES-59,ST-1437,07/14/2026,客户经理要求
ES-60,ST-2150,02/27/2025,技术疑难
ES-61,ST-491,27-03-2025,技术疑难
ES-62,ST-942,2026-08-17,技术疑难
ES-63,ST-1071,2025-05-20,技术疑难
ES-64,ST-2653,2026-03-20,客户投诉
ES-65,ST-1002,03/05/2026,技术疑难
ES-66,ST-835,08/15/2026,SLA 超时
ES-67,ST-49,2025-12-14,客户经理要求
ES-68,ST-823,2026-01-08,客户经理要求
ES-69,ST-41,2026-09-01,客户投诉
ES-70,ST-3446,2025-06-12,客户投诉
ES-71,ST-1124,2025-08-04,客户经理要求
ES-72,ST-3822,2026-04-19,客户投诉
ES-73,ST-1154,08/23/2026,客户经理要求
ES-74,ST-1096,09/10/2026,客户投诉
ES-75,ST-721,07/15/2026,客户经理要求
ES-76,ST-2950,2026-03-04,技术疑难
ES-77,ST-2524,2026-11-04,客户经理要求
ES-78,ST-2098,2025-02-19,技术疑难
ES-79,ST-123,22-08-2025,客户经理要求
ES-80,ST-514,2026-11-26,技术疑难
ES-81,ST-282,2025-03-16,客户经理要求
ES-82,ST-2562,03/02/2025,客户投诉
ES-83,ST-1502,2025-04-26,客户投诉
ES-84,ST-223,2025-06-07,客户投诉
ES-85,ST-796,2026-10-11,客户经理要求
ES-86,ST-3458,05/04/2025,技术疑难
ES-87,ST-383,2026-05-15,客户经理要求
ES-88,ST-577,2025-01-21,SLA 超时
ES-89,ST-2630,2025-10-01,SLA 超时
ES-90,ST-2525,2025-06-17,SLA 超时
ES-91,ST-3488,08-09-2026,SLA 超时
ES-92,ST-564,07/13/2025,客户投诉
ES-93,ST-3400,04/18/2025,SLA 超时
ES-94,ST-146,04/23/2026,技术疑难
ES-95,ST-3950,2026-07-06,客户经理要求
ES-96,ST-3175,17-03-2025,客户投诉
ES-97,ST-3632,2025-10-25,技术疑难
ES-98,ST-1078,05-06-2025,技术疑难
ES-99,ST-141,07/15/2026,技术疑难
ES-100,ST-1092,2026-01-04,客户投诉
ES-101,ST-1156,2026-04-20,技术疑难
ES-102,ST-1013,20-01-2026,客户经理要求
ES-103,ST-1554,15-09-2026,SLA 超时
ES-104,ST-331,02-02-2026,SLA 超时
ES-105,ST-254,2026-09-10,SLA 超时
ES-106,ST-3330,10/05/2026,客户经理要求
ES-107,ST-76,09/10/2025,客户经理要求
ES-108,ST-3542,2026-01-19,SLA 超时
ES-109,ST-1920,09/09/2026,技术疑难
ES-110,ST-1614,01/22/2025,技术疑难
ES-111,ST-715,2026-01-18,SLA 超时
ES-112,ST-3154,26-05-2026,客户投诉
ES-113,ST-3788,05-03-2025,SLA 超时
ES-114,ST-2594,2025-08-22,SLA 超时
ES-115,ST-1837,08/24/2026,客户投诉
ES-116,ST-3735,2025-05-21,客户经理要求
ES-117,ST-1538,02-11-2026,客户经理要求
ES-118,ST-3168,03/19/2025,技术疑难
ES-119,ST-2155,2025-01-04,客户经理要求
ES-120,ST-1191,18-03-2025,技术疑难
ES-121,ST-2074,12/03/2025,客户经理要求
ES-122,ST-2550,18-02-2025,客户经理要求
ES-123,ST-3720,2026-02-11,技术疑难
ES-124,ST-745,06/19/2025,客户经理要求
ES-125,ST-2400,01/03/2026,SLA 超时
ES-126,ST-3767,02/15/2026,客户投诉
ES-127,ST-3780,03/15/2026,SLA 超时
ES-128,ST-794,2026-03-12,客户投诉
ES-129,ST-3337,2026-02-19,客户经理要求
ES-130,ST-2132,2025-04-27,SLA 超时
ES-131,ST-3863,06/14/2026,SLA 超时
ES-132,ST-2747,2026-01-17,客户投诉
ES-133,ST-2943,2025-09-27,客户经理要求
ES-134,ST-1151,2025-03-02,SLA 超时
ES-135,ST-2084,2025-04-01,客户经理要求
ES-136,ST-1296,04/25/2025,SLA 超时
ES-137,ST-317,17-07-2026,客户投诉
ES-138,ST-68,2026-10-22,SLA 超时
ES-139,ST-3504,14-11-2026,技术疑难
ES-140,ST-58,2026-02-19,技术疑难
ES-141,ST-3945,2026-08-20,技术疑难
ES-142,ST-2139,2026-04-20,技术疑难
ES-143,ST-1101,2025-01-03,技术疑难
ES-144,ST-3184,20-05-2025,客户经理要求
ES-145,ST-3584,2025-04-13,客户投诉
ES-146,ST-1228,12/18/2026,客户投诉
ES-147,ST-3256,2026-10-24,客户经理要求
ES-148,ST-2744,07/04/2025,SLA 超时
ES-149,ST-1328,03/22/2026,技术疑难
ES-150,ST-3327,10/26/2025,客户经理要求
ES-151,ST-2793,2026-07-02,客户经理要求
ES-152,ST-3144,2025-08-14,客户经理要求
ES-153,ST-512,09/22/2025,客户投诉
ES-154,ST-999,2026-06-05,客户投诉
ES-155,ST-1752,2025-01-13,SLA 超时
ES-156,ST-3952,20-05-2026,客户投诉
ES-157,ST-3789,11-03-2025,客户投诉
ES-158,ST-2361,2025-01-20,SLA 超时
ES-159,ST-3030,2025-12-23,技术疑难
ES-160,ST-1483,02/20/2026,客户经理要求
ES-161,ST-359,2025-11-13,客户投诉
ES-162,ST-670,2026-05-01,客户经理要求
ES-163,ST-1471,2025-03-08,SLA 超时
ES-164,ST-664,2025-11-22,客户投诉
ES-165,ST-2211,2026-07-03,客户经理要求
ES-166,ST-638,2026-06-23,技术疑难
ES-167,ST-1149,2025-08-23,客户经理要求
ES-168,ST-1870,07/18/2025,客户经理要求
ES-169,ST-25,07/02/2026,客户投诉
ES-170,ST-3078,10-01-2026,技术疑难
ES-171,ST-1606,2025-11-06,客户投诉
ES-172,ST-2636,2025-10-15,客户经理要求
ES-173,ST-1830,05/06/2025,客户经理要求
ES-174,ST-2391,05/20/2026,客户经理要求
ES-175,ST-2970,05/06/2025,客户经理要求
ES-176,ST-956,08/06/2026,技术疑难
ES-177,ST-199,11/12/2025,技术疑难
ES-178,ST-1303,12-11-2026,SLA 超时
ES-179,ST-1224,2026-05-03,客户经理要求
ES-180,ST-151,2026-01-14,技术疑难
ES-181,ST-513,03/17/2025,SLA 超时
ES-182,ST-1163,08/11/2026,技术疑难
ES-183,ST-2821,2025-07-17,技术疑难
ES-184,ST-2864,03/03/2026,客户经理要求
ES-185,ST-1834,2025-08-02,技术疑难
ES-186,ST-2693,12/07/2026,客户投诉
ES-187,ST-372,2026-12-28,客户经理要求
ES-188,ST-2293,25-10-2025,技术疑难
ES-189,ST-10,2026-11-17,客户经理要求
ES-190,ST-1500,08/16/2026,客户经理要求
ES-191,ST-498,2025-11-08,客户经理要求
ES-192,ST-1015,10/01/2026,客户投诉
ES-193,ST-2508,05/07/2026,SLA 超时
ES-194,ST-1536,2025-07-15,客户经理要求
ES-195,ST-3285,14-07-2026,客户经理要求
ES-196,ST-379,27-12-2025,SLA 超时
ES-197,ST-2985,2026-07-23,客户投诉
ES-198,ST-2542,2026-04-10,客户经理要求
ES-199,ST-400,04/05/2025,客户投诉
ES-200,ST-3617,08/13/2026,SLA 超时
ES-201,ST-1673,2025-01-04,客户投诉
ES-202,ST-3806,2026-07-01,SLA 超时
ES-203,ST-2473,09/20/2026,客户经理要求
ES-204,ST-1130,2026-10-11,技术疑难
ES-205,ST-322,01-04-2026,SLA 超时
ES-206,ST-3786,2026-04-23,SLA 超时
ES-207,ST-2822,2026-07-03,SLA 超时
ES-208,ST-3433,11-04-2026,客户经理要求
ES-209,ST-3773,2025-07-20,客户经理要求
ES-210,ST-3151,03/12/2025,客户投诉
ES-211,ST-305,2025-07-11,SLA 超时
ES-212,ST-1734,11/11/2026,客户经理要求
ES-213,ST-2546,05-05-2025,客户经理要求
ES-214,ST-1067,14-01-2026,客户经理要求
ES-215,ST-145,2025-03-02,客户投诉
ES-216,ST-3538,03-09-2026,客户投诉
ES-217,ST-183,2026-10-10,SLA 超时
ES-218,ST-1616,06/09/2025,客户投诉
ES-219,ST-3503,01-08-2026,客户投诉
ES-220,ST-1973,11/15/2025,客户投诉
ES-221,ST-3388,07/19/2026,客户投诉
ES-222,ST-2758,17-04-2025,客户投诉
ES-223,ST-1030,05/06/2025,SLA 超时
ES-224,ST-430,07/18/2025,客户经理要求
ES-225,ST-903,08/09/2026,技术疑难
ES-226,ST-3269,2025-09-23,客户投诉
ES-227,ST-3340,2025-08-05,技术疑难
ES-228,ST-2994,2025-01-19,客户经理要求
ES-229,ST-1861,2026-05-20,客户经理要求
ES-230,ST-1740,24-08-2026,SLA 超时
ES-231,ST-2780,2025-01-24,技术疑难
ES-232,ST-2904,2026-02-11,技术疑难
ES-233,ST-3691,2025-09-17,技术疑难
ES-234,ST-2376,2026-12-07,技术疑难
ES-235,ST-2616,2025-09-23,客户投诉
ES-236,ST-2143,24-07-2025,SLA 超时
ES-237,ST-1809,2026-12-09,客户经理要求
ES-238,ST-3489,11/05/2026,客户投诉
ES-239,ST-2656,2025-07-06,技术疑难
ES-240,ST-1110,18-12-2025,客户经理要求
ES-241,ST-1362,2026-05-09,技术疑难
ES-242,ST-1794,12/07/2026,客户投诉
ES-243,ST-2223,2025-05-11,客户经理要求
ES-244,ST-2397,18-09-2025,技术疑难
ES-245,ST-2587,2025-08-19,SLA 超时
ES-246,ST-3076,2025-08-20,客户投诉
ES-247,ST-930,2026-12-03,客户投诉
ES-248,ST-270,12/02/2025,技术疑难
ES-249,ST-911,2026-12-01,技术疑难
ES-250,ST-2592,2026-12-08,客户经理要求
ES-251,ST-593,2026-12-25,技术疑难
ES-252,ST-3679,01/18/2026,技术疑难
ES-253,ST-3772,2026-03-14,客户经理要求
ES-254,ST-1329,2026-06-07,技术疑难
ES-255,ST-3948,2025-06-24,SLA 超时
ES-256,ST-1420,2026-11-04,客户经理要求
ES-257,ST-3675,2025-05-06,客户经理要求
ES-258,ST-838,06/04/2025,客户投诉
ES-259,ST-319,05/03/2026,SLA 超时
ES-260,ST-3646,2026-03-17,客户经理要求
ES-261,ST-2905,15-11-2025,技术疑难
ES-262,ST-1701,2025-11-11,客户经理要求
ES-263,ST-251,04/09/2025,客户投诉
ES-264,ST-871,2026-08-08,客户经理要求
ES-265,ST-892,03-12-2026,客户经理要求
ES-266,ST-3653,07/13/2026,客户投诉
ES-267,ST-3770,2026-02-07,客户经理要求
ES-268,ST-2668,2026-03-11,SLA 超时
ES-269,ST-799,2025-11-03,客户经理要求
ES-270,ST-1448,2025-09-05,SLA 超时
ES-271,ST-3420,2026-10-10,技术疑难
ES-272,ST-3449,12/20/2025,客户投诉
ES-273,ST-524,12/12/2026,客户投诉
ES-274,ST-530,2025-03-10,客户投诉
ES-275,ST-3365,2025-02-20,客户经理要求
ES-276,ST-998,08-01-2025,客户经理要求
ES-277,ST-3220,2026-06-09,技术疑难
ES-278,ST-3483,04/22/2025,技术疑难
ES-279,ST-3100,2026-03-20,技术疑难
ES-280,ST-2726,2025-10-27,SLA 超时
ES-281,ST-2337,2026-01-20,技术疑难
ES-282,ST-172,19-05-2025,客户经理要求
ES-283,ST-1533,2026-06-08,客户投诉
ES-284,ST-2252,2025-09-18,SLA 超时
ES-285,ST-751,03-10-2026,SLA 超时
ES-286,ST-220,2025-05-24,客户经理要求
ES-287,ST-2792,2026-02-08,客户经理要求
ES-288,ST-3389,2025-03-08,客户投诉
ES-289,ST-2935,09-04-2025,SLA 超时
ES-290,ST-1126,2025-06-26,技术疑难
ES-291,ST-2781,08/08/2025,技术疑难
ES-292,ST-1093,2025-08-10,客户投诉
ES-293,ST-3584,10/06/2025,SLA 超时
ES-294,ST-554,01/25/2025,SLA 超时
ES-295,ST-3140,2025-02-02,SLA 超时
ES-296,ST-1376,2026-05-20,客户投诉
ES-297,ST-2855,05/22/2026,客户投诉
ES-298,ST-1794,2026-04-01,技术疑难
ES-299,ST-3269,2026-08-06,SLA 超时
ES-300,ST-3870,2025-09-16,客户经理要求
ES-301,ST-3350,04/19/2025,SLA 超时
ES-302,ST-2406,2026-09-20,SLA 超时
ES-303,ST-2953,23-05-2025,客户投诉
ES-304,ST-3704,2026-05-19,客户经理要求
ES-305,ST-17,11/17/2026,技术疑难
ES-306,ST-2584,01/25/2025,客户投诉
ES-307,ST-3030,2026-11-02,SLA 超时
ES-308,ST-840,2025-04-04,客户投诉
ES-309,ST-1479,2026-12-20,客户投诉
ES-310,ST-1783,01/08/2026,SLA 超时
ES-311,ST-3023,21-12-2025,SLA 超时
ES-312,ST-3019,13-08-2025,技术疑难
ES-313,ST-518,04/20/2025,技术疑难
ES-314,ST-3794,2025-06-17,客户经理要求
ES-315,ST-2119,2025-11-12,客户经理要求
ES-316,ST-1202,08/11/2026,SLA 超时
ES-317,ST-50,2026-05-17,SLA 超时
ES-318,ST-142,2026-03-16,SLA 超时
ES-319,ST-2611,2026-06-21,SLA 超时
ES-320,ST-3875,02-01-2025,客户经理要求
ES-321,ST-120,2026-09-18,技术疑难
ES-322,ST-876,09/27/2025,客户经理要求
ES-323,ST-360,2025-09-06,客户投诉
ES-324,ST-629,2026-03-13,客户经理要求
ES-325,ST-109,2025-10-16,客户经理要求
ES-326,ST-3234,11-07-2025,客户投诉
ES-327,ST-320,08/05/2026,客户投诉
ES-328,ST-2478,2026-02-21,客户投诉
ES-329,ST-24,2025-05-28,客户投诉
ES-330,ST-2028,26-08-2026,SLA 超时
ES-331,ST-2805,2026-02-12,客户经理要求
ES-332,ST-3124,01-11-2025,SLA 超时
ES-333,ST-3515,03/16/2025,客户经理要求
ES-334,ST-1912,2026-04-20,技术疑难
ES-335,ST-757,2026-09-25,客户经理要求
ES-336,ST-1464,09-08-2026,SLA 超时
ES-337,ST-1354,10/27/2026,SLA 超时
ES-338,ST-3408,2026-12-01,客户经理要求
ES-339,ST-3795,03-11-2026,SLA 超时
ES-340,ST-2831,2026-04-05,SLA 超时
ES-341,ST-1303,12/20/2025,客户投诉
ES-342,ST-3525,2025-11-26,客户经理要求
ES-343,ST-213,2026-04-15,客户经理要求
ES-344,ST-631,11/20/2025,客户经理要求
ES-345,ST-3765,2026-07-26,客户投诉
ES-346,ST-627,09/25/2025,技术疑难
ES-347,ST-1515,2025-06-21,客户投诉
ES-348,ST-2695,09/19/2026,客户经理要求
ES-349,ST-184,2025-08-25,客户投诉
ES-350,ST-3358,08/25/2025,客户投诉
ES-351,ST-1079,2026-11-16,SLA 超时
ES-352,ST-748,19-12-2026,客户经理要求
ES-353,ST-3276,2025-02-17,技术疑难
ES-354,ST-2191,21-07-2025,客户经理要求
ES-355,ST-3757,2025-12-12,技术疑难
ES-356,ST-3309,2025-01-18,客户经理要求
ES-357,ST-3276,2026-07-14,客户经理要求
ES-358,ST-680,2025-01-22,客户投诉
ES-359,ST-3747,2026-01-12,客户经理要求
ES-360,ST-3404,2025-09-02,技术疑难
ES-361,ST-711,01-12-2025,客户经理要求
ES-362,ST-1018,04/25/2026,客户投诉
ES-363,ST-1299,27-02-2026,技术疑难
ES-364,ST-1047,07/16/2025,技术疑难
ES-365,ST-2755,06/10/2025,客户经理要求
ES-366,ST-1599,01-08-2026,客户经理要求
ES-367,ST-379,09-04-2026,技术疑难
ES-368,ST-346,05/11/2025,SLA 超时
ES-369,ST-600,2026-06-04,SLA 超时
ES-370,ST-2660,06/08/2026,客户经理要求
ES-371,ST-2002,20-02-2026,SLA 超时
ES-372,ST-1438,2025-02-11,客户经理要求
ES-373,ST-3634,24-09-2026,技术疑难
ES-374,ST-1353,04/18/2025,客户经理要求
ES-375,ST-2409,13-06-2026,SLA 超时
ES-376,ST-3264,2026-01-15,客户投诉
ES-377,ST-3188,2026-10-01,客户投诉
ES-378,ST-1867,2026-02-23,SLA 超时
ES-379,ST-2027,02/21/2026,客户经理要求
ES-380,ST-1034,01/12/2026,客户投诉
ES-381,ST-2769,2026-06-16,SLA 超时
ES-382,ST-1315,2026-04-04,客户经理要求
ES-383,ST-2986,04/21/2025,客户投诉
ES-384,ST-2528,2026-03-10,技术疑难
ES-385,ST-3041,2025-11-14,技术疑难
ES-386,ST-1044,06/01/2026,客户投诉
ES-387,ST-2688,08/11/2025,技术疑难
ES-388,ST-3895,02/15/2026,技术疑难
ES-389,ST-2554,08/08/2025,技术疑难
ES-390,ST-1715,2026-12-15,技术疑难
ES-391,ST-2586,2026-04-22,客户经理要求
ES-392,ST-3712,25-02-2026,SLA 超时
ES-393,ST-2205,2026-06-23,技术疑难
ES-394,ST-2491,06/13/2026,技术疑难
ES-395,ST-624,2026-08-26,技术疑难
ES-396,ST-2462,2025-09-25,技术疑难
ES-397,ST-1,2026-09-06,SLA 超时
ES-398,ST-2370,27-12-2026,技术疑难
ES-399,ST-3167,2026-07-26,客户投诉
ES-400,ST-208,2026-05-13,SLA 超时
ES-401,ST-2213,2025-03-10,SLA 超时
ES-402,ST-3261,2025-05-26,客户投诉
ES-403,ST-2549,2025-02-18,客户经理要求
ES-404,ST-2545,01/28/2026,客户经理要求
ES-405,ST-34,10-06-2025,客户投诉
ES-406,ST-3553,06/25/2026,客户投诉
ES-407,ST-3708,08/24/2026,客户经理要求
ES-408,ST-635,04/19/2026,客户经理要求
ES-409,ST-3398,04/21/2026,客户投诉
ES-410,ST-2557,2025-08-04,SLA 超时
ES-411,ST-2581,2025-09-16,客户投诉
ES-412,ST-2955,08/20/2025,客户投诉
ES-413,ST-1647,2026-11-04,客户投诉
ES-414,ST-2743,2026-12-04,SLA 超时
ES-415,ST-3261,2026-01-06,客户经理要求
ES-416,ST-151,2026-03-26,技术疑难
ES-417,ST-3715,2025-06-05,客户投诉
ES-418,ST-1193,06/05/2025,客户经理要求
ES-419,ST-3672,2025-09-02,客户经理要求
ES-420,ST-3202,2025-12-07,客户经理要求
ES-421,ST-93,06-06-2025,技术疑难
ES-422,ST-2866,2026-04-10,客户经理要求
ES-423,ST-2643,2026-10-15,SLA 超时
ES-424,ST-2468,2025-11-15,技术疑难
ES-425,ST-1270,08/14/2025,技术疑难
ES-426,ST-793,01/22/2026,技术疑难
ES-427,ST-3819,2025-08-13,客户经理要求
ES-428,ST-674,17-07-2026,技术疑难
ES-429,ST-277,01/03/2025,客户经理要求
ES-430,ST-1043,24-12-2025,SLA 超时
ES-431,ST-2507,11/10/2026,客户经理要求
ES-432,ST-2877,2025-08-07,客户经理要求
ES-433,ST-358,2026-02-14,SLA 超时
ES-434,ST-2906,2025-06-08,SLA 超时
ES-435,ST-3532,2025-07-19,客户投诉
ES-436,ST-1150,21-09-2026,客户经理要求
ES-437,ST-1372,05/17/2026,客户经理要求
ES-438,ST-187,08/27/2026,技术疑难
ES-439,ST-803,2025-03-02,客户经理要求
ES-440,ST-2552,06-02-2025,客户投诉
ES-441,ST-2692,03/19/2026,客户经理要求
ES-442,ST-1077,04-08-2026,客户投诉
ES-443,ST-3825,02/04/2025,客户投诉
ES-444,ST-1035,04/24/2025,技术疑难
ES-445,ST-3326,2025-07-23,SLA 超时
ES-446,ST-3183,26-05-2025,客户经理要求
ES-447,ST-2037,07-09-2025,客户投诉
ES-448,ST-632,2025-06-28,客户经理要求
ES-449,ST-825,05/21/2025,客户经理要求
ES-450,ST-3096,01/18/2025,客户经理要求
ES-451,ST-1416,26-03-2026,客户投诉
ES-452,ST-2864,2025-02-17,客户投诉
ES-453,ST-2991,2025-01-11,客户经理要求
ES-454,ST-3800,2025-11-24,SLA 超时
ES-455,ST-2195,08/12/2025,客户经理要求
ES-456,ST-3604,12/25/2026,SLA 超时
ES-457,ST-2898,18-01-2025,客户经理要求
ES-458,ST-3248,08-03-2026,客户经理要求
ES-459,ST-583,02/08/2025,客户经理要求
ES-460,ST-3645,07/10/2026,技术疑难
ES-461,ST-880,18-03-2026,SLA 超时
ES-462,ST-2383,24-09-2025,客户经理要求
ES-463,ST-830,2026-09-27,技术疑难
ES-464,ST-3071,2026-12-03,客户经理要求
ES-465,ST-3613,09-07-2025,SLA 超时
ES-466,ST-3257,01/15/2026,客户经理要求
ES-467,ST-609,01/05/2026,客户经理要求
ES-468,ST-3909,2025-03-14,客户投诉
ES-469,ST-1189,03/05/2026,客户投诉
ES-470,ST-753,2025-07-17,技术疑难
ES-471,ST-1183,2025-08-09,技术疑难
ES-472,ST-860,2025-06-10,技术疑难
ES-473,ST-2425,09/08/2026,客户经理要求
ES-474,ST-1454,2025-09-05,客户经理要求
ES-475,ST-1414,2025-03-24,SLA 超时
ES-476,ST-2951,2025-08-22,SLA 超时
ES-477,ST-1539,04/07/2026,技术疑难
ES-478,ST-1190,2026-04-21,SLA 超时
ES-479,ST-2431,05/07/2025,客户经理要求
ES-480,ST-3659,09-03-2026,客户经理要求
ES-481,ST-2399,04-03-2025,技术疑难
ES-482,ST-3949,02/26/2026,客户经理要求
ES-483,ST-3112,02/22/2026,技术疑难
ES-484,ST-1287,27-09-2026,SLA 超时
ES-485,ST-479,2026-07-28,客户经理要求
ES-486,ST-831,2025-04-22,客户投诉
ES-487,ST-3303,2026-12-07,技术疑难
ES-488,ST-3748,2025-06-08,客户投诉
ES-489,ST-932,04-10-2026,SLA 超时
ES-490,ST-3416,2025-02-13,技术疑难
ES-491,ST-3991,2025-04-08,SLA 超时
ES-492,ST-76,10/26/2025,客户经理要求
ES-493,ST-1079,21-09-2026,SLA 超时
ES-494,ST-3594,2025-02-22,客户投诉
ES-495,ST-1147,2025-12-07,SLA 超时
ES-496,ST-1207,03/16/2026,客户投诉
ES-497,ST-19,2025-03-02,SLA 超时
ES-498,ST-1488,11/01/2026,技术疑难
ES-499,ST-3317,2026-02-09,客户经理要求
ES-500,ST-2418,02-02-2026,技术疑难
ES-501,ST-746,03-11-2026,客户投诉
ES-502,ST-2806,2025-08-28,SLA 超时
ES-503,ST-593,08/02/2026,客户投诉
ES-504,ST-1954,2026-07-08,SLA 超时
ES-505,ST-558,2026-07-14,技术疑难
ES-506,ST-3710,12/07/2026,技术疑难
ES-507,ST-2281,2026-02-08,技术疑难
ES-508,ST-2621,2025-04-19,SLA 超时
ES-509,ST-825,01/06/2025,技术疑难
ES-510,ST-2146,11/15/2025,客户经理要求
ES-511,ST-1334,2026-05-26,客户经理要求
ES-512,ST-2343,2025-11-10,SLA 超时
ES-513,ST-2349,2026-09-02,SLA 超时
ES-514,ST-2383,08/01/2026,SLA 超时
ES-515,ST-896,2026-02-19,技术疑难
ES-516,ST-3151,2026-02-02,SLA 超时
ES-517,ST-574,10/25/2026,SLA 超时
ES-518,ST-3796,25-08-2026,技术疑难
ES-519,ST-2477,2026-08-03,客户投诉
ES-520,ST-3989,2025-06-27,技术疑难
ES-521,ST-923,09/08/2025,SLA 超时
ES-522,ST-225,2025-04-26,客户投诉
ES-523,ST-1522,07/24/2025,技术疑难
ES-524,ST-3207,04/01/2025,SLA 超时
ES-525,ST-294,25-11-2025,客户经理要求
ES-526,ST-3398,24-10-2025,SLA 超时
ES-527,ST-2915,2025-09-16,SLA 超时
ES-528,ST-3408,17-06-2026,技术疑难
ES-529,ST-3697,2026-12-23,客户经理要求
ES-530,ST-3376,2025-11-24,客户经理要求
ES-531,ST-379,2026-10-05,SLA 超时
ES-532,ST-619,10/05/2025,技术疑难
ES-533,ST-2143,2025-11-19,技术疑难
ES-534,ST-824,2025-03-28,技术疑难
ES-535,ST-1331,2026-07-17,技术疑难
ES-536,ST-3840,01/03/2026,客户投诉
ES-537,ST-2950,05/25/2026,客户经理要求
ES-538,ST-783,07/15/2026,客户投诉
ES-539,ST-1031,05/13/2026,SLA 超时
ES-540,ST-1168,2025-01-07,技术疑难
ES-541,ST-1977,2025-10-25,技术疑难
ES-542,ST-3484,2026-12-05,客户投诉
ES-543,ST-2201,18-09-2026,SLA 超时
ES-544,ST-1979,10/15/2025,客户经理要求
ES-545,ST-1917,2026-11-14,客户经理要求
ES-546,ST-1910,2026-07-05,技术疑难
ES-547,ST-2551,07/05/2025,技术疑难
ES-548,ST-235,2025-11-14,SLA 超时
ES-549,ST-1574,2025-05-27,客户经理要求
ES-550,ST-2132,2025-03-08,技术疑难
ES-551,ST-2493,03-01-2025,SLA 超时
ES-552,ST-915,2025-09-05,客户投诉
ES-553,ST-3123,21-03-2025,客户投诉
ES-554,ST-155,2026-04-18,客户经理要求
ES-555,ST-3561,10/17/2026,客户投诉
ES-556,ST-409,22-09-2026,技术疑难
ES-557,ST-537,2026-09-27,客户投诉
ES-558,ST-2340,2025-07-15,客户投诉
ES-559,ST-2351,2025-03-24,技术疑难
ES-560,ST-3074,2026-10-13,客户经理要求
ES-561,ST-1033,2026-07-13,SLA 超时
ES-562,ST-1456,2026-11-05,SLA 超时
ES-563,ST-3426,2025-10-15,技术疑难
ES-564,ST-2561,2025-10-24,客户经理要求
ES-565,ST-1150,08/26/2025,SLA 超时
ES-566,ST-1759,2026-07-23,技术疑难
ES-567,ST-1255,2025-07-19,客户投诉
ES-568,ST-181,08/02/2025,客户投诉
ES-569,ST-1362,11-08-2025,客户经理要求
ES-570,ST-3696,19-01-2026,客户投诉
ES-571,ST-3892,03/20/2026,技术疑难
ES-572,ST-902,08-11-2026,技术疑难
ES-573,ST-3408,2025-11-03,客户经理要求
ES-574,ST-2189,13-06-2026,客户投诉
ES-575,ST-1702,13-03-2025,技术疑难
