ticket_id,customer_id,subscription_id,priority,status,created_at
ST-161,SC-667,SUB-132,low,resolved,2025-12-01
ST-162,SC-1928,SUB-5171,LOW,open,2026-03-10
ST-163,SC-2677,SUB-1252,high,OPEN,2025-09-14
ST-164,SC-1705,SUB-775,medium,open,2026-02-10
ST-165,SC-2040,SUB-3258,medium,OPEN,10/18/2025
ST-166,SC-1658,SUB-4150,high,open,2026-01-10
ST-167,SC-549,SUB-338,medium,resolved,2026-11-26
ST-168,SC-1716,SUB-655,low,open,2026-05-10
ST-169,SC-2849,SUB-3354,LOW,waiting,13-02-2025
ST-170,SC-1120,SUB-2849,high,resolved,04-12-2025
ST-171,SC-2226,SUB-4099,urgent,closed,2026-07-07
ST-172,SC-575,SUB-4170,LOW,OPEN,2026-11-14
ST-173,SC-1545,SUB-5535,low,open,03/02/2026
ST-174,SC-954,SUB-1715,low,closed,03/01/2026
ST-175,SC-1835,SUB-5820,LOW,open,2026-01-04
ST-176,SC-985,SUB-5764,LOW,open,24-06-2025
ST-177,SC-38,SUB-135,medium,waiting,17-07-2026
ST-178,SC-1442,SUB-5086,high,closed,01/12/2026
ST-179,SC-1209,SUB-5574,LOW,waiting,2026-12-17
ST-180,SC-124,SUB-1232,low,open,2026-12-09
ST-181,SC-427,SUB-1509,medium,OPEN,2026-11-12
ST-182,SC-2995,SUB-4814,high,open,2026-05-12
ST-183,SC-1139,SUB-2262,urgent,waiting,11/17/2025
ST-184,SC-165,SUB-567,medium,OPEN,2025-02-16
ST-185,SC-2886,SUB-77,high,open,2026-04-10
ST-186,SC-2823,SUB-3040,urgent,waiting,03/24/2025
ST-187,SC-1827,SUB-1032,medium,open,2026-03-10
ST-188,SC-1414,SUB-3797,LOW,open,2025-08-03
ST-189,SC-1940,SUB-1113,high,open,2026-02-10
ST-190,SC-2069,SUB-1384,urgent,waiting,2025-04-17
ST-191,SC-2784,SUB-2038,medium,open,2026-01-10
ST-192,SC-2570,SUB-3691,urgent,closed,11/01/2025
ST-193,SC-2744,SUB-5709,LOW,open,09-08-2025
ST-194,SC-2416,SUB-1644,urgent,waiting,2025-01-16
ST-195,SC-2858,SUB-189,medium,waiting,25-08-2026
ST-196,SC-747,SUB-5754,LOW,open,2025-03-23
ST-197,SC-2042,SUB-1683,medium,resolved,2025-10-01
ST-198,SC-2174,SUB-4843,LOW,waiting,04/01/2025
ST-199,SC-20,SUB-5456,low,closed,2025-01-28
ST-200,SC-1861,SUB-297,medium,resolved,03/25/2025
ST-201,SC-463,SUB-946,low,open,13-01-2026
ST-202,SC-1007,SUB-1784,medium,resolved,2026-05-05
ST-203,SC-1714,SUB-5459,LOW,closed,2025-02-17
ST-204,SC-2380,SUB-3349,low,waiting,09-09-2026
ST-205,SC-1759,SUB-3993,urgent,OPEN,14-06-2025
ST-206,SC-2268,SUB-714,high,OPEN,2026-11-14
ST-207,SC-2186,SUB-4500,high,open,2026-11-11
ST-208,SC-2014,SUB-4142,low,open,2026-05-10
ST-209,SC-2692,SUB-3737,high,closed,07/24/2026
ST-210,SC-77,SUB-547,urgent,open,2026-04-10
ST-211,SC-2302,SUB-4229,urgent,closed,2026-10-16
ST-212,SC-2291,SUB-859,low,open,2026-03-10
ST-213,SC-1891,SUB-2836,urgent,resolved,2026-11-18
ST-214,SC-447,SUB-947,urgent,open,2026-02-10
ST-215,SC-2984,SUB-2751,medium,closed,2026-12-04
ST-216,SC-2365,SUB-5363,medium,resolved,06-09-2026
ST-217,SC-1012,SUB-5362,LOW,closed,07/12/2025
ST-218,SC-15,SUB-1733,high,OPEN,03/14/2025
ST-219,SC-725,SUB-500,high,closed,02-08-2025
ST-220,SC-590,SUB-761,high,OPEN,2025-04-17
ST-221,SC-2633,SUB-4830,LOW,closed,2025-01-23
ST-222,SC-765,SUB-5032,LOW,closed,08/26/2026
ST-223,SC-1919,SUB-3015,LOW,OPEN,09/16/2025
ST-224,SC-2928,SUB-1089,LOW,waiting,2025-02-04
ST-225,SC-443,SUB-5949,high,OPEN,2025-04-22
ST-226,SC-2453,SUB-2902,medium,OPEN,16-11-2025
ST-227,SC-1495,SUB-2811,medium,closed,06/14/2025
ST-228,SC-542,SUB-4682,LOW,open,10/13/2025
ST-229,SC-2664,SUB-4953,LOW,resolved,2025-01-10
ST-230,SC-2663,SUB-5467,LOW,closed,05/21/2026
ST-231,SC-895,SUB-5108,high,open,2026-01-10
ST-232,SC-420,SUB-3068,urgent,closed,2025-07-28
ST-233,SC-1625,SUB-4285,urgent,open,2026-05-10
ST-234,SC-1721,SUB-2177,medium,closed,2025-06-10
ST-235,SC-1126,SUB-1646,LOW,open,2026-04-10
ST-236,SC-2226,SUB-3558,urgent,closed,13-06-2026
ST-237,SC-1473,SUB-5101,high,open,2026-03-10
ST-238,SC-860,SUB-78,urgent,open,24-02-2026
ST-239,SC-1864,SUB-3392,high,resolved,07-03-2026
ST-240,SC-91,SUB-473,urgent,OPEN,2026-07-09
ST-241,SC-1856,SUB-5957,LOW,resolved,07/16/2025
ST-242,SC-642,SUB-2456,low,open,2026-01-06
ST-243,SC-1272,SUB-5573,high,waiting,08/02/2025
ST-244,SC-2569,SUB-2404,high,closed,08-03-2026
ST-245,SC-420,SUB-4061,high,closed,08/19/2025
ST-246,SC-1975,SUB-851,urgent,OPEN,07/05/2025
ST-247,SC-1948,SUB-1090,medium,OPEN,08/19/2025
ST-248,SC-2127,SUB-5391,low,resolved,18-06-2026
ST-249,SC-1813,SUB-3167,low,resolved,12-04-2026
ST-250,SC-990,SUB-3944,high,resolved,07/07/2025
ST-251,SC-1437,SUB-377,medium,resolved,25-08-2026
ST-252,SC-1824,SUB-35,low,open,2026-06-22
ST-253,SC-2809,SUB-1200,LOW,closed,09/24/2026
ST-254,SC-2802,SUB-5120,medium,open,2026-02-10
ST-255,SC-1695,SUB-4019,high,closed,23-07-2025
ST-256,SC-2497,SUB-5602,low,open,2026-01-10
ST-257,SC-381,SUB-3486,LOW,OPEN,2025-09-16
ST-258,SC-2517,SUB-1390,high,open,2026-05-10
ST-259,SC-1698,SUB-4904,LOW,closed,2026-11-09
ST-260,SC-594,SUB-2893,high,open,2026-04-10
ST-261,SC-1409,SUB-5284,high,open,2025-12-20
ST-262,SC-444,SUB-1576,LOW,open,2025-08-03
ST-263,SC-1400,SUB-1620,low,waiting,2026-03-13
ST-264,SC-187,SUB-5379,urgent,resolved,09/02/2025
ST-265,SC-482,SUB-4565,medium,open,12-04-2025
ST-266,SC-2191,SUB-1582,LOW,resolved,01/16/2026
ST-267,SC-2539,SUB-750,medium,OPEN,2025-04-28
ST-268,SC-118,SUB-888,LOW,closed,03/11/2026
ST-269,SC-2961,SUB-784,medium,OPEN,10-05-2025
ST-270,SC-2843,SUB-4765,medium,closed,13-07-2026
ST-271,SC-2872,SUB-5499,high,OPEN,28-09-2026
ST-272,SC-872,SUB-3622,low,open,07/01/2026
ST-273,SC-429,SUB-1773,high,closed,2026-06-14
ST-274,SC-1920,SUB-1498,medium,closed,2026-06-22
ST-275,SC-933,SUB-2425,low,resolved,03/19/2025
ST-276,SC-844,SUB-2399,urgent,closed,2025-05-06
ST-277,SC-150,SUB-1824,urgent,open,2026-03-10
ST-278,SC-977,SUB-2716,low,OPEN,2026-01-07
ST-279,SC-2950,SUB-4112,urgent,open,2026-02-10
ST-280,SC-1928,SUB-2120,medium,OPEN,05/12/2026
ST-281,SC-2436,SUB-948,high,open,2026-01-10
ST-282,SC-888,SUB-1011,high,resolved,2025-05-27
ST-283,SC-158,SUB-836,high,open,2026-05-10
ST-284,SC-300,SUB-1862,medium,open,2026-06-22
ST-285,SC-2484,SUB-3763,low,waiting,10/20/2025
ST-286,SC-863,SUB-2264,low,waiting,2025-10-07
ST-287,SC-1119,SUB-4206,LOW,waiting,2025-10-22
ST-288,SC-2196,SUB-5099,medium,resolved,07-06-2026
ST-289,SC-2956,SUB-4601,low,waiting,28-05-2025
ST-290,SC-2953,SUB-2884,high,closed,2026-01-11
ST-291,SC-1858,SUB-1359,high,waiting,07-04-2026
ST-292,SC-821,SUB-3060,high,resolved,03/27/2025
ST-293,SC-973,SUB-4151,medium,waiting,02/18/2026
ST-294,SC-2513,SUB-4657,urgent,resolved,08/28/2026
ST-295,SC-245,SUB-4416,LOW,OPEN,2025-06-04
ST-296,SC-2649,SUB-5269,low,OPEN,2026-11-08
ST-297,SC-2300,SUB-2979,low,waiting,05/25/2026
ST-298,SC-1676,SUB-2988,medium,waiting,2026-07-24
ST-299,SC-1690,SUB-4758,medium,open,2025-01-20
ST-300,SC-1161,SUB-351,urgent,open,2026-04-10
ST-301,SC-2108,SUB-5692,urgent,resolved,2025-09-20
ST-302,SC-677,SUB-2557,low,open,2026-03-10
ST-303,SC-2030,SUB-3938,medium,open,12/13/2026
ST-304,SC-2944,SUB-2940,high,open,2026-02-10
ST-305,SC-1074,SUB-1989,low,open,26-04-2026
ST-306,SC-1415,SUB-2585,low,open,2026-01-10
ST-307,SC-938,SUB-4497,low,closed,2026-09-07
ST-308,SC-2925,SUB-3313,low,waiting,2025-12-25
ST-309,SC-2658,SUB-1244,medium,OPEN,2026-07-22
ST-310,SC-506,SUB-5107,low,resolved,2026-02-24
ST-311,SC-2665,SUB-4655,medium,waiting,2025-03-20
ST-312,SC-2334,SUB-2017,high,closed,01/17/2025
ST-313,SC-2813,SUB-2140,low,resolved,10-01-2026
ST-314,SC-1255,SUB-5486,LOW,waiting,10-09-2026
ST-315,SC-2600,SUB-572,urgent,open,06/20/2025
ST-316,SC-83,SUB-4430,medium,open,08/24/2025
ST-317,SC-1570,SUB-4821,low,closed,05/21/2025
ST-318,SC-2195,SUB-1551,medium,waiting,2025-12-25
ST-319,SC-654,SUB-4018,LOW,waiting,12-05-2026
ST-320,SC-101,SUB-5228,LOW,resolved,06/06/2025
ST-321,SC-2944,SUB-5321,high,closed,2026-06-11
ST-322,SC-270,SUB-4604,urgent,OPEN,2025-02-07
ST-323,SC-2562,SUB-4785,urgent,open,2026-05-10
ST-324,SC-1749,SUB-3608,medium,closed,05-07-2025
ST-325,SC-749,SUB-4229,medium,open,2026-04-10
ST-326,SC-534,SUB-2428,LOW,resolved,02-12-2026
ST-327,SC-1511,SUB-1061,urgent,open,2026-03-10
ST-328,SC-2656,SUB-922,urgent,waiting,2026-01-08
ST-329,SC-802,SUB-5207,urgent,open,2026-02-10
ST-330,SC-1734,SUB-799,medium,open,16-09-2025
ST-331,SC-1911,SUB-5763,medium,closed,2025-10-05
ST-332,SC-1280,SUB-178,LOW,open,2026-08-24
ST-333,SC-1899,SUB-296,medium,resolved,2025-10-09
ST-334,SC-1734,SUB-1094,high,resolved,2026-03-15
ST-335,SC-99,SUB-3100,low,OPEN,10/04/2025
ST-336,SC-772,SUB-577,high,resolved,03/05/2026
ST-337,SC-2946,SUB-1087,medium,OPEN,2025-11-16
ST-338,SC-2124,SUB-2632,urgent,closed,2026-04-14
ST-339,SC-130,SUB-3861,medium,closed,01-12-2026
ST-340,SC-2388,SUB-4671,high,closed,12/14/2026
ST-341,SC-2879,SUB-3100,medium,resolved,2026-09-26
ST-342,SC-2292,SUB-5951,urgent,OPEN,10-08-2025
ST-343,SC-54,SUB-5986,urgent,OPEN,03/03/2025
ST-344,SC-2931,SUB-1933,low,closed,2025-09-09
ST-345,SC-1028,SUB-5947,LOW,OPEN,10/22/2026
ST-346,SC-2639,SUB-4085,low,open,2026-01-10
ST-347,SC-1702,SUB-5959,urgent,resolved,2025-05-16
ST-348,SC-2882,SUB-4273,low,open,2026-05-10
ST-349,SC-2523,SUB-1725,medium,waiting,2026-02-01
ST-350,SC-1619,SUB-5322,urgent,open,2026-04-10
ST-351,SC-2836,SUB-5274,low,waiting,04/03/2025
ST-352,SC-1395,SUB-3513,LOW,open,2026-03-10
ST-353,SC-2378,SUB-3051,high,resolved,04/26/2025
ST-354,SC-332,SUB-2321,medium,waiting,03-02-2026
ST-355,SC-2774,SUB-1285,LOW,open,2026-11-09
ST-356,SC-1757,SUB-5746,medium,open,06/17/2026
ST-357,SC-2284,SUB-678,low,resolved,07/08/2026
ST-358,SC-115,SUB-3132,low,waiting,2026-03-02
ST-359,SC-2770,SUB-5450,urgent,waiting,22-10-2026
ST-360,SC-188,SUB-2700,medium,resolved,2026-01-01
ST-361,SC-652,SUB-1820,high,open,23-03-2026
ST-362,SC-859,SUB-3988,high,open,2026-09-08
ST-363,SC-1710,SUB-2062,urgent,open,2026-10-20
ST-364,SC-1607,SUB-2478,LOW,open,27-07-2026
ST-365,SC-855,SUB-538,LOW,resolved,2026-06-26
ST-366,SC-1841,SUB-2475,urgent,waiting,05-12-2025
ST-367,SC-1915,SUB-848,urgent,open,08/27/2026
ST-368,SC-2533,SUB-5488,medium,OPEN,2026-05-21
ST-369,SC-1038,SUB-3315,medium,open,2026-02-10
ST-370,SC-2018,SUB-526,medium,resolved,2026-07-13
ST-371,SC-1745,SUB-1387,high,open,2026-01-10
ST-372,SC-1146,SUB-5512,LOW,open,26-07-2025
ST-373,SC-1526,SUB-523,LOW,open,2026-05-10
ST-374,SC-1091,SUB-2707,LOW,resolved,11/13/2026
ST-375,SC-2777,SUB-3195,low,open,2026-04-10
ST-376,SC-2168,SUB-4205,urgent,resolved,2025-08-07
ST-377,SC-657,SUB-3004,low,waiting,2025-08-20
ST-378,SC-1227,SUB-1207,urgent,waiting,2025-06-07
ST-379,SC-1706,SUB-1626,LOW,closed,07/10/2025
ST-380,SC-171,SUB-4340,LOW,resolved,2025-10-21
ST-381,SC-2881,SUB-411,LOW,open,2025-04-10
ST-382,SC-2511,SUB-4583,urgent,waiting,16-04-2025
ST-383,SC-2832,SUB-5644,low,resolved,03/17/2025
ST-384,SC-2270,SUB-4047,urgent,waiting,12-09-2026
ST-385,SC-1485,SUB-3865,low,resolved,2025-09-23
ST-386,SC-1811,SUB-5804,medium,open,2025-06-10
ST-387,SC-1470,SUB-40,low,waiting,01-02-2025
ST-388,SC-2347,SUB-340,medium,closed,2026-02-19
ST-389,SC-2497,SUB-113,medium,OPEN,2025-07-07
ST-390,SC-1399,SUB-1861,low,resolved,2025-03-24
ST-391,SC-1713,SUB-2419,high,waiting,07-12-2026
ST-392,SC-1095,SUB-3738,urgent,open,2026-03-10
ST-393,SC-1003,SUB-4414,high,resolved,2025-04-21
ST-394,SC-138,SUB-18,high,open,2026-02-10
ST-395,SC-292,SUB-5397,low,waiting,03/23/2025
ST-396,SC-2174,SUB-3320,low,open,2026-01-10
ST-397,SC-482,SUB-2842,LOW,OPEN,2026-06-06
ST-398,SC-2487,SUB-2142,medium,open,2026-05-10
ST-399,SC-2272,SUB-5105,medium,OPEN,08/02/2025
ST-400,SC-267,SUB-4182,high,open,06/08/2025
ST-401,SC-2451,SUB-1224,urgent,OPEN,2026-10-22
ST-402,SC-1328,SUB-2995,LOW,closed,2026-12-11
ST-403,SC-2279,SUB-1352,urgent,closed,2025-12-06
ST-404,SC-2743,SUB-2758,medium,resolved,2025-12-08
ST-405,SC-2418,SUB-2406,medium,resolved,27-09-2026
ST-406,SC-9,SUB-2648,medium,resolved,01/09/2025
ST-407,SC-2311,SUB-3336,high,open,21-12-2026
ST-408,SC-1540,SUB-3835,urgent,open,08-08-2026
ST-409,SC-1583,SUB-5837,low,closed,05-04-2026
ST-410,SC-87,SUB-3893,LOW,resolved,09/23/2025
ST-411,SC-874,SUB-87,medium,resolved,2026-06-02
ST-412,SC-473,SUB-3222,LOW,resolved,2025-11-25
ST-413,SC-2061,SUB-23,medium,resolved,08/04/2025
ST-414,SC-80,SUB-1368,urgent,resolved,02/13/2025
ST-415,SC-1729,SUB-3630,high,open,2026-04-10
ST-416,SC-2905,SUB-5601,urgent,resolved,23-07-2026
ST-417,SC-1587,SUB-243,LOW,open,2026-03-10
ST-418,SC-1706,SUB-3202,high,closed,19-12-2025
ST-419,SC-2401,SUB-2917,LOW,open,2026-02-10
ST-420,SC-1868,SUB-667,LOW,resolved,2026-08-05
ST-421,SC-1756,SUB-5750,medium,open,2026-01-10
ST-422,SC-2018,SUB-5694,LOW,open,22-03-2025
ST-423,SC-1440,SUB-4975,high,OPEN,2026-07-21
ST-424,SC-2168,SUB-2668,medium,waiting,2026-08-25
ST-425,SC-2898,SUB-4420,urgent,resolved,2025-03-02
ST-426,SC-2158,SUB-5462,LOW,open,02/03/2025
ST-427,SC-1605,SUB-5628,low,open,2025-12-11
ST-428,SC-597,SUB-3535,urgent,waiting,08/16/2026
ST-429,SC-858,SUB-4903,LOW,open,09/08/2025
ST-430,SC-542,SUB-138,high,open,21-01-2026
ST-431,SC-1548,SUB-3934,high,closed,2026-11-20
ST-432,SC-2306,SUB-92,low,OPEN,10-05-2025
ST-433,SC-1873,SUB-5676,high,resolved,2026-01-10
ST-434,SC-1029,SUB-2323,urgent,waiting,04-08-2025
ST-435,SC-1583,SUB-4307,low,open,2025-02-11
ST-436,SC-1901,SUB-1277,urgent,open,14-11-2026
ST-437,SC-138,SUB-4427,medium,waiting,02/14/2025
ST-438,SC-2608,SUB-2908,urgent,open,2026-05-10
ST-439,SC-2506,SUB-617,low,OPEN,2025-05-05
ST-440,SC-967,SUB-1162,LOW,open,2026-04-10
ST-441,SC-1302,SUB-3741,LOW,OPEN,2026-01-15
ST-442,SC-152,SUB-2778,urgent,open,2026-03-10
ST-443,SC-869,SUB-506,medium,OPEN,2025-03-23
ST-444,SC-1994,SUB-5654,low,open,2026-02-10
ST-445,SC-1325,SUB-3729,urgent,closed,02/13/2025
ST-446,SC-243,SUB-5631,medium,open,2025-10-13
ST-447,SC-730,SUB-4430,urgent,OPEN,01/02/2025
ST-448,SC-1050,SUB-3895,medium,closed,23-11-2025
ST-449,SC-2556,SUB-3336,high,open,2026-05-22
ST-450,SC-2740,SUB-3145,LOW,waiting,08-10-2026
ST-451,SC-2537,SUB-1424,medium,open,10-11-2026
ST-452,SC-2723,SUB-5151,urgent,open,01-09-2025
