request_id,customer_id,title,votes,created_at
FR-41,SC-1161,API 增强,189,06/21/2026
FR-42,SC-327,移动端,190,09/06/2026
FR-43,SC-2114,报表导出,46,03/22/2025
FR-44,SC-2399,批量操作,92,2026-08-16
FR-45,SC-2302,审计日志,88,12/14/2026
FR-46,SC-955,移动端,109,2026-07-11
FR-47,SC-106,API 增强,187,2025-11-26
FR-48,SC-1293,API 增强,80,16-04-2026
FR-49,SC-938,批量操作,15,2025-10-21
FR-50,SC-152,审计日志,111,09-12-2025
FR-51,SC-2660,报表导出,178,08-06-2025
FR-52,SC-1715,批量操作,51,11/04/2025
FR-53,SC-1915,API 增强,168,2025-11-22
FR-54,SC-2564,API 增强,50,2026-03-22
FR-55,SC-1914,移动端,87,16-08-2025
FR-56,SC-1070,API 增强,133,10-01-2026
FR-57,SC-1255,审计日志,54,2026-09-21
FR-58,SC-2910,审计日志,20,2026-01-10
FR-59,SC-2061,批量操作,6,2026-06-02
FR-60,SC-1787,批量操作,132,10/05/2026
FR-61,SC-1407,多语言,148,09/08/2026
FR-62,SC-2723,多语言,190,04/07/2026
FR-63,SC-956,批量操作,184,2025-05-27
FR-64,SC-2614,报表导出,145,06/06/2025
FR-65,SC-2944,审计日志,136,2025-11-12
FR-66,SC-846,API 增强,154,2026-05-06
FR-67,SC-738,多语言,171,23-11-2026
FR-68,SC-122,审计日志,171,2026-08-14
FR-69,SC-1208,SSO,30,03/20/2026
FR-70,SC-659,审计日志,200,2026-07-05
FR-71,SC-995,批量操作,184,01/27/2026
FR-72,SC-531,批量操作,106,2026-12-03
FR-73,SC-2656,报表导出,196,2026-07-02
FR-74,SC-652,报表导出,174,2026-05-17
FR-75,SC-2608,SSO,116,2025-06-03
FR-76,SC-2141,SSO,191,12/17/2026
FR-77,SC-504,批量操作,30,2025-06-01
FR-78,SC-384,批量操作,131,2026-01-18
FR-79,SC-1735,批量操作,67,04/01/2026
FR-80,SC-547,移动端,146,2026-03-15
FR-81,SC-99,SSO,22,2025-02-23
FR-82,SC-2323,报表导出,20,2026-10-15
FR-83,SC-488,移动端,197,2025-06-11
FR-84,SC-2506,SSO,28,2026-06-27
FR-85,SC-2993,多语言,98,2025-01-19
FR-86,SC-1744,移动端,195,11/23/2025
FR-87,SC-2362,移动端,190,20-06-2026
FR-88,SC-1550,SSO,131,2026-09-26
FR-89,SC-2292,审计日志,198,2025-01-18
FR-90,SC-2688,API 增强,200,2026-05-05
FR-91,SC-260,移动端,196,2025-01-14
FR-92,SC-2209,多语言,19,2025-12-10
FR-93,SC-2337,批量操作,154,2026-11-20
FR-94,SC-337,SSO,90,16-09-2025
FR-95,SC-2728,移动端,81,11-07-2025
FR-96,SC-2137,API 增强,88,14-04-2026
FR-97,SC-2523,多语言,87,2026-12-03
FR-98,SC-87,SSO,178,2026-02-13
FR-99,SC-1526,SSO,190,2026-02-25
FR-100,SC-971,API 增强,140,2025-08-09
FR-101,SC-1450,批量操作,5,10/15/2026
FR-102,SC-2029,SSO,57,2026-09-04
FR-103,SC-1296,审计日志,164,28-01-2025
FR-104,SC-643,多语言,3,2026-11-09
FR-105,SC-1757,审计日志,91,08/14/2025
FR-106,SC-1996,批量操作,23,08/27/2025
FR-107,SC-818,批量操作,8,27-01-2026
FR-108,SC-623,API 增强,20,23-11-2026
FR-109,SC-1847,批量操作,156,2026-01-13
FR-110,SC-2064,审计日志,3,2025-05-07
FR-111,SC-1818,报表导出,156,2025-10-28
FR-112,SC-1994,移动端,5,2026-09-08
FR-113,SC-1710,多语言,182,12/22/2025
FR-114,SC-1025,SSO,83,02/16/2025
FR-115,SC-2790,审计日志,57,04/19/2025
FR-116,SC-1309,审计日志,51,28-05-2026
FR-117,SC-962,审计日志,33,04-08-2026
FR-118,SC-433,批量操作,127,24-10-2026
FR-119,SC-1299,多语言,174,2025-09-13
FR-120,SC-1658,SSO,147,2025-11-15
FR-121,SC-2018,API 增强,99,2026-11-15
FR-122,SC-868,移动端,47,2026-06-05
FR-123,SC-1631,多语言,77,2026-04-03
FR-124,SC-1515,审计日志,188,2026-02-09
FR-125,SC-1094,批量操作,110,2025-05-13
FR-126,SC-2355,移动端,174,07/26/2025
FR-127,SC-127,移动端,116,02/19/2025
FR-128,SC-2103,审计日志,154,2025-08-07
FR-129,SC-657,SSO,7,03/18/2026
FR-130,SC-343,多语言,41,2026-12-14
FR-131,SC-659,API 增强,114,2025-05-15
FR-132,SC-1549,多语言,102,09/08/2025
FR-133,SC-187,批量操作,149,2025-12-02
FR-134,SC-84,多语言,64,06/24/2025
FR-135,SC-2527,审计日志,96,25-07-2025
FR-136,SC-2822,API 增强,155,03/17/2025
FR-137,SC-2270,移动端,173,2026-07-21
FR-138,SC-2440,SSO,129,09/04/2025
FR-139,SC-2410,SSO,121,2026-06-04
FR-140,SC-1425,多语言,69,05-01-2025
FR-141,SC-584,报表导出,5,2026-10-02
FR-142,SC-1328,审计日志,26,2026-01-24
FR-143,SC-1371,报表导出,29,2026-03-04
FR-144,SC-931,API 增强,126,2025-03-24
FR-145,SC-1713,多语言,135,2026-10-27
FR-146,SC-2544,多语言,125,2026-08-21
FR-147,SC-2965,审计日志,67,2026-09-23
FR-148,SC-850,批量操作,68,2025-01-21
FR-149,SC-329,报表导出,156,2026-02-26
FR-150,SC-2884,SSO,34,09/21/2026
FR-151,SC-443,审计日志,79,2025-05-01
FR-152,SC-1421,报表导出,45,2026-06-06
FR-153,SC-2487,多语言,108,02/16/2026
FR-154,SC-1287,批量操作,171,03/14/2025
FR-155,SC-213,批量操作,18,2026-10-02
FR-156,SC-1405,报表导出,153,2026-03-27
FR-157,SC-2421,批量操作,152,2025-06-14
FR-158,SC-1347,批量操作,196,2025-05-22
FR-159,SC-2749,移动端,50,06-03-2026
FR-160,SC-1379,SSO,124,2025-12-08
FR-161,SC-2418,多语言,95,19-11-2026
FR-162,SC-2692,API 增强,89,2026-09-11
FR-163,SC-953,移动端,155,04-09-2026
FR-164,SC-2830,批量操作,193,2026-08-26
FR-165,SC-1516,移动端,56,2026-07-28
FR-166,SC-1452,移动端,52,12/01/2025
FR-167,SC-1143,移动端,88,2026-10-18
FR-168,SC-44,SSO,146,2026-06-02
FR-169,SC-473,SSO,71,25-01-2026
FR-170,SC-1102,移动端,1,10/08/2025
FR-171,SC-398,移动端,6,2025-11-23
FR-172,SC-431,SSO,114,2026-08-20
FR-173,SC-1191,批量操作,127,27-12-2026
FR-174,SC-1853,批量操作,107,2026-12-15
FR-175,SC-915,报表导出,63,04/27/2025
FR-176,SC-1601,批量操作,82,19-12-2025
FR-177,SC-2401,SSO,60,2026-04-24
FR-178,SC-2639,移动端,23,08/15/2025
FR-179,SC-438,API 增强,118,08/17/2026
FR-180,SC-2500,移动端,130,2026-12-08
FR-181,SC-580,报表导出,158,06/24/2026
FR-182,SC-1089,批量操作,103,2026-04-21
FR-183,SC-1299,审计日志,135,06-11-2026
FR-184,SC-2210,审计日志,155,2025-03-02
FR-185,SC-2158,审计日志,44,2025-05-03
FR-186,SC-2293,SSO,188,09-01-2025
FR-187,SC-1139,报表导出,40,12/28/2026
FR-188,SC-1916,SSO,121,2025-10-06
FR-189,SC-1284,移动端,57,03/01/2026
FR-190,SC-399,SSO,9,12/15/2026
FR-191,SC-2315,SSO,151,09/12/2026
FR-192,SC-46,API 增强,63,10-05-2025
FR-193,SC-1873,审计日志,138,2026-09-01
FR-194,SC-102,多语言,78,12/01/2026
FR-195,SC-365,审计日志,106,2026-03-03
FR-196,SC-331,多语言,40,2026-03-24
FR-197,SC-2947,批量操作,94,2026-01-21
FR-198,SC-2678,API 增强,29,2025-07-25
FR-199,SC-2739,多语言,151,22-02-2026
FR-200,SC-309,报表导出,44,2025-05-05
FR-201,SC-967,报表导出,72,26-07-2026
FR-202,SC-695,SSO,125,2025-03-28
FR-203,SC-1561,API 增强,11,25-12-2025
FR-204,SC-930,报表导出,99,2025-02-12
FR-205,SC-80,报表导出,163,2025-08-27
FR-206,SC-72,API 增强,73,08/13/2026
FR-207,SC-2911,SSO,54,2025-06-15
FR-208,SC-2816,SSO,19,2025-10-13
FR-209,SC-730,批量操作,163,2025-04-01
FR-210,SC-2155,多语言,130,06-06-2025
FR-211,SC-2415,批量操作,171,10/03/2026
FR-212,SC-1212,批量操作,60,09-07-2026
FR-213,SC-1570,批量操作,51,2026-11-07
FR-214,SC-35,移动端,183,26-10-2025
FR-215,SC-2883,API 增强,30,2026-01-23
FR-216,SC-1778,移动端,191,10/08/2025
FR-217,SC-787,移动端,194,07/04/2025
FR-218,SC-200,审计日志,86,24-04-2026
FR-219,SC-2688,报表导出,139,07-05-2025
FR-220,SC-2858,多语言,145,2026-02-15
FR-221,SC-2638,报表导出,159,05/17/2026
FR-222,SC-2879,审计日志,16,2025-05-25
FR-223,SC-1190,API 增强,130,2026-01-04
FR-224,SC-1303,批量操作,87,10-08-2026
FR-225,SC-698,API 增强,115,16-04-2026
FR-226,SC-1199,API 增强,106,2026-07-17
FR-227,SC-1812,移动端,29,2026-01-07
FR-228,SC-1046,审计日志,159,2026-11-12
FR-229,SC-131,审计日志,79,06/07/2026
FR-230,SC-2688,移动端,76,12/25/2026
FR-231,SC-712,多语言,29,2025-11-03
FR-232,SC-2860,批量操作,92,2026-12-03
FR-233,SC-1402,API 增强,87,07/25/2025
FR-234,SC-2389,审计日志,170,04/16/2026
FR-235,SC-2826,批量操作,197,07-10-2025
FR-236,SC-425,批量操作,55,2025-11-08
FR-237,SC-1038,批量操作,91,2026-06-28
FR-238,SC-2106,批量操作,120,2025-01-25
FR-239,SC-48,移动端,93,2026-07-10
FR-240,SC-2065,SSO,175,2026-06-23
FR-241,SC-620,移动端,154,2026-07-01
FR-242,SC-663,审计日志,9,2025-12-02
FR-243,SC-1914,SSO,164,09/27/2025
FR-244,SC-2499,多语言,22,2026-03-16
FR-245,SC-1246,批量操作,60,06-05-2025
FR-246,SC-1770,API 增强,180,26-09-2025
FR-247,SC-1978,审计日志,159,12/21/2026
FR-248,SC-237,多语言,199,01/27/2025
FR-249,SC-1040,批量操作,161,2026-05-26
FR-250,SC-149,SSO,26,2025-07-09
FR-251,SC-2647,批量操作,141,18-05-2026
FR-252,SC-200,SSO,77,19-10-2026
FR-253,SC-2542,批量操作,77,2025-09-08
FR-254,SC-1880,SSO,118,10/27/2025
FR-255,SC-781,API 增强,173,06/08/2025
FR-256,SC-2488,API 增强,125,2025-09-19
FR-257,SC-2392,SSO,18,09/19/2025
FR-258,SC-1676,报表导出,87,18-05-2026
FR-259,SC-2305,SSO,93,20-02-2026
FR-260,SC-2960,API 增强,115,2026-03-12
FR-261,SC-2508,多语言,186,21-07-2025
FR-262,SC-560,SSO,6,03/20/2026
FR-263,SC-2257,报表导出,101,2025-03-21
FR-264,SC-1152,报表导出,57,2025-01-24
FR-265,SC-2942,批量操作,106,2026-02-15
FR-266,SC-2504,多语言,8,04/22/2026
FR-267,SC-2223,移动端,6,06/26/2026
FR-268,SC-1453,API 增强,10,07/10/2025
FR-269,SC-2373,报表导出,156,02/10/2025
FR-270,SC-2717,多语言,132,2026-12-08
FR-271,SC-2032,批量操作,196,2026-02-10
FR-272,SC-999,审计日志,190,2025-06-20
FR-273,SC-870,API 增强,66,17-04-2026
FR-274,SC-312,多语言,53,2026-10-22
FR-275,SC-2649,SSO,114,04/18/2025
FR-276,SC-1988,批量操作,41,12/14/2025
FR-277,SC-1129,报表导出,96,10/10/2026
FR-278,SC-1740,多语言,71,11/13/2026
FR-279,SC-624,API 增强,183,17-06-2026
FR-280,SC-752,多语言,82,2025-01-19
FR-281,SC-163,SSO,180,10/04/2026
FR-282,SC-624,报表导出,45,2025-08-06
FR-283,SC-593,批量操作,148,2026-09-08
FR-284,SC-2181,API 增强,30,2026-12-05
FR-285,SC-430,API 增强,113,2026-09-22
FR-286,SC-2727,多语言,178,2025-12-24
FR-287,SC-2727,移动端,43,2025-02-03
FR-288,SC-2122,批量操作,39,2025-10-02
FR-289,SC-2210,审计日志,195,12/17/2026
FR-290,SC-740,API 增强,120,2026-01-11
FR-291,SC-777,批量操作,193,05/11/2026
FR-292,SC-433,移动端,20,10/02/2026
FR-293,SC-2534,审计日志,178,2025-06-05
FR-294,SC-475,SSO,168,02/20/2026
FR-295,SC-2871,SSO,75,12-04-2026
FR-296,SC-736,报表导出,42,08/16/2025
FR-297,SC-317,SSO,197,2026-09-18
FR-298,SC-1707,SSO,8,2025-05-12
FR-299,SC-567,审计日志,110,01/23/2026
FR-300,SC-1134,API 增强,123,04/01/2025
FR-301,SC-1907,批量操作,152,02-09-2026
FR-302,SC-1141,SSO,148,10/20/2025
FR-303,SC-2108,移动端,189,2025-01-21
FR-304,SC-2408,SSO,19,2026-09-28
FR-305,SC-1090,SSO,20,2025-02-06
FR-306,SC-556,移动端,164,2025-01-24
FR-307,SC-2273,移动端,19,08/22/2026
FR-308,SC-1446,多语言,155,09/17/2025
FR-309,SC-582,批量操作,66,2026-03-06
FR-310,SC-108,移动端,70,02/25/2025
FR-311,SC-317,API 增强,70,2026-11-05
FR-312,SC-981,报表导出,101,2025-11-21
FR-313,SC-1131,报表导出,13,28-02-2026
FR-314,SC-1851,移动端,5,2025-01-17
FR-315,SC-1705,SSO,17,20-11-2026
FR-316,SC-2687,多语言,97,2026-08-11
FR-317,SC-2673,SSO,199,2025-09-19
FR-318,SC-1469,报表导出,168,04/12/2025
FR-319,SC-1328,API 增强,177,05-09-2025
FR-320,SC-1423,多语言,189,05-07-2026
FR-321,SC-762,移动端,108,01/27/2026
FR-322,SC-1334,移动端,35,2026-02-22
FR-323,SC-1019,API 增强,171,09/24/2026
FR-324,SC-2519,SSO,71,2025-03-15
FR-325,SC-1469,SSO,102,01/19/2026
FR-326,SC-420,多语言,63,12/18/2026
FR-327,SC-208,SSO,132,2026-02-25
FR-328,SC-1707,批量操作,40,08/07/2026
FR-329,SC-931,审计日志,104,18-12-2025
FR-330,SC-3000,移动端,62,2025-08-16
FR-331,SC-2168,报表导出,164,2026-08-20
FR-332,SC-566,批量操作,54,20-05-2026
FR-333,SC-1488,多语言,177,2025-03-11
FR-334,SC-1019,SSO,124,07-02-2026
FR-335,SC-831,SSO,70,2026-08-08
FR-336,SC-2119,移动端,45,2025-05-17
FR-337,SC-2802,API 增强,32,2026-05-19
FR-338,SC-1286,API 增强,7,2025-01-27
FR-339,SC-2826,SSO,129,2026-11-03
FR-340,SC-2122,API 增强,44,08/02/2026
FR-341,SC-2645,批量操作,52,02/09/2026
FR-342,SC-629,移动端,187,2025-07-23
FR-343,SC-1414,移动端,144,2026-10-23
FR-344,SC-2844,批量操作,138,2026-07-02
FR-345,SC-741,SSO,54,10-12-2026
FR-346,SC-2957,多语言,88,2025-02-07
FR-347,SC-2969,多语言,200,2026-10-28
FR-348,SC-995,批量操作,110,11/06/2025
FR-349,SC-2638,多语言,4,11-11-2026
FR-350,SC-2282,报表导出,134,23-10-2026
FR-351,SC-1256,多语言,108,06-10-2026
FR-352,SC-939,审计日志,67,2025-08-25
FR-353,SC-1936,SSO,59,02/06/2025
FR-354,SC-2633,SSO,93,02/02/2026
FR-355,SC-859,移动端,12,12/05/2025
FR-356,SC-1011,多语言,150,07/08/2026
FR-357,SC-2718,批量操作,154,07/20/2026
FR-358,SC-296,批量操作,191,09/07/2026
FR-359,SC-1054,审计日志,96,02/24/2026
FR-360,SC-1272,批量操作,190,2025-12-01
FR-361,SC-614,移动端,138,11/19/2026
FR-362,SC-968,报表导出,25,2026-06-24
FR-363,SC-1843,审计日志,33,08/08/2025
FR-364,SC-632,API 增强,55,09/21/2025
FR-365,SC-1821,审计日志,31,07/16/2026
FR-366,SC-2239,报表导出,15,01/07/2026
FR-367,SC-1419,API 增强,40,2026-08-24
FR-368,SC-1932,SSO,9,21-09-2025
FR-369,SC-673,多语言,72,07/11/2026
FR-370,SC-2042,审计日志,153,2026-04-08
FR-371,SC-2431,报表导出,143,2026-05-09
FR-372,SC-425,API 增强,187,06/05/2025
FR-373,SC-615,移动端,68,2026-12-14
FR-374,SC-1237,移动端,197,10/23/2025
FR-375,SC-2680,SSO,103,2026-05-03
FR-376,SC-1804,报表导出,91,14-04-2025
FR-377,SC-299,批量操作,114,02-03-2026
FR-378,SC-2616,报表导出,90,09/19/2026
FR-379,SC-374,报表导出,43,2026-09-26
FR-380,SC-2571,SSO,65,2026-03-17
FR-381,SC-2910,报表导出,123,2026-03-13
FR-382,SC-189,报表导出,200,2026-08-02
FR-383,SC-2603,报表导出,108,06-03-2026
FR-384,SC-1848,审计日志,191,2026-05-19
FR-385,SC-1936,SSO,188,05-07-2025
FR-386,SC-2802,批量操作,72,2026-08-06
FR-387,SC-2440,报表导出,54,22-08-2025
FR-388,SC-788,报表导出,50,2026-12-20
FR-389,SC-1318,审计日志,118,19-01-2026
FR-390,SC-418,批量操作,114,06/11/2025
FR-391,SC-2197,审计日志,90,2025-04-03
FR-392,SC-1434,多语言,90,2025-10-24
FR-393,SC-302,SSO,46,2026-04-17
FR-394,SC-1137,报表导出,197,08/16/2026
FR-395,SC-2421,批量操作,8,09/03/2026
FR-396,SC-2636,多语言,88,2026-05-19
FR-397,SC-2445,API 增强,65,26-08-2025
FR-398,SC-2698,审计日志,190,01/27/2026
FR-399,SC-556,SSO,57,2026-09-27
FR-400,SC-513,多语言,81,2025-06-19
FR-401,SC-2203,SSO,55,24-04-2026
FR-402,SC-1445,多语言,110,2026-06-24
FR-403,SC-1733,多语言,130,10-08-2025
FR-404,SC-448,报表导出,85,2025-09-11
FR-405,SC-1415,移动端,76,25-01-2026
FR-406,SC-2337,报表导出,155,09/26/2025
FR-407,SC-2761,多语言,141,2026-04-17
FR-408,SC-818,多语言,147,2025-02-28
FR-409,SC-1766,报表导出,24,10/17/2026
FR-410,SC-1050,审计日志,42,2026-01-20
FR-411,SC-24,多语言,133,2026-07-03
FR-412,SC-2250,SSO,192,13-07-2025
FR-413,SC-2943,批量操作,110,2026-11-19
FR-414,SC-230,API 增强,21,10-11-2026
FR-415,SC-2815,API 增强,135,2026-10-10
FR-416,SC-2505,SSO,37,2026-01-09
FR-417,SC-742,移动端,29,18-08-2026
FR-418,SC-585,审计日志,116,02/09/2026
FR-419,SC-1867,SSO,122,08/03/2025
FR-420,SC-1972,审计日志,31,2025-01-18
FR-421,SC-2982,SSO,107,2025-02-19
FR-422,SC-162,移动端,181,2026-12-02
FR-423,SC-2295,SSO,159,2025-07-20
FR-424,SC-1395,报表导出,10,2026-02-18
FR-425,SC-447,批量操作,135,2026-06-18
FR-426,SC-2089,SSO,95,2025-01-22
FR-427,SC-1613,批量操作,7,2025-03-03
FR-428,SC-227,批量操作,107,2025-07-09
FR-429,SC-2927,移动端,8,2026-09-09
FR-430,SC-2692,批量操作,142,2025-05-28
FR-431,SC-928,SSO,182,11/23/2026
FR-432,SC-2752,移动端,87,08/06/2026
FR-433,SC-955,审计日志,195,10/15/2026
FR-434,SC-2618,多语言,92,2026-07-24
FR-435,SC-2034,报表导出,151,15-10-2026
FR-436,SC-965,API 增强,24,2026-11-04
FR-437,SC-1647,SSO,120,13-10-2025
FR-438,SC-1656,移动端,101,2026-10-19
FR-439,SC-959,审计日志,154,2025-09-17
FR-440,SC-1393,审计日志,140,12-10-2025
FR-441,SC-1386,批量操作,79,03/17/2025
FR-442,SC-395,报表导出,116,2026-09-21
FR-443,SC-691,批量操作,193,09/14/2026
FR-444,SC-523,多语言,155,06/08/2026
FR-445,SC-1957,API 增强,132,10/07/2026
FR-446,SC-2721,移动端,124,09/28/2025
FR-447,SC-790,移动端,47,2026-07-09
FR-448,SC-35,报表导出,126,2025-07-21
FR-449,SC-630,报表导出,18,2025-04-02
FR-450,SC-2596,审计日志,66,2025-11-22
FR-451,SC-1121,SSO,53,2025-08-17
FR-452,SC-2223,API 增强,155,2025-09-24
FR-453,SC-206,批量操作,66,06/15/2026
FR-454,SC-1562,报表导出,38,2026-03-04
FR-455,SC-2337,SSO,192,06/05/2025
FR-456,SC-747,移动端,120,2025-07-26
FR-457,SC-1969,SSO,163,2025-07-27
FR-458,SC-353,审计日志,128,2026-06-09
FR-459,SC-1781,API 增强,40,2025-01-28
FR-460,SC-195,报表导出,34,2026-05-02
FR-461,SC-450,移动端,145,2025-07-09
FR-462,SC-1842,SSO,178,2026-01-11
FR-463,SC-258,多语言,157,08-11-2025
FR-464,SC-288,审计日志,176,2026-05-13
FR-465,SC-1300,审计日志,127,11/12/2025
FR-466,SC-1799,审计日志,178,05-05-2026
FR-467,SC-1271,SSO,10,2025-05-11
FR-468,SC-2844,审计日志,154,2026-01-11
FR-469,SC-2570,SSO,117,2025-02-21
FR-470,SC-2591,多语言,131,2026-03-24
FR-471,SC-405,SSO,83,2026-01-28
FR-472,SC-2204,批量操作,124,14-01-2025
FR-473,SC-1784,API 增强,127,2025-01-08
FR-474,SC-1442,审计日志,134,2025-11-08
FR-475,SC-2998,移动端,173,07/13/2026
FR-476,SC-1111,API 增强,17,2026-06-15
FR-477,SC-1469,批量操作,189,2026-07-21
FR-478,SC-2206,批量操作,49,2026-11-09
FR-479,SC-1643,移动端,48,2025-08-18
FR-480,SC-1107,批量操作,130,11/22/2026
FR-481,SC-1091,多语言,42,05/01/2026
FR-482,SC-88,移动端,3,02-07-2026
FR-483,SC-680,多语言,124,06/03/2025
FR-484,SC-345,多语言,156,2026-07-23
FR-485,SC-2228,审计日志,66,2025-12-20
FR-486,SC-921,SSO,132,2025-06-09
FR-487,SC-1581,审计日志,1,27-02-2025
FR-488,SC-556,批量操作,150,2025-04-25
FR-489,SC-1675,批量操作,167,2026-08-15
FR-490,SC-2598,审计日志,90,2026-10-19
FR-491,SC-2910,SSO,27,2026-11-25
FR-492,SC-2932,审计日志,30,08-10-2026
FR-493,SC-1428,SSO,157,07/22/2025
FR-494,SC-1599,移动端,188,09/07/2025
FR-495,SC-2355,SSO,125,2025-04-16
FR-496,SC-2036,移动端,104,25-03-2025
FR-497,SC-2388,SSO,62,03/15/2025
FR-498,SC-1249,批量操作,116,09/09/2026
FR-499,SC-2670,多语言,164,28-11-2026
FR-500,SC-2298,API 增强,22,07/05/2026
FR-501,SC-311,多语言,194,2026-02-26
FR-502,SC-1109,API 增强,150,2026-02-22
FR-503,SC-2697,多语言,63,2025-01-24
FR-504,SC-607,批量操作,124,2026-12-04
FR-505,SC-1645,SSO,135,2026-02-05
FR-506,SC-2217,多语言,144,10/27/2025
FR-507,SC-1926,多语言,60,2025-06-26
FR-508,SC-55,批量操作,129,01-06-2026
FR-509,SC-266,报表导出,170,06/23/2025
FR-510,SC-2331,多语言,125,15-03-2025
FR-511,SC-2931,批量操作,199,10/09/2026
FR-512,SC-659,批量操作,50,2025-10-05
FR-513,SC-1430,API 增强,21,06/11/2025
FR-514,SC-1792,审计日志,59,07/26/2025
FR-515,SC-1825,移动端,63,2026-03-21
FR-516,SC-2451,多语言,118,07/03/2026
FR-517,SC-1621,多语言,19,2025-07-06
FR-518,SC-2471,批量操作,175,2026-01-28
FR-519,SC-1525,移动端,166,03-12-2025
FR-520,SC-1140,SSO,33,2025-12-20
FR-521,SC-160,多语言,7,12/22/2025
FR-522,SC-2462,报表导出,175,03/17/2025
FR-523,SC-685,多语言,75,2026-04-13
FR-524,SC-1825,审计日志,182,03/07/2026
FR-525,SC-1600,多语言,143,2025-07-28
FR-526,SC-1175,批量操作,200,2025-07-03
FR-527,SC-2001,移动端,112,01/24/2026
FR-528,SC-164,移动端,70,12/12/2025
FR-529,SC-415,批量操作,158,09/21/2026
FR-530,SC-1236,报表导出,157,2025-08-27
FR-531,SC-157,SSO,47,26-11-2026
FR-532,SC-566,API 增强,66,2026-06-13
FR-533,SC-2328,API 增强,55,2026-07-20
FR-534,SC-181,SSO,101,21-03-2025
FR-535,SC-2653,API 增强,164,2026-12-07
FR-536,SC-2718,多语言,143,03/02/2025
FR-537,SC-2459,移动端,167,05/27/2026
FR-538,SC-2459,移动端,137,11/28/2025
FR-539,SC-1700,批量操作,146,10-03-2026
FR-540,SC-2443,报表导出,74,11/08/2025
FR-541,SC-1558,移动端,181,04/27/2026
FR-542,SC-857,审计日志,194,10/26/2026
FR-543,SC-1684,批量操作,39,2026-08-08
FR-544,SC-2145,审计日志,11,2026-09-25
FR-545,SC-2025,移动端,30,07/01/2026
FR-546,SC-1541,API 增强,169,05/10/2025
FR-547,SC-170,API 增强,60,2025-05-25
FR-548,SC-359,报表导出,74,06/13/2025
FR-549,SC-842,报表导出,79,01/19/2026
FR-550,SC-2303,API 增强,91,01/12/2026
FR-551,SC-2561,批量操作,139,19-06-2025
FR-552,SC-2669,SSO,137,2025-08-27
FR-553,SC-2110,SSO,59,11-06-2025
FR-554,SC-1240,批量操作,51,14-04-2026
FR-555,SC-2304,SSO,110,05/27/2025
FR-556,SC-1554,API 增强,78,10-02-2025
FR-557,SC-63,多语言,10,2026-09-26
FR-558,SC-636,API 增强,121,2025-04-09
FR-559,SC-1858,批量操作,118,01/19/2026
FR-560,SC-113,审计日志,195,2026-10-22
FR-561,SC-2303,报表导出,138,2025-04-13
FR-562,SC-17,审计日志,97,2025-12-23
FR-563,SC-1160,批量操作,35,03/05/2026
FR-564,SC-2040,API 增强,60,2025-06-04
FR-565,SC-1028,API 增强,28,09/02/2025
FR-566,SC-380,批量操作,139,2026-06-15
FR-567,SC-365,移动端,130,2025-09-08
FR-568,SC-1905,API 增强,178,05-10-2025
FR-569,SC-1899,审计日志,19,2025-11-24
FR-570,SC-1744,移动端,80,10/06/2026
FR-571,SC-888,审计日志,95,2025-01-06
FR-572,SC-1690,SSO,125,2025-06-04
FR-573,SC-2037,报表导出,138,09/03/2025
FR-574,SC-637,报表导出,9,03/25/2026
FR-575,SC-2344,报表导出,61,09/09/2026
FR-576,SC-1238,API 增强,54,11/04/2025
