subscription_id,customer_id,account_id,plan_id,start_date,status,will_churn
SUB-109,SC-2988,AC-655,PLAN-5,08/03/2021,ACTIVE,0
SUB-110,SC-2491,AC-513,PLAN-5,2021-11-23,cancelled,0
SUB-111,SC-936,AC-102,PLAN-3,12-09-2023,cancelled,0
SUB-112,SC-2933,AC-353,PLAN-6,23-03-2021,cancelled,0
SUB-113,SC-1847,AC-713,PLAN-6,2021-09-20,cancelled,0
SUB-114,SC-682,AC-703,PLAN-4,2024-03-04,ACTIVE,0
SUB-115,SC-1685,AC-73,PLAN-4,22-05-2021,cancelled,0
SUB-116,SC-1844,AC-876,PLAN-2,02/10/2025,cancelled,0
SUB-117,SC-1715,AC-449,PLAN-4,2021-08-07,active,0
SUB-118,SC-83,AC-1,PLAN-2,2026-11-08,active,0
SUB-119,SC-2894,AC-27,PLAN-1,03/22/2025,cancelled,1
SUB-120,SC-1881,AC-319,PLAN-5,01/02/2022,active,0
SUB-121,SC-2049,AC-484,PLAN-2,11/24/2023,ACTIVE,0
SUB-122,SC-2802,AC-263,PLAN-2,2025-02-04,active,0
SUB-123,SC-1822,AC-570,PLAN-4,2021-04-10,CANCELLED,0
SUB-124,SC-2433,AC-580,PLAN-2,2024-12-06,trial,0
SUB-125,SC-2537,AC-344,PLAN-5,09-01-2021,ACTIVE,0
SUB-126,SC-897,AC-503,PLAN-3,07-06-2022,ACTIVE,0
SUB-127,SC-366,AC-86,PLAN-5,03/14/2025,trial,1
SUB-128,SC-480,AC-296,PLAN-5,08-03-2022,CANCELLED,1
SUB-129,SC-2576,AC-709,PLAN-6,2025-10-06,trial,0
SUB-130,SC-732,AC-168,PLAN-2,04/26/2024,trial,0
SUB-131,SC-2338,AC-71,PLAN-2,2021-06-26,cancelled,0
SUB-132,SC-1983,AC-120,PLAN-2,2021-01-06,cancelled,0
SUB-133,SC-2867,AC-712,PLAN-4,01/26/2024,trial,0
SUB-134,SC-1529,AC-871,PLAN-1,12/22/2024,cancelled,0
SUB-135,SC-863,AC-215,PLAN-1,07/14/2025,CANCELLED,1
SUB-136,SC-1595,AC-525,PLAN-6,2025-11-14,active,0
SUB-137,SC-2552,AC-227,PLAN-3,2025-05-03,cancelled,0
SUB-138,SC-676,AC-655,PLAN-2,10/13/2024,cancelled,0
SUB-139,SC-580,AC-189,PLAN-4,2023-11-23,cancelled,0
SUB-140,SC-575,AC-184,PLAN-2,07-12-2022,CANCELLED,0
SUB-141,SC-1226,AC-564,PLAN-3,10-09-2023,cancelled,1
SUB-142,SC-524,AC-472,PLAN-5,2025-05-10,trial,0
SUB-143,SC-2796,AC-395,PLAN-6,08/10/2024,active,0
SUB-144,SC-1220,AC-68,PLAN-4,2026-02-25,trial,0
SUB-145,SC-873,AC-610,PLAN-2,2026-12-08,CANCELLED,0
SUB-146,SC-882,AC-219,PLAN-6,2023-11-15,active,0
SUB-147,SC-2192,AC-262,PLAN-6,01/24/2021,active,0
SUB-148,SC-2813,AC-423,PLAN-3,2025-07-03,CANCELLED,0
SUB-149,SC-632,AC-465,PLAN-3,2026-02-28,ACTIVE,0
SUB-150,SC-1967,AC-430,PLAN-1,05/25/2025,trial,0
SUB-151,SC-2802,AC-310,PLAN-2,06/25/2022,ACTIVE,0
SUB-152,SC-210,AC-136,PLAN-6,12-10-2023,cancelled,0
SUB-153,SC-1129,AC-326,PLAN-4,06/09/2024,ACTIVE,0
SUB-154,SC-1962,AC-24,PLAN-1,01-07-2025,CANCELLED,0
SUB-155,SC-426,AC-606,PLAN-5,09-12-2021,CANCELLED,0
SUB-156,SC-878,AC-720,PLAN-2,23-07-2026,active,1
SUB-157,SC-2801,AC-299,PLAN-2,01-08-2024,ACTIVE,0
SUB-158,SC-2167,AC-200,PLAN-5,2023-07-25,cancelled,0
SUB-159,SC-2206,AC-171,PLAN-3,05/04/2023,trial,0
SUB-160,SC-2779,AC-791,PLAN-2,2026-08-08,ACTIVE,0
SUB-161,SC-2915,AC-37,PLAN-5,2024-11-17,CANCELLED,0
SUB-162,SC-2138,AC-456,PLAN-3,20-06-2024,trial,0
SUB-163,SC-1874,AC-555,PLAN-5,12/19/2025,trial,0
SUB-164,SC-683,AC-596,PLAN-2,2023-05-09,cancelled,0
SUB-165,SC-1058,AC-699,PLAN-1,03/21/2022,ACTIVE,0
SUB-166,SC-2949,AC-363,PLAN-2,2021-08-11,trial,0
SUB-167,SC-1941,AC-564,PLAN-5,09/16/2021,active,0
SUB-168,SC-1974,AC-296,PLAN-5,2022-11-22,trial,0
SUB-169,SC-1947,AC-497,PLAN-6,2021-04-13,CANCELLED,0
SUB-170,SC-2648,AC-804,PLAN-6,06/26/2023,trial,0
SUB-171,SC-2593,AC-879,PLAN-2,2022-01-25,ACTIVE,1
SUB-172,SC-75,AC-140,PLAN-1,2022-12-24,ACTIVE,0
SUB-173,SC-1737,AC-153,PLAN-6,2022-09-23,ACTIVE,0
SUB-174,SC-168,AC-523,PLAN-5,11/15/2024,cancelled,0
SUB-175,SC-1636,AC-492,PLAN-3,2024-12-21,trial,0
SUB-176,SC-2101,AC-361,PLAN-1,2021-05-13,active,0
SUB-177,SC-896,AC-86,PLAN-6,07/18/2025,cancelled,1
SUB-178,SC-1110,AC-25,PLAN-4,2021-11-17,active,1
SUB-179,SC-2906,AC-782,PLAN-3,2026-03-10,active,0
SUB-180,SC-1870,AC-826,PLAN-3,2025-01-24,trial,1
SUB-181,SC-1829,AC-570,PLAN-6,2025-03-26,ACTIVE,0
SUB-182,SC-2100,AC-240,PLAN-6,2021-01-07,cancelled,0
SUB-183,SC-2748,AC-512,PLAN-3,12/22/2024,active,0
SUB-184,SC-2948,AC-215,PLAN-3,08-10-2025,active,0
SUB-185,SC-2678,AC-820,PLAN-6,10/04/2022,trial,0
SUB-186,SC-554,AC-361,PLAN-5,2021-12-24,ACTIVE,0
SUB-187,SC-1705,AC-269,PLAN-3,26-09-2026,cancelled,0
SUB-188,SC-1008,AC-788,PLAN-2,2024-08-12,ACTIVE,1
SUB-189,SC-400,AC-438,PLAN-3,2024-10-17,active,0
SUB-190,SC-1831,AC-837,PLAN-1,02/02/2022,trial,0
SUB-191,SC-935,AC-82,PLAN-1,2022-10-21,cancelled,0
SUB-192,SC-1942,AC-161,PLAN-4,04/17/2025,trial,0
SUB-193,SC-2008,AC-345,PLAN-2,03/23/2022,CANCELLED,0
SUB-194,SC-402,AC-137,PLAN-2,05/24/2026,ACTIVE,0
SUB-195,SC-613,AC-327,PLAN-6,17-04-2024,cancelled,0
SUB-196,SC-2704,AC-9,PLAN-6,07/05/2021,cancelled,0
SUB-197,SC-376,AC-73,PLAN-1,07-09-2026,cancelled,0
SUB-198,SC-285,AC-415,PLAN-2,2023-04-12,cancelled,1
SUB-199,SC-233,AC-799,PLAN-5,05/27/2025,ACTIVE,0
SUB-200,SC-2081,AC-66,PLAN-1,08-05-2026,active,0
SUB-201,SC-874,AC-217,PLAN-1,2025-12-08,cancelled,0
SUB-202,SC-1961,AC-195,PLAN-2,2026-07-26,ACTIVE,0
SUB-203,SC-2672,AC-26,PLAN-3,2025-09-24,trial,0
SUB-204,SC-954,AC-417,PLAN-3,25-12-2024,trial,0
SUB-205,SC-982,AC-519,PLAN-4,11/13/2022,CANCELLED,0
SUB-206,SC-799,AC-273,PLAN-1,08/12/2022,cancelled,0
SUB-207,SC-2428,AC-785,PLAN-1,20-03-2022,active,1
SUB-208,SC-2145,AC-635,PLAN-6,2022-01-04,ACTIVE,0
SUB-209,SC-2810,AC-777,PLAN-5,2025-02-10,CANCELLED,0
SUB-210,SC-1297,AC-435,PLAN-4,2021-05-28,trial,0
SUB-211,SC-2035,AC-455,PLAN-4,13-03-2023,active,0
SUB-212,SC-2852,AC-758,PLAN-6,2021-02-13,cancelled,0
SUB-213,SC-1199,AC-831,PLAN-4,07/18/2024,trial,0
SUB-214,SC-455,AC-261,PLAN-4,08/08/2023,active,0
SUB-215,SC-2170,AC-338,PLAN-6,2024-03-28,ACTIVE,0
SUB-216,SC-2445,AC-24,PLAN-3,01/14/2023,active,1
SUB-217,SC-2777,AC-867,PLAN-4,2025-06-25,trial,0
SUB-218,SC-2661,AC-186,PLAN-1,02/06/2023,cancelled,0
SUB-219,SC-2359,AC-210,PLAN-1,10/12/2022,CANCELLED,0
SUB-220,SC-399,AC-376,PLAN-4,2023-08-07,trial,0
SUB-221,SC-2833,AC-46,PLAN-5,2023-03-08,trial,0
SUB-222,SC-517,AC-711,PLAN-6,09/28/2022,CANCELLED,0
SUB-223,SC-1229,AC-152,PLAN-3,08/08/2021,ACTIVE,0
SUB-224,SC-1138,AC-664,PLAN-5,18-11-2022,active,0
SUB-225,SC-436,AC-581,PLAN-4,02/22/2021,trial,0
SUB-226,SC-2532,AC-738,PLAN-2,03/15/2022,trial,0
SUB-227,SC-1889,AC-743,PLAN-4,05/01/2025,ACTIVE,0
SUB-228,SC-1853,AC-475,PLAN-5,16-05-2025,CANCELLED,0
SUB-229,SC-935,AC-696,PLAN-5,2026-08-28,cancelled,0
SUB-230,SC-1058,AC-601,PLAN-6,2022-04-01,cancelled,0
SUB-231,SC-2571,AC-397,PLAN-2,03-09-2025,CANCELLED,0
SUB-232,SC-487,AC-701,PLAN-5,08/04/2026,ACTIVE,1
SUB-233,SC-38,AC-723,PLAN-4,2022-04-08,cancelled,0
SUB-234,SC-587,AC-535,PLAN-5,10/19/2021,active,0
SUB-235,SC-591,AC-96,PLAN-3,2023-08-20,trial,1
SUB-236,SC-1203,AC-314,PLAN-6,2026-01-07,cancelled,0
SUB-237,SC-1466,AC-96,PLAN-6,2021-10-01,trial,0
SUB-238,SC-1538,AC-57,PLAN-2,2021-10-21,trial,0
SUB-239,SC-1123,AC-170,PLAN-1,07-12-2024,trial,0
SUB-240,SC-788,AC-868,PLAN-1,26-09-2021,ACTIVE,1
SUB-241,SC-812,AC-793,PLAN-5,2024-02-25,trial,1
SUB-242,SC-133,AC-257,PLAN-5,2022-07-13,cancelled,0
SUB-243,SC-2787,AC-858,PLAN-5,11/27/2025,active,0
SUB-244,SC-628,AC-116,PLAN-1,10/14/2026,cancelled,0
SUB-245,SC-544,AC-400,PLAN-6,2026-06-19,CANCELLED,0
SUB-246,SC-1254,AC-322,PLAN-6,05/09/2021,active,0
SUB-247,SC-539,AC-418,PLAN-3,2023-04-17,CANCELLED,0
SUB-248,SC-347,AC-449,PLAN-5,2026-07-07,ACTIVE,0
SUB-249,SC-2350,AC-875,PLAN-6,2024-04-01,active,0
SUB-250,SC-1522,AC-803,PLAN-6,2023-05-09,CANCELLED,0
SUB-251,SC-1454,AC-369,PLAN-2,2025-12-22,ACTIVE,0
SUB-252,SC-205,AC-785,PLAN-2,06/10/2026,ACTIVE,0
SUB-253,SC-876,AC-465,PLAN-3,2022-05-04,active,1
SUB-254,SC-1323,AC-454,PLAN-1,27-03-2025,active,0
SUB-255,SC-1210,AC-240,PLAN-3,10/18/2021,active,0
SUB-256,SC-1470,AC-16,PLAN-4,11/26/2025,cancelled,0
SUB-257,SC-2783,AC-300,PLAN-3,2024-06-04,trial,0
SUB-258,SC-685,AC-324,PLAN-2,10/18/2026,CANCELLED,0
SUB-259,SC-2824,AC-101,PLAN-2,2024-01-17,active,0
SUB-260,SC-1224,AC-404,PLAN-2,10/23/2022,cancelled,0
SUB-261,SC-2964,AC-887,PLAN-3,13-08-2023,active,0
SUB-262,SC-1607,AC-381,PLAN-5,2025-05-24,trial,0
SUB-263,SC-2480,AC-851,PLAN-1,2023-09-22,ACTIVE,0
SUB-264,SC-2172,AC-164,PLAN-2,06-05-2026,active,0
SUB-265,SC-1529,AC-580,PLAN-6,2024-03-21,active,0
SUB-266,SC-437,AC-140,PLAN-4,17-07-2023,CANCELLED,0
SUB-267,SC-793,AC-181,PLAN-1,2021-09-21,cancelled,0
SUB-268,SC-471,AC-306,PLAN-6,09/05/2026,trial,0
SUB-269,SC-472,AC-29,PLAN-3,05-07-2024,cancelled,0
SUB-270,SC-125,AC-821,PLAN-1,2022-11-17,cancelled,0
SUB-271,SC-522,AC-69,PLAN-6,05/26/2025,active,0
SUB-272,SC-599,AC-513,PLAN-5,13-03-2022,trial,0
SUB-273,SC-1672,AC-2,PLAN-2,2021-11-26,ACTIVE,0
SUB-274,SC-1384,AC-118,PLAN-4,2021-05-16,CANCELLED,0
SUB-275,SC-620,AC-611,PLAN-6,2022-06-24,CANCELLED,0
SUB-276,SC-358,AC-765,PLAN-6,2021-02-10,CANCELLED,0
SUB-277,SC-1312,AC-211,PLAN-2,2022-03-17,trial,0
SUB-278,SC-1399,AC-325,PLAN-1,2022-03-21,trial,0
SUB-279,SC-2724,AC-722,PLAN-4,06/10/2022,cancelled,0
SUB-280,SC-1889,AC-433,PLAN-6,02/19/2026,cancelled,0
SUB-281,SC-397,AC-871,PLAN-3,2022-04-28,active,0
SUB-282,SC-1004,AC-332,PLAN-2,2026-12-11,trial,0
SUB-283,SC-1122,AC-819,PLAN-4,14-01-2026,cancelled,0
SUB-284,SC-909,AC-141,PLAN-6,2021-07-24,ACTIVE,1
SUB-285,SC-1696,AC-827,PLAN-1,06/02/2025,CANCELLED,0
SUB-286,SC-381,AC-71,PLAN-2,2024-06-06,cancelled,0
SUB-287,SC-701,AC-782,PLAN-3,2026-09-03,ACTIVE,0
SUB-288,SC-980,AC-138,PLAN-1,04/27/2024,trial,0
SUB-289,SC-920,AC-743,PLAN-4,2021-03-09,cancelled,0
SUB-290,SC-1746,AC-782,PLAN-4,05/24/2024,ACTIVE,0
SUB-291,SC-2838,AC-30,PLAN-3,07/12/2021,CANCELLED,0
SUB-292,SC-2476,AC-329,PLAN-4,21-09-2023,cancelled,0
SUB-293,SC-1652,AC-513,PLAN-6,2026-06-05,CANCELLED,0
SUB-294,SC-2056,AC-676,PLAN-2,20-05-2023,active,0
SUB-295,SC-946,AC-357,PLAN-1,08/06/2023,trial,0
SUB-296,SC-1714,AC-886,PLAN-1,2026-04-12,CANCELLED,0
SUB-297,SC-2316,AC-725,PLAN-3,05/02/2022,trial,0
SUB-298,SC-1230,AC-321,PLAN-3,28-09-2022,CANCELLED,0
SUB-299,SC-537,AC-559,PLAN-1,08/24/2021,cancelled,0
SUB-300,SC-2721,AC-417,PLAN-4,2025-07-20,CANCELLED,0
SUB-301,SC-229,AC-275,PLAN-6,2021-05-09,CANCELLED,0
SUB-302,SC-1308,AC-474,PLAN-1,27-12-2024,cancelled,0
SUB-303,SC-1286,AC-468,PLAN-3,2024-10-24,active,0
SUB-304,SC-1166,AC-101,PLAN-4,05/20/2022,active,0
SUB-305,SC-2685,AC-283,PLAN-3,2024-03-08,active,0
SUB-306,SC-523,AC-77,PLAN-3,2022-09-13,ACTIVE,0
SUB-307,SC-1148,AC-591,PLAN-2,2022-11-17,cancelled,0
SUB-308,SC-881,AC-47,PLAN-1,2024-03-13,trial,1
SUB-309,SC-117,AC-701,PLAN-1,24-03-2024,cancelled,1
SUB-310,SC-1023,AC-99,PLAN-5,27-11-2026,CANCELLED,0
SUB-311,SC-1429,AC-899,PLAN-2,23-04-2021,active,0
SUB-312,SC-29,AC-763,PLAN-2,2022-08-16,CANCELLED,0
SUB-313,SC-769,AC-195,PLAN-2,10/26/2026,cancelled,0
SUB-314,SC-2377,AC-799,PLAN-2,2026-11-05,cancelled,0
SUB-315,SC-1338,AC-261,PLAN-1,2025-05-18,trial,0
SUB-316,SC-183,AC-687,PLAN-5,01/10/2023,trial,0
SUB-317,SC-1763,AC-273,PLAN-1,17-11-2024,active,0
SUB-318,SC-956,AC-32,PLAN-1,2024-12-18,cancelled,0
SUB-319,SC-532,AC-452,PLAN-3,2025-05-03,ACTIVE,0
SUB-320,SC-1665,AC-824,PLAN-3,2023-05-10,CANCELLED,0
SUB-321,SC-389,AC-96,PLAN-4,08-09-2025,trial,0
SUB-322,SC-373,AC-162,PLAN-3,27-01-2023,active,0
SUB-323,SC-1456,AC-88,PLAN-3,07/06/2024,trial,0
SUB-324,SC-562,AC-736,PLAN-3,2023-06-17,active,1
SUB-325,SC-532,AC-439,PLAN-4,2024-02-23,ACTIVE,0
SUB-326,SC-469,AC-59,PLAN-6,11-05-2024,CANCELLED,0
SUB-327,SC-990,AC-668,PLAN-1,2022-09-16,cancelled,0
SUB-328,SC-142,AC-246,PLAN-3,2026-12-06,trial,0
SUB-329,SC-88,AC-103,PLAN-2,01-01-2023,ACTIVE,1
SUB-330,SC-148,AC-401,PLAN-3,12/22/2026,trial,0
SUB-331,SC-767,AC-601,PLAN-3,02/07/2026,cancelled,0
SUB-332,SC-2282,AC-729,PLAN-6,10/08/2025,ACTIVE,0
SUB-333,SC-1276,AC-6,PLAN-3,2022-01-16,cancelled,1
SUB-334,SC-584,AC-366,PLAN-1,2021-05-22,ACTIVE,0
SUB-335,SC-1567,AC-677,PLAN-4,04/13/2026,cancelled,0
SUB-336,SC-2893,AC-531,PLAN-4,2026-07-20,ACTIVE,0
SUB-337,SC-62,AC-517,PLAN-3,2026-05-24,ACTIVE,0
SUB-338,SC-408,AC-181,PLAN-6,2026-01-05,trial,0
SUB-339,SC-1283,AC-634,PLAN-3,2023-11-15,active,1
SUB-340,SC-2766,AC-107,PLAN-2,2026-09-08,CANCELLED,0
SUB-341,SC-106,AC-431,PLAN-5,01/04/2025,ACTIVE,1
SUB-342,SC-2046,AC-757,PLAN-1,2023-04-09,trial,0
SUB-343,SC-874,AC-156,PLAN-3,10/05/2021,trial,0
SUB-344,SC-860,AC-298,PLAN-5,06/04/2024,cancelled,0
SUB-345,SC-1152,AC-713,PLAN-6,03/18/2021,ACTIVE,0
SUB-346,SC-26,AC-507,PLAN-1,2026-10-07,ACTIVE,0
SUB-347,SC-1075,AC-349,PLAN-5,11/10/2022,active,0
SUB-348,SC-1895,AC-4,PLAN-3,07/26/2026,trial,0
SUB-349,SC-1734,AC-226,PLAN-1,02/07/2022,trial,0
SUB-350,SC-2447,AC-270,PLAN-3,2022-09-21,trial,0
SUB-351,SC-971,AC-828,PLAN-2,2024-03-18,active,0
SUB-352,SC-2160,AC-149,PLAN-6,2025-03-17,trial,0
SUB-353,SC-1043,AC-825,PLAN-6,25-05-2025,trial,0
SUB-354,SC-1732,AC-891,PLAN-5,12/02/2022,trial,0
SUB-355,SC-2095,AC-596,PLAN-2,01/23/2026,active,0
SUB-356,SC-2931,AC-327,PLAN-1,08-10-2023,active,1
SUB-357,SC-2000,AC-100,PLAN-5,28-06-2026,active,0
SUB-358,SC-2927,AC-204,PLAN-6,04/04/2024,trial,0
SUB-359,SC-689,AC-772,PLAN-2,2025-07-03,cancelled,0
SUB-360,SC-572,AC-537,PLAN-1,26-05-2026,active,0
SUB-361,SC-872,AC-335,PLAN-4,2023-11-13,cancelled,1
SUB-362,SC-616,AC-662,PLAN-1,2022-09-05,ACTIVE,0
SUB-363,SC-867,AC-853,PLAN-6,2021-12-03,trial,0
SUB-364,SC-1374,AC-825,PLAN-2,2024-07-24,trial,0
SUB-365,SC-159,AC-300,PLAN-2,2026-09-24,ACTIVE,0
SUB-366,SC-1904,AC-693,PLAN-4,2023-08-21,trial,0
SUB-367,SC-109,AC-378,PLAN-4,10-11-2022,trial,0
SUB-368,SC-757,AC-415,PLAN-2,2021-09-26,CANCELLED,0
SUB-369,SC-330,AC-804,PLAN-5,2025-07-28,cancelled,0
SUB-370,SC-1764,AC-172,PLAN-6,2025-05-14,CANCELLED,0
SUB-371,SC-847,AC-120,PLAN-6,2021-10-21,ACTIVE,0
SUB-372,SC-1162,AC-563,PLAN-5,2024-01-28,CANCELLED,0
SUB-373,SC-2922,AC-371,PLAN-2,08/25/2023,cancelled,1
